-- S02 Europol SOCTA: every row (glance says 26)
REPORT_TITLE | REPORT_TYPE | PUBLISH_DATE | UPDATE_DATE | REPORT_YEAR | LANGUAGE | FILE_FORMAT | FILE_SIZE_MB | DOWNLOAD_URL | DOCUMENT_VARIANT | ISBN | DOI | SERIAL_NUMBER | PUBLISHER | GEOGRAPHIC_SCOPE | SOURCE_URL
EU-SOCTA 2025 - Tiivistelmä | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Tiivistelm%C3%A4.pdf | EU-SOCTA 2025 - Tiivistelmä | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Résumé | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20R%C3%A9sum%C3%A9.pdf | EU-SOCTA 2025 - Résumé | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Achoimre feidhmiúcháin | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Achoimre%20feidhmi%C3%BAch%C3%A1in.pdf | EU-SOCTA 2025 - Achoimre feidhmiúcháin | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Sažetak | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Sa%C5%BEetak.pdf | EU-SOCTA 2025 - Sažetak | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Összefoglaló | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20%C3%96sszefoglal%C3%B3.pdf | EU-SOCTA 2025 - Összefoglaló | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Sintesi | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Sintesi.pdf | EU-SOCTA 2025 - Sintesi | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Santrauka | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Santrauka.pdf | EU-SOCTA 2025 - Santrauka | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Kopsavilkums | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Kopsavilkums%20.pdf | EU-SOCTA 2025 - Kopsavilkums | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Sommarju eżekuttiv | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Sommarju%20e%C5%BCekuttiv.pdf | EU-SOCTA 2025 - Sommarju eżekuttiv | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Samenvatting | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Samenvatting.pdf | EU-SOCTA 2025 - Samenvatting | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Streszczenie | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Streszczenie.pdf | EU-SOCTA 2025 - Streszczenie | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Síntese | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20S%C3%ADntese.pdf | EU-SOCTA 2025 - Síntese | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Rezumat | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Rezumat.pdf | EU-SOCTA 2025 - Rezumat | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Zhrnutie | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Zhrnutie.pdf | EU-SOCTA 2025 - Zhrnutie | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
EU-SOCTA 2025 - Povzetek | Organised Crime Assessment | 2025-03-18T12:00:00+00:00 | 2025-05-27T11:21:38+00:00 | 2025 | en | PDF |  | https://www.europol.europa.eu/cms/sites/default/files/documents/EU-SOCTA%202025%20-%20Povzetek.pdf | EU-SOCTA 2025 - Povzetek | 978-92-9414-000-5 | 10.2813/0758057 | ion | Europol | European Union | https://www.europol.europa.eu/publication-events/main-reports/changing-dna-of-serious-and-organised-crime
(26 rows; csv has all)
