table,column,rule,pattern,sibling,new_columns,expr
FED_COURTLISTENER_JUDGES,DATE_GRANULARITY_DOB,granularity,,,DATE_GRANULARITY_DOB_LABEL,"CASE ""DATE_GRANULARITY_DOB"" WHEN '%Y-%m-%d' THEN 'day' WHEN '%Y-%m' THEN 'month' WHEN '%Y' THEN 'year' ELSE NULL END"
FED_COURTLISTENER_JUDGES,DATE_GRANULARITY_DOD,granularity,,,DATE_GRANULARITY_DOD_LABEL,"CASE ""DATE_GRANULARITY_DOD"" WHEN '%Y-%m-%d' THEN 'day' WHEN '%Y-%m' THEN 'month' WHEN '%Y' THEN 'year' ELSE NULL END"
FED_COURTLISTENER_OPINION_CLUSTERS,DATE_FILED_IS_APPROXIMATE,still_manual,,,,
FED_COURTLISTENER_POSITIONS,DATE_GRANULARITY_START,granularity,,,DATE_GRANULARITY_START_LABEL,"CASE ""DATE_GRANULARITY_START"" WHEN '%Y-%m-%d' THEN 'day' WHEN '%Y-%m' THEN 'month' WHEN '%Y' THEN 'year' ELSE NULL END"
FED_COURTLISTENER_POSITIONS,DATE_GRANULARITY_TERMINATION,granularity,,,DATE_GRANULARITY_TERMINATION_LABEL,"CASE ""DATE_GRANULARITY_TERMINATION"" WHEN '%Y-%m-%d' THEN 'day' WHEN '%Y-%m' THEN 'month' WHEN '%Y' THEN 'year' ELSE NULL END"
FED_DOJ_CRT_CASES,DATE,still_manual,,,,
FED_DOJ_FCA_SETTLEMENTS,SETTLEMENT_DATE,still_manual,,,,
FED_DOL_OFLC,FULL_TIME_POSITION,still_manual,,,,
FED_DTCC_DTC_PARTICIPANTS,RUN_TIME_6_30_2026_9_50_31_AM,still_manual,,,,
FED_ED_COLLEGE_SCORECARD_INSTITUTION,REPAY_DT_MDN,still_manual,,,,
FED_ED_COLLEGE_SCORECARD_INSTITUTION,REPAY_DT_N,still_manual,,,,
FED_ED_COLLEGE_SCORECARD_INSTITUTION,SEPAR_DT_N,still_manual,,,,
FED_EIA860_3_1_GENERATOR,TIME_FROM_COLD_SHUTDOWN_TO_FULL_LOAD,still_manual,,,,
FED_EIA860_3_5_MULTIFUEL,TIME_TO_SWITCH_FROM_GAS_TO_OIL,still_manual,,,,
FED_EIA860_3_5_MULTIFUEL,TIME_TO_SWITCH_FROM_OIL_TO_GAS,still_manual,,,,
FED_EIA861_DYNAMIC_PRICING,TIME_OF_USE_PRICING,still_manual,,,,
FED_EIA861_DYNAMIC_PRICING,REAL_TIME_PRICING,still_manual,,,,
FED_EPA_CAMPD_EMISSIONS_DAILY,OPERATING_TIME_COUNT,still_manual,,,,
FED_EPA_CAMPD_EMISSIONS_DAILY,SUM_OF_THE_OPERATING_TIME,still_manual,,,,
FED_EPA_ICIS_AIR_ICIS_AIR_FCES_PCES,ACTUAL_END_DATE,still_manual,,,,
FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,EARLIEST_FRV_DETERM_DATE,still_manual,,,,
FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,HPV_DAYZERO_DATE,still_manual,,,,
FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,HPV_RESOLVED_DATE,still_manual,,,,
FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,DSCV_PATHWAY_DATE,still_manual,,,,
FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,NFTC_PATHWAY_DATE,still_manual,,,,
FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,SEASON_BEGIN_DATE,still_manual,,,,
FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,SEASON_END_DATE,still_manual,,,,
FED_EPA_TRI_BASIC_2023,C_120_8_8_ONE_TIME_RELEASE,still_manual,,,,
FED_FDA_FAERS_DEMO,EVENT_DT,still_manual,,,,
FED_FMCSA_COMPANY_CENSUS,MCS150_DATE,still_manual,,,,
FED_FRA_CASUALTIES,TIME,time_pair,content_date,DATE,TIME_FULL paired with DATE,"COALESCE(TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH24:MI:SS'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH24:MI'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH12:MI AM'))"
FED_FRA_CROSSING_INCIDENTS,TIME,time_pair,content_date,DATE,TIME_FULL paired with DATE,"COALESCE(TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH24:MI:SS'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH24:MI'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH12:MI AM'))"
FED_FRA_EQUIPMENT_ACCIDENTS,TIME,time_pair,content_date,DATE,TIME_FULL paired with DATE,"COALESCE(TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH24:MI:SS'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH24:MI'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME""), 'YYYY-MM-DD HH12:MI AM'))"
FED_FRB_Z1_CSV,DATE,still_manual,,,,
FED_HRSA_HPSA_PRIMARY_CARE,HPSA_WITHDRAWN_DATE_STRING,still_manual,,,,
FED_HRSA_HPSA_PRIMARY_CARE,DATA_WAREHOUSE_RECORD_CREATE_DATE_TEXT,still_manual,,,,
FED_HRSA_SHORTAGE_AREAS,HPSA_WITHDRAWN_DATE_STRING,still_manual,,,,
FED_HRSA_SHORTAGE_AREAS,DATA_WAREHOUSE_RECORD_CREATE_DATE_TEXT,still_manual,,,,
FED_ICE_DETAINERS,ARREST_TIME_CASE_CATEGORY,still_manual,,,,
FED_ICE_DETAINERS,ARREST_TIME_CURRENT_PROGRAM,still_manual,,,,
FED_IRS_990_EFILE_INDEX,SUB_DATE,still_manual,,,,
FED_MSHA_ACCIDENTS,ACCIDENT_DT,still_manual,,,,
FED_MSHA_ACCIDENTS,ACCIDENT_TIME,still_manual,,,,
FED_MSHA_ACCIDENTS,SHIFT_BEGIN_TIME,still_manual,,,,
FED_MSHA_ACCIDENTS,RETURN_TO_WORK_DT,still_manual,,,,
FED_MSHA_ACCIDENTS,INVEST_BEGIN_DT,still_manual,,,,
FED_MSHA_MINES,CURRENT_STATUS_DT,still_manual,,,,
FED_MSHA_MINES,CURRENT_CONTROLLER_BEGIN_DT,still_manual,,,,
FED_MSHA_MINES,CURRENT_103I_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,INSPECTION_BEGIN_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,INSPECTION_END_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,VIOLATION_ISSUE_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,VIOLATION_OCCUR_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,VIOLATION_ISSUE_TIME,still_manual,,,,
FED_MSHA_VIOLATIONS,ORIG_TERM_DUE_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,ORIG_TERM_DUE_TIME,still_manual,,,,
FED_MSHA_VIOLATIONS,LATEST_TERM_DUE_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,LATEST_TERM_DUE_TIME,still_manual,,,,
FED_MSHA_VIOLATIONS,TERMINATION_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,TERMINATION_TIME,still_manual,,,,
FED_MSHA_VIOLATIONS,VACATE_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,VACATE_TIME,still_manual,,,,
FED_MSHA_VIOLATIONS,RIGHT_TO_CONF_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,FINAL_ORDER_ISSUE_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,BILL_PRINT_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,LAST_ACTION_DT,still_manual,,,,
FED_MSHA_VIOLATIONS,CONTESTED_DT,still_manual,,,,
FED_NAAG_MULTISTATE_SETTLEMENTS,DATE_FILED,still_manual,,,,
FED_NOAA_STORM_EVENTS,BEGIN_TIME,still_manual,,,,
FED_NOAA_STORM_EVENTS,END_TIME,still_manual,,,,
FED_NOAA_STORM_EVENTS,BEGIN_DATE_TIME,still_manual,,,,
FED_NOAA_STORM_EVENTS,END_DATE_TIME,still_manual,,,,
FED_NTSB_AVIATION_EVENTS,EV_TIME,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2023,TIME_STARTED_WORK,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2023,TIME_OF_INCIDENT,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2023,TIME_UNKNOWN,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2023,CREATED_TIMESTAMP,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2024,DATE_OF_INCIDENT,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2024,TIME_STARTED_WORK,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2024,TIME_OF_INCIDENT,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2024,TIME_UNKNOWN,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2024,CREATED_TIMESTAMP,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2025,TIME_STARTED_WORK,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2025,TIME_OF_INCIDENT,time_pair,content_date,DATE_OF_INCIDENT,TIME_OF_INCIDENT_FULL paired with DATE_OF_INCIDENT,"COALESCE(TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE_OF_INCIDENT"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE_OF_INCIDENT"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME_OF_INCIDENT""), 'YYYY-MM-DD HH24:MI:SS'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE_OF_INCIDENT"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE_OF_INCIDENT"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME_OF_INCIDENT""), 'YYYY-MM-DD HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE_OF_INCIDENT"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE_OF_INCIDENT"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME_OF_INCIDENT""), 'YYYY-MM-DD HH24:MI'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((COALESCE(TRY_TO_TIMESTAMP_NTZ(""DATE_OF_INCIDENT"", 'MM/DD/YYYY HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(""DATE_OF_INCIDENT"", 'MM/DD/YYYY'))), 'YYYY-MM-DD') || ' ' || TRIM(""TIME_OF_INCIDENT""), 'YYYY-MM-DD HH12:MI AM'))"
FED_OSHA_ITA_CASE_DETAIL_2025,TIME_UNKNOWN,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2025,DATE_OF_DEATH,still_manual,,,,
FED_OSHA_ITA_CASE_DETAIL_2025,CREATED_TIMESTAMP,still_manual,,,,
FED_PBGC_TRUSTEED_PLANS,NUMBER_OF_PARICIPANTS_AT_DATE_OF_PLAN_TERMINATION,still_manual,,,,
FED_PHMSA_FLAGGED_INCIDENTS,TIME_ZONE,still_manual,,,,
FED_SAM_ENTITY_PUBLIC,FISCAL_YEAR_END_CLOSE_DATE,still_manual,,,,
FED_SAM_EXCLUSIONS,TERMINATION_DATE,still_manual,,,,
FED_SAM_EXCLUSIONS_FULL_R2,TERMINATION_DATE,still_manual,,,,
FED_SEC_INSIDER_DERIV_TRANS,TRANS_DATE_FN,still_manual,,,,
FED_SEC_INSIDER_DERIV_TRANS,DEEMED_EXECUTION_DATE_FN,still_manual,,,,
FED_SEC_INSIDER_DERIV_TRANS,EXCERCISE_DATE_FN,still_manual,,,,
FED_SEC_INSIDER_DERIV_TRANS,EXPIRATION_DATE_FN,still_manual,,,,
FED_SEC_INSIDER_NONDERIV_TRANS,TRANS_DATE_FN,still_manual,,,,
FED_SEC_INSIDER_NONDERIV_TRANS,DEEMED_EXECUTION_DATE_FN,still_manual,,,,
FED_USASPENDING_ASSISTANCE_FULL,action_date_fiscal_year,still_manual,,,,
FED_USASPENDING_BULK,ACTION_DATE_FISCAL_YEAR,still_manual,,,,
FED_USASPENDING_CONTRACTS_FULL,action_date_fiscal_year,still_manual,,,,
FED_USASPENDING_SUBAWARDS_FULL,PRIME_AWARD_BASE_ACTION_DATE_FISCAL_YEAR,still_manual,,,,
FED_USASPENDING_SUBAWARDS_FULL,PRIME_AWARD_LATEST_ACTION_DATE_FISCAL_YEAR,still_manual,,,,
FED_USASPENDING_SUBAWARDS_FULL,SUBAWARD_ACTION_DATE_FISCAL_YEAR,still_manual,,,,
FED_WPA_SLAVE_NARRATIVES,INTERVIEW_DATE,still_manual,,,,
INTL_EMBER_ELEC,DATE,still_manual,,,,
INTL_EUROSTAT,TIME,still_manual,,,,
INTL_IPC_FOOD_INSECURITY_GLOBAL,DATE_OF_ANALYSIS,still_manual,,,,
INTL_IT_ISTAT,DATE,still_manual,,,,
INTL_NTI_CNS_DPRK_MISSILE_TESTS,LAUNCH_TIME_UTC,still_manual,,,,
INTL_OPENSANCTIONS,BIRTH_DATE,still_manual,,,,
INTL_OPENSANCTIONS_DEFAULT,BIRTH_DATE,still_manual,,,,
INTL_UCDP_GED,DATE_PREC,still_manual,,,,
INTL_UN_CONSOLIDATED_SANCTIONS,INDIVIDUAL_DATE_OF_BIRTH,still_manual,,,,
INTL_UN_SC_CONSOLIDATED_SANCTIONS,INDIVIDUAL_DATE_OF_BIRTH_TYPE_OF_DATE,still_manual,,,,
INTL_UN_SC_CONSOLIDATED_SANCTIONS,INDIVIDUAL_DATE_OF_BIRTH_YEAR,still_manual,,,,
INTL_UN_SC_CONSOLIDATED_SANCTIONS,INDIVIDUAL_DATE_OF_BIRTH_FROM_YEAR,still_manual,,,,
INTL_UN_SC_CONSOLIDATED_SANCTIONS,INDIVIDUAL_DATE_OF_BIRTH_TO_YEAR,still_manual,,,,
INTL_UN_SC_CONSOLIDATED_SANCTIONS,INDIVIDUAL_DOCUMENT_DATE_OF_ISSUE,still_manual,,,,
INTL_UN_SC_CONSOLIDATED_SANCTIONS,INDIVIDUAL_DATE_OF_BIRTH_NOTE,still_manual,,,,
INTL_UN_SC_CONSOLIDATED_SANCTIONS,INDIVIDUAL_ALIAS_DATE_OF_BIRTH,still_manual,,,,
INTL_UN_SC_CONSOLIDATED_SANCTIONS,INDIVIDUAL_DOCUMENT_DATE_OF_EXPIRY,still_manual,,,,
PORTAL_ARC_NEW_MEXICO_OPEN_3382D9F21E,DISCOVERY_TIME,time_pair,content_date,DISCOVERY_DATE,DISCOVERY_TIME_FULL paired with DISCOVERY_DATE,"COALESCE(TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((DATEADD('millisecond', TRY_TO_NUMBER(SPLIT_PART(""DISCOVERY_DATE"", '.', 1)), '1970-01-01'::timestamp_ntz)), 'YYYY-MM-DD') || ' ' || TRIM(""DISCOVERY_TIME""), 'YYYY-MM-DD HH24:MI:SS'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((DATEADD('millisecond', TRY_TO_NUMBER(SPLIT_PART(""DISCOVERY_DATE"", '.', 1)), '1970-01-01'::timestamp_ntz)), 'YYYY-MM-DD') || ' ' || TRIM(""DISCOVERY_TIME""), 'YYYY-MM-DD HH12:MI:SS AM'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((DATEADD('millisecond', TRY_TO_NUMBER(SPLIT_PART(""DISCOVERY_DATE"", '.', 1)), '1970-01-01'::timestamp_ntz)), 'YYYY-MM-DD') || ' ' || TRIM(""DISCOVERY_TIME""), 'YYYY-MM-DD HH24:MI'), TRY_TO_TIMESTAMP_NTZ(TO_VARCHAR((DATEADD('millisecond', TRY_TO_NUMBER(SPLIT_PART(""DISCOVERY_DATE"", '.', 1)), '1970-01-01'::timestamp_ntz)), 'YYYY-MM-DD') || ' ' || TRIM(""DISCOVERY_TIME""), 'YYYY-MM-DD HH12:MI AM'))"
