A,B,KEY,TIER,A_COL,B_COL,MATCHED,A_DISTINCT,B_DISTINCT,MATCH_RATE,CONFIDENCE,SAMPLE,RUN_ID,BUILT_AT
FED_CMS_OPEN_PAYMENTS,FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT,NPI,STEEL,NPI,COVERED_RECIPIENT_NPI,979115,979136.0,1681790.0,100.0,1.0,"[
  ""1629170600"",
  ""1588665939"",
  ""1245893916"",
  ""1467915082""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_FACILITY_AFFILIATION,FED_CMS_NPPES,NPI,STEEL,NPI,NPI,940350,940350.0,9606683.0,100.0,1.0,"[
  ""1518962349"",
  ""1922008606"",
  ""1548346711"",
  ""1023066248""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_OPEN_PAYMENTS_2023,FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT,NPI,STEEL,NPI,COVERED_RECIPIENT_NPI,933616,933619.0,1681790.0,100.0,1.0,"[
  ""1629170600"",
  ""1588665939"",
  ""1750461620"",
  ""1508940628""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_OPEN_PAYMENTS_2023,NPI,STEEL,NPI,NPI,933611,9606683.0,933619.0,100.0,1.0,"[
  ""1114133402"",
  ""1447886437"",
  ""1356399968"",
  ""1689916470""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_OPEN_PAYMENTS_2022,NPI,STEEL,NPI,NPI,856692,9606683.0,856696.0,100.0,1.0,"[
  ""1447361555"",
  ""1487122172"",
  ""1003309477"",
  ""1689917437""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_OPEN_PAYMENTS_2022,FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT,NPI,STEEL,NPI,COVERED_RECIPIENT_NPI,856686,856696.0,1681790.0,100.0,1.0,"[
  ""1821659533"",
  ""1558740969"",
  ""1003818816"",
  ""1083648646""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_FACILITIES,FED_EPA_FRS_FRS_SIC_CODES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,831499,3277557.0,831499.0,100.0,1.0,"[
  ""110000483646"",
  ""110000591468"",
  ""110001289347"",
  ""110000764156""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_FRS_FRS_SIC_CODES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,831499,3422891.0,831499.0,100.0,1.0,"[
  ""110000483646"",
  ""110000591468"",
  ""110001289347"",
  ""110000764156""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_ICIS_FACILITIES,FED_EPA_NPDES_NPDES_SICS,NPDES_ID,STEEL,NPDES_ID,NPDES_ID,715074,1213737.0,715074.0,100.0,1.0,"[
  ""AL0079324"",
  ""AL0072290"",
  ""AK0000027"",
  ""AKR10H0V3""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_ICIS_FACILITIES,FED_EPA_NPDES_NPDES_QNCR_HISTORY,NPDES_ID,STEEL,NPDES_ID,NPDES_ID,690126,1213737.0,690126.0,100.0,1.0,"[
  ""AL0079324"",
  ""AKG376890"",
  ""AKR10H07L"",
  ""AKG370C48""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,NPI,STEEL,NPI,NPI,453201,9606683.0,453202.0,100.0,1.0,"[
  ""1538615729"",
  ""1730280512"",
  ""1295023612"",
  ""1720716798""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_ECHO,FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWSID,STEEL,SDWA_IDS,PWSID,430991,430993.0,434040.0,100.0,1.0,"[
  ""VA4087240"",
  ""HI0000112"",
  ""IL3003392"",
  ""WA5305792""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_FACILITIES,FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWSID,STEEL,PWSID,PWSID,430916,430916.0,434040.0,100.0,1.0,"[
  ""VA6047340"",
  ""NY3830008"",
  ""FL3640042"",
  ""MD1021082""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS,FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWSID,STEEL,PWSID,PWSID,413877,413877.0,434040.0,100.0,1.0,"[
  ""VA6047340"",
  ""NY3830008"",
  ""FL3640042"",
  ""MD1021082""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER,FED_CMS_NPPES,NPI,STEEL,RFRG_NPI,NPI,381227,381228.0,9606683.0,100.0,1.0,"[
  ""1942233622"",
  ""1548346711"",
  ""1023066248"",
  ""1467537266""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,FED_EPA_SDWA_SDWA_SERVICE_AREAS,PWSID,STEEL,PWSID,PWSID,378450,434040.0,378450.0,100.0,1.0,"[
  ""AL0001433"",
  ""063503114"",
  ""CA1000217"",
  ""CA1000315""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_ICIS_FACILITIES,FED_EPA_NPDES_NPDES_NAICS,NPDES_ID,STEEL,NPDES_ID,NPDES_ID,306831,1213737.0,306831.0,100.0,1.0,"[
  ""AKR10GK07"",
  ""ALG340756"",
  ""ALR10A970"",
  ""ALR10A850""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_ICIS_FACILITIES,FED_EPA_NPDES_NPDES_INSPECTIONS,NPDES_ID,STEEL,NPDES_ID,NPDES_ID,286752,1213737.0,286752.0,100.0,1.0,"[
  ""MORA19750"",
  ""ALG060528"",
  ""WAR301899"",
  ""TXR15439I""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,FED_EPA_SDWA_SDWA_SITE_VISITS,PWSID,STEEL,PWSID,PWSID,267052,434040.0,267052.0,100.0,1.0,"[
  ""NC0241481"",
  ""WV9930006"",
  ""IL0078642"",
  ""SC2960013""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FED_EPA_ICIS_ICIS_AIR_FACILITIES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,266026,266026.0,266026.0,100.0,1.0,"[
  ""110038620123"",
  ""110034418306"",
  ""110071294414"",
  ""110023153512""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,266026,3422891.0,266026.0,100.0,1.0,"[
  ""110041350980"",
  ""110000853210"",
  ""110071293840"",
  ""110001878629""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_FACILITIES,FED_EPA_ICIS_ICIS_AIR_FACILITIES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,266026,3277557.0,266026.0,100.0,1.0,"[
  ""110038620123"",
  ""110034418306"",
  ""110071294414"",
  ""110023153512""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_ICIS_ICIS_AIR_FACILITIES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,266026,3422891.0,266026.0,100.0,1.0,"[
  ""110038620123"",
  ""110034418306"",
  ""110071294414"",
  ""110023153512""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_FACILITIES,FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,266026,3277557.0,266026.0,100.0,1.0,"[
  ""110041350980"",
  ""110000853210"",
  ""110071293840"",
  ""110001878629""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_NAICS_CODES,FED_EPA_ICIS_ICIS_AIR_FACILITIES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,266024,1672433.0,266026.0,100.0,1.0,"[
  ""110038620123"",
  ""110034418306"",
  ""110071294414"",
  ""110023153512""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_NAICS_CODES,FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,266024,1672433.0,266026.0,100.0,1.0,"[
  ""110041350980"",
  ""110000853210"",
  ""110071293840"",
  ""110001878629""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_FACILITIES,FED_EPA_NPDES_NPDES_INSPECTIONS,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,263075,3277557.0,263075.0,100.0,1.0,"[
  ""110042358819"",
  ""110071784305"",
  ""110064032997"",
  ""110070488597""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_NPDES_NPDES_INSPECTIONS,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,263075,3422891.0,263075.0,100.0,1.0,"[
  ""110042358819"",
  ""110071784305"",
  ""110064032997"",
  ""110070488597""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_NPDES_INSPECTIONS,XC_EPA_CORPORATE_CROSSWALK,FRS_ID,STEEL,REGISTRY_ID,EPA_REGISTRY_ID,262884,263075.0,5300149.0,99.9,1.0,"[
  ""110022520850"",
  ""110011015392"",
  ""110059865409"",
  ""110009726270""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FULL,FED_EPA_NPDES_NPDES_INSPECTIONS,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,262884,5300149.0,263075.0,99.9,1.0,"[
  ""110042358819"",
  ""110071784305"",
  ""110064032997"",
  ""110070488597""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_ECHO,FED_EPA_NPDES_NPDES_INSPECTIONS,FRS_ID,STEEL,FRS_ID,REGISTRY_ID,262862,3135553.0,263075.0,99.9,1.0,"[
  ""110042358819"",
  ""110071784305"",
  ""110064032997"",
  ""110070488597""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,PWSID,STEEL,PWSID,PWSID,258445,434040.0,258445.0,100.0,1.0,"[
  ""MD0080042"",
  ""KY1030375"",
  ""FL1324216"",
  ""GA1570088""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,FED_EPA_FRS_FRS_FACILITIES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,162513,162513.0,3277557.0,100.0,1.0,"[
  ""110005680263"",
  ""110071779853"",
  ""110070060380"",
  ""110000411475""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,FED_EPA_FRS_FRS_PROGRAM_LINKS,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,162513,162513.0,3422891.0,100.0,1.0,"[
  ""110071882460"",
  ""110070559818"",
  ""110071742121"",
  ""110041396389""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,FED_EPA_FRS_FRS_NAICS_CODES,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,162495,162513.0,1672433.0,100.0,1.0,"[
  ""110000460279"",
  ""110045954703"",
  ""110000457247"",
  ""110033180171""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_ICIS_FACILITIES,FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,NPDES_ID,STEEL,NPDES_ID,NPDES_ID,119300,1213737.0,119300.0,100.0,1.0,"[
  ""ALR161811"",
  ""WAR002839"",
  ""PA0081108"",
  ""ALU000563""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_PROGRAM_LINKS,FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,112933,3422891.0,112933.0,100.0,1.0,"[
  ""110044241530"",
  ""110010965027"",
  ""110000396991"",
  ""110006740740""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_FACILITIES,FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,112933,3277557.0,112933.0,100.0,1.0,"[
  ""110044241530"",
  ""110010965027"",
  ""110000396991"",
  ""110006740740""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,XC_EPA_CORPORATE_CROSSWALK,FRS_ID,STEEL,REGISTRY_ID,EPA_REGISTRY_ID,112873,112933.0,5300149.0,99.9,1.0,"[
  ""110022520850"",
  ""110011015392"",
  ""110056349027"",
  ""110010041016""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FULL,FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,112873,5300149.0,112933.0,99.9,1.0,"[
  ""110044241530"",
  ""110010965027"",
  ""110000396991"",
  ""110006740740""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_ECHO,FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,FRS_ID,STEEL,FRS_ID,REGISTRY_ID,112862,3135553.0,112933.0,99.9,1.0,"[
  ""110044241530"",
  ""110010965027"",
  ""110000396991"",
  ""110006740740""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWSID,STEEL,PWSID,PWSID,98555,98555.0,434040.0,100.0,1.0,"[
  ""VA4087240"",
  ""KS2014918"",
  ""ID7220067"",
  ""VA5067990""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,FED_EPA_SDWA_SDWA_FACILITIES,PWSID,STEEL,PWSID,PWSID,98531,98555.0,430916.0,100.0,1.0,"[
  ""CA4900647"",
  ""IN2440001"",
  ""MD1040097"",
  ""MO3240006""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS,PWSID,STEEL,PWSID,PWSID,98517,98555.0,413877.0,100.0,1.0,"[
  ""MI2001538"",
  ""NE3120517"",
  ""FL6295165"",
  ""MO5182240""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_LCR_SAMPLES,FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWSID,STEEL,PWSID,PWSID,89800,89800.0,434040.0,100.0,1.0,"[
  ""VA4087240"",
  ""HI0000112"",
  ""KS2014918"",
  ""FL4501047""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_FACILITIES,FED_EPA_SDWA_SDWA_LCR_SAMPLES,PWSID,STEEL,PWSID,PWSID,89748,430916.0,89800.0,99.9,1.0,"[
  ""AK2270833"",
  ""CA0900646"",
  ""CA2701280"",
  ""FL5264055""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_ICIS_FACILITIES,FED_EPA_NPDES_NPDES_SE_VIOLATIONS,NPDES_ID,STEEL,NPDES_ID,NPDES_ID,76435,1213737.0,76438.0,100.0,1.0,"[
  ""FLR20FY27"",
  ""GMG290044"",
  ""CA0103179"",
  ""KYG500035""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
IRS527_8871_ORGS,IRS527_DIRECTORS_OFFICERS,EIN,STEEL,EIN,EIN,58881,58915.0,58881.0,100.0,1.0,"[
  ""472981767"",
  ""371653431"",
  ""562429902"",
  ""852950570""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_OPT_OUT_AFFIDAVITS,NPI,STEEL,NPI,NPI,56436,9606683.0,56455.0,100.0,1.0,"[
  ""1144291220"",
  ""1356697361"",
  ""1982754206"",
  ""1548622244""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,FED_CMS_NPPES,NPI,STEEL,SUPLR_NPI,NPI,55598,55598.0,9606683.0,100.0,1.0,"[
  ""1396744413"",
  ""1548397326"",
  ""1417962796"",
  ""1780630780""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_ICIS_FACILITIES,FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS,NPDES_ID,STEEL,NPDES_ID,NPDES_ID,49662,1213737.0,49662.0,100.0,1.0,"[
  ""PRU506221"",
  ""PAR606159"",
  ""PR0020451"",
  ""NJU003321""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_NPDES_ICIS_FACILITIES,FED_EPA_NPDES_NPDES_PS_VIOLATIONS,NPDES_ID,STEEL,NPDES_ID,NPDES_ID,44872,1213737.0,44872.0,100.0,1.0,"[
  ""NJG262706"",
  ""MOG821207"",
  ""GAIS01753"",
  ""NJG329771""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC,FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWSID,STEEL,PWSID,PWSID,42034,42034.0,434040.0,100.0,1.0,"[
  ""MA1053028"",
  ""MS0080005"",
  ""WI4151786"",
  ""WV9902004""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC,FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,PWSID,STEEL,PWSID,PWSID,42034,42034.0,258445.0,100.0,1.0,"[
  ""KY1030375"",
  ""NY3530220"",
  ""ID6150001"",
  ""NC0111508""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_FACILITIES,FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC,PWSID,STEEL,PWSID,PWSID,42016,430916.0,42034.0,100.0,1.0,"[
  ""AL0000908"",
  ""MO4010626"",
  ""TX1260104"",
  ""MA1191007""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS,FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC,PWSID,STEEL,PWSID,PWSID,42003,413877.0,42034.0,99.9,1.0,"[
  ""AL0000908"",
  ""MO4010626"",
  ""TX1260104"",
  ""MA1191007""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_OSHA_ITA_300A_SUMMARY_2023,FED_OSHA_ITA_CASE_DETAIL_2023,EIN,STEEL,EIN,EIN,33693,123206.0,33693.0,100.0,1.0,"[
  ""883303769"",
  ""356001217"",
  ""861248931"",
  ""232097128""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_MSHA_MINES,FED_MSHA_VIOLATIONS,MINE_ID,STEEL,MINE_ID,MINE_ID,31277,91906.0,31277.0,100.0,1.0,"[
  ""3401947"",
  ""1700023"",
  ""1513235"",
  ""4502990""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
