YR,ST,FIPS5,ROWS_ALL,APPS,APPS_WIDE,DENIED,ORIG,ORIG_RS,ORIG_HOEPA,ORIG_LIEN1,ORIG_LIEN1_RS,AVG_RS
2016,TN,47119,6045,4396,5195,958,3209,211,0,3044,209,2.431280
2015,OH,39057,6520,5040,5707,959,3833,133,0,3695,129,2.218045
2016,IL,17043,53223,37970,44848,6707,30187,684,2,29668,642,2.286550
2017,NC,37119,57877,40561,50686,6901,31803,1872,2,30475,1842,2.234509
2016,AL,01003,15039,10865,13090,2693,7705,356,0,7402,351,2.943820
2015,TN,47105,2649,1930,2289,471,1351,74,1,1293,74,3.405405
2015,FL,12115,21596,15881,19115,3804,11496,556,1,11159,542,2.309353
2015,CO,08067,3186,2283,2710,452,1729,43,0,1675,40,2.906977
2017,VA,51153,29454,18961,24047,3506,14693,394,3,13801,338,2.682741
2015,TX,48121,54667,36908,44479,6447,28933,1526,3,27212,1400,2.610092
2017,MI,26125,68738,49945,60158,9128,39199,2226,32,36793,2009,3.129380
2015,SC,45019,23588,17217,20668,3306,13191,387,0,12736,336,2.994832
2016,AZ,04019,63807,39401,50435,8755,29584,1714,0,29015,1695,2.211202
2015,TX,48381,7319,4950,5772,821,3822,454,3,3629,427,2.574890
2017,MI,26139,14057,10500,12221,1498,8558,635,0,8014,601,4.018898
2015,MN,27003,22005,14984,17460,2506,12051,300,1,11287,283,3.313333
2016,OH,39061,36332,27488,32148,6201,20238,1064,0,19571,1040,2.220865
2017,WA,53035,17013,12081,15069,1934,9638,407,4,9174,381,2.444717
2015,ID,16027,11973,9157,10732,1773,6951,381,0,6437,365,2.259843
2015,VA,51087,16854,11867,13938,2420,8917,246,1,8333,226,2.394309
2016,MO,29183,32582,21077,24717,2831,17671,548,4,17285,526,2.443431
2017,TN,47157,35072,23265,28426,5854,16232,933,2,15440,916,2.188639
2016,FL,12009,35959,26033,31757,6710,17937,1112,0,16887,1100,2.209532
2015,MN,27037,25868,18108,20784,2680,14854,254,0,13973,232,2.976378
2016,FL,12071,44664,32842,39365,8662,22998,1943,2,22408,1921,2.201235
2017,CA,06017,14111,9810,12474,1880,7520,240,4,7235,228,2.650000
2016,SC,45051,22782,17588,20871,4302,12648,850,0,12330,848,2.864706
2016,GA,13115,3444,2444,2941,718,1653,124,0,1538,120,2.661290
2015,FL,12109,16357,11860,14463,2405,8996,360,0,8662,348,2.469444
2017,OH,39055,3889,2813,3425,528,2148,97,0,2036,95,2.731959
2017,ID,16001,29112,21959,26043,2738,18041,420,1,16778,316,2.897619
2017,NC,37001,7331,5024,6282,1204,3623,317,0,3489,315,2.334385
2016,CA,06099,31871,21743,27019,5076,15916,1018,1,15374,1002,2.300589
2016,MS,28033,10859,7675,8957,1942,5461,260,0,5132,252,2.407692
2017,FL,12117,22376,15508,19545,3399,11648,749,2,11108,729,2.348465
2016,FL,12109,19787,14055,17455,2843,10769,415,2,10452,394,2.563855
2016,SC,45015,14276,10198,12263,2460,7322,527,0,6941,519,3.163188
2017,WA,53005,9919,7486,9091,1089,6108,382,1,5716,372,2.188482
2015,FL,12031,39438,28574,34917,7902,19514,1460,1,18149,1429,2.378082
2015,WA,53011,30634,22116,26648,3571,17589,678,0,16940,652,2.296460
2017,DE,10001,9221,6103,7623,1600,4261,361,0,3956,348,2.526316
2017,CA,06041,11688,8174,10148,1320,6534,102,11,6263,97,2.823529
2016,TN,47093,25764,18827,22382,4178,13683,633,2,13009,600,2.644550
2017,NC,37125,5282,3596,4469,632,2811,77,0,2755,74,2.766234
2017,OH,39041,11574,8164,9739,1081,6753,197,0,6420,171,2.578680
2015,NJ,34017,18887,12852,16111,3295,9060,248,0,8899,238,2.596774
2016,CO,08077,11154,7599,9417,1526,5851,521,0,5745,518,2.284069
2016,OK,40109,37314,27711,31890,6334,20197,1365,9,17710,1283,2.476190
2016,MD,24043,6791,4621,5556,1169,3282,146,0,3142,139,2.458904
2015,AR,05131,4770,3578,4027,831,2597,160,0,2355,151,2.812500
2015,ND,38017,8269,6080,6803,614,5362,144,1,4872,129,2.638889
2016,NY,36119,26568,18936,23292,4718,13414,268,14,13094,253,2.787313
2016,PA,42049,9010,7372,8339,1739,5332,245,0,4768,243,2.644898
2015,MI,26045,5179,3934,4597,896,2909,145,1,2522,144,3.475862
2017,SD,46083,3993,2849,3143,274,2318,58,1,2155,55,2.793103
2015,NC,37183,61260,42502,51426,6837,33889,774,0,33054,731,2.528424
2016,ID,16055,12325,8935,10475,1773,6730,172,0,6402,138,2.906977
2016,PA,42129,14503,11138,12851,2596,8086,304,2,7266,284,2.500000
2017,FL,12109,18727,12860,16114,2242,10172,493,1,9805,477,2.423935
2016,CA,06095,34917,24717,30605,5579,18152,668,2,17690,621,2.565868
2015,OH,39045,7420,5287,6216,1120,3925,285,0,3732,276,2.238596
2015,AZ,04019,51862,32177,40228,6612,24743,1806,1,24381,1739,2.342746
2017,MI,26111,3540,2626,3231,407,2152,188,0,1951,184,2.452128
2017,WV,54055,1495,1166,1378,417,708,143,0,666,143,3.041958
2016,NC,37021,14646,10454,12850,2479,7504,302,5,7328,297,3.185430
2015,VA,51177,8763,6210,7420,1441,4501,143,0,4189,127,2.699301
2017,OR,41047,17034,12045,14947,2297,9260,435,2,8949,410,2.636782
2016,WV,54039,6493,4994,5881,1501,3263,283,2,3004,282,2.925795
2015,WI,55111,2716,2155,2549,479,1594,65,1,1510,65,2.600000
2016,MN,27163,18587,13090,15280,2046,10679,179,1,10023,169,2.642458
2015,NY,36069,4498,3482,3803,674,2675,93,0,2093,92,2.870968
2015,UT,49057,16797,11560,13848,1944,9227,670,0,8387,498,2.880597
2015,OR,41029,10593,7506,9141,1353,5789,369,0,5656,360,2.533875
2017,OH,39133,6276,4453,5386,1021,3261,278,0,3102,268,2.528777
2015,GA,13151,13437,8656,11017,2594,5713,565,0,5490,561,2.077876
2017,NH,33011,20631,13975,17247,2469,10896,556,0,10289,514,2.348921
2016,IN,18059,5302,3850,4540,786,2872,192,0,2744,184,2.208333
2016,MA,25011,3050,2343,2796,547,1752,31,0,1418,29,2.838710
2016,OH,39153,23573,17091,19941,4050,12428,911,0,11891,891,2.161361
2015,CT,09011,10444,7833,9405,1889,5576,166,0,5022,152,2.560241
2016,CT,09009,31501,22766,27715,6417,15318,618,1,14592,602,2.411003
2017,UT,49011,22476,15349,18810,2048,12756,616,5,11450,463,2.969156
2015,KY,21235,1060,774,964,335,409,93,1,369,93,3.967742
2016,IN,18127,10211,7299,8588,1511,5505,327,2,5238,306,2.492355
2017,MO,29097,4858,3530,4114,730,2654,220,1,2481,213,2.672727
2015,VA,51760,8197,5877,6901,1351,4259,113,0,4037,110,2.247788
2016,RI,44007,25568,18301,22190,4458,13383,628,0,12282,551,3.159236
2017,GA,13313,3329,2433,2968,761,1553,198,1,1456,197,2.464646
2016,TX,48499,1646,1186,1439,427,692,143,1,655,139,3.440559
2015,OH,39017,16214,12015,14018,2697,8823,470,0,8559,463,2.300000
2017,SC,45013,12685,9048,11101,2021,6730,246,4,6538,240,3.170732
2015,NM,35025,2250,1580,1906,530,990,249,1,912,244,3.048193
2017,KY,21059,4061,3079,3577,604,2380,178,1,2246,176,2.578652
2016,OH,39085,10990,8144,9564,1975,5876,395,0,5662,390,2.197468
2016,NY,36087,8773,6271,7721,1702,4287,99,2,4174,98,2.363636
2016,MO,29021,3211,2478,2877,544,1827,189,0,1750,188,2.169312
2016,NM,35013,8672,5977,7371,1907,3826,283,10,3563,275,3.745583
2016,GA,13139,10833,7264,8963,1755,5313,350,0,5122,342,2.422857
2016,PA,42077,15071,10626,12855,2483,7779,358,0,7338,347,2.441341
2016,FL,12063,1322,1011,1231,482,492,45,0,431,43,3.911111
2017,MI,26091,4307,3208,3745,761,2344,196,2,2141,180,2.561224
2015,NY,36001,9450,7033,8161,1388,5310,126,0,4976,117,2.547619
2015,IA,19179,976,771,931,186,570,58,1,509,56,2.517241
2016,VA,51171,2348,1572,1889,362,1149,47,0,1078,44,2.510638
2016,GA,13051,14292,9710,12144,2669,6736,310,0,6500,305,2.493548
2017,MT,30031,5983,4104,4872,535,3334,83,0,3250,79,3.168675
2017,TX,48181,6435,4431,5488,917,3297,417,0,3160,414,2.467626
2017,VA,51800,5945,3787,4765,778,2898,119,1,2641,111,2.420168
2017,WI,55009,11382,8776,10005,1009,7489,237,13,6949,223,3.050633
2017,NJ,34031,15459,9840,12833,2188,7157,511,3,6919,507,2.346380
2017,FL,12091,13278,8364,10523,1624,6443,294,0,6313,290,2.663265
2016,TX,48141,30499,22656,26872,7311,13650,1877,0,12545,1845,2.495471
2015,AZ,04025,13768,9382,11650,2028,7019,472,2,6933,464,2.497881
2016,OH,39173,5496,4285,4950,938,3173,180,1,3014,167,2.772222
2016,NJ,34035,16623,11616,14372,2284,8922,197,2,8694,188,2.406091
2016,TX,48091,11488,7725,9610,1650,5653,344,0,5245,333,3.119186
2016,AL,01125,9445,6479,7780,1755,4476,242,0,4220,240,3.380165
2015,NM,35031,933,709,872,362,319,60,0,296,60,4.583333
2015,VA,51153,34192,22443,27572,4707,16777,442,0,15796,387,2.857466
2016,NJ,34007,22808,14483,18372,4098,9905,713,0,9241,671,2.255259
2015,NM,35043,8395,5935,7352,1500,4208,240,0,3900,224,2.804167
2015,CA,06031,5066,3236,4025,796,2321,166,0,2182,162,2.216867
2016,NY,36007,4883,3642,4213,932,2553,121,0,2244,119,2.388430
2017,IN,18163,8075,5894,6883,1050,4685,417,5,4213,414,2.424460
2015,IN,18067,3359,2509,2980,540,1856,181,0,1789,177,2.325967
2016,OR,41011,2782,2003,2543,513,1412,55,0,1371,54,2.309091
2017,VA,51099,1445,977,1218,223,720,26,0,667,20,2.846154
2015,TN,47119,5135,3722,4364,853,2670,167,0,2502,163,2.628743
2015,GA,13127,4101,2947,3514,672,2189,113,0,2094,110,2.442478
2015,WA,53015,5870,3934,5020,745,2955,170,0,2825,167,2.188235
2016,IN,18051,1607,1222,1407,316,868,81,1,790,80,2.604938
2016,WV,54003,6819,4742,5494,1055,3520,128,0,3338,125,2.703125
2015,CO,08037,4112,3141,3741,625,2392,39,0,2314,36,3.974359
2015,OR,41033,3790,2759,3413,553,2070,104,0,1998,97,2.432692
2015,CT,09009,28214,20248,24540,5255,14044,549,1,13355,522,2.504554
2017,WI,55087,9015,7297,8133,785,6192,232,4,5458,224,2.586207
2016,VA,51095,5397,3777,4601,737,2924,32,0,2822,30,2.468750
2017,AL,01097,16295,11949,14439,3782,7575,645,7,7013,638,2.615504
2015,TN,47073,2109,1589,1929,486,1022,166,0,965,164,3.042169
2016,PA,42055,7079,5100,5967,1265,3601,165,2,3233,156,2.727273
2016,AR,05031,5186,3693,4166,788,2718,172,0,2549,168,2.598837
2015,KY,21037,4583,3397,3906,761,2474,109,0,2399,105,2.293578
2015,MS,28121,7151,4562,5284,991,3434,206,0,3126,198,3.000000
2015,AR,05045,5584,3705,4292,768,2777,120,0,2653,113,3.483333
2017,NC,37063,14351,9857,12347,1697,7743,283,0,7488,278,2.257951
2016,MN,27137,9034,6798,7770,1519,5044,335,1,4776,319,2.453731
2016,NJ,34031,17182,11473,14492,3047,7953,523,1,7709,517,2.441683
2016,CA,06039,7240,4946,6174,1399,3365,232,0,3297,229,2.219828
2017,IN,18033,2147,1599,1800,299,1229,127,0,1130,120,2.362205
2017,UT,49045,6169,4039,5051,639,3291,265,2,2905,214,2.660377
2015,WI,55117,5102,4108,4763,748,3256,170,2,2870,141,2.976471
2016,ID,16065,1260,925,1063,193,688,15,0,660,12,2.533333
2015,AR,05007,14807,10987,12619,2081,8461,329,3,7896,297,2.948328
2015,AZ,04021,24896,16223,19886,3386,12317,1685,4,12012,1566,2.373294
2016,CA,06097,30979,22506,27760,4156,17749,309,0,17400,289,3.012945
2015,PA,42013,3951,3264,3614,721,2439,117,0,2092,116,2.358974
2015,FL,12089,4634,3464,4145,873,2440,165,0,2333,163,2.660606
2015,NV,32013,646,491,565,127,347,45,0,336,44,2.111111
2016,MS,28091,976,756,880,258,465,147,0,395,140,4.115646
2016,IN,18091,4882,3548,4209,952,2481,253,5,2297,223,2.719368
2017,NJ,34019,5648,3846,4849,739,2946,76,0,2781,74,2.276316
2016,VA,51670,1018,712,853,235,453,29,0,412,29,2.310345
2017,NY,36109,1857,1612,1764,197,1361,60,0,1124,58,3.483333
2017,KY,21113,2403,1701,2020,241,1407,39,0,1320,38,2.410256
2015,MO,29029,3303,2354,2848,414,1846,70,0,1800,70,2.300000
2017,SC,45031,1811,1342,1650,515,769,136,0,724,136,3.352941
2015,MO,29037,5527,3864,4503,658,3061,207,0,2948,202,2.473430
2016,IL,17201,10430,7609,8832,1675,5699,311,0,5288,293,2.405145
2015,SC,45027,960,787,903,338,413,56,0,363,56,3.464286
2017,PA,42015,1926,1505,1764,336,1099,139,0,933,138,2.611511
2017,SC,45057,5078,3662,4426,749,2766,213,4,2713,208,2.943662
2016,CA,06113,11564,8377,10408,1654,6434,160,0,6304,150,2.537500
2015,KS,20103,3584,2528,2978,488,1965,98,0,1885,93,2.346939
2017,LA,22057,3494,2699,3105,643,1920,427,9,1828,419,2.826698
2016,SC,45041,4781,3719,4371,1225,2348,230,0,2138,223,3.343478
2016,KY,21037,5059,3703,4357,763,2794,135,1,2720,132,2.577778
2015,NY,36063,5496,4120,4571,1027,2977,133,0,2739,125,2.503759
2016,VT,50001,1606,1307,1516,293,964,35,2,856,31,3.171429
2015,IA,19153,27449,19661,22364,3034,15965,559,2,14600,461,3.202147
2017,OH,39123,1920,1509,1797,341,1098,77,1,1020,71,2.662338
2015,TX,48367,7486,5131,6201,1090,3834,378,0,3558,366,2.939153
2015,TX,48469,3081,2085,2525,527,1483,256,0,1423,253,3.035156
2017,NC,37037,3762,2596,3218,437,2069,57,1,2006,56,2.912281
2015,TX,48013,1587,1082,1429,437,595,164,0,562,164,4.371951
2015,HI,15009,6145,4804,5698,965,3674,41,1,3454,39,2.682927
2017,IL,17161,6067,4657,5410,733,3799,250,2,3228,242,2.472000
2016,MN,27093,979,756,849,156,580,36,0,548,34,2.361111
2015,IN,18175,1119,858,987,248,567,79,0,518,75,2.696203
2017,SD,46019,384,264,312,55,206,11,1,199,11,3.272727
2015,IN,18105,5044,3645,4142,617,2833,97,0,2652,94,2.525773
2017,LA,22071,13870,8917,11354,2124,6326,437,1,6039,414,2.414188
2017,AL,01009,2452,1739,2131,526,1128,219,4,1072,215,3.433790
2016,FL,12117,24705,17950,22018,4559,12904,619,1,12477,596,2.408724
2016,NY,36117,3386,2625,2896,613,1930,85,0,1445,80,3.117647
2015,VA,51013,11138,7472,8945,965,6274,36,0,6044,26,2.805556
2016,UT,49005,6708,4694,5513,705,3855,78,0,3626,49,3.102564
2015,OR,41005,25967,18062,22139,3053,14299,459,0,13973,439,2.941176
2017,IA,19017,1099,890,1023,99,752,10,0,573,10,2.300000
2016,AL,01051,4866,3565,4246,1010,2409,217,1,2252,216,3.304147
2016,WA,53031,1831,1377,1700,309,997,25,1,966,24,2.480000
2016,WA,53025,3549,2618,3205,623,1888,164,0,1812,158,2.292683
2017,KY,21003,875,685,788,195,448,68,0,425,68,2.647059
2015,NC,37057,6167,4325,5282,1272,2891,181,1,2773,181,2.712707
2017,WV,54033,2025,1529,1777,372,1102,66,0,1008,62,2.969697
2015,AL,01089,19990,13862,16532,2895,10382,446,1,8917,431,2.775785
2015,LA,22079,5062,3748,4408,856,2715,373,1,2556,368,3.104558
2015,TN,47163,5822,4494,5277,1100,3197,392,1,3034,383,2.561224
2017,NC,37155,2913,1971,2719,997,878,212,0,831,209,4.419811
2017,IN,18167,3454,2665,3045,591,1940,236,1,1820,235,2.114407
2016,OH,39093,14458,10582,12384,2579,7628,588,1,7308,572,2.607143
2017,TX,48259,2297,1546,1926,271,1188,71,2,1084,68,2.676056
2017,OH,39091,1822,1378,1648,341,983,144,1,922,124,3.159722
2017,SC,45007,8444,6077,7265,1498,4340,350,1,4140,345,2.940000
2015,WA,53031,1600,1231,1479,267,921,23,0,894,20,2.434783
2017,AR,05045,6057,4021,4734,834,2994,146,0,2828,144,3.452055
2016,VA,51800,6632,4477,5433,1041,3274,108,0,3044,98,2.648148
2017,WI,55039,4024,3257,3747,581,2537,197,19,2360,188,4.091371
2015,LA,22017,8818,6166,7441,1796,4104,549,6,3885,519,2.907104
2015,IL,17001,1436,1107,1201,220,813,53,0,791,52,2.150943
2017,HI,15001,6579,5002,6082,1008,3812,63,0,3773,60,2.428571
2017,MD,24035,3318,2207,2720,376,1734,40,0,1625,36,2.375000
2017,OR,41057,1729,1272,1566,259,944,27,0,928,26,2.185185
2015,MS,28047,7034,5028,6104,1300,3537,189,0,3298,188,2.746032
2016,MN,27171,9741,6910,7958,1103,5646,209,1,5386,202,2.856459
2016,VT,50007,7600,6094,6993,788,5091,69,0,4742,61,2.681159
2015,TX,48071,2188,1490,1794,339,1086,152,0,1018,149,2.934211
2017,NV,32007,2459,1581,1956,283,1230,177,0,1194,170,2.276836
2017,TX,48221,3730,2487,3085,446,1941,219,2,1823,214,2.949772
2015,TX,48213,3070,2192,2656,631,1417,245,0,1357,241,3.330612
2016,GA,13147,1021,685,858,192,470,48,0,462,48,3.104167
2017,NM,35013,8094,5419,6739,1501,3648,346,7,3429,339,3.054913
2016,VA,51161,4994,3574,4225,822,2632,63,0,2427,62,2.380952
2015,MN,27007,895,698,807,138,533,32,0,484,31,2.656250
2016,AR,05121,726,580,657,155,393,72,0,355,70,2.625000
2017,NY,36111,4919,3797,4572,861,2742,118,1,2466,107,2.949153
2017,WY,56023,989,716,861,151,534,25,0,518,23,2.240000
2016,KS,20209,5737,4039,4846,1152,2714,249,1,2629,240,2.546185
2015,IL,17095,1488,1207,1384,264,899,54,0,783,50,2.370370
2016,WA,53055,982,705,911,173,507,8,0,493,8,2.125000
2017,MO,29187,2601,1806,2191,367,1378,144,0,1318,138,2.826389
2016,AL,01015,4759,3355,4098,1156,2041,219,0,1880,217,3.789954
2017,VA,51031,2002,1474,1792,337,1077,95,0,1012,94,3.084211
2017,IL,17027,1436,1015,1187,173,818,28,0,760,27,2.500000
2017,LA,22079,4499,3384,4049,773,2433,413,3,2265,402,3.104116
2016,OH,39003,3537,2706,3103,598,2008,129,0,1919,123,2.457364
2016,MI,26017,4250,3274,3910,759,2431,250,2,2147,240,2.376000
2016,AL,01045,1754,1303,1547,395,827,87,0,773,87,3.137931
2016,NH,33019,1330,971,1166,296,636,35,0,615,34,2.057143
2016,NC,37153,1238,893,1137,361,497,66,1,466,66,3.651515
2015,TX,48473,1713,1215,1505,359,769,95,0,709,93,3.178947
2016,HI,15001,7251,5660,6838,1671,3833,58,0,3796,58,2.344828
2017,WV,54079,2579,1996,2356,435,1435,83,0,1316,81,3.385542
2015,ID,16083,3094,2304,2700,546,1633,62,0,1515,56,2.403226
2015,MA,25007,1267,941,1106,164,758,3,0,746,3,4.000000
2017,OR,41019,4557,3248,4114,696,2358,92,0,2305,90,2.608696
2015,WI,55101,8089,6166,7129,1289,4676,222,5,4440,199,2.761261
2016,KY,21073,1971,1415,1707,273,1078,74,0,1008,73,2.405405
2017,PR,72135,1073,870,955,313,519,40,0,394,40,2.050000
2017,IN,18139,594,457,528,112,315,39,0,287,37,2.307692
2017,IN,18177,2208,1780,1999,418,1275,130,0,1190,128,2.276923
2015,NC,37023,2589,1936,2333,569,1289,107,0,1242,106,2.859813
2015,AR,05145,2999,2062,2377,615,1362,147,0,1273,144,3.986395
2016,NC,37147,6449,4537,5565,1194,3193,190,0,3137,188,2.863158
2015,OH,39027,1401,1079,1251,255,773,57,0,753,57,2.350877
2015,NE,31019,1512,1203,1316,216,946,52,0,867,49,2.711538
2016,FL,12065,481,335,429,146,176,35,0,167,35,3.200000
2015,LA,22057,4009,3112,3600,698,2266,224,0,2135,218,3.227679
2016,PR,72021,3776,2907,3315,983,1831,132,3,1402,132,2.272727
2017,MD,24001,2028,1453,1752,275,1126,69,0,953,69,2.202899
2017,AR,05035,1997,1386,1609,478,851,77,0,710,76,2.896104
2016,WI,55043,1449,1233,1411,234,907,57,3,871,52,2.912281
2015,MS,28085,911,721,840,236,458,96,0,393,95,4.156250
2015,AZ,04017,3945,2635,3410,802,1727,139,0,1691,137,2.884892
2015,IL,17037,3876,2867,3316,553,2166,116,1,2043,102,2.681034
2017,MN,27143,612,444,520,59,370,47,0,330,47,2.255319
2015,WV,54033,2192,1715,1929,476,1179,88,1,1053,87,2.943182
2015,MO,29159,1259,895,1004,211,647,29,0,628,29,2.413793
2016,IL,17051,507,398,444,106,266,16,0,251,16,2.562500
2015,TN,47113,3444,2564,2986,626,1820,106,0,1737,103,2.622642
2017,OH,39089,8778,6265,7412,1180,4816,359,0,4532,344,2.459610
2017,IA,19033,888,716,813,150,537,34,0,510,34,2.147059
2017,OH,39027,1477,1104,1334,253,798,84,1,774,82,2.285714
2016,MO,29027,1923,1500,1703,346,1083,51,0,1018,49,2.607843
2016,TX,48021,4145,2897,3623,890,1864,302,1,1724,300,3.394040
2017,OK,40125,2720,2083,2430,546,1399,170,1,1156,165,3.358824
2016,NM,35043,9869,6994,8822,1912,4807,245,1,4456,231,2.636735
2016,TX,48469,3281,2246,2709,658,1521,232,0,1441,229,2.905172
2015,PR,72031,3561,2725,3130,898,1730,179,5,1338,179,2.368715
2017,NY,36117,3361,2562,2892,491,1987,85,0,1508,82,2.517647
2015,GA,13227,1649,1182,1422,280,851,52,0,804,52,2.307692
2016,MI,26067,2678,2052,2416,463,1514,153,0,1417,149,2.620915
2017,PA,42021,3488,2770,3125,610,2048,159,2,1688,158,2.257862
2016,TN,47117,1707,1167,1435,274,834,94,0,803,91,2.510638
2015,FL,12119,5963,4794,5627,788,3910,115,0,3816,113,3.095652
2016,MI,26027,2460,1881,2231,460,1362,109,0,1261,104,2.385321
2016,NM,35005,2020,1488,1847,518,900,120,0,839,120,2.708333
2017,TX,48325,2076,1423,1829,424,916,199,1,864,199,3.462312
2015,OH,39009,791,594,708,156,410,48,0,400,46,2.729167
2017,TN,47145,2601,1858,2261,515,1204,122,2,1125,121,3.098361
2016,KS,20177,7227,5844,6595,1068,4449,254,7,4266,247,2.330709
2015,GA,13029,2769,1804,2214,374,1376,61,0,1341,59,2.901639
2017,VA,51093,2078,1347,1702,284,1023,43,0,961,41,3.465116
2016,NC,37069,3703,2578,3154,713,1758,108,0,1716,107,2.759259
2017,OK,40095,600,469,562,139,294,71,0,275,71,3.126761
2017,LA,22039,758,611,708,154,416,157,4,384,155,2.719745
2017,VA,51019,3718,2705,3284,578,2047,100,0,1895,94,2.620000
2017,NM,35009,1564,1065,1345,258,764,73,0,736,73,2.068493
2015,OH,39139,3498,2769,3157,678,1980,127,0,1833,126,2.133858
2017,MA,25011,2643,2009,2379,335,1628,43,0,1226,43,2.139535
2015,IN,18173,3365,2476,2867,466,1955,115,0,1739,113,2.678261
2017,TN,47153,792,617,727,127,469,96,1,384,96,3.000000
2016,MD,24045,3876,2701,3279,782,1802,108,0,1712,105,2.527778
2017,TN,47105,2815,1924,2368,382,1449,77,3,1384,75,2.870130
2016,SC,45021,1572,1109,1400,408,652,107,0,631,107,3.831776
2016,NY,36065,7099,5869,6375,1243,4426,238,10,3369,215,3.168067
2015,OR,41041,2554,1842,2340,483,1255,45,0,1236,45,2.377778
2015,CT,09007,7202,5144,6256,1114,3807,93,0,3616,89,2.591398
2015,IN,18071,1676,1191,1390,285,863,70,0,802,68,2.257143
2017,PA,42123,1006,829,965,192,605,61,0,516,60,2.409836
2017,KY,21021,897,618,762,160,436,30,0,414,29,2.933333
2017,WI,55095,2261,1625,1983,315,1276,67,3,1229,65,2.791045
2017,LA,22121,1290,918,1125,264,622,108,1,596,108,3.481481
