db,schema,status,tables,rows_live,bytes
THE_LIBRARY,ECONOMY,legacy_dead,13,0,0
THE_LIBRARY,EDUCATION,legacy_dead,1,0,0
THE_LIBRARY,ELECTIONS,legacy_dead,5,0,0
THE_LIBRARY,ENERGY_ENVIRONMENT,legacy_dead,12,0,0
THE_LIBRARY,GEOGRAPHY,legacy_dead,11,0,0
THE_LIBRARY,GOVERNMENT,legacy_dead,31,0,0
THE_LIBRARY,GOVERNMENT_SPENDING,legacy_dead,11,0,0
THE_LIBRARY,HEALTH,legacy_dead,44,0,0
THE_LIBRARY,HISTORY,legacy_dead,8,0,0
THE_LIBRARY,HOUSING,legacy_dead,5,0,0
THE_LIBRARY,IMMIGRATION,legacy_dead,8,0,0
THE_LIBRARY,INVESTIGATIONS,legacy_dead,7,0,0
THE_LIBRARY,JUSTICE,legacy_dead,22,0,0
THE_LIBRARY,MISC,legacy_dead,1,0,0
THE_LIBRARY,MONEY,legacy_dead,6,0,0
THE_LIBRARY,OPEN_DATA,legacy_dead,6,0,0
THE_LIBRARY,PROCUREMENT,legacy_dead,2,0,0
THE_LIBRARY,PUBLIC,legacy_dead,1,0,0
THE_LIBRARY,SANCTIONS,legacy_dead,4,0,0
THE_LIBRARY,SCIENCE,legacy_dead,6,0,0
THE_LIBRARY,SPENDING,legacy_dead,1,0,0
THE_LIBRARY,TRANSPORT,legacy_dead,5,0,0
