id	date	layer	tier	headline	chart	ledger_rows	tables	skeptic	sql	notes
F-022	2026-09-24	pairs	B	Five SBIR firms at one Newington CT address won $13.35M in 41 awards 2021-25; the Air Force barred all of them 2026-07-17	network	P:UEI:PROCUREMENT__FED_SAM_EXCLUSIONS~SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS		confirmed; duplicate-proposal check not run	reports/sweep_2026-09-24/sweep-b.sql	sweep-b live, skeptic confirmed; ban is public, proceedings pending; data match, not verified against primary records
F-023	2026-09-24	pairs	C	ATI Government Solutions' $6.8M after its SBA suspension is modifications on five older contracts, $4.6M a termination settlement		P:UEI:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2~HEALTH__SAM_EXCLUDED_PROVIDERS		sweep-b live; skeptic broke it; matches fable B5	reports/sweep_2026-09-24/sweep-b.sql	
F-024	2026-09-24	rollups	B	EPA-barred Amerihost Services drew $1.54M of HUD Section 8 in 27 payments during its 2021-26 government-wide ban	timeline	R:UEI:harm-money		narrowed: one HAP contract renewed yearly since 2007, not new grants; not a floor	reports/sweep_2026-09-24/sweep-c.sql	whether a HAP renewal is covered by the ban is a legal question; data match, not verified against primary records
F-025	2026-09-24	place	B	ICE detainees arrested 2+ years after entry got bond 7% of the time in Louisiana and 12% in Texas, vs 29% in Pennsylvania, 2023-25	dot plot by group	G:IMMIGRATION__FED_ICE_DETENTION_STINTS		narrowed: field means bond posted, not set; NM gap closes	reports/sweep_2026-09-24/sweep-d.sql	first pass said LA 4.1% vs PA 29.6% on all stays; border arrivals explain part
F-026	2026-09-24	names	B	loanDepot denied 74% of refinance applications in 2015-17, but only 8% of home-purchase ones, below Wells Fargo's 15%	grouped bars	N:HOUSING__FED_CFPB_HMDA_HISTORIC		narrowed, story flipped: first pass 56% on all rows	reports/sweep_2026-09-24/sweep-d.sql	refinance lead funnel; Nationstar 53%; split by loan purpose before ranking lenders
F-027	2026-09-24	singles	B	Share of people with a criminal conviction on ICE detainers fell from 43% to 16%, comparing October-March of FY23 and FY26	line over time	S:IMMIGRATION__FED_ICE_DETAINERS		narrowed: FY25 is 33% on matching months, not 28%; holds within form I-247A	reports/sweep_2026-09-24/sweep2-a.sql	step down at the Sep-Oct 2025 file boundary: policy change or file artifact, unknown; FY26 file cut 2026-03-11
F-028	2026-09-24	singles	B	One Egyptian national born 2001 controls 630 live UK companies, none filing accounts, most registered at one Manchester business centre	network	S:CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC		narrowed hard: PSC not-ceased is not company active; Southern 0 of 759 alive, Ayyaz 438 of 1,604	reports/sweep_2026-09-24/sweep2-a.sql	formation-agent pattern likely; data match, not verified against primary records
F-029	2026-09-24	singles	B	Illinois flags 30% of its nursing homes for abuse, three times the 9% rate elsewhere; Bria, Evercare and Infinity chains sit near 73%	choropleth map	S:HEALTH__FED_CMS_NURSING_HOME		narrowed hard: Bria alone is not unique inside Illinois	reports/sweep_2026-09-24/sweep2-a.sql	first pass compared Bria to the national 10%; the state explains most of it; is it inspectors or reality, unknown
F-030	2026-09-24	singles	B	US rail trespasser deaths rose 26% to 838 from 2017 to 2025 while other casualties fell; all 41 Brightline deaths in 2024 were trespassers	line over time	S:TRANSPORT__FED_FRA_CASUALTIES		confirmed	reports/sweep_2026-09-24/sweep2-a.sql	known story shape
F-031	2026-09-24	singles	B	In NYC's 2025 race, Fix the City took $35.6M from 381 gifts; Mamdani raised $4.03M from 54,103	paired bars	S:POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS		confirmed; 302 refund rows removed	reports/sweep_2026-09-24/sweep2-a.sql	known story
F-032	2026-09-24	singles	B	Two DME suppliers, Sunshine Senior Solutions FL and Almaz Med Supply NY, took 91% of all Medicare alginate-dressing payments in 2024, $593M of $649M, at 8-11x the typical supplier per patient	ranked bar	S:HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL		narrowed: catheter half is ordinary; $1.10B was allowed, paid about $860M	reports/sweep_2026-09-24/sweep3-a.sql	code A6197; data match, not verified against primary records
F-033	2026-09-24	singles	B	Bakersfield general surgeon Ravi Kapadia billed $96.8M allowed for skin substitutes on 28-35 patients in 2024, $2.6-3.3M each	dot strip	S:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI		narrowed: patient count is 28-35, not at most 28; skin substitutes $4.62B allowed, $3.68B paid, floors	reports/sweep_2026-09-24/sweep3-a.sql	DOJ pursued skin substitutes in 2025, check news; Aaron Jeng $110M on Q4205 to 403 patients; data match, not verified
F-034	2026-09-24	pairs	B	San Antonio nurse practitioner Kim Hinojosa wrote $24.9M of specialty Part D drugs in 2022, most of any NP, then $1.37M in 2024	slope chart	P:NPI:HEALTH__FED_CMS_PARTD_PRESCRIBERS~HEALTH__FQHC_SITE_PEOPLE		narrowed: specialty peers are $12-19M, not the $18K median; FQHC tie is a current-address join	reports/sweep_2026-09-24/sweep3-b.sql	hep C, IBD, psoriasis drugs; $20.4K from Gilead and AbbVie in 2022, above NP p99; 94% drop unexplained; data match, not verified
F-035	2026-09-24	singles	B	SpaceX logged 2.8x the injury rate of other space-vehicle makers in 2023-24, while holding $5.8B in federal contracts	dot plot by group	S:LABOR__FED_OSHA_ITA_300A_SUMMARY_2024,S:LABOR__FED_OSHA_ITA_300A_SUMMARY_2023		confirmed; each year alone 3.6-3.8x; own 336414 sites about 4.7x	reports/actor_pilot_2026-09-24/rank_osha.py	prior art: Reuters Nov 2023 on 2022 OSHA data, this is an update; peers Lockheed, Raytheon, Boeing, Blue Origin, ULA; data match, not verified
F-036	2026-09-24	singles	B	Ford's plants logged about 2x the injury rate of other vehicle makers in 2023-24; its truck plants ran 10.6 cases per 100 workers vs about 5.5 for peers	dot plot by group	S:LABOR__FED_OSHA_ITA_300A_SUMMARY_2024		confirmed; 2.01x after the hours cleanup; relabel the blended benchmark	reports/actor_pilot_2026-09-24/rank_osha.py	$894M federal contracts FY23-24; data match, not verified
F-037	2026-09-24	singles	C	General Dynamics and Huntington Ingalls shipyards run only 1.1-1.4x other shipyards once bad hours and missed names are fixed; Bath Iron Works is the outlier at 10-13		S:LABOR__FED_OSHA_ITA_300A_SUMMARY_2023		narrowed from 1.63x and 1.38x	reports/actor_pilot_2026-09-24/rank_osha.py	Electric Boat files under its own name in 2023; Ingalls absent from 2024; lead left open: Bath Iron Works
