id	status	score	schema	table	rows	event_date	entity	partners	partner_tables	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
T:JUSTICE__XC_WAPO_FATAL_FORCE	dead	11.0	JUSTICE	JUSTICE__XC_WAPO_FATAL_FORCE	10430	INCIDENT_DATE	names only	0		HARM PEOPLE MAP DEMOGRAPHIC OUTCOME	after INCIDENT_DATE: do the named VICTIM_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in INCIDENT_DATE :: timeline	before-after_line table timeline		MENTAL_ILLNESS_RELATED and BODY_CAMERA_PRESENT are 'false' on every row; at least 3 people entered twice	Shootings/yr 995 (2015) -> 1,175 (2024), steady climb; table stops 2024-12-31. Victims are the only names, so no after-date money trail; biggest same-day same-city cluster is 3. MPV (through 2026-07) is the fuller copy		sweep2-d	2026-09-24
T:LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	probed	11.0	LABOR	LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	890934	DATE_OF_INCIDENT	EIN	47	FED_IRS527_SCHEDULE_A_CONTRIBUTIONS, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_IRS_990_EFILE_INDEX, FED_IRS_EO_BMF, FED_IRS_BMF +42	HARM MAP OUTCOME TEXT	after DATE_OF_INCIDENT: does the same EIN keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_OF_INCIDENT: what did that EIN look like the year before; any warning sign :: before-after line | lag: days from DATE_OF_INCIDENT to the next event for the same EIN :: histogram | clusters: many events on one day or in one place in DATE_OF_INCIDENT :: timeline	before-after_line histogram timeline	ein-and-cik-width-mismatch reach-is-not-a-usable-join		890,934 cases, flat by month (67k-82k), 282 deaths. 76,808 rows have blank EIN. 22 of 229 EINs with a 2023 death had another in 2024-25. USPS EIN reads 41760000 in 2023 and 417600000 in 2024-25, so year-to-year joins miss it		sweep3-d	2026-09-24
T:LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	probed	10.9	LABOR	LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	688649	DATE_OF_INCIDENT	EIN	47	FED_IRS527_SCHEDULE_A_CONTRIBUTIONS, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_IRS_990_EFILE_INDEX, FED_IRS_EO_BMF, FED_IRS_BMF +42	HARM MAP OUTCOME TEXT	after DATE_OF_INCIDENT: does the same EIN keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_OF_INCIDENT: what did that EIN look like the year before; any warning sign :: before-after line | lag: days from DATE_OF_INCIDENT to the next event for the same EIN :: histogram | clusters: many events on one day or in one place in DATE_OF_INCIDENT :: timeline	before-after_line histogram timeline	ein-and-cik-width-mismatch reach-is-not-a-usable-join	DATE_OF_DEATH is blank on every row; deaths are INCIDENT_OUTCOME = '1'	688,649 cases, 201 deaths, flat by month. Top deaths with an EIN: USPS 15, UPS 9, Walmart 5. 60,355 rows have blank EIN (company 'test'). Partner = 2025 ITA: USPS 11 more deaths		sweep3-d	2026-09-24
T:JUSTICE__FED_FJC_ARTICLE_III_JUDGES	probed	10.8	JUSTICE	JUSTICE__FED_FJC_ARTICLE_III_JUDGES	4074	COMMITTEE_ACTION_DATE_1	names only	0		PEOPLE OFFICIALS MAP DEMOGRAPHIC OUTCOME	after COMMITTEE_ACTION_DATE_1: do the named LAST_NAME, FIRST_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in COMMITTEE_ACTION_DATE_1 :: timeline	before-after_line table timeline			Nomination to confirmation, median: 42 days (1980s), 159 (2010s), 99 (2020s). Committee vote to confirmation: 2 to 88 to 41 days. Obama 160, Trump 140, Biden 100. Money-table bridge not run; JID bridge to CourtListener exists		sweep3-d	2026-09-24
T:LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	probed	10.8	LABOR	LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	330447	DATE_OF_INCIDENT	EIN	47	FED_IRS527_SCHEDULE_A_CONTRIBUTIONS, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_IRS_990_EFILE_INDEX, FED_IRS_EO_BMF, FED_IRS_BMF +42	HARM MAP OUTCOME TEXT	after DATE_OF_INCIDENT: does the same EIN keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_OF_INCIDENT: what did that EIN look like the year before; any warning sign :: before-after line | lag: days from DATE_OF_INCIDENT to the next event for the same EIN :: histogram | clusters: many events on one day or in one place in DATE_OF_INCIDENT :: timeline	before-after_line histogram timeline	ein-and-cik-width-mismatch reach-is-not-a-usable-join	a partial load: each month holds about half of 2024's cases	330,447 cases, 130 deaths. Every month holds about half of 2024's (26k-30k vs 52k-63k), so the file is a partial load, not a safer year. Top deaths: USPS 11, blank-EIN bucket 11		sweep3-d	2026-09-24
T:POLITICS__FED_FJC_JUDGES	skip	10.8	POLITICS	POLITICS__FED_FJC_JUDGES	4067	COMMITTEE_ACTION_DATE_1	names only	0		PEOPLE OFFICIALS MAP DEMOGRAPHIC OUTCOME	after COMMITTEE_ACTION_DATE_1: do the named LAST_NAME, FIRST_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in COMMITTEE_ACTION_DATE_1 :: timeline	before-after_line table timeline		an older copy of JUSTICE__FED_FJC_ARTICLE_III_JUDGES	auto-skip at build: POLITICS__FED_FJC_JUDGES is a copy of JUSTICE__FED_FJC_ARTICLE_III_JUDGES; the original's rows carry the work		build	2026-09-24
T:HEALTH__FQHC_SITE_PEOPLE	dead	10.7	HEALTH	HEALTH__FQHC_SITE_PEOPLE	239265	EXCLUSION_DATE	NPI	40	FED_CMS_PARTD_PRESCRIBERS, FED_CMS_OPEN_PAYMENTS, FED_CMS_OPEN_PAYMENTS_2023, FED_CMS_OPEN_PAYMENTS_2022, FED_CMS_MEDICARE_DIALYSIS_FACILITIES +35	HARM PEOPLE MAP	after EXCLUSION_DATE: does the same NPI keep getting money, licenses or contracts elsewhere :: before-after line | before EXCLUSION_DATE: what did that NPI look like the year before; any warning sign :: before-after line | lag: days from EXCLUSION_DATE to the next event for the same NPI :: histogram | clusters: many events on one day or in one place in EXCLUSION_DATE :: timeline	before-after_line histogram timeline	reach-is-not-a-usable-join	an address match against NPPES, not a staff list; a third of rows sit on 142 hospital campus sites	88 excluded NPIs at FQHC addresses. After exclusion: 0 Part D rows (file is DY2022) and 4 got Open Payments meals ($24-61). Only 1 updated NPPES after exclusion, so these are stale addresses, not people still working there		sweep3-d	2026-09-24
T:TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS	untouched	10.7	TRANSPORT	TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS	224941	DATE	names only	0		MONEY HARM MAP TEXT	after DATE: do the named REPORTING_RAILROAD_NAME, OTHER_RAILROAD_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE :: timeline	before-after_line table timeline						
T:HEALTH__FED_HHS_OIG_LEIE	untouched	10.5	HEALTH	HEALTH__FED_HHS_OIG_LEIE	83816	EXCLUSION_DATE	NPI	40	FED_CMS_PARTD_PRESCRIBERS, FED_CMS_OPEN_PAYMENTS, FED_CMS_OPEN_PAYMENTS_2023, FED_CMS_OPEN_PAYMENTS_2022, FED_CMS_MEDICARE_DIALYSIS_FACILITIES +35	HARM PEOPLE MAP	after EXCLUSION_DATE: does the same NPI keep getting money, licenses or contracts elsewhere :: before-after line | before EXCLUSION_DATE: what did that NPI look like the year before; any warning sign :: before-after line | lag: days from EXCLUSION_DATE to the next event for the same NPI :: histogram | clusters: many events on one day or in one place in EXCLUSION_DATE :: timeline	before-after_line histogram timeline	reach-is-not-a-usable-join					
T:ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS	untouched	10.3	ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS	112373	SETTLEMENT_ENTERED_DATE	NPDES_ID	9	FED_EPA_NPDES_NPDES_QNCR_HISTORY, FED_EPA_NPDES_NPDES_INSPECTIONS, FED_EPA_NPDES_ICIS_FACILITIES, FED_EPA_NPDES_NPDES_SICS, FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS +4	MONEY HARM	after SETTLEMENT_ENTERED_DATE: does the same NPDES_ID keep getting money, licenses or contracts elsewhere :: before-after line | before SETTLEMENT_ENTERED_DATE: what did that NPDES_ID look like the year before; any warning sign :: before-after line | lag: days from SETTLEMENT_ENTERED_DATE to the next event for the same NPDES_ID :: histogram | clusters: many events on one day or in one place in SETTLEMENT_ENTERED_DATE :: timeline	before-after_line histogram timeline						
T:IMMIGRATION__FED_ICE_DETAINERS	untouched	10.3	IMMIGRATION	IMMIGRATION__FED_ICE_DETAINERS	609769	FINAL_ORDER_DATE	ICE_FACILITY	2	FED_ICE_DETENTION_STINTS, FED_ICE_DETENTION_FACILITY_CODES	HARM MAP DEMOGRAPHIC OUTCOME	after FINAL_ORDER_DATE: does the same ICE_FACILITY keep getting money, licenses or contracts elsewhere :: before-after line | before FINAL_ORDER_DATE: what did that ICE_FACILITY look like the year before; any warning sign :: before-after line | lag: days from FINAL_ORDER_DATE to the next event for the same ICE_FACILITY :: histogram | clusters: many events on one day or in one place in FINAL_ORDER_DATE :: timeline	before-after_line histogram timeline						
T:ENVIRONMENT__FED_EPA_ECHO	untouched	10.2	ENVIRONMENT	ENVIRONMENT__FED_EPA_ECHO	3135554	DATE_LAST_INSPECTION	FRS_ID	19	FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS, FED_EPA_FRS_FACILITIES, XC_EPA_CORPORATE_CROSSWALK, FED_EPA_FRS_FRS_PROGRAM_LINKS, FED_EPA_FRS_FRS_FACILITIES +14	MONEY MAP OUTCOME	after DATE_LAST_INSPECTION: does the same FRS_ID keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_LAST_INSPECTION: what did that FRS_ID look like the year before; any warning sign :: before-after line | lag: days from DATE_LAST_INSPECTION to the next event for the same FRS_ID :: histogram | clusters: many events on one day or in one place in DATE_LAST_INSPECTION :: timeline	before-after_line histogram timeline	reach-is-not-a-usable-join	TOTAL_PENALTIES repeats shared-case penalties per facility, reads 0 on 100,701 penalized sites, and national settlements sit on one HQ; formal-action counts cover recent years only				
T:EDUCATION__FED_SENATE_LDA_FILINGS	untouched	10.1	EDUCATION	EDUCATION__FED_SENATE_LDA_FILINGS	1964969	TERMINATION_DATE	names only	0		OFFICIALS MAP DEMOGRAPHIC TEXT	after TERMINATION_DATE: do the named REGISTRANT_NAME, CLIENT_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in TERMINATION_DATE :: timeline	before-after_line table timeline		amendments repeat the original's total; sums double count				
T:FINANCE__SENATE_TRADES	untouched	10.1	FINANCE	FINANCE__SENATE_TRADES	15205	TRANSACTION_DATE	BIOGUIDE	18	FED_GOVINFO_BILL_COSPONSORS, BILL_COSPONSORS, FED_GOVINFO_BILLSTATUS, FED_VOTEVIEW_MEMBERS, BILLS +13	PEOPLE OFFICIALS TEXT	after TRANSACTION_DATE: does the same BIOGUIDE keep getting money, licenses or contracts elsewhere :: before-after line | before TRANSACTION_DATE: what did that BIOGUIDE look like the year before; any warning sign :: before-after line | lag: days from TRANSACTION_DATE to the next event for the same BIOGUIDE :: histogram | clusters: many events on one day or in one place in TRANSACTION_DATE :: timeline	before-after_line histogram timeline						
T:HEALTH__SAM_EXCLUDED_PROVIDERS	untouched	10.1	HEALTH	HEALTH__SAM_EXCLUDED_PROVIDERS	16144	ACTIVATION_DATE	NPI, UEI	10	FED_USASPENDING_ASSISTANCE_FULL, FED_USASPENDING_CONTRACTS_FULL_R2, FED_USASPENDING_CONTRACTS_FULL, FED_USASPENDING_CONTRACTS, XC_EPA_CORPORATE_CROSSWALK +5	HARM PEOPLE MAP	after ACTIVATION_DATE: does the same NPI, UEI keep getting money, licenses or contracts elsewhere :: before-after line | before ACTIVATION_DATE: what did that NPI, UEI look like the year before; any warning sign :: before-after line | lag: days from ACTIVATION_DATE to the next event for the same NPI, UEI :: histogram | clusters: many events on one day or in one place in ACTIVATION_DATE :: timeline	before-after_line histogram timeline		not health providers; every row is already in SAM_EXCLUSIONS, NPI guessed by name				
T:JUSTICE__FED_COURTLISTENER_DISCLOSURE_NON_INVESTMENT_INCOME	untouched	10.1	JUSTICE	JUSTICE__FED_COURTLISTENER_DISCLOSURE_NON_INVESTMENT_INCOME	15302	DATE_CREATED	no actor column	0		MONEY OFFICIALS DEMOGRAPHIC	timeline: count by month in DATE_CREATED; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DATE_CREATED :: timeline	line_over_time timeline		INCOME_AMOUNT blank on 99.3% of rows				
T:POLITICS__SENATE_TRADES	finding	10.0	POLITICS	POLITICS__SENATE_TRADES	8350	TRANSACTION_DATE	BIOGUIDE	18	FED_GOVINFO_BILL_COSPONSORS, BILL_COSPONSORS, FED_GOVINFO_BILLSTATUS, FED_VOTEVIEW_MEMBERS, BILLS +13	PEOPLE OFFICIALS TEXT	after TRANSACTION_DATE: does the same BIOGUIDE keep getting money, licenses or contracts elsewhere :: before-after line | before TRANSACTION_DATE: what did that BIOGUIDE look like the year before; any warning sign :: before-after line | lag: days from TRANSACTION_DATE to the next event for the same BIOGUIDE :: histogram | clusters: many events on one day or in one place in TRANSACTION_DATE :: timeline	before-after_line histogram timeline		ends 2020-12	F-009 B: Banking Committee senators were 19% of trading senators but made 34% of bank-stock trades, 2012-20	F-009	claude	2026-09-24
T:JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES	untouched	9.8	JUSTICE	JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES	66287	DATE_CREATED	CL_PERSON_ID	7	FED_COURTLISTENER_DOCKETS, FED_COURTLISTENER_ORIGINATING_COURT_INFO, FED_COURTLISTENER_POSITIONS, FED_COURTLISTENER_JUDGES, FED_COURTLISTENER_JUDGE_EDUCATIONS +2	PEOPLE OFFICIALS OUTCOME	after DATE_CREATED: does the same CL_PERSON_ID keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_CREATED: what did that CL_PERSON_ID look like the year before; any warning sign :: before-after line | lag: days from DATE_CREATED to the next event for the same CL_PERSON_ID :: histogram | clusters: many events on one day or in one place in DATE_CREATED :: timeline	before-after_line histogram timeline		YEAR_COL junk under 2000 and over 2030; PERSON_ID null on 56%				
T:CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	untouched	9.6	CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	17589036	DATE_RECEIVED	names only	0		HARM MAP OUTCOME TEXT	after DATE_RECEIVED: do the named COMPANY, COMPANY_RESPONSE show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE_RECEIVED :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:JUSTICE__FED_COURTLISTENER_CITATIONS	untouched	9.6	JUSTICE	JUSTICE__FED_COURTLISTENER_CITATIONS	18123788	DATE_CREATED	no actor column	0		HARM OFFICIALS	timeline: count by month in DATE_CREATED; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DATE_CREATED :: timeline	line_over_time timeline						
T:JUSTICE__FED_FJC_IDB_BANKRUPTCY	untouched	9.6	JUSTICE	JUSTICE__FED_FJC_IDB_BANKRUPTCY	6965441	ORIGINAL_FILING_DATE	no actor column	6	FED_COURTLISTENER_DOCKETS, FED_FJC_IDB_CIVIL, FED_COURTLISTENER_FJC_IDB_CL_LINKED, FED_FJC_IDB_CRIMINAL, FED_FJC_IDB_APPELLATE +1	MONEY MAP OUTCOME	timeline: count by month in ORIGINAL_FILING_DATE; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in ORIGINAL_FILING_DATE :: timeline	line_over_time timeline	reach-is-not-a-usable-join					
T:LABOR__FED_MSHA_VIOLATIONS	untouched	9.6	LABOR	LABOR__FED_MSHA_VIOLATIONS	3087265	VIOLATION_OCCUR_DATE	MINE_ID, MSHA_CONTROLLER_ID, MSHA_OPERATOR_ID	2	FED_MSHA_ACCIDENTS, FED_MSHA_MINES	MONEY HARM	after VIOLATION_OCCUR_DATE: does the same MINE_ID, MSHA_CONTROLLER_ID, MSHA_OPERATOR_ID keep getting money, licenses or contracts elsewhere :: before-after line | before VIOLATION_OCCUR_DATE: what did that MINE_ID, MSHA_CONTROLLER_ID, MSHA_OPERATOR_ID look like the year before; any warning sign :: before-after line | lag: days from VIOLATION_OCCUR_DATE to the next event for the same MINE_ID, MSHA_CONTROLLER_ID, MSHA_OPERATOR_ID :: histogram | clusters: many events on one day or in one place in VIOLATION_OCCUR_DATE :: timeline	before-after_line histogram timeline	three-tables-not-what-they-look-like					
