id	status	score	a	a_key	c	c_key	a_schema	c_schema	a_rows	c_rows	via	via_count	tags	look_for	charts	traps	found	finding_ids	by	date
H:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL~ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	probed	11.8	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	UEI	ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	FRS_ID	ECONOMICS	ENVIRONMENT	128155142	478855	UEI to FRS_ID via XC_EPA_CORPORATE_CROSSWALK	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_USASPENDING_ASSISTANCE_FULL UEI values that reach a FRS_ID through the crosswalk, and on to FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS :: flow diagram | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_ASSISTANCE_FULL for matched vs unmatched :: paired bars | after: does FED_USASPENDING_ASSISTANCE_FULL keep going after ACHIEVED_DATE in FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS :: before-after line	before-after_line flow_diagram paired_bars	reach-is-not-a-usable-join	385 of 354,619 UEIs reach NPDES informal (0.11%); $30.6B; grantees are rarely in a contractor-built crosswalk; crosswalk UEIs are matched from CONTRACTS_FULL, so reach is partly circular; names agree 20/20 at company level		sweep2-c	2026-09-24
H:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2~ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	probed	11.8	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2	UEI	ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	FRS_ID	ECONOMICS	ENVIRONMENT	93119582	478855	UEI to FRS_ID via XC_EPA_CORPORATE_CROSSWALK	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_USASPENDING_CONTRACTS_FULL_R2 UEI values that reach a FRS_ID through the crosswalk, and on to FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS :: flow diagram | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_CONTRACTS_FULL_R2 for matched vs unmatched :: paired bars | after: does FED_USASPENDING_CONTRACTS_FULL_R2 keep going after ACHIEVED_DATE in FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS :: before-after line	before-after_line flow_diagram paired_bars	reach-is-not-a-usable-join	1,590 of 582,656 UEIs reach NPDES informal; $334B; 'after' is moot: top firms' first warning letter predates 2006 contract data (Electric Boat 1994, $139B after); crosswalk UEIs are matched from CONTRACTS_FULL, so reach is partly circular; names agree 20/20 at company level		sweep2-c	2026-09-24
H:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL~ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	probed	11.8	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	UEI	ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	FRS_ID	ECONOMICS	ENVIRONMENT	20000000	478855	UEI to FRS_ID via XC_EPA_CORPORATE_CROSSWALK	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_USASPENDING_CONTRACTS_FULL UEI values that reach a FRS_ID through the crosswalk, and on to FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS :: flow diagram | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_CONTRACTS_FULL for matched vs unmatched :: paired bars | after: does FED_USASPENDING_CONTRACTS_FULL keep going after ACHIEVED_DATE in FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS :: before-after line	before-after_line flow_diagram paired_bars	reach-is-not-a-usable-join	1,599 of 31,685 crosswalk UEIs reach NPDES informal (5,606 of 478,855 actions, 1.2%); the 31,685 all come from this table: circular		sweep2-c	2026-09-24
H:ECONOMICS__FED_USASPENDING_CONTRACTS~ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	probed	11.8	ECONOMICS__FED_USASPENDING_CONTRACTS	UEI	ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	FRS_ID	ECONOMICS	ENVIRONMENT	6325622	478855	UEI to FRS_ID via XC_EPA_CORPORATE_CROSSWALK	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_USASPENDING_CONTRACTS UEI values that reach a FRS_ID through the crosswalk, and on to FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS :: flow diagram | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_CONTRACTS for matched vs unmatched :: paired bars | after: does FED_USASPENDING_CONTRACTS keep going after ACHIEVED_DATE in FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS :: before-after line	before-after_line flow_diagram paired_bars	reach-is-not-a-usable-join	564 of 92,833 FY25 UEIs reach an NPDES informal action (0.6%); $34B to them; median 199K vs 68K is size; crosswalk UEIs are matched from CONTRACTS_FULL, so reach is partly circular; names agree 20/20 at company level		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	probed	11.8	HEALTH__FED_CMS_OPEN_PAYMENTS_2022	CCN	LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	EIN	HEALTH	LABOR	13306564	394234	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2022 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_300A_SUMMARY_2023 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2022 for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2023 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	346 of 1,217 CCNs reach 300A 2023 (28%); half the CCNs never reach the crosswalk (606/1,217); EIN is system-wide, so it matches the company not the building (company name 19/20)		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	probed	11.8	HEALTH__FED_CMS_OPEN_PAYMENTS_2022	CCN	LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	EIN	HEALTH	LABOR	13306564	398620	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2022 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_300A_SUMMARY_2024 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2022 for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2024 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	359 of 1,217 CCNs reach 300A 2024 (30%); OP-hospital EINs report 1 death on 1,855 sites vs 685 elsewhere; EIN is system-wide, so it matches the company not the building (company name 19/20) // 359 of 1,217 CCNs reach 300A 2024 (30%); years 2 apart; EIN is system-wide, so it matches the company not the building (company name 19/20)		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	probed	11.8	HEALTH__FED_CMS_OPEN_PAYMENTS_2022	CCN	LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	EIN	HEALTH	LABOR	13306564	383283	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2022 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_300A_SUMMARY_2025 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2022 for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2025 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	337 of 1,217 CCNs reach 300A 2025 (28%); Penn missing from 2025, so matched $ drops 888M to 157M: filing gap, not signal		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	probed	11.8	HEALTH__FED_CMS_OPEN_PAYMENTS_2022	CCN	LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	EIN	HEALTH	LABOR	13306564	330447	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2022 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_CASE_DETAIL_2025 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2022 for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2025 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	207 of 1,217 CCNs reach CD2025 (17%); CD2025 is a partial year (330K rows vs 689K), so rate is a floor		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2023~LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	probed	11.8	HEALTH__FED_CMS_OPEN_PAYMENTS_2023	CCN	LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	EIN	HEALTH	LABOR	14700786	394234	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2023 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_300A_SUMMARY_2023 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2023 for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2023 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	343 of 1,207 CCNs reach 300A 2023 (28%), years line up; medians matched 21.5K vs 23.1K: no gap; EIN is system-wide, so it matches the company not the building (company name 19/20)		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2023~LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	probed	11.8	HEALTH__FED_CMS_OPEN_PAYMENTS_2023	CCN	LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	EIN	HEALTH	LABOR	14700786	398620	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2023 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_300A_SUMMARY_2024 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2023 for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2024 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	360 of 1,207 CCNs reach 300A 2024 (30%); hospital DAFW 1.07 per 100 staff vs 0.65 elsewhere: known healthcare injury rate // 360 of 1,207 CCNs reach 300A 2024 (30%); those 293 hospital EINs: 1 death on 1,855 sites, DAFW 1.07 per 100 staff vs 0.65 elsewhere: known healthcare injury rate		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2023~LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	probed	11.8	HEALTH__FED_CMS_OPEN_PAYMENTS_2023	CCN	LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	EIN	HEALTH	LABOR	14700786	383283	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2023 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_300A_SUMMARY_2025 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2023 for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2025 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	338 of 1,207 CCNs reach 300A 2025 (28%); Penn absent from 2025 filings; EIN is system-wide, so it matches the company not the building (company name 19/20)		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2023~LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	probed	11.8	HEALTH__FED_CMS_OPEN_PAYMENTS_2023	CCN	LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	EIN	HEALTH	LABOR	14700786	330447	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2023 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_CASE_DETAIL_2025 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2023 for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2025 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	202 of 1,207 OP2023 CCNs reach a CD2025 filer (17%; CD2025 is a partial year, years 2 apart). Hospital-only gap: OP-paid EINs 7.9% of cases are patient violence vs 6.4% other hospitals (0.31 vs 0.26 per 100 FTE); median site 1,396 vs 585 workers, so size/teaching mix, not money		sweep3-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS~LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	dead	11.8	HEALTH__FED_CMS_OPEN_PAYMENTS	CCN	LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	EIN	HEALTH	LABOR	15385047	394234	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_300A_SUMMARY_2023 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2023 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	358 of 1,251 CCNs land (29%). Same route as 300A 2024, where injury rate is flat by drug-money tier and hospitals log ~2 deaths a year, so the TOTAL_DEATHS gap has nothing in it. Not rerun for 2023		sweep3-c	2026-09-24
