id	status	score	key	key_is	a	b	a_schema	b_schema	a_col	b_col	a_rows	b_rows	tags	look_for	charts	traps	found	finding_ids	by	date
P:UEI:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2~PROCUREMENT__FED_SAM_EXCLUSIONS	finding	12.6	UEI	federal contractor	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2	PROCUREMENT__FED_SAM_EXCLUSIONS	ECONOMICS	PROCUREMENT	RECIPIENT_UEI, RECIPIENT_PARENT_UEI	UEI	93119582	168328	HARM MONEY PEOPLE CROSS	land rate: how many UEI values, each a federal contractor, sit on both sides; check a name or state agrees :: overlap bar | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_CONTRACTS_FULL_R2 for matched vs unmatched :: paired bars | gap: share of FED_SAM_EXCLUSIONS rows with a EXCLUSION_TYPE, matched vs unmatched :: paired bars | after: does FED_USASPENDING_CONTRACTS_FULL_R2 keep going after ACTIVATION_DATE in FED_SAM_EXCLUSIONS :: before-after line	before-after_line overlap_bar paired_bars	reach-is-not-a-usable-join	F-005 B: 23 firms under government-wide SAM exclusion got $800K of orders after exclusion, mostly DoD	F-005	claude	2026-09-24
P:UEI:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL~PROCUREMENT__FED_SAM_EXCLUSIONS	probed	12.6	UEI	federal contractor	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	PROCUREMENT__FED_SAM_EXCLUSIONS	ECONOMICS	PROCUREMENT	RECIPIENT_UEI, RECIPIENT_PARENT_UEI	UEI	20000000	168328	HARM MONEY PEOPLE CROSS	land rate: how many UEI values, each a federal contractor, sit on both sides; check a name or state agrees :: overlap bar | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_CONTRACTS_FULL for matched vs unmatched :: paired bars | gap: share of FED_SAM_EXCLUSIONS rows with a EXCLUSION_TYPE, matched vs unmatched :: paired bars | after: does FED_USASPENDING_CONTRACTS_FULL keep going after ACTIVATION_DATE in FED_SAM_EXCLUSIONS :: before-after line	before-after_line overlap_bar paired_bars	reach-is-not-a-usable-join	344 excluded UEIs, 94% name agree; 75 paid inside the ban window, gross +$9.4M, net -$8.8M. But this table is the capped 1M/yr load: ATI shows 11 post-ban actions here vs 51 in R2. Use R2 instead.		sweep-b	2026-09-24
P:UEI:ECONOMICS__FED_USASPENDING_CONTRACTS~PROCUREMENT__FED_SAM_EXCLUSIONS	probed	12.6	UEI	federal contractor	ECONOMICS__FED_USASPENDING_CONTRACTS	PROCUREMENT__FED_SAM_EXCLUSIONS	ECONOMICS	PROCUREMENT	RECIPIENT_UEI, RECIPIENT_PARENT_UEI	UEI	6325622	168328	HARM MONEY PEOPLE CROSS	land rate: how many UEI values, each a federal contractor, sit on both sides; check a name or state agrees :: overlap bar | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_CONTRACTS for matched vs unmatched :: paired bars | gap: share of FED_SAM_EXCLUSIONS rows with a EXCLUSION_TYPE, matched vs unmatched :: paired bars | after: does FED_USASPENDING_CONTRACTS keep going after ACTIVATION_DATE in FED_SAM_EXCLUSIONS :: before-after line	before-after_line overlap_bar paired_bars	reach-is-not-a-usable-join	Table is FY2025 only (2024-10-01 to 2025-09-30). 104 excluded UEIs, 94% name agree, 50 had actions in the ban window, net -$3.5M. Bonus Environmental (EPA-listed since 2012) got $130K; EPA listings are facility-specific. Subset of R2.		sweep-b	2026-09-24
P:UEI:PROCUREMENT__FED_SAM_EXCLUSIONS~SCIENCE_RESEARCH__FED_NIH_REPORTER	dead	12.6	UEI	federal contractor	PROCUREMENT__FED_SAM_EXCLUSIONS	SCIENCE_RESEARCH__FED_NIH_REPORTER	PROCUREMENT	SCIENCE_RESEARCH	UEI	ORG_UEI	168328	2122611	HARM MONEY PEOPLE CROSS	land rate: how many UEI values, each a federal contractor, sit on both sides; check a name or state agrees :: overlap bar | gap: share of FED_SAM_EXCLUSIONS rows with a EXCLUSION_TYPE, matched vs unmatched :: paired bars | gap: AWARD_AMOUNT in FED_NIH_REPORTER for matched vs unmatched :: paired bars | after: does FED_NIH_REPORTER keep going after ACTIVATION_DATE in FED_SAM_EXCLUSIONS :: before-after line	before-after_line overlap_bar paired_bars	reach-is-not-a-usable-join	Only 2 excluded UEIs in NIH RePORTER (EcoHealth Alliance, $22.8M; Expesicor), 100% name agree, no NIH grant budget starting after either ban. Clean, as expected.		sweep-b	2026-09-24
P:UEI:PROCUREMENT__FED_SAM_EXCLUSIONS~SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS	finding	12.6	UEI	federal contractor	PROCUREMENT__FED_SAM_EXCLUSIONS	SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS	PROCUREMENT	SCIENCE_RESEARCH	UEI	UEI	168328	219503	HARM MONEY PEOPLE CROSS	land rate: how many UEI values, each a federal contractor, sit on both sides; check a name or state agrees :: overlap bar | gap: share of FED_SAM_EXCLUSIONS rows with a EXCLUSION_TYPE, matched vs unmatched :: paired bars | gap: AWARD_AMOUNT in FED_SBIR_STTR_AWARDS for matched vs unmatched :: paired bars | after: does FED_SBIR_STTR_AWARDS keep going after ACTIVATION_DATE in FED_SAM_EXCLUSIONS :: before-after line	before-after_line overlap_bar paired_bars	reach-is-not-a-usable-join	14 excluded UEIs hold SBIR awards, 100% name agree, 0 awards after exclusion. But 5 of them share one address, 549 Cedar St, Newington CT (Beacon, Neoskye, Syrnatec, Skystocks, Bryka): $13.35M SBIR 2021-25 from DoD, NASA, CDC, Mirchandani family as PIs across firms; USAF excluded 11 firms + 5 people there on 2026-07-17. $38.7M in contracts R2. // F-022 B: Five SBIR firms at one Newington CT address won $13.35M in 41 awards 2021-25; the Air Force barred all of them 2026-07-17	F-022	claude	2026-09-24
P:EIN:ECONOMICS__FED_DOL_FORM5500~LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	probed	12.3	EIN	nonprofit or company tax ID	ECONOMICS__FED_DOL_FORM5500	LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	ECONOMICS	LABOR	SPONSOR_DFE_EIN, PREPARER_EIN, SPONS_DFE_EIN, ADMIN_EIN, LAST_RPT_SPONS_EIN	EIN	33484	394234	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: NET_ASSETS_EOY_AMT in FED_DOL_FORM5500 for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2023 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	Join works on SPONS_DFE_EIN (the EIN column is 100% empty): 4,561 of 29,069 sponsors (16%) in 300A 2023, name agrees 88%, state 86%, 20-row eyeball 19/20 real. Gap dead: NET_ASSETS_EOY_AMT and TOTAL_ASSETS are 100% empty. 55 deaths on matched sites.		sweep-b	2026-09-24
P:EIN:ECONOMICS__FED_DOL_FORM5500~LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	probed	12.3	EIN	nonprofit or company tax ID	ECONOMICS__FED_DOL_FORM5500	LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	ECONOMICS	LABOR	SPONSOR_DFE_EIN, PREPARER_EIN, SPONS_DFE_EIN, ADMIN_EIN, LAST_RPT_SPONS_EIN	EIN	33484	398620	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: NET_ASSETS_EOY_AMT in FED_DOL_FORM5500 for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2024 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	4,365 sponsors in 300A 2024, name 88%, state 85%. 34 deaths on matched sites. NET_ASSETS empty, so the money gap can't run; participant counts are filled.		sweep-b	2026-09-24
P:EIN:ECONOMICS__FED_DOL_FORM5500~LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	probed	12.3	EIN	nonprofit or company tax ID	ECONOMICS__FED_DOL_FORM5500	LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	ECONOMICS	LABOR	SPONSOR_DFE_EIN, PREPARER_EIN, SPONS_DFE_EIN, ADMIN_EIN, LAST_RPT_SPONS_EIN	EIN	33484	383283	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: NET_ASSETS_EOY_AMT in FED_DOL_FORM5500 for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2025 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	4,115 sponsors in 300A 2025, name 88%, state 85%. 52 deaths on matched sites; Rosen Hotels' 10 (2025) don't appear in its case log, likely an entry error. NET_ASSETS empty.		sweep-b	2026-09-24
P:EIN:ECONOMICS__FED_DOL_FORM5500~LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	probed	12.3	EIN	nonprofit or company tax ID	ECONOMICS__FED_DOL_FORM5500	LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	ECONOMICS	LABOR	SPONSOR_DFE_EIN, PREPARER_EIN, SPONS_DFE_EIN, ADMIN_EIN, LAST_RPT_SPONS_EIN	EIN	33484	890934	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: NET_ASSETS_EOY_AMT in FED_DOL_FORM5500 for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2023 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	1,537 sponsors in case detail 2023, name 87%, state 82%; 49,152 cases. NET_ASSETS empty, so gap dead; join itself is clean.		sweep-b	2026-09-24
P:EIN:ECONOMICS__FED_DOL_FORM5500~LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	probed	12.3	EIN	nonprofit or company tax ID	ECONOMICS__FED_DOL_FORM5500	LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	ECONOMICS	LABOR	SPONSOR_DFE_EIN, PREPARER_EIN, SPONS_DFE_EIN, ADMIN_EIN, LAST_RPT_SPONS_EIN	EIN	33484	688649	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: NET_ASSETS_EOY_AMT in FED_DOL_FORM5500 for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2024 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	1,237 sponsors in case detail 2024, name 88%, state 85%. 2024 DATE_OF_DEATH is blank table-wide, so use INCIDENT_OUTCOME=1. NET_ASSETS empty.		sweep-b	2026-09-24
P:EIN:ECONOMICS__FED_DOL_FORM5500~LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	probed	12.3	EIN	nonprofit or company tax ID	ECONOMICS__FED_DOL_FORM5500	LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	ECONOMICS	LABOR	SPONSOR_DFE_EIN, PREPARER_EIN, SPONS_DFE_EIN, ADMIN_EIN, LAST_RPT_SPONS_EIN	EIN	33484	330447	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: NET_ASSETS_EOY_AMT in FED_DOL_FORM5500 for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2025 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	878 sponsors in case detail 2025, name 89%, state 83%. NET_ASSETS empty; join clean, no story yet.		sweep-b	2026-09-24
P:EIN:ECONOMICS__FED_DOL_FORM5500~REVOKED_BUT_DEDUCTIBLE	skip	12.2	EIN	nonprofit or company tax ID	ECONOMICS__FED_DOL_FORM5500	REVOKED_BUT_DEDUCTIBLE	ECONOMICS	FINDINGS	SPONSOR_DFE_EIN, PREPARER_EIN, SPONS_DFE_EIN, ADMIN_EIN, LAST_RPT_SPONS_EIN	EIN	33484	22512	DERIVED HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: NET_ASSETS_EOY_AMT in FED_DOL_FORM5500 for matched vs unmatched :: paired bars | gap: REVENUE_AMT in REVOKED_BUT_DEDUCTIBLE for matched vs unmatched :: paired bars | big on both sides: NET_ASSETS_EOY_AMT against REVENUE_AMT, one dot per match :: scatter	overlap_bar paired_bars scatter	ein-and-cik-width-mismatch reach-is-not-a-usable-join	auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
