id	status	score	schema	table	rows	level	geo_col	all_levels	metrics	a	b	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
G:HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS	probed	12.7	HOUSING	HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS	26250920	census tract	CENSUS_GEOID	census tract, county, ZIP code, state	GROSS_INCOME, FLOOD_DAMAGE_AMOUNT, FOUNDATION_DAMAGE_AMOUNT, ROOF_DAMAGE_AMOUNT, IHP_AMOUNT, HA_AMOUNT +25			MONEY MAP DEMOGRAPHIC OUTCOME	rank every census tract by GROSS_INCOME per person :: choropleth map | correlate against every other census tract number; see the county panel rows :: scatter | which places moved most over APPLIED_DATE :: slope chart | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter slope_chart	reach-is-not-a-usable-join	GROSS_INCOME is 0 or blank on all 26.25M rows	Lead metric is dead: GROSS_INCOME is null on 19.9M rows and '0' on 6.3M, so no income anywhere. Rolled IHP $ to county instead: Cameron Parish LA $3,933 per resident, with 6,008 registrations for 5,617 residents across 7 disasters. REGISTRATION_ID is unique across all 26.25M rows.		sweep-d	2026-09-24
G2:county:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL~HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	probed	12.6	ECONOMICS ↔ HEALTH	FED_USASPENDING_ASSISTANCE_FULL ↔ FED_CDC_INJURY_VIOLENCE_COUNTY	132000	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / GEOID		FEDERAL_ACTION_OBLIGATION, TOTAL_OBLIGATED_AMOUNT +18 / COUNT_SUP, RATE +2	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	HARM MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against COUNT_SUP, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on COUNT_SUP :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	cdc-injury-count-sup-is-the-count cdc-injury-county-has-overdose-2019-2024 reach-is-not-a-usable-join		Drug_OD 2019-24, COUNT_SUP not null in all 6 years: only 910 of 3,144 counties. Against assistance $ per person (791 counties of 10k+ people): Spearman 0.41; median OD rate by money decile runs 17.8 to 36.0 per 100k. Boring reason: big poor cities draw Medicaid and SNAP money and have more overdoses; the processor counties inflate the top.		sweep-d	2026-09-24
G2:county:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL~HEALTH__FED_HRSA_SHORTAGE_AREAS	probed	12.6	ECONOMICS ↔ HEALTH	FED_USASPENDING_ASSISTANCE_FULL ↔ FED_HRSA_SHORTAGE_AREAS	165531	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / COMMON_STATE_COUNTY_FIPS_CODE		FEDERAL_ACTION_OBLIGATION, TOTAL_OBLIGATED_AMOUNT +18 / rows with HPSA_DISCIPLINE_CLASS	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	HEALTH__FED_HRSA_SHORTAGE_AREAS	HARM MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against rows with HPSA_DISCIPLINE_CLASS, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on rows with HPSA_DISCIPLINE_CLASS :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		Designated HPSA rows per 100k vs assistance $ per person, 2,485 counties: Spearman 0.27; decile medians run 6.6 up to 24.3, then 14.5 in the top decile. The high-high counties are Bethel AK, Nome AK and Washington ME. Boring reason: remote rural places get per-capita program money and carry shortage labels.		sweep-d	2026-09-24
G2:county:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL~HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	dead	12.6	ECONOMICS ↔ HEALTH	FED_USASPENDING_CONTRACTS_FULL ↔ FED_CDC_INJURY_VIOLENCE_COUNTY	132000	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / GEOID		FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED +29 / COUNT_SUP, RATE +2	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	HARM MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against COUNT_SUP, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on COUNT_SUP :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	cdc-injury-count-sup-is-the-count cdc-injury-county-has-overdose-2019-2024 reach-is-not-a-usable-join		Contract $ per person vs Drug_OD 2019-24 rate (791 counties, COUNT_SUP present all 6 yrs): Spearman -0.09; decile medians flat at 25-34. No relationship.		sweep-d	2026-09-24
G2:county:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL~HEALTH__FED_HRSA_SHORTAGE_AREAS	dead	12.6	ECONOMICS ↔ HEALTH	FED_USASPENDING_CONTRACTS_FULL ↔ FED_HRSA_SHORTAGE_AREAS	165531	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / COMMON_STATE_COUNTY_FIPS_CODE		FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED +29 / rows with HPSA_DISCIPLINE_CLASS	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	HEALTH__FED_HRSA_SHORTAGE_AREAS	HARM MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against rows with HPSA_DISCIPLINE_CLASS, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on rows with HPSA_DISCIPLINE_CLASS :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		Contract $ per person vs designated HPSA rows per 100k, 2,484 counties: Spearman -0.13. Money follows bases and cities, and shortages follow rural places. Nothing to chase.		sweep-d	2026-09-24
G2:county:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL~HEALTH__FED_CDC_DRUG_POISONING_COUNTY	dead	12.4	ECONOMICS ↔ HEALTH	FED_USASPENDING_ASSISTANCE_FULL ↔ FED_CDC_DRUG_POISONING_COUNTY	53387	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / FIPS		FEDERAL_ACTION_OBLIGATION, TOTAL_OBLIGATED_AMOUNT +18 / POPULATION, rows with ESTIMATED_AGE_ADJUSTED_DEATH_RATE_11_CATEGORIES_IN_RANGES	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	HEALTH__FED_CDC_DRUG_POISONING_COUNTY	HARM MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against POPULATION, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on POPULATION :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		The CDC file stops at 2015 (1999-2015) and gives rate bands only; the money runs 2007-26. Years barely overlap. Band midpoint vs assistance $ per person: Spearman 0.25, weaker than the injury-file version (0.41).		sweep-d	2026-09-24
G2:county:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL~HEALTH__FED_HRSA_HPSA_PRIMARY_CARE	probed	12.4	ECONOMICS ↔ HEALTH	FED_USASPENDING_ASSISTANCE_FULL ↔ FED_HRSA_HPSA_PRIMARY_CARE	79158	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / COMMON_STATE_COUNTY_FIPS_CODE, STATE_COUNTY_FIPS_CODE		FEDERAL_ACTION_OBLIGATION, TOTAL_OBLIGATED_AMOUNT +18 / HPSA_SCORE, PC_MCTA_SCORE +8	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	HEALTH__FED_HRSA_HPSA_PRIMARY_CARE	HARM MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against HPSA_SCORE, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on HPSA_SCORE :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		assistance $/person vs max designated geo/pop HPSA_SCORE, 2,485 counties 10k+: Spearman 0.22 (0.12 among the 1,917 with an HPSA); score>=18 share 9% -> 22% bottom to top $ decile. High on both: Coahoma MS, McDowell WV, Magoffin KY. Boring: both track poverty. 70% of 79k rows are withdrawn/proposed; filter status		sweep2-d	2026-09-24
G2:county:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL~HEALTH__FED_CDC_DRUG_POISONING_COUNTY	dead	12.4	ECONOMICS ↔ HEALTH	FED_USASPENDING_CONTRACTS_FULL ↔ FED_CDC_DRUG_POISONING_COUNTY	53387	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / FIPS		FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED +29 / POPULATION, rows with ESTIMATED_AGE_ADJUSTED_DEATH_RATE_11_CATEGORIES_IN_RANGES	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	HEALTH__FED_CDC_DRUG_POISONING_COUNTY	HARM MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against POPULATION, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on POPULATION :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		contract $/person (place of performance, 2,400 counties 10k+) vs CDC drug-death band 2015: Spearman 0.06, deciles flat 13-17. CDC file ends 2015, bands only; CONTRACTS_FULL is a 1M/FY sample. Nothing moves together		sweep2-d	2026-09-24
G2:county:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL~HEALTH__FED_HRSA_HPSA_PRIMARY_CARE	dead	12.4	ECONOMICS ↔ HEALTH	FED_USASPENDING_CONTRACTS_FULL ↔ FED_HRSA_HPSA_PRIMARY_CARE	79158	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / COMMON_STATE_COUNTY_FIPS_CODE, STATE_COUNTY_FIPS_CODE		FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED +29 / HPSA_SCORE, PC_MCTA_SCORE +8	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	HEALTH__FED_HRSA_HPSA_PRIMARY_CARE	HARM MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against HPSA_SCORE, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on HPSA_SCORE :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		contract $/person vs designated HPSA_SCORE, 2,484 counties: Spearman -0.005; median score 14 in every $ decile. Top-decile overlaps are defense cities (St. Louis/Boeing, Baltimore/Leidos)		sweep2-d	2026-09-24
G2:county:HEALTH__FED_CDC_DRUG_POISONING_COUNTY~PROCUREMENT__FED_USASPENDING_BULK	skip	12.3	HEALTH ↔ PROCUREMENT	FED_CDC_DRUG_POISONING_COUNTY ↔ FED_USASPENDING_BULK	50000	county pair	FIPS / PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE		POPULATION, rows with ESTIMATED_AGE_ADJUSTED_DEATH_RATE_11_CATEGORIES_IN_RANGES / FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED +17	HEALTH__FED_CDC_DRUG_POISONING_COUNTY	PROCUREMENT__FED_USASPENDING_BULK	HARM MONEY PEOPLE CROSS PANEL	roll both to county: POPULATION against FEDERAL_ACTION_OBLIGATION, per person :: scatter | top tenth of counties by POPULATION: where do they sit on FEDERAL_ACTION_OBLIGATION :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		BULK is a 50k-row, 10-day sample of CONTRACTS_FULL (sweep-d stmt 3); county money from 50k rows is noise. The same pair run on CONTRACTS_FULL is in this sweep		sweep2-d	2026-09-24
G2:county:HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY~PROCUREMENT__FED_USASPENDING_BULK	skip	12.3	HEALTH ↔ PROCUREMENT	FED_CDC_INJURY_VIOLENCE_COUNTY ↔ FED_USASPENDING_BULK	50000	county pair	GEOID / PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE		COUNT_SUP, RATE +2 / FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED +17	HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	PROCUREMENT__FED_USASPENDING_BULK	HARM MONEY PEOPLE CROSS PANEL	roll both to county: COUNT_SUP against FEDERAL_ACTION_OBLIGATION, per person :: scatter | top tenth of counties by COUNT_SUP: where do they sit on FEDERAL_ACTION_OBLIGATION :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	cdc-injury-count-sup-is-the-count cdc-injury-county-has-overdose-2019-2024 reach-is-not-a-usable-join		BULK is a 50k-row, 10-day sample of CONTRACTS_FULL (sweep-d stmt 3); county money from 50k rows is noise. The same pair run on CONTRACTS_FULL is in this sweep		sweep2-d	2026-09-24
G2:county:HEALTH__FED_HRSA_HPSA_PRIMARY_CARE~PROCUREMENT__FED_USASPENDING_BULK	skip	12.3	HEALTH ↔ PROCUREMENT	FED_HRSA_HPSA_PRIMARY_CARE ↔ FED_USASPENDING_BULK	50000	county pair	COMMON_STATE_COUNTY_FIPS_CODE, STATE_COUNTY_FIPS_CODE / PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE		HPSA_SCORE, PC_MCTA_SCORE +8 / FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED +17	HEALTH__FED_HRSA_HPSA_PRIMARY_CARE	PROCUREMENT__FED_USASPENDING_BULK	HARM MONEY PEOPLE CROSS PANEL	roll both to county: HPSA_SCORE against FEDERAL_ACTION_OBLIGATION, per person :: scatter | top tenth of counties by HPSA_SCORE: where do they sit on FEDERAL_ACTION_OBLIGATION :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		BULK is a 50k-row, 10-day sample of CONTRACTS_FULL (sweep-d stmt 3); county money from 50k rows is noise. The same pair run on CONTRACTS_FULL is in this sweep		sweep2-d	2026-09-24
G2:county:HEALTH__FED_HRSA_SHORTAGE_AREAS~PROCUREMENT__FED_USASPENDING_BULK	skip	12.3	HEALTH ↔ PROCUREMENT	FED_HRSA_SHORTAGE_AREAS ↔ FED_USASPENDING_BULK	50000	county pair	COMMON_STATE_COUNTY_FIPS_CODE / PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE		rows with HPSA_DISCIPLINE_CLASS / FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED +17	HEALTH__FED_HRSA_SHORTAGE_AREAS	PROCUREMENT__FED_USASPENDING_BULK	HARM MONEY PEOPLE CROSS PANEL	roll both to county: rows with HPSA_DISCIPLINE_CLASS against FEDERAL_ACTION_OBLIGATION, per person :: scatter | top tenth of counties by rows with HPSA_DISCIPLINE_CLASS: where do they sit on FEDERAL_ACTION_OBLIGATION :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		BULK is a 50k-row, 10-day sample of CONTRACTS_FULL (sweep-d stmt 3); county money from 50k rows is noise. The same pair run on CONTRACTS_FULL is in this sweep		sweep2-d	2026-09-24
