-- S03 SEC EDGAR financials: pull whole table (55.6K rows)
ADSH | CIK | NAME | SIC | COUNTRYBA | STPRBA | CITYBA | ZIPBA | BAS1 | BAS2 | BAPH | COUNTRYMA | STPRMA | CITYMA | ZIPMA | MAS1 | MAS2 | COUNTRYINC | STPRINC | EIN | FORMER | CHANGED | AFS | WKSI | FYE | FORM | PERIOD | FY | FP | FILED | ACCEPTED | PREVRPT | DETAIL | INSTANCE | NCIKS | ACIKS | SOURCE_FILE
0000004962-23-000016 | 4962 | AMERICAN EXPRESS CO | 6199 | US | NY | NEW YORK | 10285 | 200 VESEY STREET | 50TH FLOOR | 2126402000 | US | NY | NEW YORK | 10285 | 200 VESEY STREET | 50TH FLOOR | US | NY | 134922250 |  |  | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230421 | 2023-04-21 13:29:00.0 | 0 | 1 | axp-20230331_htm.xml | 1 |  | 2023q2
0000004977-23-000090 | 4977 | AFLAC INC | 6321 | US | GA | COLUMBUS | 31999 | 1932 WYNNTON RD |  | 7063233431 | US | GA | COLUMBUS | 31999 | 1932 WYNNTON ROAD |  | US | GA | 581167100 | AMERICAN FAMILY CORP | 19920306 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230501 | 2023-05-01 16:49:00.0 | 0 | 1 | afl-20230331_htm.xml | 1 |  | 2023q2
0000005272-23-000023 | 5272 | AMERICAN INTERNATIONAL GROUP, INC. | 6331 | US | NY | NEW YORK | 10020-1304 | 1271 AVE OF THE AMERICAS | FL 37 | 2127707000 | US | NY | NEW YORK | 10020-1304 | 1271 AVE OF THE AMERICAS | FL 37 | US | DE | 132592361 | AMERICAN INTERNATIONAL GROUP INC | 19920703 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230505 | 2023-05-05 16:37:00.0 | 0 | 1 | aig-20230331_htm.xml | 1 |  | 2023q2
0000005513-23-000126 | 5513 | UNUM GROUP | 6321 | US | TN | CHATTANOOGA | 37402 | 1 FOUNTAIN SQUARE |  | 423-294-1011 | US | TN | CHATTANOOGA | 37402 | 1 FOUNTAIN SQUARE |  | US | DE | 621598430 | UNUMPROVIDENT CORP | 19990702 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230503 | 2023-05-03 16:32:00.0 | 0 | 1 | unm-20230331_htm.xml | 1 |  | 2023q2
0000006201-23-000042 | 6201 | AMERICAN AIRLINES GROUP INC. | 4512 | US | TX | FORT WORTH | 76155 | 1 SKYVIEW DRIVE |  | 6822789000 | US | TX | FORT WORTH | 76155 | 1 SKYVIEW DRIVE |  | US | DE | 751825172 | AMR CORP | 19920703 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230427 | 2023-04-27 07:02:00.0 | 0 | 1 | aal-20230331_htm.xml | 2 | 4515 | 2023q2
0000006281-23-000152 | 6281 | ANALOG DEVICES INC | 3674 | US | MA | WILMINGTON | 01887 | ONE ANALOG WAY |  | 7813294700 | US | MA | WILMINGTON | 01887 | ONE ANALOG WAY |  | US | MA | 042348234 |  |  | 1-LAF | 0 | 1031 | 10-Q | 20230430 | 2023 | Q2 | 20230524 | 2023-05-24 07:04:00.0 | 0 | 1 | adi-20230429_htm.xml | 1 |  | 2023q2
0000006845-23-000006 | 6845 | APOGEE ENTERPRISES, INC. | 3231 | US | MN | MINNEAPOLIS | 55435 | 4400 WEST 78TH STREET | SUITE 520 | 6128351874 | US | MN | MINNEAPOLIS | 55435 | 4400 WEST 78TH STREET | SUITE 520 | US | MN | 410919654 | APOGEE ENTERPRISES INC | 19920703 | 1-LAF | 1 | 0228 | 10-K | 20230228 | 2022 | FY | 20230421 | 2023-04-21 16:04:00.0 | 0 | 1 | apog-20230225_htm.xml | 1 |  | 2023q2
0000006845-23-000022 | 6845 | APOGEE ENTERPRISES, INC. | 3231 | US | MN | MINNEAPOLIS | 55435 | 4400 WEST 78TH STREET | SUITE 520 | 6128351874 | US | MN | MINNEAPOLIS | 55435 | 4400 WEST 78TH STREET | SUITE 520 | US | MN | 410919654 | APOGEE ENTERPRISES INC | 19920703 | 1-LAF | 0 | 0228 | 10-Q | 20230531 | 2024 | Q1 | 20230628 | 2023-06-28 17:06:00.0 | 0 | 1 | apog-20230527_htm.xml | 1 |  | 2023q2
0000006951-23-000022 | 6951 | APPLIED MATERIALS INC /DE | 3674 | US | CA | SANTA CLARA | 95054-3299 | 3050 BOWERS AVE |  | 4085635300 | US | CA | SANTA CLARA | 95054-3299 | 3050 BOWERS AVE |  | US | DC | 941655526 | APPLIED MATERIALS TECHNOLOGY INC | 19730319 | 1-LAF | 0 | 1031 | 10-Q | 20230430 | 2023 | Q2 | 20230526 | 2023-05-26 08:39:00.0 | 0 | 1 | amat-20230430_htm.xml | 1 |  | 2023q2
0000006955-23-000013 | 6955 | ENERPAC TOOL GROUP CORP | 3590 | US | WI | MENOMONEE FALLS | 53051 | N86 W12500 WESTBROOK CROSSING |  | 262-293-1697 | US | WI | MENOMONEE FALLS | 53051 | N86 W12500 WESTBROOK CROSSING |  | US | WI | 390168610 | ACTUANT CORP | 20010110 | 1-LAF | 0 | 0831 | 10-Q | 20230531 | 2023 | Q3 | 20230623 | 2023-06-23 13:54:00.0 | 0 | 1 | epac-20230531_htm.xml | 1 |  | 2023q2
0000007084-23-000017 | 7084 | ARCHER-DANIELS-MIDLAND CO | 2070 | US | IL | CHICAGO | 60601 | 77 W. WACKER DR. |  | 312-634-8233 | US | IL | CHICAGO | 60601 | 77 W. WACKER DR. |  | US | DE | 410129150 | ARCHER DANIELS MIDLAND CO | 19920703 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230425 | 2023-04-25 16:05:00.0 | 0 | 1 | adm-20230331_htm.xml | 1 |  | 2023q2
0000007332-23-000019 | 7332 | SOUTHWESTERN ENERGY CO | 1311 | US | TX | SPRING | 77389 | 10000 ENERGY DRIVE |  | 832-796-4700 | US | TX | SPRING | 77389 | 10000 ENERGY DRIVE |  | US | DE | 710205415 | ARKANSAS WESTERN GAS CO | 19790917 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230427 | 2023-04-27 16:22:00.0 | 0 | 1 | swn-20230331_htm.xml | 1 |  | 2023q2
0000007789-23-000035 | 7789 | ASSOCIATED BANC-CORP | 6022 | US | WI | GREEN BAY | 54301 | 433 MAIN STREET |  | 920-491-7500 | US | WI | GREEN BAY | 54301 | 433 MAIN STREET |  | US | WI | 391098068 | ASSOCIATED BANK SERVICES INC | 19770626 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230427 | 2023-04-27 16:17:00.0 | 0 | 1 | asb-20230331_htm.xml | 1 |  | 2023q2
0000008063-23-000024 | 8063 | ASTRONICS CORP | 3728 | US | NY | EAST AURORA | 14052-2191 | 130 COMMERCE WAY | - | 716-805-1599 | US | NY | EAST AURORA | 14052-2191 | 130 COMMERCE WAY | - | US | NY | 160959303 | ASTRONICS LUMINESCENT INC | 19711209 | 2-ACC | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230510 | 2023-05-10 15:50:00.0 | 0 | 1 | atro-20230401_htm.xml | 1 |  | 2023q2
0000008670-23-000017 | 8670 | AUTOMATIC DATA PROCESSING INC | 7374 | US | NJ | ROSELAND | 07068 | ONE ADP BOULVARD |  | 9739745000 | US | NJ | ROSELAND | 07068 | ONE ADP BOULEVARD |  | US | DE | 221467904 |  |  | 1-LAF | 0 | 0630 | 10-Q | 20230331 | 2023 | Q3 | 20230501 | 2023-05-01 12:36:00.0 | 0 | 1 | adp-20230331_htm.xml | 1 |  | 2023q2
0000008818-23-000009 | 8818 | AVERY DENNISON CORP | 2670 | US | OH | MENTOR | 44060 | 8080 NORTON PARKWAY |  | 440-534-6000 | US | OH | MENTOR | 44060 | 8080 NORTON PARKWAY |  | US | DE | 951492269 | AVERY DENNISON CORPORATION | 19920703 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230502 | 2023-05-02 16:06:00.0 | 0 | 1 | avy-20230401_htm.xml | 1 |  | 2023q2
0000008858-23-000020 | 8858 | AVNET INC | 5065 | US | AZ | PHOENIX | 85034 | 2211 SOUTH 47TH STREET |  | 4806432000 | US | AZ | PHOENIX | 85034 | 2211 SOUTH 47TH STREET |  | US | NY | 111890605 |  |  | 1-LAF | 0 | 0630 | 10-Q | 20230331 | 2023 | Q3 | 20230505 | 2023-05-04 17:53:00.0 | 0 | 1 | avt-20230401x10q_htm.xml | 1 |  | 2023q2
0000008868-23-000011 | 8868 | AVON PRODUCTS INC | 2844 | US | NY | SUFFERN | 10901 | 1 AVON PLACE |  | 8453692000 | US | NY | SUFFERN | 10901 | 1 AVON PLACE |  | US | NY | 130544597 |  |  | 4-NON | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230515 | 2023-05-15 12:36:00.0 | 0 | 1 | avp-20230331_htm.xml | 1 |  | 2023q2
0000008947-23-000042 | 8947 | AZZ INC | 3470 | US | TX | FORT WORTH | 76107 | ONE MUSEUM PLACE, SUITE 500 | 3100 W 7TH STREET | 8178100095 | US | TX | FORT WORTH | 76107 | ONE MUSEUM PLACE, SUITE 500 | 3100 W 7TH STREET | US | TX | 750948250 | AZTEC MANUFACTURING CO | 20000911 | 1-LAF | 0 | 0228 | 10-K | 20230228 | 2022 | FY | 20230425 | 2023-04-25 16:12:00.0 | 0 | 1 | azz-20230228_htm.xml | 1 |  | 2023q2
0000009984-23-000086 | 9984 | BARNES GROUP INC | 3490 | US | CT | BRISTOL | 06010 | 123 MAIN ST |  | 8605837070 | US | CT | BRISTOL | 06010 | 123 MAIN ST |  | US | DE | 060247840 | ASSOCIATED SPRING CORP | 19760518 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230428 | 2023-04-28 11:49:00.0 | 0 | 1 | b-20230331_htm.xml | 1 |  | 2023q2
0000010048-23-000011 | 10048 | BARNWELL INDUSTRIES INC | 1311 | US | HI | HONOLULU | 96813 | 1100 ALAKEA ST. | SUITE 500 | 808-531-8400 | US | HI | HONOLULU | 96813 | 1100 ALAKEA ST. | SUITE 500 | US | DE | 720496921 | BMA CORP/TN | 19770324 | 4-NON | 0 | 0930 | 10-Q | 20230331 | 2023 | Q2 | 20230515 | 2023-05-15 16:43:00.0 | 0 | 1 | brn-20230331_htm.xml | 1 |  | 2023q2
0000010254-23-000095 | 10254 | EARTHSTONE ENERGY INC | 1311 | US | TX | THE WOODLANDS | 77380 | 1400 WOODLOCH FOREST DRIVE | SUITE 300 | 281-298-4246 | US | TX | THE WOODLANDS | 77380 | 1400 WOODLOCH FOREST DRIVE | SUITE 300 | US | DE | 840592823 | BASIC EARTH SCIENCE SYSTEMS INC | 19920703 | 2-ACC | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230503 | 2023-05-03 16:06:00.0 | 0 | 1 | este-20230331_htm.xml | 1 |  | 2023q2
0000010795-23-000039 | 10795 | BECTON DICKINSON & CO | 3841 | US | NJ | FRANKLIN LAKES | 07417-1880 | ONE BECTON DR |  | 2018476800 | US | NJ | FRANKLIN LAKE | 07417 | ONE BECTON DR |  | US | NJ | 220760120 |  |  | 1-LAF | 0 | 0930 | 10-Q | 20230331 | 2023 | Q2 | 20230504 | 2023-05-04 16:35:00.0 | 0 | 1 | bdx-20230331_htm.xml | 1 |  | 2023q2
0000011544-23-000008 | 11544 | BERKLEY W R CORP | 6331 | US | CT | GREENWICH | 06830 | 475 STEAMBOAT ROAD | . | 2036293000 | US | CT | GREENWICH | 06830 | 475 STEAMBOAT ROAD | . | US | DE | 221867895 |  |  | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2022 | Q1 | 20230504 | 2023-05-04 16:18:00.0 | 0 | 1 | wrb-20230331_htm.xml | 1 |  | 2023q2
0000012208-23-000047 | 12208 | BIO-RAD LABORATORIES, INC. | 3826 | US | CA | HERCULES | 94547 | 1000 ALFRED NOBEL DRIVE |  | 5107247000 | US | CA | HERCULES | 94547 | 1000 ALFRED NOBEL DRIVE |  | US | DE | 941381833 | BIO RAD LABORATORIES INC | 19920703 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230505 | 2023-05-05 16:31:00.0 | 0 | 1 | bio-20230331_htm.xml | 1 |  | 2023q2
0000012927-23-000029 | 12927 | BOEING CO | 3721 | US | VA | ARLINGTON | 22202 | 929 LONG BRIDGE DRIVE |  | 7034146338 | US | VA | ARLINGTON | 22202 | 929 LONG BRIDGE DRIVE |  | US | DE | 910425694 | BOEING AIRPLANE CO | 19730725 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230426 | 2023-04-26 13:04:00.0 | 0 | 1 | ba-20230331_htm.xml | 1 |  | 2023q2
0000014272-23-000104 | 14272 | BRISTOL MYERS SQUIBB CO | 2834 | US | NY | NEW YORK | 10016 | 430 E. 29TH STREET | 14 FLOOR | 2125464000 | US | NY | NEW YORK | 10016 | 430 E. 29TH STREET | 14 FLOOR | US | DE | 220790350 | BRISTOL MYERS CO | 19891012 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230427 | 2023-04-27 11:57:00.0 | 0 | 1 | bmy-20230331_htm.xml | 1 |  | 2023q2
0000014693-23-000074 | 14693 | BROWN FORMAN CORP | 2080 | US | KY | LOUISVILLE | 40210 | 850 DIXIE HWY |  | 5025851100 | US | KY | LOUISVILLE | 40210 | 850 DIXIE HIGHWAY |  | US | DE | 610143150 | BROWN FORMAN INC | 19870816 | 1-LAF | 1 | 0430 | 10-K | 20230430 | 2023 | FY | 20230616 | 2023-06-16 16:03:00.0 | 0 | 1 | bfb-20230430_htm.xml | 1 |  | 2023q2
0000014707-23-000037 | 14707 | CALERES INC | 3140 | US | MO | ST LOUIS | 63105 | 8300 MARYLAND AVE | P O BOX 29 | 3148544000 | US | MO | ST LOUIS | 63166 | P O BOX 29 |  | US | NY | 430197190 | BROWN SHOE CO INC | 20030613 | 1-LAF | 0 | 0131 | 10-Q | 20230430 | 2023 | Q1 | 20230606 | 2023-06-06 17:12:00.0 | 0 | 1 | cal-20230429x10q_htm.xml | 1 |  | 2023q2
0000014846-23-000016 | 14846 | BRT APARTMENTS CORP. | 6798 | US | NY | GREAT NECK | 11021-3190 | 60 CUTTER MILL RD | SUITE 303 | 5164663100 | US | NY | GREAT NECK | 11021 | 60 CUTTER MILL ROAD | SUITE 303 | US | NY | 132755856 | BRT REALTY TRUST | 20170206 | 4-NON | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230508 | 2023-05-08 17:28:00.0 | 0 | 1 | brt-20230331_htm.xml | 1 |  | 2023q2
(55635 rows; 2.8s; qid 01c74b9f-040b-a770-0026-eed301339d12)
