-- S05 MDS frequency: the psych, PASRR, falls, ulcer, restraint items and how filled they are
Q | R | N | CCNS | OV_FILLED | LS_FILLED | MED_OV | MED_LS | MAX_TOT
N0450D: Medications - Antipsychotic Medication Review - Physician documented GDR as clinically contraindicated | No | 14695 | 14695 | 1535 | 602 | 71.43 | 100.0 | 151
N0450D: Medications - Antipsychotic Medication Review - Physician documented GDR as clinically contraindicated | Yes | 14695 | 14695 | 904 | 654 | 57.14 | 72.22 | 276
P0100A: Restraints and Alarms - Physical Restraints - Used in Bed - Bed rails | Not used | 14695 | 14695 | 14055 | 13464 | 100.0 | 100.0 | 630
P0100A: Restraints and Alarms - Physical Restraints - Used in Bed - Bed rails | Used daily | 14695 | 14695 | 50 | 33 | 37.33 | 46.81 | 70
P0100A: Restraints and Alarms - Physical Restraints - Used in Bed - Bed rails | Used less than daily | 14695 | 14695 | 0 | 0 |  |  | 
P0100B: Restraints and Alarms - Physical Restraints - Used in Bed - Trunk restraint | Not used | 14695 | 14695 | 14402 | 13809 | 100.0 | 100.0 | 630
P0100B: Restraints and Alarms - Physical Restraints - Used in Bed - Trunk restraint | Used daily | 14695 | 14695 | 0 | 0 |  |  | 
P0100B: Restraints and Alarms - Physical Restraints - Used in Bed - Trunk restraint | Used less than daily | 14695 | 14695 | 0 | 0 |  |  | 
P0100C: Restraints and Alarms - Physical Restraints - Used in Bed - Limb restraint | Not used | 14695 | 14695 | 14298 | 13709 | 100.0 | 100.0 | 630
P0100C: Restraints and Alarms - Physical Restraints - Used in Bed - Limb restraint | Used daily | 14695 | 14695 | 0 | 0 |  |  | 
P0100C: Restraints and Alarms - Physical Restraints - Used in Bed - Limb restraint | Used less than daily | 14695 | 14695 | 1 | 0 | 8.51 |  | 12
P0100D: Restraints and Alarms - Physical Restraints - Used in Bed - Other | Not used | 14695 | 14695 | 14331 | 13739 | 100.0 | 100.0 | 630
P0100D: Restraints and Alarms - Physical Restraints - Used in Bed - Other | Used daily | 14695 | 14695 | 1 | 0 | 37.5 |  | 12
P0100D: Restraints and Alarms - Physical Restraints - Used in Bed - Other | Used less than daily | 14695 | 14695 | 0 | 0 |  |  | 
P0100E: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Trunk restraint - Days | Not used | 14695 | 14695 | 14213 | 13620 | 100.0 | 100.0 | 630
P0100E: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Trunk restraint - Days | Used daily | 14695 | 14695 | 2 | 1 | 38.905 | 67.19 | 51
P0100E: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Trunk restraint - Days | Used less than daily | 14695 | 14695 | 0 | 0 |  |  | 
P0100F: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Limb restraint - Days | Not used | 14695 | 14695 | 14357 | 13764 | 100.0 | 100.0 | 630
P0100F: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Limb restraint - Days | Used daily | 14695 | 14695 | 1 | 1 | 9.68 | 11.01 | 15
P0100F: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Limb restraint - Days | Used less than daily | 14695 | 14695 | 1 | 0 | 7.8 |  | 11
P0100G: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Chair prevents rising - Days | Not used | 14695 | 14695 | 14346 | 13752 | 100.0 | 100.0 | 630
P0100G: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Chair prevents rising - Days | Used daily | 14695 | 14695 | 1 | 1 | 11.61 | 13.76 | 18
P0100G: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Chair prevents rising - Days | Used less than daily | 14695 | 14695 | 0 | 0 |  |  | 
P0100H: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Other - Days | Not used | 14695 | 14695 | 14267 | 13677 | 100.0 | 100.0 | 630
P0100H: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Other - Days | Used daily | 14695 | 14695 | 0 | 0 |  |  | 
P0100H: Restraints and Alarms - Physical Restraints - Used in Chair or Out of Bed - Other - Days | Used less than daily | 14695 | 14695 | 0 | 0 |  |  | 
(50 rows)
