model,layer,subject,family,class,thing_token,map_evidence,map_confidence,grain_phrase,spine_entity,natural_key,n_columns,column_quality,pre_aggregated,sem_date,sem_money,sem_geo,sem_id,sem_code,sem_population,sem_flag,sem_quantity
corporate_registry__intl_es_borme,marts,corporate_registry,organization,noun,borme,name token 'borme',medium,,,,16,star-cte-resolved,False,3,0,1,4,1,0,0,0
corporate_registry__intl_ie_cro,marts,corporate_registry,organization,noun,cro,name token 'cro',medium,,,,15,clean,False,3,0,2,4,2,0,0,0
corporate_registry__intl_uk_companies_house,marts,corporate_registry,organization,noun,company,grain says 'one row per company',high,company,,,19,clean,False,2,0,5,2,4,0,1,2
corporate_registry__uk_companies_house_psc,marts,corporate_registry,organization,noun,psc,name token 'psc',medium,,,,27,star-upstream-resolved,False,2,0,6,3,2,0,0,0
criminal_justice__fed_bjs_data,marts,criminal_justice,accident,event,incident,grain says 'one row per victimization incident',high,victimization incident,,,37,clean,False,1,0,1,0,0,0,0,0
economics__fed_bls_qcew,marts,economics,place,noun,county,grain says 'one row per county',high,county,,,16,star-cte-resolved,False,1,1,1,0,5,2,0,3
economics__fed_dol_form5500,marts,economics,filing,event+noun,form5500,name token 'form5500',medium,,,,152,clean,False,20,9,19,7,11,0,25,22
economics__fed_fac_single_audit,marts,economics,inspection,event,audit,name token 'audit',medium,,,,28,clean,False,4,1,7,4,2,0,4,0
economics__fed_fdic_failed_banks,marts,economics,organization,noun,banks,name token 'banks',medium,,,,25,star-cte-resolved,False,2,5,5,4,3,0,0,0
economics__fed_foreignassistance,marts,economics,trade,event,transaction,grain says 'one row per foreign assistance transaction',high,foreign assistance transaction,,,10,clean,False,1,3,1,1,2,0,0,0
economics__fed_grants_gov,marts,economics,award,event+noun,grants,name token 'grants',medium,,,,23,clean,False,4,3,0,2,3,0,0,1
economics__fed_irs_990,marts,economics,organization,noun,organization,grain says 'one row per organization',high,organization,,,18,clean,False,3,6,1,2,3,0,0,0
economics__fed_irs_990_efile_index,marts,economics,measurement,event,index,name token 'index',medium,,,,9,clean,False,1,0,0,3,2,0,0,0
economics__fed_irs_auto_revocations,marts,economics,enforcement,event,revocations,name token 'revocations',medium,,,,12,clean,False,3,0,4,1,2,0,0,0
economics__fed_irs_bmf,marts,economics,organization,noun,organization,grain says 'one row per organization',high,organization,,,25,clean,False,1,3,4,3,8,0,0,0
economics__fed_irs_eo_pr,marts,economics,post,event,pr,name token 'pr',medium,,,,28,clean,False,0,3,4,1,8,0,0,0
economics__fed_irs_pub78_eligible_donees,marts,economics,organization,noun,donees,name token 'donees',medium,,,,6,clean,False,0,0,3,1,1,0,0,0
economics__fed_irs_revocation,marts,economics,organization,noun,organization,grain says 'one row per organization',high,organization,,,16,clean,False,3,0,4,2,2,0,0,0
economics__fed_irs_soi_charities,marts,economics,organization,noun,charities,name token 'charities',medium,,,,28,clean,False,0,3,4,1,8,0,0,0
economics__fed_pbgc_data,marts,economics,aggregate,aggregate,,override: PBGC Data Book statistics,high,,,,10,clean,True,2,0,1,0,1,0,1,0
economics__fed_sba_loans,marts,economics,loan,event+noun,loan,grain says 'one row per loan',high,loan,,,30,star-cte-resolved,False,6,3,8,0,4,0,1,1
economics__fed_sba_ppp,marts,economics,loan,event+noun,loan,grain says 'one row per loan',high,loan,,,32,star-cte-resolved,False,4,4,7,1,3,0,4,0
economics__fed_sec_edgar,marts,economics,filing,event+noun,edgar,name token 'edgar',medium,,,,18,clean,False,0,0,0,2,1,0,0,0
economics__fed_sec_edgar_company_tickers,marts,economics,instrument,noun,tickers,name token 'tickers',medium,unique,,,6,star-cte-resolved,False,0,0,0,4,0,0,0,0
economics__fed_treasury_avg_interest_rates,marts,economics,measurement,event,rates,name token 'rates',medium,,,,15,star-cte-resolved,False,6,1,0,1,1,0,0,1
economics__fed_treasury_debt_outstanding,marts,economics,instrument,noun,outstanding,name token 'outstanding',medium,,,,9,clean,False,5,1,0,0,0,0,0,0
economics__fed_treasury_debt_to_penny,marts,economics,instrument,noun,penny,name token 'penny',medium,,,,15,clean,False,5,3,0,1,0,0,0,2
economics__fed_treasury_dts_deposits,marts,economics,payment,event,deposits,name token 'deposits',medium,,,,17,clean,False,5,3,0,0,2,0,0,0
economics__fed_treasury_mts_receipts,marts,economics,contribution,event,receipts,name token 'receipts',medium,,,,27,clean,False,8,6,0,2,6,0,0,0
economics__fed_us_sec_edgar,marts,economics,filing,event+noun,edgar,name token 'edgar',medium,,,,22,star-cte-resolved,False,3,0,2,7,2,0,3,0
economics__fed_us_usaspending_api,marts,economics,award,event+noun,usaspending,name token 'usaspending',medium,,,,35,star-cte-resolved,False,4,4,5,7,6,0,0,3
economics__fed_usaspending_assistance_full,marts,economics,trade,event,transaction,grain says 'one row per federal assistance award transaction',high,federal assistance award transaction,,,112,clean,False,6,27,13,11,31,0,0,1
economics__fed_usaspending_contracts,marts,economics,trade,event,transaction,grain says 'one row per federal contract transaction',high,federal contract transaction,,,36,clean,False,4,5,3,5,8,0,0,1
economics__fed_usaspending_contracts_full,marts,economics,award,event+noun,contracts,name token 'contracts',medium,,,,297,clean,False,11,29,18,14,81,0,2,6
economics__fed_usaspending_toptier_agencies,marts,economics,organization,noun,agencies,name token 'agencies',medium,,,,13,clean,False,1,5,0,1,1,0,0,0
economics__intl_fao_faostat,marts,economics,aggregate,aggregate,faostat,name token 'faostat',medium,,,,8,clean,True,0,0,0,0,0,0,0,0
economics__intl_fao_faostat_food_security,marts,economics,product,noun,food,name token 'food',medium,,,,13,clean,False,1,0,0,0,4,0,0,2
economics__intl_gfi_trade,marts,economics,trade,event,trade,name token 'trade',medium,,,,5,clean,False,1,0,1,0,0,0,0,0
economics__intl_gleif,marts,economics,organization,noun,entity,grain says 'one row per legal entity identifier',high,Legal Entity Identifier,,,338,clean,False,0,0,36,11,31,0,0,0
economics__intl_gleif_relationships,marts,economics,role,link,relationships,name token 'relationships',medium,,,,54,clean,False,0,0,0,0,0,0,0,0
economics__intl_gleif_repex,marts,economics,organization,noun,gleif,name token 'gleif',medium,,,,12,clean,False,0,0,0,1,6,0,0,0
economics__intl_ipc_food_insecurity_global,marts,economics,product,noun,food,name token 'food',medium,,,,9,clean,False,1,0,1,0,0,1,0,0
economics__intl_it_istat,marts,economics,aggregate,aggregate,istat,name token 'istat',medium,,,,20,clean,True,3,0,1,4,1,0,2,0
economics__xc_owid_gini,marts,economics,measurement,event,gini,name token 'gini',medium,,,,5,clean,False,1,0,1,0,1,0,0,0
economics__xc_wikipedia_largest_us_companies,marts,economics,organization,noun,companies,name token 'companies',medium,,,,7,clean,False,0,2,0,0,0,1,0,0
education__fed_cftc_cot_financial,marts,finance,aggregate,aggregate,cot,name token 'cot',medium,,,,87,clean,True,2,0,21,0,8,0,0,17
education__fed_cftc_cot_futures,marts,finance,instrument,noun,futures,name token 'futures',medium,,,,129,clean,False,2,0,39,0,7,0,0,23
education__fed_cpsc_neiss_codes,marts,consumer_safety,code,code,codes,name token 'codes',medium,,,,4,clean,False,0,0,0,0,0,0,0,0
education__fed_ed_college_scorecard_institution,marts,education,organization,noun,,override: scorecard rows are institutions,high,,,,66,star-upstream-resolved,False,6,10,8,2,8,1,8,10
education__fed_ed_nces_cip_codes,marts,education,code,code,codes,name token 'codes',medium,,,,11,star-upstream-resolved,False,0,0,0,1,4,0,0,0
education__fed_frb_h15_selected_rates,marts,finance,measurement,event,rates,name token 'rates',medium,,,,12,clean,False,11,0,0,0,0,0,0,0
education__fed_frb_z1_csv,marts,finance,aggregate,aggregate,z1,name token 'z1',medium,,,,424,clean,True,1,0,0,0,0,0,0,0
education__fed_google_polads_advertiser_declared_stats,marts,politics_lobbying,aggregate,aggregate,stats,name token 'stats',medium,,,,7,clean,True,0,0,2,2,0,0,0,0
education__fed_google_polads_advertiser_geo_spend,marts,politics_lobbying,payment,event,spend,name token 'spend',medium,,,,24,clean,False,0,20,2,1,0,0,0,0
education__fed_google_polads_advertiser_id_mapping,marts,politics_lobbying,crosswalk,link,mapping,name token 'mapping',medium,,,,2,clean,False,0,0,0,0,0,0,0,0
education__fed_google_polads_advertiser_stats,marts,politics_lobbying,aggregate,aggregate,stats,name token 'stats',medium,,,,26,clean,True,0,20,0,1,0,0,0,1
education__fed_google_polads_advertiser_weekly_spend,marts,politics_lobbying,payment,event,spend,name token 'spend',medium,,,,24,clean,False,1,20,0,1,0,0,0,0
education__fed_google_polads_creative_id_mapping,marts,politics_lobbying,crosswalk,link,mapping,name token 'mapping',medium,,,,2,clean,False,0,0,0,0,0,0,0,0
education__fed_google_polads_creative_stats,marts,politics_lobbying,aggregate,aggregate,stats,name token 'stats',medium,,,,60,clean,True,4,42,2,2,1,0,0,1
education__fed_google_polads_geo_spend,marts,politics_lobbying,payment,event,spend,name token 'spend',medium,,,,23,clean,False,0,20,3,0,0,0,0,0
education__fed_senate_lda_filings,marts,politics_lobbying,filing,event+noun,filings,name token 'filings',medium,,,,26,clean,False,3,1,5,3,2,0,0,0
energy__fed_eia860_1_utility,marts,energy,organization,noun,utility,grain says 'one row per utility',high,utility,,,14,star-upstream-resolved,False,4,0,4,2,1,0,0,0
energy__fed_eia860_2_plant,marts,energy,facility,noun,plant,grain says 'one row per plant',high,plant,,,45,star-upstream-resolved,False,0,0,9,6,8,0,0,0
energy__fed_eia860_3_1_generator,marts,energy,facility,noun,generator,grain says 'one row per plant + generator',high,plant + generator,,,76,star-upstream-resolved,False,16,0,3,3,3,0,0,9
energy__fed_eia860_3_2_wind,marts,energy,facility,noun,generator,grain says 'one row per plant + generator',high,plant + generator,,,26,star-upstream-resolved,False,2,0,2,4,3,0,0,4
energy__fed_eia860_3_3_solar,marts,energy,facility,noun,generator,grain says 'one row per plant + generator',high,plant + generator,,,44,star-upstream-resolved,False,2,0,2,3,2,0,0,6
energy__fed_eia860_3_4_energy_storage,marts,energy,facility,noun,generator,grain says 'one row per plant + generator',high,plant + generator,,,52,star-upstream-resolved,False,2,0,2,9,3,0,0,6
energy__fed_eia860_3_5_multifuel,marts,energy,facility,noun,generator,grain says 'one row per plant + generator',high,plant + generator,,,42,star-upstream-resolved,False,4,0,2,3,2,0,0,7
energy__fed_eia860_4_owner,marts,energy,ownership,link,owner,grain says 'one row per plant + generator + owner',high,plant + generator + owner,,,17,star-upstream-resolved,False,0,0,5,4,2,0,0,1
energy__fed_eia860_6_1_enviroassoc,marts,energy,facility,noun,plant,grain says 'one row per plant + boiler + generator + steam plant type',high,plant + boiler + generator + steam plant type,,,10,star-upstream-resolved,False,0,0,0,4,2,0,0,0
energy__fed_eia860_6_2_enviroequip,marts,energy,facility,noun,boiler,grain says 'one row per plant + boiler',high,plant + boiler,,,52,star-upstream-resolved,False,6,0,1,3,4,0,0,4
energy__fed_eia861_advanced_meters,marts,energy,organization,noun,utility,grain says 'one row per utility',high,utility per state,,,51,star-upstream-resolved,False,1,0,1,3,1,0,0,24
energy__fed_eia861_delivery_companies,marts,energy,organization,noun,companies,name token 'companies',medium,,,,28,star-upstream-resolved,False,1,5,1,3,3,5,0,5
energy__fed_eia861_demand_response,marts,energy,action,event,response,name token 'response',medium,,,,40,star-upstream-resolved,False,1,5,1,3,1,10,0,15
energy__fed_eia861_distribution_systems,marts,energy,program,noun,systems,name token 'systems',medium,,,,10,star-upstream-resolved,False,1,0,1,3,0,0,0,0
energy__fed_eia861_dynamic_pricing,marts,energy,measurement,event,eia861,name token 'eia861',medium,,,,35,star-upstream-resolved,False,9,0,1,3,1,5,0,0
energy__fed_eia861_energy_efficiency,marts,energy,measurement,event,eia861,name token 'eia861',medium,,,,54,star-upstream-resolved,False,1,10,1,3,1,10,0,20
energy__fed_eia861_frame,marts,energy,measurement,event,load,grain says 'one row per filing entity) with ownership and fifteen x-marked schedule-participation flags whose header names were destroyed at load',high,filing entity) with ownership and fifteen X-marked schedule-participation flags whose header names were destroyed at load,,,25,star-upstream-resolved,False,1,0,0,3,1,0,0,0
energy__fed_eia861_mergers,marts,energy,change,event,mergers,name token 'mergers',medium,,,,14,star-upstream-resolved,False,2,0,3,3,1,0,0,0
energy__fed_eia861_net_metering,marts,energy,measurement,event,eia861,name token 'eia861',medium,,,,120,star-upstream-resolved,False,1,0,1,3,2,10,0,76
energy__fed_eia861_non_net_metering_distributed,marts,energy,organization,noun,utility,grain says 'one row per utility',high,utility per state per interconnection type,,,80,star-upstream-resolved,False,1,0,1,3,2,0,0,70
energy__fed_eia861_operational_data,marts,energy,measurement,event,eia861,name token 'eia861',medium,,,,36,star-upstream-resolved,False,3,6,2,3,2,2,0,15
energy__fed_eia861_reliability,marts,energy,measurement,event,eia861,name token 'eia861',medium,,,,32,star-upstream-resolved,False,1,0,1,3,0,2,0,0
energy__fed_eia861_sales_ult_cust,marts,energy,trade,event,sales,name token 'sales',medium,,,,28,star-upstream-resolved,False,1,5,1,3,3,5,0,5
energy__fed_eia861_sales_ult_cust_cs,marts,energy,trade,event,sales,name token 'sales',medium,,,,26,star-upstream-resolved,False,1,5,1,4,1,5,0,5
energy__fed_eia861_service_territory,marts,energy,place,noun,territory,name token 'territory',medium,,,,10,star-upstream-resolved,False,1,0,2,3,0,0,1,0
energy__fed_eia861_short_form,marts,energy,filing,event+noun,form,name token 'form',medium,,,,17,star-upstream-resolved,False,1,1,1,3,1,1,0,1
energy__fed_eia861_utility_data,marts,energy,organization,noun,utility,grain says 'one row per utility',high,utility per state,,,36,star-upstream-resolved,False,1,0,2,3,1,0,0,0
energy__fed_eia_861_balancing_authority,marts,energy,organization,noun,authority,grain says 'one row per balancing authority x state',high,balancing authority x state,,,8,star-upstream-resolved,False,1,0,1,2,1,0,0,0
energy__intl_ember_elec,marts,energy,role,link,combination,grain says 'one row per country × year × variable combination',high,country × year × variable combination,,,21,clean,False,2,0,2,1,2,0,5,2
environment__epa_penalty_gap,marts,environment,enforcement,event,penalty,"grain says 'one row per facility that meets the ""penalty gap"" criteria'",high,"facility that meets the ""penalty gap"" criteria",,,29,clean,False,2,4,6,2,2,1,3,3
environment__fed_epa_air_emissions_poll_rpt_combined_emissions,marts,environment,measurement,event,emissions,name token 'emissions',medium,,,,9,clean,False,1,0,0,2,2,0,1,0
environment__fed_epa_aqs_sites,marts,environment,facility,noun,sites,name token 'sites',medium,,,,32,star-upstream-resolved,False,3,0,7,4,6,0,0,0
environment__fed_epa_echo,marts,environment,facility,noun,facility,grain says 'one row per epa-regulated facility',high,EPA-regulated facility,,,42,clean,False,4,4,8,2,2,1,11,5
environment__fed_epa_egrid_plant_2022,marts,environment,facility,noun,plant,name token 'plant',medium,,,,141,clean,False,1,1,6,3,6,0,4,85
environment__fed_epa_envirofacts,marts,environment,facility,noun,envirofacts,name token 'envirofacts',medium,,,,16,star-upstream-resolved,False,1,0,4,4,2,0,0,0
environment__fed_epa_frs_facilities,marts,environment,facility,noun,facility,grain says 'one row per epa-registered facility',high,EPA-registered facility,,,26,clean,False,2,0,9,2,6,0,2,0
environment__fed_epa_frs_frs_facilities,marts,environment,facility,noun,facility,grain says 'one row per facility',high,facility,,,13,star-upstream-resolved,False,0,0,8,2,0,0,0,0
environment__fed_epa_frs_frs_naics_codes,marts,environment,code,code,codes,name token 'codes',medium,,,,4,clean,False,0,0,0,2,1,0,0,0
environment__fed_epa_frs_frs_program_links,marts,environment,crosswalk,link,links,name token 'links',medium,,,,13,clean,False,0,0,6,2,3,0,0,0
environment__fed_epa_frs_frs_sic_codes,marts,environment,code,code,codes,name token 'codes',medium,,,,4,clean,False,0,0,0,2,1,0,0,0
environment__fed_epa_ghgrp_emission,marts,environment,measurement,event,emission,name token 'emission',medium,,,,9,star-upstream-resolved,False,1,0,0,6,0,0,0,0
environment__fed_epa_ghgrp_facility,marts,environment,facility,noun,facility,grain says 'one row per facility x reporting year with name',high,"facility x reporting year with name, address, lat/long, NAICS, parent company, and FRS_ID cross-dataset join key",,,40,star-upstream-resolved,False,5,0,8,7,3,0,0,0
environment__fed_epa_icis_air_icis_air_facilities,marts,environment,facility,noun,facilities,name token 'facilities',medium,,,,19,clean,False,0,0,6,2,9,0,0,0
environment__fed_epa_icis_air_icis_air_fces_pces,marts,environment,inspection,event,pces,name token 'pces',medium,,,,10,clean,False,1,0,1,2,4,0,0,0
environment__fed_epa_icis_air_icis_air_formal_actions,marts,environment,action,event,actions,name token 'actions',medium,,,,10,clean,False,1,1,1,2,4,0,0,0
environment__fed_epa_icis_air_icis_air_informal_actions,marts,environment,action,event,actions,name token 'actions',medium,,,,10,clean,False,1,0,1,2,4,0,1,0
environment__fed_epa_icis_air_icis_air_pollutants,marts,environment,code,code,pollutants,name token 'pollutants',medium,,,,7,clean,False,0,0,0,2,4,0,0,0
environment__fed_epa_icis_air_icis_air_program_subparts,marts,environment,code,code,subparts,name token 'subparts',medium,,,,5,clean,False,0,0,0,1,3,0,0,0
environment__fed_epa_icis_air_icis_air_programs,marts,environment,program,noun,programs,name token 'programs',medium,,,,7,clean,False,2,0,0,1,3,0,0,0
environment__fed_epa_icis_air_icis_air_stack_tests,marts,environment,measurement,event,tests,name token 'tests',medium,,,,10,clean,False,1,0,1,2,6,0,0,0
environment__fed_epa_icis_air_icis_air_titlev_certs,marts,environment,unresolved,link,,"columns only: 2 ids, narrow",low,,,,7,clean,False,1,0,1,2,2,0,1,0
environment__fed_epa_icis_air_icis_air_violation_history,marts,environment,change,event,history,name token 'history',medium,,,,16,clean,False,5,0,0,3,6,0,0,0
environment__fed_epa_npdes_icis_facilities,marts,environment,facility,noun,facilities,name token 'facilities',medium,,,,14,clean,False,0,0,6,2,3,0,0,0
environment__fed_epa_npdes_npdes_cs_violations,marts,environment,violation,event,violations,name token 'violations',medium,,,,18,clean,False,5,0,0,3,5,0,0,0
environment__fed_epa_npdes_npdes_formal_enforcement_actions,marts,environment,action,event,actions,name token 'actions',medium,,,,10,clean,False,1,2,0,2,3,0,0,0
environment__fed_epa_npdes_npdes_informal_enforcement_actions,marts,environment,action,event,actions,name token 'actions',medium,,,,11,clean,False,1,0,0,3,4,0,1,0
environment__fed_epa_npdes_npdes_inspections,marts,environment,inspection,event,inspections,name token 'inspections',medium,,,,11,clean,False,2,0,1,3,4,0,0,0
environment__fed_epa_npdes_npdes_naics,marts,environment,code,code,naics,name token 'naics',medium,,,,4,clean,False,0,0,0,1,2,0,1,0
environment__fed_epa_npdes_npdes_ps_violations,marts,environment,violation,event,violations,name token 'violations',medium,,,,17,clean,False,5,0,0,3,5,0,0,0
environment__fed_epa_npdes_npdes_qncr_history,marts,environment,change,event,history,name token 'history',medium,,,,8,clean,False,0,0,0,1,0,0,0,0
environment__fed_epa_npdes_npdes_se_violations,marts,environment,violation,event,violations,name token 'violations',medium,,,,15,clean,False,4,0,0,2,5,0,0,0
environment__fed_epa_npdes_npdes_sics,marts,environment,code,code,sics,name token 'sics',medium,,,,4,clean,False,0,0,0,1,2,0,1,0
environment__fed_epa_rcra_enforcements,marts,environment,enforcement,event,enforcements,name token 'enforcements',medium,,,,14,star-upstream-resolved,False,1,4,1,3,1,0,0,0
environment__fed_epa_rcra_evaluations,marts,environment,inspection,event,evaluations,name token 'evaluations',medium,,,,11,star-upstream-resolved,False,1,0,1,3,1,0,0,0
environment__fed_epa_rcra_facilities,marts,environment,facility,noun,facilities,name token 'facilities',medium,,,,15,star-upstream-resolved,False,0,0,3,3,2,0,0,0
environment__fed_epa_rcra_rcra_naics,marts,environment,code,code,naics,name token 'naics',medium,,,,6,star-upstream-resolved,False,0,0,1,3,1,0,0,0
environment__fed_epa_rcra_violations,marts,environment,violation,event,violations,name token 'violations',medium,,,,11,star-upstream-resolved,False,3,0,1,3,2,0,0,0
environment__fed_epa_rcra_viosnc_history,marts,environment,change,event,history,name token 'history',medium,,,,8,star-upstream-resolved,False,1,0,1,2,0,0,2,0
environment__fed_epa_sdwa_sdwa_events_milestones,marts,environment,action,event,events,name token 'events',medium,,,,10,clean,False,4,0,0,1,2,0,0,0
environment__fed_epa_sdwa_sdwa_facilities,marts,environment,facility,noun,facilities,name token 'facilities',medium,,,,19,clean,False,3,0,1,1,7,0,2,0
environment__fed_epa_sdwa_sdwa_geographic_areas,marts,environment,place,noun,areas,name token 'areas',medium,,,,11,clean,False,1,0,5,0,3,0,0,0
environment__fed_epa_sdwa_sdwa_lcr_samples,marts,environment,measurement,event,samples,name token 'samples',medium,,,,15,clean,False,6,0,0,3,2,0,0,0
environment__fed_epa_sdwa_sdwa_pn_violation_assoc,marts,environment,violation,event,violation,name token 'violation',medium,,,,12,clean,False,6,0,0,2,2,0,0,0
environment__fed_epa_sdwa_sdwa_pub_water_systems,marts,environment,program,noun,systems,name token 'systems',medium,,,,51,clean,False,9,0,5,5,19,1,3,1
environment__fed_epa_sdwa_sdwa_site_visits,marts,environment,facility,noun,site,name token 'site',medium,,,,20,clean,False,3,0,0,1,13,0,0,0
environment__fed_epa_sdwa_sdwa_violations_enforcement,marts,environment,action,event,action,grain says 'one row per violation with an enforcement action always attached',high,violation with an enforcement action always attached,,,38,clean,False,11,0,1,5,13,0,2,1
environment__fed_epa_superfund_site_boundaries,marts,environment,place,noun,feature,grain says 'one row per boundary feature',high,boundary feature,,,31,star-upstream-resolved,False,2,0,4,3,7,0,0,2
environment__fed_epa_tri_basic_2023,marts,environment,facility,noun,tri,name token 'tri',medium,,,,122,clean,False,2,0,6,3,16,0,0,12
environment__fed_epa_tri_facility,marts,environment,facility,noun,facility,name token 'facility',medium,,,,51,star-upstream-resolved,False,1,0,13,4,6,0,2,2
environment__fed_fracfocus_disclosure_list,marts,environment,filing,event+noun,disclosure,grain says 'one row per well hydraulic-fracturing job disclosure',high,well hydraulic-fracturing job disclosure,,,20,star-upstream-resolved,False,2,0,4,3,0,0,0,2
environment__fed_fracfocus_registry,marts,environment,filing,event+noun,disclosure,grain says 'one row per ingredient line within a purpose within a well disclosure',high,ingredient line within a purpose within a well disclosure,,,35,star-upstream-resolved,False,2,0,4,7,0,0,0,4
environment__fed_fracfocus_water_source,marts,environment,filing,event+noun,disclosure,grain says 'one row per water source line within a well fracturing disclosure',high,water source line within a well fracturing disclosure,,,12,star-upstream-resolved,False,0,0,2,4,0,0,0,1
environment__fed_nid_dams,marts,environment,asset,noun,dams,name token 'dams',medium,,,,47,star-upstream-resolved,False,5,0,8,4,5,0,3,6
environment__fed_noaa_storm_events,marts,environment,action,event,events,name token 'events',medium,,,,51,clean,False,20,0,5,2,4,0,0,1
environment__fed_noaa_weather_api,marts,environment,natural_event,event,weather,name token 'weather',medium,,,,32,clean,False,3,0,3,2,5,0,0,1
environment__fed_phmsa_flagged_incidents,marts,environment,filing,event+noun,report,grain says 'one row per incident report',high,incident report,,,39,star-upstream-resolved,False,3,0,5,5,4,0,3,14
environment__fed_uscg_nrc_incident_reports,marts,environment,filing,event+noun,report,grain says 'one row per incident report',high,incident report,,,18,star-upstream-resolved,False,2,0,3,1,2,0,0,0
environment__fed_uscg_nrc_incidents,marts,environment,accident,event,release,grain says 'one row per pollution/spill/chemical release call',high,pollution/spill/chemical release call,,,14,star-upstream-resolved,False,3,0,3,1,2,0,0,0
environment__fed_usgs_minerals,marts,environment,aggregate,aggregate,minerals,name token 'minerals',medium,,,,57,clean,True,4,1,8,3,6,0,0,4
environment__fed_usgs_orphaned_oil_gas_wells,marts,environment,asset,noun,wells,name token 'wells',medium,,,,27,star-upstream-resolved,False,1,0,5,3,2,0,0,0
environment__fed_usgs_water,marts,environment,measurement,event,water,name token 'water',medium,,,,15,clean,False,0,0,2,1,7,0,0,0
environment__fed_usgs_wbd_huc8,marts,environment,place,noun,huc8,name token 'huc8',medium,,,,19,star-upstream-resolved,False,1,0,0,6,0,0,0,2
environment__fed_wqp_monitoring_stations,marts,environment,facility,noun,stations,name token 'stations',medium,,,,40,star-upstream-resolved,False,1,0,6,1,15,0,0,2
environment__intl_gem_hazard,marts,environment,natural_event,event,hazard,name token 'hazard',medium,,,,9,clean,False,0,0,4,1,0,0,0,0
environment__intl_global_witness_defenders,marts,environment,accident,event,defenders,name token 'defenders',medium,,,,11,clean,False,1,0,2,0,2,0,0,0
environment__xc_epa_corporate_crosswalk,marts,environment,crosswalk,link,crosswalk,name token 'crosswalk',medium,,,,11,clean,False,0,0,0,5,1,0,1,0
environment__xc_owid_co2,marts,environment,aggregate,aggregate,owid,name token 'owid',medium,,,,4,clean,True,1,0,0,0,1,0,0,0
environment__xc_owid_fossil_share,marts,environment,aggregate,aggregate,owid,name token 'owid',medium,,,,4,clean,True,1,0,0,0,1,0,0,0
environment__xc_owid_temp_anomaly,marts,environment,aggregate,aggregate,owid,name token 'owid',medium,,,,6,clean,True,1,0,0,0,1,0,0,0
finance__fed_epa_icis_fec_case_enforcement_conclusion_facilities,marts,environment,facility,noun,facilities,name token 'facilities',medium,,,,9,clean,False,0,0,3,4,0,0,0,0
finance__fed_epa_icis_fec_case_facilities,marts,environment,facility,noun,facilities,name token 'facilities',medium,,,,10,clean,False,0,0,3,3,3,0,0,0
