branch,park_type,family,model,line
per person served,needs-population,recall,consumer_safety__fed_nhtsa_recalls,consumer_safety__fed_nhtsa_recalls: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,recall,consumer_safety__fed_nhtsa_recalls,consumer_safety__fed_nhtsa_recalls: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,recall,consumer_safety__fed_nhtsa_recalls,consumer_safety__fed_nhtsa_recalls: harm lives in a different fact table
per person served,needs-population,place,corporate_registry__fed_icij_offshoreleaks_addresses,corporate_registry__fed_icij_offshoreleaks_addresses: no population/served column on the thing itself
any trend over time,needs-history,place,corporate_registry__fed_icij_offshoreleaks_addresses,corporate_registry__fed_icij_offshoreleaks_addresses: no date column — snapshot only
per person served,needs-population,organization,corporate_registry__fed_icij_offshoreleaks_entities,corporate_registry__fed_icij_offshoreleaks_entities: no population/served column on the thing itself
per person served,needs-population,organization,corporate_registry__fed_icij_offshoreleaks_intermediaries,corporate_registry__fed_icij_offshoreleaks_intermediaries: no population/served column on the thing itself
any trend over time,needs-history,organization,corporate_registry__fed_icij_offshoreleaks_intermediaries,corporate_registry__fed_icij_offshoreleaks_intermediaries: no date column — snapshot only
any trend over time,needs-history,role,corporate_registry__fed_icij_offshoreleaks_officers,corporate_registry__fed_icij_offshoreleaks_officers: no date column — snapshot only
per person served,needs-population,organization,corporate_registry__fed_icij_offshoreleaks_others,corporate_registry__fed_icij_offshoreleaks_others: no population/served column on the thing itself
per person served,needs-population,organization,corporate_registry__fed_irs_eo_bmf,corporate_registry__fed_irs_eo_bmf: no population/served column on the thing itself
per person served,needs-population,organization,corporate_registry__intl_es_borme,corporate_registry__intl_es_borme: no population/served column on the thing itself
per person served,needs-population,organization,corporate_registry__intl_ie_cro,corporate_registry__intl_ie_cro: no population/served column on the thing itself
per person served,needs-population,organization,corporate_registry__intl_uk_companies_house,corporate_registry__intl_uk_companies_house: no population/served column on the thing itself
per person served,needs-population,organization,corporate_registry__uk_companies_house_psc,corporate_registry__uk_companies_house_psc: no population/served column on the thing itself
per person served,needs-population,accident,criminal_justice__fed_bjs_data,criminal_justice__fed_bjs_data: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,accident,criminal_justice__fed_bjs_data,criminal_justice__fed_bjs_data: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,accident,criminal_justice__fed_bjs_data,criminal_justice__fed_bjs_data: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,accident,criminal_justice__fed_bjs_data,criminal_justice__fed_bjs_data: harm lives in a different fact table
per person served,needs-population,filing,economics__fed_dol_form5500,economics__fed_dol_form5500: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,filing,economics__fed_dol_form5500,economics__fed_dol_form5500: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,filing,economics__fed_dol_form5500,economics__fed_dol_form5500: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,economics__fed_dol_form5500,economics__fed_dol_form5500: harm lives in a different fact table
per person served,needs-population,inspection,economics__fed_fac_single_audit,economics__fed_fac_single_audit: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,inspection,economics__fed_fac_single_audit,economics__fed_fac_single_audit: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,inspection,economics__fed_fac_single_audit,economics__fed_fac_single_audit: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,inspection,economics__fed_fac_single_audit,economics__fed_fac_single_audit: harm lives in a different fact table
per person served,needs-population,organization,economics__fed_fdic_failed_banks,economics__fed_fdic_failed_banks: no population/served column on the thing itself
per person served,needs-population,trade,economics__fed_foreignassistance,economics__fed_foreignassistance: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,trade,economics__fed_foreignassistance,economics__fed_foreignassistance: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,trade,economics__fed_foreignassistance,economics__fed_foreignassistance: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,trade,economics__fed_foreignassistance,economics__fed_foreignassistance: harm lives in a different fact table
per person served,needs-population,award,economics__fed_grants_gov,economics__fed_grants_gov: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,award,economics__fed_grants_gov,economics__fed_grants_gov: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,award,economics__fed_grants_gov,economics__fed_grants_gov: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,economics__fed_grants_gov,economics__fed_grants_gov: harm lives in a different fact table
per person served,needs-population,organization,economics__fed_irs_990,economics__fed_irs_990: no population/served column on the thing itself
per person served,needs-population,measurement,economics__fed_irs_990_efile_index,economics__fed_irs_990_efile_index: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,measurement,economics__fed_irs_990_efile_index,economics__fed_irs_990_efile_index: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,economics__fed_irs_990_efile_index,economics__fed_irs_990_efile_index: harm lives in a different fact table
per person served,needs-population,enforcement,economics__fed_irs_auto_revocations,economics__fed_irs_auto_revocations: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,enforcement,economics__fed_irs_auto_revocations,economics__fed_irs_auto_revocations: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,enforcement,economics__fed_irs_auto_revocations,economics__fed_irs_auto_revocations: harm lives in a different fact table
per person served,needs-population,organization,economics__fed_irs_bmf,economics__fed_irs_bmf: no population/served column on the thing itself
per person served,needs-population,post,economics__fed_irs_eo_pr,economics__fed_irs_eo_pr: no population/served column on the thing itself
any trend over time,needs-history,post,economics__fed_irs_eo_pr,economics__fed_irs_eo_pr: no date column — snapshot only
assessed vs actually collected,needs-second-table,post,economics__fed_irs_eo_pr,economics__fed_irs_eo_pr: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,post,economics__fed_irs_eo_pr,economics__fed_irs_eo_pr: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,post,economics__fed_irs_eo_pr,economics__fed_irs_eo_pr: harm lives in a different fact table
per person served,needs-population,organization,economics__fed_irs_pub78_eligible_donees,economics__fed_irs_pub78_eligible_donees: no population/served column on the thing itself
any trend over time,needs-history,organization,economics__fed_irs_pub78_eligible_donees,economics__fed_irs_pub78_eligible_donees: no date column — snapshot only
per person served,needs-population,organization,economics__fed_irs_revocation,economics__fed_irs_revocation: no population/served column on the thing itself
per person served,needs-population,organization,economics__fed_irs_soi_charities,economics__fed_irs_soi_charities: no population/served column on the thing itself
any trend over time,needs-history,organization,economics__fed_irs_soi_charities,economics__fed_irs_soi_charities: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,economics__fed_pbgc_data,economics__fed_pbgc_data: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,loan,economics__fed_sba_loans,economics__fed_sba_loans: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,loan,economics__fed_sba_loans,economics__fed_sba_loans: events carry no entity ID — name-match only
assessed vs actually collected,needs-second-table,loan,economics__fed_sba_loans,economics__fed_sba_loans: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,loan,economics__fed_sba_loans,economics__fed_sba_loans: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,loan,economics__fed_sba_loans,economics__fed_sba_loans: harm lives in a different fact table
per person served,needs-population,loan,economics__fed_sba_ppp,economics__fed_sba_ppp: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,loan,economics__fed_sba_ppp,economics__fed_sba_ppp: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,loan,economics__fed_sba_ppp,economics__fed_sba_ppp: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,loan,economics__fed_sba_ppp,economics__fed_sba_ppp: harm lives in a different fact table
per person served,needs-population,filing,economics__fed_sec_edgar,economics__fed_sec_edgar: no population/served column on the thing itself
any trend over time,needs-history,filing,economics__fed_sec_edgar,economics__fed_sec_edgar: no date column — snapshot only
was there an inspection first (real lineage),needs-lineage,filing,economics__fed_sec_edgar,economics__fed_sec_edgar: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,economics__fed_sec_edgar,economics__fed_sec_edgar: harm lives in a different fact table
per person served,needs-population,instrument,economics__fed_sec_edgar_company_tickers,economics__fed_sec_edgar_company_tickers: no population/served column on the thing itself
any trend over time,needs-history,instrument,economics__fed_sec_edgar_company_tickers,economics__fed_sec_edgar_company_tickers: no date column — snapshot only
per person served,needs-population,measurement,economics__fed_treasury_avg_interest_rates,economics__fed_treasury_avg_interest_rates: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,measurement,economics__fed_treasury_avg_interest_rates,economics__fed_treasury_avg_interest_rates: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,measurement,economics__fed_treasury_avg_interest_rates,economics__fed_treasury_avg_interest_rates: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,economics__fed_treasury_avg_interest_rates,economics__fed_treasury_avg_interest_rates: harm lives in a different fact table
per person served,needs-population,instrument,economics__fed_treasury_debt_outstanding,economics__fed_treasury_debt_outstanding: no population/served column on the thing itself
per person served,needs-population,instrument,economics__fed_treasury_debt_to_penny,economics__fed_treasury_debt_to_penny: no population/served column on the thing itself
per person served,needs-population,payment,economics__fed_treasury_dts_deposits,economics__fed_treasury_dts_deposits: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,payment,economics__fed_treasury_dts_deposits,economics__fed_treasury_dts_deposits: events carry no entity ID — name-match only
assessed vs actually collected,needs-second-table,payment,economics__fed_treasury_dts_deposits,economics__fed_treasury_dts_deposits: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,payment,economics__fed_treasury_dts_deposits,economics__fed_treasury_dts_deposits: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,payment,economics__fed_treasury_dts_deposits,economics__fed_treasury_dts_deposits: harm lives in a different fact table
per person served,needs-population,contribution,economics__fed_treasury_mts_receipts,economics__fed_treasury_mts_receipts: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,contribution,economics__fed_treasury_mts_receipts,economics__fed_treasury_mts_receipts: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,contribution,economics__fed_treasury_mts_receipts,economics__fed_treasury_mts_receipts: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,contribution,economics__fed_treasury_mts_receipts,economics__fed_treasury_mts_receipts: harm lives in a different fact table
per person served,needs-population,filing,economics__fed_us_sec_edgar,economics__fed_us_sec_edgar: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,filing,economics__fed_us_sec_edgar,economics__fed_us_sec_edgar: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,economics__fed_us_sec_edgar,economics__fed_us_sec_edgar: harm lives in a different fact table
per person served,needs-population,award,economics__fed_us_usaspending_api,economics__fed_us_usaspending_api: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,award,economics__fed_us_usaspending_api,economics__fed_us_usaspending_api: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,award,economics__fed_us_usaspending_api,economics__fed_us_usaspending_api: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,economics__fed_us_usaspending_api,economics__fed_us_usaspending_api: harm lives in a different fact table
per person served,needs-population,trade,economics__fed_usaspending_assistance_full,economics__fed_usaspending_assistance_full: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,trade,economics__fed_usaspending_assistance_full,economics__fed_usaspending_assistance_full: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,trade,economics__fed_usaspending_assistance_full,economics__fed_usaspending_assistance_full: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,trade,economics__fed_usaspending_assistance_full,economics__fed_usaspending_assistance_full: harm lives in a different fact table
per person served,needs-population,trade,economics__fed_usaspending_contracts,economics__fed_usaspending_contracts: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,trade,economics__fed_usaspending_contracts,economics__fed_usaspending_contracts: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,trade,economics__fed_usaspending_contracts,economics__fed_usaspending_contracts: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,trade,economics__fed_usaspending_contracts,economics__fed_usaspending_contracts: harm lives in a different fact table
per person served,needs-population,award,economics__fed_usaspending_contracts_full,economics__fed_usaspending_contracts_full: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,award,economics__fed_usaspending_contracts_full,economics__fed_usaspending_contracts_full: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,award,economics__fed_usaspending_contracts_full,economics__fed_usaspending_contracts_full: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,economics__fed_usaspending_contracts_full,economics__fed_usaspending_contracts_full: harm lives in a different fact table
per person served,needs-population,organization,economics__fed_usaspending_toptier_agencies,economics__fed_usaspending_toptier_agencies: no population/served column on the thing itself
any trend over time,needs-history,aggregate,economics__intl_fao_faostat,economics__intl_fao_faostat: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,economics__intl_fao_faostat,economics__intl_fao_faostat: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,product,economics__intl_fao_faostat_food_security,economics__intl_fao_faostat_food_security: no population/served column on the thing itself
per person served,needs-population,trade,economics__intl_gfi_trade,economics__intl_gfi_trade: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,trade,economics__intl_gfi_trade,economics__intl_gfi_trade: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,trade,economics__intl_gfi_trade,economics__intl_gfi_trade: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,trade,economics__intl_gfi_trade,economics__intl_gfi_trade: harm lives in a different fact table
per person served,needs-population,organization,economics__intl_gleif,economics__intl_gleif: no population/served column on the thing itself
any trend over time,needs-history,organization,economics__intl_gleif,economics__intl_gleif: no date column — snapshot only
any trend over time,needs-history,role,economics__intl_gleif_relationships,economics__intl_gleif_relationships: no date column — snapshot only
per person served,needs-population,organization,economics__intl_gleif_repex,economics__intl_gleif_repex: no population/served column on the thing itself
any trend over time,needs-history,organization,economics__intl_gleif_repex,economics__intl_gleif_repex: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,economics__intl_it_istat,economics__intl_it_istat: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,measurement,economics__xc_owid_gini,economics__xc_owid_gini: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,measurement,economics__xc_owid_gini,economics__xc_owid_gini: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,measurement,economics__xc_owid_gini,economics__xc_owid_gini: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,economics__xc_owid_gini,economics__xc_owid_gini: harm lives in a different fact table
any trend over time,needs-history,organization,economics__xc_wikipedia_largest_us_companies,economics__xc_wikipedia_largest_us_companies: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,education__fed_cftc_cot_financial,education__fed_cftc_cot_financial: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,instrument,education__fed_cftc_cot_futures,education__fed_cftc_cot_futures: no population/served column on the thing itself
any trend over time,needs-history,code,education__fed_cpsc_neiss_codes,education__fed_cpsc_neiss_codes: no date column — snapshot only
any trend over time,needs-history,code,education__fed_ed_nces_cip_codes,education__fed_ed_nces_cip_codes: no date column — snapshot only
per person served,needs-population,measurement,education__fed_frb_h15_selected_rates,education__fed_frb_h15_selected_rates: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,measurement,education__fed_frb_h15_selected_rates,education__fed_frb_h15_selected_rates: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,measurement,education__fed_frb_h15_selected_rates,education__fed_frb_h15_selected_rates: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,education__fed_frb_h15_selected_rates,education__fed_frb_h15_selected_rates: harm lives in a different fact table
row-level version of this aggregate,needs-source-upgrade,aggregate,education__fed_frb_z1_csv,education__fed_frb_z1_csv: publisher pre-aggregated — per-noun cuts impossible below its grain
any trend over time,needs-history,aggregate,education__fed_google_polads_advertiser_declared_stats,education__fed_google_polads_advertiser_declared_stats: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,education__fed_google_polads_advertiser_declared_stats,education__fed_google_polads_advertiser_declared_stats: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,payment,education__fed_google_polads_advertiser_geo_spend,education__fed_google_polads_advertiser_geo_spend: no population/served column on the thing itself
any trend over time,needs-history,payment,education__fed_google_polads_advertiser_geo_spend,education__fed_google_polads_advertiser_geo_spend: no date column — snapshot only
assessed vs actually collected,needs-second-table,payment,education__fed_google_polads_advertiser_geo_spend,education__fed_google_polads_advertiser_geo_spend: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,payment,education__fed_google_polads_advertiser_geo_spend,education__fed_google_polads_advertiser_geo_spend: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,payment,education__fed_google_polads_advertiser_geo_spend,education__fed_google_polads_advertiser_geo_spend: harm lives in a different fact table
any trend over time,needs-history,crosswalk,education__fed_google_polads_advertiser_id_mapping,education__fed_google_polads_advertiser_id_mapping: no date column — snapshot only
any trend over time,needs-history,aggregate,education__fed_google_polads_advertiser_stats,education__fed_google_polads_advertiser_stats: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,education__fed_google_polads_advertiser_stats,education__fed_google_polads_advertiser_stats: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,payment,education__fed_google_polads_advertiser_weekly_spend,education__fed_google_polads_advertiser_weekly_spend: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,payment,education__fed_google_polads_advertiser_weekly_spend,education__fed_google_polads_advertiser_weekly_spend: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,payment,education__fed_google_polads_advertiser_weekly_spend,education__fed_google_polads_advertiser_weekly_spend: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,payment,education__fed_google_polads_advertiser_weekly_spend,education__fed_google_polads_advertiser_weekly_spend: harm lives in a different fact table
any trend over time,needs-history,crosswalk,education__fed_google_polads_creative_id_mapping,education__fed_google_polads_creative_id_mapping: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,education__fed_google_polads_creative_stats,education__fed_google_polads_creative_stats: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,payment,education__fed_google_polads_geo_spend,education__fed_google_polads_geo_spend: no population/served column on the thing itself
any trend over time,needs-history,payment,education__fed_google_polads_geo_spend,education__fed_google_polads_geo_spend: no date column — snapshot only
events per noun via hard ID,needs-crosswalk,payment,education__fed_google_polads_geo_spend,education__fed_google_polads_geo_spend: events carry no entity ID — name-match only
assessed vs actually collected,needs-second-table,payment,education__fed_google_polads_geo_spend,education__fed_google_polads_geo_spend: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,payment,education__fed_google_polads_geo_spend,education__fed_google_polads_geo_spend: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,payment,education__fed_google_polads_geo_spend,education__fed_google_polads_geo_spend: harm lives in a different fact table
per person served,needs-population,filing,education__fed_senate_lda_filings,education__fed_senate_lda_filings: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,filing,education__fed_senate_lda_filings,education__fed_senate_lda_filings: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,filing,education__fed_senate_lda_filings,education__fed_senate_lda_filings: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,education__fed_senate_lda_filings,education__fed_senate_lda_filings: harm lives in a different fact table
per person served,needs-population,organization,energy__fed_eia860_1_utility,energy__fed_eia860_1_utility: no population/served column on the thing itself
per person served,needs-population,facility,energy__fed_eia860_2_plant,energy__fed_eia860_2_plant: no population/served column on the thing itself
any trend over time,needs-history,facility,energy__fed_eia860_2_plant,energy__fed_eia860_2_plant: no date column — snapshot only
per person served,needs-population,facility,energy__fed_eia860_3_1_generator,energy__fed_eia860_3_1_generator: no population/served column on the thing itself
per person served,needs-population,facility,energy__fed_eia860_3_2_wind,energy__fed_eia860_3_2_wind: no population/served column on the thing itself
per person served,needs-population,facility,energy__fed_eia860_3_3_solar,energy__fed_eia860_3_3_solar: no population/served column on the thing itself
per person served,needs-population,facility,energy__fed_eia860_3_4_energy_storage,energy__fed_eia860_3_4_energy_storage: no population/served column on the thing itself
per person served,needs-population,facility,energy__fed_eia860_3_5_multifuel,energy__fed_eia860_3_5_multifuel: no population/served column on the thing itself
any trend over time,needs-history,ownership,energy__fed_eia860_4_owner,energy__fed_eia860_4_owner: no date column — snapshot only
per person served,needs-population,facility,energy__fed_eia860_6_1_enviroassoc,energy__fed_eia860_6_1_enviroassoc: no population/served column on the thing itself
any trend over time,needs-history,facility,energy__fed_eia860_6_1_enviroassoc,energy__fed_eia860_6_1_enviroassoc: no date column — snapshot only
per person served,needs-population,facility,energy__fed_eia860_6_2_enviroequip,energy__fed_eia860_6_2_enviroequip: no population/served column on the thing itself
per person served,needs-population,organization,energy__fed_eia861_advanced_meters,energy__fed_eia861_advanced_meters: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,action,energy__fed_eia861_demand_response,energy__fed_eia861_demand_response: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,action,energy__fed_eia861_demand_response,energy__fed_eia861_demand_response: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,action,energy__fed_eia861_demand_response,energy__fed_eia861_demand_response: harm lives in a different fact table
per person served,needs-population,program,energy__fed_eia861_distribution_systems,energy__fed_eia861_distribution_systems: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,measurement,energy__fed_eia861_dynamic_pricing,energy__fed_eia861_dynamic_pricing: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,energy__fed_eia861_dynamic_pricing,energy__fed_eia861_dynamic_pricing: harm lives in a different fact table
assessed vs actually collected,needs-second-table,measurement,energy__fed_eia861_energy_efficiency,energy__fed_eia861_energy_efficiency: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,measurement,energy__fed_eia861_energy_efficiency,energy__fed_eia861_energy_efficiency: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,energy__fed_eia861_energy_efficiency,energy__fed_eia861_energy_efficiency: harm lives in a different fact table
per person served,needs-population,measurement,energy__fed_eia861_frame,energy__fed_eia861_frame: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,measurement,energy__fed_eia861_frame,energy__fed_eia861_frame: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,energy__fed_eia861_frame,energy__fed_eia861_frame: harm lives in a different fact table
per person served,needs-population,change,energy__fed_eia861_mergers,energy__fed_eia861_mergers: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,change,energy__fed_eia861_mergers,energy__fed_eia861_mergers: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,change,energy__fed_eia861_mergers,energy__fed_eia861_mergers: harm lives in a different fact table
was there an inspection first (real lineage),needs-lineage,measurement,energy__fed_eia861_net_metering,energy__fed_eia861_net_metering: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,energy__fed_eia861_net_metering,energy__fed_eia861_net_metering: harm lives in a different fact table
per person served,needs-population,organization,energy__fed_eia861_non_net_metering_distributed,energy__fed_eia861_non_net_metering_distributed: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,measurement,energy__fed_eia861_operational_data,energy__fed_eia861_operational_data: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,measurement,energy__fed_eia861_operational_data,energy__fed_eia861_operational_data: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,energy__fed_eia861_operational_data,energy__fed_eia861_operational_data: harm lives in a different fact table
was there an inspection first (real lineage),needs-lineage,measurement,energy__fed_eia861_reliability,energy__fed_eia861_reliability: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,energy__fed_eia861_reliability,energy__fed_eia861_reliability: harm lives in a different fact table
assessed vs actually collected,needs-second-table,trade,energy__fed_eia861_sales_ult_cust,energy__fed_eia861_sales_ult_cust: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,trade,energy__fed_eia861_sales_ult_cust,energy__fed_eia861_sales_ult_cust: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,trade,energy__fed_eia861_sales_ult_cust,energy__fed_eia861_sales_ult_cust: harm lives in a different fact table
assessed vs actually collected,needs-second-table,trade,energy__fed_eia861_sales_ult_cust_cs,energy__fed_eia861_sales_ult_cust_cs: has amounts; collection outcome lives elsewhere if anywhere
