table	kind	detail
ENVIRONMENT__FED_EPA_TRI_FACILITY	empty column	ASGN_TECHNICAL_CONTACT_EMAIL is null on all 64,990 rows
ENVIRONMENT__FED_EPA_TRI_FACILITY	empty column	FRS_ID is null on all 64,990 rows
ENVIRONMENT__FED_EPA_TRI_BASIC_2023	empty column	C_14_HORIZONTAL_DATUM is null on all 78,647 rows
ENVIRONMENT__FED_EPA_NPDES_NPDES_CS_VIOLATIONS	ceiling value	COMP_SCHEDULE_NMBR max is 999, a 9s sentinel
ECONOMICS__FED_FOREIGNASSISTANCE	empty column	OBLIGATION_AMOUNT is null on all 95,658 rows
ECONOMICS__FED_FOREIGNASSISTANCE	empty column	DISBURSEMENT_AMOUNT is null on all 95,658 rows
FINANCE__FED_FEC_COMMITTEES_DIM	constant column	CYCLE holds one value, 2026, on 20,007 rows
ENVIRONMENT__FED_USCG_NRC_INCIDENT_REPORTS	empty column	EXTRA_COL_1 is null on all 116,662 rows
ENVIRONMENT__FED_USCG_NRC_INCIDENT_REPORTS	empty column	EXTRA_COL_2 is null on all 116,662 rows
ENVIRONMENT__FED_USCG_NRC_INCIDENT_REPORTS	empty column	EXTRA_COL_3 is null on all 116,662 rows
ENVIRONMENT__FED_EPA_GHGRP_FACILITY	empty column	ADDRESS2 is null on all 136,005 rows
ENVIRONMENT__FED_EPA_GHGRP_FACILITY	empty column	BAMM_USED_DESC is null on all 136,005 rows
ENVIRONMENT__FED_EPA_GHGRP_FACILITY	empty column	BAMM_APPROVED is null on all 136,005 rows
FINANCE__FED_PCAOB_FORM_AP_FILINGS	empty column	ISSUER_TICKER_NOT_AVAILABLE is null on all 155,384 rows
ECONOMICS__INTL_IT_ISTAT	empty column	UNIT_MULT is null on all 213,284 rows
EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND	empty column	ELECTION_CYCLE is null on all 298,884 rows
ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS	ceiling value	SERVICE_CONNECTIONS_COUNT max is 9,999,999, a 9s sentinel
ECONOMICS__INTL_GLEIF_RELATIONSHIPS	empty column	RELATIONSHIP_QUANTIFIERS_2_QUANTIFIERAMOUNT is null on all 485,285 rows
ECONOMICS__INTL_GLEIF_RELATIONSHIPS	empty column	RELATIONSHIP_QUANTIFIERS_3_QUANTIFIERAMOUNT is null on all 485,285 rows
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_STACK_TESTS	empty column	POLLUTANT_DESCS is null on all 620,302 rows
HEALTH__FED_CLINICALTRIALS	empty column	NPI is null on all 601,694 rows
EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS	empty column	SPEND_USD is null on all 1,562,870 rows
EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS	empty column	AD_CAMPAIGNS_LIST is null on all 1,562,870 rows
EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS	empty column	UNNAMED_59 is null on all 1,562,870 rows
CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	ceiling value	MILES max is 9,999,999, a 9s sentinel
ECONOMICS__FED_DOL_OSHA_INSPECTIONS	ceiling value	NR_IN_ESTAB max is 9,999,999,999, a 9s sentinel
JUSTICE__FED_FJC_IDB_CIVIL	ceiling value	AMOUNT_DEMANDED max is 9,999, a 9s sentinel
JUSTICE__FED_FJC_IDB_CIVIL	ceiling value	AMOUNT_RECEIVED max is 9,999, a 9s sentinel
