NPI,EXCLUSION_TYPE,GENERAL_CATEGORY,SPECIALTY,STATE,EXCLUSION_YEAR,REINSTATEMENT_YEAR,PAY_YEAR,NATURE_OF_PAYMENT,N_PAYMENTS,TOTAL_DOLLARS,AFTER_EXCLUSION_FLAG
1801005053,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,LA,2019,,2024,Food and Beverage,5,97.13,1
1154336907,1128b4,"PHYSICIAN (MD, DO)",PSYCHIATRY,FL,2025,,2022,Food and Beverage,1,96.92,0
1568479715,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,FL,2023,,2024,Food and Beverage,5,96.56,1
1184663445,1128b4,IND- LIC HC SERV PRO,NURSE/NURSES AIDE,NY,2025,,2024,Food and Beverage,5,95.87,0
1790035921,1128a1,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,FL,2024,,2024,Food and Beverage,1,95.52,1
1194845131,1128b4,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,IL,2022,,2022,Education,1,95.0,1
1245325273,1128b4,"PHYSICIAN (MD, DO)",PSYCHIATRY,FL,2023,,2023,Food and Beverage,4,94.73,1
1851307961,1128b4,"PHYSICIAN (MD, DO)",GYN/OBS,MI,2024,,2022,Food and Beverage,1,94.44,0
1992200919,1128b4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,FL,2025,,2023,Food and Beverage,1,94.24,0
1588928477,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,GA,2021,,2022,Food and Beverage,6,94.12,1
1982647756,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,PA,2025,,2022,Food and Beverage,6,93.73,0
1174588891,1128b4,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,CA,2026,,2022,Education,2,93.48,0
1043275761,1128a1,"PHYSICIAN (MD, DO)",PSYCHIATRY,IN,2025,,2024,Food and Beverage,6,92.54,0
1043275761,1128a1,"PHYSICIAN (MD, DO)",PSYCHIATRY,IN,2025,,2022,Food and Beverage,2,92.51,0
1265696769,1128a3,IND- LIC HC SERV PRO,DENTIST,MS,2022,,2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",2,91.96,1
1871606244,1128b14,IND- LIC HC SERV PRO,OPTOMETRY,IA,2018,,2024,Food and Beverage,3,91.66,1
1942375837,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,MI,2024,,2024,Food and Beverage,5,91.45,1
1831248731,1128a4,"PHYSICIAN (MD, DO)",GYN/OBS,FL,2025,,2024,Food and Beverage,4,91.35,0
1326062209,1128b4,"PHYSICIAN (MD, DO)",NEUROLOGY,CA,2025,,2023,Food and Beverage,1,90.83,0
1942301502,1128b4,IND- LIC HC SERV PRO,DENTIST,CO,2026,,2022,Education,4,89.62,0
1093002586,1128b4,"PHYSICIAN (MD, DO)",GYN/OBS,OH,2023,,2024,Food and Beverage,6,89.41,1
1780674218,1128a3,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,WV,2026,,2022,Education,1,89.0,0
1003896523,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,NJ,2026,,2024,Food and Beverage,5,88.67,0
1497854483,1128a4,"MEDICAL PRACTICE, MD",FAMILY PRACTICE,CA,2010,,2023,Food and Beverage,5,88.3,1
1326681024,1128a1,IND- LIC HC SERV PRO,NURSE/NURSES AIDE,NJ,2026,,2022,Food and Beverage,5,87.83,0
1871526400,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,TX,2023,,2022,Food and Beverage,3,87.76,0
1982624524,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,CA,2021,,2022,Food and Beverage,7,87.3,1
1437167756,1128b4,IND- LIC HC SERV PRO,NURSE/NURSES AIDE,FL,2012,,2022,Food and Beverage,10,86.76,1
1225011885,1128b4,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,FL,2025,,2024,Food and Beverage,5,86.64,0
1801005053,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,LA,2019,,2022,Food and Beverage,5,86.05,1
1003016742,1128a1,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,TX,2017,,2023,Food and Beverage,2,85.63,1
1811070006,1128b4,"PHYSICIAN (MD, DO)",PSYCHIATRY,NM,2015,,2023,Food and Beverage,1,85.39,1
1699704908,1128b4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,PA,2024,,2023,Food and Beverage,1,85.35,0
1699704908,1128b4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,PA,2024,,2024,Food and Beverage,1,85.35,1
1194721431,1128a1,"PHYSICIAN (MD, DO)",PSYCHIATRY,NV,2025,,2023,Food and Beverage,2,85.35,0
1073804944,1128a4,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,TX,2025,,2023,Education,1,85.0,0
1790795383,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,TX,2025,,2023,Education,1,85.0,0
1386634293,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,TX,2020,,2022,Food and Beverage,5,84.63,1
1982626818,1128a1,"PHYSICIAN (MD, DO)",PAIN MANAGEMENT,CT,2026,,2022,Food and Beverage,1,84.58,0
1730272709,1128a1,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,NV,2023,,2023,Food and Beverage,4,84.49,1
1437149952,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,IN,2016,,2023,Food and Beverage,2,84.49,1
1245594282,1128a2,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,VA,2026,,2022,Food and Beverage,1,83.33,0
1568467876,1128a2,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,NY,2022,,2023,Food and Beverage,4,83.05,1
1184618597,1128b7,"PHYSICIAN (MD, DO)",PAIN MANAGEMENT,TX,2025,,2023,Food and Beverage,1,82.84,0
1063073757,1128b4,"PHYSICIAN (MD, DO)",SURGERY,NJ,2025,,2024,Food and Beverage,2,82.82,0
1184983066,1128b4,IND- LIC HC SERV PRO,DENTIST,NC,2025,,2024,Food and Beverage,3,82.8,0
1447418918,1128a4,"PHYSICIAN (MD, DO)",PSYCHIATRY,MD,2025,,2022,Food and Beverage,4,82.71,0
1235186636,1128a1,"PHYSICIAN (MD, DO)",PAIN MANAGEMENT,GA,2017,,2023,Food and Beverage,1,82.41,1
1962896415,1128b4,IND- LIC HC SERV PRO,NURSE/NURSES AIDE,NV,2025,,2022,Food and Beverage,4,81.68,0
1629042304,1128a1,"PHYSICIAN (MD, DO)",RHEUMATOLOGY,MS,2022,,2024,Food and Beverage,1,81.19,1
1982624524,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,CA,2021,,2024,Food and Beverage,8,81.05,1
1700813607,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,MO,2023,,2023,Food and Beverage,1,80.95,1
1184685281,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,CA,2025,,2022,Education,2,80.78,0
1619089166,1128b4,"PHYSICIAN (MD, DO)",NEUROLOGY,TX,2021,,2024,Food and Beverage,3,80.37,1
1255478269,1128a4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,NY,2013,,2023,Education,1,79.89,1
1578983094,1128a3,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,TN,2024,,2022,Food and Beverage,1,79.82,0
1740275676,1128a4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,WV,2026,,2022,Education,3,79.62,0
1477656361,1128a1,IND- LIC HC SERV PRO,CHIROPRACTIC,NY,2017,,2024,Food and Beverage,4,79.33,1
1871531350,1128a4,"PHYSICIAN (MD, DO)",HEMATOLOGY,TX,2020,,2024,Food and Beverage,5,78.61,1
1184734055,1128b4,"PHYSICIAN (MD, DO)",PSYCHIATRY,TX,2024,,2022,Food and Beverage,4,78.28,0
1295721876,1128b7,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,CA,2024,,2022,Food and Beverage,3,77.93,0
1922232297,1128b4,IND- LIC HC SERV PRO,NURSE/NURSES AIDE,IN,2015,,2023,Food and Beverage,4,77.43,1
1700942034,1128a3,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,FL,2026,,2022,Food and Beverage,4,77.15,0
1720089147,1128b4,"PHYSICIAN (MD, DO)",PEDIATRICS,CA,2024,,2022,Food and Beverage,4,77.11,0
1780642736,1128b7,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,IL,2022,,2022,Food and Beverage,4,76.95,1
1265563019,1128b4,"PHYSICIAN (MD, DO)",GYN/OBS,WA,2024,,2023,Food and Beverage,1,76.8,0
1215431861,1128b4,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,TN,2024,,2023,Food and Beverage,3,75.86,0
1699746933,1128a3,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,FL,2015,,2023,Food and Beverage,1,75.75,1
1790199982,1128b4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,FL,2026,,2024,Food and Beverage,4,75.43,0
1790764207,1128a3,"PHYSICIAN (MD, DO)",ANESTHESIOLOGY,WV,2017,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",2,75.0,1
1306069034,1128a2,IND- LIC HC SERV PRO,DENTIST,AR,2015,,2023,Food and Beverage,1,75.0,1
1902819352,1128a1,IND- LIC HC SERV PRO,DENTIST,GA,2026,,2022,Education,1,75.0,0
1841384468,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,CA,2019,,2022,Food and Beverage,1,75.0,1
1477732659,1128a1,"PHYSICIAN (MD, DO)",EMERGENCY MEDICINE,KS,2026,,2022,Consulting Fee,2,75.0,0
1275596827,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,AZ,2025,,2024,Education,1,74.99,0
1225188766,1128a3,"PHYSICIAN (MD, DO)",PSYCHIATRY,FL,2016,,2022,Food and Beverage,1,74.72,1
1780635250,1128a4,"PHYSICIAN (MD, DO)",PSYCHIATRY,GA,2025,,2022,Food and Beverage,4,74.33,0
1558556480,1128a4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,FL,2026,,2023,Food and Beverage,4,73.78,0
1609955350,BRCH SA,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,TX,2025,,2022,Food and Beverage,3,73.5,0
1942301502,1128b4,IND- LIC HC SERV PRO,DENTIST,CO,2026,,2022,Food and Beverage,2,72.79,0
1003896523,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,NJ,2026,,2022,Food and Beverage,4,72.68,0
1851571640,1128b14,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,TX,2018,,2022,Food and Beverage,5,72.6,1
1164458006,1128a1,IND- LIC HC SERV PRO,PODIATRY,CO,2017,,2024,Food and Beverage,3,72.01,1
1164482709,1128b14,"PHYSICIAN (MD, DO)",ANESTHESIOLOGY,CA,2019,,2023,Food and Beverage,3,71.87,1
1013090877,1128b4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,OR,2024,,2022,Food and Beverage,4,71.79,0
1336107184,1128Aa,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,AL,2016,,2022,Food and Beverage,4,71.61,1
1356427751,1128a3,IND- LIC HC SERV PRO,CHIROPRACTIC,NJ,2012,,2023,Food and Beverage,1,71.43,1
1205206760,1128b4,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,MS,2023,,2023,Food and Beverage,1,71.4,1
1831547868,1128a1,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,FL,2026,,2023,Food and Beverage,4,71.24,0
1962553560,1128a3,"PHYSICIAN (MD, DO)",SURGERY,FL,2023,,2023,Food and Beverage,4,70.63,1
1871531350,1128a4,"PHYSICIAN (MD, DO)",HEMATOLOGY,TX,2020,,2022,Food and Beverage,3,70.33,1
1336246487,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,TX,2018,,2022,Food and Beverage,1,70.14,1
1891920492,1128b4,"PHYSICIAN (MD, DO)",PSYCHIATRY,FL,2022,,2022,Food and Beverage,3,69.9,1
1912938291,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,TN,2015,,2023,Food and Beverage,3,69.63,1
1447286158,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,TX,2023,,2022,Food and Beverage,1,69.42,0
1346251105,1128a4,IND- LIC HC SERV PRO,DENTIST,ID,2018,,2022,Food and Beverage,1,69.39,1
1174506711,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,NY,2017,,2022,Food and Beverage,3,68.83,1
1922059831,1128b6,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,CA,2024,,2022,Food and Beverage,3,68.38,0
1619274743,1128a3,"PHYSICIAN (MD, DO)",NEPHROLOGY,CA,2021,,2024,Food and Beverage,4,68.28,1
1043361546,1128b4,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,CA,2026,,2024,Food and Beverage,3,68.26,0
1871584656,1128a4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,FL,2016,,2022,Food and Beverage,2,68.14,1
1417996117,1128b4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,TN,2025,,2022,Food and Beverage,3,68.05,0
1497863468,1128a4,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,NJ,2026,,2022,Food and Beverage,3,68.04,0
1376723684,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,OH,2025,,2022,Education,4,67.93,0
1699746933,1128a3,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,FL,2015,,2024,Food and Beverage,3,67.45,1
1821047218,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,IL,2026,,2024,Food and Beverage,3,67.01,0
1316029002,1128b4,IND- LIC HC SERV PRO,DENTIST,UT,2024,,2023,Food and Beverage,3,66.92,0
1164450573,1128a2,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,OK,2025,,2024,Debt forgiveness,1,3082225.0,0
1194706754,1128b7,"PHYSICIAN (MD, DO)",NEUROLOGY,SD,2021,,2023,Royalty or License,1,318224.0,1
1063418580,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,FL,2025,,2024,Consulting Fee,382,303604.37,0
1194706754,1128b7,"PHYSICIAN (MD, DO)",NEUROLOGY,SD,2021,,2022,Royalty or License,1,301647.0,1
1063418580,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,FL,2025,,2023,Consulting Fee,343,262710.76,0
1063418580,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,FL,2025,,2022,Consulting Fee,282,200610.8,0
1942208715,1128a1,"PHYSICIAN (MD, DO)",SURGERY,MO,2026,,2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",67,198252.0,0
1942208715,1128a1,"PHYSICIAN (MD, DO)",SURGERY,MO,2026,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",56,140509.5,0
1982679544,1128a1,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,TX,2019,,2024,Debt forgiveness,1,114040.0,1
1063436947,1128b4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,TX,2025,,2022,Consulting Fee,13,113478.55,0
1437169034,1128a1,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,MI,2025,,2024,Consulting Fee,57,86066.6,0
1447395108,1128a1,"PHYSICIAN (MD, DO)",GYN/OBS,IL,2023,,2022,Education,14,53250.0,0
1760425458,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,NY,2023,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",16,48140.0,0
1396085015,1128a1,IND- LIC HC SERV PRO,PODIATRY,TN,2024,,2024,Debt forgiveness,18,45120.0,1
1760425458,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,NY,2023,,2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",13,44625.0,1
1942208715,1128a1,"PHYSICIAN (MD, DO)",SURGERY,MO,2026,,2023,Travel and Lodging,98,37258.91,0
1942208715,1128a1,"PHYSICIAN (MD, DO)",SURGERY,MO,2026,,2023,Consulting Fee,10,37052.0,0
1821147976,1128b1,"PHYSICIAN (MD, DO)",ORTHOPEDICS,CA,2023,,2023,Consulting Fee,3,36625.0,1
1942208715,1128a1,"PHYSICIAN (MD, DO)",SURGERY,MO,2026,,2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",11,32535.5,0
1942301502,1128b4,IND- LIC HC SERV PRO,DENTIST,CO,2026,,2022,Compensation for serving as faculty or as a speaker for a medical education program,4,23000.0,0
1023087293,1128b1,"PHYSICIAN (MD, DO)",EMERGENCY MEDICINE,AZ,2022,,2022,Consulting Fee,11,20933.29,1
1144473208,1128b4,"PHYSICIAN (MD, DO)",SURGERY,PA,2026,,2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",8,17800.0,0
1083680003,1128a3,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,MA,2026,,2024,Long term medical supply or device loan,1,17083.33,0
1740238757,1128a2,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,IL,2025,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",9,16832.0,0
1144473208,1128b4,"PHYSICIAN (MD, DO)",SURGERY,PA,2026,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",11,16525.0,0
1295812329,1128a3,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,CA,2023,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",4,16222.8,0
1942208715,1128a1,"PHYSICIAN (MD, DO)",SURGERY,MO,2026,,2022,Travel and Lodging,58,15690.54,0
1144473208,1128b4,"PHYSICIAN (MD, DO)",SURGERY,PA,2026,,2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",7,13870.0,0
1396067682,1128a3,"PHYSICIAN (MD, DO)",SURGERY,NY,2026,,2024,Consulting Fee,3,13400.0,0
1194956326,1128b7,IND- LIC HC SERV PRO,DENTIST,CA,2023,,2024,Debt forgiveness,2,12866.44,1
1063436947,1128b4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,TX,2025,,2023,Consulting Fee,4,12500.0,0
1093002586,1128b4,"PHYSICIAN (MD, DO)",GYN/OBS,OH,2023,,2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",5,11752.5,1
1447395108,1128a1,"PHYSICIAN (MD, DO)",GYN/OBS,IL,2023,,2022,Travel and Lodging,45,10723.06,0
1235146002,1128a3,"PHYSICIAN (MD, DO)",ONCOLOGY,WV,2026,,2022,Consulting Fee,3,9590.0,0
1841258738,1128a2,"PHYSICIAN (MD, DO)",ENDOCRINOLOGY,AR,2025,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",3,8997.75,0
1942208715,1128a1,"PHYSICIAN (MD, DO)",SURGERY,MO,2026,,2023,Food and Beverage,172,8836.51,0
1396067682,1128a3,"PHYSICIAN (MD, DO)",SURGERY,NY,2026,,2023,Consulting Fee,3,8800.0,0
1568690014,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,FL,2025,,2022,Consulting Fee,6,8384.0,0
1114913431,1128b4,"PHYSICIAN (MD, DO)",GYN/OBS,FL,2024,,2022,Education,2,8000.0,0
1942208715,1128a1,"PHYSICIAN (MD, DO)",SURGERY,MO,2026,,2022,Food and Beverage,173,6671.69,0
1942208715,1128a1,"PHYSICIAN (MD, DO)",SURGERY,MO,2026,,2022,Consulting Fee,2,6175.0,0
1477871382,1128a1,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,OH,2026,,2022,Consulting Fee,5,5187.5,0
1740275676,1128a4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,WV,2026,,2022,Food and Beverage,170,5175.51,0
1790795383,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,TX,2025,,2024,Debt forgiveness,1,4933.59,0
1619069739,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,VA,2025,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",3,4875.0,0
1285673012,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,TX,2015,,2023,Food and Beverage,206,4615.19,1
1629098496,1128a4,"PHYSICIAN (MD, DO)",PSYCHIATRY,MA,2026,,2023,Food and Beverage,184,4568.13,0
1093002586,1128b4,"PHYSICIAN (MD, DO)",GYN/OBS,OH,2023,,2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",2,4500.0,1
1740238757,1128a2,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,IL,2025,,2023,Food and Beverage,210,4357.66,0
1629098496,1128a4,"PHYSICIAN (MD, DO)",PSYCHIATRY,MA,2026,,2022,Food and Beverage,196,4337.15,0
1285673012,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,TX,2015,,2024,Food and Beverage,189,4332.41,1
1740238757,1128a2,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,IL,2025,,2022,Food and Beverage,182,4274.61,0
1447395108,1128a1,"PHYSICIAN (MD, DO)",GYN/OBS,IL,2023,,2022,Food and Beverage,47,4250.33,0
1174548499,1128b3,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,PA,2024,,2022,Food and Beverage,230,4184.1,0
1992988257,1128a1,"PHYSICIAN (MD, DO)",NEPHROLOGY,KY,2026,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",2,4040.0,0
1154321891,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,NY,2024,,2023,Food and Beverage,320,4014.18,0
1952370173,1128a3,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,NY,2026,,2022,Food and Beverage,210,3979.76,0
1285673012,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,TX,2015,,2022,Food and Beverage,211,3877.99,1
1952370173,1128a3,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,NY,2026,,2023,Food and Beverage,208,3695.52,0
1952370173,1128a3,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,NY,2026,,2024,Food and Beverage,217,3691.63,0
1871675769,1128a1,IND- LIC HC SERV PRO,DENTIST,NJ,2019,,2022,Food and Beverage,4,3512.42,1
1629098496,1128a4,"PHYSICIAN (MD, DO)",PSYCHIATRY,MA,2026,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",2,3500.0,0
1154321891,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,NY,2024,,2022,Food and Beverage,254,3370.84,0
1891002424,1128a4,"PHYSICIAN (MD, DO)",PSYCHIATRY,MD,2024,,2022,Consulting Fee,2,3350.0,0
1396843132,1128b4,"PHYSICIAN (MD, DO)",PSYCHIATRY,NC,2024,,2022,Food and Beverage,229,3220.41,0
1861415374,1128a4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,CA,2024,,2022,Food and Beverage,167,3192.29,0
1891876520,1128a3,IND- LIC HC SERV PRO,PODIATRY,CA,2023,,2023,Consulting Fee,1,3150.0,1
1174588891,1128b4,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,CA,2026,,2022,Food and Beverage,154,3045.1,0
1730272709,1128a1,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,NV,2023,,2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",1,3000.0,0
1295053510,1128b4,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,NC,2025,,2023,Food and Beverage,175,2969.84,0
1326046798,1128a1,IND- LIC HC SERV PRO,NURSE PRACTITIONER (,OH,2024,,2022,Food and Beverage,171,2965.16,0
1306877766,1128a4,IND- LIC HC SERV PRO,PHYSICIAN ASSISTANT,TX,2023,,2022,Food and Beverage,103,2960.64,0
1891876520,1128a3,IND- LIC HC SERV PRO,PODIATRY,CA,2023,,2024,Food and Beverage,104,2932.92,1
1861415374,1128a4,"PHYSICIAN (MD, DO)",FAMILY PRACTICE,CA,2024,,2023,Food and Beverage,140,2930.82,0
1538291232,1128a3,"PHYSICIAN (MD, DO)",PAIN MANAGEMENT,CA,2023,,2022,Current or prospective ownership or investment interest,1,2907.75,0
1154321891,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,NY,2024,,2024,Food and Beverage,195,2846.31,1
1891876520,1128a3,IND- LIC HC SERV PRO,PODIATRY,CA,2023,,2023,Food and Beverage,84,2807.39,1
1235146002,1128a3,"PHYSICIAN (MD, DO)",ONCOLOGY,WV,2026,,2022,Travel and Lodging,6,2719.35,0
1427060011,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,CA,2026,,2022,Honoraria,1,2700.0,0
1568690014,1128b4,"PHYSICIAN (MD, DO)",GENERAL PRACTICE,FL,2025,,2023,Consulting Fee,2,2700.0,0
1760425458,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,NY,2023,,2022,Food and Beverage,52,2681.15,0
1083654669,1128a1,"PHYSICIAN (MD, DO)",INTERNAL MEDICINE,VA,2023,,2022,Food and Beverage,147,2552.57,0
1235146002,1128a3,"PHYSICIAN (MD, DO)",ONCOLOGY,WV,2026,,2022,Food and Beverage,111,2549.93,0
1891876520,1128a3,IND- LIC HC SERV PRO,PODIATRY,CA,2023,,2022,Consulting Fee,2,2500.0,0
