model,family,class,n_rows,date_min,date_max,span_years,clock_verdict,time_columns_present,epoch1970,far_future,dup_ratio
economics__fed_usaspending_assistance_full,trade,event,19902879,,,,UNMEASURED_CLOCK,ACTION_DATE|ACTION_DATE_FISCAL_YEAR|PERIOD_OF_PERFORMANCE_START_DATE|PERIOD_OF_PERFORMANCE_CURRENT_END_DATE|INITIAL_REPORT_DATE|LAST_MODIFIED_DATE,0,0,0.0
economics__fed_usaspending_contracts,trade,event,6325622,,,,UNMEASURED_CLOCK,ACTION_DATE|PERIOD_OF_PERFORMANCE_START_DATE|PERIOD_OF_PERFORMANCE_CURRENT_END_DATE|LAST_MODIFIED_DATE,0,0,0.0
economics__fed_usaspending_contracts_full,award,event+noun,20000000,1007-09-14,9999-12-31,8992.1,CORRUPT_RANGE,ACTION_DATE|ACTION_DATE_FISCAL_YEAR|PERIOD_OF_PERFORMANCE_START_DATE|PERIOD_OF_PERFORMANCE_CURRENT_END_DATE|PERIOD_OF_PERFORMANCE_POTENTIAL_END_DATE|ORDERING_PERIOD_END_DATE,20000000,32611,0.0
economics__fed_usaspending_toptier_agencies,organization,noun,111,,,,NO_CLOCK,,0,0,0.0
economics__intl_fao_faostat,aggregate,aggregate,69,,,,UNMEASURED_CLOCK,DATEUPDATE,0,0,0.0
economics__intl_fao_faostat_food_security,product,noun,279470,,,,UNMEASURED_CLOCK,YEAR_CODE|YEAR,0,0,0.0
economics__intl_gfi_trade,trade,event,25,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
economics__intl_gleif,organization,noun,3382301,,,,UNMEASURED_CLOCK,ENTITY.HEADQUARTERSADDRESS.XMLLANG|ENTITY.HEADQUARTERSADDRESS.FIRSTADDRESSLINE|ENTITY.HEADQUARTERSADDRESS.ADDRESSNUMBER|ENTITY.HEADQUARTERSADDRESS.ADDRESSNUMBERWITHINBUILDING|ENTITY.HEADQUARTERSADDRESS.MAILROUTING|ENTITY.HEADQUARTERSADDRESS.ADDITIONALADDRESSLINE.1,0,0,0.0
economics__intl_gleif_relationships,role,link,484142,1900-01-01,2027-10-09,127.8,CLEAN,RELATIONSHIP_PERIOD_1_STARTDATE|RELATIONSHIP_PERIOD_1_ENDDATE|RELATIONSHIP_PERIOD_1_PERIODTYPE|RELATIONSHIP_PERIOD_2_STARTDATE|RELATIONSHIP_PERIOD_2_ENDDATE|RELATIONSHIP_PERIOD_2_PERIODTYPE,9,0,0.0
economics__intl_gleif_repex,organization,noun,6259489,,,,NO_CLOCK,,0,0,0.0
economics__intl_ipc_food_insecurity_global,product,noun,735,,,,UNMEASURED_CLOCK,DATE_OF_ANALYSIS|VALIDITY_PERIOD,0,0,0.0
economics__intl_it_istat,aggregate,aggregate,213284,2020-01-01,2026-06-18 02:38:14.345764,6.5,CLEAN,DATE,0,0,0.0
economics__xc_owid_gini,measurement,event,2389,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
economics__xc_wikipedia_largest_us_companies,organization,noun,100,,,,UNMEASURED_CLOCK,HEADQUARTERS,0,0,0.0
education__fed_cftc_cot_financial,aggregate,aggregate,34683,2013-01-08,2026-08-04,13.6,CLEAN,AS_OF_DATE_IN_FORM_YYMMDD|REPORT_DATE_AS_YYYY_MM_DD,0,0,0.0
education__fed_cftc_cot_futures,instrument,noun,287053,1986-01-15,2026-08-04,40.6,CLEAN,AS_OF_DATE_IN_FORM_YYMMDD|AS_OF_DATE_IN_FORM_YYYY_MM_DD,0,0,0.0
education__fed_cpsc_neiss_codes,code,code,1250,,,,NO_CLOCK,,0,0,0.0
education__fed_ed_college_scorecard_institution,organization,noun,6273,2026-08-08 01:55:46.864147,2026-08-08 01:55:46.864147,0.0,LOAD_DATE_ONLY,GRAD_DEBT_MDN10YR|REPAY_DT_MDN|SEPAR_DT_MDN|REPAY_DT_N|SEPAR_DT_N|DTRANS_4,0,0,0.0
education__fed_ed_nces_cip_codes,code,code,2318,2026-08-07 20:19:08.688446,2026-08-07 20:19:08.688446,0.0,LOAD_DATE_ONLY,,0,0,0.0
education__fed_frb_h15_selected_rates,measurement,event,16848,,,,UNMEASURED_CLOCK,MARKET_YIELD_ON_U_S_TREASURY_SECURITIES_AT_1_MONTH_CONSTANT_MATURITY_QUOTED_ON_INVESTMENT_BASIS|MARKET_YIELD_ON_U_S_TREASURY_SECURITIES_AT_3_MONTH_CONSTANT_MATURITY_QUOTED_ON_INVESTMENT_BASIS|MARKET_YIELD_ON_U_S_TREASURY_SECURITIES_AT_6_MONTH_CONSTANT_MATURITY_QUOTED_ON_INVESTMENT_BASIS|MARKET_YIELD_ON_U_S_TREASURY_SECURITIES_AT_1_YEAR_CONSTANT_MATURITY_QUOTED_ON_INVESTMENT_BASIS|MARKET_YIELD_ON_U_S_TREASURY_SECURITIES_AT_2_YEAR_CONSTANT_MATURITY_QUOTED_ON_INVESTMENT_BASIS|MARKET_YIELD_ON_U_S_TREASURY_SECURITIES_AT_3_YEAR_CONSTANT_MATURITY_QUOTED_ON_INVESTMENT_BASIS,0,0,0.0
education__fed_frb_z1_csv,aggregate,aggregate,304,,,,UNMEASURED_CLOCK,DATE,0,0,0.0
education__fed_google_polads_advertiser_declared_stats,aggregate,aggregate,470,,,,NO_CLOCK,,0,0,0.0
education__fed_google_polads_advertiser_geo_spend,payment,event,614078,,,,NO_CLOCK,,0,0,0.0
education__fed_google_polads_advertiser_id_mapping,crosswalk,link,8044,,,,NO_CLOCK,,0,0,0.0
education__fed_google_polads_advertiser_stats,aggregate,aggregate,21211,,,,NO_CLOCK,,0,0,0.0
education__fed_google_polads_advertiser_weekly_spend,payment,event,298884,2018-05-27,2026-08-02,8.2,CLEAN,ELECTION_CYCLE|WEEK_START_DATE,0,0,0.0
education__fed_google_polads_creative_id_mapping,crosswalk,link,971029,,,,NO_CLOCK,,0,0,0.0
education__fed_google_polads_creative_stats,aggregate,aggregate,1562870,2018-05-31,2026-08-05,8.2,CLEAN,DATE_RANGE_START|DATE_RANGE_END|FIRST_SERVED_TIMESTAMP|LAST_SERVED_TIMESTAMP,0,0,0.0
education__fed_google_polads_geo_spend,payment,event,1289,,,,NO_CLOCK,,0,0,0.0
education__fed_senate_lda_filings,filing,event+noun,174871,2020-01-01,2021-12-31,2.0,CLEAN,FILING_YEAR|FILING_PERIOD|FILING_PERIOD_DISPLAY|DT_POSTED|TERMINATION_DATE,0,0,0.0
energy__fed_eia860_1_utility,organization,noun,6643,2026-08-05 21:37:34.980797,2026-08-05 21:37:34.980797,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia860_2_plant,facility,noun,16132,2026-08-05 21:37:40.609771,2026-08-05 21:37:40.609771,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia860_3_1_generator,facility,noun,26855,2026-08-05 21:37:51.630844,2026-08-05 21:37:51.630844,0.0,LOAD_DATE_ONLY,UPRATE_OR_DERATE_COMPLETED_DURING_YEAR|MONTH_UPRATE_OR_DERATE_COMPLETED|YEAR_UPRATE_OR_DERATE_COMPLETED|OPERATING_MONTH|OPERATING_YEAR|PLANNED_RETIREMENT_MONTH,0,0,0.0
energy__fed_eia860_3_2_wind,facility,noun,1563,2026-08-05 21:37:57.118681,2026-08-05 21:37:57.118681,0.0,LOAD_DATE_ONLY,OPERATING_MONTH|OPERATING_YEAR,0,0,0.0
energy__fed_eia860_3_3_solar,facility,noun,7154,2026-08-05 21:38:02.108955,2026-08-05 21:38:02.108955,0.0,LOAD_DATE_ONLY,OPERATING_MONTH|OPERATING_YEAR,0,0,0.0
energy__fed_eia860_3_4_energy_storage,facility,noun,786,2026-08-05 21:38:09.545184,2026-08-05 21:38:09.545184,0.0,LOAD_DATE_ONLY,OPERATING_MONTH|OPERATING_YEAR,0,0,0.0
energy__fed_eia860_3_5_multifuel,facility,noun,2893,2026-08-05 21:38:18.980503,2026-08-05 21:38:18.980503,0.0,LOAD_DATE_ONLY,OPERATING_MONTH|OPERATING_YEAR|TIME_TO_SWITCH_FROM_GAS_TO_OIL|TIME_TO_SWITCH_FROM_OIL_TO_GAS,0,0,0.0
energy__fed_eia860_4_owner,ownership,link,5495,2026-08-05 21:38:23.118957,2026-08-05 21:38:23.118957,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia860_6_1_enviroassoc,facility,noun,7020,2026-08-05 21:38:27.428575,2026-08-05 21:38:27.428575,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia860_6_2_enviroequip,facility,noun,4428,2026-08-05 21:38:32.380340,2026-08-05 21:38:32.380340,0.0,LOAD_DATE_ONLY,NEW_SOURCE_REVIEW_MONTH|NEW_SOURCE_REVIEW_YEAR|PERIOD_SULFUR|COMPLIANCE_YEAR_SULFUR|PERIOD_NITROGEN|COMPLIANCE_YEAR_NITROGEN,0,0,0.0
energy__fed_eia861_advanced_meters,organization,noun,2725,2026-08-05 21:38:47.522619,2026-08-05 21:38:47.522619,0.0,LOAD_DATE_ONLY,DATA_YEAR,0,0,0.0
energy__fed_eia861_delivery_companies,organization,noun,7,2026-08-05 21:38:54.094606,2026-08-05 21:38:54.094606,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_demand_response,action,event,339,2026-08-05 21:38:58.348766,2026-08-05 21:38:58.348766,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_distribution_systems,program,noun,1353,2026-08-05 21:39:01.966059,2026-08-05 21:39:01.966059,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_dynamic_pricing,measurement,event,857,2026-08-05 21:39:05.805460,2026-08-05 21:39:05.805460,0.0,LOAD_DATE_ONLY,TIME_OF_USE_PRICING|REAL_TIME_PRICING,0,0,0.0
energy__fed_eia861_energy_efficiency,measurement,event,458,2026-08-05 21:39:10.034996,2026-08-05 21:39:10.034996,0.0,LOAD_DATE_ONLY,YEARS,0,0,0.0
energy__fed_eia861_frame,measurement,event,3412,2026-08-05 21:39:15.252749,2026-08-05 21:39:15.252749,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_mergers,change,event,4,2024-01-01,2026-08-05 21:39:20.077590,2.6,CLEAN,,0,0,0.0
energy__fed_eia861_net_metering,measurement,event,1004,2026-08-05 21:39:24.621338,2026-08-05 21:39:24.621338,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_non_net_metering_distributed,organization,noun,507,2026-08-05 21:39:28.599333,2026-08-05 21:39:28.599333,0.0,LOAD_DATE_ONLY,YEAR,0,0,0.0
energy__fed_eia861_operational_data,measurement,event,1711,2026-08-05 21:39:33.079111,2026-08-05 21:39:33.079111,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_reliability,measurement,event,971,2026-08-05 21:39:36.498366,2026-08-05 21:39:36.498366,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_sales_ult_cust,trade,event,2815,2026-08-05 21:39:39.774359,2026-08-05 21:39:39.774359,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_sales_ult_cust_cs,trade,event,674,2026-08-05 21:39:44.016869,2026-08-05 21:39:44.016869,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_service_territory,place,noun,11775,2026-08-05 21:38:37.395426,2026-08-05 21:38:37.395426,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_short_form,filing,event+noun,1724,2026-08-05 21:38:40.445003,2026-08-05 21:38:40.445003,0.0,LOAD_DATE_ONLY,,0,0,0.0
energy__fed_eia861_utility_data,organization,noun,1701,2026-08-05 21:38:44.000854,2026-08-05 21:38:44.000854,0.0,LOAD_DATE_ONLY,DATA_YEAR,0,0,0.0
energy__fed_eia_861_balancing_authority,organization,noun,189,56602308-02-11 18:26:39.000,56602308-02-11 18:26:39.000,,UNMEASURED_CLOCK,DATA_YEAR,0,189,0.0
energy__intl_ember_elec,role,link,369264,2000-01-01,2025-01-01,25.0,CLEAN,DATE,0,0,0.0
environment__epa_penalty_gap,enforcement,event,93808,1903-12-01,2026-06-18,122.5,CLEAN,,0,0,0.0
environment__fed_epa_air_emissions_poll_rpt_combined_emissions,measurement,event,10411826,,,,UNMEASURED_CLOCK,REPORTING_YEAR,0,0,0.0002
environment__fed_epa_aqs_sites,facility,noun,20994,1957-01-01,2026-12-01,69.9,CLEAN,SITE_ESTABLISHED_DATE|SITE_CLOSED_DATE|EXTRACTION_DATE,994,0,0.0
environment__fed_epa_echo,facility,noun,3135554,1016-04-22,2026-06-19,1010.1,CORRUPT_RANGE,FAC_DATE_LAST_INSPECTION|FAC_DATE_LAST_INFORMAL_ACTION|FAC_DATE_LAST_FORMAL_ACTION|FAC_DATE_LAST_PENALTY|FAC_QTRS_WITH_NC|CAA_DATE_LAST_FORMAL_ACTION,0,0,0.0
environment__fed_epa_egrid_plant_2022,facility,noun,11974,,,,UNMEASURED_CLOCK,DATA_YEAR,0,0,0.0
environment__fed_epa_envirofacts,facility,noun,5000,2026-07-02 00:07:49.008704,2026-07-02 00:07:49.008704,0.0,LOAD_DATE_ONLY,CREATED_DATE,0,0,0.0112
environment__fed_epa_frs_facilities,facility,noun,5300149,0001-03-01,2026-07-27 20:03:27.000,2025.4,CORRUPT_RANGE,,0,0,0.0
environment__fed_epa_frs_frs_facilities,facility,noun,3277557,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_frs_frs_naics_codes,code,code,2179702,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_frs_frs_program_links,crosswalk,link,4406498,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_frs_frs_sic_codes,code,code,1085211,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_ghgrp_emission,measurement,event,346683,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
environment__fed_epa_ghgrp_facility,facility,noun,136005,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
environment__fed_epa_icis_air_icis_air_facilities,facility,noun,279728,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_icis_air_icis_air_fces_pces,inspection,event,1779096,,,,UNMEASURED_CLOCK,ACTUAL_END_DATE,0,0,0.0
environment__fed_epa_icis_air_icis_air_formal_actions,action,event,106009,1972-10-25,2026-07-30,53.8,CLEAN,SETTLEMENT_ENTERED_DATE,0,0,0.0
environment__fed_epa_icis_air_icis_air_informal_actions,action,event,175736,0001-01-01,8888-01-01,8886.8,CORRUPT_RANGE,ACHIEVED_DATE,0,5,0.0
environment__fed_epa_icis_air_icis_air_pollutants,code,code,948342,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_icis_air_icis_air_program_subparts,code,code,190980,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_icis_air_icis_air_programs,program,noun,457581,0218-03-02,2028-10-29,1810.6,CORRUPT_RANGE,BEGIN_DATE|UPDATED_DATE,109,0,0.0
environment__fed_epa_icis_air_icis_air_stack_tests,measurement,event,620302,0201-07-24,2026-07-29,1825.0,CORRUPT_RANGE,ACTUAL_END_DATE,1,0,0.0
environment__fed_epa_icis_air_icis_air_titlev_certs,unresolved,link,499113,0015-02-23,2026-07-30,2011.4,CORRUPT_RANGE,ACTUAL_END_DATE,0,0,0.0
environment__fed_epa_icis_air_icis_air_violation_history,change,event,102037,,,,UNMEASURED_CLOCK,EARLIEST_FRV_DETERM_DATE|HPV_DAYZERO_DATE|HPV_RESOLVED_DATE|DSCV_PATHWAY_DATE|NFTC_PATHWAY_DATE,0,0,0.0
environment__fed_epa_npdes_icis_facilities,facility,noun,1213737,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_npdes_npdes_cs_violations,violation,event,82187,0218-04-20,2026-07-31,1808.2,CORRUPT_RANGE,SCHEDULE_DATE|ACTUAL_DATE|RNC_DETECTION_DATE|RNC_RESOLUTION_DATE|REPORT_RECEIVED_DATE,0,0,0.0
environment__fed_epa_npdes_npdes_formal_enforcement_actions,action,event,112373,1970-09-07,2026-07-30,55.9,CLEAN,SETTLEMENT_ENTERED_DATE,1,0,0.0
environment__fed_epa_npdes_npdes_informal_enforcement_actions,action,event,478855,0001-01-01,8202-06-10,8201.3,CORRUPT_RANGE,ACHIEVED_DATE,0,3,0.0
environment__fed_epa_npdes_npdes_inspections,inspection,event,1900067,0005-03-20,2026-07-31,2021.3,CORRUPT_RANGE,ACTUAL_BEGIN_DATE|ACTUAL_END_DATE,178,0,0.0
environment__fed_epa_npdes_npdes_naics,code,code,326473,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_npdes_npdes_ps_violations,violation,event,397615,1974-03-30,2026-07-31,52.3,CLEAN,SCHEDULE_DATE|RNC_DETECTION_DATE|RNC_RESOLUTION_DATE|ACTUAL_DATE|REPORT_RECEIVED_DATE,0,0,0.0
environment__fed_epa_npdes_npdes_qncr_history,change,event,7951656,,,,UNMEASURED_CLOCK,YEARQTR,0,0,0.0
environment__fed_epa_npdes_npdes_se_violations,violation,event,305478,1976-07-01,2026-07-31,50.1,CLEAN,SINGLE_EVENT_VIOLATION_DATE|SINGLE_EVENT_END_DATE|RNC_DETECTION_DATE|RNC_RESOLUTION_DATE,0,0,0.0001
environment__fed_epa_npdes_npdes_sics,code,code,792807,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_rcra_enforcements,enforcement,event,383519,0999-02-04,2026-07-31,1027.5,CORRUPT_RANGE,ENFORCEMENT_ACTION_DATE,0,0,0.0
environment__fed_epa_rcra_evaluations,inspection,event,1166410,0005-05-17,2026-07-31,2021.2,CORRUPT_RANGE,EVALUATION_START_DATE,0,0,0.0
environment__fed_epa_rcra_facilities,facility,noun,1613224,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_rcra_rcra_naics,code,code,434734,,,,NO_CLOCK,,0,0,0.0
environment__fed_epa_rcra_violations,violation,event,708114,0001-01-01,9999-04-26,9998.1,CORRUPT_RANGE,DATE_VIOLATION_DETERMINED|ACTUAL_RTC_DATE|SCHEDULED_COMPLIANCE_DATE,0,78,0.0
environment__fed_epa_rcra_viosnc_history,change,event,2675581,,,,UNMEASURED_CLOCK,YRMONTH,0,0,0.0
environment__fed_epa_sdwa_sdwa_events_milestones,action,event,394075,1991-07-01,2099-06-30,108.0,CORRUPT_RANGE,SUBMISSIONYEARQUARTER|EVENT_END_DATE|EVENT_ACTUAL_DATE|FIRST_REPORTED_DATE|LAST_REPORTED_DATE,0,2,0.0
environment__fed_epa_sdwa_sdwa_facilities,facility,noun,1554832,1900-02-01,2027-10-31,127.7,CLEAN,SUBMISSIONYEARQUARTER|FACILITY_DEACTIVATION_DATE|FIRST_REPORTED_DATE|LAST_REPORTED_DATE,393,0,0.0
environment__fed_epa_sdwa_sdwa_geographic_areas,place,noun,578198,1995-07-22,2026-06-30,30.9,CLEAN,SUBMISSIONYEARQUARTER|LAST_REPORTED_DATE,0,0,0.0
environment__fed_epa_sdwa_sdwa_lcr_samples,measurement,event,927415,1991-07-01,2033-12-31,42.5,CORRUPT_RANGE,SUBMISSIONYEARQUARTER|SAMPLING_END_DATE|SAMPLING_START_DATE|SAMPLE_FIRST_REPORTED_DATE|SAMPLE_LAST_REPORTED_DATE|SAR_FIRST_REPORTED_DATE,0,14,0.0
