SPECIALTY,PAY_BUCKET,N_PRESCRIBERS,MEDIAN_INDUSTRY_DOLLARS,BUCKET_MIN_DOLLARS,BUCKET_MAX_DOLLARS,BRAND_CLAIM_SHARE_PCT,BRAND_COST_SHARE_PCT,MEDIAN_PRESCRIBER_BRAND_SHARE_PCT,AVG_TOTAL_DRUG_COST,MEDIAN_TOTAL_DRUG_COST,MEDIAN_CLAIMS
Psychiatry,D03,1022,124.0,91.0,165.0,4.67,76.58,4.91,182305.0,84155.0,892.0
Psychiatry,D04,884,221.0,166.0,291.0,4.95,77.43,5.34,206001.0,95151.0,992.0
Psychiatry,D05,801,376.0,292.0,498.0,5.38,80.23,5.33,237208.0,115182.0,1102.0
Psychiatry,D06,781,635.0,499.0,829.0,5.45,80.86,5.67,252867.0,130109.0,1191.0
Psychiatry,D07,696,1066.0,830.0,1364.0,6.49,82.68,6.14,308362.0,150709.0,1315.0
Psychiatry,D08,806,1775.0,1366.0,2282.0,6.23,82.12,6.06,341997.0,195665.0,1664.0
Psychiatry,D09,775,3132.0,2286.0,4296.0,6.64,83.73,6.47,398127.0,250431.0,1814.0
Psychiatry,D10,1238,9356.0,4312.0,2892697.0,8.42,86.42,7.71,678079.0,393958.0,2427.0
Student in an Organized Health Care Education/Training Program,00: no payment,10598,0.0,,0.0,18.57,90.38,16.49,40939.0,16896.0,145.0
Student in an Organized Health Care Education/Training Program,D01,600,20.0,1.0,34.0,15.43,88.77,15.08,38611.0,15902.0,146.0
Student in an Organized Health Care Education/Training Program,D02,439,56.0,35.0,91.0,16.75,90.98,14.62,42089.0,17285.0,153.0
Student in an Organized Health Care Education/Training Program,D03,539,125.0,91.0,165.0,16.95,92.01,15.18,53759.0,20587.0,157.0
Student in an Organized Health Care Education/Training Program,D04,399,222.0,165.0,290.0,17.11,92.4,14.94,50160.0,17743.0,143.0
Student in an Organized Health Care Education/Training Program,D05,373,383.0,292.0,498.0,16.51,91.58,14.0,53226.0,15399.0,142.0
Student in an Organized Health Care Education/Training Program,D06,277,634.0,499.0,827.0,17.65,93.62,15.07,70624.0,17718.0,138.0
Student in an Organized Health Care Education/Training Program,D07,214,1013.0,831.0,1363.0,18.57,92.89,16.58,92890.0,25350.0,161.0
Student in an Organized Health Care Education/Training Program,D08,159,1749.0,1367.0,2282.0,20.16,93.27,14.81,78519.0,21845.0,165.0
Student in an Organized Health Care Education/Training Program,D09,106,2979.0,2291.0,4259.0,18.56,91.18,13.72,151857.0,28285.0,158.0
Student in an Organized Health Care Education/Training Program,D10,88,8030.0,4311.0,93895.0,23.78,94.42,15.52,143956.0,35313.0,184.0
Nurse Practitioner,00: no payment,27491,0.0,,0.0,12.01,81.52,10.91,163067.0,47464.0,559.0
Nurse Practitioner,D01,9325,20.0,2.0,34.0,12.32,83.26,11.26,177551.0,61592.0,664.0
Nurse Practitioner,D02,9728,58.0,34.0,91.0,12.78,84.63,11.54,198405.0,71284.0,722.0
Nurse Practitioner,D03,10599,125.0,91.0,165.0,12.82,85.1,11.75,213383.0,83107.0,723.0
Nurse Practitioner,D04,11027,223.0,165.0,292.0,13.33,86.35,12.0,230134.0,89957.0,725.0
Nurse Practitioner,D05,11324,384.0,292.0,498.0,13.78,87.41,12.32,259942.0,111121.0,828.0
Nurse Practitioner,D06,11803,643.0,498.0,829.0,14.19,88.37,12.73,289034.0,134638.0,911.0
Nurse Practitioner,D07,11734,1066.0,829.0,1366.0,14.8,88.78,13.0,333215.0,169453.0,1032.0
Nurse Practitioner,D08,11631,1757.0,1366.0,2285.0,15.06,89.6,13.39,379903.0,222233.0,1217.0
Nurse Practitioner,D09,11338,3042.0,2285.0,4307.0,16.02,90.55,13.78,465937.0,294726.0,1442.0
Nurse Practitioner,D10,8779,6343.0,4307.0,1619737.0,19.19,92.82,14.96,748460.0,434526.0,1441.0
Obstetrics & Gynecology,00: no payment,2175,0.0,,0.0,15.62,67.84,15.41,25220.0,13586.0,148.0
Obstetrics & Gynecology,D01,888,20.0,2.0,34.0,16.11,69.44,15.51,29164.0,14349.0,166.0
Obstetrics & Gynecology,D02,1043,58.0,35.0,91.0,15.25,69.69,15.24,30644.0,14207.0,169.0
Obstetrics & Gynecology,D03,1003,126.0,91.0,165.0,15.73,69.18,15.38,29180.0,14320.0,168.0
Obstetrics & Gynecology,D04,1100,223.0,165.0,292.0,16.06,71.86,15.37,33395.0,14487.0,174.0
Obstetrics & Gynecology,D05,1394,389.0,292.0,498.0,16.35,72.42,15.34,34547.0,15234.0,181.0
Obstetrics & Gynecology,D06,1634,650.0,498.0,829.0,36.7,83.23,15.31,57666.0,16639.0,193.0
Obstetrics & Gynecology,D07,1867,1069.0,829.0,1365.0,16.75,71.18,15.79,35620.0,18624.0,204.0
