S15 Reset test: HCRIS non-acute (subprovider) beds at parent hospitals before vs after each new IRF unit date: 159 rows, 1.2s
STATE | CCN | CD | UNIT_BEDS | PSYCH_BEDS | HCRIS_REPORTS | LAST_FYE | SUB_BEDS_3Y_BEFORE | SUB_BEDS_AFTER_1Y
NC | 34T015 | 2020-10-01 | 10 | 20 | 13 | 2023-12-31 | 29.7 | 30
NC | 34T098 | 2021-01-01 | 29 | 0 | 13 | 2023-12-31 | 29 | 29
NC | 34T155 | 2021-07-01 | 30 | 23 | 13 | 2024-06-30 | 54.3 | 72
NC | 34T047 | 2021-07-01 | 39 | 39 | 13 | 2023-12-31 | 72.3 | 71
NC | 34T147 | 2021-07-01 | 23 | 0 | 14 | 2024-06-30 | 23 | 23
NC | 34T143 | 2021-07-01 | 10 | 38 | 13 | 2024-06-30 | 58 | 58
NC | 34T004 | 2021-07-01 | 16 | 0 | 14 | 2023-12-31 | 16 | 16
NC | 34T113 | 2022-01-01 | 13 | 132 | 13 | 2023-12-31 | 145 | 145
NC | 34T131 | 2022-07-01 | 20 | 0 | 14 | 2024-06-30 | 20 | 20
NC | 34T091 | 2022-10-01 | 49 | 50 | 13 | 2023-09-30 | 99 | None
NC | 34T053 | 2023-01-01 | 10 | 55 | 13 | 2023-12-31 | 65 | None
NE | 28T009 | 2019-07-01 | 12 | 0 | 13 | 2024-06-30 | 31.3 | 12.8
NE | 28TA03 | 2021-07-01 | None | None | 0 | None | None | None
NH | 30T014 | 2023-03-01 | 19 | 10 | 14 | 2024-02-29 | 10 | None
NJ | 31T052 | 2019-10-13 | 40 | 0 | 13 | 2023-12-31 | 0 | 40
NM | 32T005 | 2020-07-01 | 18 | 0 | 13 | 2024-06-30 | 0 | 16
NV | 29T046 | 2021-09-14 | 78 | 0 | 13 | 2023-12-31 | 22 | 56.5
NV | 29TA02 | 2023-09-01 | None | None | 0 | None | None | None
NY | 33T233 | 2021-01-01 | 65 | 115 | 13 | 2023-12-31 | 509 | 637
OH | 36T132 | 2020-01-01 | 12 | 0 | 13 | 2023-12-31 | 13.3 | 12
OH | 36T112 | 2022-03-01 | 20 | 88 | 13 | 2023-12-31 | 0 | 108
OH | 36T095 | 2024-07-01 | 12 | 11 | 13 | 2023-12-31 | 9 | None
OH | 36T068 | 2025-01-20 | 80 | 72 | 13 | 2023-12-31 | 139.5 | None
OK | 37T236 | 2021-07-01 | 3 | 0 | 13 | 2024-06-30 | 0 | 18
PA | 39T079 | 2021-07-01 | 15 | 0 | 13 | 2024-06-30 | 22.7 | 80
PA | 39TA27 | 2021-09-01 | None | None | 0 | None | None | None
PR | 40T012 | 2019-07-01 | 19 | 0 | 13 | 2024-06-30 | 0 | 19
PR | 40T104 | 2022-04-01 | 18 | 0 | 14 | 2024-03-31 | 0 | 18
SC | 42T089 | 2021-01-01 | 10 | 0 | 13 | 2024-01-31 | 0 | 10
SC | 42T049 | 2021-10-01 | 12 | 0 | 13 | 2023-09-30 | 0 | 12
SC | 42T004 | 2023-03-01 | 24 | 105 | 13 | 2024-06-30 | 99 | 144
SC | 42T023 | 2023-04-13 | 19 | 0 | 13 | 2024-08-31 | 49 | 19
SC | 42T078 | 2024-10-01 | 14 | 55 | 13 | 2023-09-30 | 93 | None
SD | 43TA03 | 2024-06-22 | None | None | 0 | None | None | None
TN | 44T006 | 2022-12-01 | 47 | 0 | 13 | 2023-11-30 | 57 | None
TN | 44T046 | 2024-06-01 | 16 | 0 | 13 | 2024-05-31 | 14 | None
TN | 44T231 | 2024-09-05 | 30 | 175 | 12 | 2024-06-30 | 199 | None
TX | 45T044 | 2019-09-01 | 47 | 23 | 13 | 2024-08-31 | 0 | 62.5
TX | 45TA62 | 2020-01-01 | None | None | 0 | None | None | None
TX | 45TA94 | 2020-01-01 | None | None | 0 | None | None | None
TX | 45TA23 | 2020-09-01 | None | None | 0 | None | None | None
TX | 45TA80 | 2020-09-01 | None | None | 0 | None | None | None
TX | 45TB06 | 2020-10-02 | None | None | 0 | None | None | None
TX | 45TA34 | 2021-09-01 | None | None | 0 | None | None | None
TX | 45T801 | 2022-07-01 | 50 | 0 | 13 | 2024-06-30 | 0 | 50
TX | 45TA39 | 2022-09-01 | None | None | 0 | None | None | None
TX | 45TB08 | 2022-09-01 | None | None | 0 | None | None | None
TX | 45TA83 | 2022-09-01 | None | None | 0 | None | None | None
TX | 45T711 | 2022-10-01 | 15 | 0 | 13 | 2023-09-30 | 0 | None
TX | 45T702 | 2023-10-01 | 11 | 0 | 13 | 2023-09-30 | 0 | None
TX | 45T634 | 2024-06-01 | 15 | 20 | 13 | 2023-12-31 | 0 | None
TX | 45T042 | 2024-07-01 | 15 | 0 | 13 | 2024-06-30 | 48 | None
TX | 45T029 | 2024-10-01 | 14 | 0 | 13 | 2023-09-30 | 18 | None
TX | 67T347 | 2024-12-01 | 10 | 0 | 0 | None | None | None
TX | 45TA38 | 2025-01-01 | None | None | 0 | None | None | None
TX | 45TA60 | 2025-01-01 | None | None | 0 | None | None | None
UT | 46T051 | 2019-07-01 | 10 | 26 | 14 | 2024-06-30 | 36 | 35.6
UT | 46T010 | 2020-01-01 | 24 | 0 | 13 | 2023-12-31 | 24 | 24
UT | 46T004 | 2020-01-01 | 20 | 0 | 13 | 2023-12-31 | 63 | 71
UT | 46TA05 | 2024-03-01 | None | None | 0 | None | None | None
UT | 46T009 | 2025-07-01 | 68 | 0 | 13 | 2024-06-30 | 214.5 | None
VA | 49T063 | 2020-01-01 | 25 | 81 | 13 | 2023-12-31 | 59.3 | 101.7
VA | 49T114 | 2021-02-28 | 11 | 0 | 13 | 2024-06-30 | 43.7 | 52.7
WA | 50T016 | 2023-07-01 | 9 | 0 | 13 | 2023-12-31 | 0 | None
WI | 52TA05 | 2023-01-01 | None | None | 0 | None | None | None
WI | 52TA08 | 2025-01-14 | None | None | 0 | None | None | None
WI | 52T160 | 2025-10-01 | 10 | 0 | 13 | 2023-12-31 | 0 | None
WV | 51T012 | 2022-10-01 | 6 | 0 | 13 | 2023-09-30 | 33.3 | None
WV | 51T001 | 2025-06-05 | 10 | 47 | 13 | 2023-12-31 | 47 | None
