EIN	ORG_NAME	IN_CARE_OF	STREET	CITY	STATE	SUBSECTION_CODE	NTEE_CODE	RULING_DATE	REVENUE_AMT	ASSET_AMT	TAX_PERIOD_YYYYMM	PUB78
366134284	COLETA SPORTSMENS CLUB INC	% GARY MAGILL	21038 PILGRIM RD	CHADWICK	IL	07		1965-11-01	41960	157795	202512	
934588371	E7 UNITED	% ALFRED QUAYE	5622 W BAVARIAN PASS	FRIDLEY	MN	03	O50	2023-12-01	21365	1	202412	PC
273461225	VETERANS IN DEFENSE OF LIBERTY	% WILLIAM SCOTT MAGILL	4730 S NATIONAL C-6	SPRINGFIELD	MO	04	R60	2013-02-01	16814	54615	202412	
472853740	COLUMBUS MOTHERS OF TWINS INC	% SARAH MAGILL	6894 RIEBER ST	WORTHINGTON	OH	04	R99	2024-06-01	13079	23700	202506	
474829710	TOPS CLUB INC	% BEULAH GRAGERT	17885 NEW LONDON RD	MONUMENT	CO	03	E70	2008-09-01	0	0	202503	
650952902	FELINE RESCUE INC	% GINA STEFANIDES	1570 SE 4TH ST	DEERFIELD BCH	FL	03	D200	2000-09-01	0	0	202512	PC
581468835	SONS OF CONFEDERATE VETERANS INC	% RICHARD L LEAGUE	11420 SCOTTSBURY TER	GERMANTOWN	MD	03		2007-08-01	0	0	202507	
883988857	BACK TO WORSHIP	% ISAAC QUAYE	5834 ELDON DR	LIBERTY TWP	OH	03	O50	2022-10-01	0	0	202512	PC
923872930	NEW FREEDOM FARMS	% LOIS DAWN MAGILL	5410 TIMBERLAND TRL	ROANOKE	VA	03	W30	2023-05-01	0	0	202306	PC
825148693	QUAYE AT WELLINGTON INC	% QUAYE AT WELLINGTON INC	4 EMBARCADERO CTR STE 3300	SAN FRANCISCO	CA	25	Y11	2019-04-01	0	0	202512	
881502271	STERLING BRIDGEPORT CHARITABLE TRUST	% FRANK PULCIANI	4600 KINGFISH LN UNIT 601	P C BEACH	FL	03	A99	2022-04-01	0	0	202512	PC
391699333	RHINELANDER BASKETBALL ASSOCIATION INC	% BART LAMERS	PO BOX 521	RHINELANDER	WI	03	Z99Z	1993-06-01	0	0	202509	PC
391837704	PORT EDWARDS EDUCATIONAL FOUNDATION INC	% PATRICK J MCGRAIN	PO BOX 99	PORT EDWARDS	WI	03	B80	1996-07-01	0	0	202412	PC
842877535	IDEA ADVOCATES	% PATRICK MAGILL	8570 LOTT RD	MARENGO	OH	03	X20	2020-02-01	0	0	202412	PC
383850226	WASCO COUNTY SHERIFFS MOUNTED POSSE	% LANE MAGILL	511 WASHINGTON ST STE 102	THE DALLES	OR	03	I60	2012-11-01	0	0	202507	PC
237146823	PENNSYLVANIA ORDER OF THE EASTERN STAR INC	% SHERRI A MAGILL	516 N 2ND ST	SHAMOKIN	PA	03		1994-08-01	0	0	202505	
453786526	TENNESSEE FRATERNAL ALLIANCE AND TENNESSEE JR FRATERNAL ALLIANCE	% HOWARD MAGILL	815 LORI LN	MT JULIET	TN	03	Y40	2015-02-01	0	0	202512	PC
833352563	THIS HAPPY BREED	% DANIEL MAGILL	8741 ABERDEEN DR	LEAWOOD	KS	03	A65	2020-07-01	0	0	202412	PC
731562342	OKLAHOMA CITY SPRINTERS	% SAMUEL B BORQUAYE	PO BOX 30252	MIDWEST CITY	OK	03	N60	2017-09-01	0	0	202512	PC
464050885	PSYCHIATRIC RESEARCH SOCIETY INC	% JULIE MAGILL	5034 THOROUGHBRED LN	BRENTWOOD	TN	03	Z99	2014-06-01	0	0	202512	PC
466116758	OPTIMIST INTERNATIONAL	% CHARLES MAGILL	3130 WYANDOTTE CIR	KANSAS CITY	KS	04		1958-07-01	0	0	202509	
237630819	WOODMEN OF THE WORLD LIFE INSURANCE SOCIETY	% CAROLYN L MAGILL	815 LORI LN	MT JULIET	TN	08		1941-12-01	0	0	202512	
204662790	NEW GENERATION IN ACTION INC	% KOFI QUAYE	115 HUGHES PL N	SYRACUSE	NY	03	A20	2006-06-01	0	0	202412	PC
510596011	IRONWORKERS EMPLOYERS ASSOCIATION OF WESTERN MASSACHUSETTS	% JACQUELYN MAGILL	126 E MAIN ST	MERRIMAC	MA	06	S41	2017-09-01	0	0	202512	
236390896	MILITARY ORDER OF THE WORLD WARS INC	% MAJ WILLIAM MAGILL	1528 BRIAN DR	WEST CHESTER	PA	19		1955-04-01	0	0	202506	
811506045	LITTLE LEAGUE BASEBALL INC	% M KATIE MAGILL	189 HILL ST	POMEROY	WA	03		1967-01-01	0	0	202409	
311754457	THE OHIO STATE UNIVERSITY	% KATHY MCGRAIN	7868 CR 140	FINDLAY	OH	03	O52	2013-05-01	0	0	202512	
471803230	CLERMONT POLICE OFFICERS UNION	% JEREMY KEVITT	3600 S US HIGHWAY 27	CLERMONT	FL	04	I60	2024-10-01	0	0	202412	
994638189	RUNNING WITH GRACE INC	% PATRECIA DANILEY-PORTER	6412 POMEROY CIR	ORLANDO	FL	03	O99	2024-11-01	0	0	202512	PC
461794160	EFFECTS OF GRACE MINISTRIES INC	% HAROLD RODNEY SKYLES	PO BOX 131539	TYLER	TX	03	X20	2013-07-01	0	0	202512	PC
883089897	INTERNATIONAL CLUB OF CARMEL	% JOHN MAGILL	PO BOX 538	PACIFIC GROVE	CA	07	N50	2022-07-01	0	0	202512	
352536476	UNITY SPIRITUAL CENTER OF SOUTHERN IDAHO	% KATHLEEN C MCKEVITT	416 ADAMS ST	TWIN FALLS	ID	03		1970-02-01				
061500376	LIBERTY HOUSE CHURCH	% SAMUEL QUAYE PASTOR	647 TOLLAND TPKE	MANCHESTER	CT	03	X21	2001-02-01				PC
454976550	THE WORD EXPLOSION MINISTRIES INC	% WILLIAM NEEQUAYE	11656 148TH ST	JAMAICA	NY	03	X21	2013-02-01				PC
455217506	REDEEMERS TEMPLE CHURCH OF GOD	% HENRY ACQUAYE	80 GRAND AVE	HACKENSACK	NJ	03		1972-10-01				
300219424	FAUQUIER HEALTH FOUNDATION	% LORNA MAGILL	321 WALKER DR STE 301	WARRENTON	VA	03	E11	2004-02-01		302094553	202509	PF
392011042	CHRIST CHILD SOCIETY-FOND DU LAC CHAPTER	% MARY ANN LAMERS	485 S MILITARY RD	FOND DU LAC	WI	03		1946-03-01				
421819203	CATALYST FOUNDATION NFP	% EMMANUEL MENSAH-ACQUAYE	1517 NATIVE DIVER LN	INDIAN TRAIL	NC	03	X20	2026-04-01				PC
223733610	SALEM OLD HOUSE FOUNDATION	% RONALD E MAGILL	CO PGA 3000 MARCUS AVE 3E6	LAKE SUCCESS	NY	03	S200	2001-01-01		238426	202512	POF
332940551	GHANAIAN ASSOCIATION OF GREATER SAINT LOUIS	% DANIEL ACQUAYE	48 CRESCENT HILLS DR	SAINT PETERS	MO	03	X11	2025-01-01				PC
201186356	THE CHURCH OF PENTECOST USA INC	% SAMUEL EBOW QUAYE	3772 CASTLE ROCK DR	ZIONSVILLE	IN	03		1998-07-01				
834469182	VIDOL FOUNDATION	% SCOTT MAGILL	4370 S NATIONAL SUITE C-6	SPRINGFIELD	MO	03		2024-01-01		393	202412	PF
931565366	WILLIAM STEPHEN TELLAM FOUNDATION	% WARREN MAGILL	11072 CAMINITO VISTA PACIFICA	SAN DIEGO	CA	03	T20	2024-01-01		256448	202512	PF
