EIN	ORG	IN19	V	AMT_M	FIRST_D	LAST_D	PAY_ROWS
821820836	Young Conservatives of America	N	PROSPEAKING	0.026	2020-08-19	2021-11-12	206
843288627	Cancer Recovery Action Network	N	RESIDENTIALPROGRAMS	0.065	2020-02-29	2021-12-24	304
852675458	MICHIGAN FOP POLITICAL FUND	N	RESIDENTIALPROGRAMS	0.038	2021-10-31	2024-06-26	66
854065970	POLICE ASSOCIATION OF NY POLITICAL FUND	N	RESIDENTIALPROGRAMS	0.037	2022-08-31	2023-08-31	34
862042355	SOUTH CAROLINA FOP POLITICAL FUND	N	RESIDENTIALPROGRAMS	0.011	2021-10-31	2023-03-31	36
832868668	Louisiana Fraternal Order of Police Political Fund	N	RESIDENTIALPROGRAMS	0.004	2021-02-28	2023-12-31	13
821820836	Young Conservatives of America	N	RESIDENTIALPROGRAMS	0.001	2021-02-04	2021-02-04	7
834686848	American Breast Cancer Coalition	Y	ACTIONCOMMITTEEMARKETING	1.674	2020-01-31	2025-12-31	66
843763411	National Committee For Volunteer Firefighters	Y	ACTIONCOMMITTEEMARKETING	0.428	2020-12-30	2025-12-31	59
923489713	United Health PAC	Y	ACTIONCOMMITTEEMARKETING	0.027	2025-01-31	2025-12-31	12
921706849	POSC PAC	Y	ADVANCEDCREATIVEMEDIA	0.666	2024-05-31	2024-12-21	7
923489519	VF2024 PAC	Y	ADVANCEDCREATIVEMEDIA	0.181	2024-05-31	2025-12-31	13
843763242	National Cancer Alliance	Y	ADVANCEDCREATIVEMEDIA	0.162	2024-05-31	2025-12-31	13
843763411	National Committee For Volunteer Firefighters	Y	ADVANCEDCREATIVEMEDIA	0.129	2024-05-31	2024-12-21	7
834686848	American Breast Cancer Coalition	Y	ADVANCEDCREATIVEMEDIA	0.106	2024-05-31	2024-12-21	7
853307234	National Coalition for Disabled Veterans PAC	Y	ADVANCEDCREATIVEMEDIA	0.082	2024-05-31	2024-12-21	7
922354897	American Coalition for Police & Sheriff's PAC	Y	ADVANCEDCREATIVEMEDIA	0.07	2024-05-31	2025-12-31	13
923489713	United Health PAC	Y	ADVANCEDCREATIVEMEDIA	0.052	2024-12-21	2025-12-31	7
922452599	AVSC 2023 PAC	Y	ADVANCEDCREATIVEMEDIA	0.047	2024-05-31	2025-12-31	13
273594732	Veterans In Defense Of Liberty Action Committee	Y	AMERICANLIBERTYGROUP	5.65	2017-01-05	2023-05-11	322
472041040	Veterans Action Network	Y	AMERICANLIBERTYGROUP	5.499	2014-11-14	2019-12-26	376
834686848	American Breast Cancer Coalition	Y	AMERICANLIBERTYGROUP	0.009	2023-02-28	2023-06-30	5
843153271	Committee for Police Officers Defense	Y	AMERICANMARKETINGSERVICES	1.133	2023-10-31	2024-10-22	54
861386683	UNITED FIREFIGHTERS SUPPORT COMMITTEE	Y	AMERICANMARKETINGSERVICES	0.135	2023-10-31	2025-03-31	16
843763606	American Alliance for Military Veterans	Y	AMERICANMARKETINGSERVICES	0.081	2023-10-31	2024-10-31	13
822366231	Firefighters Support Fund	Y	AMERICANMARKETINGSERVICES	0.03	2024-07-26	2024-10-17	196
815214552	National Police Support Fund, Inc	Y	AMERICANMARKETINGSERVICES	0.017	2024-08-15	2024-10-17	136
843763411	National Committee For Volunteer Firefighters	Y	BFTELECOM	2.873	2023-01-31	2026-06-30	47
843763242	National Cancer Alliance	Y	BFTELECOM	2.369	2023-01-31	2026-06-30	44
921706849	POSC PAC	Y	BFTELECOM	2.329	2024-01-31	2026-06-30	38
853307234	National Coalition for Disabled Veterans PAC	Y	BFTELECOM	1.761	2023-01-31	2026-06-30	50
922354897	American Coalition for Police & Sheriff's PAC	Y	BFTELECOM	1.543	2023-04-30	2026-06-30	44
922452599	AVSC 2023 PAC	Y	BFTELECOM	1.182	2023-08-31	2026-06-30	46
834686848	American Breast Cancer Coalition	Y	BFTELECOM	1.142	2023-01-31	2025-12-31	31
923489519	VF2024 PAC	Y	BFTELECOM	0.983	2024-01-31	2026-06-30	35
923489713	United Health PAC	Y	BFTELECOM	0.72	2024-12-21	2026-06-30	27
821194581	American Police Officers Alliance	Y	CAMPAIGNCALLING	4.999	2020-12-01	2022-06-03	2027
822366231	Firefighters Support Fund	Y	CAMPAIGNCALLING	1.891	2020-12-11	2022-06-03	4004
822315009	American Veterans Honor Fund, Inc.	Y	CAMPAIGNCALLING	1.293	2020-12-11	2022-06-03	1983
843153271	Committee for Police Officers Defense	Y	CAMPAIGNCALLING	0.972	2021-02-08	2022-06-03	541
854325630	National Police & Sheriffs Coalition PAC	Y	CAMPAIGNCALLING	0.691	2021-07-31	2021-12-31	6
843763411	National Committee For Volunteer Firefighters	Y	CAMPAIGNCALLING	0.466	2021-03-30	2022-03-31	13
853307234	National Coalition for Disabled Veterans PAC	Y	CAMPAIGNCALLING	0.426	2021-03-31	2022-03-31	13
843763606	American Alliance for Military Veterans	Y	CAMPAIGNCALLING	0.391	2021-05-31	2022-05-31	13
815214552	National Police Support Fund, Inc	Y	CAMPAIGNCALLING	0.211	2021-11-12	2022-06-03	685
861386683	UNITED FIREFIGHTERS SUPPORT COMMITTEE	Y	CAMPAIGNCALLING	0.198	2021-08-31	2022-05-31	10
834686848	American Breast Cancer Coalition	Y	CAMPAIGNMARKETING	0.529	2020-02-10	2023-06-26	124
843763411	National Committee For Volunteer Firefighters	Y	CAMPAIGNMARKETING	0.33	2020-06-05	2023-06-26	96
854325630	National Police & Sheriffs Coalition PAC	Y	CAMPAIGNMARKETING	0.215	2021-07-13	2023-02-15	48
853307234	National Coalition for Disabled Veterans PAC	Y	CAMPAIGNMARKETING	0.194	2021-02-10	2023-06-26	68
843763242	National Cancer Alliance	Y	CAMPAIGNMARKETING	0.136	2020-07-16	2023-06-26	55
834686848	American Breast Cancer Coalition	Y	CAPITALVENDORMANAGEMENT	1.074	2020-05-31	2023-06-30	32
843763411	National Committee For Volunteer Firefighters	Y	CAPITALVENDORMANAGEMENT	0.8	2020-06-30	2023-05-31	30
843763242	National Cancer Alliance	Y	CAPITALVENDORMANAGEMENT	0.534	2020-08-31	2023-06-30	30
853307234	National Coalition for Disabled Veterans PAC	Y	CAPITALVENDORMANAGEMENT	0.402	2021-01-31	2023-06-30	24
854325630	National Police & Sheriffs Coalition PAC	Y	CAPITALVENDORMANAGEMENT	0.238	2021-07-31	2023-02-05	17
822366231	Firefighters Support Fund	Y	EMERGENTMARKETING	1.122	2019-08-08	2020-03-03	710
821194581	American Police Officers Alliance	Y	EMERGENTMARKETING	0.761	2019-08-08	2020-02-28	369
815214552	National Police Support Fund, Inc	Y	EMERGENTMARKETING	0.518	2019-08-08	2020-01-14	404
822315009	American Veterans Honor Fund, Inc.	Y	EMERGENTMARKETING	0.227	2019-10-09	2020-02-28	282
821194581	American Police Officers Alliance	Y	GCI	0.52	2018-10-25	2024-11-22	3665
822366231	Firefighters Support Fund	Y	GCI	0.335	2018-11-23	2024-07-26	3831
815214552	National Police Support Fund, Inc	Y	GCI	0.302	2019-04-04	2024-10-17	3441
822315009	American Veterans Honor Fund, Inc.	Y	GCI	0.166	2019-03-19	2024-11-22	3146
843153271	Committee for Police Officers Defense	Y	GCI	0.083	2021-04-19	2024-05-10	421
815214552	National Police Support Fund, Inc	Y	GRASSROOTSFUNDGROUP	1.001	2017-07-06	2021-10-28	2877
821194581	American Police Officers Alliance	Y	GRASSROOTSFUNDGROUP	0.967	2018-01-05	2021-10-29	3053
822366231	Firefighters Support Fund	Y	GRASSROOTSFUNDGROUP	0.818	2017-12-29	2021-10-29	3988
822315009	American Veterans Honor Fund, Inc.	Y	GRASSROOTSFUNDGROUP	0.334	2018-01-12	2021-10-29	1967
843153271	Committee for Police Officers Defense	Y	GRASSROOTSFUNDGROUP	0.243	2019-11-12	2021-10-27	1576
834686848	American Breast Cancer Coalition	Y	GSI	1.606	2019-12-31	2025-12-31	65
843763242	National Cancer Alliance	Y	GSI	0.828	2020-04-30	2026-06-30	74
843763411	National Committee For Volunteer Firefighters	Y	GSI	0.425	2020-04-30	2026-06-30	74
853307234	National Coalition for Disabled Veterans PAC	Y	GSI	0.399	2021-01-31	2026-06-30	62
843763606	American Alliance for Military Veterans	Y	GSI	0.368	2020-05-31	2024-12-31	58
922354897	American Coalition for Police & Sheriff's PAC	Y	GSI	0.242	2023-08-31	2026-06-30	34
854325630	National Police & Sheriffs Coalition PAC	Y	GSI	0.22	2021-07-31	2023-02-05	20
922452599	AVSC 2023 PAC	Y	GSI	0.19	2023-11-30	2026-06-30	31
861386683	UNITED FIREFIGHTERS SUPPORT COMMITTEE	Y	GSI	0.188	2021-04-30	2025-03-31	47
923489519	VF2024 PAC	Y	GSI	0.183	2023-09-30	2026-06-30	32
923489713	United Health PAC	Y	GSI	0.083	2024-12-21	2026-06-30	19
921706849	POSC PAC	Y	GSI	0.082	2024-01-31	2026-06-30	29
821194581	American Police Officers Alliance	Y	NORTHAMERICANFULFILLMENT	2.833	2018-09-07	2026-06-24	891
815214552	National Police Support Fund, Inc	Y	NORTHAMERICANFULFILLMENT	2.792	2018-09-06	2026-06-24	749
843153271	Committee for Police Officers Defense	Y	NORTHAMERICANFULFILLMENT	1.204	2021-03-04	2026-06-24	357
822315009	American Veterans Honor Fund, Inc.	Y	NORTHAMERICANFULFILLMENT	0.791	2018-09-07	2026-06-24	878
822366231	Firefighters Support Fund	Y	NORTHAMERICANFULFILLMENT	0.065	2019-01-03	2020-10-14	49
822366231	Firefighters Support Fund	Y	NORTHAMERICANFULFILMENT	1.392	2018-09-07	2026-06-24	1026
822366231	Firefighters Support Fund	Y	ONEVOICESOLUTIONS	3.101	2024-06-21	2026-06-24	3721
815214552	National Police Support Fund, Inc	Y	ONEVOICESOLUTIONS	1.904	2024-06-24	2026-06-24	1887
821194581	American Police Officers Alliance	Y	ONEVOICESOLUTIONS	1.68	2024-06-21	2026-06-24	1863
843153271	Committee for Police Officers Defense	Y	ONEVOICESOLUTIONS	1.153	2024-06-17	2026-06-24	124
822315009	American Veterans Honor Fund, Inc.	Y	ONEVOICESOLUTIONS	0.292	2024-06-24	2026-06-24	1297
821194581	American Police Officers Alliance	Y	OPTICALMARKETING	1.069	2022-06-06	2023-03-10	985
822366231	Firefighters Support Fund	Y	OPTICALMARKETING	0.833	2022-06-06	2023-03-10	1707
854325630	National Police & Sheriffs Coalition PAC	Y	OPTICALMARKETING	0.671	2022-10-31	2023-02-05	5
822315009	American Veterans Honor Fund, Inc.	Y	OPTICALMARKETING	0.435	2022-06-09	2023-03-10	926
853307234	National Coalition for Disabled Veterans PAC	Y	OPTICALMARKETING	0.299	2022-10-31	2023-04-30	7
843763606	American Alliance for Military Veterans	Y	OPTICALMARKETING	0.286	2022-05-31	2023-03-31	12
861386683	UNITED FIREFIGHTERS SUPPORT COMMITTEE	Y	OPTICALMARKETING	0.233	2022-05-31	2023-03-31	12
815214552	National Police Support Fund, Inc	Y	OPTICALMARKETING	0.169	2022-06-09	2023-06-07	809
843153271	Committee for Police Officers Defense	Y	OPTICALMARKETING	0.099	2022-06-06	2023-03-10	57
843763411	National Committee For Volunteer Firefighters	Y	OPTICALMARKETING	0.028	2022-10-31	2023-03-31	6
821194581	American Police Officers Alliance	Y	POLITICALFUNDRAISINGGROUP	3.285	2020-04-03	2020-11-27	626
822366231	Firefighters Support Fund	Y	POLITICALMARKETINGSERVICES	1.869	2019-07-12	2020-12-29	1310
821194581	American Police Officers Alliance	Y	POLITICALMARKETINGSERVICES	0.677	2019-07-10	2020-01-17	64
822315009	American Veterans Honor Fund, Inc.	Y	POLITICALMARKETINGSERVICES	0.413	2019-11-04	2020-12-28	516
821194581	American Police Officers Alliance	Y	POLITICALRESPONSE	1.808	2023-03-16	2025-03-21	2193
822366231	Firefighters Support Fund	Y	POLITICALRESPONSE	0.717	2023-03-07	2025-03-21	3297
922354897	American Coalition for Police & Sheriff's PAC	Y	POLITICALRESPONSE	0.578	2023-03-31	2025-03-31	24
822315009	American Veterans Honor Fund, Inc.	Y	POLITICALRESPONSE	0.571	2023-03-16	2025-03-27	2030
843763411	National Committee For Volunteer Firefighters	Y	POLITICALRESPONSE	0.539	2023-04-30	2025-03-31	23
861386683	UNITED FIREFIGHTERS SUPPORT COMMITTEE	Y	POLITICALRESPONSE	0.469	2023-04-30	2025-03-31	22
843763606	American Alliance for Military Veterans	Y	POLITICALRESPONSE	0.427	2023-03-31	2024-12-31	22
843153271	Committee for Police Officers Defense	Y	POLITICALRESPONSE	0.421	2023-03-09	2025-03-21	134
815214552	National Police Support Fund, Inc	Y	POLITICALRESPONSE	0.29	2023-03-16	2025-02-28	1326
853307234	National Coalition for Disabled Veterans PAC	Y	POLITICALRESPONSE	0.215	2023-05-31	2025-03-31	22
853307234	National Coalition for Disabled Veterans PAC	Y	PROSPEAKING	1.069	2022-05-31	2026-06-30	49
815214552	National Police Support Fund, Inc	Y	PROSPEAKING	0.715	2021-02-16	2024-06-14	3886
843763411	National Committee For Volunteer Firefighters	Y	PROSPEAKING	0.631	2023-04-30	2026-06-30	38
922452599	AVSC 2023 PAC	Y	PROSPEAKING	0.428	2024-01-31	2026-06-30	29
822366231	Firefighters Support Fund	Y	PROSPEAKING	0.408	2021-02-16	2024-03-29	3729
921706849	POSC PAC	Y	PROSPEAKING	0.351	2024-01-31	2026-06-30	29
861386683	UNITED FIREFIGHTERS SUPPORT COMMITTEE	Y	PROSPEAKING	0.273	2022-06-30	2025-03-31	33
922354897	American Coalition for Police & Sheriff's PAC	Y	PROSPEAKING	0.211	2023-10-31	2026-06-30	32
923489713	United Health PAC	Y	PROSPEAKING	0.192	2025-03-31	2026-06-30	16
822315009	American Veterans Honor Fund, Inc.	Y	PROSPEAKING	0.175	2022-03-10	2023-12-29	1880
923489519	VF2024 PAC	Y	PROSPEAKING	0.151	2023-10-31	2026-06-30	24
834686848	American Breast Cancer Coalition	Y	PUBLICSUPPORTSERVICES	1.057	2020-12-30	2023-12-31	37
843763411	National Committee For Volunteer Firefighters	Y	PUBLICSUPPORTSERVICES	0.474	2020-12-30	2023-12-31	37
853307234	National Coalition for Disabled Veterans PAC	Y	PUBLICSUPPORTSERVICES	0.397	2021-01-31	2023-12-31	36
861386683	UNITED FIREFIGHTERS SUPPORT COMMITTEE	Y	PUBLICSUPPORTSERVICES	0.378	2021-05-31	2023-12-31	33
843763606	American Alliance for Military Veterans	Y	PUBLICSUPPORTSERVICES	0.31	2020-12-31	2023-12-31	38
923489519	VF2024 PAC	Y	PUBLICSUPPORTSERVICES	0.285	2023-07-31	2023-12-31	6
922452599	AVSC 2023 PAC	Y	PUBLICSUPPORTSERVICES	0.191	2023-07-31	2023-12-31	6
854325630	National Police & Sheriffs Coalition PAC	Y	PUBLICSUPPORTSERVICES	0.137	2021-07-31	2023-02-05	20
843763242	National Cancer Alliance	Y	PUBLICSUPPORTSERVICES	0.123	2020-12-30	2023-12-31	37
922354897	American Coalition for Police & Sheriff's PAC	Y	PUBLICSUPPORTSERVICES	0.089	2023-05-31	2023-12-31	7
815214552	National Police Support Fund, Inc	Y	RESIDENTIALPROGRAMS	12.309	2017-07-06	2024-06-14	6911
843153271	Committee for Police Officers Defense	Y	RESIDENTIALPROGRAMS	6.568	2019-11-12	2026-06-24	1919
822366231	Firefighters Support Fund	Y	RESIDENTIALPROGRAMS	6.229	2017-12-29	2024-06-14	9780
821194581	American Police Officers Alliance	Y	RESIDENTIALPROGRAMS	4.966	2018-01-05	2024-06-14	6278
822315009	American Veterans Honor Fund, Inc.	Y	RESIDENTIALPROGRAMS	2.011	2018-01-12	2024-06-14	4163
822366231	Firefighters Support Fund	Y	SIMPLEDATA	3.833	2020-03-06	2026-06-25	10084
821194581	American Police Officers Alliance	Y	SIMPLEDATA	2.797	2020-03-06	2026-06-24	5668
815214552	National Police Support Fund, Inc	Y	SIMPLEDATA	1.418	2020-03-20	2026-06-24	4795
822315009	American Veterans Honor Fund, Inc.	Y	SIMPLEDATA	1.029	2020-03-06	2026-06-24	4618
843153271	Committee for Police Officers Defense	Y	SIMPLEDATA	0.021	2022-04-01	2022-11-28	27
821194581	American Police Officers Alliance	Y	THEFUNDRAISINGGROUP	0.698	2018-03-23	2021-02-19	1137
815214552	National Police Support Fund, Inc	Y	THEFUNDRAISINGGROUP	0.537	2017-10-04	2021-02-04	1176
822366231	Firefighters Support Fund	Y	THEFUNDRAISINGGROUP	0.351	2018-01-26	2021-02-19	1027
822315009	American Veterans Honor Fund, Inc.	Y	THEFUNDRAISINGGROUP	0.019	2018-01-12	2020-12-02	321
843153271	Committee for Police Officers Defense	Y	THEFUNDRAISINGGROUP	0.001	2020-03-16	2020-03-23	12
843153271	Committee for Police Officers Defense	Y	UNIQTECHNOLOGIES	0.758	2024-10-24	2026-06-24	64
843763411	National Committee For Volunteer Firefighters	Y	UNIQTECHNOLOGIES	0.228	2024-11-25	2026-06-30	20
822366231	Firefighters Support Fund	Y	UNIQTECHNOLOGIES	0.178	2024-10-24	2026-06-24	1276
922452599	AVSC 2023 PAC	Y	UNIQTECHNOLOGIES	0.16	2024-12-21	2026-06-30	19
853307234	National Coalition for Disabled Veterans PAC	Y	UNIQTECHNOLOGIES	0.154	2024-12-21	2026-06-30	19
922354897	American Coalition for Police & Sheriff's PAC	Y	UNIQTECHNOLOGIES	0.109	2024-11-25	2026-06-30	20
921706849	POSC PAC	Y	UNIQTECHNOLOGIES	0.085	2025-11-30	2026-06-30	8
923489519	VF2024 PAC	Y	UNIQTECHNOLOGIES	0.051	2025-11-30	2026-06-30	8
815214552	National Police Support Fund, Inc	Y	UNIQTECHNOLOGIES	0.009	2024-11-29	2024-12-27	66
843763606	American Alliance for Military Veterans	Y	UNIQTECHNOLOGIES	0.006	2024-10-31	2024-12-31	3
822366231	Firefighters Support Fund	Y	UNITEDSUPPORT	3.069	2018-01-12	2019-11-29	1509
821194581	American Police Officers Alliance	Y	UNITEDSUPPORT	2.598	2018-01-05	2019-11-29	1060
815214552	National Police Support Fund, Inc	Y	UNITEDSUPPORT	1.778	2017-08-10	2019-11-25	968
822315009	American Veterans Honor Fund, Inc.	Y	UNITEDSUPPORT	0.853	2018-01-12	2019-11-29	842
843763411	National Committee For Volunteer Firefighters	Y	VENDORSYSTEMS	0.517	2023-01-04	2026-06-26	161
921706849	POSC PAC	Y	VENDORSYSTEMS	0.488	2024-01-03	2026-06-26	134
843763242	National Cancer Alliance	Y	VENDORSYSTEMS	0.342	2023-01-09	2026-06-26	178
834686848	American Breast Cancer Coalition	Y	VENDORSYSTEMS	0.315	2023-01-04	2025-12-31	129
853307234	National Coalition for Disabled Veterans PAC	Y	VENDORSYSTEMS	0.042	2023-01-09	2023-06-26	20
923489519	VF2024 PAC	Y	VENDORSYSTEMS	0.037	2023-07-07	2023-12-29	26
