EIN	ORG	PEOPLE	RAW_B_M	Y0	Y1	IN19
271683585	Tea Party Patriots PAC Inc	MELODIE JOHNSON (custodian8871)				N
823471940	Citizens for McGeever	MARTIN LAMERS (officer)				N
923514260	Citizens For Todd Eyler	TODD EYLER (custodian8871); TODD EYLER (officer)				N
842125163	George Papadopoulos Exploratory Committee	THOMAS DATWYLER (contact); THOMAS DATWYLER (custodian); THOMAS DATWYLER (custodian8871); THOMAS DATWYLER (officer)				N
932400386	Invest in Americas Future Inc.	THOMAS DATWYLER (officer); THOMAS DATWYLER (custodian8871)				N
872957176	New Hampshire Principles PAC	JOHN PLISHKA (officer); JOHN PLISHKA (custodian8871)				N
422059108	STEVE WOLL FOR CONGRESS	JOHN PLISHKA (custodian8871); JOHN PLISHKA (officer)				N
863893704	Jesse Jensen Exploratory Committee	THOMAS DATWYLER (contact); THOMAS DATWYLER (custodian8871); THOMAS DATWYLER (officer); THOMAS DATWYLER (custodian)				N
874802983	Team Pinion, Inc.	JOHN PLISHKA (officer); JOHN PLISHKA (custodian8871)				N
272275251	PA BlueToRed, PAC	JOHN PLISHKA (officer); JOHN T PLISHKA (custodian8871)				N
821604538	Korngut for Council	LORI A. SEYLER (officer)				N
475283345	CPAC Action PAC	MELODIE JOHNSON (custodian8871)				N
863114676	National Governance Committee PAC	JOHN PLISHKA (custodian8871); JOHN PLISHKA (officer)				N
392163368	TANO TIJERINA EXPLORATORY COMMITTEE     	JOHN PLISHKA (officer)				N
874533981	Higher Ground PAC Inc	JOHN PLISHKA (officer); JOHN PLISHKA (custodian8871)				N
832244402	Sena For Charlottesville	SENA MAGILL (officer); SENA MAGILL (custodian8871)				N
874488975	Republican Election Committee	JOHN PLISHKA (custodian8871); JOHN PLISHKA (officer)				N
541230014	The John Warner Fund	SUSAN MAGILL (officer)				N
853113962	The American Fire Fighters Initiative	RICHARD LEAGUE (officer); RICHARD LEAGUE (custodian8871)				N
874327099	Joe Pinion for US Senate Inc	JOHN PLISHKA (custodian8871); JOHN PLISHKA (officer)				N
821194581	American Police Officers Alliance	DANIEL STUEBS (contact); DANIEL D. STUEBS (custodian); DANIEL D. STUEBS (contact); DANIEL D. STUEBS (custodian8871); DANIEL STUEBS (custodian8871); DANIEL D. STUEBS (officer); DANIEL STUEBS (officer); DANIEL STUEBS (custodian)	43.3	2018	2026	Y
822366231	Firefighters Support Fund	ROBBY LAMERS (officer); NILE PORTER (contact); NILE M. PORTER (officer); ROBBY LAMERS (custodian); ROBBY LAMERS (contact); NILE PORTER (custodian); ROBBY LAMERS (custodian8871)	37.46	2017	2026	Y
815214552	National Police Support Fund, Inc	JAMES D SKYLES (custodian); JAMES D SKYLES (contact); JAMES D. SKYLES (custodian8871); JAMES D. SKYLES (contact); JAMES D. SKYLES (custodian)	32.3	2017	2026	Y
843153271	Committee for Police Officers Defense	BERT ARTHUR EYLER (officer); BERT ARTHUR EYLER (custodian); JAMES FOTIS (custodian8871); JAMES FOTIS (officer); BERT ARTHUR EYLER (contact)	21.5	2019	2026	Y
843763411	National Committee For Volunteer Firefighters	MATTHEW GREENLEE (custodian8871); MATTHEW GREENLEE (officer); MATTHEW GREENLEE (custodian); MATTHEW GREENLEE (contact)	12.42	2020	2026	Y
822315009	American Veterans Honor Fund, Inc.	AL QUAYE (officer); AL QUAYE (custodian); AL QUAYE (contact); AL QUAYE (custodian8871)	11.28	2018	2026	Y
472041040	Veterans Action Network	DAN CURRAN (custodian); NILE PORTER (custodian); DAN CURRAN (contact); DAN CURRAN (custodian8871); NILE PORTER (contact); DAN CURRAN (officer)	9.85	2014	2019	Y
853307234	National Coalition for Disabled Veterans PAC	JUDI GRAGERT (contact); JUDITH GRAGERT (custodian); JUDI GRAGERT (custodian); JUDITH GRAGERT (custodian8871); JUDITH GRAGERT (officer); JUDITH GRAGERT (contact)	7.22	2021	2026	Y
273594732	Veterans In Defense Of Liberty Action Committee	DR. WM SCOTT MAGILL (contact); DR. WM. SCOTT MAGILL (custodian8871); DR. WM. SCOTT MAGILL (officer); DR. WM SCOTT MAGILL (custodian)	6.06	2016	2024	Y
843763242	National Cancer Alliance	JULIE FORSYTHE (custodian); JULIE FORSYTHE (officer); JULIE FORSYTHE (custodian8871); JULIE FORSYTHE (contact)	5.22	2020	2026	Y
921706849	POSC PAC	FRANK PULCIANI (custodian); AL NIZICK (officer); FRANK PULCIANI (contact); ALBERT NIZICK (contact); AL NIZICK (custodian8871); ALBERT NIZICK (custodian)	4.63	2024	2026	Y
922354897	American Coalition for Police & Sheriff's PAC	FRANK PULCIANI (custodian8871); FRANK PULCIANI (contact); ALBERT NIZICK (officer); ALBERT NIZICK (custodian); ALBERT NIZICK (custodian8871); ALBERT NIZICK (contact); FRANK PULCIANI (officer); FRANK PULCIANI (custodian)	3.99	2023	2026	Y
854325630	National Police & Sheriffs Coalition PAC	FRANK PULCIANI (custodian8871); FRANK PULSIANI (custodian); FRANK PULSIANI (contact); FRANK PULCIANI (custodian); FRANK PULCIANI (officer)	2.61	2021	2023	Y
923489519	VF2024 PAC	MATTHEW GREENLEE (officer); MATTHEW GREENLEE (contact); MATTHEW GREENLEE (custodian8871); MATTHEW GREENLEE (custodian)	2.58	2023	2026	Y
