lead_id	story_id	section	grade	verdict	novelty_guess	headline
80	S065	menu		unchecked	2	Acetaminophen-codeine liquid's generic price jumped 30-fold in 2024; saxagliptin tablets rose 4.2x, then 4.9x
81	S066	menu		unchecked	2	Diamondback hides 30.3% of its Texas fracking chemicals as trade secrets, nearly double the 16.2% state rate
82	S067	menu		unchecked	2	DeKalb County's Snapfinger Creek sewer plant logged 1,394 overflows since 2016 against $52,344 in penalties: about $38 each
83	S068	menu		unchecked	2	94 ex-members of Congress later filed foreign-agent forms; five filed in 2025, including Blagojevich for Bosnia and Fattah for Liberia
84	S069	menu		unchecked	2	143 doctor-shortage areas first flagged in 1978-89 are still flagged; 31 still rank severe, mostly Mississippi Delta and South Texas
85	S070	menu		unchecked	3	Beaver Valley Hospital, 25 beds in Utah, took $22.3M in COVID relief: 2.45 times its 2019 patient revenue
86	S071	menu		unchecked	3	Political ad buyers who gave Google only a tax ID, no federal election ID, spent $861.4M on Google ads
87	S072	menu		unchecked	3	CareCore Health's 12 Ohio nursing homes draw 1.95x their state's fire-safety citations; 11 repeat a citation across three inspections
88	S073	menu		narrowed	3	One Egyptian national born in 2001 controls 630 UK companies the register calls live; none file accounts
89	S074	menu		unchecked	3	68 federal district judges with unusual loans from a bank were assigned 424 cases naming that bank
90	S075	menu		narrowed	3	The federal housing agency pays $2,574 a unit a month for White Birch Apartments in Milwaukee: 223% of fair rent
91	S076	menu		unchecked	3	29 Medicare-enrolled businesses are signed for by someone sharing a banned person's name, city and state; two drew $4.91M
92	S077	menu		unchecked	3	33 US healthcare posts on ransomware leak sites match a Medicare hospital by name; Watsonville's was posted by two gangs
93	S078	menu		unchecked	3	Altair Recycling in Texas got a $57.0M state water-pollution penalty in June 2025, the biggest on file after BP's
94	S079	menu		narrowed	3	On a strict name and birth-date match, 22 sanctioned people control 46 live UK companies; about 3 are likely chance
95	S080	menu		unchecked	4	Two cases went to judges whose spouses drew director fees from the defendant: McMahon–JetBlue, Leinenweber–Procter & Gamble
96	S081	menu		unchecked	3	Drug companies logged 47,607 doctor meals at exactly $125.00 in 2024, against 675 at $126.00
97	S082	menu		unchecked	1	E-bike and moped emergency-room visits quadrupled, 21,800 to 87,600 a year from 2019 to 2023, while all injuries stayed flat
98	S083	menu		unchecked	1	Outside money beat the candidate's own spending in 104 of 637 congressional campaigns in 2024; Moreno tops at 5.8x
99	S084	menu		unchecked	1	Forest County, Pennsylvania, has 1,685 orphaned oil and gas wells for every 10,000 residents
100	S085	menu		unchecked	1	Delaware's court got 46 of the 80 billion-dollar business bankruptcies filed since 2015, counting affiliated cases as one
101	S086	menu		narrowed	3	76 co-authors of papers retracted in federal misconduct cases got $187M in federal health-research grants afterward
102	S087	menu		narrowed	3	23 firms under a government-wide ban got $800K in new federal orders after the ban, mostly from Defense
103	S088	menu		unchecked	3	Hedge funds and banks paid for 14.6% of itemized Texas lobby meals; the top recipient got $10-14K over 15 years
104	S089	menu		unchecked	3	NAI Logistics got 13 Defense fuel payments worth a net $20,647 within 3 days of its sanctions listing
105	S090	menu		narrowed	2	Oklahoma lost 161 veterans to suicide in 2023, against 98 to 134 every year from 2011 to 2022
106	S091	menu		unchecked	2	Tesla has 43 California accident inspections by job-safety regulators; 18 are still open, with a median 486 days to close
107	S059	menu		narrowed	1	39 Illinois water systems serving 887,000 people went over the lead limit in 2025; no prior year topped 31
108	S092	menu		unchecked	1	Redlined 1930s neighborhoods hold 13.35 toxic-release plants per 100 square kilometers, six times the 2.21 in 'B' areas
109	S093	menu		unchecked	1	Black residents' jail rate ran 4.57x the white rate in 2010, 3.41x in 2019 and 3.86x in 2023, median county
110	S086	menu		unchecked	2	31 US scientists with 3+ misconduct retractions got $67.1M in federal health-research grants after their last one
111	S094	menu		unchecked	2	987 of 22,770 months where an insider sold $5M+ of stock came 4-9 months before a 50%+ price drop
112	S095	menu		unchecked	3	Oklahoma refineries pay $3,300 in air penalties per logged violation; Texas refineries pay $142,000
113	S096	menu		unchecked	3	CSX and Norfolk Southern made 8.2 times the spill-hotline calls of Union Pacific and BNSF in 2015-17
114	S097	menu		unchecked	3	In two environmental-agency regions, 78% of hazardous-waste sites inspected twice have no action on file, versus 33% in two others
115	S089	menu		unchecked	2	NAI Logistics got 13 fuel payments worth $20.6K on or after its federal ban, paid under a different company ID
116	S047	menu		unchecked	2	Political committees run by treasurer Thomas Datwyler pass a median 16.2% of spending to candidates or ads; peers, 44.4%
117	S098	menu		unchecked	3	Kings County, California, rejected 13.7% of returned mail ballots in 2022, against 1.52% nationally
118	S099	menu		narrowed	3	37 planes that crash investigators rated destroyed got their federal registration renewed or extended after the crash
119	S100	menu		narrowed	2	Senators on the Banking Committee were 19% of trading senators but made 34% of bank-stock trades, 2012-20
120	S101	deep3	B	narrowed	3	83 new Arizona hospices (2020-23) listed Los Angeles phone numbers; only 12 ever got Medicare certification, 4 still enrolled
121	S002	deep3	B	narrowed	3	Reliant Care's 31 Missouri nursing homes hold 7% of residents but at least 22% of those with schizophrenia
122	S102	deep3	B	narrowed	3	Arizona overdose deaths rose 11.5% in a year as the median state fell 14%, hitting 2,980, its most since 2015
123	S102	deep3	B	narrowed	3	Maricopa County overdose deaths rose 313 to 1,791 in a year, the biggest rise of any big US county
124	S103	deep3	B	narrowed	2	Generic makers Teva, Actavis and Mutual filed about 15,500 lawyer-sourced metoclopramide (Reglan) side-effect reports: 91% of the generic's reports
125	S104	deep3	B	narrowed	3	Oroville Hospital, California, had 1.78 stays per traditional-Medicare patient, tied for highest of 2,109 big hospitals; median 1.34
126	S105	deep3	B	narrowed	4	Medicare's ordering list still clears 83% of recently deactivated clinicians to order equipment; for older deactivations it's 0.2%
127	S106	deep3	B	narrowed	2	944 for-profit nursing homes with operating companies formed 2022 to Sept 2024 rate 0.28 stars below same-state for-profit peers
128	S107	deep3	B	narrowed	3	Five Los Angeles-area postal zones (ZIP 912-916) hold 35% of home health agencies enrolled since 2019; before 2013, 3%
129	S004	deep3	B	narrowed	3	A Las Vegas nurse practitioner, Mary Huntly, got $8.52M from Medicare in 2024, at least 69% on one skin-substitute code
130	S108	deep3	B	narrowed	3	Only 7 of 26 Indian Health Service and tribal hospitals have a Medicare star rating; similar hospitals predict about 13
131	S103	deep3	B	narrowed	2	In late 2012 Roche and Astellas filed 13,752 cancer-drug death reports, 25x normal, a median 677 days after getting them
132	S103	deep3	B	narrowed	3	GSK sent 24,345 one-line Avandia reports in April 2014, a paperwork spike of 20,863 heart-attack and stroke cases
133	S103	deep3	B	narrowed	1	Actiq and Fentora, fentanyl approved only for cancer pain: 790 side-effect cases name non-cancer reasons, 191 name cancer
134	S109	deep3	B	narrowed	3	Ingredient makers filed 83 semaglutide (Ozempic) files with the drug regulator since 2023, the biggest four-year rush since 1980
135	S110	deep3	B	narrowed	4	The CDC's weekly disease table shows 17,197 cyclospora parasite infections by late July 2026, at least 5x any 2022-25 year
136	S111	deep3	B	confirmed	2	24 of 72 Mississippi hospitals are worse than the national death rate on some measure; only 1 is better
137	S112	deep3	B	narrowed	3	Florida went from 17 freestanding rehab hospitals in mid-2019 to 40 now, +135%, with zero closures; rest of US +31%
138	S113	deep3	B	narrowed	1	Rep. Thomas Kean (R-NJ) missed 140 recorded House votes in a row, 33 voting days, the longest run this Congress
139	S114	deep3	B	narrowed	1	16 House members running for Senate doubled their missed votes in campaign season, but did the same two years earlier
140	S115	deep3	B	narrowed	2	California employers naming artificial intelligence on lobbying reports: 1 in 2022, 58 in 2024, 59 in 2025
141	S116	deep3	B	narrowed	3	Sean Duffy's old House fund raised $0 from donors but gave $1.5M to Northwoods Future PAC, about half its money
142	S117	deep3	B	narrowed	3	Texas lobby reports with $1,000+ in gifts named a recipient 1 time in 4 in 2005-11; since 2019, 3.7%
143	S118	deep3	B	narrowed	4	1 in 4 new IRS political-group notices, Dec 2022-Dec 2025, came from businesses, including 141 look-alike companies
144	S119	deep3	B	narrowed	2	34 of Trump's 45 second-term judges (76%) got no Democratic votes; Biden's 2023-24 judges: 25% got no Republican votes
145	S120	deep3	B	narrowed	2	The Senate held 659 recorded votes in 2025, second only to 1976; 356 were on nominations, a record since 1989
146	S121	deep3	B	narrowed	1	Fetterman was the only Democrat voting with Republicans on all 12 Senate Iran war-powers votes; two failed by one vote
147	S122	deep3	B	narrowed	3	Argentina sided with the US on 78% of UN votes in 2024-25, up 19 points, biggest rise of 178 countries
148	S123	deep3	B	narrowed	3	Just 12% of House bills passed by roll call this Congress got an amendment roll call; the 1995-2024 median: 61%
149	S124	deep3	B	narrowed	2	16 of 38 Supreme Court cases from the 5th Circuit in 2021-24 were federal-government appeals; in 2015-20, 1 of 26
150	S125	deep3	B	confirmed	4	Jackson Area credit union (Mississippi) holds $148.2M in deposits on $71.4M in assets: a $77M hole
151	S126	deep3	B	narrowed	3	Since 2020 the bank regulator (FDIC) put 11 of 107 minority-owned banks under cleanup orders: about 2.7x similar banks
152	S127	deep3	B	narrowed	2	Boxlight insiders filed 30 of 76 stock-sale reports late; 38 of 2,740 companies ran 10%+ late; median zero
153	S128	deep3	B	narrowed	3	Since 2024, 31 per 1,000 money-manager stock reports ran a year-plus late, vs 9.5 before; Malaysia's pension fund back-filed 68
154	S129	deep3	B	narrowed	4	At least 36 US-sanctioned banks still hold numbers on the tax agency's (IRS) foreign-bank list, including Russia's central depository
155	S130	deep3	B	narrowed	3	355 fund holdings reports still count in thousands, not dollars: about $2.6 trillion missing, a third from T. Rowe Price
156	S128	deep3	B	narrowed	3	Money managers filing 4+-year-overdue stock reports in one-day batches: about 4 a quarter in 2019-22, 11 since 2024
157	S131	deep3	B	narrowed	2	18 small public companies filed annual reports past the legal extension three years running; 4 still list on major exchanges
158	S132	deep3	B	narrowed	3	Louisiana re-inspected only 90 of 182 hazardous-waste manufacturing plants in five years, last of 28 states; median 91.8%
159	S133	deep3	B	narrowed	3	40 of 102 working major cement plants drew a serious Clean Air Act violation in 2020-25, top of 63 industries
160	S134	deep3	B	narrowed	3	Yuma, Arizona's water plant broke the acute chlorine-dioxide limit 21 months straight; none reached federal records until May 2022
161	S135	deep3	B	narrowed	4	17 landfills stopped filing federal climate reports with no legal way out; at least five hold operating air permits
162	S136	deep3	B	narrowed	3	Oregon logged zero state water-permit inspections in the federal file for 22 months; its warning letters kept arriving
163	S137	deep3	B	narrowed	3	433 wastewater permits broke discharge limits in most quarters for six years with no formal enforcement; Missouri 97, Ohio 68
164	S138	deep3	B	narrowed	2	Cheniere's Sabine Pass gas-export terminal went from 0.18 to 6.26 million tonnes of greenhouse gas, 2015-23: the registry's biggest rise
165	S139	deep3	B	narrowed	2	Tesla's Fremont plant drew 356 Bay Area air violation notices since 2019, second of 86 plants; no district enforcement order
166	S140	deep3	B	narrowed	3	"438 place names still say ""Negro""; in 2020-23, 641 ""Squaw"" names changed vs at least 41 ""Negro"" or n-word ones"
167	S141	deep3	B	narrowed	3	The 4th Circuit appeals court published 375 decisions in fiscal 2025, up 25% from 2019; the median circuit fell 17%
168	S142	deep3	B	narrowed	2	Detained immigrants' release petitions (habeas): 33 in Oct 2024, about 8,820 in Mar 2026, 24% of new federal civil cases
169	S002	deep3	B	narrowed	4	Five Reliant Care nursing homes list 90 registered sex offenders, 31% of Missouri's nursing-home total, with 2.2% of residents
170	S143	deep3	B	narrowed	3	Since 2020 only 19 of 295 argued Supreme Court cases came from state courts, the lowest share since 1946
171	S144	deep3	B	narrowed	4	One building at 410 Great Rd, Littleton, Massachusetts holds 49 separate federal gun-maker licensees, 16% of the state's
172	S145	deep3	B	narrowed	3	Vermont logged 77 private-sale gun background checks in 2022: 0.17 per 100 dealer checks, last of 10 states requiring them
173	S146	deep3	B	narrowed	4	"10 foreign groups hold 40% of US ""social welfare"" nonprofit assets, $133.4B; Mastercard Foundation and Novo Holdings lead"
174	S147	deep3	B	narrowed	2	Customs refunds beat collections in May and June 2026; $113.5B left via the customs agency by Aug 7
175	S148	deep3	B	narrowed	4	EU registrars renewed 11 of 13 sanctioned firms' global company IDs after listing; 9 still current, including four Iran-linked banks
176	S147	deep3	B	narrowed	2	Treasury's net customs take went negative in May and June 2026: minus $25.56B in June as refunds hit $49.18B
177	S149	deep3	B	narrowed	2	Homeland Security committed $50.97B in contracts Oct 2025-Jun 2026, 4.1x its usual; Fisher Sand & Gravel got $13.35B
178	S150	deep3	B	confirmed	4	Federal injury filings (OSHA) cover 18-24% of Vermont's private hospital jobs, vs 88-94% typically; University of Vermont Medical Center absent
179	S151	deep3	B	narrowed	4	The tax agency revoked 108 nonprofits for not filing, yet its own e-file index holds a return from those years
180	S152	deep3	B	narrowed	3	296.5 million Indians face severe hunger, by the UN food agency's own math, though it leaves India's line blank
181	S153	deep3	B	narrowed	3	Holly Springs, Mississippi's city utility never billed 42.6% of the power it bought in 2024, worst of 425 city utilities
182	S154	deep3	B	narrowed	2	Ohio utilities spent $3.22 per customer on saving electricity in 2024; Michigan, next door, spent $81.98
183	S155	deep3	B	narrowed	3	FirstEnergy's seven utilities still send people to read 2.26 million meters, about 27% of all hand-read US meters
184	S156	deep3	B	narrowed	2	Ten coal plants made 30% of all monitored power-plant sulfur dioxide in 2025; Labadie, Missouri, alone made 5.3%
185	S157	deep3	B	narrowed	2	Phoenix-area Salt River Project has 56.7 rooftop-solar homes per 1,000; Arizona Public Service has 145.4, Tucson Electric 124.3
186	S158	deep3	B	narrowed	2	89.7% of Evergy's Kansas City homes in Missouri are on time-of-day rates; across the state line, 1.6%
187	S159	deep3	B	narrowed	3	Alabama Power reports 1.6 watts of rooftop solar per home, last of 173 big utilities; sister Georgia Power: 30.1
188	S160	deep3	B	narrowed	4	"One Google ad account named only ""US House of Representatives"" carries 58% of members' official-office Google ad money in 2026"
189	S161	deep3	B	narrowed	2	Homeland Security spent $5.29 million on Google ads that Google filed as political, the only federal agency in 2018-2026
190	S160	deep3	B	narrowed	3	House members' office Google ad accounts spent $1.38 million Jan-Jul 2026, 3.2 times the same months of 2024
191	S162	deep3	B	narrowed	2	13,265 people who arrived by 2021 were detained in Jan-May 2026, 3.8 times 2024, the low year
192	S163	deep3	B	narrowed	2	At 45 big companies, contractors' H-1B work-visa filings listed wages a median 20.6% below the company's own, same job
193	S162	deep3	B	narrowed	2	16,972 people detained Jan-May 2026 had immigration court cases 2+ years old, versus 2,691 in 2019; 87% still open
194	S164	deep3	B	narrowed	3	16,919 immigration detention stays began with over a day in an ICE hold room, Oct 2025-Feb 2026, up from 212
195	S165	deep3	B	confirmed	4	Company formations in England and Wales fell 73% on 18 Nov 2025, the day identity checks became compulsory
196	S166	deep3	B	narrowed	2	28% of new Irish companies in 1992 sat at addresses holding 1,000+ companies; by 2001, just 1.2%
197	S167	deep3	B	narrowed	2	Offshore formations doubled in Apr-Jun 2005, just before Europe's savings tax; Panama firm Mossack Fonseca: 2,331 to 4,701
198	S168	deep3	B	narrowed	3	339 of Atlantic City's 1,473 public housing units sit empty without an approved reason: 23%, 5.9 times similar authorities
199	S169	deep3	B	narrowed	2	Around Red River Parish, Louisiana: zero magnitude-2.5+ quakes 2010-2023, then 29 since January 2024, topped by a magnitude 4.9
200	S170	deep3	B	narrowed	3	Union Pacific trains killed 156 trespassers a year in 2023-25, nearly double 2015-17's 79; other railroads, same counties: up 30%
201	S171	deep3	B	narrowed	4	In Ecuador's Los Ríos province, 29 of 66 town-hall public-works tenders drew one bidder; about 7-8 was expected
202	S172	deep3	B	narrowed	3	"The Justice Department's Epstein site said ""access denied"" for data sets 13-23 and ""not found"" for 24-40, March 11, 2026"
203	S173	deep3	B	narrowed	3	FEMA, the disaster agency, took a median 110 days to publish Jan-Jun 2025 disaster declarations, versus 41-48 days before
204	S174	deep3cd	C	narrowed		74-90 California doctor-shortage areas holding 2.7-3.5M people are up for removal with no replacement, about 3x the national rate
205	S175	deep3cd	C	narrowed		Male veterans' suicide rate rose about 10% in 2018-23 whether or not they used VA care; under-55s carry it
206	S176	deep3cd	D	broken		Claimed: DeRoyal's Tennessee sterilizer tied #1 for ethylene-oxide air releases; broken, a Virginia sterilizer reported 5.3 times more
207	S177	deep3cd	C	narrowed		"Penn State's Hershey hospital got Medicare's extra ""outlier"" payment on 185 of 192 top-level joint procedures; nationally, 3.5%"
208	S178	deep3cd	C	narrowed		Medicare's new back-pain program roster names 3 doctors barred from federal health programs and 13 who opted out
209	S179	deep3cd	C	narrowed		Only 37 suppliers billed Medicare's diabetes-prevention classes for 11+ patients in 2024: 1,267 patients, $347,437 in all
210	S180	deep3cd	C	narrowed		Guttmacher puts Texas, a total-ban state, at 3,530 abortions a month in early 2026: up 26%, one December 2024 jump
211	S181	deep3cd	C	narrowed		Enbrel's two FDA-approved copies never went on sale; Medicare drug plans ran up $2.27B gross on brand Enbrel in 2022
212	S182	deep3cd	C	narrowed		Kindred's 42 long-term hospitals book $178M a year more expense than Medicare's cost line; the peer gap is accounting
213	S183	deep3cd	C	narrowed		In 2023, six California fiberglass shops put out about 40% of the state's reported cancer-list air pounds, mostly styrene
214	S184	deep3cd	C	narrowed		This Congress passed 63 regular laws in its first 539 days, second-fewest since 2013; only the last Congress passed fewer
215	S185	deep3cd	C	narrowed		20 of 69 Georgia U.S. House races in 2010-18 had nobody running against the winner; nationally it was 4.8%
216	S186	deep3cd	C	narrowed		Federal Election Commission totals for House Republicans' campaign arm skip its Sept 2024 report: $40.72M of spending
217	S187	deep3cd	C	narrowed		Only 16 of 83 retirement-eligible Republican-appointed judges stepped back in Trump's second term; 50 had already stayed through his first
218	S188	deep3cd	C	narrowed		Sen. Richard Blumenthal filed all 69 of his stock-trade reports on paper, 2021-2026; the warehouse holds none of his trades
219	S189	deep3cd	C	narrowed		139 campaign funds for races run by 2016 still hold $7.98M; Robin Tallon's 1992 committee paid out $1.39M in 2023-24
220	S190	deep3cd	C	narrowed		RA Capital filed as director at 21 companies in 2024, OrbiMed 16, Baker Bros 13; eight firms drive biotech's lead
221	S191	deep3cd	D	broken		EPA sent Osage County, Oklahoma oil-field wells zero violation notices after April 2023, while still inspecting about 225 a year
222	S192	deep3cd	C	narrowed		A third of small, non-exempt US-listed foreign companies missed a new March 2026 insider-stock deadline by 13+ days
