story_id	lead_ids	primary_lead	headline	number	grade	verdict	novelty_guess	pre_known	sections	tables	watch_out	frozen_sha1
S011	14	14	One urgent-care chain, Fast Pace, holds 189 of 731 new for-profit rural health clinics opened after the 2021 pay law	189 of the 731 new for-profit freestanding rural health clinics (26%), all enrolled from 2021-11-23 on; 192 counting 3 Louisiana clinics under the Fast Pace trade name.		confirmed	4		menu	`HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS`, `HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS`	The enrollment date is read from inside ENROLLMENT_ID, and about 1 in 8 new enrollments reuse an older CCN, so some may be owner changes, not new clinics.	ee4ed7251b34
S012	15	15	Share of ICE jail-hold requests (detainers) on people with a criminal conviction fell from 43% to 16%, FY23 to FY26	43% (October-March FY23) to 16% (October-March FY26), same months both years; FY25 was 33% on matching months.		narrowed	3		menu	`IMMIGRATION__FED_ICE_DETAINERS`	The drop lands exactly where one yearly file ends and the next begins, and the FY26 file was cut on 2026-03-11.	29f81df6fefc
S013	17	17	Federal car-safety regulators' Nissan Rogue phantom-braking probe has sat open 7 years, no recall; the typical probe takes 234 days	Probe PE19010, opened 2019-09-09, open 2,572 days with no recall; the median defect probe closes in 234 days.		narrowed	3		menu	`CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS`, `CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS`	Complaint counts swing with the matching method (component code: 75 before, 273 after; complaint text: 135 before, 224 after), and by text the yearly rate fell after the probe opened.	6254c9b649b6
S014	19	19	New Mexico police cleared 22-23% of homicides in 2022-23, lowest in the nation, against 56% nationally	22.3% (2022) and 23.2% (2023) by the FBI's state totals, lowest of 51 both years, vs 56% nationally; the fall was one year, 2018, from 59% to 34%.		narrowed	3		menu	`JUSTICE__FED_FBI_CDE`	State totals can't tell police solving fewer killings from solved cases never reaching the FBI, and a one-year cliff looks like a reporting change.	b0eb985fe537
S015	20	20	People arrested 2+ years after arriving had ICE bond posted 7% of the time in Louisiana, 29% in Pennsylvania	7% in Louisiana, 12% in Texas, 29% in Pennsylvania, 2023-25, for people arrested 2+ years after entry.		narrowed	3		menu	`IMMIGRATION__FED_ICE_DETENTION_STINTS`	The bond field fills when bond is posted, not when a judge sets it, and border states hold recent arrivals who can't get bond at all.	d211d1bbb36c
S016	21	21	Nebraska air regulators filed zero formal enforcement actions 2017-2025; none of 17 serious violations from 2017-21 is resolved	"0 state and local formal air actions every year 2017-2025 in EPA's air database; 0 of 17 high-priority violations found 2017-21 marked resolved, vs 94% at the median state; 15 of 120 operating majors currently ""Unaddressed"" (12.5% vs a 1.4% median)."		narrowed	4		menu	`ENVIRONMENT__FED_EPA_ECHO`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FORMAL_ACTIONS`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES`	"""State"" includes the Lincoln and Omaha local offices, and NDEE may settle by consent orders that never get typed into EPA's system."	2aeedb748ac3
S017	22	22	Three people on the federal health-fraud ban list are listed owners of six LA home health agencies	Liana Karapetyan (barred 2023, owns Direct Care HH), Kristine Arutyunyan (barred 2024, owns Holy Light and May Light HH), Arman Danielian (barred 2026-01-20, still listed at Vita, Valeo and Arva HH).		narrowed	4		menu	`HEALTH__FED_CMS_HOME_HEALTH_OWNERS`, `HEALTH__FED_HHS_OIG_LEIE`, `HEALTH__FED_CMS_HOME_HEALTH`	"These are name matches; the ""2.6x more than chance"" headline broke once surname geography was counted, and only these three, whose ban record is in the same line of work, survive."	e386f58ff3ec
S018	25	25	Judge Gilstrap was assigned 183 cases naming Apple, Microsoft, AT&T or Walmart while holding their stock	183 cases assigned while he held the company's stock (disclosure years 2010-20); the wider 240-judge, 1,157-case total is not re-checked.		narrowed	3		menu	`JUSTICE__FED_COURTLISTENER_INVESTMENTS`, `JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES`, `JUSTICE__FED_COURTLISTENER_DOCKETS`, `JUSTICE__FED_COURTLISTENER_JUDGES`	It rests on Gilstrap alone, and holdings are matched by company-name text, not by a stock ID.	fea790a772ef
S019	26	26	553 water permits broke pollution limits in 36+ of 40 quarters; 84 never had a formal enforcement action	553 permits in 36+ of 40 quarters, 2016-2025; 152 with no formal action since 2016 and 84 with none ever, in EPA's system; in West Virginia, chronic mines got formal action 26% of the time vs 58% for chronic sewer plants.		narrowed	3		menu	`ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY`, `ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS`, `ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS`, `ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES`	"Every count is an absence in EPA's system, and West Virginia's mine enforcement barely flows into it, so ""no action"" may just mean ""not reported."""	f11b0fbdc8ba
S020	27	27	US rail trespasser deaths rose 26% to 838 from 2017 to 2025 while other rail casualties fell	838 trespasser deaths in 2025, up 26% from 2017; all 41 Brightline deaths in 2024 were trespassers.		confirmed	2		menu	`TRANSPORT__FED_FRA_CASUALTIES`	The ledger calls it a known story shape, so check prior coverage before pitching it as new.	4de7cea35292
S021	28	28	$79,647 of lobbyist-paid private air and hotel: a New York trip with Sen. Angela Paxton and three Texas House members	$79,647.58 on one corrected March 2026 report by lobbyist Julie Linn Minnehan: private air to New York March 30-31 and one night at the Hilton Midtown; 3rd-biggest of 3,448 reports since 1992 (median $188); clients listed as Success Academy and Kleinheinz Capital Partners.		narrowed	4		menu	`POLITICS__TX_LOBBY_TRANSPORTATION`, `POLITICS__TX_LOBBY_COVER`, `POLITICS__TX_LOBBY_INDIVIDUAL_REPORTING`	Seven people flew up and Rep. Jeff Leach rode only the home leg; the data can't show who owned the plane or whether it was one plane.	7255d4dd0165
S022	30	30	40 big California water systems serving 4.2M people have no full sanitary inspection on EPA's file in 5 years	40 California systems, 4.22M people, mostly in LA, San Bernardino, Riverside and San Diego counties; 35 of the original 41 show no visit of any kind since mid-2021. Nationally 94 systems, 7.66M people, counted from each state's real data end.		narrowed	4		menu	`ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS`, `ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS`	All of this is absence in EPA's federal copy; New Jersey's gaps look like visits logged under another code, not missed surveys.	c2321a96c154
S023	31	31	Dow's Plaquemine, Louisiana plant reported 34,369 lb of ethylene oxide air release in 2023, 21% of the US total	34,369 lb in 2023 (32,106 lb of it leaks), 8.7x its 2015-22 high and 21% of the 2023 national total (160,219 lb); back to 2,433 lb in 2024.		unchecked	3		menu	`ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS`, `ENVIRONMENT__FED_EPA_ECHO`, `ENVIRONMENT__FED_EPA_TRI_BASIC_2023`	No skeptic has checked it, and a one-year spike is most likely a single upset event already reported to the state.	9292ad0f6315
S024	33	33	Of auditor Ben Borgers' 218 public-company clients, 27 moved to four Nigerian firms and 75 show no later audit	Of 218 clients audited in 2023-24, 143 found a new auditor (54 at one-partner firms, 72 at 2-5 partner firms, 17 at bigger firms), 27 of them at four Nigerian firms; 75 show no later audit.		narrowed	3	lead_cites_press	menu	`FINANCE__FED_PCAOB_FORM_AP_FILINGS`	"Borgers himself is the SEC's famous 2024 case; a second skeptic (skeptic2 g4) kept ""135 of 218 filed no new audit,"" which misses the CIK matches."	dd5563761b21
S025	34	34	Where EPA found hazardous-waste violations, Illinois state inspectors of the same site wrote one up 15.5% of the time	Same site within 2 years, 2015-25: Illinois 15.5% (41 EPA inspections), New Jersey 28.5%, Pennsylvania 34.5%, nation 49.1% (1,202), Wisconsin 80.8%.		narrowed	3		menu	`ENVIRONMENT__FED_EPA_RCRA_EVALUATIONS`	This counts what states log, not what they miss, and Illinois and New Jersey rates about doubled after 2020, so the gap is shrinking.	82a6ab2449db
S026	35	35	Sen. Markwayne Mullin filed 48 stock trades from 2023-24 in summer 2025; 46 were over a year late	48 trade lines, 46 more than a year late, 244-953 days, at least $1.74M; Alan Armstrong's 701 late lines are one advisor-run account filed about 4 months late.		narrowed	3		menu	`FINANCE__FED_SENATE_EFD_PTR`, `POLITICS__FED_CONGRESS_LEGISLATORS`	Late filing is a steady trickle (11-59 late lines a year without Armstrong), so this is a named case, not a trend.	69a1003b8f75
S027	37	37	Doctors paid $10K+ by drug companies wrote prescriptions costing 1.2-5.6x more per claim, more brand-name in all 7 specialties	In 2024, brand-name share rises with drug-company money in all 7 specialties, and $10K+ doctors cost 1.2-5.6x more per claim (internal medicine $94 to $355).		narrowed	2		menu	`HEALTH__FED_CMS_PART_D_PRESCRIBERS`, `HEALTH__FED_CMS_OPEN_PAYMENTS`	Correlation only, and suppressed counts drop about 606K of 1.42M prescribers, so the sample leans to big prescribers.	3c6bb8859e70
S028	38	38	The UK sanctions 358 Russia shadow-fleet ships the US doesn't; 309 were listed in 2024-25	358 of the 620 ships the UK sanctions under its Russia rules (58%) are not on OFAC's list (the US Treasury sanctions list); 309 of them were designated in 2024-25.		unchecked	2		menu	`JUSTICE__XC_UK_SANCTIONS_LIST`, `JUSTICE__FED_OFAC_SDN`, `MARITIME__FED_NOAA_AIS`	No skeptic has checked it; trade press has covered this gap, and US Russia designations slowed in 2025 by policy.	223bc8de7b7f
S029	39	39	634 poor-condition dams whose failure could kill people have no emergency plan, about 300 more than expected	"634 of 2,776 high-hazard dams rated Poor or Unsatisfactory answer a flat ""No"" (119 more say ""Not Required""); against each state's good dams, the excess is about 300 (NC +45, NM +33, GA +32, SC +30, TX +29, MO +19)."		narrowed	2		menu	`ENVIRONMENT__FED_NID_DAMS`, `LIBRARY_RAW.LANDING.FED_NID_DAMS`	"The warehouse's plan flag merges ""No"" and ""Not Required,"" and Kentucky's big number is a state-wide ""Not Required"" code, not missing plans."	1679bc8082a6
S030	41	41	Bankruptcy lawyers' groups paid for 41% of bankruptcy judges' trips in 2011-19, against 0.7% for other federal judges	2,525 of 6,166 bankruptcy-judge trips (41.0%) paid by bankruptcy practitioner groups vs 0.7% for district and appeals judges; Delaware's Kevin Carey reported 200 trips, 25 paid by the Turnaround Management Association.		unchecked	4		menu	`JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS`, `JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES`, `JUSTICE__FED_COURTLISTENER_POSITIONS`, `JUSTICE__FED_COURTLISTENER_JUDGES`	No skeptic has checked it; speaking and teaching trips for these groups are permitted and routine, and the disclosures carry no dollar amounts.	44379a7ec6d2
S031	42	42	Illinois flags 30% of its nursing homes for abuse, three times the 9% rate everywhere else	30% of Illinois homes carry the abuse flag vs 9% elsewhere; the Bria, Evercare and Infinity chains sit near 73%.		narrowed	3		menu	`HEALTH__FED_CMS_NURSING_HOME`, `HEALTH__FED_NURSINGHOME411`	The state explains most of it, and Bria alone is not unusual inside Illinois.	87dbe8ef9906
S032	43	43	San Antonio nurse practitioner Kim Hinojosa prescribed $24.9M of specialty drugs to Medicare patients in 2022, most of any NP	$24.9M of specialty Part D drugs in 2022 (hepatitis C, bowel disease and psoriasis drugs), then $1.37M in 2024; specialty peers run $12-19M.		narrowed	4		menu	`HEALTH__FED_CMS_PARTD_PRESCRIBERS`, `HEALTH__FQHC_SITE_PEOPLE`, `HEALTH__FED_CMS_OPEN_PAYMENTS_2022`	The community-clinic (FQHC) tie is a current-address join, not proof she worked there in 2022.	f57ae5fc324c
S033	44	44	Only 1 of 67,777 federal-grant auditees had survival doubts and rule-breaking flagged 10 years straight: Lower Brule Sioux Tribe	Going-concern doubt and material noncompliance in all 10 audit years, 2016-2025 (EIN 460222351); no other auditee has even 7 years of both. Federal spending $16.7M to $35.7M, $246.2M in all.		narrowed	3		menu	`ECONOMICS__FED_FAC_SINGLE_AUDIT`	The money doubling is normal for tribes (median 1.77x, mostly 2021 COVID money), so the story is the flag streak, not the dollars.	fdf58b96d484
S034	45	45	25 senior and disabled housing nonprofits on HUD money kept filing federal audits years after the IRS revoked their exemption	25 groups, about $83M counting each group's biggest single year (not the $940M first claimed); 5 name-match active HUD Section 202 rent contracts in the same town.		narrowed	4		menu	`ECONOMICS__FED_IRS_AUTO_REVOCATIONS`, `ECONOMICS__FED_FAC_SINGLE_AUDIT`, `CORPORATE_REGISTRY__FED_IRS_EO_BMF`, `ECONOMICS__FED_IRS_EO_PR`, `HOUSING__FED_HUD_MF_SECTION8_CONTRACTS`	The dollars are mostly an old HUD capital advance carried on the books every year, not new spending, and the HUD match is on property name and place only.	07e5972665d8
S035	46	46	54 high-overdose, high-jail counties got $45 per person of federal addiction-agency money in 2019-25, half their peers' $92	$45 per person of SAMHSA (federal substance-abuse agency) money, FY2019-25, in the 54 flagged counties vs $92 in same-size counties with the same overdose ranking; 22% of flagged counties got any vs 34%.		unchecked	4		menu	`JUSTICE__COUNTY_DOUBLE_BURDEN`, `ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL`, `HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS`, `XWALK_ZCTA_COUNTY`	No skeptic has checked it; most of this money is block grants booked where the state agency sits, and the median county in every group got $0.	53cae9a8d0b4
S036	47	47	Nursing-home dialysis brands run 18 of 26 rated clinics flagged worse on survival, but only 9% worse than peers	Dialyze Direct, Dialysis Direct and Concerto: 31 clinics, 18 of 26 rated flagged Worse on survival; their nursing-home residents die at 1.61x expected vs 1.48x at other nursing-home-heavy units, about 9% worse.		narrowed	4		menu	`HEALTH__FED_CMS_DIALYSIS`, `HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES`	"CMS's model under-predicts nursing-home deaths everywhere (1.18x expected), so these units start about 25% ""worse"" by construction; it's a class effect more than a brand effect."	256181b2f36f
S037	48	48	California family therapists opted out of Medicare at 37%, 3.5 times the rate of California social workers	CA marriage and family therapists 37.3% opt-out (decisions since 2024) vs social workers 10.7%; psychologists 31.6%; CA holds 70% of US family-therapist opt-outs.		narrowed	3		menu	`HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS`, `HEALTH__FED_CMS_PECOS_PROVIDER_ENROLLMENT`, `HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER`	Psychologists run close to family therapists (1.2x), California runs high for every profession, and opting out can just mean a big cash-pay senior market.	452bff650798
S038	49	49	27% of 919 nonprofit hospitals paid one officer more than their whole 2022 charity-care cost	27% of 919 nonprofit hospitals had one officer's 2022 pay above the hospital's entire cost of charity care.		confirmed	2		menu	`HEALTH__HOSPITAL_OFFICER_PAY`, `XWALK_HOSPITAL_CCN_EIN`, `HEALTH__FED_CMS_HCRIS`	"The ledger says ""confirmed with caveats"" without listing them, and only crosswalk match tiers 1-2 are used, so hospitals outside the crosswalk are missing."	627c13cb286c
S039	50	50	193 providers on the federal health-fraud ban list took about $166K from drug companies in 2024	"193 banned NPIs paid about $166K in 2024; one row is $114K (Hector Molina, TX, ""debt forgiveness"" from Skye Orthobiologics)."		narrowed	3		menu	`HEALTH__FED_HHS_OIG_LEIE`, `HEALTH__FED_CMS_OPEN_PAYMENTS`	One row carries most of the dollars, and WAS_REINSTATED is False on every row, so that filter removes nothing.	c031f918665b
S040	51	51	loanDepot denied 74% of refinance applications in 2015-17 but only 8% of home-purchase ones	74% of refinance applications denied vs 8% of purchase applications, below Wells Fargo's 15%; the first pass said 56% on all rows.		narrowed	3		menu	`HOUSING__FED_CFPB_HMDA_HISTORIC`, `HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF`	The story flipped once loan purpose was split: loanDepot is a low-denial purchase lender, so always split by purpose before ranking lenders.	6b1a4d3fef6b
S041	52,53	52	All 11 Justice Department Epstein data-set pages lost their 'Download all files' link between Jan 30 and Feb 9, 2026	"11 of 11 data-set pages lost the .zip link between Jan 30 and Feb 9, 2026, and none got it back through early June; 12 court-case links were renamed to ""[redacted] v. ..."" on Feb 21 and 24."		unchecked	3		menu	`INVESTIGATIONS__XC_WAYBACK_REPLAY_DOJ_LISTING`, `INVESTIGATIONS__XC_WAYBACK_REPLAY_DOJ_DEEP_PAGES`	No skeptic has checked it; both changes fit a victim-privacy cleanup after the Jan 30 release, and the plaintiff names are already in public court records.	f95b6b8d2f58
S042	54	54	Eight coal-mine owners logged 900-1,960 serious safety violations per 1,000 miners in 2018-24	900-1,960 significant-and-substantial violations per 1,000 current miners, 2018-24, for eight mine controllers.		unchecked	3		menu	`LABOR__FED_MSHA_VIOLATIONS`, `LABOR__FED_MSHA_ACCIDENTS`, `LABOR__FED_MSHA_MINES`	No skeptic has checked it; the denominator is today's headcount, not 2018-24 staffing, and it's per miner, not per inspection day.	b8cb54a0886d
S043	55	55	Roosevelt Cayman Asset Company filed a third of Puerto Rico's federal foreclosures in 2015-25; 52% ended in default judgment	About 1,130 separate foreclosure cases; 52% of first filings ended in default vs 37% for other Puerto Rico filers; about 11 points once years are matched, all of it from 2015-16.		narrowed	3		menu	`JUSTICE__FED_FJC_IDB_CIVIL`	The whole gap comes from the 2015-16 wave (in 2017-18 Roosevelt was level with or below peers), and a second skeptic (skeptic2) put the year-matched gap at only about 6 points.	40accefa7922
S044	56	56	Changes to high-risk medical devices filed as 30-day notices, skipping full FDA review, rose from 19% to 64%	19% of approval changes in 2000-04 to 64% from 2010 on; one Medtronic defibrillator line (P980016) has 928 changes, 621 of them 30-day notices.		unchecked	2		menu	`HEALTH__FED_FDA_DEVICE_PMA`, `HEALTH__FED_FDA_MAUDE`	No skeptic has checked it; long-lived pacemaker and defibrillator lines pile up manufacturing changes, and the device-problem reports here cover only 2020-01 to 2021-09.	902874128334
S045	57	57	Rural jails now lock up 2.5 times the urban rate: 563 vs 227 per 100,000 working-age residents in 2023	In 1,906 fixed counties, rural jails went 531 to 624 per 100K residents aged 15-64 (2010-19), then 563 in 2023, while urban fell 335 to 227; Butts GA and Yazoo MS grew about 4x on local holds.		unchecked	2		menu	`JUSTICE__XC_VERA_INCARCERATION_TRENDS`	No skeptic has checked it; Vera published the rural jail boom itself, and the held-for-others columns go blank after 2020.	f726c62b06db
