COMPANY_NAME,EIN,CIK,SIC,LATEST_FY,ESTABLISHMENTS,EMPLOYEES,HOURS,TOTAL_CASES,DEATHS,INJURY_RATE_PER_100_FTE,SEC_FILINGS,INSIDER_FILINGS,FORM4_FILINGS,LATEST_INSIDER_FILING
PREFORMED LINE PRODUCTS CO,340676895,80035,1623,2024,3,555,1134730,9,0,1.59,8,28,28,2026-03-16
"SALAMANDER INNISBROOK, LLC",260442888,1418372,7900,2023,1,531,761541,6,0,1.58,6,0,0,
FARMER BROTHERS CO,950725980,34563,2090,2025,6,398,759623,6,0,1.58,8,3,3,2026-03-25
"APTARGROUP, INC.",363853103,896622,3089,2024,3,433,760975,6,0,1.58,8,39,39,2026-03-20
"ROCKY BRANDS, INC.",311364046,895456,3140,2024,4,613,1009836,8,0,1.58,8,11,11,2026-01-05
GAP INC,941697231,39911,5651,2024,19,9633,15210878,119,0,1.56,8,39,37,2026-03-24
DEXCOM INC,330857544,1093557,3841,2024,3,5981,9997706,78,0,1.56,8,15,14,2026-03-18
"LANDS' END, INC.",362512786,799288,5651,2024,3,3885,5402535,42,0,1.55,8,14,14,2026-03-25
TRONOX HOLDINGS PLC,981467236,1530804,2810,2024,1,420,902812,7,0,1.55,8,11,11,2026-03-09
"GREIF, INC",314388903,43920,3412,2024,4,312,647308,5,0,1.54,8,40,37,2026-03-11
MOOG INC.,160757636,67887,3590,2024,18,7475,14456507,111,0,1.54,8,10,9,2026-03-16
BRUNSWICK CORP,360848180,14930,3510,2024,13,5654,10051582,77,0,1.53,8,21,21,2026-02-19
INTEGER HOLDINGS CORP,161531026,1114483,3845,2024,1,672,1201169,9,0,1.50,8,23,21,2026-03-25
ALLETE INC,410418150,66756,4931,2024,11,1074,2152296,16,0,1.49,8,0,0,
"EVERGY, INC.",822733395,1711269,4931,2024,80,4675,9515466,71,0,1.49,8,16,14,2026-03-13
"STITCH FIX, INC.",275026540,1576942,5961,2025,3,1578,3112023,23,0,1.48,8,9,9,2026-03-20
BENCHMARK ELECTRONICS INC,742211011,863436,3672,2024,9,2537,4770107,35,0,1.47,8,26,20,2026-02-27
ELI LILLY & CO,350470950,59478,2834,2024,6,14449,28898000,211,0,1.46,8,43,41,2026-03-17
OCEANEERING INTERNATIONAL INC,952628227,73756,1389,2024,2,562,1096931,8,0,1.46,8,26,25,2026-03-13
"ANDERSONS, INC.",341562374,821026,5150,2024,20,1130,2185631,16,0,1.46,8,29,29,2026-03-26
"COMMERCIAL VEHICLE GROUP, INC.",411990662,1290900,3714,2024,1,154,273351,2,0,1.46,8,5,4,2026-02-13
"RADIUS RECYCLING, INC.",930341923,912603,5090,2024,5,568,1242134,9,0,1.45,8,0,0,
VEECO INSTRUMENTS INC,112989601,103145,3559,2024,1,200,417804,3,0,1.44,8,16,16,2026-03-24
"LYFT, INC.",208809830,1759509,7389,2024,38,1298,2647974,19,0,1.44,8,14,13,2026-03-03
ZUMIEZ INC,911040022,1318008,5600,2024,1,416,398773,63,0,31.60,8,9,9,2026-03-19
ASCENT INDUSTRIES CO.,570426694,95953,3317,2024,1,15,29035,2,0,13.78,8,25,25,2026-03-30
SUN COMMUNITIES INC,382730780,912593,6798,2024,1,17,32444,2,0,12.33,8,41,39,2026-03-31
RUSH ENTERPRISES INC TX,741733016,1012019,5500,2024,2,43,81960,5,0,12.20,8,10,10,2026-03-17
SOUTHWEST AIRLINES CO,741563240,92380,4512,2024,140,83456,103952844,6221,0,11.97,8,15,15,2026-03-24
MARRIOTT VACATIONS WORLDWIDE CORP,452598330,1524358,6531,2024,1,111,221267,13,0,11.75,8,57,43,2026-03-24
CARVANA CO.,814549921,1690820,5500,2024,14,5048,7244948,379,0,10.46,8,30,30,2026-03-16
TRACTOR SUPPLY CO /DE/,133139732,916365,5200,2024,623,14313,18475381,912,0,9.87,8,37,35,2026-02-26
SIX FLAGS ENTERTAINMENT CORP,133995059,701374,7990,2024,2,1691,1903139,87,0,9.14,6,0,0,
PVH CORP. /DE/,131166910,78239,2320,2024,1,146,303996,13,0,8.55,8,5,3,2026-03-27
FORD MOTOR CO,380549190,37996,3711,2024,53,60717,116069436,4933,0,8.50,8,31,31,2026-03-05
UNITED PARCEL SERVICE INC,582480149,1090727,4210,2024,1358,432004,591308798,23080,10,7.81,8,19,19,2026-02-13
MARRIOTT INTERNATIONAL INC /MD/,522055918,1048286,7011,2024,8,2642,3856238,137,0,7.11,8,43,40,2026-03-26
CASEYS GENERAL STORES INC,420935283,726958,5500,2025,4,1433,2145158,75,0,6.99,8,5,5,2026-03-19
"TAPESTRY, INC.",522242751,1116132,3100,2025,1,199,315045,11,0,6.98,8,8,8,2026-03-04
HOOKER FURNISHINGS CORP,540251350,1077688,2510,2025,3,242,487801,17,0,6.97,8,2,2,2026-02-24
"CHAMPION HOMES, INC.",351038277,90896,2451,2025,1,144,204032,7,0,6.86,8,22,20,2026-03-31
SUNRUN INC.,262841711,1469367,3690,2024,45,6283,11939990,409,0,6.85,8,31,27,2026-03-17
"SABRA HEALTH CARE REIT, INC.",272560479,1492298,6798,2024,21,518,835179,28,0,6.71,8,23,22,2026-03-26
COSTCO WHOLESALE CORP /NEW,911223280,909832,5331,2025,711,206066,313283396,10066,0,6.43,8,12,10,2026-03-13
GENERAL MOTORS CO,270756180,1467858,3711,2024,1,4044,8975796,276,0,6.15,8,23,23,2026-02-18
HIGHWATER ETHANOL LLC,204798531,1371451,2860,2024,1,43,101579,3,0,5.91,8,2,1,2026-01-05
"RENT THE RUNWAY, INC.",800376379,1468327,5990,2024,2,690,1240836,36,0,5.80,8,1,1,2026-03-03
GENUINE PARTS CO,580254510,40987,5013,2024,142,4957,10673302,308,0,5.77,8,4,4,2026-02-24
CEL SCI CORP,840916344,725363,2836,2024,2,50,106001,3,0,5.66,7,4,4,2026-01-26
STERICYCLE INC,363640402,861878,4955,2024,72,4530,9026921,255,0,5.65,8,0,0,
BOXABL INC.,852511929,1816937,1520,2024,1,171,327973,9,0,5.49,5,0,0,
ORANGE,999999999,1038143,4813,2023,22,5627,1718132,47,7,5.47,3,0,0,
ENSTAR GROUP LTD,999999999,1363829,6331,2024,22,5627,1718132,47,7,5.47,8,0,0,
SK TELECOM CO LTD,999999999,1015650,4812,2023,22,5627,1718132,47,7,5.47,2,2,0,2026-02-20
KINGSWAY FINANCIAL SERVICES INC,999999999,1072627,6331,2024,22,5627,1718132,47,7,5.47,8,14,14,2026-03-31
PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,999999999,1001807,4813,2023,22,5627,1718132,47,7,5.47,2,0,0,
"BATH & BODY WORKS, INC.",311029810,701985,5990,2024,6,1586,2654098,72,0,5.43,8,3,3,2026-03-16
LITHIA MOTORS INC,930572810,1023128,5500,2024,1,21,37139,1,0,5.39,8,8,6,2026-03-13
PISMO COAST VILLAGE INC,952990441,216877,7000,2024,1,14,111727,3,0,5.37,7,0,0,
"THEREALREAL, INC.",451234222,1573221,5900,2024,25,2237,3695590,99,0,5.36,8,9,8,2026-03-20
LA-Z-BOY INC,380751137,57131,2510,2025,4,94,187547,5,0,5.33,8,4,4,2026-02-23
SPIRE MISSOURI INC,430368139,57183,4924,2023,15,1370,2720208,72,0,5.29,1,0,0,
WILLIAMS SONOMA INC,942203880,719955,5700,2024,61,5694,6855932,181,0,5.28,8,22,22,2026-03-27
OLYMPIC STEEL INC,341245650,917470,5051,2024,11,815,1706706,45,0,5.27,8,18,18,2026-02-17
WALMART INC.,710415188,104169,5331,2025,1671,515680,853044576,21821,6,5.12,8,76,71,2026-03-27
BASSETT FURNITURE INDUSTRIES INC,540135270,10329,2511,2024,3,112,196592,5,0,5.09,8,13,13,2026-03-13
DAVEY TREE EXPERT CO,340176110,277638,0700,2024,123,3667,7210695,182,0,5.05,8,37,37,2026-03-31
NATURES SUNSHINE PRODUCTS INC,870327982,275053,2834,2024,2,397,834315,21,0,5.03,8,28,28,2026-03-26
UNITED GUARDIAN INC,111719724,101295,2844,2024,1,26,40307,1,0,4.96,8,1,1,2026-01-23
COLUMBIA SPORTSWEAR CO,930498284,1050797,2300,2024,2,757,1585981,39,0,4.92,8,16,16,2026-03-06
"NATURAL GROCERS BY VITAMIN COTTAGE, INC.",841444517,1547459,5411,2024,92,2777,3962836,97,0,4.90,8,3,3,2026-03-06
ARTS WAY MANUFACTURING CO INC,420920725,7623,3523,2024,1,78,123019,3,0,4.88,8,8,7,2026-03-02
AMCON DISTRIBUTING CO,470702918,928465,5141,2024,6,557,1083958,26,0,4.80,8,0,0,
MGM RESORTS INTERNATIONAL,880215232,789570,7011,2024,3,7334,12578408,301,0,4.79,8,9,7,2026-03-25
PATRICK INDUSTRIES INC,351057796,76605,3714,2024,45,3845,6833870,162,0,4.74,8,23,23,2026-03-13
"FRESHPET, INC.",201884894,1611647,2040,2024,1,717,1457422,34,0,4.67,8,33,31,2026-03-17
CURTISS WRIGHT CORP,130612970,26324,3590,2024,7,306,600007,14,0,4.67,8,36,35,2026-03-19
"COCA-COLA CONSOLIDATED, INC.",560950585,317540,2086,2024,96,14799,29564720,686,1,4.64,8,2,0,2026-01-08
"TESLA, INC.",912197729,1318605,3711,2024,416,75526,208231333,4806,1,4.62,8,4,4,2026-03-09
ENCOMPASS HEALTH CORP,630860407,785161,8060,2024,24,5125,9027989,207,0,4.59,8,41,40,2026-03-10
CARDINAL ETHANOL LLC,202327916,1352081,2860,2024,1,77,174803,4,0,4.58,7,0,0,
SEALED AIR CORP/DE,650654331,1012100,2820,2024,1,67,132477,3,0,4.53,8,6,6,2026-02-18
"MAYVILLE ENGINEERING COMPANY, INC.",390944729,1766368,3460,2024,5,820,1595121,36,0,4.51,8,6,6,2026-03-17
"CARPARTS.COM, INC.",680623433,1378950,5531,2024,6,1221,1978746,44,0,4.45,8,10,10,2026-02-09
HENRY SCHEIN INC,113136595,1000228,5047,2024,24,1478,2886886,63,0,4.36,8,44,43,2026-03-20
CAMPBELL'S CO,210419870,16732,2000,2025,2,361,792549,17,0,4.29,8,18,16,2026-03-31
"AMPHASTAR PHARMACEUTICALS, INC.",330702205,1297184,2834,2024,1,702,1152779,24,0,4.16,8,16,16,2026-03-17
SHOE CARNIVAL INC,351736614,895447,5661,2024,1,237,385248,8,0,4.15,8,5,5,2026-03-05
INGLES MARKETS INC,560846267,50493,5411,2024,201,26075,36138550,714,0,3.95,8,0,0,
BROWN FORMAN CORP,610143150,14693,2080,2025,3,309,507691,10,0,3.94,8,2,1,2026-03-31
"RELIANCE, INC.",951142616,861884,5051,2024,8,386,762299,15,0,3.94,8,9,9,2026-03-10
TARGET CORP,410215170,27419,5331,2024,2297,460377,541459629,10630,2,3.93,8,29,27,2026-03-19
"REPUBLIC SERVICES, INC.",650716904,1060391,4953,2024,31,1938,4790354,94,0,3.92,8,92,90,2026-03-02
SYSCO CORP,741648137,96021,5140,2025,7,4283,9491374,186,0,3.92,8,5,2,2026-03-16
"ACUTUS MEDICAL, INC.",451306615,1522860,3841,2024,1,102,152978,3,0,3.92,8,0,0,
"DOLLAR TREE, INC.",541387365,935703,5331,2024,7892,342398,124404894,2432,0,3.91,8,6,6,2026-01-08
CHS INC,410251095,823277,5150,2024,110,4302,8684154,169,0,3.89,8,0,0,
HAVERTY FURNITURE COMPANIES INC,580281900,216085,5712,2024,3,2075,3523498,68,0,3.86,8,11,10,2026-03-18
"XPEL, INC.",201117381,1767258,3470,2024,15,714,1471551,28,0,3.81,8,8,8,2026-03-18
"OLD DOMINION FREIGHT LINE, INC.",560751714,878927,4213,2024,74,15517,33633434,636,3,3.78,8,25,24,2026-03-17
ESPEY MFG & ELECTRONICS CORP,141387171,33533,3679,2025,1,149,265255,5,0,3.77,8,6,6,2026-03-03
JETBLUE AIRWAYS CORP,870617894,1158463,4512,2024,20,22746,24814591,462,0,3.72,8,24,24,2026-03-12
CVD EQUIPMENT CORP,112621692,766792,3559,2024,2,119,217779,4,0,3.67,8,0,0,
DAKTRONICS INC /SD/,460306862,915779,3990,2025,2,1362,1968326,36,0,3.66,8,11,11,2026-03-09
AVISTA CORP,910462470,104918,4931,2024,38,1861,3405745,62,0,3.64,8,43,41,2026-03-17
CARDINAL HEALTH INC,310958666,721371,5122,2025,7,643,1152278,21,0,3.64,8,5,4,2026-03-03
LOWES COMPANIES INC,560578072,60667,5211,2024,3561,526599,731438774,13227,3,3.62,8,8,8,2026-03-05
"GREENLIGHT BIOSCIENCES HOLDINGS, PBC",851914700,1822691,2836,2023,1,34,55316,1,0,3.62,2,0,0,
"ENNIS, INC.",750256410,33002,2761,2025,2,66,55491,1,0,3.60,8,1,1,2026-02-09
BRIDGFORD FOODS CORP,951778176,14177,2013,2024,1,48,112320,2,0,3.56,8,0,0,
"LIFEWAY FOODS, INC.",363442829,814586,2020,2024,2,195,395300,7,0,3.54,8,12,12,2026-03-31
SENSIENT TECHNOLOGIES CORP,390561070,310142,2860,2024,1,168,346435,6,0,3.46,8,12,11,2026-03-04
PILGRIMS PRIDE CORP,751285071,802481,2015,2024,74,17877,39879681,688,0,3.45,8,2,2,2026-03-04
GENERAL MILLS INC,410274440,40704,2040,2025,4,1392,2866632,49,0,3.42,8,10,8,2026-03-24
SENECA FOODS CORP,160733425,88948,2033,2024,18,23417,5629426,96,0,3.41,9,1,1,2026-01-29
AEHR TEST SYSTEMS,942424084,1040470,3825,2025,1,111,177485,3,0,3.38,8,31,30,2026-03-10
DARLING INGREDIENTS INC.,362495346,916540,2070,2024,69,3812,8715673,146,0,3.35,8,36,32,2026-03-10
LEGACY HOUSING CORP,202897516,1436208,2451,2024,3,463,897026,15,0,3.34,8,2,1,2026-03-10
LEGGETT & PLATT INC,440324630,58492,2510,2024,8,812,1448713,24,0,3.31,8,104,104,2026-03-23
SKECHERS USA INC,954376145,1065837,3140,2024,1,2557,4284948,71,0,3.31,8,0,0,
AVINGER INC,208873453,1506928,3841,2024,1,62,122760,2,0,3.26,8,0,0,
"BUILDERS FIRSTSOURCE, INC.",522084569,1316835,5211,2024,1047,30286,60296255,433,2,1.44,8,21,21,2026-03-17
CHURCH & DWIGHT CO INC /DE/,134996950,313927,2840,2024,6,1796,3809889,27,0,1.42,8,104,80,2026-03-25
SNAP-ON INC,390622040,91440,3420,2024,1,143,284286,2,0,1.41,8,34,34,2026-02-25
"TILRAY BRANDS, INC.",824310622,1731348,2833,2025,1,68,141440,1,0,1.41,9,1,1,2026-01-08
"W.W. GRAINGER, INC.",361150280,277135,5000,2024,192,17542,32254745,228,0,1.41,8,13,13,2026-03-25
"WOODWARD, INC.",361984010,108312,3620,2024,3,549,1000132,7,0,1.40,8,17,17,2026-03-11
SHENANDOAH TELECOMMUNICATIONS CO/VA/,541162807,354963,4813,2024,1,1066,2000223,14,0,1.40,8,62,53,2026-03-03
IONIS PHARMACEUTICALS INC,330336973,874015,2834,2024,1,576,1152000,8,0,1.39,8,56,53,2026-03-23
INTEGRA LIFESCIENCES HOLDINGS CORP,510317849,917520,3841,2024,2,546,1005787,7,0,1.39,8,11,10,2026-03-12
WHIRLPOOL CORP /DE/,381490038,106640,3630,2024,4,6479,10553903,73,0,1.38,8,18,16,2026-03-04
BELDEN INC.,363601505,913142,3357,2024,5,484,1019637,7,0,1.37,8,34,33,2026-03-11
KB HOME,953666267,795266,1531,2024,25,2255,4566570,31,0,1.36,8,10,10,2026-02-24
"RICHARDSON ELECTRONICS, LTD.",362096643,355948,5065,2025,2,249,443048,3,0,1.35,8,6,6,2026-02-23
"ONE GAS, INC.",463561936,1587732,4924,2024,82,3914,7828000,52,0,1.33,8,11,11,2026-03-10
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",331151291,1383312,7389,2025,2,666,1511474,10,0,1.32,8,21,19,2026-03-09
UNITED STATES STEEL CORP,251897152,1163302,3312,2024,15,10109,21132079,138,0,1.31,8,0,0,
"WOLFSPEED, INC.",561572719,895419,3674,2025,7,5059,8577261,56,0,1.31,8,1,0,2026-02-09
ATI INC,251792394,1018963,3317,2024,1,235,307776,2,0,1.30,8,12,11,2026-03-24
ATKORE INC.,900631463,1666138,3690,2024,2,70,154084,1,0,1.30,8,27,27,2026-03-03
"ENERGIZER HOLDINGS, INC.",364802442,1632790,3690,2024,1,74,155213,1,0,1.29,8,11,10,2026-03-03
"GLOBAL WATER RESOURCES, INC.",900632193,1434728,4941,2024,1,151,313014,2,0,1.28,8,38,37,2026-03-24
UNITED PARKS & RESORTS INC.,271220297,1564902,7990,2024,1,841,157220,1,0,1.27,8,16,16,2026-03-09
PROCEPT BIOROBOTICS CORP,260199180,1588978,3841,2024,1,676,1275526,8,0,1.25,8,12,11,2026-03-19
ORASURE TECHNOLOGIES INC,364370966,1116463,3841,2024,1,380,798686,5,0,1.25,8,8,8,2026-03-30
KENNAMETAL INC,250900168,55242,3541,2025,17,1985,3877007,24,0,1.24,8,10,10,2026-03-10
PHIBRO ANIMAL HEALTH CORP,131840497,1069899,2834,2025,5,261,322427,2,0,1.24,8,18,17,2026-03-31
FIRST INDUSTRIAL REALTY TRUST INC,363935116,921825,6798,2024,1,156,324480,2,0,1.23,8,6,6,2026-02-20
GATX CORP,361124040,40211,4700,2024,3,666,1313598,8,0,1.22,8,42,30,2026-02-25
FRANKLIN ELECTRIC CO INC,350827455,38725,3621,2024,8,1083,1960776,12,0,1.22,8,24,24,2026-03-02
PIONEER NATURAL RESOURCES CO,752702753,1038357,1311,2024,1,367,985645,6,0,1.22,6,0,0,
"ACADEMY SPORTS & OUTDOORS, INC.",851800912,1817358,5940,2024,1,692,1332495,8,0,1.20,8,19,19,2026-03-26
GREEN PLAINS INC.,841652107,1309402,2860,2024,17,999,1854138,11,0,1.19,8,18,16,2026-03-16
"IOVANCE BIOTHERAPEUTICS, INC.",753254381,1425205,2836,2024,1,335,669668,4,0,1.19,8,16,16,2026-03-11
BRISTOL MYERS SQUIBB CO,220790350,14272,2834,2024,4,859,1698180,10,0,1.18,8,32,32,2026-03-12
JONES LANG LASALLE INC,364150422,1037976,6531,2024,2,2889,7140487,42,0,1.18,8,17,17,2026-03-25
ENVIRI CORP,231483991,45876,8900,2024,13,592,1199282,7,0,1.17,8,32,30,2026-03-16
"PARAGON 28, INC.",273170186,1531978,3841,2024,1,410,852800,5,0,1.17,10,0,0,
GENTEX CORP,382030505,355811,3714,2024,13,5201,10034575,58,0,1.16,8,5,5,2026-02-19
CUMMINS INC,350257090,26172,3510,2024,6,4290,8791871,51,0,1.16,8,28,28,2026-03-04
DMC GLOBAL INC.,840608431,34067,3390,2024,1,86,174014,1,0,1.15,8,11,11,2026-03-16
BROOKDALE SENIOR LIVING INC.,203068069,1332349,8050,2024,16,652,7494038,43,0,1.15,8,16,16,2026-03-03
CHURCHILL DOWNS INC,610156015,20212,7948,2024,2,433,870585,5,0,1.15,8,18,18,2026-03-20
"ALLOGENE THERAPEUTICS, INC.",823562771,1737287,2836,2024,2,262,532294,3,0,1.13,9,11,11,2026-03-18
ENTEGRIS INC,411941551,1101302,3089,2024,7,1788,4072429,23,0,1.13,8,19,19,2026-03-05
NUVASIVE INC,330768598,1142596,3841,2023,1,216,354855,2,0,1.13,3,0,0,
