table	column	data_type	table_rows	sampled	filled	blank	null_word	number	int	int_dot_zero	leading_zero	date	date8	date8_mdy	ts	bool_tf	bool_yn	distinct_approx	max_len	min_value	max_value
FED_FEC_INDIV_CONTRIBUTIONS	INGESTED_AT	NUMBER	283771819	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	1	16	1788734846002764	1788734846002764
FED_FEC_INDIV_CONTRIBUTIONS	TRANSACTION_TP	TEXT	283771819	10000	10000	0	0	9854	9854	0	0	0	0	0	0	0	0	4	3	15	22Y
FED_FEC_INDIV_CONTRIBUTIONS	SUB_ID	TEXT	283771819	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	10109	19	3061920110006556355	3062020110012737288
FED_FEC_INDIV_CONTRIBUTIONS	ZIP_CODE	TEXT	283771819	10000	9915	85	0	9915	9915	0	2179	0	0	0	0	0	0	3232	5	00802	99540
FED_FEC_INDIV_CONTRIBUTIONS	CYCLE_FILE	TEXT	283771819	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	1	4	2000	2000
FED_FEC_INDIV_CONTRIBUTIONS	OCCUPATION	TEXT	283771819	10000	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0		
FED_FEC_INDIV_CONTRIBUTIONS	IMAGE_NUM	TEXT	283771819	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	1762	11	20020011683	99990062047
FED_FEC_INDIV_CONTRIBUTIONS	TRAN_ID	TEXT	283771819	10000	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0		
FED_FEC_INDIV_CONTRIBUTIONS	MEMO_CD	TEXT	283771819	10000	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0		
FED_FEC_INDIV_CONTRIBUTIONS	SRC_SHA256	TEXT	283771819	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	1	64	bcd566e3ada07ec1b3dbc871ffd76e7ec34b13941d642d466a2f15c47531	bcd566e3ada07ec1b3dbc871ffd76e7ec34b13941d642d466a2f15c47531
FED_FEC_INDIV_CONTRIBUTIONS	CITY	TEXT	283771819	10000	9943	57	0	0	0	0	0	0	0	0	0	0	0	1946	18	ABERDEEN	ZUMBRO FALLS
FED_FEC_INDIV_CONTRIBUTIONS	EMPLOYER	TEXT	283771819	10000	9416	584	0	0	0	0	0	0	0	0	0	0	0	4984	35	1ST BANK	usbancorp/Manager
FED_FEC_INDIV_CONTRIBUTIONS	SOURCE_RUN_ID	TEXT	283771819	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	1	36	980dac99-0d61-4cb1-b6ee-93cbc5486bdd	980dac99-0d61-4cb1-b6ee-93cbc5486bdd
FED_FEC_INDIV_CONTRIBUTIONS	STATE	TEXT	283771819	10000	9943	57	0	0	0	0	0	0	0	0	0	0	0	53	2	AK	ZZ
FED_DEA_ARCOS_FULL	BUYER_BUS_ACT	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	2	15	CHAIN PHARMACY	RETAIL PHARMACY
FED_DEA_ARCOS_FULL	BUYER_ZIP	TEXT	178598026	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	1474	5	13021	985
FED_DEA_ARCOS_FULL	INGREDIENT_NAME	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	2	39	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	OXYCODONE HYDROCHLORIDE
FED_DEA_ARCOS_FULL	DOS_STR	TEXT	178598026	10000	9982	0	18	9982	0	7399	0	0	0	0	0	0	0	12	6	10.0	80.0
FED_DEA_ARCOS_FULL	TRANSACTION_ID	TEXT	178598026	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	9482	10	1000	9975
FED_DEA_ARCOS_FULL	CALC_BASE_WT_IN_GM	TEXT	178598026	10000	10000	0	0	10000	0	0	0	0	0	0	0	0	0	129	18	0.09081	96.822
FED_DEA_ARCOS_FULL	BUYER_ADDRESS2	TEXT	178598026	10000	3170	0	6830	3	3	0	0	0	0	0	0	0	0	850	37	#100	\1500 N \"\"H\"\" ST\""
FED_DEA_ARCOS_FULL	CORRECTION_NO	TEXT	178598026	10000	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	4		
FED_DEA_ARCOS_FULL	REPORTER_ADDL_CO_INFO	TEXT	178598026	10000	55	0	9945	0	0	0	0	0	0	0	0	0	0	1	29	URB INDUST. CARTAGENA CARR #1	URB INDUST. CARTAGENA CARR #1
FED_DEA_ARCOS_FULL	REPORTER_NAME	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	6	22	AMERICAN SALES COMPANY	MCKESSON CORPORATION
FED_DEA_ARCOS_FULL	BUYER_DEA_NO	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	3150	9	AA1935773	FY2349529
FED_DEA_ARCOS_FULL	MME_CONVERSION_FACTOR	TEXT	178598026	10000	10000	0	0	10000	0	5825	0	0	0	0	0	0	0	2	3	1.0	1.5
FED_DEA_ARCOS_FULL	ORDER_FORM_NO	TEXT	178598026	10000	4175	0	5825	3139	3139	0	2066	0	0	0	0	0	0	3967	9	013383848	991099026
FED_DEA_ARCOS_FULL	BUYER_ADDL_CO_INFO	TEXT	178598026	10000	4721	0	5279	0	0	0	0	0	0	0	0	0	0	1299	60	ALI RAZA LLC	YOGIDARSHAN CORPORATION
FED_DEA_ARCOS_FULL	BUYER_CITY	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	946	22	ABINGDON	YUCCA VALLEY
FED_DEA_ARCOS_FULL	UNIT	TEXT	178598026	10000	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	4		
FED_DEA_ARCOS_FULL	NDC_NO	TEXT	178598026	10000	10000	0	0	10000	10000	0	7610	0	0	0	0	0	0	248	11	00054465025	68774016401
FED_DEA_ARCOS_FULL	COMBINED_LABELER_NAME	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	25	35	AAI Pharma	Xanodyne Pharmaceuticals, Inc.
FED_DEA_ARCOS_FULL	DOSAGE_UNIT	TEXT	178598026	10000	10000	0	0	10000	0	10000	0	0	0	0	0	0	0	40	7	100.0	900.0
FED_DEA_ARCOS_FULL	REPORTER_CITY	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	7	16	BALTIMORE	SANTA FE SPRINGS
FED_DEA_ARCOS_FULL	STRENGTH	TEXT	178598026	10000	191	0	9809	191	191	0	191	0	0	0	0	0	0	1	4	0000	0000
FED_DEA_ARCOS_FULL	REPORTER_ZIP	TEXT	178598026	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	7	5	20785	90670
FED_DEA_ARCOS_FULL	REPORTER_ADDRESS2	TEXT	178598026	10000	6949	0	3051	0	0	0	0	0	0	0	0	0	0	3	17	7721 POLK STREET	PO BOX 368
FED_DEA_ARCOS_FULL	TRANSACTION_DATE	TEXT	178598026	10000	10000	0	0	10000	10000	0	7490	0	0	10000	0	0	0	1930	8	01022007	12312012
FED_DEA_ARCOS_FULL	BUYER_COUNTY	TEXT	178598026	10000	9998	0	2	0	0	0	0	0	0	0	0	0	0	293	21	ADAMS	YORK
FED_DEA_ARCOS_FULL	PRODUCT_NAME	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	187	36	ANEXSIA.HYDROCODONE.BITARTRATE.10MG/	ZYDONE TABS;7.5MG HYDROCOD.BIT.& 400
FED_DEA_ARCOS_FULL	REPORTER_BUS_ACT	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	1	11	DISTRIBUTOR	DISTRIBUTOR
FED_DEA_ARCOS_FULL	ACTION_INDICATOR	TEXT	178598026	10000	6	0	9994	0	0	0	0	0	0	0	0	0	0	1	4	I	I
FED_DEA_ARCOS_FULL	BUYER_NAME	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	1420	68	10TH AVENUE PHARMACY	YOUR DRUG STORE INC
FED_DEA_ARCOS_FULL	DRUG_NAME	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	2	11	HYDROCODONE	OXYCODONE
FED_DEA_ARCOS_FULL	REPORTER_DEA_NO	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	7	9	PD0029567	PG0149650
FED_DEA_ARCOS_FULL	REPORTER_FAMILY	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	6	22	American Sales Company	McKesson Corporation
FED_DEA_ARCOS_FULL	MEASURE	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	1	3	TAB	TAB
FED_DEA_ARCOS_FULL	BUYER_ADDRESS1	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	2752	49	#1000 J.T. PINERO AVE.	YEP FRANK
FED_DEA_ARCOS_FULL	QUANTITY	TEXT	178598026	10000	10000	0	0	10000	0	10000	0	0	0	0	0	0	0	26	4	1.0	9.0
FED_DEA_ARCOS_FULL	REPORTER_ADDRESS1	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	7	25	160 TOWER DRIVE	KM 34.0, CAGUAS, PR
FED_DEA_ARCOS_FULL	REPORTER_STATE	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	6	2	CA	PR
FED_DEA_ARCOS_FULL	DRUG_CODE	TEXT	178598026	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	2	4	9143	9193
FED_DEA_ARCOS_FULL	BUYER_STATE	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	21	2	CA	WV
FED_DEA_ARCOS_FULL	REVISED_COMPANY_NAME	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	23	35	AAI Pharma	Xanodyne Pharmaceuticals, Inc.
FED_DEA_ARCOS_FULL	TRANSACTION_CODE	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	1	1	S	S
FED_DEA_ARCOS_FULL	REPORTER_COUNTY	TEXT	178598026	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	7	14	BALTIMORE	PRINCE GEORGES
FED_COURTLISTENER_DOCKETS	APPELLATE_FEE_STATUS	TEXT	71677647	10000	2	0	0	0	0	0	0	0	0	0	0	0	0	2	17	In Forma Pauperis	govt
FED_COURTLISTENER_DOCKETS	IDB_DATA_ID	TEXT	71677647	10000	471	0	0	471	471	0	0	0	1	0	0	0	0	474	8	17486357	25949747
FED_COURTLISTENER_DOCKETS	JURISDICTION_TYPE	TEXT	71677647	10000	542	0	0	0	0	0	0	0	0	0	0	0	0	7	25	Diversity	U.S. Government Defendant
FED_COURTLISTENER_DOCKETS	FEDERAL_DN_JUDGE_INITIALS_REFERRED	TEXT	71677647	10000	164	0	0	0	0	0	0	0	0	0	0	0	0	35	3	AEK	TAM
FED_COURTLISTENER_DOCKETS	FEDERAL_DEFENDANT_NUMBER	TEXT	71677647	10000	40	0	0	40	40	0	0	0	0	0	0	0	0	7	2	1	6
FED_COURTLISTENER_DOCKETS	DOCKET_NUMBER_SOURCE	TEXT	71677647	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	1	1	0	0
FED_COURTLISTENER_DOCKETS	DATE_FILED	TEXT	71677647	10000	9722	0	0	0	0	0	0	9722	0	0	0	0	0	3713	10	1951-10-17	2026-05-14
FED_COURTLISTENER_DOCKETS	FEDERAL_DN_JUDGE_INITIALS_ASSIGNED	TEXT	71677647	10000	514	0	1	0	0	0	0	0	0	0	0	0	0	239	4	AAQ	tmr
FED_COURTLISTENER_DOCKETS	DATE_ARGUED	TEXT	71677647	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
FED_COURTLISTENER_DOCKETS	DATE_BLOCKED	TEXT	71677647	10000	6538	0	0	0	0	0	0	6538	0	0	0	0	0	202	10	2017-02-20	2026-05-14
FED_COURTLISTENER_DOCKETS	ORIGINATING_COURT_INFORMATION_ID	TEXT	71677647	10000	102	0	0	102	102	0	0	0	0	0	0	0	0	101	6	43499	684371
FED_COURTLISTENER_DOCKETS	DATE_REARGUED	TEXT	71677647	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
FED_COURTLISTENER_DOCKETS	PARENT_DOCKET_ID	TEXT	71677647	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
FED_COURTLISTENER_DOCKETS	JURY_DEMAND	TEXT	71677647	10000	45	0	12	0	0	0	0	0	0	0	0	0	0	3	9	Both	Plaintiff
FED_COURTLISTENER_DOCKETS	REFERRED_TO_STR	TEXT	71677647	10000	283	0	0	0	0	0	0	0	0	0	0	0	0	108	30	Alma Chasez	William V. Gallo
FED_COURTLISTENER_DOCKETS	SLUG	TEXT	71677647	10000	9635	0	0	0	0	0	0	0	0	0	0	0	0	9214	74	194-stedman-street-llc	zula-m-clewis
FED_COURTLISTENER_DOCKETS	ASSIGNED_TO_STR	TEXT	71677647	10000	7024	0	0	0	0	0	0	0	0	0	0	0	0	906	27	A Jay Cristol	xW. Donald xBoe Jr.
FED_COURTLISTENER_DOCKETS	ID	TEXT	71677647	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	10271	8	10269800	9627634
FED_COURTLISTENER_DOCKETS	APPELLATE_CASE_TYPE_INFORMATION	TEXT	71677647	10000	2	0	0	0	0	0	0	0	0	0	0	0	0	2	31	Civil, United States as a party	Criminal, Direct Criminal
FED_COURTLISTENER_DOCKETS	FILEPATH_IA	TEXT	71677647	10000	1	0	0	0	0	0	0	0	0	0	0	0	0	1	93	https://www.archive.org/download/gov.uscourts.wawb.618496/go	https://www.archive.org/download/gov.uscourts.wawb.618496/go
FED_COURTLISTENER_DOCKETS	IA_NEEDS_UPLOAD	TEXT	71677647	10000	9695	0	0	0	0	0	0	0	0	0	0	0	0	2	1	f	t
FED_COURTLISTENER_DOCKETS	DOCKET_NUMBER_CORE	TEXT	71677647	10000	9360	0	0	9260	9260	0	2595	0	4	88	0	0	0	9289	11	0000002	pd070722
FED_COURTLISTENER_DOCKETS	DATE_REARGUMENT_DENIED	TEXT	71677647	10000	6	0	0	0	0	0	0	6	0	0	0	0	0	6	10	1947-11-03	2002-09-06
FED_COURTLISTENER_DOCKETS	CASE_NAME_FULL	TEXT	71677647	10000	218	0	0	0	0	0	0	0	0	0	0	0	0	217	229	AMERICAN FEDERATION OF SMELTER WORKERS, etc. v. KYRK	ZAFAR, GHUFRAN
FED_COURTLISTENER_DOCKETS	ASSIGNED_TO_ID	TEXT	71677647	10000	5164	0	0	5164	5164	0	0	0	0	0	0	0	0	666	5	10000	9994
FED_COURTLISTENER_DOCKETS	VIEW_COUNT	TEXT	71677647	10000	10000	0	0	10000	10000	0	0	0	0	0	0	0	0	19	3	0	9
FED_COURTLISTENER_DOCKETS	DOCKET_NUMBER_RAW	TEXT	71677647	10000	9876	0	0	26	26	0	1	0	0	0	0	0	0	10084	28	00-00340	W2010-00165-COA-R3-CV
FED_COURTLISTENER_DOCKETS	MDL_STATUS	TEXT	71677647	10000	1	0	0	0	0	0	0	0	0	0	0	0	0	1	11	Transferred	Transferred
