schema,table,rows,description
HEALTH,HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS,6637,"Doctors and practices signed up for CMS's new Ambulatory Specialty Model Medicare payment program, showing which years (2027-2031) they're set to participate and whether they count as a small practice."
HEALTH,HEALTH__FED_CMS_DIALYSIS,7557,"Every Medicare-certified dialysis clinic -- address, ownership, size -- plus its star rating and detailed patient outcome stats (death rate, hospital readmission, infections, transplant waitlist, blood test results)."
HEALTH,HEALTH__FED_CMS_FACILITY_AFFILIATION,2260193,"Links doctors (by their national provider ID number) to the hospitals, nursing homes, and other facilities they're affiliated with."
HEALTH,HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY,31403215,"For every nursing home, how residents answered each standardized care-assessment question -- what share gave each response, split by short-stay vs long-stay residents."
HEALTH,HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS,11063,"Medicare enrollment records for Federally Qualified Health Centers (community health clinics) -- organization name, address, incorporation details, and ID numbers."
HEALTH,HEALTH__FED_CMS_FISCAL_INTERMEDIARY_SHARED_SYSTEM_ATTENDING_AND_RENDERING,2047828,A name lookup list -- doctor's national ID number matched to first and last name -- pulled from Medicare's claims-processing system.
HEALTH,HEALTH__FED_CMS_HCRIS,80077,"Hospital financial cost reports filed with Medicare -- beds, patient days, revenue, expenses, assets, charity care, and profit margin, one row per hospital per fiscal year."
HEALTH,HEALTH__FED_CMS_HCRIS__PREV_20260906,6103,"An earlier saved snapshot of the hospital cost report table above (HCRIS), kept from before the newest reload."
HEALTH,HEALTH__FED_CMS_HOME_HEALTH,12392,"Every Medicare-certified home health agency -- address, services offered -- plus its quality star rating and detailed care-outcome measures (how often patients improved at walking, bathing, taking medication correctly, etc)."
HEALTH,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS,11508,"Medicare enrollment records for home health agencies -- organization name, address, incorporation details, and ID numbers."
HEALTH,HEALTH__FED_CMS_HOME_HEALTH_OWNERS,101188,"Who owns each home health agency -- individual or company owners, their address, ownership percentage, and what kind of entity they are (private equity, LLC, nonprofit, REIT, etc)."
HEALTH,HEALTH__FED_CMS_HOSPICE,6852,"Directory of Medicare-certified hospice providers -- name, address, ownership type, and certification date."
HEALTH,HEALTH__FED_CMS_HOSPITAL_COMPARE,5432,"CMS Hospital Compare quality ratings -- one row per hospital with its overall star rating and how it scores on mortality, safety, readmissions, patient experience, and timely/effective care compared to national averages."
HEALTH,HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS,9175,"Medicare enrollment records for hospitals -- organization name, address, what type of hospital it is (acute care, psychiatric, children's, rehab, etc), and whether it converted to a Rural Emergency Hospital."
HEALTH,HEALTH__FED_CMS_HOSPITAL_GENERAL,5432,"Same CMS Hospital Compare quality star ratings as the other hospital-ratings table -- overall rating plus mortality, safety, readmission, and patient-experience scores per hospital."
HEALTH,HEALTH__FED_CMS_IRF,1222,"Directory of Medicare-certified inpatient rehabilitation facilities -- name, address, ownership type, and certification date."
HEALTH,HEALTH__FED_CMS_LTCH,311,"Directory of Medicare-certified long-term care hospitals -- name, address, ownership type, certification date, and bed count."
HEALTH,HEALTH__FED_CMS_MAIN,158,"A catalog of datasets published by CMS (Medicare/Medicaid) -- title, publisher, description, update frequency, and where to download each one."
HEALTH,HEALTH__FED_CMS_MARKETPLACE_PLAN_ATTRIBUTES_PUF,22059,"Detailed benefit design for every ACA health insurance marketplace plan -- deductibles, copays, coinsurance, and out-of-pocket maximums for medical and drug coverage, plus plan type and metal level (bronze/silver/gold)."
HEALTH,HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM,1037,"Organizations approved to run Medicare's Diabetes Prevention Program -- name, location, and category."
HEALTH,HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES,12456456,"Every dialysis clinic's quality measure scores, one row per clinic per measure per year -- a long, stacked version of the dialysis facility ratings, which is why the row count is so large."
HEALTH,HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER,381228,"For each doctor who referred patients for medical equipment (wheelchairs, oxygen, supplies), how many suppliers filled those orders, what Medicare paid, and the referred patients' age/sex/race mix and chronic conditions."
HEALTH,HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,440670,"For each medical-equipment supplier and each item or service code they billed, how many patients and claims, and what Medicare was charged versus what it paid."
HEALTH,HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER,3044,"Each hospital's total inpatient Medicare business for the year -- patients treated, discharges, what was billed vs. paid, and the patient mix by age, race, sex, and chronic condition."
HEALTH,HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,145879,"Same hospital inpatient Medicare billing as the provider-level table, but broken out by diagnosis category (DRG) -- discharges and average charges/payments per diagnosis, per hospital."
HEALTH,HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,116182,"Hospital outpatient Medicare billing broken out by procedure category (APC) -- patient counts, services performed, and average charges/payments, per hospital."
HEALTH,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER,1296739,"Each doctor or other Medicare provider's total yearly Medicare billing -- patients seen, services performed, and what was charged vs. paid, split into drug costs and medical costs, plus the patient mix by age, race, sex, and chronic conditions."
HEALTH,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,9781673,"Same doctor-level Medicare billing as the provider-level table, but broken out by individual procedure/service code -- how many patients and services, and average charge vs. payment, per doctor per code."
HEALTH,HEALTH__FED_CMS_MEDICARE_PROVIDER,1296739,"Same doctor-level total yearly Medicare billing summary as the 'by provider' physician table, keyed by national provider ID."
HEALTH,HEALTH__FED_CMS_NADAC,359514,"Medicaid's benchmark retail drug prices -- what pharmacies pay per unit for each drug, by effective date, including a brand-vs-generic price comparison."
HEALTH,HEALTH__FED_CMS_NPPES,9606683,"The full national registry of every doctor, nurse, clinic, and healthcare organization with a National Provider Identifier (NPI) -- legal name, business and practice addresses, specialty codes, and license numbers."
HEALTH,HEALTH__FED_CMS_NURSING_HOME,14700,"Every Medicare/Medicaid-certified nursing home -- address, ownership, chain -- with its star rating, staffing hours, health inspection results, and fines."
HEALTH,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,418479,"Individual health-inspection citations (deficiencies) issued to nursing homes -- what rule was violated, how severe, and whether it was corrected."
HEALTH,HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES,200030,"Individual fire-safety inspection citations issued to nursing homes -- what rule was violated, how severe, and whether it was corrected."
HEALTH,HEALTH__FED_CMS_NURSING_HOME_PENALTIES,16180,"Financial penalties against nursing homes -- fine amounts and any Medicare payment-denial periods, by date."
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS,15385047,"Payments (money, meals, travel, gifts) that drug and device companies reported giving to individual doctors and teaching hospitals -- who paid whom, how much, and why."
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2022,13306564,"Same drug/device-company payments to doctors and teaching hospitals as the main Open Payments table, filtered to the 2022 program year."
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_2023,14700786,"Same drug/device-company payments to doctors and teaching hospitals as the main Open Payments table, filtered to the 2023 program year."
HEALTH,HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT,1697025,"The doctor roster behind Open Payments -- one row per doctor or practitioner profile with name, address, specialty, and license info, matched to their national provider ID so payment records can be tied to a real person."
HEALTH,HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS,1558,"Directory of Medicare-enrolled opioid treatment programs -- clinic name, address, phone, and when their Medicare enrollment took effect."
HEALTH,HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS,57209,"Doctors who formally opted out of billing Medicare -- name, specialty, address, and the dates their opt-out is in effect."
HEALTH,HEALTH__FED_CMS_ORDER_AND_REFERRING,2018354,"Doctors who are eligible to order or refer Medicare services -- flagged by which service types they can order (Part B, medical equipment, home health, hospice, etc)."
HEALTH,HEALTH__FED_CMS_PARTD_PRESCRIBERS,25869521,"Each doctor's Medicare Part D prescriptions broken out by drug -- how many claims, total cost, and how many patients, split out for patients 65 and older."
HEALTH,HEALTH__FED_CMS_PART_D_PRESCRIBERS,1416883,"Each doctor's total yearly Medicare Part D prescribing -- claims, drug cost, brand vs generic split, opioid and antipsychotic prescribing rates, and the patient mix by age, race, sex, and chronic conditions."
HEALTH,HEALTH__FED_CMS_PECOS_PROVIDER_ENROLLMENT,2978925,"Medicare provider enrollment records from CMS's PECOS system -- each doctor or organization's enrollment ID, provider type, and state."
HEALTH,HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS,6880,Non-physician providers (like nurse practitioners) whose Medicare enrollment application is still pending -- just their name and national ID number.
HEALTH,HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS,7240,Physicians whose Medicare enrollment application is still pending -- just their name and national ID number.
HEALTH,HEALTH__FED_CMS_POS_OTHER,44429,"CMS's master facility-characteristics file -- for hospitals, nursing homes, and other Medicare-certified facilities: what services they offer, staffing counts, bed counts by type, and certification/ownership-change history."
HEALTH,HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,503917,"Each doctor's Medicare quality-scoring results (MIPS) -- final score, resulting payment adjustment, and detailed scores for quality, cost, technology use, and improvement activities."
HEALTH,HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS,5530,"Medicare enrollment records for rural health clinics -- organization name, address, incorporation details, and ID numbers."
HEALTH,HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,14425,"Medicare enrollment records for skilled nursing facilities -- organization name, affiliated entity, address, incorporation details, and ID numbers."
HEALTH,HEALTH__FED_DEA_ARCOS,178598026,"Every reported shipment of a controlled substance (like opioids) from a distributor to a buyer -- who sent it, who received it, which drug, how much, and its morphine-equivalent dose. This is the huge DEA pill-tracking dataset."
HEALTH,HEALTH__FED_FDA_CAERS,85511,"FDA reports of adverse reactions to foods, cosmetics, and dietary supplements -- what product, what reaction, and the outcome."
HEALTH,HEALTH__FED_FDA_DEVICE_510K,175686,"FDA clearances for medical devices under the fast-track 510(k) process -- device name, maker, product code, and the clearance decision and date."
HEALTH,HEALTH__FED_FDA_DEVICE_CLASSIFICATION,7087,"FDA's classification list of medical device types -- device name, risk class (I/II/III), medical specialty, and whether it's an implant or life-sustaining device."
HEALTH,HEALTH__FED_FDA_DEVICE_ENFORCEMENT,39635,"Medical device recalls -- which company recalled what, why, how serious the recall was classified, and the recall's status and dates."
HEALTH,HEALTH__FED_FDA_DEVICE_PMA,56853,"FDA's highest-scrutiny medical device approvals (Premarket Approval) and their supplements -- device name, maker, product code, and approval decision and date."
HEALTH,HEALTH__FED_FDA_DRUG_ENFORCEMENT,17876,"Drug recalls -- which company recalled what drug, why, how serious the recall was classified, and the recall's status and dates."
HEALTH,HEALTH__FED_FDA_DRUG_MASTER_FILES,41253,"FDA's registry of Drug Master Files -- confidential technical filings by companies about a drug ingredient or manufacturing process, with holder company, subject, and filing date."
HEALTH,HEALTH__FED_FDA_ESTABLISHMENT_REG,263374,"FDA registrations of medical device manufacturing and distribution facilities -- company name, address, what type of establishment it is, and which devices it's linked to."
HEALTH,HEALTH__FED_FDA_FAERS_DEMO,5811086,"One row per FDA drug side-effect report with the patient's age, sex, country, and report dates -- the demographic backbone of the adverse-event database."
HEALTH,HEALTH__FED_FDA_FAERS_INDI,9833260,"For each FDA drug side-effect report, which medical condition the drug was being taken for."
HEALTH,HEALTH__FED_FDA_FAERS_OUTC,5147466,"For each FDA drug side-effect report, what happened to the patient (outcome -- like hospitalization, disability, or death)."
HEALTH,HEALTH__FED_FDA_GUDID,5083948,"FDA's registry of medical devices with a Unique Device Identifier -- brand name, maker, model/catalog number, description, and whether it's still being sold."
HEALTH,HEALTH__FED_FDA_GUDID__STAGING,1329,"A raw, unprocessed staging copy of incoming FDA device-registry data, not yet cleaned into the device-registry table above."
HEALTH,HEALTH__FED_FDA_MAUDE,2743561,"FDA reports of medical devices linked to injuries, deaths, or malfunctions -- device, maker, and event dates, covering 2020 onward out of the full 1993-2026 history."
HEALTH,HEALTH__FED_FDA_PURPLE_BOOK,2228,"FDA's list of licensed biologic drugs (like vaccines and gene therapies) -- applicant company, product name, approval dates, and exclusivity/patent status, as of the June 2026 monthly update."
HEALTH,HEALTH__FED_FDA_UNII_GSRS_SUBSTANCES,168046,FDA's master list of drug and chemical substance codes with matching ID numbers from other chemical databases -- a lookup table for connecting the same substance across different data sources.
HEALTH,HEALTH__FED_HHS_OIG_LEIE,83747,"People and businesses banned from billing Medicare or Medicaid -- their name, specialty, why they were excluded, the exclusion date, and whether they've since been reinstated."
HEALTH,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE,79158,"Areas officially designated as short on primary-care doctors (Health Professional Shortage Areas) -- location, shortage score, population served, and how badly understaffed it is."
HEALTH,HEALTH__FED_HRSA_NPDB,1911185,"Malpractice payments and license/disciplinary actions reported against healthcare practitioners -- allegation type, outcome, payment amount, and the practitioner's state, age, and specialty. Names are not included; this is the de-identified public file."
HEALTH,HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND,419846,"COVID-era Provider Relief Fund payments -- which healthcare provider got how much money, and where they're located."
HEALTH,HEALTH__FED_HRSA_SHORTAGE_AREAS,165531,"The full list of federally-designated health professional shortage areas (all disciplines -- primary care, dental, mental health) -- location, shortage score, population, and designation status."
HEALTH,HEALTH__FED_HRSA_SHORTAGE_AREAS__PREV_20260907,165531,"An earlier saved snapshot of the health-professional-shortage-area table above, kept from before the newest reload."
HEALTH,HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO,1356,"Directory of federally-funded community health centers -- name, address, program director contact info, funding source, and urban/rural status."
HEALTH,HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES,19038,"Every physical clinic location run by a federally-funded community health center -- address, national provider ID, Medicare billing number, hours, site type, and which parent health center it belongs to."
HEALTH,HEALTH__FED_HRSA_UDS_TABLE3A_PATIENTS,1356,"Patient headcounts by age and sex for each federally-funded community health center, from their annual report."
HEALTH,HEALTH__FED_IHS_FACILITIES,1006,"Indian Health Service, tribal, and urban Indian health facilities -- name, address, services offered (behavioral health, dental, pharmacy), bed count, and who operates and owns it, as of June 2023."
HEALTH,HEALTH__FED_IHS_SCB_FACILITY,8733,"A broader Indian Health Service facility code list -- facility name, area, service unit, type, bed count, and whether it's IHS-run, tribal, or urban."
HEALTH,HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP,158452,"A lookup table matching each drug label's unique ID (from the National Library of Medicine's DailyMed) to its label file name, upload date, and title."
HEALTH,HEALTH__FED_NURSINGHOME411,14713,"Nursing home directory and star ratings, built separately from CMS's own table -- staffing levels vs. what's expected, complaints, fines, and geographic coordinates."
HEALTH,HEALTH__FED_VA_ALLCAUSE_MORTALITY,2808,"Leading causes of death among U.S. veterans, 2018-2023 -- death counts, rates, and years of life lost, broken out by veteran group and sex."
HEALTH,HEALTH__FED_VA_SUICIDE_APPENDIX,144,"A raw, not-yet-cleaned-up appendix table of veteran suicide death rates by sex, 2001-2023 -- the column headers weren't parsed, so columns are just numbered."
HEALTH,HEALTH__FED_VA_SUICIDE_NATIONAL,690,"National veteran suicide counts and rates per 100,000 people, by year, veteran group, and age group, with separate numbers for men and women."
HEALTH,HEALTH__FED_VA_SUICIDE_STATE,1196,"Veteran suicide counts and rates per 100,000 people by state and year, compared against the general population's suicide rate."
HEALTH,HEALTH__FQHC_SITE_PEOPLE,239265,"Individual doctors and clinicians matched to the community health center site where they work, cross-checked against the Medicare exclusion and opt-out lists to flag anyone banned or opted out."
HEALTH,HEALTH__HOSPITAL_OFFICER_PAY,526374,"Executive and board pay at nonprofit hospitals, pulled from their tax filings (Form 990) -- each named officer or trustee, their title, hours worked, and total compensation, plus the hospital's total assets and revenue."
HEALTH,HEALTH__INTL_HEALTHCANADA_DPD_DRUG,13383,"Health Canada's drug product registry -- one row per approved drug product with its Canadian drug ID number, brand name, and drug class."
HEALTH,HEALTH__NURSING_HOME_RELIEF_BY_CHAIN,617,"COVID relief money matched up to nursing home chains -- how many of each chain's homes were matched, how much relief money they got, and the chain's average quality rating and fines. Built by combining nursing home rosters with the relief-payment table."
HEALTH,HEALTH__PHARMA_MEAL_CAP_FINGERPRINT,2469,A built analysis flagging drug and device companies whose meal payments to doctors cluster suspiciously just under the $125 reporting threshold -- a sign payments may be kept low on purpose to dodge scrutiny.
HEALTH,HEALTH__SAM_EXCLUDED_PROVIDERS,16144,"People and companies barred from federal contracts or grants (the SAM.gov exclusion list), matched where possible to a healthcare provider's national ID number and name."
HEALTH,HEALTH__ST_OEHHA_PROPOSITION_65_LIST,952,"California's official list of chemicals known to cause cancer or reproductive harm (Prop 65) -- chemical name, registry number, type of harm, and the date it was added to the list."
HEALTH,HEALTH__XC_GUTTMACHER_MONTHLY_ABORTION,2040,"Monthly estimated abortion counts by state, with a low-high range, from the Guttmacher Institute's tracking research."
HEALTH,HEALTH__XC_OWID_LIFE_EXPECTANCY,21565,"Life expectancy at birth by country and year, from Our World in Data."
POLITICS,POLITICS__BILLS,36465,"Every bill introduced in Congress -- its sponsor, title, how far it got, whether it became law, and how many members signed on."
POLITICS,POLITICS__BILL_COSPONSORS,367735,"One row per lawmaker who co-sponsored a bill in Congress -- their name, party, state, and when they signed on or withdrew."
POLITICS,POLITICS__CA_LOBBY_AMENDMENTS,25249,"California lobbying registration paperwork amendments -- lobbyists, employers, and firms added or dropped from a filing."
POLITICS,POLITICS__CA_LOBBY_CHG_LOG,85765,"A change log of edits made to California lobbying registration filings -- who or what changed, and when."
POLITICS,POLITICS__CA_LOBBY_CONTRIBUTIONS,6505,"California-registered lobbyists' reported campaign contributions -- who gave, to which candidate, and how much."
POLITICS,POLITICS__CA_LOBBY_COVER,524828,"Cover pages of California lobbying disclosure filings -- who filed, which firm, filing dates, and a summary of the lobbying activity."
POLITICS,POLITICS__CA_LOBBY_COVER2,206493,Line-item people and firms named on California lobbying disclosure cover pages -- one row per entity listed on a filing.
POLITICS,POLITICS__CA_LOBBY_EMPLOYER,1730,"California lobbying-employer spending totals per legislative session -- how much each employer paid for lobbying, quarter by quarter."
POLITICS,POLITICS__CA_LOBBY_EMPLOYER_FIRMS,524,"Which California lobbying firms were hired by which employers, and when that engagement ended."
POLITICS,POLITICS__CA_LOBBY_EMP_LOBBYIST,1500,"Roster of in-house lobbyists employed directly by California companies or organizations, by legislative session."
POLITICS,POLITICS__CA_LOBBY_FIRM,256,"California lobbying-firm spending totals per legislative session -- how much each firm billed, quarter by quarter."
POLITICS,POLITICS__CA_LOBBY_FIRM_EMPLOYER,170,Billing line items from California lobbying firms to the employers (clients) that hired them.
POLITICS,POLITICS__CA_LOBBY_FIRM_LOBBYIST,577,"Roster of lobbyists working for California lobbying firms, by legislative session."
POLITICS,POLITICS__FEC_CANDIDATE,17900,"Federal Election Commission list of candidates for president, Senate, and House -- name, party, office sought, and status, by election cycle."
POLITICS,POLITICS__FEC_CANDIDATE_SUMMARY,7933,"Money totals for federal candidates -- what they raised, spent, and had left in the bank, by election cycle. The only dollar-amount table for candidates in this batch."
POLITICS,POLITICS__FEC_CAND_CMTE_LINK,16229,Links each federal candidate to the campaign committees authorized to raise and spend money on their behalf.
POLITICS,POLITICS__FEC_COMMITTEE,40945,"Federal Election Commission registry of political committees (PACs, campaign committees, parties) -- name, treasurer, address, type, and party affiliation, by election cycle."
POLITICS,POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,26970,"Which members of Congress sat on which committees and subcommittees, snapshotted over time, with their rank and title on the committee."
POLITICS,POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP__PREV_20260906,3879,"An earlier saved snapshot (Sept 6, 2026) of Congress committee membership -- same information as the current committee-membership table, kept for comparison."
POLITICS,POLITICS__FED_CONGRESS_LEGISLATORS,12767,"Master roster of members of Congress -- name, birthday, party, state, district, and term dates, plus their ID numbers across a dozen other political databases."
POLITICS,POLITICS__FED_DOJ_EPSTEIN_LIBRARY,777,"Links scraped from the Department of Justice's Epstein-files document library web page -- the link text and the file it points to, not the documents themselves."
POLITICS,POLITICS__FED_EAC_EAVS,6460,"Election Assistance Commission's national survey of how each local election jurisdiction runs elections -- voter registration, mail ballots, polling places, and more, one row per county or jurisdiction. Column names are the survey's own lettered question codes, not decoded here."
POLITICS,POLITICS__FED_FCC_LICENSING,1689338,"FCC radio license records -- who holds each license (call sign), what type of radio service, license status and dates, and the licensee's name and address."
POLITICS,POLITICS__FED_FEC_API,500,"A 500-row test sample pulled from the FEC's live contributions website feed -- individual donor names, employer, amount, and date. Not the full data, a sample for checking shape only."
POLITICS,POLITICS__FED_FEC_PAC_SUMMARY,45709,"Money totals for federal PACs and committees -- total raised, spent, individual vs PAC contributions, and cash on hand, by committee."
POLITICS,POLITICS__FED_FJC_JUDGES,4067,"Biographical and career file on every federal judge -- birth/death info, law school, and up to six court appointments each with nomination, confirmation, and Senate-vote dates. From the Federal Judicial Center's judges database."
POLITICS,POLITICS__FED_FJC_SERVICE,4766,"One row per federal judge per court appointment -- nomination date, confirming Senate vote, and term dates on that specific court."
POLITICS,POLITICS__FED_GOVINFO_BILLSTATUS,107150,"Every bill in Congress with its current status -- sponsor, title, whether it became law, and its most recent action, sourced from the government's official bill-status feed."
POLITICS,POLITICS__FED_GOVINFO_BILLSTATUS__PREV_20260907,107150,"An earlier saved snapshot (Sept 7, 2026) of the government bill-status table -- same information as the current table, kept for comparison."
POLITICS,POLITICS__FED_GOVINFO_BILL_COSPONSORS,1268519,"Every lawmaker who co-sponsored a bill in Congress, from the government's official bill feed -- name, party, state, and when they joined or withdrew."
POLITICS,POLITICS__FED_MEDSL_HOUSE_RETURNS,29636,"US House election results by candidate -- votes received, vote share, and whether it was a special or runoff election, from the MIT Election Data and Science Lab."
POLITICS,POLITICS__FED_MEDSL_PRESIDENT_RETURNS,3740,"Presidential election results by candidate and state -- votes received and vote share, from the MIT Election Data and Science Lab."
POLITICS,POLITICS__FED_MEDSL_SENATE_RETURNS,3945,"US Senate election results by candidate -- votes received, vote share, and whether it was a special election, from the MIT Election Data and Science Lab."
POLITICS,POLITICS__FED_SENATE_EFD_FILINGS,799,"Index of financial disclosure reports filed by US Senators -- filer name, report title, filing type, and a link to the filed document."
POLITICS,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,140463,"Federal lobbying disclosures filed with the Senate -- which lobbyist worked for which client, on what issue, and whether they previously held a covered government position."
POLITICS,POLITICS__FED_VOTEVIEW_MEMBERS,51061,"Every member of Congress in every Congress, with their ideology score -- a statistical left-right rating built from their votes."
POLITICS,POLITICS__FED_VOTEVIEW_ROLLCALL_META,113512,"Metadata on every roll-call vote taken in Congress -- date, yea/nay counts, the bill it was on, and the vote's result and description."
POLITICS,POLITICS__FJC_APPOINTMENT,4766,"One row per federal judge per court appointment -- nominating president, confirmation vote, and whether they served as chief judge. A cleaned-up version of the Federal Judicial Center's service records."
POLITICS,POLITICS__FJC_JUDGE,4067,"Slimmer roster of federal judges -- name, birth/death year, gender, and race or ethnicity. A cleaned-up version of the Federal Judicial Center's judges table."
POLITICS,POLITICS__FJC_SCOTUS_CROSSWALK,40,Matches Supreme Court justices to their Federal Judicial Center judge record -- lets you connect Supreme Court data to the broader federal judges database.
POLITICS,POLITICS__INTL_ELECTIONS_CANADA_CONTRIBUTIONS,12646465,"Every political contribution reported to Elections Canada -- who gave, to which party, candidate, or committee, how much, and when. Over 12.6 million reported contribution lines."
POLITICS,POLITICS__INTL_FREEDOMHOUSE,2723,"Freedom House's annual 'Freedom in the World' scores for every country and territory -- political-rights and civil-liberties ratings, broken into their component sub-scores."
POLITICS,POLITICS__INTL_OWID_MILSPEND,9112,"Military spending by country and year, from Our World in Data."
POLITICS,POLITICS__INTL_VOETEN_UNGA_VOTES,1823352,"How closely pairs of countries voted together in the UN General Assembly each year, plus each country's estimated ideological position from its voting record."
POLITICS,POLITICS__IRS527_8871_ORGS,77591,"IRS registration filings for section 527 political nonprofits (so-called dark-money groups) -- organization name, address, and who runs it."
POLITICS,POLITICS__IRS527_8872_REPORTS,55579,"Periodic contribution and spending reports filed by section 527 political nonprofits -- totals given and spent, by reporting period."
POLITICS,POLITICS__IRS527_DIRECTORS_OFFICERS,189593,Directors and officers listed on section 527 political nonprofit registration filings -- one row per named person per filing.
POLITICS,POLITICS__IRS527_EAIN,17853,"Election-authority ID numbers that section 527 political nonprofits registered with in each state, from their IRS filings."
POLITICS,POLITICS__IRS527_RELATED_ENTITIES,64835,Other organizations that section 527 political nonprofits declared as related entities on their IRS registration filings.
POLITICS,POLITICS__JCS_MEDIANS,102,"The estimated ideological midpoint of the House, Senate, and Supreme Court for each year -- lets you compare how far apart the branches of government sit."
POLITICS,POLITICS__JUDGE_IDEOLOGY_COA,703,"Ideology scores for federal appeals-court (circuit court) judges, one score per judge per circuit."
POLITICS,POLITICS__JUDGE_IDEOLOGY_SCOTUS,782,"Ideology scores for Supreme Court justices, one score per justice per term."
POLITICS,POLITICS__MEMBER_BILL_RECORD,1104,"Each member of Congress's bill-sponsoring track record -- how many bills they sponsored, how many became law, and their advancement and enactment rates."
