schema	table	column	key	rows	filled	pct_filled	distinct
EDUCATION	EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS	ADVERTISER_NAME	ORG_NAME	1562870	1562870	100.0	20645
ENVIRONMENT	ENVIRONMENT__FED_EPA_SDWA_SDWA_FACILITIES	FACILITY_ID	ORG_NAME	1554832	1554832	100.0	229338
JUSTICE	JUSTICE__INTL_OPENSANCTIONS_DEFAULT	NAME	ORG_NAME	1281846	1281846	100.0	1226717
REFERENCE	REFERENCE__FED_USGS_GNIS_ALL_NAMES	NAME_CITATION_ID	ORG_NAME	1249624	1249624	100.0	1244842
REFERENCE	REFERENCE__FED_ITIS_LONGNAMES	COMPLETE_NAME	ORG_NAME	993346	993346	100.0	978034
REFERENCE	REFERENCE__FED_ITIS_TAXONOMIC_UNITS	NAME_USAGE	ORG_NAME	993346	993346	100.0	4
ECONOMICS	ECONOMICS__FED_SBA_PPP_LOANS_150K_PLUS	BORROWERNAME	ORG_NAME	968524	968520	100.0	849018
CORPORATE_REGISTRY	CORPORATE_REGISTRY__INTL_IE_CRO	COMPANY_NAME	ORG_NAME	821693	821693	100.0	828743
CORPORATE_REGISTRY	CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES	NAME	ORG_NAME	814344	814315	100.0	780471
CORPORATE_REGISTRY	CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS	NAME	ORG_NAME	771315	771250	100.0	541190
EDUCATION	EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_GEO_SPEND	ADVERTISER_NAME	ORG_NAME	614078	614078	100.0	15585
POLITICS	POLITICS__CA_LOBBY_COVER	FIRM_NAME	ORG_NAME	568988	371270	65.3	18690
FINANCE	FINANCE__FED_FATCA_FFI	INSTITUTION_NAME	ORG_NAME	516298	516298	100.0	499767
ENVIRONMENT	ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_TITLEV_CERTS	FACILITY_RPT_DEVIATION_FLAG	ORG_NAME	499113	215837	43.2	2
ENVIRONMENT	ENVIRONMENT__FED_EPA_RCRA_RCRA_NAICS	FACILITY_NAICS_ID	ORG_NAME	434734	434734	100.0	433713
CORPORATE_REGISTRY	CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES	NAME	ORG_NAME	402246	223377	55.5	219813
JUSTICE	JUSTICE__INTL_UCDP_GED	CONFLICT_NAME	ORG_NAME	385918	385918	100.0	1520
ENVIRONMENT	ENVIRONMENT__FED_EPA_GHGRP_EMISSION	FACILITY_ID	ORG_NAME	346683	346683	100.0	10910
EDUCATION	EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND	ADVERTISER_NAME	ORG_NAME	298884	298884	100.0	20645
POLITICS	POLITICS__TX_LOBBY_COVER	FILER_NAME	ORG_NAME	283803	283803	100.0	12447
ENVIRONMENT	ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST	STATE_NAME	ORG_NAME	248835	248835	100.0	26
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	MFG_NAME	ORG_NAME	241861	241861	100.0	1914
JUSTICE	JUSTICE__INTL_HUDOC	PERSON_NAME	ORG_NAME	211778	211778	100.0	129816
POLITICS	POLITICS__TX_LOBBY_SUBJECT_MATTER	FILERNAME	ORG_NAME	209957	209957	100.0	2926
HOUSING	HOUSING__FED_FHFA_HPI	PLACE_NAME	ORG_NAME	184807	184807	100.0	478
REFERENCE	REFERENCE__FED_ITIS_VERNACULARS	VERNACULAR_NAME	ORG_NAME	166778	166778	100.0	140438
REFERENCE	REFERENCE__CALENDAR	DAY_NAME	ORG_NAME	155593	155593	100.0	7
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	MFR_NAME	ORG_NAME	154380	153022	99.1	591
POLITICS	POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS	REGISTRANT_NAME	ORG_NAME	140463	140463	100.0	4373
REFERENCE	REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS	DISPLAY_NAME	ORG_NAME	135710	135710	100.0	132968
PROCUREMENT	PROCUREMENT__INTL_EC_SERCOP	BUYER_NAME	ORG_NAME	132995	132995	100.0	3136
HEALTH	HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	NAME	ORG_NAME	132000	132000	100.0	1917
OPEN_DATA	OPEN_DATA__INTL_FR_DATA_GOUV	ORGANIZATION_NAME	ORG_NAME	130431	123793	94.9	3898
JUSTICE	JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS	CASE_NAME	ORG_NAME	102649	102648	100.0	91839
HEALTH	HEALTH__FED_FDA_CAERS	PRODUCT_BRAND_NAME	ORG_NAME	85511	0	0.0	0
JUSTICE	JUSTICE__INTL_OPENSANCTIONS	NAME	ORG_NAME	71011	71011	100.0	67781
FINANCE	FINANCE__INTL_WB_IDS	COUNTRY_NAME	ORG_NAME	62983	62980	100.0	135
IMMIGRATION	IMMIGRATION__FED_DHS_OHSS	TABLE_NAME	ORG_NAME	50740	0	0.0	0
REFERENCE	REFERENCE__XC_CROSSREF_FUNDER_REGISTRY	FUNDER_NAME	ORG_NAME	45661	45661	100.0	44910
JUSTICE	JUSTICE__INTL_EU_SANCTIONS	NAAL_LASTNAME	ORG_NAME	42347	8400	19.8	6191
JUSTICE	JUSTICE__FED_COURTLISTENER_DISCLOSURE_POSITIONS	ORGANIZATION_NAME	ORG_NAME	37050	36282	97.9	13407
HISTORY	HISTORY__FED_SLAVEVOYAGES_TRANSATLANTIC	SHIPNAME	ORG_NAME	36108	34472	95.5	9275
CORE	DIM_DATE	MONTH_NAME	ORG_NAME	31411	31411	100.0	12
REFERENCE	REFERENCE__FED_ITIS_PUBLICATIONS	PUBLICATION_NAME	ORG_NAME	30772	30772	100.0	26156
JUSTICE	JUSTICE__XC_RANSOMWARELIVE_VICTIMS	GROUP_NAME	ORG_NAME	30661	30661	100.0	354
CORPORATE_REGISTRY	CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES	NAME	ORG_NAME	26768	26767	100.0	26041
JUSTICE	JUSTICE__FED_CONSOLIDATED_SCREENING_LIST	NAME	ORG_NAME	25988	25988	100.0	25777
POLITICS	POLITICS__CA_LOBBY_AMENDMENTS	A_LF_NAME	ORG_NAME	25249	950	3.8	530
HOUSING	HOUSING__FED_HUD_MF_SECTION8_CONTRACTS	PROPERTY_NAME	ORG_NAME	24309	24309	100.0	23052
ENVIRONMENT	ENVIRONMENT__FED_FRACFOCUS_WATER_SOURCE	STATE_NAME	ORG_NAME	23747	23747	100.0	19
HEALTH	HEALTH__FED_CMS_MARKETPLACE_PLAN_ATTRIBUTES_PUF	ISSUERMARKETPLACEMARKETINGNAME	ORG_NAME	22059	22059	100.0	161
EDUCATION	EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_STATS	ADVERTISER_NAME	ORG_NAME	21211	21211	100.0	20645
JUSTICE	JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS	CREDITOR_NAME	ORG_NAME	18775	18739	99.8	3878
HISTORICAL_RECORDS	HISTORICAL_RECORDS__FED_SLAVEVOYAGES_INTRAAMERICAN	SHIPNAME	ORG_NAME	11521	10670	92.6	3660
HEALTH	HEALTH__FED_IHS_SCB_FACILITY	SCB_FACILITY_ID	ORG_NAME	8733	8733	100.0	8774
HOUSING	HOUSING__FED_FHFA_NMDB	GEO_NAME	ORG_NAME	7204	7204	100.0	67
HEALTH	HEALTH__FED_FDA_DEVICE_CLASSIFICATION	DEVICE_NAME	ORG_NAME	7087	7087	100.0	7127
ENERGY	ENERGY__FED_EIA860_6_1_ENVIROASSOC	UTILITY_NAME	ORG_NAME	7020	7020	100.0	904
POLITICS	POLITICS__CA_LOBBY_CONTRIBUTIONS	RECIPIENT_NAME	ORG_NAME	6505	6467	99.4	1771
HEALTH	HEALTH__FED_CDC_SUICIDE_RATES	STUB_NAME	ORG_NAME	6390	6390	100.0	12
HOUSING	HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF	RESPONDENT_NAME	ORG_NAME	5399	5399	100.0	5176
TRANSPORT	TRANSPORT__FED_FRA_RAIL_DEATHS_BY_RAILROAD	RAILROAD_NAME	ORG_NAME	5152	5152	100.0	515
OPEN_DATA	OPEN_DATA__INTL_DE_GOVDATA	NAME	ORG_NAME	5000	5000	100.0	5096
PROCUREMENT	PROCUREMENT__FED_USASPENDING_SUBAWARDS	RECIPIENT_NAME	ORG_NAME	5000	4998	100.0	664
OPEN_DATA	OPEN_DATA__INTL_GR_DATAGOV	ORGANISATION_NAME	ORG_NAME	4988	4988	100.0	87
POLITICS	POLITICS__FED_FJC_SERVICE	JUDGE_NAME	ORG_NAME	4766	4766	100.0	4169
POLITICS	POLITICS__FJC_APPOINTMENT	JUDGE_NAME	ORG_NAME	4766	4766	100.0	4169
FINANCE	FINANCE__FED_FINRA_MPID_LIST	NAME	ORG_NAME	4215	4214	100.0	2559
POLITICS	POLITICS__TX_LOBBY_GIFTS	FILERNAME	ORG_NAME	4084	4084	100.0	482
POLITICS	POLITICS__FJC_JUDGE	LAST_NAME	ORG_NAME	4067	4067	100.0	2807
ENERGY	ENERGY__FED_EIA861_FRAME	UTILITY_NAME	ORG_NAME	3412	3412	100.0	3385
JUSTICE	JUSTICE__FED_COURTLISTENER_COURTS	SHORT_NAME	ORG_NAME	3361	3361	100.0	3300
REFERENCE	REFERENCE__CENSUS_CB_COUNTY	NAME	ORG_NAME	3235	3235	100.0	1940
POLITICS	POLITICS__TX_LOBBY_EVENTS	FILERNAME	ORG_NAME	3107	3107	100.0	317
CORPORATE_REGISTRY	CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS	NAME	ORG_NAME	2989	2988	100.0	2967
HEALTH	HEALTH__PHARMA_MEAL_CAP_FINGERPRINT	PAYMENT_MAKER_NAME	ORG_NAME	2469	2469	100.0	1156
ENVIRONMENT	ENVIRONMENT__FED_USGS_WBD_HUC8	WATERSHED_NAME	ORG_NAME	2456	2456	100.0	2297
HEALTH	HEALTH__FED_FDA_PURPLE_BOOK	PROPRIETARY_NAME	ORG_NAME	2228	1886	84.6	741
POLITICS	POLITICS__CA_LOBBY_EMPLOYER	EMPLOYER_NAME	ORG_NAME	1730	1730	100.0	1734
JUSTICE	JUSTICE__FED_CISA_KEV	VULNERABILITY_NAME	ORG_NAME	1674	1674	100.0	1310
POLITICS	POLITICS__TX_LOBBY_AWARDS	FILERNAME	ORG_NAME	1589	1589	100.0	269
POLITICS	POLITICS__CA_LOBBY_EMP_LOBBYIST	LOBBYIST_LAST_NAME	ORG_NAME	1500	1500	100.0	615
HEALTH	HEALTH__FED_CDC_DATA_PORTAL	DATASET_NAME	ORG_NAME	1471	1471	100.0	1271
HEALTH	HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO	HEALTHCENTERNAME	ORG_NAME	1356	1356	100.0	1333
EDUCATION	EDUCATION__FED_CPSC_NEISS_CODES	FORMAT_NAME	ORG_NAME	1250	1250	100.0	11
POLITICS	POLITICS__TX_LOBBY_DOCKETS	FILERNAME	ORG_NAME	1207	1207	100.0	185
REFERENCE	REFERENCE__FED_ITIS_OTHER_SOURCES	SOURCE_NAME	ORG_NAME	1071	1071	100.0	991
REFERENCE	REFERENCE__INTL_GDELT	ACTOR1NAME	ORG_NAME	1015	907	89.4	220
JUSTICE	JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST	FIRST_NAME	ORG_NAME	1011	1011	100.0	831
MONEY_FINANCE	MONEY__DEBT_REPAYMENT_CLIFF	COUNTRY_NAME	ORG_NAME	938	938	100.0	133
POLITICS	POLITICS__JUDGE_IDEOLOGY_SCOTUS	JUSTICE_NAME	ORG_NAME	782	782	100.0	49
POLITICS	POLITICS__XC_JCS_SCOTUS	JUSTICENAME	ORG_NAME	782	782	100.0	49
POLITICS	POLITICS__XC_JCS_COA	NAME	ORG_NAME	705	705	100.0	697
POLITICS	POLITICS__JUDGE_IDEOLOGY_COA	JCS_JUDGE_NAME	ORG_NAME	703	703	100.0	695
EPSTEIN	FCT_LIBRARY_SNAPSHOT	DATASET_NAME	ORG_NAME	619	603	97.4	12
HEALTH	HEALTH__NURSING_HOME_RELIEF_BY_CHAIN	CHAIN_NAME	ORG_NAME	617	617	100.0	623
POLITICS	POLITICS__CA_LOBBY_FIRM_LOBBYIST	LOBBYIST_LAST_NAME	ORG_NAME	577	577	100.0	504
POLITICS	POLITICS__CA_LOBBY_EMPLOYER_FIRMS	FIRM_NAME	ORG_NAME	524	524	100.0	166
EDUCATION	EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_DECLARED_STATS	ADVERTISER_DECLARED_NAME	ORG_NAME	470	435	92.6	426
SCIENCE_RESEARCH	SCIENCE_RESEARCH__XC_BIORXIV_MEDRXIV	PERSON_NAME	ORG_NAME	432	60	13.9	59
GOVERNANCE	GOVERNANCE__FED_REVOLVINGDOOR_PROJECT	POSITION_NAME	ORG_NAME	405	405	100.0	363
JUSTICE	JUSTICE__XC_NAGIX_DPRK_MISSILE_TESTS	FACILITY	ORG_NAME	340	340	100.0	56
LAND_AND_TERRITORY	LAND_AND_TERRITORY__FED_BIA_TRIBAL_GEO	LAR_NAME	ORG_NAME	335	335	100.0	335
JUSTICE	JUSTICE__INTL_NTI_CNS_DPRK_MISSILE_TESTS	MISSILE_NAME	ORG_NAME	303	303	100.0	37
POLITICS	POLITICS__CA_LOBBY_FIRM	FIRM_NAME	ORG_NAME	256	256	100.0	257
ENVIRONMENT	ENVIRONMENT__INTL_GLOBAL_WITNESS_DEFENDERS	DEFENDER_NAME	ORG_NAME	232	0	0.0	0
REFERENCE	REFERENCE__FED_ITIS_TAXON_UNIT_TYPES	RANK_NAME	ORG_NAME	182	182	100.0	41
POLITICS	POLITICS__CA_LOBBY_FIRM_EMPLOYER	FIRM_NAME	ORG_NAME	170	170	100.0	24
ECONOMICS	ECONOMICS__FED_USASPENDING_TOPTIER_AGENCIES	AGENCY_NAME	ORG_NAME	111	111	100.0	106
ECONOMICS	ECONOMICS__FED_GRANTS_GOV	AGENCY_NAME	ORG_NAME	100	0	0.0	0
ECONOMICS	ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES	NAME	ORG_NAME	100	100	100.0	100
ECONOMICS	ECONOMICS__INTL_FAO_FAOSTAT	DATASETNAME	ORG_NAME	69	69	100.0	70
REFERENCE	REFERENCE__CENSUS_CB_STATE	NAME	ORG_NAME	56	56	100.0	55
SCIENCE	SCIENCE__FED_NASA_OPEN_DATA	API_NAME	ORG_NAME	54	54	100.0	2
REFERENCE	REFERENCE__INTL_EG_CAPMAS	INDICATOR_NAME	ORG_NAME	52	52	100.0	3
POLITICS	POLITICS__FJC_SCOTUS_CROSSWALK	JUSTICE_NAME	ORG_NAME	40	40	100.0	40
POLITICS	POLITICS__SCOTUS_JUSTICE	JUSTICE_NAME	ORG_NAME	40	40	100.0	40
FINANCE	FINANCE__FED_NCUA_CHARTER_MERGER_EVENTS	CONTINUING_NAME	ORG_NAME	27	27	100.0	25
JUDICIARY	JUDICIARY__FED_OYEZ	PERSON_NAME	ORG_NAME	25	0	0.0	0
CORPORATE_REGISTRY	CORPORATE_REGISTRY__INTL_ES_BORME	COMPANY_NAME	ORG_NAME	15	0	0.0	0
JUSTICE	JUSTICE__FED_DOJ_FCA_SETTLEMENTS	PERSON_NAME	ORG_NAME	12	0	0.0	0
REFERENCE	REFERENCE__FED_ITIS_KINGDOMS	KINGDOM_NAME	ORG_NAME	7	7	100.0	7
HEALTH	HEALTH__FED_HRSA_NPDB	WORK_STATE	STATE	1911185	820261	42.9	61
JUSTICE	JUSTICE__FED_FBI_CDE	STATE	STATE	238680	238680	100.0	51
ENVIRONMENT	ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY	STATE_CODE	STATE	102037	97239	95.3	54
HEALTH	HEALTH__FED_CDC_ANXIETY_DEPRESSION	STATE	STATE	16794	16794	100.0	51
JUSTICE	JUSTICE__FED_FBI_NICS_CHECKS	STATE	STATE	16445	16445	100.0	54
HEALTH	HEALTH__FED_CDC_HEALTH_INSURANCE	STATE	STATE	16056	16056	100.0	51
HEALTH	HEALTH__XC_GUTTMACHER_MONTHLY_ABORTION	STATE	STATE	2040	2040	100.0	54
HEALTH	HEALTH__FED_VA_SUICIDE_STATE	STATE	STATE	1196	1196	100.0	51
FINDINGS	REVOKED_BUT_DEDUCTIBLE_BY_STATE	STATE	STATE	59	58	98.3	58
FINDINGS	HOSPITAL_CLOSURE_RISK_BY_STATE	STATE	STATE	55	55	100.0	55
FINDINGS	OPIOID_PRESCRIBER_PAID_HIGH_RX_BY_STATE	STATE	STATE	51	51	100.0	51
SCIENCE_RESEARCH	SCIENCE_RESEARCH__XC_OSF_REGISTRATIONS	REVIEWS_STATE	STATE	10	10	100.0	1
JUSTICE	JUSTICE__FED_FJC_IDB_BANKRUPTCY	DEBTOR1_ZIP	ZIP	6965441	6965291	100.0	239072
HEALTH	HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP	ZIP_FILE_NAME	ZIP	158452	158452	100.0	155946
FINANCE	FINANCE__FED_FEC_BULK	CMTE_ZIP	ZIP	20938	20928	100.0	8604
FINANCE	FINANCE__FED_FEC_BULK_COMMITTEES	CMTE_ZIP	ZIP	20007	19998	100.0	8404
