view	source	landing_rows	view_rows	dropped	key	note
STG_FED_CFPB_HMDA_LAR_2018__ALL	FED_CFPB_HMDA_LAR_2018	15140471	None		LEI	view not in DBT_CROGERS
STG_FED_CFPB_HMDA_LAR_2019__ALL	FED_CFPB_HMDA_LAR_2019	17573984	None		LEI	view not in DBT_CROGERS
STG_FED_CFPB_HMDA_LAR_2020__ALL	FED_CFPB_HMDA_LAR_2020	25699043	None		LEI	view not in DBT_CROGERS
STG_FED_CFPB_HMDA_LAR_2021__ALL	FED_CFPB_HMDA_LAR_2021	26269980	None		LEI	view not in DBT_CROGERS
STG_FED_CFPB_HMDA_LAR_2022__ALL	FED_CFPB_HMDA_LAR_2022	16125975	None		LEI	view not in DBT_CROGERS
STG_FED_CFPB_HMDA_LAR_2023__ALL	FED_CFPB_HMDA_LAR_2023	11564178	None		LEI	view not in DBT_CROGERS
STG_FED_CFPB_HMDA_LAR_2024__ALL	FED_CFPB_HMDA_LAR_2024	12259199	None		LEI	view not in DBT_CROGERS
STG_FED_CFPB_HMDA_HISTORIC__LAR_RECORDS	FED_CFPB_HMDA_HISTORIC	44992667	44992667	0	_record_hash	
STG_FED_CFPB_HMDA_LAR__LAR_RECORDS	FED_CFPB_HMDA_LAR	17474	17474	0	LEI, ACTIVITY_YEAR	
STG_FED_CISA_KEV__RECORDS	FED_CISA_KEV	1674	1674	0	cve_id order by _loaded_at desc) = 1	
STG_FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS__PROVIDERS	FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS	6637	6510	127	npi order by _loaded_at desc) = 1	
STG_FED_CLINICALTRIALS__CLINICAL_TRIALS	FED_CLINICALTRIALS_FULL	601694	601694	0	nct_id	
STG_FED_CMS_DIALYSIS__FACILITIES	FED_CMS_DIALYSIS	7557	7557	0	ccn order by _loaded_at desc) = 1	
STG_FED_CFPB_COMPLAINTS__COMPLAINTS	FED_CFPB_COMPLAINTS	17589039	17589036	3	complaint_id	
STG_FED_CMS_FACILITY_AFFILIATION__PROVIDERS	FED_CMS_FACILITY_AFFILIATION	2260193	2260146	47	ccn, npi order by _loaded_at desc) = 1	
STG_FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS__RECORDS	FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS	11063	11063	0	enrollment_id order by _loaded_at desc) = 1	
STG_FED_CMS_FISCAL_INTERMEDIARY_SHARED_SYSTEM_ATTENDING_AND_RENDERING__PROVIDERS	FED_CMS_FISCAL_INTERMEDIARY_SHARED_SYSTEM_ATTENDING_AND_RENDERING	2047828	2047826	2	npi order by _loaded_at desc) = 1	
STG_FED_CMS_HCRIS__HOSPITAL_COST_REPORT	FED_CMS_HCRIS	80077	80077	0	rpt_rec_num	
STG_FED_CMS_HOME_HEALTH__FACILITIES	FED_CMS_HOME_HEALTH	12392	12392	0	ccn order by _loaded_at desc) = 1	
STG_FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS__RECORDS	FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS	11508	11508	0	enrollment_id order by _loaded_at desc) = 1	
STG_FED_CMS_HOME_HEALTH_OWNERS__RECORDS	FED_CMS_HOME_HEALTH_OWNERS	101188	101188	0	(no dedupe)	
STG_FED_CMS_HOSPITAL_COMPARE__FACILITIES	FED_CMS_HOSPITAL_COMPARE	5432	5432	0	facility_id order by _loaded_at desc) = 1	
STG_FED_CMS_HOSPICE__FACILITIES	FED_CMS_HOSPICE	6852	6852	0	ccn order by _loaded_at desc) = 1	
STG_FED_CMS_HOSPICE_ENROLLMENTS__RECORDS	FED_CMS_HOSPICE_ENROLLMENTS	6066	6066	0	enrollment_id order by _loaded_at desc) = 1	
STG_FED_CMS_HPT_MRF__PROVIDERS	FED_CMS_HPT_MRF	1	1	0	npi order by _loaded_at desc) = 1	
STG_FED_CMS_HOSPITAL_ENROLLMENTS__RECORDS	FED_CMS_HOSPITAL_ENROLLMENTS	9175	9175	0	enrollment_id order by _loaded_at desc) = 1	
STG_FED_CMS_HOSPITAL_GENERAL__FACILITIES	FED_CMS_HOSPITAL_GENERAL	5432	5432	0	ccn order by _loaded_at desc) = 1	
STG_FED_CMS_IRF__FACILITIES	FED_CMS_IRF	1222	1222	0	ccn order by _loaded_at desc) = 1	
STG_FED_CMS_LTCH__FACILITIES	FED_CMS_LTCH	311	311	0	ccn order by _loaded_at desc) = 1	
STG_FED_CMS_MAIN__RECORDS	FED_CMS_MAIN	158	158	0	dataset_id order by _loaded_at desc) = 1	
STG_FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM__RECORDS	FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM	1037	1037	0	unique_id order by _loaded_at desc) = 1	
STG_FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER__PROVIDERS	FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER	381228	381228	0	rfrg_npi order by _loaded_at desc) = 1	
STG_FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER__FACILITIES	FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER	3044	3044	0	rndrng_prvdr_ccn order by _loaded_at desc) = 1	
STG_FED_CMS_MEDICARE_FEE_FOR_SERVICE_PUBLIC_PROVIDER_ENROLLMENT__RECORDS	FED_CMS_MEDICARE_FEE_FOR_SERVICE_PUBLIC_PROVIDER_ENROLLMENT	2978925	2978925	0	enrlmt_id order by _loaded_at desc) = 1	
STG_FED_CMS_NADAC__RECORDS	FED_CMS_NADAC	1497925	1497925	0	(no dedupe)	
STG_FED_CMS_MEDICARE_PROVIDER__PROVIDERS	FED_CMS_MEDICARE_PROVIDER	1296739	1296739	0	npi order by _loaded_at desc) = 1	
STG_FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER__PROVIDERS	FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER	1296739	1296739	0	rndrng_npi order by _loaded_at desc) = 1	
STG_FED_CMS_MEDICARE_DIALYSIS_FACILITIES__PROVIDERS	FED_CMS_MEDICARE_DIALYSIS_FACILITIES	12456456	12456456	0	ccn, npi, year, ownership_type, measure_id order by _loaded_at desc) = 1	
STG_FED_CMS_NURSING_HOME__NURSING_HOME_FACILITIES	FED_CMS_NURSING_HOME	14700	14700	0	coalesce(cms_certification_number_ccn, provider_number)	
STG_FED_CMS_NPPES_DEACTIVATED__ALL	FED_CMS_NPPES_DEACTIVATED	351912	351912	0	NPI	
STG_FED_CMS_NURSING_HOME_PENALTIES__FACILITIES	FED_CMS_NURSING_HOME_PENALTIES	16180	16180	0	cms_certification_number_ccn, penalty_date, payment_denial_start_date, processing_date, fine_id order by _loaded_at desc) = 1	
STG_FED_CMS_NPPES__NPI_PROVIDERS	FED_CMS_NPPES	9606683	9606683	0	NPI	
STG_FED_CMS_OPEN_PAYMENTS_GNRL__RECORDS	FED_CMS_OPEN_PAYMENTS_GNRL	None	None		(no dedupe)	landing table not found; view not in DBT_CROGERS
STG_FED_CMS_OPEN_PAYMENTS_2022__RECORDS	FED_CMS_OPEN_PAYMENTS_2022	13306564	13306564	0	record_id order by _loaded_at desc) = 1	
STG_FED_CMS_OPEN_PAYMENTS__RECORDS	FED_CMS_OPEN_PAYMENTS	15385047	15385047	0	record_id order by _loaded_at desc) = 1	
STG_FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT__RECIPIENT_PROFILES	FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	1697025	1697025	0	profile_id	
STG_FED_CMS_OPEN_PAYMENTS_2023__RECORDS	FED_CMS_OPEN_PAYMENTS_2023	14700786	14700786	0	record_id order by _loaded_at desc) = 1	
STG_FED_CMS_PARTB_PROVIDER_DY2013__ALL	FED_CMS_PARTB_PROVIDER_DY2013	956251	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2014__ALL	FED_CMS_PARTB_PROVIDER_DY2014	986657	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2015__ALL	FED_CMS_PARTB_PROVIDER_DY2015	1019377	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2016__ALL	FED_CMS_PARTB_PROVIDER_DY2016	1053958	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2017__ALL	FED_CMS_PARTB_PROVIDER_DY2017	1088687	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2018__ALL	FED_CMS_PARTB_PROVIDER_DY2018	1121462	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2019__ALL	FED_CMS_PARTB_PROVIDER_DY2019	1155870	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2020__ALL	FED_CMS_PARTB_PROVIDER_DY2020	1161542	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2021__ALL	FED_CMS_PARTB_PROVIDER_DY2021	1198754	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2022__ALL	FED_CMS_PARTB_PROVIDER_DY2022	1230293	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2023__ALL	FED_CMS_PARTB_PROVIDER_DY2023	1259343	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_DY2024__ALL	FED_CMS_PARTB_PROVIDER_DY2024	1296739	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2013__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2013	9286633	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2014__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2014	9316209	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2015__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2015	9496848	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2016__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2016	9714896	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2017__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2017	9847443	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2018__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2018	9961865	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2019__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2019	10140228	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2020__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2020	9449361	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2021__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2021	9886177	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2022__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2022	9755427	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2023__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2023	9660647	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTB_PROVIDER_SERVICE_DY2024__ALL	FED_CMS_PARTB_PROVIDER_SERVICE_DY2024	9781673	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG__RECORDS	FED_CMS_PARTD_PRESCRIBER_DRUG	25869521	25869521	0	(no dedupe)	
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2013__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2013	23645873	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2014__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2014	24120618	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2015__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2015	24524894	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2016__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2016	24964300	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2017__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2017	25209130	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2018__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2018	25311600	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2019__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2019	25401870	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2020__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2020	25209729	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2021__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2021	25231862	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2022__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2022	25869521	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2023__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2023	26794878	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DRUG_DY2024__ALL	FED_CMS_PARTD_PRESCRIBER_DRUG_DY2024	28023892	None		"NPI"	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2013__ALL	FED_CMS_PARTD_PRESCRIBER_DY2013	1049299	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2014__ALL	FED_CMS_PARTD_PRESCRIBER_DY2014	1072978	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2015__ALL	FED_CMS_PARTD_PRESCRIBER_DY2015	1102253	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2016__ALL	FED_CMS_PARTD_PRESCRIBER_DY2016	1131550	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2017__ALL	FED_CMS_PARTD_PRESCRIBER_DY2017	1162898	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2018__ALL	FED_CMS_PARTD_PRESCRIBER_DY2018	1204935	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2019__ALL	FED_CMS_PARTD_PRESCRIBER_DY2019	1240595	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2020__ALL	FED_CMS_PARTD_PRESCRIBER_DY2020	1255175	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2021__ALL	FED_CMS_PARTD_PRESCRIBER_DY2021	1287454	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2022__ALL	FED_CMS_PARTD_PRESCRIBER_DY2022	1332309	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2023__ALL	FED_CMS_PARTD_PRESCRIBER_DY2023	1380665	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_PARTD_PRESCRIBER_DY2024__ALL	FED_CMS_PARTD_PRESCRIBER_DY2024	1416883	None		NPI	view not in DBT_CROGERS
STG_FED_CMS_OPT_OUT_AFFIDAVITS__PROVIDERS	FED_CMS_OPT_OUT_AFFIDAVITS	57209	56455	754	npi order by _loaded_at desc) = 1	
STG_FED_CMS_PART_D_PRESCRIBERS__PROVIDERS	FED_CMS_PART_D_PRESCRIBERS	1416883	1416883	0	npi order by _loaded_at desc) = 1	
STG_FED_CMS_ORDER_AND_REFERRING__PROVIDERS	FED_CMS_ORDER_AND_REFERRING	2018354	2018350	4	npi order by _loaded_at desc) = 1	
STG_FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS__PROVIDERS	FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS	7240	7240	0	npi order by _loaded_at desc) = 1	
STG_FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS__PROVIDERS	FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS	6880	6880	0	npi order by _loaded_at desc) = 1	
STG_FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS__RECORDS	FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS	5530	5530	0	enrollment_id order by _loaded_at desc) = 1	
STG_FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS__RECORDS	FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	14425	14425	0	enrollment_id order by _loaded_at desc) = 1	
STG_FED_CMS_SNF_OWNERSHIP__ALL	FED_CMS_SNF_OWNERSHIP	295083	295083	0	ENROLLMENT_ID, ASSOCIATE_ID_OWNER, ROLE_CODE_OWNER	
STG_FED_CMS_POS_OTHER__FACILITIES	FED_CMS_POS_OTHER	44429	44429	0	ccn order by _loaded_at desc) = 1	
STG_FED_CONSOLIDATED_SCREENING_LIST__ENTRIES	FED_CONSOLIDATED_SCREENING_LIST	25988	25988	0	(no dedupe)	
STG_FED_CONGRESS_COMMITTEE_MEMBERSHIP__PEOPLE	FED_CONGRESS_COMMITTEE_MEMBERSHIP	26971	12401	14570	bioguide, committee_code order by _loaded_at desc) = 1	
STG_FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE__PROVIDERS	FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE	503917	499190	4727	npi, clinician_type, small_practice_status, rural_status, mips_value_pathway_id, quality_measure_id_1, quality_measure_id_2, quality_measure_id_3, quality_measure_id_4, quality_measure_id_5, quality_measure_id_6, quality_measure_id_7, quality_measure_id_8, quality_measure_id_9, quality_measure_id_10, quality_measure_id_11, quality_measure_id_12, cehrt_id, pi_measure_id_1, pi_measure_id_2, pi_measure_id_3, pi_measure_id_4, pi_measure_id_5, pi_measure_id_6, pi_measure_id_7, pi_measure_id_8, pi_measure_id_9, pi_measure_id_10, pi_measure_id_11, pi_measure_id_12, pi_measure_id_13, pi_measure_id_14, pi_measure_id_15, pi_measure_id_16, pi_measure_id_17, pi_measure_id_18, pi_measure_id_19, pi_measure_id_20, pi_measure_id_21, ia_measure_id_1, ia_measure_id_2, ia_measure_id_3, ia_measure_id_4, cost_measure_id_1, cost_measure_id_2, cost_measure_id_3, cost_measure_id_4, cost_measure_id_5, cost_measure_id_6, cost_measure_id_7, cost_measure_id_8, cost_measure_id_9, cost_measure_id_10, cost_measure_id_11, cost_measure_id_12, cost_measure_id_13, cost_measure_id_14, cost_measure_id_15, cost_measure_id_16, cost_measure_id_17, cost_measure_id_18, cost_measure_id_19, cost_measure_id_20, cost_measure_id_21, cost_measure_id_22, cost_measure_id_23, cost_measure_id_24, cost_measure_id_25, cost_measure_id_26, cost_measure_id_27, cost_measure_id_28 order by _loaded_at desc) = 1	
STG_FED_COURTLISTENER_FINANCIAL_DISCLOSURES__PEOPLE	FED_COURTLISTENER_FINANCIAL_DISCLOSURES	70776	70731	45	person_id, date_created, date_modified, year, id order by _loaded_at desc) = 1	
STG_FED_COURTLISTENER_INVESTMENTS__RECORDS	FED_COURTLISTENER_INVESTMENTS	1901599	1901599	0	id order by _loaded_at desc) = 1	
STG_FED_COLLEGE_SCORECARD_INSTITUTION__RECORDS	FED_ED_COLLEGE_SCORECARD_INSTITUTION	6273	6273	0	(no dedupe)	
STG_FED_COURTLISTENER_JUDGES__RECORDS	FED_COURTLISTENER_JUDGES	16191	16191	0	id order by _loaded_at desc) = 1	
STG_FED_COURTLISTENER_POSITIONS__RECORDS	FED_COURTLISTENER_POSITIONS	51290	51290	0	id order by _loaded_at desc) = 1	
STG_FED_DAVID_RUMSEY__RECORDS	FED_DAVID_RUMSEY	10	10	0	manifest_id order by _loaded_at desc) = 1	
STG_FED_DHS_HIFLD__FACILITIES	FED_DHS_HIFLD	500	500	0	(no dedupe)	
STG_FED_DENSHO_DDR__RECORDS	FED_DENSHO_DDR	25	25	0	object_id order by _loaded_at desc) = 1	
STG_FED_DHS_OHSS__RECORDS	FED_DHS_OHSS	50740	50740	0	(no dedupe)	
STG_FED_DHS_YEARBOOK__PLACES	FED_DHS_YEARBOOK	27	27	0	country_of_last_residence, fiscal_year order by _loaded_at desc) = 1	
STG_FED_DOCSOUTH__RECORDS	FED_DOCSOUTH	144	144	0	(no dedupe)	
STG_FED_DOJ_CRT_CASES__CRT_CASES	FED_DOJ_CRT_CASES	1	1	0	company_id, person_name, date, state	
STG_FED_DOJ_EPSTEIN_LIBRARY__RECORDS	FED_DOJ_EPSTEIN_LIBRARY	777	777	0	(no dedupe)	
STG_FED_DOJ_FCA_SETTLEMENTS__FCA_SETTLEMENTS	FED_DOJ_FCA_SETTLEMENTS	19	12	7	fca_settlement_id	
STG_FED_DOL_FORM5500__RECORDS	FED_DOL_FORM5500	33484	33484	0	ack_id order by _loaded_at desc) = 1	
STG_FED_DOL_EBSA_FORM5500_SCHEDULE_SB__FILINGS	FED_DOL_EBSA_FORM5500_SCHEDULE_SB	41802	41802	0	ack_id	
STG_FED_DOL_OLMS__FILINGS	FED_DOL_OLMS	617710	617710	0	RPT_ID	
STG_FED_DOL_OFLC__RECORDS	FED_DOL_OFLC	664616	664616	0	(no dedupe)	
STG_FED_DOL_WHD_ENFORCEMENT__ALL	FED_DOL_WHD_ENFORCEMENT	367890	367890	0	CASE_ID	
STG_FED_DOT_BTS__RECORDS	FED_DOT_BTS	21	21	0	(no dedupe)	
STG_FED_DOL_OSHA_INSPECTION__ALL	FED_DOL_OSHA_INSPECTIONS	5611412	5196412	415000	activity_nr	
STG_FED_EAC_EAVS__RECORDS	FED_EAC_EAVS	6460	6460	0	(no dedupe)	
STG_FED_COURTLISTENER_DOCKETS__RECORDS	FED_COURTLISTENER_DOCKETS	71677647	71677647	0	id order by _loaded_at desc) = 1	
STG_FED_ED_FSA_DATACENTER__RECORDS	FED_ED_FSA_DATACENTER	1	1	0	(no dedupe)	
STG_FED_ED_EDFACTS__RECORDS	FED_ED_EDFACTS	33	33	0	(no dedupe)	
STG_FED_ED_NCES_CIP_CODES__CIP_CODES	FED_ED_NCES_CIP_CODES	2318	2318	0	cip_code	
STG_FED_EIA860_1_UTILITY__ALL	FED_EIA860_1_UTILITY	6643	6643	0	(no dedupe)	
STG_FED_ED_COLLEGE_SCORECARD_INSTITUTION__INSTITUTIONS	FED_ED_COLLEGE_SCORECARD_INSTITUTION	6273	6273	0	unitid	
STG_FED_EIA860_3_1_GENERATOR__ALL	FED_EIA860_3_1_GENERATOR	26856	26855	1	(no dedupe)	
STG_FED_EIA860_2_PLANT__ALL	FED_EIA860_2_PLANT	16132	16132	0	(no dedupe)	
STG_FED_EIA860_3_2_WIND__ALL	FED_EIA860_3_2_WIND	1563	1563	0	(no dedupe)	
STG_FED_EIA860_3_5_MULTIFUEL__ALL	FED_EIA860_3_5_MULTIFUEL	2893	2893	0	(no dedupe)	
