===== q07 (stmt 7) 101 rows
MO | N | STILL_D | REL | NEVER | ENTRY_KNOWN | G_0_30D | G_1M_2Y | G_2_10Y | G_10Y_PLUS | G_NEG | LPR1 | AWC_D | RBC_D | UC | AWC_ATD | AGE_KNOWN | MINOR | UNDER6 | FEMALE | HAS_E28 | MX | NT | VE
2022-05-01 | 10274 | 3440 | 6759 | 75 | 7753 | 6324 | 997 | 209 | 197 | 26 | 5 | 0 | 0 | 211 | 0 | 9001 | 449 | 26 | 2066 | 5637 | 802 | 1465 | 86
2022-06-01 | 11894 | 3927 | 7911 | 56 | 9230 | 6886 | 1909 | 223 | 172 | 40 | 7 | 0 | 1 | 242 | 2 | 8367 | 459 | 38 | 1456 | 6584 | 809 | 1394 | 222
2022-07-01 | 11942 | 4182 | 7723 | 37 | 8981 | 6866 | 1655 | 265 | 186 | 9 | 9 | 0 | 0 | 219 | 0 | 7714 | 412 | 42 | 1286 | 6635 | 955 | 1221 | 395
2022-08-01 | 11540 | 4567 | 6943 | 30 | 8576 | 6207 | 1636 | 454 | 266 | 13 | 5 | 0 | 2 | 727 | 2 | 7955 | 857 | 65 | 1576 | 5896 | 1284 | 2048 | 270
2022-09-01 | 10216 | 4638 | 5570 | 8 | 7311 | 5329 | 1383 | 372 | 211 | 16 | 3 | 1 | 2 | 198 | 4 | 5828 | 362 | 34 | 1123 | 5220 | 1182 | 1429 | 616
2022-10-01 | 9846 | 4148 | 5684 | 14 | 6946 | 5120 | 1224 | 330 | 250 | 22 | 1 | 0 | 0 | 151 | 1 | 4993 | 325 | 26 | 1020 | 5120 | 1211 | 1255 | 476
2022-11-01 | 9959 | 3817 | 6138 | 4 | 7034 | 4262 | 2186 | 318 | 255 | 13 | 8 | 0 | 0 | 165 | 3 | 4676 | 357 | 36 | 1451 | 5051 | 1144 | 1197 | 222
2022-12-01 | 8781 | 3165 | 5614 | 2 | 6365 | 3537 | 2335 | 287 | 197 | 9 | 5 | 0 | 4 | 224 | 1 | 3493 | 357 | 21 | 1582 | 4187 | 1081 | 1201 | 94
2023-01-01 | 10310 | 4538 | 5772 | 0 | 7303 | 5662 | 1077 | 310 | 229 | 25 | 4 | 0 | 0 | 173 | 1 | 4759 | 276 | 23 | 1239 | 4506 | 1309 | 1195 | 104
2023-02-01 | 10681 | 4904 | 5774 | 3 | 7662 | 5676 | 1302 | 364 | 313 | 7 | 5 | 0 | 1 | 147 | 5 | 5197 | 208 | 14 | 1958 | 4231 | 1417 | 1205 | 83
2023-03-01 | 12117 | 4946 | 7167 | 4 | 8650 | 5995 | 1974 | 388 | 284 | 9 | 5 | 0 | 0 | 171 | 4 | 5929 | 251 | 9 | 2550 | 5001 | 1589 | 1394 | 101
2023-04-01 | 10125 | 4337 | 5780 | 8 | 7106 | 5006 | 1516 | 331 | 242 | 11 | 3 | 0 | 1 | 167 | 3 | 4646 | 266 | 14 | 1909 | 3861 | 1395 | 1366 | 285
2023-05-01 | 11519 | 6175 | 5341 | 3 | 8013 | 6408 | 926 | 411 | 260 | 8 | 6 | 0 | 1 | 142 | 13 | 6655 | 237 | 21 | 1988 | 4416 | 1434 | 2269 | 741
2023-06-01 | 12930 | 8696 | 4223 | 11 | 8389 | 6150 | 1533 | 418 | 274 | 14 | 3 | 1 | 1 | 114 | 1 | 8237 | 208 | 28 | 2522 | 4428 | 1649 | 3845 | 1317
2023-07-01 | 12827 | 8263 | 4560 | 4 | 8416 | 6436 | 1296 | 403 | 271 | 10 | 2 | 0 | 0 | 173 | 3 | 7250 | 287 | 34 | 2290 | 4536 | 1774 | 3107 | 2214
2023-08-01 | 12741 | 7932 | 4804 | 5 | 7904 | 6120 | 1094 | 388 | 283 | 19 | 4 | 1 | 4 | 170 | 2 | 6857 | 272 | 35 | 1530 | 4467 | 1678 | 2723 | 2307
2023-09-01 | 9986 | 6344 | 3641 | 1 | 6032 | 3996 | 1451 | 326 | 235 | 24 | 1 | 0 | 0 | 156 | 3 | 5454 | 292 | 46 | 1232 | 3811 | 1502 | 1978 | 1506
2023-10-01 | 10321 | 7160 | 3159 | 2 | 6305 | 3998 | 1708 | 357 | 231 | 11 | 1 | 0 | 2 | 124 | 4 | 6293 | 212 | 22 | 1120 | 3565 | 1573 | 1639 | 2821
2023-11-01 | 9713 | 6704 | 3007 | 2 | 5648 | 2957 | 2131 | 332 | 221 | 7 | 4 | 0 | 1 | 154 | 2 | 5863 | 241 | 35 | 963 | 3129 | 1468 | 1728 | 2858
2023-12-01 | 10504 | 6576 | 3925 | 3 | 5834 | 2869 | 2440 | 322 | 193 | 10 | 5 | 0 | 0 | 123 | 2 | 5692 | 189 | 25 | 990 | 3578 | 1702 | 2384 | 1853
2024-01-01 | 11985 | 8135 | 3847 | 3 | 6307 | 2764 | 2899 | 371 | 262 | 11 | 3 | 0 | 0 | 130 | 2 | 6718 | 221 | 25 | 1438 | 4133 | 1957 | 2787 | 2136
2024-02-01 | 10589 | 7779 | 2809 | 1 | 5749 | 2978 | 2028 | 460 | 277 | 6 | 6 | 0 | 0 | 94 | 3 | 6839 | 197 | 35 | 1537 | 3179 | 2122 | 2779 | 1227
2024-03-01 | 10735 | 7595 | 3140 | 0 | 5118 | 2665 | 1798 | 400 | 249 | 6 | 3 | 0 | 0 | 101 | 4 | 7112 | 201 | 28 | 1524 | 3416 | 2280 | 2707 | 750
2024-04-01 | 11427 | 8416 | 3006 | 5 | 5663 | 3093 | 1769 | 491 | 307 | 3 | 5 | 0 | 0 | 130 | 4 | 8039 | 296 | 44 | 1855 | 3678 | 2315 | 2500 | 1046
2024-05-01 | 11985 | 8697 | 3287 | 1 | 5654 | 3310 | 1529 | 512 | 301 | 2 | 3 | 0 | 0 | 90 | 2 | 8138 | 201 | 28 | 1974 | 4031 | 2384 | 2426 | 1203
2024-06-01 | 10125 | 7311 | 2813 | 1 | 4823 | 2173 | 1890 | 462 | 289 | 9 | 2 | 0 | 0 | 55 | 0 | 6972 | 289 | 66 | 1702 | 3607 | 2197 | 2423 | 534
2024-07-01 | 11177 | 7953 | 3221 | 3 | 4674 | 1783 | 2030 | 549 | 305 | 7 | 0 | 0 | 1 | 44 | 0 | 7601 | 296 | 70 | 1668 | 4213 | 2143 | 2459 | 456
2024-08-01 | 12221 | 8749 | 3470 | 2 | 4441 | 2044 | 1594 | 510 | 289 | 4 | 2 | 0 | 1 | 41 | 4 | 8173 | 447 | 124 | 2031 | 4819 | 2297 | 2338 | 365
2024-09-01 | 11289 | 7970 | 3317 | 2 | 3990 | 1859 | 1309 | 537 | 277 | 8 | 0 | 0 | 0 | 47 | 4 | 7839 | 437 | 134 | 1743 | 4821 | 2126 | 2313 | 382
2024-10-01 | 12142 | 8563 | 3577 | 2 | 3964 | 1707 | 1364 | 591 | 294 | 8 | 0 | 0 | 0 | 46 | 2 | 8303 | 367 | 102 | 1722 | 5589 | 2327 | 2465 | 430
2024-11-01 | 10309 | 7250 | 3057 | 2 | 3238 | 1240 | 1166 | 588 | 243 | 1 | 1 | 0 | 0 | 62 | 4 | 6969 | 347 | 102 | 1471 | 4648 | 1937 | 2031 | 446
2024-12-01 | 10710 | 7812 | 2897 | 1 | 3186 | 1198 | 1123 | 608 | 253 | 4 | 0 | 0 | 1 | 34 | 1 | 7186 | 237 | 52 | 1632 | 4499 | 2017 | 2228 | 540
2025-01-01 | 12733 | 10187 | 2545 | 1 | 4012 | 1042 | 1613 | 953 | 396 | 8 | 4 | 0 | 1 | 47 | 4 | 8529 | 251 | 48 | 1683 | 5367 | 2554 | 2561 | 1135
2025-02-01 | 15547 | 13056 | 2489 | 1 | 5318 | 480 | 2449 | 1746 | 631 | 12 | 5 | 0 | 1 | 57 | 0 | 10837 | 180 | 25 | 1410 | 7870 | 3956 | 3095 | 1096
2025-03-01 | 15465 | 12233 | 3231 | 1 | 5826 | 394 | 2645 | 2094 | 686 | 7 | 2 | 0 | 1 | 177 | 7 | 11470 | 720 | 39 | 1212 | 8191 | 4586 | 3996 | 1040
2025-04-01 | 13542 | 11064 | 2473 | 5 | 5036 | 326 | 1586 | 2334 | 787 | 3 | 0 | 0 | 3 | 94 | 9 | 9551 | 457 | 40 | 1089 | 6695 | 4740 | 3754 | 1025
2025-05-01 | 14916 | 12328 | 2585 | 3 | 5745 | 385 | 1733 | 2772 | 852 | 3 | 1 | 0 | 3 | 137 | 16 | 10147 | 447 | 37 | 1335 | 7486 | 4935 | 4390 | 1072
2025-06-01 | 19158 | 16579 | 2575 | 3 | 7627 | 446 | 2398 | 3677 | 1096 | 10 | 1 | 3 | 1 | 132 | 18 | 12847 | 569 | 65 | 1847 | 9630 | 6077 | 5419 | 1459
