EIN,EST_KEY,COMPANY,ESTABLISHMENT,CITY,STATE,NAICS,INDUSTRY,SIZE_BAND,EMPLOYEES,HOURS,DEATHS,DART_CASES,DAFW_DAYS,DART_RATE,TRIR,DAYS_PER_CASE,COHORT_N,COHORT_MEDIAN_DART,COHORT_POOLED_DART,FOLD_VS_POOLED,FOLD_VS_MEDIAN,Z_SCORE,PCT_RANK_IN_COHORT
611776778,1246064,WVNH EMP LLC,Rainelle Healthcare Center,RAINELLE,WV,6231,Skilled nursing facilities,50-99,52,94364,0,52,240,110.21,133.53,4.6,2691,2.78,5.14,21.43,39.58,12.72,1.0
381426892,185080,Goodwill Industries of Central Michigans Heartland,Mason Store,MASON,MI,4595,Thrift Shop,1-19,16,30780,0,106,0,688.76,688.76,,29,0.00,32.32,21.31,,5.19,1.0
202550640,1115955,Providence Hospitality Partners - Crowne Plaza Ventura Bch. CA,Crowne Plaza Ventura Beach,VENTURA,CA,5611,Hotel management services (except complete operation of client's business),100-249,160,207459,0,12,6,11.57,11.57,1.0,62,0.00,0.55,21.11,,5.48,1.0
932859206,1294953,Print Finishing Specialties,Print Finishing Specialties,WEST VALLEY CITY,UT,3231,Professional book binding without printing,1-19,12,22421,0,5,3,44.60,44.60,1.0,67,0.00,2.15,20.79,,6.27,1.0
610033246,1076821,Kinser & Kinser,Kinser & Kinser,LA GRANGE,KY,3345,"Heating and cooling system controls, residential and commercial, manufacturing",20-49,47,88098,0,5,62,11.35,11.35,12.4,312,0.00,0.55,20.71,,7.38,1.0
362652532,1289492,,Ann Haskins Center,BLOOMINGDALE,IL,6111,"Schools for the intellectually and developmentally disabled (except preschool, job training, vocational rehabilitation)",50-99,53,97354,0,24,75,49.30,71.90,5.4,820,1.69,2.39,20.59,29.18,11.89,1.0
274129406,1263322,Monterey Palms Health Care Facility,Monterey Palms Healthcare Facility,PALM DESERT,CA,6231,Rest homes with nursing care,100-249,118,184322,0,94,91,102.00,102.00,1.1,3641,3.20,4.95,20.59,31.91,13.12,0.9994
844456227,949213,Macapa Logistics,Macapa Logistics,WEST DES MOINES,IA,5614,"Parcel mailing services, private",100-249,129,175469,0,27,18,30.77,39.89,9.0,26,0.27,1.52,20.26,113.44,4.71,1.0
582480149,1105212,United Parcel Service Inc,MDQUA - QUAD AVENUE,BALTIMORE,MD,5511,Corporate Subsidiary and Regional Managing Offices,100-249,209,247702,0,7,136,5.65,7.27,45.3,203,0.00,0.28,20.22,,5.75,0.9524
223782088,1257042,Deployed Resources,Jackson Yard,JACKSON,MS,5612,Facilities (except computer operation) support services,50-99,57,58546,0,5,150,17.08,17.08,50.0,138,0.00,0.85,20.19,,8.15,1.0
710925629,1241720,Imperial Premix LLC,Imperial Premix LLC,IMPERIAL,CA,3111,"Livestock feeds, supplements, concentrates and premixes, manufacturing",20-49,23,48826,0,11,540,45.06,45.06,180.0,335,0.00,2.23,20.17,,10.77,1.0
943263409,1387185,Quality behavioral Outcomes LLC,Dublin CA,DUBLIN,CA,6211,ABA Therapy,50-99,69,95626,0,9,12,18.82,18.82,6.0,401,0.00,0.93,20.16,,8.42,1.0
330278906,1312023,"Axiom Materials, Inc. - Carlsbad","Axiom Materials, Inc. - Carlsbad",CARLSBAD,CA,3364,Developing and producing prototypes for aircraft parts (except engines) and auxiliary equipment,20-49,21,42355,0,5,0,23.61,23.61,,177,0.00,1.18,20.03,,7.19,1.0
923075963,1284289,INTEGRIS Health,525 INTEGRIS AllSet Urgent Care Clinics,OKLAHOMA CITY,OK,6211,"Walk-in physicians' offices (e.g., centers, clinics)",20-49,48,99312,0,14,76,28.19,30.21,5.8,913,0.00,1.42,19.91,,5.63,0.9845
320470365,1107300,United Ground Express UNITED GROUND EXPRESS-GRB,GRB UNITED GROUND EXPRESS-GRB,GREENBAY,WI,4881,Other Airport Operations,20-49,34,35944,0,9,246,50.08,61.21,49.2,641,0.00,2.53,19.83,,10.34,1.0
450320073,191229,"Comstock Construction, Inc.",CCI - Construction Sites,WAHPETON,ND,2362,Commercial building construction,20-49,28,40095,0,5,8,24.94,34.92,2.7,1852,0.00,1.29,19.36,,6.81,0.9912
953223133,1138205,Inline Distributing Co.,Las Vegas,LAS VEGAS,NV,4249,Art goods merchant wholesalers,1-19,13,27040,0,5,0,36.98,36.98,,251,0.00,1.91,19.35,,7.75,1.0
943263409,1387187,Quality behavioral Outcomes LLC,Elk Grove CA,ELK GROVE,CA,6211,ABA Therapy,50-99,66,89521,0,8,250,17.87,17.87,41.7,401,0.00,0.93,19.15,,7.97,0.9921
263842292,1198838,Mister Sparky Electric,"PP Electric, LLC, DBA: Mister Sparky Electric",LANCASTER,PA,2382,Electrician,1-19,17,29479,0,5,28,33.92,47.49,7.0,743,0.00,1.77,19.14,,7.44,0.9932
066002454,1413637,Housing Authority of the City of Danbury,Main Office,DANBURY,CT,9251,"Housing programs, planning and development, government",50-99,50,63593,0,10,109,31.45,31.45,10.9,24,0.00,1.65,19.11,,4.59,1.0
912192643,1137889,Wilcox & Wilcox,Wilcox & Wilcox,CANOGA PARK,CA,2362,Commercial building construction general contractors,20-49,33,65406,0,8,0,24.46,24.46,,1852,0.00,1.29,18.99,,6.67,0.989
861890938,1333865,A1 Garage Door Service,TMII Enterprises WI,APPLETON,WI,2383,Garage Door Residential-Type Installation,20-49,36,43328,0,9,388,41.54,41.54,43.1,1031,0.00,2.19,18.97,,8.03,0.9973
832976157,997807,"Amergis Healthcare Staffing Services, Inc.",Emeryville Field Office,EMERYVILLE,CA,5613,Temporary staffing services,100-249,104,174200,0,36,2923,41.33,67.74,81.2,129,0.69,2.19,18.87,59.58,7.0,1.0
911275815,1221203,DESC,Mobile Response North,SEATTLE,WA,6242,Homeless shelters,1-19,16,21070,0,10,56,94.92,94.92,5.6,35,0.00,5.05,18.78,,5.54,1.0
943263409,1387193,Quality behavioral Outcomes LLC,Granite Bay CA,GRANITE BAY,CA,6211,ABA Therapy,20-49,37,52915,0,7,32,26.46,26.46,8.0,913,0.00,1.42,18.68,,5.26,0.9742
452930077,1279523,Complete Constuction,Complete Construction,MANKATO,MN,2361,"Condominium, single-family, construction general contractors",1-19,18,33117,0,7,1,42.27,42.27,1.0,195,0.00,2.30,18.41,,7.23,1.0
208543411,1270588,"Dobransky Construction, Inc.","Dobransky Construction, Inc",STRASBURG,CO,2389,Excavation contractors,20-49,24,40271,0,5,73,24.83,24.83,14.6,1483,0.00,1.36,18.22,,7.51,0.9975
911275815,994942,DESC,Hobson Clinic,SEATTLE,WA,6242,Homeless shelters,50-99,56,65362,0,28,138,85.68,97.92,5.1,83,2.44,4.72,18.14,35.10,5.82,1.0
822367569,1280447,,Crowne Plaza Phoenix Airport,PHOENIX,AZ,5611,Hotel management services (except complete operation of client's business),50-99,75,77976,0,5,0,12.82,12.82,,80,0.00,0.71,18.07,,6.14,1.0
351299716,1014752,Tire Rack,TRH012,SANTA FE SPRINGS,CA,4541,Electronic Shopping and Mail-Order Houses,20-49,23,45286,0,9,250,39.75,44.16,62.5,55,0.00,2.20,18.05,,6.24,1.0
814691830,665961,"Three Stone Hearth, LLC","Three Stone Hearth, LLC",BERKELEY,CA,4452,Specialty food stores,20-49,39,52502,0,10,55,38.09,38.09,5.5,107,0.00,2.12,17.99,,7.93,1.0
160968914,871901,The Resource Center (Chautauqua County Chapter of NYSARC),The Resource Center - Busti,JAMESTOWN,NY,6241,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",20-49,26,24487,0,8,31,65.34,65.34,3.9,559,0.00,3.66,17.87,,7.18,1.0
820796154,1157194,"VRC Companies, LLC",LAX6,COMMERCE,CA,4931,Document storage and warehousing,1-19,10,25426,0,5,316,39.33,39.33,105.3,586,0.00,2.20,17.85,,7.43,1.0
352546107,928255,The Aviary Recovery Center,The Aviary Recovery Center,EOLIA,MO,6214,"Outpatient treatment centers and clinics (except hospitals) for substance abuse (i.e., alcoholism, drug addiction)",50-99,59,83016,0,11,55,26.50,26.50,5.0,208,0.00,1.49,17.78,,8.03,1.0
453784316,1041102,Sonesta International Hotel Corporation,Sonesta Select Los Angeles LAX,EL SEGUNDO,CA,7211,,20-49,45,36780,0,7,257,38.06,43.50,85.7,2335,0.00,2.14,17.78,,8.64,1.0
602876281,1051378,Paradigm Building Conractors,Paradigm Building Contractors,AUBURN,WA,2362,Commercial building construction general contractors,50-99,64,51653,0,6,4,23.23,23.23,1.3,1003,0.00,1.31,17.70,,9.51,1.0
160968914,1225554,The Resource Center (Chautauqua County Chapter of NYSARC),The Resource Center - Foote Avenue A1,JAMESTOWN,NY,6241,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",20-49,24,34095,0,11,40,64.53,64.53,5.0,559,0.00,3.66,17.64,,7.09,0.9956
956000735,685023,CITY OF LA RECREATION AND PARKS,Celes King III Swimming Pool,LOS ANGELES,CA,7139,,20-49,28,28789,0,5,87,34.74,48.63,17.4,203,0.00,1.97,17.64,,7.09,1.0
261186759,870057,Peachtree Hospitality Management,Hampton Inn Paso Robles,PASO ROBLES,CA,7211,Hotels (except casino hotels),20-49,42,37094,0,7,26,37.74,37.74,8.7,2335,0.00,2.14,17.63,,8.56,0.9986
471026468,1290372,"Bata Plastics, Inc.",OLB dba Bata Plastics Ohio,TOLEDO,OH,4239,Recyclable Material Merchant Wholesalers,1-19,13,23638,0,5,88,42.30,42.30,22.0,186,0.00,2.40,17.61,,7.02,1.0
941735271,1181438,Telecare Corporation,Pierce County E & T,MILTON,WA,6222,Psychiatric hospitals (except convalescent),20-49,43,65081,0,22,267,67.61,67.61,12.1,65,0.00,3.91,17.27,,6.92,1.0
221186610,134546,PASSAIC COUNTY WELDERS,PASSAIC COUNTY WELDERS,WAYNE,NJ,3323,Fabricated structural metal manufacturing,20-49,28,46658,0,10,114,42.87,42.87,11.4,1069,0.00,2.51,17.07,,9.64,1.0
256986325,1283509,"Hebert Construction, LLC","Hebert Construction, LLC",LEWISTON,ME,2362,Commercial Building Construction,50-99,76,136733,0,15,6,21.94,21.94,3.0,1003,0.00,1.31,16.72,,8.95,0.9977
520795508,1035723,WHITESBURG ARH CLINIC,WHITESBURG ARH CLINIC,WHITESBURG,KY,6211,"Family physicians' offices (e.g., centers, clinics)",20-49,37,59307,0,7,25,23.61,33.72,3.6,913,0.00,1.42,16.67,,4.66,0.9691
430398035,620346,Macys,71553,SAN DIEGO,CA,4522,Department Stores,20-49,36,54139,0,5,49,18.47,18.47,24.5,283,0.00,1.11,16.66,,7.07,1.0
526000878,1364872,"Anne Arundel County Government, Maryland",PW EASTERN ROADS - MOUNTAIN,PASADENA,MD,2373,"Curbs and street gutters, highway, road and street, construction",20-49,24,29301,0,6,413,40.95,40.95,68.8,904,0.00,2.46,16.62,,9.45,1.0
208886902,1245252,"CTW Home Health, LLC",Circle of Care,SAN ANTONIO,TX,6216,Home health care agencies,250-999,287,375000,0,49,207,26.13,28.27,4.2,249,0.88,1.57,16.62,29.70,10.28,1.0
680683460,658221,Lidl US,Store 1448,PARK RIDGE,NJ,4451,Retail,20-49,20,29754,0,7,431,47.05,53.77,86.2,2551,0.00,2.85,16.50,,8.97,1.0
461283369,882985,HomeWorks Energy,HWE Springfield Insulation,SPRINGFIELD,MA,2383,Insulation contractors,50-99,65,99968,0,19,332,38.01,44.01,22.1,530,1.46,2.32,16.41,26.11,9.67,1.0
411686078,321173,"Steinhagen Enterprises, Inc.","Steinhagen Enterprises, Inc.",YOUNG AMERICA,MN,2389,Artificial turf installation,20-49,22,44792,0,5,90,22.33,22.33,90.0,1483,0.00,1.36,16.38,,6.7,0.995
381249848,1369832,Gordon Food Service,ILBLOOM01,BLOOMINGTON,IL,4244,General Line Grocery Merchant Wholesalers,1-19,19,32687,0,7,363,42.83,48.95,60.5,358,0.00,2.62,16.37,,6.59,0.9905
042197449,396570,"May Institute, Inc.",Wilmington School - School,WILMINGTON,MA,6232,"Alcoholism rehabilitation facilities (except licensed hospitals), residential",50-99,50,64632,0,19,255,58.79,99.02,18.2,351,2.00,3.60,16.33,29.42,9.8,1.0
430559760,1331111,Ameren Missouri,AMEREN MISSOURI - Geraldine,ST LOUIS,MO,2211,Electric Power Transmission Control and Distribution,20-49,33,66299,0,7,110,21.12,21.12,22.0,1297,0.00,1.30,16.28,,7.05,0.9943
845068583,900668,TenFour Logistics LLC,TenFour Logistics LLC,PAINESVILLE,OH,4841,"General freight trucking, local",20-49,45,69605,0,18,342,51.72,68.96,19.0,1981,2.34,3.18,16.26,22.06,11.78,1.0
871846960,1207035,Frontline Express Solutions LLC.,Frontline Express Solutions LLC,MANTECA,CA,5614,"Parcel Mailing Services, Private",50-99,53,57344,0,5,56,17.44,17.44,11.2,35,0.00,1.08,16.22,,4.47,1.0
910141770,1312523,Bellingham Marine Industries Inc.,"Bellingham Marine Industries, Inc. - Southwest Division",DIXON,CA,2362,Manufacturing building construction,100-249,127,274910,0,20,81,14.55,15.28,13.5,604,0.39,0.90,16.17,37.75,8.39,1.0
611458290,1302125,Tennyson Center for Children,Day Treatment Services,DENVER,CO,6111,Elementary and secondary schools,50-99,58,67231,0,13,38,38.67,101.14,9.5,820,1.69,2.39,16.15,22.89,9.2,0.9978
271175569,1343521,Twin Cities Junk Hauling LLC,Twin Cities Junk Hauling LLC,MINNEAPOLIS,MN,5622,"Waste disposal landfills, nonhazardous solid",50-99,64,95919,0,19,31,39.62,50.04,3.4,102,1.25,2.47,16.07,31.77,7.74,1.0
946000549,360722,Yuba County,Yuba County Juvenile Hall/Camp Singer,MARYSVILLE,CA,9211,"General services departments, government",50-99,51,98425,0,17,99,34.54,34.54,7.6,366,1.27,2.15,16.06,27.17,8.88,1.0
874281139,1102973,,NBLY Co Ops CO SPV LLC d/b/a Rooter Town Colorado,COLORADO SPRINGS,CO,2382,Plumbing and heating contractors,20-49,21,48005,0,8,46,33.33,37.50,23.0,3383,0.00,2.08,16.02,,7.95,0.9992
362153531,737692,Smith Filter Corporation,Smith Filter Corporation,MOLINE,IL,3334,"Air purification equipment, stationary, manufacturing",50-99,65,86632,0,13,0,30.01,30.01,,101,1.22,1.88,15.95,24.68,7.96,1.0
760509980,1273840,Charles River Labs,Charles River Labs - Worcester (Union Street),WORCESTER,MA,5417,Biotechnology research and development laboratories or services in genetics (except nanobiotechnology research and development),20-49,49,85219,0,5,14,11.73,14.08,7.0,118,0.00,0.74,15.87,,5.57,1.0
237254097,1234748,"Integrated Supports for Living, Inc.",Old Nook,SALEM,OR,6232,"Group homes, intellectual and developmental disability",1-19,14,20876,0,6,74,57.48,67.06,14.8,604,0.00,3.63,15.86,,7.55,1.0
463123110,1414676,Sweet Tree Holdings 1 LLC,Warren's Gore,WARREN'S GORE,VT,1151,Agriculture production or harvesting crews,1-19,14,27819,0,5,80,35.95,71.89,16.0,206,0.00,2.28,15.76,,6.93,1.0
066002088,295192,Town of South Windsor,Town of South Windsor - Treatment Plant,SOUTH WINDSOR,CT,2213,Sewage treatment plants or facilities,1-19,12,26907,0,6,21,44.60,52.03,21.0,173,0.00,2.84,15.69,,7.28,1.0
383826912,855273,85C Bakery Cafe,Central Kitchen Brea,BREA,CA,3118,Commercial bakeries,100-249,100,133870,0,39,1572,58.27,58.27,62.9,272,2.78,3.72,15.67,20.94,11.2,1.0
010319802,1345413,SPURWINK SERVICES,GPP-Glickman Academy,PORTLAND,ME,6111,"Boarding schools, elementary or secondary",20-49,45,66179,0,12,3,36.27,36.27,1.5,422,0.00,2.32,15.66,,5.93,0.992
421705218,1084203,"RED RHINO of FL, Inc",ORL Branch RED RHINO PLKD,ORLANDO,FL,2389,"Swimming pool, outdoor, construction",20-49,23,47014,0,5,33,21.27,21.27,16.5,1483,0.00,1.36,15.61,,6.36,0.99
992539703,1283677,"SPP Products, LLC","SPP Products, LLC",SUGAR LAND,TX,4251,"Agents and brokers, nondurable goods, wholesale trade",20-49,45,86760,0,9,0,20.75,20.75,,55,0.00,1.33,15.61,,5.95,1.0
421051659,1317036,Aldi Inc Pennsylvania,421  Fre80,YORK,PA,4451,Supermarkets and Other Grocery Retailers except Convenience Retailers,20-49,22,31437,0,7,109,44.53,44.53,27.3,2551,0.00,2.85,15.61,,8.46,0.999
390989700,665223,Merrill Steel,Merrill Steel,SPRINGFIELD,MO,2362,Commercial building construction,100-249,159,328053,0,23,108,14.02,19.51,21.6,604,0.39,0.90,15.58,36.38,8.06,0.9967
470829179,1045716,"Midwest Medical Transport Company, LLC",Warwick RI,WARWICK,RI,6219,Ambulance Services,20-49,26,40748,0,8,46,39.27,39.27,5.8,1162,0.00,2.53,15.49,,8.21,1.0
810943926,568222,Gronen Restoration Inc.,Gronen Restoration Inc.,DUBUQUE,IA,2362,"Addition, alteration and renovation general contractors, commercial and institutional building",20-49,27,50161,0,5,94,19.94,31.90,31.3,1852,0.00,1.29,15.48,,5.37,0.9846
273261289,825436,Bartz-Altadonna Community Health Center,ICB,LANCASTER,CA,6214,"Biofeedback centers and clinics, outpatient",20-49,40,83200,0,9,41,21.63,21.63,4.6,430,0.00,1.41,15.38,,6.96,1.0
060603712,555985,Puerto Rico Waste Industries,Conwaste Recogido Canovanas,GURABO,PR,5621,Garbage collection services,1-19,19,39520,0,5,13,25.30,25.30,3.3,370,0.00,1.64,15.38,,6.17,1.0
