staging_model,source_name,raw_table,raw_exists,raw_row_count,raw_bytes
stg_fed_cms_dialysis__facilities,ripple_raw,FED_CMS_DIALYSIS,yes,7557,1848320
stg_fed_cms_facility_affiliation__providers,ripple_raw,FED_CMS_FACILITY_AFFILIATION,yes,2260193,28841984
stg_fed_cms_hcris__hospital_cost_report,ripple_raw,FED_CMS_HCRIS,yes,6103,2900992
stg_fed_cms_home_health__facilities,ripple_raw,FED_CMS_HOME_HEALTH,yes,12392,3089408
stg_fed_cms_hospice__facilities,ripple_raw,FED_CMS_HOSPICE,yes,6852,409600
stg_fed_cms_hospital_compare__facilities,ripple_raw,FED_CMS_HOSPITAL_COMPARE,yes,5432,468992
stg_fed_cms_hospital_general__facilities,ripple_raw,FED_CMS_HOSPITAL_GENERAL,yes,5432,468992
stg_fed_cms_hpt_mrf__providers,ripple_raw,FED_CMS_HPT_MRF,yes,1,3072
stg_fed_cms_irf__facilities,ripple_raw,FED_CMS_IRF,yes,1222,84480
stg_fed_cms_ltch__facilities,ripple_raw,FED_CMS_LTCH,yes,311,26112
stg_fed_cms_main__records,ripple_raw,FED_CMS_MAIN,yes,158,299008
stg_fed_cms_medicare_provider__providers,ripple_raw,FED_CMS_MEDICARE_PROVIDER,yes,1296739,141097984
stg_fed_cms_nadac__records,ripple_raw,FED_CMS_NADAC,yes,1497925,11106304
stg_fed_cms_nppes__npi_providers,ripple_raw,FED_CMS_NPPES,yes,9606683,1332882432
stg_fed_cms_nursing_home__nursing_home_facilities,ripple_raw,FED_CMS_NURSING_HOME,yes,14700,3931648
stg_fed_cms_open_payments_gnrl__records,ripple_raw,FED_CMS_OPEN_PAYMENTS_GNRL,yes,15397627,1029318144
stg_fed_cms_open_payments_profile_supplement__recipient_profiles,ripple_raw,FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT,yes,1697025,71257600
stg_fed_cms_part_d_prescribers__providers,ripple_raw,FED_CMS_PART_D_PRESCRIBERS,yes,1416883,170281472
stg_fed_cms_partd_prescriber_drug__records,ripple_raw,FED_CMS_PARTD_PRESCRIBER_DRUG,yes,25869521,632393728
stg_fed_cms_pos_other__facilities,ripple_raw,FED_CMS_POS_OTHER,yes,44429,5041152
stg_fed_college_scorecard_institution__records,ripple_raw,FED_COLLEGE_SCORECARD_INSTITUTION,MISSING_IN_RAW,,
stg_fed_congress_committee_membership__people,ripple_raw,FED_CONGRESS_COMMITTEE_MEMBERSHIP,yes,3879,86016
stg_fed_consolidated_screening_list__entries,ripple_raw,FED_CONSOLIDATED_SCREENING_LIST,yes,25918,3964928
stg_fed_david_rumsey__records,ripple_raw,FED_DAVID_RUMSEY,yes,10,2048
stg_fed_densho_ddr__records,ripple_raw,FED_DENSHO_DDR,yes,25,3584
stg_fed_dhs_hifld__facilities,ripple_raw,FED_DHS_HIFLD,yes,500,9728
stg_fed_dhs_ohss__records,ripple_raw,FED_DHS_OHSS,yes,50740,9109504
stg_fed_dhs_yearbook__places,ripple_raw,FED_DHS_YEARBOOK,yes,27,2560
stg_fed_docsouth__records,ripple_raw,FED_DOCSOUTH,yes,144,14336
stg_fed_doj_crt_cases__crt_cases,ripple_raw,FED_DOJ_CRT_CASES,yes,1,2048
stg_fed_doj_epstein_library__records,ripple_raw,FED_DOJ_EPSTEIN_LIBRARY,yes,777,28160
stg_fed_doj_fca_settlements__fca_settlements,ripple_raw,FED_DOJ_FCA_SETTLEMENTS,yes,19,3584
stg_fed_dol_ebsa_form5500_schedule_sb__filings,ripple_raw,FED_DOL_EBSA_FORM5500_SCHEDULE_SB,yes,41802,5329920
stg_fed_dol_form5500__records,ripple_raw,FED_DOL_FORM5500,yes,33484,4220928
stg_fed_dol_oflc__records,ripple_raw,FED_DOL_OFLC,yes,664616,109474304
stg_fed_dol_olms__filings,ripple_raw,FED_DOL_OLMS,yes,617710,71259648
stg_fed_dol_osha_inspection__all,ripple_raw,FED_DOL_OSHA_INSPECTION,MISSING_IN_RAW,,
stg_fed_dot_bts__records,ripple_raw,FED_DOT_BTS,yes,21,6144
stg_fed_eac_eavs__records,ripple_raw,FED_EAC_EAVS,yes,6460,2206208
stg_fed_ed_college_scorecard_institution__institutions,ripple_raw,FED_ED_COLLEGE_SCORECARD_INSTITUTION,yes,6273,27774464
stg_fed_ed_edfacts__records,ripple_raw,FED_ED_EDFACTS,yes,33,4096
stg_fed_ed_fsa_datacenter__records,ripple_raw,FED_ED_FSA_DATACENTER,yes,1,1536
stg_fed_ed_nces_cip_codes__cip_codes,ripple_raw,FED_ED_NCES_CIP_CODES,yes,2318,310784
stg_fed_eia860_1_utility__all,ripple_raw,FED_EIA860_1_UTILITY,yes,6643,250880
stg_fed_eia860_2_plant__all,ripple_raw,FED_EIA860_2_PLANT,yes,16132,1571840
stg_fed_eia860_3_1_generator__all,ripple_raw,FED_EIA860_3_1_GENERATOR,yes,26856,1548800
stg_fed_eia860_3_2_wind__all,ripple_raw,FED_EIA860_3_2_WIND,yes,1563,95744
stg_fed_eia860_3_3_solar__all,ripple_raw,FED_EIA860_3_3_SOLAR,yes,7154,380928
stg_fed_eia860_3_4_energy_storage__all,ripple_raw,FED_EIA860_3_4_ENERGY_STORAGE,yes,786,61952
stg_fed_eia860_3_5_multifuel__all,ripple_raw,FED_EIA860_3_5_MULTIFUEL,yes,2893,145408
stg_fed_eia860_4_owner__all,ripple_raw,FED_EIA860_4_OWNER,yes,5496,228864
stg_fed_eia860_6_1_enviroassoc__all,ripple_raw,FED_EIA860_6_1_ENVIROASSOC,yes,7021,132096
stg_fed_eia860_6_2_enviroequip__all,ripple_raw,FED_EIA860_6_2_ENVIROEQUIP,yes,4429,219136
stg_fed_eia861_advanced_meters__meter_counts,ripple_raw,FED_EIA861_ADVANCED_METERS,yes,2725,258048
stg_fed_eia861_balancing_authority__all,ripple_raw,FED_EIA861_BALANCING_AUTHORITY,yes,188,4608
stg_fed_eia861_delivery_companies__sales,ripple_raw,FED_EIA861_DELIVERY_COMPANIES,yes,9,4608
stg_fed_eia861_demand_response__programs,ripple_raw,FED_EIA861_DEMAND_RESPONSE,yes,340,39424
stg_fed_eia861_distribution_systems__circuits,ripple_raw,FED_EIA861_DISTRIBUTION_SYSTEMS,yes,1353,31744
stg_fed_eia861_dynamic_pricing__enrollment,ripple_raw,FED_EIA861_DYNAMIC_PRICING,yes,858,33792
stg_fed_eia861_energy_efficiency__programs,ripple_raw,FED_EIA861_ENERGY_EFFICIENCY,yes,460,94208
stg_fed_eia861_frame__respondents,ripple_raw,FED_EIA861_FRAME,yes,3412,77312
stg_fed_eia861_mergers__mergers,ripple_raw,FED_EIA861_MERGERS,yes,4,2560
stg_fed_eia861_net_metering__capacity,ripple_raw,FED_EIA861_NET_METERING,yes,1006,190976
stg_fed_eia861_non_net_metering_distributed__capacity,ripple_raw,FED_EIA861_NON_NET_METERING_DISTRIBUTED,yes,507,62976
stg_fed_eia861_operational_data__operations,ripple_raw,FED_EIA861_OPERATIONAL_DATA,yes,1712,173568
stg_fed_eia861_reliability__reliability_metrics,ripple_raw,FED_EIA861_RELIABILITY,yes,973,92160
stg_fed_eia861_sales_ult_cust__sales,ripple_raw,FED_EIA861_SALES_ULT_CUST,yes,2817,211456
stg_fed_eia861_sales_ult_cust_cs__facility_sales,ripple_raw,FED_EIA861_SALES_ULT_CUST_CS,yes,676,45056
stg_fed_eia861_service_territory__counties,ripple_raw,FED_EIA861_SERVICE_TERRITORY,yes,11775,155648
stg_fed_eia861_short_form__responses,ripple_raw,FED_EIA861_SHORT_FORM,yes,1724,63488
stg_fed_eia861_utility_data__utility_profile,ripple_raw,FED_EIA861_UTILITY_DATA,yes,1701,52736
stg_fed_eia_861_balancing_authority__all,ripple_raw,FED_EIA_861_BALANCING_AUTHORITY,yes,189,5120
stg_fed_eoir_case_data__records,ripple_raw,FED_EOIR_CASE_DATA,yes,12631225,458483712
stg_fed_epa_aqs_sites__sites,ripple_raw,FED_EPA_AQS_SITES,yes,20994,1478144
stg_fed_epa_echo__records,ripple_raw,FED_EPA_ECHO,yes,3157891,429934592
stg_fed_epa_envirofacts__facility_sample,ripple_raw,FED_EPA_ENVIROFACTS,yes,5000,121856
stg_fed_epa_frs_frs_facilities__facilities,ripple_raw,FED_EPA_FRS_FRS_FACILITIES,yes,3277557,128762880
stg_fed_epa_frs_full__all,ripple_raw,FED_EPA_FRS_FULL,yes,5300149,342178304
stg_fed_epa_ghgrp_emission__emissions,ripple_raw,FED_EPA_GHGRP_EMISSION,yes,346683,1989120
stg_fed_epa_ghgrp_facility__facilities,ripple_raw,FED_EPA_GHGRP_FACILITY,yes,136005,3099136
stg_fed_epa_rcra_enforcements__enforcements,ripple_raw,FED_EPA_RCRA_ENFORCEMENTS,yes,383519,4120064
stg_fed_epa_rcra_evaluations__evaluations,ripple_raw,FED_EPA_RCRA_EVALUATIONS,yes,1166410,9228288
stg_fed_epa_rcra_facilities__facilities,ripple_raw,FED_EPA_RCRA_FACILITIES,yes,1613224,66983424
stg_fed_epa_rcra_rcra_naics__naics_codes,ripple_raw,FED_EPA_RCRA_RCRA_NAICS,yes,434734,2455040
stg_fed_epa_rcra_violations__violations,ripple_raw,FED_EPA_RCRA_VIOLATIONS,yes,708114,8390144
stg_fed_epa_rcra_viosnc_history__monthly_status,ripple_raw,FED_EPA_RCRA_VIOSNC_HISTORY,yes,2675581,4619264
stg_fed_epa_superfund_site_boundaries__boundaries,ripple_raw,FED_EPA_SUPERFUND_SITE_BOUNDARIES,yes,2114,792576
stg_fed_epa_tri_facility__facilities,ripple_raw,FED_EPA_TRI_FACILITY,yes,64990,8884224
stg_fed_faa_aircraft_registry__aircraft,ripple_raw,FED_FAA_AIRCRAFT_REGISTRY,yes,315447,18398720
stg_fed_faa_data_portal__records,ripple_raw,FED_FAA_DATA_PORTAL,yes,4,2048
stg_fed_faa_registry__records,ripple_raw,FED_FAA_REGISTRY,yes,314417,17018880
stg_fed_fara__records,ripple_raw,FED_FARA,yes,30,5632
stg_fed_fara_bulk__fara_registrations,ripple_raw,FED_FARA_BULK,yes,221900,6968320
stg_fed_fatca_ffi__institutions,ripple_raw,FED_FATCA_FFI,yes,516298,11107328
stg_fed_fbi_cde__state_month,ripple_raw,FED_FBI_CDE,yes,477360,2258944
stg_fed_fbi_nics_checks__records,ripple_raw,FED_FBI_NICS_CHECKS,yes,16445,607232
stg_fed_fcc_licensing__records,ripple_raw,FED_FCC_LICENSING,yes,1689338,84596224
stg_fed_fda_caers__all,ripple_raw,FED_FDA_CAERS,yes,43,6424576
stg_fed_fda_device_510k__all,ripple_raw,FED_FDA_DEVICE_510K,yes,88,153731584
stg_fed_fda_device_classification__device_classifications,ripple_raw,FED_FDA_DEVICE_CLASSIFICATION,yes,1,4559872
stg_fed_fda_device_enforcement__device_enforcement_recalls,ripple_raw,FED_FDA_DEVICE_ENFORCEMENT,yes,20,97443328
stg_fed_fda_device_pma__all,ripple_raw,FED_FDA_DEVICE_PMA,yes,29,30618624
stg_fed_fda_drug_enforcement__drug_enforcement_recalls,ripple_raw,FED_FDA_DRUG_ENFORCEMENT,yes,1,6336512
stg_fed_fda_drug_master_files__dmfs,ripple_raw,FED_FDA_DRUG_MASTER_FILES,yes,41253,1573376
stg_fed_fda_establishment_reg__all,ripple_raw,FED_FDA_ESTABLISHMENT_REG,yes,166,74656768
stg_fed_fda_gudid__all,ripple_raw,FED_FDA_GUDID,yes,2542,1533321728
stg_fed_fda_maude__all,ripple_raw,FED_FDA_MAUDE,yes,1386,1483938816
stg_fed_fda_purple_book__licenses,ripple_raw,FED_FDA_PURPLE_BOOK,yes,2233,118784
stg_fed_fda_unii_gsrs_substances__substances,ripple_raw,FED_FDA_UNII_GSRS_SUBSTANCES,yes,168046,13572096
stg_fed_fdic_bank_data__institutions,ripple_raw,FED_FDIC_BANK_DATA,yes,27836,6981632
stg_fed_fdic_enforcement__enforcement_orders,ripple_raw,FED_FDIC_ENFORCEMENT,yes,14,3584
stg_fed_fdic_failed_banks__failed_banks,ripple_raw,FED_FDIC_FAILED_BANKS,yes,4115,363520
stg_fed_fdic_sod_branch_deposits__branches,ripple_raw,FED_FDIC_SOD_BRANCH_DEPOSITS,yes,2823000,276342784
stg_fed_fec_api__records,ripple_raw,FED_FEC_API,yes,500,23040
stg_fed_fec_bulk__records,ripple_raw,FED_FEC_BULK,yes,20938,1396736
stg_fed_fec_bulk_committees__records,ripple_raw,FED_FEC_BULK_COMMITTEES,yes,20007,1331200
stg_fed_fec_cand_cmte_linkage__records,ripple_raw,FED_FEC_CAND_CMTE_LINKAGE,yes,30536,510464
stg_fed_fec_candidates__records,ripple_raw,FED_FEC_CANDIDATES,yes,33506,1692672
stg_fed_fec_committee_to_candidate__records,ripple_raw,FED_FEC_COMMITTEE_TO_CANDIDATE,yes,866730,23927808
stg_fed_fec_committees__records,ripple_raw,FED_FEC_COMMITTEES,yes,78039,5020160
stg_fed_fec_independent_expenditures__records,ripple_raw,FED_FEC_INDEPENDENT_EXPENDITURES,yes,261033,10161152
stg_fed_fec_indiv_contributions__records,ripple_raw,FED_FEC_INDIV_CONTRIBUTIONS,yes,84172112,2819981824
stg_fed_fec_leadership_pac__all,ripple_raw,FED_FEC_LEADERSHIP_PAC,yes,8619,171520
stg_fed_fec_pac_summary__records,ripple_raw,FED_FEC_PAC_SUMMARY,yes,48395,2824704
stg_fed_federal_register_documents__federal_register_documents,ripple_raw,FED_FEDERAL_REGISTER_DOCUMENTS,yes,94731,42133504
stg_fed_fema_ia_housing_registrations__registrations,ripple_raw,FED_FEMA_IA_HOUSING_REGISTRATIONS,yes,21730000,1746891264
stg_fed_fema_nfip_community_status_book__communities,ripple_raw,FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK_FULL_R2,yes,25125,1084416
stg_fed_ffiec_call_reports__records,ripple_raw,FED_FFIEC_CALL_REPORTS,yes,302,16384
stg_fed_fhfa_fhlb_membership__members,ripple_raw,FED_FHFA_FHLB_MEMBERSHIP,yes,6327,314368
stg_fed_fhfa_hpi__records,ripple_raw,FED_FHFA_HPI,yes,184807,1577472
stg_fed_fhfa_nmdb__records,ripple_raw,FED_FHFA_NMDB,yes,19054246,23705088
stg_fed_fhfa_suspended_counterparty_program__suspended_counterparty,ripple_raw,FED_FHFA_SUSPENDED_COUNTERPARTY_PROGRAM,yes,241,14848
stg_fed_fincen_boi__organizations,ripple_raw,FED_FINCEN_BOI,yes,1,2048
stg_fed_finra_mpid_list__market_participants,ripple_raw,FED_FINRA_MPID_LIST,yes,4215,111616
stg_fed_fjc_idb_appellate__appeal_records,ripple_raw,FED_FJC_IDB_APPELLATE,yes,988183,31481856
stg_fed_fjc_idb_bankruptcy__case_snapshots,ripple_raw,FED_FJC_IDB_BANKRUPTCY,yes,6965441,583996928
stg_fed_fjc_idb_civil__case_records,ripple_raw,FED_FJC_IDB_CIVIL,yes,10857396,323442688
stg_fed_fjc_idb_criminal__defendant_records,ripple_raw,FED_FJC_IDB_CRIMINAL,yes,6299908,453715456
stg_fed_fjc_judges__people,ripple_raw,FED_FJC_JUDGES,yes,4067,1409024
stg_fed_fjc_service__people,ripple_raw,FED_FJC_SERVICE,yes,4766,428032
stg_fed_foreignassistance__records,ripple_raw,FED_FOREIGNASSISTANCE,yes,3967456,5643264
stg_fed_fra_casualties__all,ripple_raw,FED_FRA_CASUALTIES,yes,1150788,78520320
stg_fed_fra_crossing_incidents__all,ripple_raw,FED_FRA_CROSSING_INCIDENTS,yes,251149,29287936
stg_fed_fra_equipment_accidents__all,ripple_raw,FED_FRA_EQUIPMENT_ACCIDENTS,yes,224941,40760832
stg_fed_fra_safety__places,ripple_raw,FED_FRA_SAFETY,yes,1,1536
stg_fed_fracfocus_disclosure_list__disclosures,ripple_raw,FED_FRACFOCUS_DISCLOSURE_LIST,yes,248835,15150592
stg_fed_fracfocus_registry__ingredients,ripple_raw,FED_FRACFOCUS_REGISTRY,yes,7200550,350304768
stg_fed_fracfocus_water_source__water_sources,ripple_raw,FED_FRACFOCUS_WATER_SOURCE,yes,23747,2320896
stg_fed_ftc_datasets__records,ripple_raw,FED_FTC_DATASETS,yes,1200,69120
stg_fed_govinfo_bill_cosponsors__records,ripple_raw,FED_GOVINFO_BILL_COSPONSORS,yes,367742,2389504
stg_fed_govinfo_billstatus__records,ripple_raw,FED_GOVINFO_BILLSTATUS,yes,36465,2688000
stg_fed_grants_gov__records,ripple_raw,FED_GRANTS_GOV,yes,100,9216
stg_fed_hhs_oig_leie__exclusions,ripple_raw,FED_HHS_OIG_LEIE,yes,83464,4819456
stg_fed_hhs_taggs__grant_awards,ripple_raw,FED_HHS_TAGGS,yes,45,2560
stg_fed_hrsa_hpsa_primary_care__designations,ripple_raw,FED_HRSA_HPSA_PRIMARY_CARE,yes,79158,3090432
stg_fed_hrsa_shortage_areas__records,ripple_raw,FED_HRSA_SHORTAGE_AREAS,yes,165531,7729152
stg_fed_hrsa_uds_health_center_info__centers,ripple_raw,FED_HRSA_UDS_HEALTH_CENTER_INFO,yes,1356,141312
stg_fed_hrsa_uds_service_delivery_sites__sites,ripple_raw,FED_HRSA_UDS_SERVICE_DELIVERY_SITES,yes,19038,3701248
stg_fed_hrsa_uds_table3a_patients__by_center,ripple_raw,FED_HRSA_UDS_TABLE3A_PATIENTS,yes,1357,340992
stg_fed_hud_assisted_housing_projects__summaries,ripple_raw,FED_HUD_ASSISTED_HOUSING_PROJECTS,yes,35601,6021120
stg_fed_hud_data__records,ripple_raw,FED_HUD_DATA,yes,77,13312
stg_fed_hud_fha_sf_portfolio_snapshot__loans,ripple_raw,FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT,yes,61647,1934336
stg_fed_hud_mf_firm_commitments__commitments,ripple_raw,FED_HUD_MF_FIRM_COMMITMENTS,yes,25565,1580032
stg_fed_hud_mf_section8_contracts__contracts,ripple_raw,FED_HUD_MF_SECTION8_CONTRACTS,yes,24309,1984000
stg_fed_hud_public_housing_authorities__authorities,ripple_raw,FED_HUD_PUBLIC_HOUSING_AUTHORITIES,yes,3787,1329152
stg_fed_ice_detainers__all,ripple_raw,FED_ICE_DETAINERS,yes,609769,32890880
stg_fed_ice_detention_facility_codes__facility_codes,ripple_raw,FED_ICE_DETENTION_FACILITY_CODES,yes,1490,115712
stg_fed_ice_detention_facility_list__facility,ripple_raw,FED_ICE_DETENTION_FACILITY_LIST,yes,165,7168
stg_fed_ice_detention_stints__all,ripple_raw,FED_ICE_DETENTION_STINTS,yes,2617844,337355264
stg_fed_ice_statistics__records,ripple_raw,FED_ICE_STATISTICS,yes,221,5120
stg_fed_icij_offshoreleaks__addresses,ripple_raw,FED_ICIJ_OFFSHORELEAKS_ADDRESSES,yes,402246,14764032
stg_fed_icij_offshoreleaks__entities,ripple_raw,FED_ICIJ_OFFSHORELEAKS_ENTITIES,yes,814344,25801216
stg_fed_icij_offshoreleaks__intermediaries,ripple_raw,FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,yes,26768,1511936
stg_fed_icij_offshoreleaks__officers,ripple_raw,FED_ICIJ_OFFSHORELEAKS_OFFICERS,yes,771315,11492352
stg_fed_icij_offshoreleaks__others,ripple_raw,FED_ICIJ_OFFSHORELEAKS_OTHERS,yes,2989,108544
stg_fed_icij_offshoreleaks__relationships,ripple_raw,FED_ICIJ_OFFSHORELEAKS_RELATIONSHIPS,yes,3339267,22287872
stg_fed_ihs_facilities__facilities,ripple_raw,FED_IHS_FACILITIES,yes,1010,117760
stg_fed_ihs_scb_facility__facilities,ripple_raw,FED_IHS_SCB_FACILITY,yes,8733,199680
stg_fed_irs_527_orgs__records,ripple_raw,FED_IRS_527_ORGS,yes,77591,11425792
stg_fed_irs_990__organizations,ripple_raw,FED_IRS_990,yes,200,11776
stg_fed_irs_990_efile_index__records,ripple_raw,FED_IRS_990_EFILE_INDEX,yes,5544626,169033728
stg_fed_irs_bmf__organizations,ripple_raw,FED_IRS_BMF,yes,1974830,103877632
stg_fed_irs_eo_bmf__orgs,ripple_raw,FED_IRS_EO_BMF,yes,3949660,204001792
stg_fed_irs_eo_pr__records,ripple_raw,FED_IRS_EO_PR,yes,2587,201728
stg_fed_irs_revocation__organizations,ripple_raw,FED_IRS_REVOCATION,yes,1206628,42182656
stg_fed_irs_soi__records,ripple_raw,FED_IRS_SOI,yes,179796,26713600
stg_fed_itis_comments__comments,ripple_raw,FED_ITIS_COMMENTS,yes,70524,3730944
stg_fed_itis_experts__experts,ripple_raw,FED_ITIS_EXPERTS,yes,197,15872
stg_fed_itis_geographic_div__geographic_divisions,ripple_raw,FED_ITIS_GEOGRAPHIC_DIV,yes,480351,1042432
stg_fed_itis_hierarchy__hierarchy,ripple_raw,FED_ITIS_HIERARCHY,yes,678363,6313472
stg_fed_itis_jurisdiction__jurisdictions,ripple_raw,FED_ITIS_JURISDICTION,yes,161922,1828864
stg_fed_itis_kingdoms__kingdoms,ripple_raw,FED_ITIS_KINGDOMS,yes,7,1536
stg_fed_itis_longnames__complete_names,ripple_raw,FED_ITIS_LONGNAMES,yes,993346,9399808
stg_fed_itis_nodc_ids__nodc_ids,ripple_raw,FED_ITIS_NODC_IDS,yes,209565,2651136
stg_fed_itis_other_sources__other_sources,ripple_raw,FED_ITIS_OTHER_SOURCES,yes,1071,81408
stg_fed_itis_publications__publications,ripple_raw,FED_ITIS_PUBLICATIONS,yes,30772,3513856
stg_fed_itis_reference_links__reference_links,ripple_raw,FED_ITIS_REFERENCE_LINKS,yes,1970107,4485632
stg_fed_itis_strippedauthor__stripped_authors,ripple_raw,FED_ITIS_STRIPPEDAUTHOR,yes,214445,3864064
stg_fed_itis_synonym_links__synonyms,ripple_raw,FED_ITIS_SYNONYM_LINKS,yes,315254,1600000
stg_fed_itis_taxon_authors_lkp__authors,ripple_raw,FED_ITIS_TAXON_AUTHORS_LKP,yes,214445,4887040
stg_fed_itis_taxon_unit_types__rank_types,ripple_raw,FED_ITIS_TAXON_UNIT_TYPES,yes,182,3584
stg_fed_itis_taxonomic_units__taxa,ripple_raw,FED_ITIS_TAXONOMIC_UNITS,yes,993346,31604736
stg_fed_itis_tu_comments_links__comment_links,ripple_raw,FED_ITIS_TU_COMMENTS_LINKS,yes,192851,2088960
stg_fed_itis_vern_ref_links__vernacular_ref_links,ripple_raw,FED_ITIS_VERN_REF_LINKS,yes,93078,1205248
stg_fed_itis_vernaculars__vernacular_names,ripple_raw,FED_ITIS_VERNACULARS,yes,166778,3772928
stg_fed_jpml_pending_mdls__mdl_docket,ripple_raw,FED_JPML_PENDING_MDLS,yes,162,11776
stg_fed_mapping_inequality__holc_neighborhood_grades,ripple_raw,FED_MAPPING_INEQUALITY,yes,10154,3175424
stg_fed_medsl_house_returns__records,ripple_raw,FED_MEDSL_HOUSE_RETURNS,yes,29636,844800
stg_fed_medsl_president_returns__records,ripple_raw,FED_MEDSL_PRESIDENT_RETURNS,yes,3740,82944
stg_fed_medsl_senate_returns__records,ripple_raw,FED_MEDSL_SENATE_RETURNS,yes,3945,134656
stg_fed_msha_accidents__records,ripple_raw,FED_MSHA_ACCIDENTS,yes,273623,66702848
stg_fed_msha_mines__records,ripple_raw,FED_MSHA_MINES,yes,91906,7545344
stg_fed_msha_violations__records,ripple_raw,FED_MSHA_VIOLATIONS,yes,3087266,180746752
stg_fed_msrb_registrants__registrants,ripple_raw,FED_MSRB_REGISTRANTS,yes,925,25088
stg_fed_naag_multistate_settlements__multistate_settlements,ripple_raw,FED_NAAG_MULTISTATE_SETTLEMENTS,yes,882,352768
stg_fed_nara_aad__archival_records,ripple_raw,FED_NARA_AAD,yes,554,28160
stg_fed_nara_wra_aad__japanese_american_relocation_records,ripple_raw,FED_NARA_WRA_AAD,yes,36,2560
stg_fed_nasa_open_data__records,ripple_raw,FED_NASA_OPEN_DATA,yes,54,29184
stg_fed_ncua_call_reports__foicu,ripple_raw,FED_NCUA_CALL_REPORTS_FOICU,yes,4336,335360
stg_fed_ncua_call_reports__fs220,ripple_raw,FED_NCUA_CALL_REPORTS_FS220,yes,4336,953856
stg_fed_ncua_charter_merger_events__merger_events,ripple_raw,FED_NCUA_CHARTER_MERGER_EVENTS,yes,27,8704
stg_fed_ncua_federally_insured_cu_list__credit_unions,ripple_raw,FED_NCUA_FEDERALLY_INSURED_CU_LIST,yes,4250,796672
