-- S08 CISA KEV: full extract (1,674 rows) for vendor peer, deadline and ransomware-flag math
CVE_ID | VENDOR_PROJECT | PRODUCT | VULNERABILITY_NAME | DATE_ADDED | DUE_DATE | KNOWN_RANSOMWARE_CAMPAIGN_USE | REQUIRED_ACTION | CWES | SHORT_DESCRIPTION | NOTES
CVE-2023-35674 | Android | Framework | Android Framework Privilege Escalation Vulnerability | 2023-09-13 | 2023-10-04 | Unknown | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. |  | Android Framework contains an unspecified vulnerability that allows for privilege escalation. | https://source.android.com/docs/security/bulletin/2023-09-01;  https://nvd.nist.gov/vuln/detail/CVE-2023-35674
CVE-2018-8406 | Microsoft | DirectX Graphics Kernel (DXGKRNL) | Microsoft DirectX Graphics Kernel Privilege Escalation Vulnerability | 2022-03-28 | 2022-04-18 | Known | Apply updates per vendor instructions. | CWE-404 | An elevation of privilege vulnerability exists when the DirectX Graphics Kernel (DXGKRNL) driver improperly handles objects in memory. | https://nvd.nist.gov/vuln/detail/CVE-2018-8406
CVE-2024-38856 | Apache | OFBiz | Apache OFBiz Incorrect Authorization Vulnerability | 2024-08-27 | 2024-09-17 | Unknown | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. | CWE-863 | Apache OFBiz contains an incorrect authorization vulnerability that could allow remote code execution via a Groovy payload in the context of the OFBiz user process by an unauthenticated attacker. | This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://lists.apache.org/thread/olxxjk6b13sl3wh9cmp0k2dscvp24l7w; https://nvd.nist.gov/vuln/detail/CVE-2024-38856
CVE-2019-2215 | Android | Android Kernel | Android Kernel Use-After-Free Vulnerability | 2021-11-03 | 2022-05-03 | Unknown | Apply updates per vendor instructions. | CWE-416 | Android Kernel contains a use-after-free vulnerability in binder.c that allows for privilege escalation from an application to the Linux Kernel. This vulnerability was observed chained with CVE-2020-0041 and CVE-2020-0069 under exploit chain "AbstractEmu." | https://nvd.nist.gov/vuln/detail/CVE-2019-2215
CVE-2006-1547 | Apache | Struts 1 | Apache Struts 1 ActionForm Denial-of-Service Vulnerability | 2022-01-21 | 2022-07-21 | Unknown | Apply updates per vendor instructions. |  | ActionForm in Apache Struts versions before 1.2.9 with BeanUtils 1.7 contains a vulnerability that allows for denial-of-service (DoS). | https://nvd.nist.gov/vuln/detail/CVE-2006-1547
CVE-2026-21519 | Microsoft | Windows | Microsoft Windows Type Confusion Vulnerability | 2026-02-10 | 2026-03-03 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-843 | Microsoft Desktop Windows Manager contains a type confusion vulnerability that could allow an authorized attacker to elevate privileges locally. | https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21519 ; https://nvd.nist.gov/vuln/detail/CVE-2026-21519
CVE-2015-2291 | Intel | Ethernet Diagnostics Driver for Windows | Intel Ethernet Diagnostics Driver for Windows Denial-of-Service Vulnerability | 2023-02-10 | 2023-03-03 | Known | Apply updates per vendor instructions. | CWE-20 | Intel ethernet diagnostics driver for Windows IQVW32.sys and IQVW64.sys contain an unspecified vulnerability that allows for a denial-of-service (DoS). | https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00051.html; https://nvd.nist.gov/vuln/detail/CVE-2015-2291
CVE-2026-25108 | Soliton Systems K.K | FileZen | Soliton Systems K.K FileZen OS Command Injection Vulnerability | 2026-02-24 | 2026-03-17 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-78 | Soliton Systems K.K FileZen contains an OS command injection vulnerability when an user logs-in to the affected product and sends a specially crafted HTTP request. | https://jvn.jp/en/jp/JVN84622767/ ; https://nvd.nist.gov/vuln/detail/CVE-2026-25108
CVE-2025-54313 | Prettier | eslint-config-prettier | Prettier eslint-config-prettier Embedded Malicious Code Vulnerability | 2026-01-22 | 2026-02-12 | Unknown | Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. | CWE-506 | Prettier eslint-config-prettier contains an embedded malicious code vulnerability. Installing an affected package executes an install.js file that launches the node-gyp.dll malware on Windows. | This vulnerability could affect an open-source component, third-party library, protocol, or proprietary implementation that could be used by different products. For more information, please see: https://www.npmjs.com/package/eslint-config-prettier?activeTab=versions ; https://github.com/prettier/eslint-config-prettier/issues/339#issuecomment-3090304490 ; https://nvd.nist.gov/vuln/detail/CVE-2025-54313
CVE-2022-24816 | OSGeo | JAI-EXT | OSGeo GeoServer JAI-EXT Code Injection Vulnerability | 2024-06-26 | 2024-07-17 | Unknown | Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. | CWE-94 | OSGeo GeoServer JAI-EXT contains a code injection vulnerability that, when programs use jt-jiffle and allow Jiffle script to be provided via network request, could allow remote code execution. | This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. The patched JAI-EXT is version 1.1.22: https://github.com/geosolutions-it/jai-ext/releases/tag/1.1.22, https://github.com/geosolutions-it/jai-ext/security/advisories/GHSA-v92f-jx6p-73rx;  https://nvd.nist.gov/vuln/detail/CVE-2022-24816
CVE-2025-20333 | Cisco | Secure Firewall Adaptive Security Appliance and Secure Firewall Threat Defense | Cisco Secure Firewall Adaptive Security Appliance (ASA) and Secure Firewall Threat Defense (FTD) Buffer Overflow Vulnerability | 2025-09-25 | 2025-09-26 | Unknown | The KEV due date refers to the deadline by which FCEB agencies are expected to review and begin implementing the guidance outlined in Emergency Directive (ED) 25-03 (URL listed below in Notes). Agencies must follow the mitigation steps provided by CISA (URL listed below in Notes) and vendor’s instructions (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available. | CWE-120 | Cisco Secure Firewall Adaptive Security (ASA) Appliance and Secure Firewall Threat Defense (FTD) Software VPN Web Server contain a buffer overflow vulnerability that allows for remote code execution. This vulnerability could be chained with CVE-2025-20362. | CISA Mitigation Instructions: https://www.cisa.gov/news-events/directives/ed-25-03-identify-and-mitigate-potential-compromise-cisco-devices ; https://www.cisa.gov/news-events/directives/supplemental-direction-ed-25-03-core-dump-and-hunt-instructions ; https://www.cisa.gov/eviction-strategies-tool/create-from-template ; https://sec.cloudapps.cisco.com/security/center/resources/asa_ftd_continued_attacks ;    https://sec.cloudapps.cisco.com/security/center/private/resources/asa_ftd_continued_attacks#Details ; https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asaftd-webvpn-z5xP8EUB ; https://nvd.nist.gov/vuln/detail/CVE-2025-20333
CVE-2022-41073 | Microsoft | Windows | Microsoft Windows Print Spooler Privilege Escalation Vulnerability | 2022-11-08 | 2022-12-09 | Known | Apply updates per vendor instructions. | CWE-787 | Microsoft Windows Print Spooler contains an unspecified vulnerability that allows an attacker to gain SYSTEM-level privileges. | https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-41073;  https://nvd.nist.gov/vuln/detail/CVE-2022-41073
CVE-2012-4681 | Oracle | Java SE | Oracle Java SE Runtime Environment (JRE) Arbitrary Code Execution Vulnerability | 2022-03-03 | 2022-03-24 | Known | Apply updates per vendor instructions. |  | The Java Runtime Environment (JRE) component in Oracle Java SE allow for remote code execution. | https://nvd.nist.gov/vuln/detail/CVE-2012-4681
CVE-2017-9805 | Apache | Struts | Apache Struts Deserialization of Untrusted Data Vulnerability | 2021-11-03 | 2022-05-03 | Unknown | Apply updates per vendor instructions. | CWE-502 | Apache Struts REST Plugin uses an XStreamHandler with an instance of XStream for deserialization without any type filtering, which can lead to remote code execution when deserializing XML payloads. | https://nvd.nist.gov/vuln/detail/CVE-2017-9805
CVE-2015-1769 | Microsoft | Windows | Microsoft Windows Mount Manager Privilege Escalation Vulnerability | 2022-05-25 | 2022-06-15 | Unknown | Apply updates per vendor instructions. | CWE-264 | A privilege escalation vulnerability exists when the Windows Mount Manager component improperly processes symbolic links. | https://nvd.nist.gov/vuln/detail/CVE-2015-1769
CVE-2017-0005 | Microsoft | Windows | Microsoft Windows Graphics Device Interface (GDI) Privilege Escalation Vulnerability | 2022-05-24 | 2022-06-14 | Unknown | Apply updates per vendor instructions. | CWE-119 | The Graphics Device Interface (GDI) in Microsoft Windows allows local users to gain privileges via a crafted application. | https://nvd.nist.gov/vuln/detail/CVE-2017-0005
