-- S16 Superfund boundaries: one row per site, area converted to acres (square miles x 640; "Miles" kept apart), features, federal flag, dates, region
EPA_ID | SITE | ST | REGION | NPL | FED | FEATURES | PROGRAMS | UNITS | FTYPES | ACRES_SUM | ACRES_MAX | MILES_SUM | CREATED | CHANGED | SRC | CONTACT
FL5170022474 | USN AIR STATION CECIL FIELD | FL | 4 | F | 1 | 1 | Superfund Remedial | Square Miles | Site Boundary | 17372.85443443732 | 17372.85443443732 |  | 2019-05-10 08:54:09 |  | Unknown | Pete Dao
MND980609119 | WASTE DISPOSAL ENGINEERING | MN | 5 | D | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 192.2541702797832 | 192.2541702797832 |  | 2021-01-22 20:33:55 | 2024-05-08 14:23:00 | 2023 FYRR, Fig. 4, p. 20 | Leslie Patterson
INN000509938 | ELM STREET GROUND WATER CONTAMINATION | IN | 5 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 9.8791446486492 | 9.8791446486492 |  | 2020-11-30 11:51:02 | 2022-07-11 18:04:00 | 2017 ROD, Fig. 2, pg. 12 | Celine Wysgalla
MID005107222 | BENDIX CORP./ALLIED AUTOMOTIVE | MI | 5 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 154.5273244797421 | 154.5273244797421 |  | 2020-04-03 15:36:34 | 2022-07-05 19:36:00 | 2014 FYR, Fig. 2, pg. 31 | Joseph Kelly
MID980499966 | SPRINGFIELD TOWNSHIP DUMP | MI | 5 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 20.657728952820882 | 20.657728952820882 |  | 2021-01-22 15:10:59 | 2022-06-24 20:53:00 | 2009 FYR, Fig. 2, p. 32 | Serina Ranft
OHD004179339 | TRW, INC. (MINERVA PLANT) | OH | 5 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 285.396943179952 | 285.396943179952 |  | 2021-08-18 00:00:00 | 2024-02-15 12:57:28 | Draft Remedial Investigation Report Addendum | Rose Guardino
TXD980629851 | MOTCO, INC. | TX | 6 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 46.49819211024381 | 46.49819211024381 |  | 2015-01-01 00:00:00 | 2022-06-29 16:23:40 | MOTCO Fifth Five Year Review Figure 2 | Lauren Guidry-Leach
MID980794556 | U.S. AVIEX | MI | 5 | F | 0 | 1 | Superfund Remedial | Acres | Extent of Contamination | 305.6250006931258 | 305.6250006931258 |  | 2021-01-19 15:45:26 | 2024-02-20 15:57:00 | 2020 Five Year Review Fig. 1, pg. 45, Fig. 9 pg 53 | Jennifer Braveboy
GAD991275686 | MARZONE INC./CHEVRON CHEMICAL CO. | GA | 4 | F | 0 | 1 | Superfund Remedial | Square Miles | Site Boundary | 17.826090349052674 | 17.826090349052674 |  | 2019-05-10 08:54:09 |  | Unknown | Do Hyong Kim
TXN000607093 | US OIL RECOVERY | TX | 6 | F | 0 | 1 | Superfund Remedial | Acres | Current Ground Boundary | 17.18065415037216 | 17.18065415037216 |  | 2008-12-01 00:00:00 | 2021-06-21 00:00:00 | 2021 RI/FS AOC, Appendix C pg 1 | Stephen Tzhone
MID980608780 | SOUTHWEST OTTAWA COUNTY LANDFILL | MI | 5 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 43.79455370277211 | 43.79455370277211 |  | 2021-01-22 00:00:00 | 2022-07-05 14:28:00 | 2008 FYR, Fig. 1, pg. 37 | Nabil Fayoumi
NYD000511493 | RAMAPO LANDFILL | NY | 2 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 144.46783465 | 144.46783465 |  | 2007-02-01 00:00:00 | 2023-04-04 00:00:00 | The updated boundary as per RPM's instructions | Tom Mongelli
ILD000814673 | VELSICOL CHEMICAL CORP. (MARSHALL PLANT) | IL | 5 | F | 0 | 1 | Superfund Remedial | Acres | Comprehensive Site Area | 294.9832358293582 | 294.9832358293582 |  | 2021-01-21 22:13:43 | 2022-06-28 13:33:00 | 1988 ROD, Fig. 3, PDF pg. 43 | Caitlin Shanahan
(1908 rows; csv has all)
