domain,table,column,kind,rows,filled,real,distinct,sentinel,verdict,note,top
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_ADDRESS_SAME_SPON_IND,address,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_ADDRESS1,address,33484,1,1,1,0,constant,one value for the whole table,"[[""836, 16TH MAIN ROAD"", 1]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_ADDRESS2,address,33484,1,1,1,0,constant,one value for the whole table,"[[""BANASHANKARI 2 STAGE"", 1]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_ADDRESS1,address,33484,1168,1168,679,0,text place,only 3.5% of rows filled,"[[""1373 VETERANS HIGHWAY"", 211], [""100 CROSBY PARKWAY"", 30], [""PO BOX 945"", 26], [""5525 GREEN BAY ROAD"", 25], [""2980 FAIRVIEW PARK DRIVE"", 22]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_ADDRESS2,address,33484,339,339,70,0,text place,only 1.0% of rows filled,"[[""SUITE 10"", 211], [""P.O. BOX 282"", 11], [""PO BOX 1447"", 6], [""APT 302"", 6], [""SUITE 200"", 6]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_ADDRESS1,address,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_ADDRESS2,address,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_ADDRESS1,address,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_ADDRESS2,address,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_ADDRESS1,address,33484,5,5,2,0,text place,only 0.0% of rows filled,"[[""836 16 MAIN"", 3], [""836, 16TH MAIN ROAD"", 2]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_ADDRESS2,address,33484,5,5,2,0,text place,only 0.0% of rows filled,"[[""BANASHANKARI 2 STAGE"", 4], [""BSK 2 STAGE"", 1]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_ADDRESS1,address,33484,2827,2827,2246,0,text place,,"[[""411 W. LAFAYETTE BOULEVARD, MC3466"", 66], [""8515 E ORCHARD RD # 3T2"", 31], [""10810 E 45TH ST STE 300"", 27], [""519 WEST MAIN STREET"", 24], [""ONE FINANCIAL CENTER"", 24]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_ADDRESS2,address,33484,307,307,186,0,text place,only 0.9% of rows filled,"[[""APT 302"", 55], [""27TH FLOOR"", 10], [""STE 1600"", 7], [""SUITE 300"", 6], [""33RD FLOOR"", 6]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_ADDRESS1,address,33484,33344,33344,28432,0,text place,,"[[""9370 MCKNIGHT ROAD, SUITE 300"", 296], [""390 MADISON AVENUE"", 260], [""1400 N DRAKE ROAD"", 257], [""830 GREENBRIER CIRCLE"", 248], [""5525 GREEN BAY ROAD"", 248]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_ADDRESS2,address,33484,5739,5736,2186,3,text place,,"[[""SUITE 200"", 312], [""SUITE 100"", 266], [""SUITE 300"", 200], [""SUITE 400"", 183], [""SUITE 600"", 92]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_CITY,city,33484,1,1,1,0,constant,one value for the whole table,"[[""BENGALURU"", 1]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_CITY,city,33484,1168,1168,470,0,text place,only 3.5% of rows filled,"[[""HAUPPAUGE"", 212], [""COVINGTON"", 30], [""CHICAGO"", 27], [""KENOSHA"", 26], [""LIGONIER"", 25]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_CITY,city,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_CITY,city,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_CITY,city,33484,5,5,2,0,text place,only 0.0% of rows filled,"[[""BANGALORE"", 4], [""BENGALURU"", 1]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_CITY,city,33484,2827,2827,1259,0,text place,,"[[""DETROIT"", 76], [""NEW YORK"", 44], [""INDIANAPOLIS"", 39], [""CHICAGO"", 35], [""HOUSTON"", 33]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FOREIGN_CITY,city,33484,122,122,13,0,text place,only 0.4% of rows filled,"[[""BENGALURU"", 75], [""BANGALORE"", 31], [""AURORA"", 3], [""HONG KONG"", 3], [""TORONTO"", 2]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_CITY,city,33484,33344,33344,5250,0,text place,,"[[""NEW YORK"", 624], [""HOUSTON"", 437], [""CHICAGO"", 378], [""PITTSBURGH"", 300], [""SAN FRANCISCO"", 297]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_CNTRY,country,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_CNTRY,country,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_CNTRY,country,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FOREIGN_CNTRY,country,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_PROV_STATE,state,33484,1,1,1,0,constant,one value for the whole table,"[[""KARNATAKA"", 1]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_STATE,state,33484,1168,1168,51,0,clean 2-letter state,only 3.5% of rows filled,"[[""NY"", 285], [""CA"", 88], [""IL"", 75], [""PA"", 65], [""WI"", 47]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_PROV_STATE,state,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_STATE,state,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FORGN_PROV_ST,state,33484,5,5,1,0,constant,one value for the whole table,"[[""KARNATAKA"", 5]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_STATE,state,33484,2827,2827,52,0,clean 2-letter state,,"[[""CA"", 226], [""NY"", 198], [""MI"", 194], [""TX"", 184], [""IL"", 121]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FORGN_PROV_ST,state,33484,118,118,9,0,state names (not codes),only 0.4% of rows filled,"[[""KARNATAKA"", 106], [""ONTARIO"", 3], [""ON"", 3], [""MANITOBA"", 1], [""OH"", 1]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_STATE,state,33484,33344,33344,55,0,clean 2-letter state,,"[[""CA"", 3455], [""TX"", 2722], [""NY"", 1790], [""FL"", 1623], [""PA"", 1527]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_POSTAL_CD,zip,33484,1,1,1,0,constant,one value for the whole table,"[[""560070"", 1]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_ZIP,zip,33484,1168,1168,637,0,clean ZIP,only 3.5% of rows filled,"[[""11788"", 211], [""41015"", 30], [""15658"", 26], [""53144"", 23], [""220424511"", 22]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_POSTAL_CD,zip,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_ZIP,zip,33484,0,0,0,0,empty,no real values (blank or sentinel only),[]
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FORGN_POSTAL_CD,zip,33484,5,5,1,0,constant,one value for the whole table,"[[""560070"", 5]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_ZIP,zip,33484,2827,2827,2147,0,clean ZIP,,"[[""48226"", 77], [""801115002"", 31], [""741463816"", 27], [""16407"", 24], [""02111"", 24]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FORGN_POSTAL_CD,zip,33484,119,119,12,0,foreign postal code,only 2% look like US ZIPs; only 0.4% of rows filled,"[[""560070"", 106], [""L4G 7L6"", 3], [""RG1 1NB"", 1], [""R3T 0M8"", 1], [""44452"", 1]]"
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_ZIP,zip,33484,33344,33344,13720,0,clean ZIP,,"[[""15237"", 295], [""10017"", 260], [""49006"", 257], [""23320"", 248], [""028404149"", 247]]"
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_ADDRESS_LINE_1,address,411638,411638,411638,109894,0,text place,,"[[""HWY 5 WEST"", 1174], [""2550 UNIVERSITY AVE. W. SUITE 330 N"", 662], [""P.O. BOX 3734"", 643], [""2550 UNIVERSITY AVE. W. SUITE 330N"", 641], [""303 VINTAGE PARK DRIVE, SUITE 250"", 637]]"
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_CITY,city,411638,411638,411638,12200,0,text place,,"[[""WASHINGTON"", 4553], [""NEW YORK"", 4353], [""COLUMBUS"", 4275], [""CHICAGO"", 3706], [""PHILADELPHIA"", 3206]]"
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITOR_CITY,city,411638,411602,411602,3978,0,text place,,"[[""COLUMBUS"", 9910], [""INDIANAPOLIS"", 6781], [""NEW YORK"", 6282], [""ATLANTA"", 4998], [""CARMEL"", 4989]]"
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_STATE,state,411638,411638,411638,59,0,clean 2-letter state,,"[[""CA"", 37195], [""NY"", 25865], [""TX"", 23242], [""OH"", 21180], [""PA"", 20292]]"
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITOR_STATE,state,411638,411289,411289,58,0,clean 2-letter state,,"[[""CA"", 33904], [""NY"", 25285], [""TX"", 22227], [""OH"", 21575], [""PA"", 19155]]"
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_ZIP,zip,411638,411638,411634,31819,4,clean ZIP,,"[[""55114"", 1918], [""10018"", 1851], [""94404"", 1269], [""63103"", 1266], [""19104"", 1266]]"
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITOR_ZIP,zip,411638,411602,411602,8657,0,clean ZIP,,"[[""43215"", 7226], [""46032"", 5000], [""55402"", 3042], [""99503"", 2991], [""60606"", 2982]]"
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,CITY,city,3584,3584,3584,1862,0,text place,,"[[""HOUSTON"", 105], [""DALLAS"", 67], [""CHICAGO"", 52], [""SAN ANTONIO"", 44], [""AUSTIN"", 44]]"
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,CITY_STATE,city,3584,3584,3584,2073,0,text place,,"[[""HOUSTON, TX"", 105], [""DALLAS, TX"", 64], [""CHICAGO, IL"", 52], [""SAN ANTONIO, TX"", 44], [""AUSTIN, TX"", 44]]"
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,FIPS,fips,3584,0,0,0,0,empty,no real values (blank or sentinel only),[]
