domain,table,column,kind,description,dtype
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,COUNTRY_OF_RESIDENCE,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,COUNTRY_REGISTERED,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NATIONALITY,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_POSTAL_CODE,zip,ZIP / postal code,TEXT
CRIMINAL_JUSTICE,CRIMINAL_JUSTICE__FED_BJS_DATA,LOCALITY,city,city / town / municipality,TEXT
CRIMINAL_JUSTICE,CRIMINAL_JUSTICE__FED_BJS_DATA,MSA,metro,metro / CBSA / MSA area,TEXT
CRIMINAL_JUSTICE,CRIMINAL_JUSTICE__FED_BJS_DATA,REGION,region,region / area / territory / jurisdiction,TEXT
ECONOMICS,ECONOMICS__FED_BLS_QCEW,AREA_FIPS,fips,FIPS / GEOID census code,TEXT
ECONOMICS,ECONOMICS__FED_BLS_QCEW,STATE_FIPS,fips,FIPS / GEOID census code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_ADDRESS_SAME_SPON_IND,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_ADDRESS1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_ADDRESS2,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_ADDRESS1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_ADDRESS2,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_ADDRESS1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_ADDRESS2,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_ADDRESS1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_ADDRESS2,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_ADDRESS1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_ADDRESS2,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_ADDRESS1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_ADDRESS2,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_ADDRESS1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_ADDRESS2,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FOREIGN_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_CNTRY,country,country name / ISO code,NUMBER
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_CNTRY,country,country name / ISO code,NUMBER
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_CNTRY,country,country name / ISO code,NUMBER
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FOREIGN_CNTRY,country,country name / ISO code,NUMBER
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_PROV_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_PROV_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FORGN_PROV_ST,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FORGN_PROV_ST,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_POSTAL_CD,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_POSTAL_CD,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FORGN_POSTAL_CD,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FORGN_POSTAL_CD,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_ADDRESS_LINE_1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITOR_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITOR_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITOR_ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,CITY_STATE,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,FIPS,fips,FIPS / GEOID census code,TEXT
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,STATE_ABBR,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,STATE_NAME,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_FINCEN_BOI,BENEFICIAL_OWNER_ADDRESS,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_FINCEN_BOI,BENEFICIAL_OWNER_ID_ISSUING_JURISDICTION,region,region / area / territory / jurisdiction,TEXT
ECONOMICS,ECONOMICS__FED_FINCEN_BOI,JURISDICTION_OF_FORMATION,region,region / area / territory / jurisdiction,TEXT
ECONOMICS,ECONOMICS__FED_FINCEN_BOI,US_REGISTRATION_STATE,state,state name or 2-letter code,FLOAT
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,COUNTRY,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_990,STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_990,ZIP_CODE,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,ORGANIZATION_ADDRESS,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,COUNTRY,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,ZIP_CODE,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_BMF,STREET,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_IRS_BMF,CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_IRS_BMF,STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_BMF,ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_EO_PR,STREET,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_IRS_EO_PR,CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_IRS_EO_PR,STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_EO_PR,ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES,CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES,COUNTRY,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES,STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,ADDRESS,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,COUNTRY,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,ZIP_CODE,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_SOI_CHARITIES,STREET,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_IRS_SOI_CHARITIES,CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_IRS_SOI_CHARITIES,STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_IRS_SOI_CHARITIES,ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_PBGC_DATA,STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_LOANS,BORROWER_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_SBA_LOANS,CONGRESSIONAL_DISTRICT,cong_district,congressional / legislative district,TEXT
ECONOMICS,ECONOMICS__FED_SBA_LOANS,PROJECT_COUNTY,county,county name or code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_LOANS,BORROWER_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_LOANS,CDC_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_LOANS,LENDER_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_LOANS,PROJECT_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_LOANS,BORROWER_ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_PPP,BORROWER_CITY,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_SBA_PPP,CONGRESSIONAL_DISTRICT,cong_district,congressional / legislative district,TEXT
ECONOMICS,ECONOMICS__FED_SBA_PPP,PROJECT_COUNTY,county,county name or code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_PPP,RURAL_URBAN_INDICATOR,metro,metro / CBSA / MSA area,TEXT
ECONOMICS,ECONOMICS__FED_SBA_PPP,BORROWER_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_PPP,PROJECT_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_PPP,SERVICING_LENDER_STATE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_SBA_PPP,BORROWER_ZIP,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_ADDRESS_LINE_1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_ADDRESS_LINE_2,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_CITY_CODE,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_CITY_NAME,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_FOREIGN_CITY_NAME,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_COUNTRY_CODE,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_COUNTRY_NAME,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_COUNTRY_CODE,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_COUNTRY_NAME,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_COUNTY_NAME,county,county name or code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_COUNTY_NAME,county,county name or code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_CODE,facility_site,site / location / place name,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_FOREIGN_LOCATION,facility_site,site / location / place name,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_SCOPE,facility_site,site / location / place name,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_CD_CURRENT,facility_site,site / location / place name,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_CD_ORIGINAL,facility_site,site / location / place name,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE,fips,FIPS / GEOID census code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_STATE_FIPS_CODE,fips,FIPS / GEOID census code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE,fips,FIPS / GEOID census code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIME_AWARD_TRANSACTION_RECIPIENT_STATE_FIPS_CODE,fips,FIPS / GEOID census code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_STATE_NAME,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_FOREIGN_PROVINCE_NAME,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_STATE_CODE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_STATE_NAME,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_ZIP_4,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_FOREIGN_POSTAL_CODE,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_ZIP_CODE,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_ZIP_LAST_4_CODE,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_CITY_NAME,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_COUNTRY_NAME,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,PRIMARY_PLACE_OF_PERFORMANCE_STATE_CODE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_STATE_CODE,state,state name or 2-letter code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_ZIP_4_CODE,zip,ZIP / postal code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_ADDRESS_LINE_1,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_ADDRESS_LINE_2,address,street / mailing address,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,AIRPORT_AUTHORITY,airport_port,airport / port / station code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,PORT_AUTHORITY,airport_port,airport / port / station code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,CITY_LOCAL_GOVERNMENT,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,MUNICIPALITY_LOCAL_GOVERNMENT,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_CITY_NAME,city,city / town / municipality,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,SCHOOL_DISTRICT_LOCAL_GOVERNMENT,cong_district,congressional / legislative district,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,COUNTRY_OF_PRODUCT_OR_SERVICE_ORIGIN,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,COUNTRY_OF_PRODUCT_OR_SERVICE_ORIGIN_CODE,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,PRIMARY_PLACE_OF_PERFORMANCE_COUNTRY_CODE,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,PRIMARY_PLACE_OF_PERFORMANCE_COUNTRY_NAME,country,country name / ISO code,TEXT
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_COUNTRY_CODE,country,country name / ISO code,TEXT
