company,contract_usd,osha_sites,cases,deaths,hours,rate,industry_rate,x_industry,top_naics,epa_sites,epa_formal_actions,epa_noncompliance_quarters
BAYLOR SCOTT AND WHITE HEALTH,0.0,58,1287.0,0.0,80899389.0,3.18,3.39,0.94,622110,0,0,0
BECTON DICKINSON,124090711.42,30,97.0,0.0,24883091.0,0.78,1.36,0.58,339112,59,4.0,27.0
BERKSHIRE HATHAWAY,222645336.31,1,2.0,0.0,55987.0,7.14,1.24,5.75,532299,6,0.0,1.0
BIOGEN,163037.25,11,31.0,0.0,19067003.0,0.33,0.83,0.39,325414,13,0.0,9.0
BIOTECHNOLOGY INNOVATION ORGANIZATION,0.0,1,0.0,0.0,276272.0,0.0,0.83,0.0,813920,0,0,0
BLOCK,0.0,11,60.0,0.0,1363631.0,8.8,2.74,3.21,327331,30,0.0,15.0
BOEHRINGER INGELHEIM PHARMACEUTICALS,0.0,4,9.0,0.0,5093958.0,0.35,0.78,0.45,325414,1,0.0,2.0
BON SECOURS MERCY HEALTH,0.0,84,2913.0,0.0,113310864.0,5.14,4.04,1.27,622110,4,0.0,0.0
BOOZ ALLEN HAMILTON,16294423944.31,4,2.0,0.0,279110.0,1.43,2.14,0.67,332710,1,0.0,0.0
BORDEN,0.0,0,0,0,0,,,,,71,0.0,0.0
BOSTON SCIENTIFIC,55746180.13,20,327.0,0.0,87167133.0,0.75,0.79,0.96,339112,59,1.0,6.0
BOTTLING,1343487.57,679,8947.0,1.0,232982119.0,7.68,4.4,1.75,424490,17,0.0,0.0
BRENNTAG NORTH AMERICA,0.0,17,13.0,0.0,1451315.0,1.79,1.46,1.22,424690,0,0,0
BRISTOL MYERS SQUIBB,4393688.06,25,149.0,0.0,49007813.0,0.61,0.87,0.7,325412,65,3.0,42.0
CACI INTERNATIONAL,7422835667.22,0,0,0,0,,,,,1,0.0,0.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,5024778335.26,0,0,0,0,,,,,3,0.0,0.0
CAPITAL ONE,0.0,46,56.0,0.0,1837814.0,6.09,2.75,2.21,722310,26,1.0,6.0
CAPITAL ONE FINANCIAL,0.0,0,0,0,0,,,,,2,0.0,0.0
CARGILL,0.0,109,277.0,0.0,29060001.0,1.91,1.7,1.12,551114,247,12.0,105.0
CATERPILLAR,518251460.24,12,49.0,0.0,4485517.0,2.18,2.64,0.83,331511,55,1.0,41.0
CELGENE,0.0,0,0,0,0,,,,,2,0.0,0.0
CEMEX,0.0,3,1.0,0.0,144756.0,1.38,1.52,0.91,327320,34,0.0,2.0
CENCORA,3862341050.3,65,223.0,0.0,14979122.0,2.98,1.65,1.81,424210,0,0,0
CENTENE,4641020237.55,0,0,0,0,,,,,1,0.0,0.0
CERBERUS CAPITAL MANAGEMENT,-25812.78,1,0.0,0.0,8640.0,0.0,1.18,0.0,325180,0,0,0
CHEVRON,329243431.2,7,26.0,0.0,16136081.0,0.32,0.48,0.67,324110,678,13.0,23.0
CISCO SYSTEMS,7868300.96,1,0.0,0.0,2000.0,0.0,0.75,0.0,423420,53,0.0,0.0
CITIGROUP,7391117.88,0,0,0,0,,,,,2,0.0,0.0
CITY OF CHICAGO,825631.08,351,3864.0,8.0,97093103.0,7.96,6.53,1.22,922120,64,1.0,1.0
CITY OF PHOENIX,30063.81,68,3355.0,0.0,61912087.0,10.84,5.51,1.97,922120,91,0.0,0.0
CLEAN HARBORS,56506592.14,1739,240.0,0.0,70560923.0,0.68,1.88,0.36,562112,442,84.0,305.0
CLEVELAND CLIFFS,0.0,73,559.0,0.0,94658467.0,1.18,2.05,0.58,331110,33,20.0,69.0
CLEVELAND CLINIC FOUNDATION,1908249.47,245,10345.0,0.0,222476757.0,9.3,3.79,2.45,622110,1,1.0,3.0
COCA COLA ENTERPRISES,0.0,0,0,0,0,,,,,16,0.0,0.0
COMCAST,65147699.64,0,0,0,0,,,,,77,0.0,0.0
COMCAST CABLE COMMUNICATIONS,4443445.2,1557,2656.0,1.0,219027811.0,2.43,1.13,2.14,517111,52,0.0,0.0
COMCAST CABLE COMMUNICATIONS MANAGEMENT,0.0,1557,2656.0,1.0,219027811.0,2.43,1.13,2.14,517111,9,0.0,0.0
COMERICA,0.0,1,0.0,0.0,11370.0,0.0,2.8,0.0,722330,2,0.0,0.0
COMMERCIAL METALS,0.0,195,209.0,0.0,33642700.0,1.24,2.5,0.5,331110,40,3.0,17.0
CONAGRA FOODS,0.0,1,0.0,0.0,4363.0,0.0,2.09,0.0,561720,64,16.0,41.0
CONCRETE SUPPLY,0.0,55,59.0,0.0,3056582.0,3.86,1.32,2.93,327320,262,8.0,69.0
CONE HEALTH,0.0,212,2178.0,0.0,83947918.0,5.19,3.67,1.41,622110,4,0.0,0.0
CONOCOPHILLIPS,0.0,27,14.0,1.0,6118180.0,0.46,0.48,0.95,211111,14,0.0,0.0
CONVATEC,-5371.68,0,0,0,0,,,,,7,0.0,0.0
COSTCO WHOLESALE,0.0,1404,19359.0,0.0,610823428.0,6.34,3.22,1.97,455211,765,9.0,155.0
CRH AMERICAS,0.0,25,58.0,0.0,5708780.0,2.03,2.25,0.9,423320,3,0.0,0.0
CSL PLASMA,0.0,663,760.0,0.0,52832017.0,2.88,2.07,1.39,621991,14,0.0,0.0
CUMMINS,424175889.95,34,235.0,0.0,33500565.0,1.4,1.92,0.73,333618,139,1.0,26.0
DAIRY FARMERS OF AMERICA,58181626.67,27,79.0,0.0,5455920.0,2.9,3.22,0.9,311514,49,1.0,30.0
DELL TECHNOLOGIES,4097569431.61,0,0,0,0,,,,,1,0.0,0.0
DELTA AIR LINES,24006062.94,208,8442.0,3.0,404127867.0,4.18,7.56,0.55,481111,155,4.0,21.0
DELUXE,0.0,1,3.0,0.0,71955.0,8.34,3.54,2.36,423510,7,0.0,0.0
DENTSPLY SIRONA,35631396.41,11,2.0,0.0,3751012.0,0.11,1.59,0.07,339114,10,1.0,1.0
DEPUY SYNTHES PRODUCTS,14623.07,1,1.0,0.0,127312.0,1.57,0.9,1.75,339112,6,0.0,0.0
DOVER,0.0,0,0,0,0,,,,,7,0.0,0.0
E R SQUIBB & SONS,0.0,3,27.0,0.0,12529846.0,0.43,0.95,0.46,325412,3,1.0,12.0
EATON,640776.06,0,0,0,0,,,,,81,0.0,8.0
EBAY,0.0,1,0.0,0.0,28480.0,0.0,4.35,0.0,493110,3,2.0,0.0
ECOLAB,13374439.09,47,86.0,0.0,14740637.0,1.17,2.14,0.55,811310,156,21.0,37.0
EDWARDS LIFESCIENCES,50446944.09,5,134.0,0.0,27959861.0,0.96,0.9,1.07,339112,14,3.0,4.0
ELECTRIC BOAT,19417221532.96,24,1773.0,0.0,95903665.0,3.7,3.94,0.94,336611,23,2.0,12.0
EMD SERONO,0.0,3,2.0,0.0,3167009.0,0.13,0.87,0.15,424210,4,0.0,0.0
EMERSON ELECTRIC,111393520.41,17,25.0,0.0,6383472.0,0.78,1.44,0.54,334513,36,0.0,2.0
ENCORE MEDICAL,2314137.94,3,17.0,0.0,1190054.0,2.86,2.23,1.28,339113,1,0.0,0.0
ENERGY TRANSFER,101270.61,15,13.0,0.0,3557815.0,0.73,1.49,0.49,237120,84,14.0,92.0
EQUIFAX,59063734.56,0,0,0,0,,,,,2,0.0,0.0
ERC,0.0,0,0,0,0,,,,,3,0.0,0.0
ERGON,83800.0,19,3.0,0.0,2645866.0,0.23,0.95,0.24,551114,2,0.0,0.0
ERNST & YOUNG,1158387042.61,1,0.0,0.0,59159.0,0.0,3.06,0.0,722310,0,0,0
ESTES EXPRESS LINES,16228705.0,353,2357.0,2.0,79417860.0,5.94,4.55,1.3,484122,203,3.0,104.0
EXACTECH,15747.44,3,20.0,0.0,2147642.0,1.86,1.46,1.27,339113,1,0.0,1.0
EXELON,216042291.93,1,0.0,0.0,8507.0,0.0,1.73,0.0,238910,0,0,0
FACEBOOK,4681.11,1,0.0,0.0,53040.0,0.0,1.46,0.0,238210,13,0.0,0.0
FAIRVIEW HEALTH,0.0,214,1473.0,0.0,67389491.0,4.37,3.15,1.39,622110,0,0,0
FEDERAL EXPRESS,2545695456.73,1417,18543.0,4.0,313087892.0,11.85,8.85,1.34,492110,1496,18.0,558.0
FEDEX FREIGHT,8527.77,1019,3425.0,2.0,164684653.0,4.16,4.81,0.87,484122,657,4.0,333.0
FOODLION,0.0,2218,2800.0,0.0,196390804.0,2.85,4.68,0.61,445110,1,0.0,0.0
GALDERMA LABORATORIES,12252.84,2,4.0,0.0,4030812.0,0.2,0.94,0.21,325412,0,0,0
GE,0.0,0,0,0,0,,,,,26,0.0,2.0
GENERAL ATOMICS,4843812232.18,135,168.0,0.0,38529781.0,0.87,1.9,0.46,336411,66,0.0,1.0
GENERAL ELECTRIC,7378044684.63,72,295.0,0.0,36129411.0,1.63,1.32,1.23,336412,428,2.0,62.0
GENERAL ELECTRIC CO GE,0.0,0,0,0,0,,,,,3,0.0,0.0
GENZYME,646960.94,2,3.0,0.0,3727508.0,0.16,1.22,0.13,325411,8,0.0,0.0
GILEAD SCIENCES,-485795.22,6,23.0,0.0,4129667.0,1.11,0.95,1.17,325412,21,0.0,6.0
GLAXOSMITHKLINE,75508082.46,3,11.0,0.0,5193900.0,0.42,0.91,0.46,541711,9,0.0,8.0
GLOBAL PAYMENTS,0.0,0,0,0,0,,,,,1,0.0,0.0
GLOBUS MEDICAL,6531356.11,10,51.0,0.0,8997031.0,1.13,1.22,0.93,339113,0,0,0
GOOGLE,3976277.7,3,0.0,0.0,58229.0,0.0,1.46,0.0,238210,210,0.0,2.0
GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,0.0,0,0,0,0,,,,,1,0.0,0.0
H E B,0.0,422,5316.0,0.0,184102335.0,5.78,4.5,1.28,445110,17,0.0,0.0
HACKENSACK MERIDIAN HEALTH,0.0,74,3018.0,0.0,91156753.0,6.62,4.07,1.63,622110,1,0.0,0.0
HALLIBURTON ENERGY,0.0,22,77.0,0.0,29838276.0,0.52,0.79,0.65,213112,235,0.0,54.0
HALLMARK CARDS,14325.0,4,78.0,0.0,5839268.0,2.67,4.14,0.64,493110,18,0.0,2.0
HARSCO,543839.61,0,0,0,0,,,,,10,0.0,0.0
HARTFORD INSURANCE,0.0,1,0.0,0.0,57241.0,0.0,3.12,0.0,561700,3,0.0,0.0
HENRY FORD HEALTH,17017088.24,73,2315.0,0.0,75557202.0,6.13,3.47,1.77,622110,40,0.0,3.0
HENRY SCHEIN,42599286.81,59,340.0,0.0,18717112.0,3.63,1.52,2.39,423450,17,0.0,3.0
HENSEL PHELPS CONSTRUCTION,2124133704.94,115,57.0,0.0,10237033.0,1.11,1.23,0.91,236220,4,0.0,0.0
HOLCIM PARTICIPATIONS,0.0,0,0,0,0,,,,,1,0.0,0.0
HOME DEPOT,191977.36,3846,14316.0,0.0,789633808.0,3.63,3.07,1.18,444110,2849,548.0,402.0
HP,553214445.64,37,19.0,0.0,36889280.0,0.1,1.12,0.09,334111,7,0.0,0.0
HSBC NORTH AMERICA,0.0,0,0,0,0,,,,,2,1.0,0.0
HTC GLOBAL,0.0,1,5.0,0.0,3172180.0,0.32,0.29,1.1,541512,0,0,0
HUBBELL,0.0,16,49.0,0.0,4374354.0,2.24,2.33,0.96,335931,4,0.0,0.0
HUMANA,11108257694.58,13,52.0,0.0,4409360.0,2.36,1.77,1.33,454113,3,0.0,0.0
HUNTINGTON INGALLS INDUSTRIES,15910034594.95,2,2719.0,0.0,108325987.0,5.02,3.63,1.38,336611,5,1.0,0.0
HYATT,6405470.52,275,3186.0,4.0,103794279.0,6.14,2.67,2.3,721110,0,0,0
HYVEE,0.0,459,1435.0,0.0,76666272.0,3.74,4.33,0.86,445110,6,1.0,0.0
IBM,0.0,2,0.0,0.0,109683.0,0.0,1.36,0.0,323111,45,1.0,4.0
ILLINOIS TOOL WORKS,41424598.52,39,74.0,0.0,19103598.0,0.77,1.96,0.4,325612,34,0.0,0.0
INARI MEDICAL,0.0,1,15.0,0.0,2284194.0,1.31,0.9,1.47,339112,2,0.0,0.0
INCYTE,223352.63,0,0,0,0,,,,,3,0.0,3.0
INTEL,0.0,15,1428.0,1.0,130761325.0,2.18,0.64,3.39,334413,23,0.0,0.0
INTERNATIONAL BUSINESS MACHINES,2391567494.76,0,0,0,0,,,,,5,0.0,0.0
INTERNATIONAL PAPER,372537.0,377,737.0,4.0,128213476.0,1.15,2.3,0.5,322211,437,27.0,290.0
INTUIT,0.0,0,0,0,0,,,,,5,0.0,0.0
INTUITIVE SURGICAL,151017989.13,1,0.0,0.0,30957.0,0.0,4.35,0.0,493110,16,0.0,0.0
IPSEN BIOPHARMACEUTICALS,0.0,2,0.0,0.0,1339792.0,0.0,0.92,0.0,541711,0,0,0
ITT,14748157.2,2,0.0,0.0,108500.0,0.0,1.88,0.0,423840,4,0.0,2.0
JACOBS ENGINEERING,4418500511.93,2,0.0,0.0,211415.0,0.0,1.16,0.0,236220,2,0.0,0.0
JANSSEN BIOTECH,1289626.6,2,46.0,0.0,10762482.0,0.85,0.45,1.89,551114,4,1.0,0.0
JANSSEN PHARMACEUTICALS,38452.46,4,59.0,0.0,18580976.0,0.64,0.96,0.66,325412,3,4.0,13.0
JBS USA FOOD,100886176.71,1,65.0,0.0,7090019.0,1.83,2.91,0.63,311611,1,0.0,0.0
JOHNS HOPKINS UNIVERSITY,4108412114.95,0,0,0,0,,,,,6,0.0,2.0
JOHNSON & JOHNSON,214805062.81,19,22.0,0.0,7105412.0,0.62,1.03,0.6,325412,68,0.0,40.0
KAISER FOUNDATION HEALTH PLAN,53360561.98,189,9567.0,0.0,256117742.0,7.47,3.9,1.91,622110,9,0.0,0.0
KBR,4484297027.54,2,8.0,0.0,2137453.0,0.75,0.65,1.15,561210,1,0.0,2.0
KFORCE,0.0,63,4.0,0.0,7310621.0,0.11,1.3,0.08,561320,0,0,0
KOCH,3113261.64,1,2.0,0.0,25120.0,15.92,0.8,19.88,485410,6,0.0,0.0
KOCH INDUSTRIES,1138857.61,7,30.0,0.0,1530946.0,3.92,3.54,1.11,327211,7,0.0,0.0
KOHLS,0.0,1192,1357.0,0.0,99060977.0,2.74,4.0,0.68,452210,4,0.0,0.0
KPMG,0.0,1,3.0,0.0,185736.0,3.23,2.77,1.17,721110,2,0.0,0.0
L 3 COMMUNICATIONS,13589976.38,2,3.0,0.0,46744.0,12.84,3.06,4.19,722310,72,0.0,3.0
L3HARRIS TECHNOLOGIES,16480441672.14,94,130.0,0.0,80265382.0,0.32,0.82,0.39,334511,27,1.0,1.0
LAND O LAKES,28525439.42,77,259.0,0.0,24073554.0,2.15,2.13,1.01,551114,232,14.0,82.0
LEGGETT & PLATT,968835.88,63,214.0,0.0,14512985.0,2.95,2.99,0.99,337910,64,0.0,13.0
LEIDOS,19509697374.14,4,16.0,0.0,1834000.0,1.74,0.58,2.99,334517,11,0.0,0.0
LINKEDIN,0.0,0,0,0,0,,,,,6,0.0,0.0
LIVANOVA,4549845.04,2,14.0,0.0,1063616.0,2.63,1.11,2.38,339112,1,1.0,1.0
LOS ALAMOS NATIONAL SECURITY,-2000000.0,0,0,0,0,,,,,1,0.0,0.0
MACYS,0.0,460,1583.0,0.0,88561308.0,3.57,4.51,0.79,452210,20,0.0,0.0
MANTECH INTERNATIONAL,2136285750.8,0,0,0,0,,,,,1,0.0,0.0
MARATHON PETROLEUM,641158482.27,191,237.0,2.0,82722893.0,0.57,0.76,0.75,324110,139,6.0,50.0
MARTIN MARIETTA MATERIALS,-279608.78,77,22.0,0.0,9225963.0,0.48,1.01,0.47,327320,253,2.0,91.0
MASS GENERAL BRIGHAM,7804596.3,44,4767.0,0.0,264414626.0,3.61,3.68,0.98,622110,29,0.0,0.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2864590882.37,0,0,0,0,,,,,12,1.0,11.0
MAYO CLINIC,57922674.3,133,4509.0,0.0,259488152.0,3.48,3.96,0.88,622110,77,1.0,4.0
MCKESSON,18009327776.07,0,0,0,0,,,,,13,0.0,0.0
MEDCO HEALTH SOLUTIONS,0.0,0,0,0,0,,,,,3,0.0,1.0
MEDTRONIC,102069669.12,59,196.0,0.0,103806870.0,0.38,1.1,0.34,339113,31,0.0,15.0
MENARDS,0.0,914,5915.0,3.0,183428367.0,6.45,3.05,2.11,444110,37,2.0,18.0
MERCK,192434472.69,0,0,0,0,,,,,11,1.0,0.0
MERCK SHARP & DOHME,189302584.96,2,1.0,0.0,198012.0,1.01,2.09,0.48,561720,29,7.0,47.0
METLIFE,29095426.84,0,0,0,0,,,,,2,0.0,0.0
MGM RESORTS INTERNATIONAL,0.0,42,4232.0,0.0,180342245.0,4.69,2.26,2.08,721120,2,2.0,8.0
MITRE,0.0,0,0,0,0,,,,,2,0.0,0.0
MOHELA,0.0,0,0,0,0,,,,,1,0.0,0.0
MR COOPER,0.0,0,0,0,0,,,,,2,0.0,0.0
NAVY FEDERAL CREDIT UNION,9490941.0,2,3.0,0.0,215709.0,2.78,2.09,1.33,561720,25,0.0,0.0
NELNET,549704413.37,10,7.0,0.0,20508372.0,0.07,0.61,0.11,561422,0,0,0
NEUROCRINE BIOSCIENCES,0.0,0,0,0,0,,,,,4,0.0,0.0
NORTHWELL,0.0,723,5470.0,0.0,256632064.0,4.26,3.55,1.2,622110,0,0,0
NOVARTIS,-5792086.77,13,51.0,0.0,7002371.0,1.46,0.78,1.88,325414,1,0.0,0.0
NOVARTIS PHARMACEUTICALS,-18841773.0,4,34.0,0.0,27228077.0,0.25,0.95,0.26,325412,10,0.0,24.0
NOVO NORDISK,0.0,21,82.0,0.0,14255142.0,1.15,0.77,1.5,325412,26,4.0,14.0
NTT DATA,494550544.09,0,0,0,0,,,,,1,0.0,0.0
NUCOR,0.0,45,81.0,0.0,21887675.0,0.74,2.42,0.31,331110,4,0.0,0.0
NYC HEALTH HOSPITALS,0.0,48,2573.0,0.0,105474658.0,4.88,3.74,1.31,622110,1,0.0,2.0
OATH,0.0,0,0,0,0,,,,,1,0.0,0.0
OCCIDENTAL PETROLEUM,0.0,4,2.0,0.0,3398308.0,0.12,0.5,0.24,211111,12,0.0,0.0
OCWEN FINANCIAL,0.0,0,0,0,0,,,,,1,0.0,0.0
OLDCASTLE,0.0,0,0,0,0,,,,,9,0.0,1.0
ORACLE AMERICA,98366554.81,2,1.0,0.0,862920.0,0.23,0.85,0.27,334210,21,0.0,0.0
OSHKOSH,3486402236.95,15,45.0,0.0,1520782.0,5.92,3.91,1.52,336120,0,0,0
OWENS CORNING,1303881.65,108,167.0,0.0,25932454.0,1.29,1.9,0.68,324122,120,19.0,130.0
OZINGA BROS,0.0,2,1.0,0.0,823759.0,0.24,1.52,0.16,327320,17,0.0,0.0
PACIFIC GAS AND ELECTRIC,86277933.39,0,0,0,0,,,,,376,2.0,0.0
PACIFICORP,2341131.27,58,38.0,0.0,13360196.0,0.57,1.34,0.42,221112,5,0.0,0.0
PARKER HANNIFIN,775022453.29,300,264.0,0.0,88826532.0,0.59,2.06,0.29,332912,256,9.0,116.0
PEPSICO,1453588.88,10,6.0,0.0,1806389.0,0.66,1.36,0.49,541712,33,1.0,3.0
PHILLIPS 66,922270562.59,97,30.0,0.0,37962990.0,0.16,0.64,0.25,324110,578,37.0,128.0
PIEDMONT HEALTHCARE,0.0,45,2467.0,0.0,95863107.0,5.15,4.02,1.28,622110,0,0,0
