n,grade,reason
143,CLEAN,company or owned subsidiary
144,WRONG,mostly people surnamed Northrop
145,CLEAN,company or owned subsidiary
146,CLEAN,UHC cases; SEIU union case mixed in
147,CLEAN,company or owned subsidiary
148,WRONG,"address column, not a party"
149,CLEAN,company or owned subsidiary
150,CLEAN,company or owned subsidiary
151,CLEAN,company or owned subsidiary
152,CLEAN,company or owned subsidiary
153,RELATED,employee benefit VEBA trust
154,CLEAN,company or owned subsidiary
155,CLEAN,company or owned subsidiary
156,CLEAN,company or owned subsidiary
157,WRONG,street address Wells Fargo Drive
158,CLEAN,company or owned subsidiary
159,CLEAN,company or owned subsidiary
160,RELATED,stormwater dams at Walmart sites
161,CLEAN,company or owned subsidiary
162,CLEAN,company or owned subsidiary
163,CLEAN,company or owned subsidiary
164,CLEAN,Lockheed units; Javelin JV mixed in
165,UNCLEAR,offshore shells named Lockheed; tie unproven
166,CLEAN,company or owned subsidiary
167,CLEAN,company or owned subsidiary
168,CLEAN,company or owned subsidiary
169,UNCLEAR,"half Northrop Grumman, half people surnamed Northrop"
170,CLEAN,company or owned subsidiary
171,CLEAN,company or owned subsidiary
172,CLEAN,company or owned subsidiary
173,CLEAN,company or owned subsidiary
174,WRONG,ICE holdroom on Boeing Drive
175,CLEAN,company or owned subsidiary
176,CLEAN,company or owned subsidiary
177,CLEAN,company or owned subsidiary
178,CLEAN,company or owned subsidiary
179,CLEAN,company or owned subsidiary
180,RELATED,rail contractor serving Chevron plant
181,CLEAN,company or owned subsidiary
182,CLEAN,company or owned subsidiary
183,CLEAN,company or owned subsidiary
184,CLEAN,company or owned subsidiary
185,CLEAN,company or owned subsidiary
186,WRONG,Ecuador consultancy with CVS in name
187,CLEAN,company or owned subsidiary
188,CLEAN,company or owned subsidiary
189,CLEAN,company or owned subsidiary
190,CLEAN,company or owned subsidiary
191,CLEAN,BofA affiliates; one 'Savings Bank of America' namesake
192,CLEAN,company or owned subsidiary
193,CLEAN,company or owned subsidiary
194,CLEAN,company or owned subsidiary
195,CLEAN,company or owned subsidiary
196,CLEAN,company or owned subsidiary
197,CLEAN,company or owned subsidiary
198,CLEAN,company or owned subsidiary
199,RELATED,Merck employee credit union
