company,ticker,ciks,eins,ueis
Exxon Mobil,XOM,2115436,,CLMSFA7169V5 CZV2RXL2CUB3 GVG6F166Z2F4 H1EPKQE4ABL1 HG7EAG53W1J8 L6H4QU78VGD3 LPX4BMG6UQB4 PBS4QLM9U2H9 Q1LKV3JKDLA9 VSADCFYNNJK9 XT9DMJXHHQX7 ZPRMVQ999ZS6
Chevron,CVX,93410,940890210,DM6MJFXUXNH7 ETM1CJGUA6H8 F5ZFCBY9KAQ7 FAYHLNNQ5RM7 FDM2LNBKKTU6 FNQMKM6NN4L5 JSLXAPAJKLF7 KSJZFGY7XAW5 L4NXA4ZWN3N3 M2N2JS3L5UW1 MG3ABMZDKPK8 MM2JZL1S26R7 NNLLJM1L3TM5 S29ZDL6KHY48 T1YEG7W6G4F5 TWMKE4MNCYT5 Y7TNYP43Q4J1
Alliance Resource Partners,ARLP,1086600,731564280,G6L8ST4Q2XN5 M3CFCL5Q4K56
Peabody Energy,BTU,1064728,134004153,MJ8KD1ESTTY5
Duke Energy,DUK,1326160,202777218,C9SUSD343BF5 DUADEDB12Y89 F7N3QFNHKJ47 G47MTPGYNFJ9 G4KTNPUTUGY7 GL8WUCLJ1Y49 K4QFQ421JT93 LDCECVSCAHC5 MZN8DHZTZAF9 PDFHAV8USXQ3 SA41N3HHJ2J6 UEZTYUSGKUP9 YBZKL9JJ45J3
Wells Fargo,WFC,72971,410449260,C47UHUE1AJ63 CMH8N58EANP9 EJ2VEBLA5LS5 FKXGUSEC5LN4 FUG8T1N2YTM2 H8HMUNUTKAT8 KXF8JNJ1HCB8 L4N4GF3VQEA7 LJP7JMGLVWK4 LSRKKGGDXXH5 MSTFYY4FFDQ1 N8CNC976HFX1 NBLRXSNYZPF8 QZQVFD48CNK5 S2HGDD2GLF29 S85LCPC6DHT4 SFUTDC1UCYQ8 WMFWW83PKQR5
JPMorgan Chase,JPM,19617,132624428,CF98DGDLRC15 CFD9FQ7GMCJ4 CRBKQHCYMNB6 FFXLNEJJJKJ7 FK6CSLCJ3C15 G1N4CKV4ZHD8 G2LEEMLM2UA3 GMYAU8AGBYJ5 GNYTVR3SH3B8 H5LRLJ8WMJY1 J2W5NB6EDPH6 KU6MMNVJT2E8 M3J7X5W5ELL3 ME1JGD1YSJG7 MG5DLNJBA147 NRLAEK5T4DF5 T1TWMSFAURM8 VH3FVLD4WHN8 XMK7H9Y6NL99 YNFFND612EA9
Bank of America,BAC,70858,560906609,FL5KLCXWZ5N9 JKALWDM5JME7 K79YS876MJ18 K8V4BPG6HK51 KATZRK1DYCP1 L9JEKRMMKN65 M4Y2JECS14A6 MN29FATCJNF6 MRSZV6X7VGL4 NNBUHH7M75L6 NQF3VGCEKKP5 QDL3Y37NLJ21 S8GMEN6D1PD5 SVT2SFN52NN3 TFU4AKUNZQX3 V2ZJCMQYMLT3 WH2NJX9GKDV5 WYG4XTTLN8G5 Y447ZK6EB1K9
HCA Healthcare,HCA,860730,273865930,C16HN1TH88A9 E6E2BTANMBF4 G9FRCCFKG1Q3 GGBLJCCT2ZF8 HL99N6JDEHU3 HS83SL9LLY79 K8NSLB7CJLA6 L7G4RYS4N559 M9NTSXL24761 MYRJU566MDM6 RRSAJ8C5KDL4 SHFNXNAPNFF1 TF27EDTMEPP7 X7L7JKD9GU39 ZC66Q8JU1YD4 ZM42QRAEE1E3
UnitedHealth,UNH,731766,411321939,ET41P9LFRN64 FJ4ZPBSJEXJ8 G5XXLHZSW8X3 GJZLK2RKLHU5 H1MSGK24RQN4 H3K9MUC981L8 HMKHFD2LB123 K5MHR9JB9ND5 KRVRMDJKAA16 N622WNWEFTK4 RN5UVE9XMJN4 T2SDN8AHFSY6 TFZ4LNNL4LP8 TZJJK15REAR5 U7MKM7NS3HW7 UW1BQVKJWRK6 VCMHC2WJD466 XMUZGJN98231 Y1N1YTPTNHN1 ZBYAMU8W9UJ1
CVS Health,CVS,64803,050494040,CNYSJ3KBMW97 DAZFJEU4NLU3 DP51RLDUGWL5 DSBETBJLW796 EP32BZ8XN3A2 HN5JBQ1NFDV8 MMKYFJ5QGKM7 Q1KTZV5PYSR3 R5RHL5NQENV7 R9M2DKSTK3F1 T352LFDRT9B3 TXNJU9N2PHJ7 UHN8JCFMRTM4 UR38MC8ZZXC7 VHPWKBVGJGG6 W32HLD5Y4NP5 Y12HDHECA8F6 YXV5MJRKQVX5 ZB8EV6CUSNW1 ZK27LU473Y27
Walmart,WMT,104169,710415188,DEXENL3DENP5 E1QGNQ4XZDW4 ELN8B5XTHM95 J7KEMW9JSJR8 J9YBEK8LCPT6 KARGB2KZFFD8 RULANJNF71D9 U2LGRNSMKNY6
Amazon,AMZN,1018724,911646860,ERY2DHJ83US5 G5F2C46HBCM3 GV95AHFBFMK4 H6S2VKM5U6C5 L32ZSMV5CKN7 MP7KA3QJVXY4 NQEWN6C1LSU5 NZNRBF41ZEF4 PNL7TN4Z73M9 QG1JGL2Z3UC1 TMKBFBRHFKH3 V37HWQ7CSNB7
Tyson Foods,TSN,100493,710225165,DDKLNLK5D6K4 DX7AU4JMLPC7 H58CR7JMJCE3 HZVJE9UUP2H3 MNAKFQWNLGQ8 UGC1JP1NHVB3 UXGXKKUT7TA9
3M,MMM,66740,410417775,C4K2HKSK3Q48 D64VMAKN5UY7 EQGSFLYP3N69 FXQQPNZEJ3C5 KHL9P73MAM68 LUYEUMH42L88 NENAYZZEJQM4 NYZ3A8USQ3X9 RB21GPZSMM52 T3QQPHLGT375 TZDZVXLT2AR6 U4TBEJN3QV83 USJXL61FEXX5 VNM5EU1VLN74 W1M5AQF3BTC1 XSCULHNJ5H27 Y4ECL7YBVZV5 YKBMEVMTKEQ3 YLQMY5SGNE55 ZDGRQ7K4DBM8
