company,lists,domain,schema,table,col,rows,distinct,sample
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,48,35,"3M CO., CHEMOLITE | 3M CO EAU CLAIRE | 3M CO - PITTSBORO | 3M CO - GUIN | 3M CO - PSD PILOT PLANT | 3M CO STAPLES PLANT"
3M,toxic_release,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,102,77,THERMODYN CORP. V. 3M CO. | 3M CO. V. JOHN J. MORONEY AND CO. | WEST MORGAN-EAST LAWRENCE WATER & SEWER AUTHORITY V. 3M CO. | MEDA AB V. 3M CO. | BHATIA V. 3M CO. | SAMPSON V. 3M CO.
3M,toxic_release,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME_FULL,12,10,"STIDHAM V. MINNESOTA MINING & MANUFACTURING, INC., DBA 3M CO. | HIGBEE CO., DBA DILLARD DEPARTMENT STORES, INC. V. CHAPMAN JACKSON V. BIRMINGHAM BOARD OF EDUCATION 3M CO., FKA MINNESOT | FRANCES POSNER AND SARI POSNER V. MINNESOTA MINING & MANUFACTURING CO., INC. A/K/A 3M CO. | HARLEY V. 3M CO. | IN RE: BAIR HUGGER FORCED AIR WARMING DEVICES PRODUCTS LIABILITY LITIGATION THIS DOCUMENT RELATES TO: CASE NOS.: 17-CV-1 | FRANCES POSNER AND SARI POSNER, PLAINTIFFS, V. MINNESOTA MINING & MANUFACTURING CO., INC. A/K/A 3M CO., DEFENDANT"
3M,toxic_release,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME,918,860,RON WOROBEY V. 3M CO. | JAMES K. NORTH V. 3M CO. | PATRICIA A. HOLDEN V. 3M CO. | KARL GALL V. 3M CO. | ROBERT L. PHILLIPS V. 3M CO. | MARGARET JOHNSON V. 3M CO.
3M,toxic_release,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,9,7,"GARLAND K. CANTRELL V. 3M CO. | 3M CO., FKA MINNESOTA MINING & MANUFACTURING CO. V. LEPAGE'S INC. | FRANCES POSNER AND SARI POSNER V. MINNESOTA MINING & MANUFACTURING CO., INC. A/K/A 3M CO. | STIDHAM V. MINNESOTA MINING & MANUFACTURING, INC., DBA 3M CO. | HIGBEE CO., DBA DILLARD DEPARTMENT STORES, INC. V. CHAPMAN JACKSON V. BIRMINGHAM BOARD OF EDUCATION 3M CO., FKA MINNESOT | IN RE: BAIR HUGGER FORCED AIR WARMING DEVICES PRODUCTS LIABILITY LITIGATION THIS DOCUMENT RELATES TO: CASE NOS.: 17-CV-1"
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q1,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2026Q1,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q1,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q4,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q4,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q3,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q3,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q2,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q2,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,COMPANY_NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_EDGAR_FINANCIALS,NAME,8,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES,FACILITY_NAME,6,4,3M CO. | 3M CO - BROWNWOOD | 3M CO - WAUSAU DOWNTOWN | 3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_PCAOB_FORM_AP_FILINGS,ISSUER_NAME,14,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES,FACILITY_NAME,10,4,3M CO - WAUSAU DOWNTOWN | 3M CO. | 3M CO | 3M CO - BROWNWOOD
3M,toxic_release,money,FINANCE,FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS,FACILITY_NAME,10,4,3M CO - BROWNWOOD | 3M CO STATIC CONTROL SYSTEMS | 3M CO - SPRINGFIELD FACILITY | 3M CO HUTCHINSON
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_INSIDER_SUBMISSION,ISSUER_NAME,754,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,OWNER_NAME,3,1,3M CO
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_DOL_OSHA_INSPECTIONS,ESTAB_NAME,38,18,"3M CO PLANT #2 | 3M CO.,ELECTRONIC SOLUTIONS DIV. | 3M CO AUDIO VISUAL DIV | 3M CO ADHESIVES COATINGS | CHEMOLITE PLANT-3M CO | MINNESOTA MINING & MFG.CO., INC. DBA 3M CO."
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,1,1,3M CO
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,2,1,3M CO
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,2,1,3M CO
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,2,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,306,7,"3M CO. | 3M CO.               ST. PAUL/EXECU | FORMERLY 3M CO | RETIRED FROM 3M CO | 3M, CO. | 3M CO"
3M,toxic_release,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,10,1,3M CO
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,1,1,A2Z DEVELOPMENT CENTER
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,1,1,A2Z DEVELOPMENT CENTER
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,2,2,A2Z DEVELOPMENT CENTER  INC | A2Z DEVELOPMENT CENTER
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,2,2,A2Z DEVELOPMENT CENTER  INC | A2Z DEVELOPMENT CENTER
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,3,2,A2Z DEVELOPMENT CENTER | A2Z DEVELOPMENT CENTER  INC
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,3,2,A2Z DEVELOPMENT CENTER  INC | A2Z DEVELOPMENT CENTER
A2Z DEVELOPMENT CENTER,visas,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,612,4,"A2Z DEVELOPMENT CENTER, INC. | A2Z DEVELOPMENT CENTER, INC | A2Z DEVELOPMENT CENTER | A2Z DEVELOPMENT CENTER, INC. D/B/A LAB126"
A2Z DEVELOPMENT CENTER,visas,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_1,3,1,"A2Z DEVELOPMENT CENTER, INC. (D/B/A LAB126)"
A2Z DEVELOPMENT CENTER,visas,money,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,1881,4,"A2Z DEVELOPMENT CENTER, INC. | A2Z DEVELOPMENT CENTER | A2Z DEVELOPMENT CENTER INC | A2Z DEVELOPMENT CENTER INC."
AARP,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,NAME,1,1,AARP LIMITED
AARP,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ORG_NAME,641,2,AARP | AARP FOUNDATION
AARP,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,SORT_NAME,1,1,AARP LEGAL COUNSEL FOR THE ELDERLY
AARP,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,6,6,AARP LIMITED | AARP TECHNOLOGIES LTD | AARP CO-LIVING LTD | AARP CONSULTANTANCY LTD | AARP HOMES LTD | AARP ABODES LTD
AARP,lobbying,environment,ENVIRONMENT,ENVIRONMENT__EPA_PENALTY_GAP,FACILITY_NAME,1,1,AARP PROPERTIES LLC
AARP,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,1,1,AARP PROPERTIES LLC
AARP,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,1,1,AARP PROPERTIES LLC
AARP,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,1,1,AARP PROPERTIES LLC
AARP,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,1,1,AARP PROPERTIES LLC
AARP,lobbying,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,1,1,AARP PROPERTIES LLC
AARP,lobbying,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,1,1,AARP PROPERTIES LLC
AARP,lobbying,health,HEALTH,HEALTH__FED_CMS_NPPES,PROVIDER_ORGANIZATION_NAME_LEGAL_BUSINESS_NAME,2,2,AARP PHYSICAL MEDICINE AND REHAB LLC | AARP HEALTHCARE SERVICES INC
AARP,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_1,49,2,AARP FOUNDATION | AARP
AARP,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,6,1,AARP
AARP,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_BUSINESS_DBA,2,1,AARP
AARP,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_2,2,1,AARP
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,CASE_NAME,2,2,"AARP V. EEOC | JERALD FRIEDMAN V. AARP, INC."
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME_FULL,27,23,"HELEN KRUKAS V. AARP, INC. | AFFINITY FINANCIAL CORPORATION AND WATERFIELD FINANCIAL SERVICES, INC. V. AARP FINANCIAL, INC. | AARP V. PUB. UTIL. COMM | AARP, PLAINTIFF, V. MICHAEL SYCLE, DEFENDANT | CHARLES A. VARNAL V. AARP HARTFORD INS., CO. JOE SCOTT, CLAIM MANAGER OF THE HARTFORD INSURANCE CO. KELVIN R. PARKER, SE | AARP, PLAINTIFF, V. UNITED STATES EQUAL EMPLOYMENT OPPORTUNITY COMMISSION, DEFENDANT"
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,70,43,"AARP V. EEOC | FICARRO V. AARP, INC. | ROUSSIN V. AARP, INC. | FENNELL V. AARP | KIM KEISTER V. AARP BENEFITS COMMITEE | DEWOLFE V. AARP, INC."
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME,173,130,AARP V. PUBLIC UTILITIES COM'N | SPRINGER V. AARP | COSTLOW V. AARP | CANTEES V. AARP | AARP V. AM. FAMILY PREPAID LEGAL CORP. | HARGROVE V. AARP
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,13,11,"AARP V. UNITED STATES EQUAL EMPLOYMENT OPPORTUNITY COMMISSION | HELEN KRUKAS V. AARP, INC. | AFFINITY FINANCIAL CORPORATION AND WATERFIELD FINANCIAL SERVICES, INC. V. AARP FINANCIAL, INC. | DR. JOHN MILTON PEACOCK AND MS. ROBBIE COWAN, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED V. AARP, INC., | CHARLES A. VARNAL V. AARP HARTFORD INS., CO. JOE SCOTT, CLAIM MANAGER OF THE HARTFORD INSURANCE CO. KELVIN R. PARKER, SE | CURTISS B. MITCHELL V. AARP LIFE INSURANCE PROGRAM, NEW YORK LIFE INSURANCE CO."
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_SHORT,41,1,AARP
AARP,lobbying,labor,LABOR,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,ESTABLISHMENT_NAME,1,1,AARP
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_IRS_EO_PR,NAME,1,1,AARP 4710 HATO REY
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_NAME,10,1,AARP FOUNDATION
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_SBA_PPP,BORROWER_NAME,1,1,"AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,LEGAL_NAME,35,5,AARP SALT LAKE WIDOWED PERSONS | AARP GRIEF AND LOSS PROGRAM | AARP PARAMOUNT CHAPTER 2836 | AARP | AARP GRIEF & LOSS PROGRAM WIDOWED
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,LEGAL_NAME,35,6,AARP | AARP PARAMOUNT CHAPTER 2836 | AARP GRIEF AND LOSS PROGRAM | AARP GRIEF & LOSS PROGRAM WIDOWED | AARP  | AARP SALT LAKE WIDOWED PERSONS
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES,LEGAL_NAME,1,1,AARP FOUNDATION
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_SBA_LOANS,BORROWER_NAME,1,1,AARP HOME HEALTH CARE INC
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_DOL_OSHA_INSPECTIONS,ESTAB_NAME,11,6,AARP FOUNDATION | AARP SENIOR COMMUNITY SERVICE PROGRAM | AARP PHARMACY SERVICES | AARP FOUNDATIONS | AARP FOUNDATION SCSEP | AARP FOUNDATION (SCSEP)
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_IRS_990_EFILE_INDEX,TAXPAYER_NAME,30,4,AARP - CHAPTERS GROUP RETURN | AARP INSTITUTE | AARP | AARP FOUNDATION
AARP,lobbying,money,FINANCE,FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES,RECIPIENT_NAME,1,1,AARP - LIFE AT 50+
AARP,lobbying,money,FINANCE,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS,CONTRIBUTOR_NAME,46,6,"AARP MONTANA | AARP KENTUCKY | AARP | AARP INC | AARP INC. | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,10,2,"AARP | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME_RAW,10,2,AARP  INC. | AARP
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,10,2,"AARP | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME_RAW,6,2,"AARP | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_PARENT_NAME,49,3,"AARP, INC. | AARP | AARP FOUNDATION"
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,49,3,"AARP, INC. | AARP FOUNDATION | AARP"
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,196,5,"AARP FOUNDATION PROGRAMS | AARP GRADNJ WELLS FARGO BANK | AARP | AARP FOUNDATION | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,204,4,"AARP | AARP GRADNJ WELLS FARGO BANK | AARP FOUNDATION | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME,192,2,AARP | AARP FOUNDATION
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME_RAW,236,2,AARP FOUNDATION | AARP
AARP,lobbying,money,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,5184,72,AARP MONTANA | AARP MEDIA SERVICES | AARP/LOBBIEST | AARP AR/ASD | AARP CT | AARP/STATE DIRECTOR
AARP,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_EMPLOYER,EMPLOYER_NAME,1,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_STATS,ADVERTISER_NAME,1,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__FED_FEC_PAC_SUMMARY,COMMITTEE_NAME,1,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__IRS527_RELATED_ENTITIES,ENTITY_NAME,3,2,AARP OF MONTANA | AARP MONTANA
AARP,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_CHG_LOG,FILER_FULL_NAME,20,3,"AARP SERVICES, INC. | AARP | AARP SERVICES"
AARP,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_CHG_LOG,ENTITY_NAME,20,3,AARP | AARP SERVICES | AARP CALIFORNIA
AARP,lobbying,politics,POLITICS,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,REGISTRANT_NAME,336,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,CLIENT_NAME,340,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2009_CONTRIBUTION,EMPLOYER_NAME,3,2,AARP FOUNDATION | AARP
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2001_CONTRIBUTION,EMPLOYER_NAME,2,2,AARP | AARP PUBLICATIONS
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION,EMPLOYER_NAME,7,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,EMPLOYER_NAME,3,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND,ADVERTISER_NAME,4,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS,EMPLOYER_NAME,8,4,AARP INNOVATION LABS | AARP MEDIA SALES | AARP | AARP THE MAGAZINE
AARP,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_COVER,FIRM_NAME,271,4,AARP | AARP CA | AARP ASSOCIATION | AARP *CALIFORNIA*
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_GEO_SPEND,ADVERTISER_NAME,42,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,ADVERTISER_NAME,1,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,115,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,612,3,"AARP, INC. | AARP INC. | AARP"
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,NAME,1,1,ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,NAME,1,1,ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,NAME,1,1,ABBOTT LABORATORIES S.A.
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,COMPANY_NAME,2,2,"ABBOTT LABORATORIES VASCULAR ENTERPRISES UNLIMITED COMPANY | ABBOTT LABORATORIES, IRELAND, LIMITED"
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ORG_NAME,1,1,ABBOTT LABORATORIES EMPLOYER CREDIT UNION
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,2,2,ABBOTT LABORATORIES TRUSTEE COMPANY LIMITED | ABBOTT LABORATORIES LIMITED
