company,lists,contract_usd,osha_sites,cases,deaths,hours,expected,epa_sites,formal_actions,serious_violator,penalty_alloc
AIRGAS,toxic_release,29612764.93,245,55.0,0.0,16901902.0,260.483062,102,4.0,0.0,224685.71
HOME DEPOT,injuries,191977.36,3846,14316.0,0.0,789633808.0,13655.982425,2849,548.0,0.0,11563937.57
CONVATEC,doctor_payments,-5371.68,,,,,,7,0.0,0.0,0.0
GENZYME,doctor_payments,646960.94,2,3.0,0.0,3727508.0,22.365048,8,0.0,0.0,128700.0
CBC COMPANIES,complaints,0.0,,,,,,,,,
UCB,doctor_payments,92825.43,1,7.0,0.0,2580000.0,15.48,,,,
UNION PACIFIC,lobbying,99280.0,10,11.0,0.0,405383.0,5.591706,931,8.0,0.0,4891006.67
ENCORE MEDICAL,doctor_payments,2314137.94,3,17.0,0.0,1190054.0,13.73701,1,0.0,0.0,0.0
JOHNSON & JOHNSON,lobbying,214805062.81,19,22.0,0.0,7105412.0,55.757322,68,0.0,0.0,102748.67
RTX,contracts,34841433092.58,,,,,,1,0.0,0.0,50000.0
BOSTON SCIENTIFIC,doctor_payments,55746180.13,20,327.0,0.0,87167133.0,537.263581,59,1.0,0.0,112186.0
PARKER HANNIFIN,toxic_release,775022453.29,300,264.0,0.0,88826532.0,980.640288,256,9.0,0.0,1172110.3
PEPSICO,toxic_release,1453588.88,10,6.0,0.0,1806389.0,14.240171,33,1.0,0.0,1926.67
PFIZER,contracts doctor_payments lobbying,1896682296.16,34,146.0,0.0,69183967.0,382.289914,30,0.0,0.0,119750.0
PPG INDUSTRIES,toxic_release,81053600.11,136,550.0,0.0,48342640.0,517.215514,200,17.0,0.0,700010.0
GENERAL MOTORS,lobbying toxic_release,570620328.29,114,5158.0,0.0,419279461.0,5028.42186,211,11.0,0.0,13210399.12
CENTENE,contracts,4641020237.55,,,,,,1,0.0,0.0,0.0
MERCK,lobbying,192434472.69,,,,,,11,1.0,0.0,13100.0
ADS TACTICAL,contracts,4901874780.88,,,,,,,,,
MALLINCKRODT HOSPITAL PRODUCTS,doctor_payments,318246.22,,,,,,,,,
HUMANA,contracts,11108257694.58,13,52.0,0.0,4409360.0,53.37232,3,0.0,0.0,0.0
HENRY FORD HEALTH,injuries,17017088.24,73,2315.0,0.0,75557202.0,1336.992875,40,0.0,0.0,0.0
JBS USA FOOD,toxic_release,100886176.71,1,65.0,0.0,7090019.0,92.170247,1,0.0,0.0,17650.0
TESLA,injuries visas,0.0,571,9479.0,1.0,378564002.0,4413.366269,114,1.0,0.0,275000.0
MAYO CLINIC,injuries,57922674.3,133,4509.0,0.0,259488152.0,5161.314592,77,1.0,0.0,116278.0
DELOITTE & TOUCHE,visas,1431897345.5,,,,,,,,,
SI BONE,doctor_payments,158550.0,,,,,,1,0.0,0.0,0.0
WEYERHAEUSER,toxic_release,6294.0,103,283.0,1.0,25732970.0,452.889348,59,0.0,0.0,1714734.43
QUIKRETE,toxic_release,52773.12,70,80.0,0.0,8178448.0,89.962928,8,1.0,0.0,9087.0
ALCOA,toxic_release,201600.0,5,67.0,0.0,2433895.0,34.07453,10,0.0,0.0,0.0
LINKEDIN,visas,0.0,,,,,,6,0.0,0.0,0.0
EATON,toxic_release,640776.06,,,,,,81,0.0,0.0,179002.0
ALCON VISION,doctor_payments,7343612.7,11,168.0,0.0,25602424.0,164.981055,1,0.0,0.0,0.0
CHEVRON,lobbying,329243431.2,7,26.0,0.0,16136081.0,70.218683,678,13.0,0.0,50000.0
ANGIODYNAMICS,doctor_payments,196402.66,,,,,,4,0.0,0.0,0.0
MEDTRONIC,doctor_payments,102069669.12,59,196.0,0.0,103806870.0,658.770994,31,0.0,0.0,4500.0
YALE NEW HAVEN HEALTH,injuries,38303453.48,17,2882.0,0.0,76095567.0,1579.964779,1,0.0,0.0,0.0
ERNST & YOUNG,visas,1158387042.61,1,0.0,0.0,59159.0,0.769067,,,,
AMGEN,doctor_payments lobbying,342244696.98,16,53.0,0.0,49573734.0,282.558681,17,0.0,0.0,60336.0
GOLDMAN SACHS,complaints visas,4692154.27,8,15.0,0.0,575519.0,6.283163,2,0.0,0.0,0.0
MERCK SHARP & DOHME,doctor_payments,189302584.96,2,1.0,0.0,198012.0,1.782108,29,7.0,0.0,31025.0
ABBVIE,doctor_payments,988379.64,37,155.0,0.0,181570471.0,1109.295584,8,0.0,0.0,100000.0
VMWARE,visas,221827.33,,,,,,2,0.0,0.0,0.0
VULCAN MATERIALS,toxic_release,46525.5,29,28.0,0.0,3248672.0,16.559085,223,0.0,0.0,42294.0
MCKESSON,contracts,18009327776.07,,,,,,13,0.0,0.0,3000.0
NORTHROP GRUMMAN INNOVATION SYSTEMS,contracts,-19037.37,,,,,,,,,
LOCKHEED MARTIN,contracts lobbying,123089436704.05,337,2422.0,0.0,453536020.0,4975.023325,305,8.0,0.0,602108.0
SCIENCE APPLICATIONS INTERNATIONAL,contracts,10541948805.6,,,,,,20,1.0,0.0,27988.56
CUMMINS,visas,424175889.95,34,235.0,0.0,33500565.0,324.423345,139,1.0,0.0,82039.0
METLIFE,pacs,29095426.84,,,,,,2,0.0,0.0,0.0
ECOLAB,toxic_release,13374439.09,47,86.0,0.0,14740637.0,159.564839,156,21.0,0.0,694900.64
SAINT GOBAIN,toxic_release,7254974.99,114,302.0,0.0,26878782.0,246.224952,99,9.0,0.0,2114089.68
UNITED PARCEL,injuries,581797027.36,2737,47474.0,18.0,1204028315.0,50618.304863,1412,1283.0,0.0,6706810.19
UNITED TECHNOLOGIES,toxic_release,-1743.58,8,27.0,0.0,2958015.0,32.499675,72,0.0,0.0,231072.0
DELL TECHNOLOGIES,contracts,4097569431.61,,,,,,1,0.0,0.0,0.0
AECOM GLOBAL II,contracts,212137.07,,,,,,,,,
BAYER HEALTHCARE PHARMACEUTICALS,doctor_payments,6040220.8,,,,,,8,0.0,0.0,8100.0
NAVY FEDERAL CREDIT UNION,complaints,9490941.0,2,3.0,0.0,215709.0,1.941381,25,0.0,0.0,7426.55
INCYTE,doctor_payments,223352.63,,,,,,3,0.0,0.0,0.0
TRIWEST HEALTHCARE ALLIANCE,contracts,16367761248.8,,,,,,,,,
CITY OF CHICAGO,injuries,825631.08,351,3864.0,8.0,97093103.0,2533.027672,64,1.0,0.0,15720.0
AMAZON WEB,visas,347131003.38,3,0.0,0.0,114218.0,0.581762,3,0.0,0.0,0.0
PNC FINANCIAL,pacs,-63257.48,,,,,,,,,
GALDERMA LABORATORIES,doctor_payments,12252.84,2,4.0,0.0,4030812.0,24.184872,,,,
ABM,injuries,399869.18,3,2413.0,0.0,174402545.0,1744.565942,3,0.0,0.0,0.0
GENENTECH,doctor_payments lobbying,450149681.84,14,216.0,0.0,46502605.0,217.024893,11,2.0,0.0,10000.0
ENERGY TRANSFER,toxic_release,101270.61,15,13.0,0.0,3557815.0,47.030772,84,14.0,0.0,475496.5
ABIOMED,doctor_payments,14777631.86,3,13.0,0.0,3977988.0,27.533916,6,0.0,0.0,0.0
JPMORGAN CHASE,complaints pacs visas,1306326.36,,,,,,142,0.0,0.0,214903.77
FACEBOOK,visas,4681.11,1,0.0,0.0,53040.0,0.47736,13,0.0,0.0,0.0
ASTRAZENECA PHARMACEUTICALS,doctor_payments,-12475.29,2,11.0,0.0,3182869.0,19.097214,11,0.0,0.0,0.0
JANSSEN PHARMACEUTICALS,doctor_payments,38452.46,4,59.0,0.0,18580976.0,111.485856,3,4.0,0.0,34000.0
ESTES EXPRESS LINES,injuries,16228705.0,353,2357.0,2.0,79417860.0,1270.68576,203,3.0,0.0,80207.0
CERNER,visas,14432937.03,,,,,,,,,
FEDERAL EXPRESS,injuries,2545695456.73,1417,18543.0,4.0,313087892.0,14086.389096,1496,18.0,0.0,649947.48
HARSCO,toxic_release,543839.61,,,,,,10,0.0,0.0,0.0
BP P L C,contracts,2638129115.31,,,,,,,,,
NORTHROP GRUMMAN,contracts lobbying,33704543544.51,223,1886.0,2.0,334915572.0,3205.563065,237,4.0,0.0,597402.0
EMERSON ELECTRIC,toxic_release,111393520.41,17,25.0,0.0,6383472.0,48.842787,36,0.0,0.0,48400.0
UNITEDHEALTH,contracts,19661240479.22,,,,,,,,,
BECTON DICKINSON,doctor_payments,124090711.42,30,97.0,0.0,24883091.0,197.744196,59,4.0,0.0,186292.8
APPLE,visas,166028.01,16,7.0,0.0,1824000.0,29.28,251,1.0,0.0,493558.17
HONEYWELL INTERNATIONAL,contracts lobbying toxic_release,10273099543.2,70,73.0,0.0,53989991.0,496.939449,88,7.0,0.0,563110.65
HUNTINGTON INGALLS INDUSTRIES,contracts,15910034594.95,2,2719.0,0.0,108325987.0,1408.237831,5,1.0,0.0,3900.0
CATERPILLAR,toxic_release,518251460.24,12,49.0,0.0,4485517.0,51.136716,55,1.0,0.0,153960.0
ACCENTURE PUBLIC,contracts,85422379.98,,,,,,,,,
BAE SYSTEMS,contracts,16563791462.32,110,441.0,0.0,88811083.0,572.712686,173,14.0,0.0,535155.11
KOCH INDUSTRIES,toxic_release,1138857.61,7,30.0,0.0,1530946.0,15.479449,7,0.0,0.0,110540.0
BATTELLE MEMORIAL INSTITUTE,contracts,8597284232.22,2,10.0,0.0,496000.0,6.448,10,0.0,0.0,2430.0
DAIRY FARMERS OF AMERICA,toxic_release,58181626.67,27,79.0,0.0,5455920.0,79.538061,49,1.0,0.0,72235.0
REGENTS OF THE UNIVERSITY OF CALIFORNIA,injuries,2981280213.72,33,8682.0,0.0,733006196.0,10743.487665,3,0.0,0.0,0.0
UNIVERSITY OF MICHIGAN,visas,82692813.12,13,1161.0,0.0,44665197.0,926.295585,75,0.0,0.0,50800.0
WIPRO,visas,320707.1,,,,,,,,,
DENTSPLY SIRONA,doctor_payments,35631396.41,11,2.0,0.0,3751012.0,25.828768,10,1.0,0.0,9000.0
TYSON FOODS,toxic_release,482481119.2,11,5.0,0.0,936176.0,8.922312,189,3.0,0.0,1599949.4
AMAZON COM,injuries lobbying visas,133288878.88,2283,77720.0,3.0,2499454303.0,65350.455512,1631,24.0,0.0,13800.0
GLOBUS MEDICAL,doctor_payments,6531356.11,10,51.0,0.0,8997031.0,65.170153,,,,
JAZZ PHARMACEUTICALS,doctor_payments,3305114.27,,,,,,,,,
BOEING,contracts injuries lobbying,-0.09,4,0.0,0.0,180820.0,1.20601,17,0.0,0.0,0.0
SOUTHERN,lobbying,16855808.46,54,129.0,0.0,12139726.0,109.10586,12,0.0,0.0,0.0
MARTIN MARIETTA MATERIALS,toxic_release,-279608.78,77,22.0,0.0,9225963.0,61.993791,253,2.0,0.0,135387.0
TEVA PHARMACEUTICALS,doctor_payments,74658432.96,15,26.0,0.0,8662309.0,42.441378,9,0.0,0.0,2256200.0
ACCENTURE,visas,3084504833.74,,,,,,,,,
ERGON,toxic_release,83800.0,19,3.0,0.0,2645866.0,11.514362,2,0.0,0.0,0.0
INTERNATIONAL PAPER,toxic_release,372537.0,377,737.0,4.0,128213476.0,1400.814224,437,27.0,0.0,2068734.14
XPO LOGISTICS FREIGHT,injuries,-2319.86,537,2769.0,5.0,93249316.0,1475.050349,276,42.0,0.0,503828.0
BELL BOEING JOINT PROJECT OFFICE,contracts,1818551795.65,,,,,,,,,
HUMANA GOVERNMENT BUSINESS,contracts,15808758322.78,,,,,,,,,
ARCHER DANIELS MIDLAND,toxic_release,272182364.97,155,208.0,1.0,39771185.0,403.898677,98,18.0,0.0,2346221.82
AMERICAN ACADEMY OF PEDIATRICS,lobbying,228565.0,,,,,,,,,
BANK OF AMERICA,pacs visas,3997118.91,4,7.0,0.0,2053674.0,18.487066,875,2.0,0.0,24606.33
PRUDENTIAL FINANCIAL,lobbying pacs,19356709.49,,,,,,1,0.0,0.0,0.0
SOUTHWEST AIRLINES,injuries,8996273.23,299,12286.0,0.0,186780054.0,5498.027234,84,0.0,0.0,25633.0
DOMESTIC AWARDEES UNDISCLOSED,contracts,2365780991.06,,,,,,,,,
GENERAL DYNAMICS,contracts lobbying,42105128601.1,141,3776.0,2.0,173717064.0,1969.33571,181,2.0,0.0,627955.0
HENRY SCHEIN,doctor_payments,42599286.81,59,340.0,0.0,18717112.0,157.113458,17,0.0,0.0,0.0
ARCTIC SLOPE REGIONAL,contracts,2565069517.98,2,12.0,0.0,3310000.0,29.79,2,0.0,0.0,0.0
AMENTUM GOVERNMENT,contracts,6107272488.62,,,,,,,,,
JACOBS ENGINEERING,contracts,4418500511.93,2,0.0,0.0,211415.0,1.257693,2,0.0,0.0,0.0
LEONARDO SPA,contracts,2919339324.96,,,,,,,,,
TEXTRON,contracts toxic_release,3875022861.37,16,65.0,0.0,9937466.0,127.182853,11,0.0,0.0,9189.04
CENCORA,contracts,3862341050.3,65,223.0,0.0,14979122.0,255.206288,,,,
SUMMIT MATERIALS,toxic_release,22626590.36,1,1.0,0.0,213815.0,0.85526,2,1.0,0.0,15000.0
GENERAL ELECTRIC,contracts,7378044684.63,72,295.0,0.0,36129411.0,393.285636,428,2.0,0.0,1434399.02
INTERNATIONAL BUSINESS MACHINES,contracts,2391567494.76,,,,,,5,0.0,0.0,666.67
OSHKOSH,contracts,3486402236.95,15,45.0,0.0,1520782.0,21.069478,,,,
HYATT,injuries,6405470.52,275,3186.0,4.0,103794279.0,1453.119906,,,,
FLUOR,contracts,10752813281.38,,,,,,,,,
SANOFI,lobbying,55028915.35,9,28.0,0.0,5520919.0,33.680374,6,1.0,0.0,11900.0
ZIMMER BIOMET,doctor_payments,59272381.86,7,21.0,0.0,8834360.0,61.84052,14,0.0,0.0,14100.0
CISCO SYSTEMS,visas,7868300.96,1,0.0,0.0,2000.0,0.022,53,0.0,0.0,0.0
EXXON MOBIL,lobbying toxic_release,336564032.79,1,0.0,0.0,97566.0,0.878094,850,5.0,0.0,6927672.33
JANSSEN BIOTECH,doctor_payments,1289626.6,2,46.0,0.0,10762482.0,21.524964,4,1.0,0.0,5857.0
BRISTOL MYERS SQUIBB,pacs,4393688.06,25,149.0,0.0,49007813.0,287.757271,65,3.0,0.0,149746.92
BAUSCH & LOMB AMERICAS,doctor_payments,426128.49,,,,,,,,,
INTEL,visas,0.0,15,1428.0,1.0,130761325.0,525.478355,23,0.0,0.0,25200.0
PRICEWATERHOUSECOOPERS,visas,668894.21,,,,,,,,,
DISCOVER,complaints,14261.63,,,,,,,,,
CLEVELAND CLIFFS,pacs,0.0,73,559.0,0.0,94658467.0,1294.144585,33,20.0,0.0,5506956.0
US FOODS,injuries,1136809119.7,419,4862.0,1.0,606335532.0,9694.742652,39,0.0,0.0,231583.0
FEDEX,contracts lobbying,2995589396.55,,,,,,46,1.0,0.0,13600.0
LEXISNEXIS,complaints,45630.0,,,,,,,,,
SIEMENS MEDICAL SOLUTIONS,doctor_payments,456680339.64,9,12.0,0.0,5303024.0,21.212096,8,0.0,0.0,0.0
ORACLE,lobbying,85085493.52,,,,,,,,,
UBER TECHNOLOGIES,visas,480505.7,12,4.0,0.0,22669046.0,90.676184,8,0.0,0.0,0.0
DELTA AIR LINES,injuries,24006062.94,208,8442.0,3.0,404127867.0,12741.288682,155,4.0,0.0,79896.67
CITY OF PHOENIX,injuries,30063.81,68,3355.0,0.0,61912087.0,1424.712669,91,0.0,0.0,380450.0
ELECTRIC BOAT,contracts,19417221532.96,24,1773.0,0.0,95903665.0,1246.701629,23,2.0,0.0,63000.0
LEIDOS,contracts,19509697374.14,4,16.0,0.0,1834000.0,7.336,11,0.0,0.0,0.0
WELLS FARGO,complaints pacs,9954321.36,52,27.0,0.0,3291009.0,31.37469,219,5.0,0.0,304760.88
BERKSHIRE HATHAWAY,toxic_release,222645336.31,1,2.0,0.0,55987.0,0.615857,6,0.0,0.0,0.0
BECHTEL,contracts,7651229699.52,,,,,,,,,
MANTECH INTERNATIONAL,contracts,2136285750.8,,,,,,1,0.0,0.0,0.0
HP,contracts,553214445.64,37,19.0,0.0,36889280.0,148.825648,7,0.0,0.0,19600.0
KOCH,toxic_release,3113261.64,1,2.0,0.0,25120.0,0.27632,6,0.0,0.0,0.0
FORD MOTOR,injuries lobbying,893593941.88,106,9555.0,1.0,227435681.0,2849.991365,179,3.0,0.0,3232553.0
ARAMARK,injuries,6902478.02,988,1690.0,0.0,8084778.0,107.110826,14,0.0,0.0,650.0
AMERICAN MED RESPONSEGLOBAL MED RESPONSE 015025,injuries,,788,2102.0,8.0,67233270.0,865.977169,,,,
COMERICA,complaints,,1,0.0,0.0,11370.0,0.14781,2,0.0,0.0,28800.0
AMERICAN AIRLINES GROUP AA JFK NEW YORK JOHN F KENNEDY,injuries,,16,4213.0,0.0,61855747.0,1979.383904,,,,
HUBBELL,toxic_release,,16,49.0,0.0,4374354.0,55.15013,4,0.0,0.0,0.0
UNIVERSITY OF PITTSBURGH MEDICAL CENTER,injuries,,162,5894.0,2.0,182936742.0,3133.988056,,,,
NOVO NORDISK,doctor_payments,,21,82.0,0.0,14255142.0,65.959859,26,4.0,0.0,55948.67
STOP AND SHOP,injuries,,381,1824.0,0.0,62904476.0,1439.530081,25,0.0,0.0,360.0
