n,company,domain,table,col,rows,distinct,sample
17,Wells Fargo,money,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,161803,660,"WELLS FARGO/PRODUCT MANAGEMENT | WELLS FARGO GAMING CAPITAL, LLC/INV | WELLS FARGO/CUSTOMER SERVICE | WELLS FARGO/MC GEVP WHOLESALE BANKI | WELLS FARGO CAPITAL MGMT/INVESTMENT | WELLS FARGO HSBC TRADE BANK/PRESIDE"
18,3M,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2024,COMPANY_NAME,380,1,3M COMPANY
19,Johnson & Johnson,justice,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_SHORT,11,5,"IN RE JOHNSON & JOHNSON, A CORPORATION | INRE JOHNSON&JOHNSON | JOHNSON AND JOHNSON | JOHNSON&JOHNSON | IN RE ETHICON, INC. AND JOHNSON & JOHNSON HOSPITAL SERVICES, INC."
20,Lockheed Martin,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,19,1,LOCKHEED MARTIN CORP
21,Walmart,environment,ENERGY__FED_EIA860_4_OWNER,PLANT_NAME,3,2,WALMART CASA GRANDE | FOUNDATION WAL-MART RED BLUFF
22,RTX Raytheon,environment,ENVIRONMENT__FED_EPA_ENVIROFACTS,FACILITY_NAME,12,10,"RAYTHEON CO, EQUIPMENT DIV MFG | RAYTHEON CO EQUIPMENT DIV MANUFACTURING | RAYTHEON CO RESEARCH DIV | RAYTHEON CO MISSILE SYS DIV | RAYTHEON CO | RAYTHEON CO ICO"
23,Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,NAME,1,1,BANK OF AMERICA CORP /DE/
24,AbbVie,environment,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,PARENT_COMPANY,22,3,ABBVIE INC (100%) | ABBVIE INC  (100%) | ABBVIE INC. (100%)
25,Merck,money,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_PARENT_NAME,73,1,"MERCK & CO., INC."
26,CVS Health,health,HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND,PROVIDER_NAME,2,2,"CVS MEDICAL GROUP, INC | CVS HOME CARE INC"
27,Lockheed Martin,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,NAME,1,1,LOCKHEED MARTIN CORP
28,Walmart,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,NAME,8,1,WALMART INC.
29,Johnson & Johnson,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_PARENT_NAME,185996,17,"JOHNSON & JOHNSON MEDICAL SPA | JOHNSON & JOHNSON SURGICAL INC | JOHNSON & JOHNSON CLINICAL DIAGNOSTICS GMBH | JOHNSON & JOHNSON LOCKSMITH AND DOOR COMPANY  INC | JOHNSON & JOHNSON LOCKSMITH AND DOOR COMPANY, INC | JOHNSON & JOHNSON CONSUMER COM"
30,Exxon Mobil,consumer,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,MFR_NAME,3,1,EXXON COMPANY USA
31,Merck,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,73,37,MERCK & CO BRANCHBURG FARMS | MERCK SHARP & DOHME DENVER BRANCH | MERCK & CO WETLANDS MITIGATION PROJECT | MERCK SHARP AND DOHME CORPORATION | MERCK SHARP & DOHME - KENILWORTH | MERCK SHARP AND DOHME LLC
32,Amazon,money,FINANCE__FED_SEC_13F_FILERS,FILINGMANAGER_NAME,1,1,"AMAZON.COM, INC."
33,UnitedHealth,health,HEALTH__FED_CMS_HOME_HEALTH_OWNERS,ORGANIZATION_NAME_OWNER,466,1,UNITEDHEALTH GROUP INCORPORATED
34,Wells Fargo,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,7759,5793,"WELLS FARGO BANK NATL. ASSN. V. MAXFIELD | WELLS FARGO BANK V. GOLPHIN | DYKEMAN V. WELLS FARGO HOME MORTGAGE, INC. | ALEXANDRIA MOSLEY V. WELLS FARGO & COMPANY | ALLRAN V. WELLS FARGO, ROBINSON BRADSHAW & HINSON, P.A. | WELLS FARGO & CO. V. MOORE"
35,Duke Energy,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,309,214,"TOWN OF CARRBORO V. DUKE ENERGY CORP. | IN RE DUKE ENERGY ERISA LITIGATION | GREEN V. DUKE ENERGY CORP. | DUKE ENERGY OHIO, INC. V. CITY OF HAMILTON | DUKE ENERGY FLA. V. FIRSTENERGY CORP. | DUKE ENERGY CORPORATION V. SCDOR"
36,Pfizer,money,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_PARENT_NAME,698,1,PFIZER INC
37,Boeing,transport,TRANSPORT__FED_NTSB_AVIATION_EVENTS,APT_NAME,12,6,BOEING FIELD/KING COUNTY INTER | BOEING FLD/KING COUNTY INTERN | BOEING FIELD | BOEING FIELD KING COUNTY INT. | BOEING FLD/KING COUNTY INTL | BOEING FIELD/KING COUNTY INTL
38,Tyson Foods,politics,POLITICS__IRS527_RELATED_ENTITIES,ORG_NAME,2,1,TYSON FOODS ARKANSAS PAC
39,Exxon Mobil,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,NAME,1,1,EXXON MOBIL CORP
40,Exxon Mobil,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,9292,7480,FORMER EXXON MOBIL TERMINAL | 5TH AVENUE PETROLEUM INC DBA EXXON | WHALLEY AVENUE EXXON | H C EVANS EXXON | PRESTON ROYAL EXXON 64857 | WEINER EXXON STATION
41,Amazon,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,1622,892,"AMAZON.COM INC V. LIGHTGUIDE INC | KOHLER COMPANY V. NULKA GROUP STOREFRONT ON WWW.AMAZON.COM | SMITH V. AMAZON.COM SERVICES, INC | BURWICK, WILLIAM V. AMAZON.COM, INC. | GRIFFITH V. AMAZON.COM INC | SCOTT V. AMAZON.COM, INC."
42,Northrop Grumman,immigration,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_ADDRESS1,1,1,3507 JACK NORTHROP AVE
43,RTX Raytheon,money,ECONOMICS__FED_IRS_REVOCATION,LEGAL_NAME,14,14,RAYTHEON BIRMINGHAM MANAGEMENT CLUB | RAYTHEON AEROSPACE SUPPORT SERVICES | RAYTHEON EMPLOYEES ASSOCIATION | RAYTHEON MPTD EMPLOYEES TOY PARADE | HUGHES-RAYTHEON EMPLOYEES | RAYTHEON COMMUNICATION GOLF LEAGUE
44,HCA Healthcare,environment,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,17,13,"HCA HEALTHCARE LABORATORY SERVICES HOUSTON | HCA HEALTHCARE LONG POINT ER, A PART OF TRIDENT HOSPITAL | HCA HEALTHCARE LABORATORY SERVICES NORTH CAROLINA, LLC | HCA HEALTHCARE LABORATORY SERVICES VIRGINIA, LLC | HCA HEALTHCARE LABORATORY SERVICES UTAH, LLC | HCA HEALTHCARE LABORATORY SERVICES IRVING"
45,Tyson Foods,environment,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,239,189,TYSON FOODS INC. WASTEWATER TREATMENT SYSTEMS UPGRADE | TYSON FOODS - WALDRON PROCESSING PLANT | TYSON FOODS INC. SAND MOUNTAIN HATCHERY | TYSON FOODS/AVIATION COMPLEX | QUICK TO FIX PRODUCTS TYSON FOODS | TYSON FRESH MEATS-EMPORIA
46,AbbVie,health,HEALTH__FED_CMS_OPEN_PAYMENTS_2023,SUBMITTING_APPLICABLE_MANUFACTURER_OR_APPLICABLE_GPO_NAME,1788326,2,"ABBVIE INC. | PHARMACYCLICS LLC, AN ABBVIE COMPANY"
47,Chevron,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,ESTABLISHMENT_NAME,7,1,CHEVRON GREELEY
48,Exxon Mobil,labor,LABOR__FED_MSHA_VIOLATIONS,CONTROLLER_NAME,1050,1,EXXON MOBIL CORP
49,General Dynamics,environment,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_4_FACILITY_NAME,41,13,GENERAL DYNAMICS ORDNANCE & TACTICAL SYSTEMS GARLAND | GENERAL DYNAMICS OTS (ANNISTON) | GENERAL DYNAMICS (NASSCO) | GENERAL DYNAMICS MISSION SYSTEMS | GENERAL DYNAMICS OTS (WILKES-BARRE) LLC | GENERAL DYNAMICS - OTS INC. (CAMDEN OP.)
50,Walmart,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,NAME,1,1,WALMART INC.
51,Amazon,environment,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,1446,1409,"AMAZON.COM SERVICES LLC - XCV7 | AMAZON.COM SERVICES, LLC DOB4 | AMAZON.COM SERVICES LLC - ATL5 | AMAZON.COM SERVICES LLC - MCO9 | AMAZON.COM SERVICES LLC - JAN1 | AMAZON.COM SERVICES LLC - DSR2"
52,Exxon Mobil,environment,ENERGY__FED_EIA860_3_1_GENERATOR,UTILITY_NAME,18,3,EXXON MOBIL REFINING AND SUPPLY CO. | EXXON MOBIL CORP | EXXON MOBIL PRODUCTION CO
53,Bank of America,health,HEALTH__FED_CMS_HOME_HEALTH_OWNERS,OWNER_NAME,8,2,"BANK OF AMERICA, NA | BANK OF AMERICA, N.A."
54,Duke Energy,environment,ENERGY__FED_EIA860_3_2_WIND,UTILITY_NAME,24,1,DUKE ENERGY RENEWABLES SERVICES
55,Tyson Foods,immigration,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_1,18,4,"TYSON FOODS | TYSON FOODS, INC | TYSON FOODS INC. | TYSON FOODS, INC."
56,Pfizer,environment,ENERGY__FED_EIA860_2_PLANT,PLANT_NAME,3,3,PFIZER PEAPACK SOLAR | PFIZER GROTON FUEL CELL | PFIZER GROTON PLANT
57,Boeing,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,NAME,1,1,BOEING CO
58,Lockheed Martin,money,ECONOMICS__FED_SBA_PPP,BORROWER_NAME,2,2,LOCKHEED WINDOW CORP | LOCKHEED WINDOW CORP.
59,Eli Lilly,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,688,485,"ELI LILLY AND COMPANY V. BRENNER | ELI LILLY & CO. | LOS ANGELES BIOMEDICAL RESEARCH INSTITUTE AT HARBOR-UCLA MEDICAL CENTER V. ELI LILLY & CO. | BLOWERS V. ELI LILLY & CO. | UNIVERSITY OF PENNSYLVANIA V. ELI LILLY AND COMPANY | ELI LILLY & CO. V. DR. REDDY'S LABS., LTD."
60,Duke Energy,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,NAME,1,1,DUKE ENERGY CORP
61,Northrop Grumman,politics,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,109,1,NORTHROP GRUMMAN CORPORATION
62,Walmart,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,NAME,1,1,WALMART INC.
63,Eli Lilly,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,90,57,ELI LILLY & COMPANY BUILDING 311 | ELI LILLY AND COMPANY - CONCORD | ELI LILLY AND COMPANY - LP1 - SOLID WASTE | ELI LILLY AND COMPANY - LP1 - VISITOR'S CENTER | ELI LILLY & COMPANY LILLY MEDICINE FOUNDRY | NORDYKE BULK PLANT-ELI LILLY & CO
64,Chevron,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,MAIL_NAME,71,61,CHEVRON PORT TAMPA TERMINAL | CHEVRON PRODS CO CHATTANOOGA TERMINAL | CHEVRON COLLINS TERMINAL | CHEVRON PHILLIPS CHEMICAL CO | CHEVRON INC | CHEVRON PHILLIPS CHEMICAL CO PERFORMANCE PIPE DIV
65,Bank of America,environment,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,FACILITY_NAME,119,94,BANK OF AMERICA - LAKE NONA | BANK OF AMERICA SOUTHGLENN | NEW BANK OF AMERICA - BOERNE & IH-10 | PROPOSED BANK OF AMERICA IN WEXFORD | BANK OF AMERICA - ESTERO | BANK OF AMERICA SHOPPES AT BAR
66,Peabody Energy,justice,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,278,226,"CYPRUS AMAX COAL COMPANY, CYPRUS WESTERN COAL COMPANY, MOUNTAIN COAL COMPANY, THUNDER BASIN COAL COMPANY, CONSOL OF KENTUCKY INC., CONSOL PENNSYLVANIA COAL COMPANY, CONSOLIDATION COAL COMPANY, GARDEN CREEK POCAHONTAS COMPANY, ISLAND CREEK COAL COMPANY, LAUREL RUN MINING COMPANY, MCELROY COAL COMPANY, NINEVAH COAL COMPANY, QUARTO MINING COMPANY, COLONY BAY COAL COMPANY, EASTERN ASSOCIATED COAL CORP"
67,Lockheed Martin,politics,POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS,EMPLOYER_NAME,43,3,LOCKHEED MARTIN | LOCKHEED NARTIN | LOCKHEED
68,Wells Fargo,politics,POLITICS__CA_LOBBY_EMP_LOBBYIST,EMPLOYER_NAME,3,1,WELLS FARGO & COMPANY
69,Boeing,politics,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,CLIENT_NAME,282,7,BOEING DEFENSE SPACE & SECURITY (FORMERLY KESTREL ENTERPRISES INC (KEI)) | BOEING EMPLOYEES' CREDIT UNION | THE BOEING COMPANY | AVIATION PARTNERS BOEING | BOEING COMPANY THE | BOEING COMPANY
70,RTX Raytheon,politics,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,84,1,RAYTHEON COMPANY
71,Boeing,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,ISSUER_NAME,862,1,BOEING CO
72,Exxon Mobil,money,ECONOMICS__FED_IRS_990_EFILE_INDEX,TAXPAYER_NAME,22,6,BATON ROUGE EXXON EMPLOYEES CLUB | EXXON ANNUITANTS ASSOCIATION OF BAYTOWN | EXXON MOBIL MASTER WELFARE BENEFIT TRUST 22-05528 | EXXON EMPLOYEES CLUB INC | EXXON ANNUITANT CLUB-MEMORIAL AREA HOUSTON INC | EXXON SEAMENS UNION
73,Lockheed Martin,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,COMPANY_NAME,23,2,"LOCKHEED MARTIN LOGISTIC SERVICES, INC. | LOCKHEED MARTIN CORPORATION"
74,Chevron,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,FACILITY_NAME,73,61,CHEVRON PHILLIPS CHEMICAL CO PERFORMANCE PIPE DIV | CHEVRON PORT EVERGLADES TERMINAL | CHEVRON PORT TAMPA TERMINAL | CHEVRON PRODUCTS CO PASCAGOULA REFINERY | CHEVRON LOUISVILLE TERMINAL/LUBRICANTS BLEND PLANT | CHEVRON PHILLIPS CHEMICAL CO  LP   BARTLESVILLE
75,Tyson Foods,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME_RAW,1024,1,"TYSON FOODS, INC."
76,Pfizer,justice,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,496,423,"AMERICAN CYANAMID COMPANY V. FEDERAL TRADE COMMISSION, BRISTOL-MYERS COMPANY AND BRISTOL LABORATORIES INC. V. FEDERAL TRADE COMMISSION, CHAS. PFIZER & CO., INC. V. FEDERAL TRADE COMMISSION, OLIN MATHIESON CHEMICAL CORPORATION V. FEDERAL TRADE COMMISSION, THE UPJOHN COMPANY V. FEDERAL TRADE COMMISSION | UNITE HERE LOCAL 355 V. MULHALL AND MULHALL V. UNITE HERE LOCAL 355 PFIZER INC. V. LAW OFFICES O"
77,Wells Fargo,politics,POLITICS__FED_FEC_PAC_SUMMARY,COMMITTEE_NAME,14,5,WELLS FARGO AND COMPANY EMPLOYEE PAC (AKA WELLS FARGO EMPLOYEE PAC) | WELLS FARGO AND COMPANY EMPLOYEES GOOD GOVERNMENT FEDERAL FUND II | QUINCI QUINCI QUINCI QUINCI QUINCI CLAREMONT WELLS FARGO | WELLS FARGO AND COMPANY NORTH CAROLINA EMPLOYEES GOOD GOVERNMENT FUND | QUINCI QUINCI QUINCI QUINCI QUINCI CLAREMONT CLAREMONT WELLS FARGO  CASH SUMMARY
78,Boeing,health,HEALTH__FED_FDA_DEVICE_510K,DEVICE_NAME,1,1,"BOEING, POSITIVE AIRWAY PRESSURE (PAP) THERAPY DEVICE"
79,Lockheed Martin,justice,JUSTICE__FED_ATF_FFL,BUSINESS_NAME,14,6,LOCKHEED MARTIN MISSILES AND FIRE CONTROL | LOCKHEED MARTIN CENTER FOR INNOVATION | LOCKHEED MARTIN AERONAUTICS COMPANY | SIKORSKY AIRCRAFT CORPORATION A LOCKHEED MARTIN CO | LOCKHEED MARTIN SPACE | LOCKHEED MARTIN MISSILES & FIRE CONTROL
80,Merck,environment,ENERGY__FED_EIA860_1_UTILITY,UTILITY_NAME,3,2,MERCK & CO INC-WEST POINT | MERCK & CO INC
81,Duke Energy,money,FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES,FACILITY_NAME,139,39,"DUKE ENERGY FLORIDA, LLC | DUKE ENERGY CAROLINAS, LLC-ROCKINGHAM CO COMB. TURB. | DUKE ENERGY PAUL L. BARTOW COMBINE CYCLE STATION | DUKE ENERGY CAROLINAS, LLC - MARSHALL STEAM STATION | DUKE ENERGY DAN RIVER STEAM STATION | DUKE ENERGY SUWANNEE RIVER PLANT"
82,Merck,health,HEALTH__FED_CLINICALTRIALS,LEAD_SPONSOR_NAME,2392,19,"CUBIST PHARMACEUTICALS LLC, A SUBSIDIARY OF MERCK & CO., INC. (RAHWAY, NEW JERSEY USA) | ONCOETHIX GMBH, A SUBSIDIARY OF MERCK & CO., INC. (RAHWAY, NEW JERSEY USA) | IMMUNE DESIGN, A SUBSIDIARY OF MERCK & CO., INC. (RAHWAY, NEW JERSEY USA) | CIDARA THERAPEUTICS INC., A SUBSIDIARY OF MERCK & CO., INC. (RAHWAY, NEW JERSEY USA) | TERNS, INC., A SUBSIDIARY OF MERCK & CO., INC. (RAHWAY, NEW JERSEY USA)"
83,Wells Fargo,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,COMPANY_NAME,6,6,ARAMARK WELLS FARGO CENTER-RETAIL MERCH STORE | ARAMARK WELLS FARGO CENTER-SUITES | ARAMARK WELLS FARGO CENTER-CONCESSIONS | ARAMARK WELLS FARGO CENTER-RETAIL MERCH STANDS | ARAMARK WELLS FARGO CENTER-RESTAURANT | ARAMARK WELLS FARGO CENTER - COURTSIDE LOUNGE
84,Chevron,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,NAME,1,1,CHEVRON CORP
85,Northrop Grumman,environment,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,273,146,NORTHROP CORP ELECTRONICS DIV | NORTHROP GRUMMAN  SYSTEMS CORP | NORTHROP GRUMMAN SYSTEMS CORPORATION - PROMONTORY | NORTHROP TRAINING CENTER K4 | NORTHROP GRUMMAN/ ALLIANT TECHSYSTEMS OPERATIONS LLC | NORTHROP GRUMMAN AIR FORCE PLANT 42 SITE 8
86,Duke Energy,environment,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_15_PARENT_CO_NAME,193,1,DUKE ENERGY CORP
87,Amazon,money,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_PARENT_NAME_RAW,7,1,AMAZON WEB SERVICES  INC.
88,RTX Raytheon,companies,CORPORATE_REGISTRY__FED_IRS_EO_BMF,SORT_NAME,1,1,7272596 RAYTHEON HUNTSVILLE
89,Boeing,justice,JUSTICE__FED_COURTLISTENER_POSITIONS,ORGANIZATION_NAME,2,1,THE BOEING COMPANY
90,Duke Energy,money,FINANCE__FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES,FACILITY_NAME,43,34,"DUKE ENERGY MOUNT HOLLY WHITE PHOSPHOROUS SITE | DUKE ENERGY H.F LEE PLANT/WAYNE CTY PLANT | DUKE ENERGY NORTH AMERICA LLC | DUKE ENERGY INDIANA, LLC - GALLAGHER GENERATING STATION | DUKE ENERGY SOUTH BAY POWER PLANT | DUKE ENERGY ASHEVILLE PLANT"
91,Exxon Mobil,environment,ENERGY__FED_EIA860_4_OWNER,OWNER_NAME,1,1,EXXON MOBIL CORP
92,RTX Raytheon,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,48680,30,"RAYTHEON COMMAND & CONTROL SOLUTIONS LLC | RAYTHEON TECHNICAL SERVICES INTERNATIONAL COMPANY | RAYTHEON TRAINING LLC | RAYTHEON SECURE INFORMATION SYSTEMS, LLC | RAYTHEON APPLIED SIGNAL TECHNOLOGY, INC. | RAYTHEON DIGITAL FORCE TECHNOLOGIES, LLC"
93,RTX Raytheon,money,FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS,FACILITY_NAME,16,11,RAYTHEON LEMMON AVENUE | RAYTHEON AIRCRAFT CO. | RAYTHEON AIRCRAFT CO(WAS BEECH AIRCRAFT) | RAYTHEON MS ALBUQUERQUE | RAYTHEON SYSTEMS CO | RAYTHEON INTEGRATED DEFENSE SYSTEMS
94,Chevron,politics,POLITICS__IRS527_8871_ORGS,ORGANIZATION_NAME,3,2,CHEVRON PHILLIPS CHEMICAL STATE PAC | JOBS NOW SPONSORED BY CHEVRON CORPORATION
95,JPMorgan Chase,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,300,95,J P MORGAN CHASE & CO | BUSH BUILDING SYSTEMS JP MORGAN CHASE RETAIL BANKING CENTER | JP MORGAN CHASE - 4001 GOVERNOR PRINTZ BLVD | JP MORGAN CHASE - 700 KANSAS LN - SN MJE03987 | JP MORGAN CHASE 143187 | JP MORGAN CHASE BANK N.A/FAIRFAX AVE
96,Chevron,immigration,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,46,4,"CHEVRON LAKE AUSTIN INC. | CHEVRON CORPORATION | CHEVRON NORTH AMERICA, INC. | CHEVRON PHILLIPS CHEMICAL COMPANY L.P."
97,Exxon Mobil,environment,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,5097,4028,EXXON SERVICE STATION #30109 | EXXON MOBIL CORPORATION #702720 | EXXON - OLEFINS PLANT BAYTOWN | EXXON SERVICE STATION #34541 | LEXINGTON PARK EXXON | EXXON SERVICE STATION #33971
98,JPMorgan Chase,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,20002,34,J P MORGAN ESQ LTD IOLTA TRUST ACCOUNT | J P MORGAN & COMPANY REAL ESTATE APPRAISERS AND CONSULTANTS INCORPORATED | J P MORGAN LIMOUSINE | JP MORGAN CHASE FUNDING INC. | J P MORGAN  T/W C LEBUS ITEM 4 | JP MORGAN CHASE BANK NA
99,Alliance Resource Partners,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,1,1,"ALLIANCE RESOURCE SOLUTIONS, LLC"
