-- S07 GLEIF x OpenSanctions: every sanctioned company target with an LEI-shaped ID, with its GLEIF record (row level)
LEI | OS_ID | OS_NAME | OS_COUNTRIES | OS_SANCTIONS | PROGRAM_IDS | DATASETS | FIRST_SEEN | LAST_SEEN | G_LEI | G_NAME | G_CTRY | G_CITY | G_ESTATUS | G_RSTATUS | G_LOU | G_REG0 | G_UPD | G_NEXT | G_VALID | G_CAT
213800LF6L9EQW7B3547 | NK-MMfxGkEcwJjzM5WPoTRkn3 | ALTAIR HOLDING SA | lu | "The Russia (Sanctions) (EU Exit) Regulations 2019 - ALTAIR HOLDING SA is an involved person under the Russia (Sanctions) (EU Exit) Regulations 2019, on the basis of the following ground:
 
ALTAIR HOLDING SA is or has been involved in obtaining a benefit from or supporting the Government of Russia by owning or controlling an entity carrying on business in a sector of strategic significance to the  | GB-RUS | Legal Entity Identifier (LEI) Reference Data;UK Companies House Disqualified Directors;UK FCDO Sanctions List | 2025-08-20 14:40:01 | 2026-08-05 18:40:02 | 213800LF6L9EQW7B3547 | ALTAIR HOLDING S.A. | LU | LUXEMBOURG | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2019-02-27 00:00:00+00:00 | 2025-02-28 00:09:03.397000+00:00 | 2025-02-27 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
213800O6JJSFZ1LJK780 | NK-CZuNTekrd6SWno4kyoCK7i | Таглагас Лтд | cy | 145/2023 - active - 2023-03-10 - 2073-03-10 | UA-SA1644 | Cyprus Companies and Corporate Officers;Legal Entity Identifier (LEI) Reference Data;Russian Unified State Register of Legal Entities;Ukraine NSDC State Register of Sanctions | 2023-04-20 10:50:14 | 2026-08-05 16:22:02 | 213800O6JJSFZ1LJK780 | TAGLAGAS LTD | CY | FAMAGUSTA | ACTIVE | ISSUED | 213800WAVVOPS85N2205 | 2020-01-29 00:00:00+00:00 | 2025-12-04 12:00:23.130000+00:00 | 2027-01-29 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
213800N3JWROTWNRLX33 | NK-fzhzbCpKfKvMmJWMUy4GPJ | JOINT STOCK COMPANY SINARSKIY PIPE PLANT | ru | ;RUSSIA-EO14024 - Executive Order 14024 (Russia);Reciprocal - Active - 2024-02-23 | US-RUSHAR | Legal Entity Identifier (LEI) Reference Data;PermID Open Data;Russian Unified State Register of Legal Entities;US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine War and Sanctions | 2024-02-23 14:10:55 | 2026-08-05 18:53:01 | 213800N3JWROTWNRLX33 | АКЦИОНЕРНОЕ ОБЩЕСТВО "СИНАРСКИЙ ТРУБНЫЙ ЗАВОД" | RU | KAMENSK-URALSKY | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2019-04-29 00:00:00+00:00 | 2022-04-30 00:05:32.917000+00:00 | 2022-04-29 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
213800TATT82V1FMUT15 | NK-H6ibPeVsGAUXhBQWuqzymi | Бірюза Лімітед | cy | 145/2023 - active - 2023-03-10 - 2073-03-10 | UA-SA1644 | Cyprus Companies and Corporate Officers;Legal Entity Identifier (LEI) Reference Data;Ukraine NSDC State Register of Sanctions | 2023-04-20 10:50:14 | 2026-08-05 16:22:02 | 213800TATT82V1FMUT15 | BIRUSA LIMITED | CY | NICOSIA | INACTIVE | RETIRED | 213800WAVVOPS85N2205 | 2019-04-03 00:00:00+00:00 | 2025-10-09 11:34:57.543000+00:00 | 2026-04-03 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
213800WNO9IQTTI4PG55 | NK-25fK4oVYLqsU8QhqRiWYP9 | INTERNATIONAL PUBLIC JOINT-STOCK COMPANY "UNITED COMPANY "RUSAL" | cy;ru | 726/2022 - active - 2022-10-19 - 2027-10-19 | UA-SA1644 | Global Energy Ownership Tracker;Legal Entity Identifier (LEI) Reference Data;PermID Open Data;Russian National Settlement Depository (NSD, ISIN Assignment);Russian Unified State Register of Legal Entities;UK Financial Instruments Reference Data System (FIRDS);Ukraine NSDC State Register of Sanctions | 2023-04-20 10:50:14 | 2026-08-05 16:22:02 | 213800WNO9IQTTI4PG55 | INTERNATIONAL PUBLIC JOINT-STOCK COMPANY "UNITED COMPANY "RUSAL" | RU | KALININGRAD | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2017-10-09 00:00:00+00:00 | 2022-10-20 00:06:59.517000+00:00 | 2022-10-19 00:00:00+00:00 | PARTIALLY_CORROBORATED | GENERAL
213800VW156IS7SJUL96 | NK-mAgtmteBp6F8REd7E7ptbN | 大唐国际发电股份有限公司 | cn | Product-based - Production of coal or coal-based energy |  | EU Financial Instruments Reference Data System (FIRDS);Global Energy Ownership Tracker;Legal Entity Identifier (LEI) Reference Data;Norges Bank Investment Management observation and exclusion of companies;PermID Open Data;UK Financial Instruments Reference Data System (FIRDS) | 2023-10-19 07:50:19 | 2026-08-05 11:48:32 | 213800VW156IS7SJUL96 | 大唐国际发电股份有限公司 | CN | BEIJING | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2019-03-11 00:00:00+00:00 | 2024-08-06 04:07:40.243000+00:00 | 2022-03-19 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
213800ZZOU5P76L8XB92 | NK-arBjWSLXLFzCteGEVP3pjW | Atlas Mining LLC | gb;ru | ;(UE) 2025/933 du 20/05/2025 (UE Ukraine intégrité territoriale - R (UE) 269/2014) - Petropavlovsk PLC est une société d'extraction d'or russe active dans le secteur de l'or russe, qui fournit des revenus substantiels au gouvernement de la Fédération de Russie. Par conséquent, Petropavlovsk PLC exerce des activités dans un secteur économique qui constitue une source substantielle de revenus pour l | EU-UKR;SECO-UKRAINE;UA-SA1644 | Belgian Financial Sanctions;EU Council Official Journal Sanctioned Entities;EU Financial Sanctions Files (FSF);French National Asset Freezing System;Legal Entity Identifier (LEI) Reference Data;Monaco National Fund Freezing List;PermID Open Data;Swiss SECO Sanctions/Embargoes;UK Companies House People with Significant Control;UK Financial Instruments Reference Data System (FIRDS);Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2025-05-20 21:58:03 | 2026-08-05 18:25:02 | 213800ZZOU5P76L8XB92 | PETROPAVLOVSK PLC | GB | MILTON KEYNES | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2016-12-21 00:00:00+00:00 | 2025-04-23 13:06:18.910000+00:00 | 2024-12-21 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
222100CX97CE319NY236 | NK-kHJUpbkK3MZtyr6srrePhz | СіТіЕф Холдингз С.А. | lu | 739/2023 - expired - 2023-11-07 - 2025-11-07;749/2025 - дії іноземної держави, іноземної юридичної чи фізичної особи, інших суб’єктів, які створюють реальні та/або потенційні загрози національним інтересам, національній безпеці, суверенітету і територіальній цілісності України, сприяють терористичній діяльності та/або порушують права і свободи людини і громадянина, інтереси суспільства та держави, | UA-SA1644 | Legal Entity Identifier (LEI) Reference Data;Ukraine NSDC State Register of Sanctions | 2023-11-08 18:22:02 | 2026-08-05 16:22:02 | 222100CX97CE319NY236 | CTF HOLDINGS S.A. | LU | LUXEMBOURG | ACTIVE | LAPSED | 213800WAVVOPS85N2205 | 2017-10-13 00:00:00+00:00 | 2024-10-17 00:11:15.500000+00:00 | 2024-10-16 00:00:00+00:00 | FULLY_CORROBORATED | GENERAL
222100Z1SLUER4LP1H14 | NK-73es3FNTxoJF4kxttGhBqV | IFP Investment Management S.A. | lu | ;"UCITS - En date du 9 avril 2021, la CSSF a prononcé une amende d’ordre d’un montant total de 50.000 EUR à l’encontre du gestionnaire de fonds d’investissement IFP Investment Management S.A. (le « Gestionnaire ») sur base des dispositions de l’article 148 (4) (e) de la Loi modifiée du 17 décembre 2010 relative aux organismes de placement collectif (la « Loi de 2010 ») et en tenant compte des disp |  | EU ESMA Sanctions;Legal Entity Identifier (LEI) Reference Data;Luxembourg CSSF Administrative Sanctions and Measures;PermID Open Data | 2024-06-03 11:02:51 | 2026-08-05 17:41:02 | 222100Z1SLUER4LP1H14 | IFP Investment Management S.A. | LU | Luxembourg | ACTIVE | ISSUED | 529900F6BNUR3RJ2WH29 | 2017-08-09 03:53:27+02:00 | 2025-09-03 09:12:54+02:00 | 2026-10-26 09:45:53+01:00 | FULLY_CORROBORATED | GENERAL
25340000QGMWTRG3X533 | NK-k2jrhqYzVxbVaXTCHkuCRq | Public Joint Stock Company Bystrobank | ru | ;"(UE) 2026/1843 du 23/07/2026 (UE Ukraine intégrité territoriale - R (UE) 269/2014) - PJSC ""BystroBank"" est la principale banque régionale de la République oudmourte (Fédération de Russie). Elle participe à la mise en œuvre du programme de prêts automobiles préférentiels lancé par le gouvernement de la Fédération de Russie. Le secteur bancaire fournit des revenus substantiels au gouvernement de | EU-RUS;EU-UKR;SECO-UKRAINE;US-RUSHAR | Belgian Financial Sanctions;Business Identifier Code (BIC) Reference Data;EU Council Official Journal Sanctioned Entities;EU Financial Sanctions Files (FSF);French National Asset Freezing System;Legal Entity Identifier (LEI) Reference Data;Monaco National Fund Freezing List;PermID Open Data;Russia Banking Registry;Russian National Settlement Depository (NSD, ISIN Assignment);Russian Unified State Register of Legal Entities;Swiss SECO Sanctions/Embargoes;US OFAC Press Releases;US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine War and Sanctions | 2023-11-27 07:43:01 | 2026-08-05 18:53:01 | 25340000QGMWTRG3X533 | Публичное акционерное общество "БыстроБанк" | RU | Ижевск | ACTIVE | ISSUED | 253400M18U5TB02TW421 | 2015-05-15 11:20:00+03:00 | 2026-03-04 11:02:21.327000+03:00 | 2027-03-04 11:01:35.517000+03:00 | FULLY_CORROBORATED | GENERAL
253400GRCV94X91GAW80 | NK-PvCMLMJyzoLAixBvjqYEkJ | BROKERCREDITSERVICE COMPANY LLC | ru | 465/2025 - дії іноземної держави, іноземної юридичної чи фізичної особи, інших суб’єктів, які створюють реальні та/або потенційні загрози національним інтересам, національній безпеці, суверенітету і територіальній цілісності України, сприяють терористичній діяльності та/або порушують права і свободи людини і громадянина, інтереси суспільства та держави, призводять до окупації території, експропріа | UA-SA1644 | Business Identifier Code (BIC) Reference Data;Legal Entity Identifier (LEI) Reference Data;Russian Unified State Register of Legal Entities;Ukraine NSDC State Register of Sanctions | 2025-07-06 15:22:03 | 2026-08-05 16:22:02 | 253400GRCV94X91GAW80 | Общество с ограниченной ответственностью "Компания Брокеркредитсервис" | RU | Новосибирск | ACTIVE | ISSUED | 253400M18U5TB02TW421 | 2014-10-31 10:20:00+03:00 | 2026-05-14 14:04:53.587000+03:00 | 2026-09-15 10:52:40.240000+03:00 | FULLY_CORROBORATED | GENERAL
253400NBDAA1ADSSA189 | NK-cgjyqhphXb4k6VWAcaEVdW | Garant Invest Bank Joint Stock | ru | ;RUSSIA-EO14024 - Executive Order 14024 (Russia);Reciprocal - Active - 2024-11-21 | US-RUSHAR | Business Identifier Code (BIC) Reference Data;Legal Entity Identifier (LEI) Reference Data;PermID Open Data;Russia Banking Registry;Russian Unified State Register of Legal Entities;US FATCA Foreign Financial Institution (FFI) List;US OFAC Press Releases;US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine War and Sanctions | 2024-11-21 16:10:02 | 2026-08-05 18:53:01 | 253400NBDAA1ADSSA189 | Коммерческий банк "Гарант-Инвест" (Акционерное общество) | RU | Москва | ACTIVE | LAPSED | 253400M18U5TB02TW421 | 2015-02-26 11:29:00+03:00 | 2025-03-22 05:06:24.163000+03:00 | 2025-03-22 14:04:22.070000+03:00 | FULLY_CORROBORATED | GENERAL
253400PT5760286MJW82 | NK-CNtajKD75HPcro3jTED8En | Russian National Commercial Bank | ru;ua | ;(UE) 2021/446 du 12/03/2021 (UE Ukraine intégrité territoriale - R (UE) 269/2014) - (UE) 2020/1267 du 10/09/2020 (UE Ukraine intégrité territoriale - R (UE) 269/2014) - (UE) 2023/1765 du 13/09/2023 (UE Ukraine intégrité territoriale - R (UE) 269/2014) - (UE) 826/2014 du 30/07/2014 (UE Ukraine intégrité territoriale - R (UE) 269/2014) - (UE) 2016/353 du 10/03/2016 (UE Ukraine intégrité territorial | AU-RUSSIA;CA-SEMA;EU-UKR;GB-RUS;NZ-RSA2022;SECO-UKRAINE;UA-SA1644;US-UKRRUS-REL | Australian Sanctions Consolidated List;Belgian Financial Sanctions;Business Identifier Code (BIC) Reference Data;Canadian Consolidated Autonomous Sanctions List;EU Financial Sanctions Files (FSF);French National Asset Freezing System;Legal Entity Identifier (LEI) Reference Data;Monaco National Fund Freezing List;New Zealand Russia Sanctions;PermID Open Data;Russian National Settlement Depository (NSD, ISIN Assignment);Russian Unified State Register of Legal Entities;Swiss SECO Sanctions/Embargoes;UK Companies House Disqualified Directors;UK FCDO Sanctions List;US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2022-11-17 13:39:32 | 2026-08-05 18:53:01 | 253400PT5760286MJW82 | РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК (публичное акционерное общество) | RU | Симферополь | INACTIVE | RETIRED | 253400M18U5TB02TW421 | 2015-05-14 10:45:00+03:00 | 2025-06-26 14:10:47.150000+03:00 | 2025-08-21 16:05:29.003000+03:00 | FULLY_CORROBORATED | GENERAL
25490002BUTSMP94GO68 | NK-Ac9HcasLuJQq5m5AaRniEL | 中電控股有限公司 | hk | Product-based - Production of coal or coal-based energy |  | EU Financial Instruments Reference Data System (FIRDS);Global Energy Ownership Tracker;Graph-based entity tagging;Legal Entity Identifier (LEI) Reference Data;Norges Bank Investment Management observation and exclusion of companies;PermID Open Data;UK Financial Instruments Reference Data System (FIRDS) | 2023-10-19 07:50:19 | 2026-08-05 12:40:08 | 25490002BUTSMP94GO68 | 中電控股有限公司 | HK | Hong Kong | ACTIVE | ISSUED | 5493001KJTIIGC8Y1R12 | 2017-10-26 13:15:48.918000+00:00 | 2025-10-10 05:28:28.310000+00:00 | 2026-10-31 09:15:01.857000+00:00 | FULLY_CORROBORATED | GENERAL
30030012W0VTXVYUTD83 | NK-GoLDREfQPRXPSDPXaEriSX | Xinjiang Zhongtai (Group) Co., Ltd. | cn | A list of entities working with the government of Xinjiang to recruit, transport, transfer, harbor or receive forced labor or Uyghurs, Kazakhs, Kyrgyz, or members of other persecuted groups out of Xinjiang - Section 2(d)(2)(B)(ii) - 2023-09-27 | US-UFLPA | Companies Operating in the Uyghur Region;Global Energy Ownership Tracker;Legal Entity Identifier (LEI) Reference Data;PermID Open Data;US UFLPA Entity List | 2023-10-13 08:55:06 | 2026-08-05 12:57:01 | 30030012W0VTXVYUTD83 | 新疆中泰（集团）有限责任公司 | CN | 乌鲁木齐市 | ACTIVE | LAPSED | 655600IJ8LS3CCDA4421 | 2018-04-25 16:02:40+08:00 | 2023-12-01 09:12:59+08:00 | 2024-12-26 16:02:41+08:00 | FULLY_CORROBORATED | GENERAL
300300C5009231000067 | NK-fMsipVYAaAsWodjnBrsHb7 | COSCO SHIPPING FINANCE CO., LTD | cn | inactive - 2025-01-07 - 2026-02-17 | US-DOD-1260H | Business Identifier Code (BIC) Reference Data;Legal Entity Identifier (LEI) Reference Data;PermID Open Data;US DoD Chinese military companies | 2024-01-31 00:00:00 | 2026-08-05 09:54:15 | 300300C5009231000067 | 中远海运集团财务有限责任公司 | CN | 浦东新区 | ACTIVE | LAPSED | 655600IJ8LS3CCDA4421 | 2019-10-11 13:35:30+08:00 | 2023-02-22 11:28:48+08:00 | 2024-02-22 13:35:30+08:00 | FULLY_CORROBORATED | GENERAL
300300XLRQ88JQQSAF66 | NK-QhEXK2aWQKfd9j5rkoPkR2 | China Telecommunications Corporation | cn | 2024-01-31;2025-01-07;2026-06-08;CMIC-EO13959 - Executive Order 14032 (CMIC) - 2022-06-03 - 2021-08-02;Reciprocal - Active - 2020-11-12;Reciprocal - Active - 2021-06-03;inactive - 2021-06-03 - 2025-01-07 | US-DOD-1260H;US-NS-CMIC | Global Energy Ownership Tracker;Legal Entity Identifier (LEI) Reference Data;PermID Open Data;Research Organizations Registry;US DoD Chinese military companies;US OFAC Consolidated (non-SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL) | 2023-04-20 10:56:14 | 2026-08-05 18:53:01 | 300300XLRQ88JQQSAF66 | 中国电信集团有限公司 | CN | 西城区 | ACTIVE | LAPSED | 655600IJ8LS3CCDA4421 | 2020-03-02 00:00:00+08:00 | 2022-12-27 23:04:22+08:00 | 2023-12-26 00:00:01+08:00 | FULLY_CORROBORATED | GENERAL
