-- S09 OFAC SDN list's own remarks: LEIs OFAC itself printed, joined to GLEIF (official key, not OpenSanctions matching)
ENT_NUM | SDN_NAME | SDN_TYPE | PROGRAM | LEI | REMARKS | G_LEI | G_NAME | G_CTRY | G_CITY | G_RSTATUS | G_ESTATUS | G_LOU | G_REG0 | G_UPD | G_NEXT | G_VALID | SDN_LOADED
53147 | LAKE VIEW SHIP MANAGEMENT PRIVATE LIMITED |  | IRAN-EO13902 | U52292MH2023PTC40010 | Website https://www.lakeviewshipmanagement.in; Organization Established Date 05 Apr 2023; Identification Number IMO 6409732; alt. Identification Number U52292MH2023PTC400107 (India); Registration Number 400107 (India). |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
51234 | TMSD GLOBAL PRIVATE LIMITED |  | RUSSIA-EO14024 | U45300DL2020PTC36522 | Secondary sanctions risk: See Section 11 of Executive Order 14024.; C.I.N. U45300DL2020PTC365224 (India). |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
53881 | MARZIYA SHIPPING OPC PVT LTD |  | IRAN-EO13846 | U61200UP2021OPC14596 | Executive Order 13846 information: BLOCKING PROPERTY AND INTERESTS IN PROPERTY.  Sec. 5(a)(iv); Organization Established Date 06 May 2021; C.I.N. U61200UP2021OPC145965 (India); Identification Number IMO 6227200; Business Registration Number 145965 (India). |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
50641 | CRYPTEX |  | CYBER2] [RUSSIA-EO14024 | 75D9B7132AB690265D74 | Website cryptex.net; Digital Currency Address - XBT 13JtX4h7G5ZuNK5mFudKGq9DHLvvMFuNuz; Digital Currency Address - ETH 0x0931cA4D13BB4ba75D9B7132AB690265D749a5E7; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Digital Currency Address - LTC M8yFL6SFC6TreATegTyuSYkDfDRbisdpT3; Or |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
56049 | MICHIGANTAP HOSPITALITY PRIVATE LIMITED |  | TCO | U15510HR2019PTC08409 | Organization Established Date 11 Dec 2019; Organization Type: Beverage serving activities; C.I.N. U15510HR2019PTC084092 (India); Tax ID No. AANCM1457D (India); Linked To: BHARDWAJ, Vikrant. |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
52274 | ATLANTIC NAVIGATION OPC PRIVATE LIMITED |  | IRAN-EO13846 | U63030MH2020OPC34569 | Organization Established Date 2020; Tax ID No. AAUCA0110E (India); Commercial Registry Number U63030MH2020OPC345690 (India). |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
55906 | INDISOL MARKETING PRIVATE LIMITED |  | IRAN-EO13846 | U51909MH2018PTC31206 | Executive Order 13846 information: BLOCKING PROPERTY AND INTERESTS IN PROPERTY.  Sec. 5(a)(iv); Organization Established Date 2018; C.I.N. U51909MH2018PTC312069 (India). |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
51774 | LIMITED LIABILITY COMPANY BANK ORANGE |  | RUSSIA-EO14024 | 253400D0R1WTEK19WM57 | SWIFT/BIC PRSBRU2P; Website www.bankorange.ru; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Target Type Financial Institution; Tax ID No. 3803202000 (Russia); Legal Entity Number 253400D0R1WTEK19WM57; Registration Number 1023800000322 (Russia). | 253400D0R1WTEK19WM57 | Общество с ограниченной ответственностью Банк Оранжевый | RU | Санкт-Петербург | LAPSED | ACTIVE | 253400M18U5TB02TW421 | 2016-12-14 15:20:00+03:00 | 2025-02-25 10:07:30.790000+03:00 | 2023-02-25 11:12:35.387000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
51649 | ALFASTRAKHOVANIE GROUP |  | UKRAINE-EO13662] [RUSSIA-EO14024 | 253400QMD7MRJ6LTSS76 | Website www.alfastrah.ru; Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Target Type Financial Institution; Tax ID No. 7713056834 (Russia); Legal Entity Number 253400QMD7 | 253400QMD7MRJ6LTSS76 | Акционерное общество "АльфаСтрахование" | RU | Москва | LAPSED | ACTIVE | 253400M18U5TB02TW421 | 2015-07-10 12:57:00+03:00 | 2026-04-01 05:07:48.533000+03:00 | 2026-04-01 10:37:12.220000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
44866 | JOINT STOCK COMMERCIAL BANK AK BARS PUBLIC JOINT STOCK COMPANY |  | UKRAINE-EO13662] [RUSSIA-EO14024 | 253400XEMNQ5WBPN5635 | SWIFT/BIC ARRSRU2K; Website www.akbars.ru; Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Organization Established Date 26 Jul 2002; Target Type Financial Institution; Ta | 253400XEMNQ5WBPN5635 | Акционерный коммерческий банк "АК БАРС" (публичное акционерное общество) | RU | Казань | ISSUED | ACTIVE | 253400M18U5TB02TW421 | 2015-05-27 11:42:00+03:00 | 2025-12-29 10:39:00.840000+03:00 | 2026-12-29 10:37:40.813000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
47516 | PUBLIC JOINT STOCK COMPANY BYSTROBANK |  | RUSSIA-EO14024 | 25340000QGMWTRG3X533 | SWIFT/BIC BYJSRU33; Website www.bystrobank.ru; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Target Type Financial Institution; Tax ID No. 1831002591 (Russia); Legal Entity Number 25340000QGMWTRG3X533; Registration Number 1021800001508 (Russia). | 25340000QGMWTRG3X533 | Публичное акционерное общество "БыстроБанк" | RU | Ижевск | ISSUED | ACTIVE | 253400M18U5TB02TW421 | 2015-05-15 11:20:00+03:00 | 2026-03-04 11:02:21.327000+03:00 | 2027-03-04 11:01:35.517000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
40799 | PUBLIC JOINT STOCK COMPANY STOCK COMMERCIAL BANK METALLURGICAL INVESTMENT BANK |  | RUSSIA-EO14024 | 25340027612MR0DNQ406 | SWIFT/BIC SCBMRUMM; Website www.metallinvestbank.ru; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 02 Aug 1993; Target Type Financial Institution; Tax ID No. 7709138570 (Russia); Legal Entity Number 25340027612MR0DNQ406; Registration Number 1027700 | 25340027612MR0DNQ406 | АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК "МЕТАЛЛУРГИЧЕСКИЙ ИНВЕСТИЦИОННЫЙ БАНК" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО) | RU | Москва | ISSUED | ACTIVE | 253400M18U5TB02TW421 | 2014-12-25 10:53:00+03:00 | 2026-07-21 11:44:21.950000+03:00 | 2027-07-21 11:43:05.310000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
51652 | GARANT INVEST BANK JOINT STOCK |  | RUSSIA-EO14024 | 253400NBDAA1ADSSA189 | SWIFT/BIC GAINRUMM; Website www.gibank.ru; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Target Type Financial Institution; Tax ID No. 7723168657 (Russia); Legal Entity Number 253400NBDAA1ADSSA189; Registration Number 1037739429320 (Russia). | 253400NBDAA1ADSSA189 | Коммерческий банк "Гарант-Инвест" (Акционерное общество) | RU | Москва | LAPSED | ACTIVE | 253400M18U5TB02TW421 | 2015-02-26 11:29:00+03:00 | 2025-03-22 05:06:24.163000+03:00 | 2025-03-22 14:04:22.070000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
42998 | IGT INTERGESTIONS TRUST REG. |  | RUSSIA-EO14024 | 391200PWMHBZMLPKTA05 | Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 20 Aug 1993; Identification Number JB8LS5.99999.SL.438 (Liechtenstein); Legal Entity Number 391200PWMHBZMLPKTA05; Registration Number FL-0001.513.056-8 (Liechtenstein); Linked To: TRADE INITIATIVE ESTAB | 391200PWMHBZMLPKTA05 | IGT INTERGESTIONS TRUST REG. | LI | Vaduz | LAPSED | ACTIVE | 39120001KULK7200U106 | 2017-12-22 16:23:34.692000+01:00 | 2024-12-22 16:24:26.501000+01:00 | 2024-12-22 16:23:34.692000+01:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
39317 | PUBLIC JOINT STOCK COMPANY BANK URALSIB |  | UKRAINE-EO13662] [RUSSIA-EO14024 | 253400HYBTF10T9XBR98 | SWIFT/BIC AVTBRUMM; Website https://www.uralsib.ru; Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Organization Established Date 27 Jan 1993; Target Type Financial Instit | 253400HYBTF10T9XBR98 | Публичное акционерное общество "БАНК УРАЛСИБ" | RU | Москва | ISSUED | ACTIVE | 253400M18U5TB02TW421 | 2014-11-26 09:55:00+03:00 | 2026-05-25 12:09:13.097000+03:00 | 2027-05-25 12:08:12.360000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
50040 | AUDAX TRUST CONSULTING ESTABLISHMENT |  | RUSSIA-EO14024 | 254900KFJSAFNKNG2X74 | Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 05 May 2008; Legal Entity Number 254900KFJSAFNKNG2X74; Registration Number FL-0002.286.806-1 (Liechtenstein). | 254900KFJSAFNKNG2X74 | Audax Consulting Trust Establishment | LI | Triesen | LAPSED | ACTIVE | 5493001KJTIIGC8Y1R12 | 2017-12-21 20:31:20.666000+00:00 | 2024-11-22 13:30:03.931000+00:00 | 2024-11-22 12:28:43.843000+00:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
51839 | PUBLIC JOINT STOCK COMMERCIAL BANK DERZHAVA |  | RUSSIA-EO14024 | 253400K8490BM0R69348 | SWIFT/BIC DERZRUMM; Website www.derzhava.ru; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Target Type Financial Institution; Tax ID No. 7729003482 (Russia); Legal Entity Number 253400K8490BM0R69348; Registration Number 1027739120199 (Russia). | 253400K8490BM0R69348 | "Акционерный коммерческий банк "Держава" публичное акционерное общество" | RU | Москва | ISSUED | ACTIVE | 253400M18U5TB02TW421 | 2015-02-06 11:34:00+03:00 | 2025-08-01 12:58:47.880000+03:00 | 2026-08-01 12:57:56.737000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
40761 | UNICIOUS ENERGY PTE. LTD. |  | IRAN-EO13846 | 98450014F53C71A88A79 | Website https://unicious.com/; Additional Sanctions Information - Subject to Secondary Sanctions; Organization Established Date 15 Nov 2019; Company Number 98450014F53C71A88A79 (Singapore); Business Registration Number 201938747K (Singapore); Linked To: TRILIANCE PETROCHEMICAL CO. LTD. | 98450014F53C71A88A79 | UNICIOUS ENERGY PTE. LTD. | SG | Singapore | LAPSED | ACTIVE | 529900T8BM49AURSDO55 | 2020-04-09 15:02:35+00:00 | 2026-03-26 19:09:47+00:00 | 2023-04-09 15:02:35+00:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
49157 | HOLDEN INTERNATIONAL TRADING LIMITED |  | RUSSIA-EO14024 | 984500UF0E1A360BED45 | Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 13 Sep 2022; Company Number 3189526 (Hong Kong); Legal Entity Number 984500UF0E1A360BED45; Business Registration Number 74414102 (Hong Kong). | 984500UF0E1A360BED45 | 泓捷國際貿易有限公司 | HK | HONG KONG | LAPSED | ACTIVE | 529900T8BM49AURSDO55 | 2023-11-13 17:52:27+00:00 | 2025-09-25 15:36:00+00:00 | 2024-11-13 17:52:29+00:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
57839 | FUTURE COSMOS LIMITED |  | TCO | 98450095XC85G0D9A130 | Organization Established Date 30 May 2018; Organization Type: Activities of holding companies; Legal Entity Number 98450095XC85G0D9A130; Business Registration Number 69433109 (Hong Kong); Linked To: HU, Xiaowei. | 98450095XC85G0D9A130 | Future Cosmos Limited | HK | HONG KONG | ISSUED | ACTIVE | 529900T8BM49AURSDO55 | 2022-10-26 16:33:27+00:00 | 2025-10-16 09:24:19+00:00 | 2026-10-26 16:33:30+00:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
36496 | PUBLIC JOINT STOCK COMPANY ROSBANK |  | UKRAINE-EO13662] [RUSSIA-EO14024 | HOXMZG026UQNRK6J0C60 | SWIFT/BIC RSBNRUMM; Website https://www.rosbank.ru/; Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Organization Established Date 02 Mar 1993; Equity Ticker ROSB; ISIN RU | HOXMZG026UQNRK6J0C60 | Публичное акционерное общество РОСБАНК | RU | Москва | RETIRED | INACTIVE | 253400M18U5TB02TW421 | 2012-06-06 00:00:00+04:00 | 2025-03-12 09:19:45.243000+03:00 | 2025-10-18 16:19:59.077000+03:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
53932 | SHANDONG SHENGXING CHEMICAL CO., LTD. |  | IRAN-EO13902 | 836800RBDPW3BRK2AR57 | Organization Established Date 03 Feb 2009; Organization Code 684813343 (China); Legal Entity Number 836800RBDPW3BRK2AR57; Registration Number 370523200002583 (China); Unified Social Credit Code (USCC) 91370523684813343N (China). | 836800RBDPW3BRK2AR57 | 山东胜星化工有限公司 | CN | 东营市 | LAPSED | ACTIVE | 655600IJ8LS3CCDA4421 | 2022-10-28 07:21:36+08:00 | 2022-10-28 07:21:36+08:00 | 2023-10-28 07:21:36+08:00 | FULLY_CORROBORATED | 2026-06-25 21:55:21.291621
56926 | ELEVATE MARINE MANAGEMENT PRIVATE LIMITED |  | IRAN-EO13846 | U52242MH2024PTC43534 | Executive Order 13846 information: BLOCKING PROPERTY AND INTERESTS IN PROPERTY.  Sec. 5(a)(iv); Organization Established Date 2024; C.I.N. U52242MH2024PTC435341 (India); Identification Number IMO 0121567. |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
54810 | SHREEJI GEMS LTD |  | IRAN-EO13902 | U92411GJ1991PLC01506 | Organization Established Date 15 Feb 1991; Company Number U92411GJ1991PLC015068 (India); Registration Number 015068 (India); Linked To: PATEL, Pankaj Nagjibhai. |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
53882 | B AND P SOLUTIONS PRIVATE LIMITED |  | IRAN-EO13902 | U24100CH2015PTC03548 | Organization Established Date 09 Apr 2015; C.I.N. U24100CH2015PTC035482 (India); Legal Entity Number 894500OIQ3CMTKB1PU89; Registration Number 035482 (India); Linked To: BRAR, Jugwinder Singh. |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
52816 | MARSHAL SHIP MANAGEMENT PRIVATE LIMITED |  | SDGT | U74910MH2019PTC33499 | Website www.marshal-shipmanagement.com; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Organization Established Date 25 Dec 2019; alt. Organization Established Date 28 Dec 2023; Tax ID No. AANCM1876A (India); alt. Tax ID No. 27AANCM1876A1ZF (Ind |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
48280 | KNH SHIPPING PRIVATE LIMITED |  | SDGT | U63090UP2019PTC11706 | Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; C.I.N. U63090UP2019PTC117063 (India); Registration Number 117603 (India) issued 17 May 2019; Linked To: AL-JAMAL, Sa'id Ahmad Muhammad. |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
54989 | ENSA SHIP MANAGEMENT PRIVATE LIMITED |  | IRAN-EO13846 | U82990MH2024PTC43478 | Executive Order 13846 information: BLOCKING PROPERTY AND INTERESTS IN PROPERTY.  Sec. 5(a)(iv); Organization Established Date 11 Nov 2024; C.I.N. U82990MH2024PTC434780 (India); Identification Number IMO 0108782; Registration Number 434780 (India). |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
54194 | QINGDAO FUSHEN PETROCHEMICAL CO., LTD |  | SDGT] [IFSR | 836800L3VBP3FOFDTP68 | Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Organization Established Date 28 Oct 2022; Legal Entity Number 836800L3VBP3FOFDTP68; Unified Social Credit Code (USCC) 91370220MABP904JX9 (China); Linked To: SEPEHR ENERGY JAHAN NAMA PARS COMPANY. |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
51090 | ABHAR TECHNOLOGIES AND SERVICES PRIVATE LIMITED |  | RUSSIA-EO14024 | U74999KA2016PTC09382 | Secondary sanctions risk: See Section 11 of Executive Order 14024.; Tax ID No. AAOCA4544Q (India); Registration Number U74999KA2016PTC093825 (India). |  |  |  |  |  |  |  |  |  |  |  | 2026-06-25 21:55:21.291621
(236 rows; csv has all)
