domain,name,tier,bulk,horizon,have,why,have_v
"Pharma, Biologics & Medical Devices",Unique Device Identifier / Device Identifier,STEEL,yes,now,unclear -- FDA(6 tables) contents aren't itemized and UDI isn't in ...,"Without UDI matching, a recalled hip implant or pacemaker model can't be systematically tied to the injury reports about that exact devic...",unclear
"Pharma, Biologics & Medical Devices",FDA Establishment Identifier,STEEL,unclear,nice-to-have-later,"unclear -- FDA(6) may include a registration table, but FEI isn't i...",A drug plant cited by FDA for contamination is often the same site with OSHA injury citations or EPA pollution violations; without FEI as...,unclear
"Pharma, Biologics & Medical Devices",Unique Ingredient Identifier,STEEL,yes,now,"unclear — FDA(6 tables), ingredient-level so distinct from the alre...",A chemical EPA restricts as an environmental hazard can still be a legal ingredient in an FDA-regulated product under a different interna...,unclear
"Pharma, Biologics & Medical Devices",DSCSA Product Identifier (GTIN + Serial Number),STEEL,no,nice-to-have-later,no -- the NDC prefix embedded in a GTIN could in theory be computed...,"DSCSA serialization exists to keep counterfeit and diverted drugs out of patients' hands, but the actual transaction-level data (which pa...",no
"Pharma, Biologics & Medical Devices",CAS Registry Number,STEEL,yes,now,unclear -- EPA(42 tables) almost certainly has CAS numbers buried i...,"The original list's UNII entry claims a bridge to 'EPA environmental/chemical datasets,' but EPA's chemical hazard and pollution data is ...",unclear
"Pharma, Biologics & Medical Devices",510(k) Premarket Notification Number,STRONG,yes,now,"unclear -- openFDA publishes this as a standard clean dataset, so i...","510(k) clearance skips new clinical trials by pointing to an older predicate; when a device turns out unsafe, K-numbers let you trace the...",unclear
"Pharma, Biologics & Medical Devices",Premarket Approval Number,STRONG,yes,now,unclear -- same reasoning as 510(k): openFDA has a clean standard d...,These are the highest-risk implanted devices in people's bodies; the supplement trail on a PMA number shows exactly which design change p...,unclear
"Pharma, Biologics & Medical Devices",SPL Set ID (Structured Product Labeling),STRONG,yes,nice-to-have-later,no -- distinct from the plain NDC Directory; would need the separat...,"Boxed warnings -- FDA's most severe safety warning -- live in structured form only in SPL. Without the Set ID as an anchor, Ripple can't ...",no
"Pharma, Biologics & Medical Devices",MAUDE Medical Device Report Number,STRONG,yes,now,no -- not named among the tables verified live in the 2026-08-05 co...,"This is the direct 'who got hurt' ledger for medical devices -- pacemaker malfunctions, surgical mesh injuries, insulin pump failures. Wi...",no
"Pharma, Biologics & Medical Devices",FAERS Individual Safety Report / Case ID,STRONG,yes,now,"no -- same reasoning as MAUDE, not confirmed live in the sweep; rea...","This is the direct injury/death ledger for prescription drugs and vaccines. Without it, Ripple can say a drug was approved and how much i...",no
"Pharma, Biologics & Medical Devices",New/Abbreviated New Animal Drug Application Number,STRONG,unclear,nice-to-have-later,"no -- niche CVM dataset, no evidence of it inside FDA(6) or anywher...","Antibiotic overuse in livestock, approved via NADA, is a documented driver of antibiotic-resistant human infections; without animal-drug ...",no
"Pharma, Biologics & Medical Devices",Humanitarian Device Exemption Number,STRONG,yes,now,"no -- niche, small (roughly dozens of total grants), not implied by...",HDE devices skip the effectiveness bar entirely -- safety data only. A clean look at which rare-disease devices were approved on safety-o...,no
"Pharma, Biologics & Medical Devices",VAERS ID,STRONG,yes,now,unclear -- CDC(9 tables) is a plausible home for a flagship joint C...,"This is the primary public ledger of reported vaccine injuries and deaths by lot and manufacturer. Without it, Ripple has vaccine approva...",unclear
"Pharma, Biologics & Medical Devices",HCT/P Establishment Registration,STRONG,unclear,nice-to-have-later,"no -- separate niche registry (HCTERS), not implied by any of FDA's...","Unlicensed stem-cell clinics offering unproven treatments is a real, ongoing FDA enforcement story. Cross-referencing the HCTERS registry...",no
"Pharma, Biologics & Medical Devices",Purple Book Biologic Patent List,STRONG,yes,now,no for the dataset itself -- but the PATENT key type this data woul...,Patent thickets on biologics like insulin are a documented driver of prices that push patients into rationing their own medication. Conne...,no
"Pharma, Biologics & Medical Devices",Drug Master File Number,STRONG,yes,now,"no -- small standalone FDA public index list, not implied by an NDC...",A large share of API manufacturing happens overseas and is invisible in NDC data alone. DMF numbers name the actual upstream ingredient p...,no
"Pharma, Biologics & Medical Devices",Orphan Drug Designation Number,STRONG,yes,now,"no -- distinct FDA Office of Orphan Products Development database, ...","Orphan exclusivity is frequently gamed -- slicing a common disease into rare subtypes, or using it to extend a monopoly on an already-pro...",no
"Pharma, Biologics & Medical Devices",Health Canada Drug Identification Number,STRONG,yes,nice-to-have-later,no -- would require acquiring a wholly new Canadian dataset; CA cur...,Drugs recalled or restricted in the US sometimes stay on shelves in Canada (or vice versa) before a coordinated recall catches up; DIN wo...,no
"Pharma, Biologics & Medical Devices",EUDAMED Single Registration Number,STRONG,unclear,nice-to-have-later,no -- would require acquiring a new EU dataset; none of the EU(2 ta...,Device makers sometimes withdraw or recall a device in the US while it keeps selling in the EU (or the reverse) before a coordinated glob...,no
"Pharma, Biologics & Medical Devices",National Vaccine Injury Compensation Program Petition Number,STRONG,unclear,now,unclear -- HRSA(1 table) is a plausible home since HRSA administers...,VAERS is just a filed report -- anyone can submit one and FDA/CDC don't confirm causation from it alone. VICP is the government actually ...,unclear
"Pharma, Biologics & Medical Devices",FDA Enforcement Report Recall Number / Event ID,STRONG,yes,now,unclear -- FDA(6 tables) plausibly includes an enforcement/recall t...,Nearly every entry in this candidate list's own domain_bridge and harm_rationale text invokes 'device recalls' or 'drug recalls' as the c...,unclear
"Pharma, Biologics & Medical Devices",FDA Debarment List,STRONG,yes,now,no,"This is the direct 'did the person who committed fraud against FDA just go back to work in the industry' check -- a named person, a docum...",no
"Pharma, Biologics & Medical Devices",FDA Disqualified / Restricted Clinical Investigators List,STRONG,yes,now,"no -- niche compliance list, not implied by FDA's 6 tables or CLINI...",A disqualified investigator's earlier trials don't automatically get thrown out of a drug's approval package -- this is 'a person hurt tr...,no
"Pharma, Biologics & Medical Devices",NABP e-Profile ID,STRONG,unclear,nice-to-have-later,"no -- non-federal standards-body registry, not implied by anything ...","This is the identifier layer for the actual person handing a patient a bottle, and for telling a legitimate online pharmacy from a rogue ...",no
"Pharma, Biologics & Medical Devices",503B Outsourcing Facility Registration,STRONG,yes,now,"no -- separate registrant list, not implied by FDA's 6 tables","The 2012 New England Compounding Center fungal meningitis outbreak (100+ deaths, contaminated injectable steroids from a compounding phar...",no
"Pharma, Biologics & Medical Devices",National Supplier Clearinghouse (NSC) / DMEPOS Supplier Number,STRONG,unclear,nice-to-have-later,unclear -- CMS(49 tables) is large and DMEPOS-related billing/provi...,"DME billing fraud -- charging Medicare for power wheelchairs, braces, or supplies never delivered or never needed -- is one of the most c...",unclear
"Pharma, Biologics & Medical Devices",De Novo Classification Number,STRONG,yes,now,unclear -- same reasoning as 510(k)/PMA: plausible as one of FDA's ...,A De Novo grant is the origin point of a whole new device category -- everything later cleared as 'substantially equivalent' to it traces...,unclear
"Pharma, Biologics & Medical Devices",Investigational Device Exemption Number,WEAK,no,nice-to-have-later,no -- IDE holder identity is largely confidential; FDA does not pub...,Device trials under IDE aren't always registered on ClinicalTrials.gov the way drug trials are; IDE data would show which experimental de...,no
"Pharma, Biologics & Medical Devices",National Health Related Item Code,WEAK,yes,now,unclear -- historically NHRIC and NDC were sometimes distributed to...,"Older device recalls reference NHRIC codes, not UDI or NDC. If NHRIC isn't recognized as a distinct device code, historical device-harm r...",unclear
"Pharma, Biologics & Medical Devices",FDA Import Alert Number / DWPE Red List Entry,WEAK,unclear,nice-to-have-later,no -- enforcement data distinct from anything in FDA's 6 tables; CB...,Import alerts flag foreign manufacturers whose products FDA won't even let into the country without inspection due to contamination or qu...,no
"Pharma, Biologics & Medical Devices",Investigational New Drug Application Number,WEAK,no,nice-to-have-later,no -- IND holder identity is confidential by design; FDA publishes ...,"IND clinical holds are FDA halting a trial specifically for participant safety concerns, often years before the public ever hears about t...",no
"Pharma, Biologics & Medical Devices",Administrative Controlled Substances Code Number,WEAK,yes,nice-to-have-later,no -- DEA(1 table) more likely holds registrant data (already yield...,"Mostly a classification/reference code (only a few hundred values), so its harm value is indirect: it lets Ripple correctly tag which spe...",no
"Pharma, Biologics & Medical Devices",OTC Monograph Order Number,WEAK,yes,nice-to-have-later,"no -- new (2020+) system, no evidence of it inside FDA's 6 tables","Most OTC drugs never go through NDA/ANDA review -- they're only as safe as their monograph, and the monograph system had a major structur...",no
"Pharma, Biologics & Medical Devices",FDA Device Product Code (Classification Product Code),WEAK,yes,now,unclear -- likely embedded as a column inside whichever FDA device ...,"Flagging mainly as a caution, not a clean new acquisition target: it's tempting to treat product code as 'the device bridge' since it's t...",unclear
Environment & Natural Resources,RCRA Handler ID (EPA ID Number),STEEL,yes,now,"Plausible, unconfirmed -- EPA has 42 tables in Ripple so a RCRAInfo...","Without this ID chained across a company's sites, you can see a hazardous-waste violation at one address but can't connect it to the same...",likely
Environment & Natural Resources,EPA AQS Site ID (Air Quality System monitor),STEEL,yes,now,Unclear -- AQS is a specific-enough EPA subsystem it could easily b...,Without station-level IDs you can't prove a neighborhood has no monitor at all -- a monitoring desert that hides pollution exposure from ...,unclear
Environment & Natural Resources,National Inventory of Dams (NID) ID,STEEL,yes,now,"No -- USACE is not in Ripple's source list at all; new agency, but ...",High-hazard dams with no current emergency action plan sitting upstream of towns is a documented recurring failure (e.g. 2020 Edenville D...,no
Environment & Natural Resources,API Well Number (oil & gas wells),STEEL,unclear,nice-to-have-later,No -- no state or federal oil & gas well regulator is in Ripple's c...,Orphaned and abandoned wells leak methane and brine into groundwater for decades after an operator dissolves or sells off; without a stab...,no
Environment & Natural Resources,USGS Site Number (NWIS),STEEL,yes,now,Plausible -- USGS already contributes 5 tables to Ripple; this ID l...,"Without standardized site-level IDs, an upstream contamination event or ecological measurement can't be reliably connected to what happen...",likely
Environment & Natural Resources,USCG Vessel Documentation Official Number,STEEL,yes,now,no -- Coast Guard is explicitly listed as NOT PRESENT AT ALL beyond...,"Fatal towboat/barge and commercial-fishing accidents are common, and USCG casualty reports cite the Official Number, not an IMO number th...",no
Environment & Natural Resources,TRI Facility ID,STRONG,yes,now,"Plausible, unconfirmed -- likely in one of EPA's 42 tables","Without a stable facility ID, TRI release data can't be reliably joined to that same facility's RCRA/NPDES/air-permit compliance history,...",likely
Environment & Natural Resources,CERCLIS / SEMS Site ID (Superfund),STRONG,yes,now,"Plausible, unconfirmed -- distinct from the already-found 'EPA enfo...","Without a clean site ID distinct from a street address, a contaminated site's decades-long remediation status can't be tracked, and the r...",likely
Environment & Natural Resources,EPA GHGRP Facility ID (Greenhouse Gas Reporting Program),STRONG,yes,now,"Plausible, unconfirmed -- likely in EPA's 42 tables","Without it, you can't rank or trend which specific corporate-owned facilities are the largest carbon emitters over time, or catch a facil...",likely
Environment & Natural Resources,EPA CAMD/CAMPD ORISPL Facility ID + Unit ID,STRONG,yes,now,"Plausible, unconfirmed -- likely in EPA's 42 tables; CAMPD (Clean A...","Without unit-level (not just facility-level) IDs, a utility can hide that one specific old, dirty unit -- often the one nearest a poor ne...",likely
Environment & Natural Resources,National Response Center (NRC) Incident/Sequence Number,STRONG,yes,now,Unclear -- could be filed under EPA(42) or DHS(3) given the joint E...,"This is the closest thing to a national real-time spill log; without it joined to a facility/company/vessel ID, Ripple can't show which o...",unclear
Environment & Natural Resources,EPA Pesticide Registration Number (FIFRA),STRONG,yes,now,"Unclear, plausibly absent -- pesticide regulatory data is a distinc...","Without the product-level registration number, pesticide poisoning incident reports (farmworkers, kids, pets) can't be reliably traced to...",unclear
Environment & Natural Resources,EPA Pesticide Producing-Establishment Number,STRONG,yes,now,"Unclear, plausibly absent (same reasoning as pesticide registration...","Separates who manufactures from who brands/sells -- without it, a contract manufacturer with a track record of safety violations stays in...",unclear
Environment & Natural Resources,Hydrologic Unit Code (HUC),STRONG,yes,now,Unclear -- could already be embedded as a raw field in USGS(5) or E...,"Without a shared watershed key, Ripple can only show pollution at a single discharge point, not who else shares that watershed and is exp...",unclear
Environment & Natural Resources,NRC (Nuclear Regulatory Commission) License Number,STRONG,unclear,nice-to-have-later,No -- NRC is not present in Ripple's source list at all. NRC has a ...,"Uranium mining and processing left hundreds of abandoned/contaminated sites, disproportionately on or near tribal land (Navajo Nation alo...",no
Environment & Natural Resources,OSMRE Abandoned Mine Land (AML) Inventory ID,STRONG,unclear,nice-to-have-later,No -- OSMRE is not present in Ripple's source list at all. OSMRE ma...,Acid mine drainage from unreclaimed sites poisons Appalachian streams and drinking water for decades after a coal company dissolves; with...,no
Environment & Natural Resources,FWS ECOS/IPaC Consultation Tracking Number (ESA Section 7),STRONG,unclear,nice-to-have-later,No -- FWS is not present in Ripple's source list at all. ECOS has a...,"This is the paper trail proving a federal agency knew a project could harm an endangered species and approved it anyway; without it, Ripp...",no
Environment & Natural Resources,EPA WQX / STORET Monitoring Location ID (Water Quality Exchange),STRONG,yes,now,No -- distinct EPA subsystem from USGS NWIS (already USGS's 5 table...,USGS NWIS is mostly flow/quantity data; the actual contamination-level sampling that catches a pollution event between discharge points a...,no
Environment & Natural Resources,Certified Pesticide Applicator License Number,STRONG,unclear,nice-to-have-later,"No -- person-level license, not present anywhere in Ripple's curren...","Drift incidents that poison farmworkers or neighboring schools get attributed to a company on paper, but the actual spray decision was ma...",no
Environment & Natural Resources,Certified Water/Wastewater Treatment Plant Operator License Number,STRONG,unclear,nice-to-have-later,"No -- person-level, not represented in Ripple's current EPA(42) tab...","Chronic SDWA violations at small/rural systems (the Flint-style failure pattern) show up at the facility (PWSID) level, but not who was a...",no
Environment & Natural Resources,EPA Lead-Safe Certified Firm / Renovator Number,STRONG,unclear,nice-to-have-later,No -- not represented anywhere in Ripple's current source list. EPA...,"Childhood lead poisoning from renovation dust concentrates in older, poorer housing. Without the firm/renovator ID, a poisoning cluster c...",no
Environment & Natural Resources,FEMA National Flood Insurance Program (NFIP) Community ID Number,STRONG,yes,nice-to-have-later,"Unclear -- FEMA sits under DHS, and DHS(3) is present in Ripple's s...",Communities suspended or that opt out of NFIP lose federally-backed flood insurance access right when a flood hits. Without the community...,unclear
Environment & Natural Resources,EPA UIC Permit ID (Underground Injection Control),WEAK,unclear,now,"Unclear, plausibly absent -- UIC is one of the less digitized, less...",Injection wells sited near or above drinking-water aquifers have caused documented groundwater contamination and induced earthquakes (e.g...,unclear
Environment & Natural Resources,BLM Serial Number (LR2000 / MLRS Case Number),WEAK,yes,nice-to-have-later,No -- BLM is not in Ripple's current source list at all. BLM's MLRS...,"This is the record of who holds mineral rights and leases on public land -- without it, Ripple can't map which companies are extracting f...",no
Environment & Natural Resources,GNIS ID (Geographic Names Information System),WEAK,yes,nice-to-have-later,"Unclear -- USGS(5) tables might reference GNIS IDs, unconfirmed","Weak/indirect on its own -- this is infrastructure, not a harm-finder by itself. Its value is disambiguating place names (e.g. which of 1...",unclear
Environment & Natural Resources,USACE Section 404 Wetland/Dredge-and-Fill Permit Number,WEAK,unclear,nice-to-have-later,No -- USACE is not in Ripple's source list at all. Permit data is f...,"Wetlands buffer flooding and filter pollution for downstream/downhill communities; without permit-level tracking tied to the developer, R...",no
Environment & Natural Resources,ITIS TSN (Taxonomic Serial Number),WEAK,yes,nice-to-have-later,"No -- no wildlife/species agency (FWS, NOAA Fisheries) is present i...","Without a stable species ID, counting how many listed-endangered species are impacted by a given permit can't be done reliably across dat...",no
Environment & Natural Resources,EPA/State UST & LUST Facility/Tank ID (Underground Storage Tanks),WEAK,no,nice-to-have-later,"No. Mostly state-level, similar to the international registries alr...","Leaking gas-station tanks are one of the most common, most local sources of groundwater benzene contamination, disproportionately cluster...",no
Environment & Natural Resources,Legacy EPA AIRS/AFS Facility ID and PCS (Permit Compliance System) ID,WEAK,unclear,nice-to-have-later,Unclear -- if EPA's 42 tables are historical ICIS extracts they may...,The worst legacy pollution -- decades of pre-2005 noncompliance -- is filed under these retired IDs. If Ripple only recognizes modern ICI...,unclear
Environment & Natural Resources,USDA NRCS/FSA Conservation Program Contract / Tract Number,WEAK,unclear,nice-to-have-later,No -- USDA confirmed entirely absent from Ripple's source list. USD...,"Landowners are paid to keep land out of production for erosion control or wetland protection. Without a contract-level ID, Ripple can't c...",no
Environment & Natural Resources,Asbestos NESHAP Demolition/Renovation Notification Number,WEAK,no,nice-to-have-later,No -- not represented anywhere in Ripple's current source list. Fil...,"Illegal or corner-cut asbestos demolition is a recurring urban-harm pattern -- contractors skipping abatement to save money, exposing wor...",no
Banking & Depository Institutions,SWIFT / BIC Code,STEEL,no,nice-to-have-later,unclear -- nothing in AGENCY_CONTEXT obviously carries it,Sanctions-evasion and money-laundering tracing (following payments tied to an OFAC-listed entity through correspondent banking) is done v...,unclear
Banking & Depository Institutions,OCC Charter Number,STEEL,yes,nice-to-have-later,no -- OCC does not appear anywhere in the agency-prefix list at all...,Large national banks are frequent subjects of BSA/AML consent orders for program failures that let cartel and trafficking money move thro...,no
Banking & Depository Institutions,NCUA Charter Number,STEEL,yes,now,"likely yes -- NCUA(1) table already exists in the warehouse, and NC...","Credit unions are supposed to be member-owned and consumer-friendly; without a stable charter-number join, predatory fee patterns or NCUA...",likely
Banking & Depository Institutions,Ginnie Mae Issuer ID,STEEL,yes,now,"unclear -- 'Active Ginnie Mae Issuers' is a real, named data.gov da...",Reverse-mortgage (HMBS) issuer collapses (e.g. Reverse Mortgage Funding's 2022 bankruptcy) have stranded elderly borrowers mid-servicing;...,unclear
Banking & Depository Institutions,FINRA CRD Number (Central Registration Depository),STEEL,unclear,nice-to-have-later,plausibly yes -- SEC(26) is a large table block and SEC broker-deal...,Bank-affiliated brokers with disciplinary histories for elder financial abuse or unsuitable investment sales can move bank-to-bank; witho...,other
Banking & Depository Institutions,HMDA Legacy Respondent ID (Agency Code + Respondent ID),STEEL,yes,now,unclear -- no HMDA source is confirmed anywhere in AGENCY_CONTEXT a...,HMDA changed its institution key from Agency+Respondent ID to LEI starting with 2018 data. A bank's multi-decade redlining pattern -- exa...,unclear
Banking & Depository Institutions,ABA Routing Number (Routing Transit Number),STRONG,unclear,now,unclear -- no dedicated Fed/ABA table in AGENCY_CONTEXT; FRB(2) exi...,"Scam and PPP-fraud money trails are traced by routing+account number, not institution name. Without RTN as a join key, Ripple can see a f...",unclear
Banking & Depository Institutions,FDIC UNINUM (Branch Office Number),STRONG,yes,now,likely yes -- FDIC(3) table count matches exactly BankFind Institut...,"FDIC Certificate Number is entity-level and changes hands at merger; to prove a specific branch served a low-income neighborhood, got abs...",likely
Banking & Depository Institutions,FinCEN MSB Registration Number,STRONG,unclear,nice-to-have-later,no -- FinCEN's one table in the agency context (FINCEN(1)) is the B...,"Money-transmitter storefronts are frequent AML enforcement targets (structuring, remittance fraud that victimizes immigrant communities w...",no
Banking & Depository Institutions,CHIPS Universal Identifier (UID),STRONG,no,nice-to-have-later,"no -- no Clearing House/CHIPS source anywhere in AGENCY_CONTEXT, an...","The largest-dollar illicit money movements clear through CHIPS' small set of participant banks; without UID, Ripple can't identify which ...",no
Banking & Depository Institutions,FHA Lender ID,STRONG,unclear,nice-to-have-later,unclear -- same single-HUD(1)-table caveat as Ginnie Mae Issuer ID ...,"FHA loans are a primary homeownership path for lower-income and minority borrowers; without Lender ID, Ripple can't join a lender's FHA d...",unclear
Banking & Depository Institutions,SBA 7(a)/PPP Lender ID (SBA Lender Number),STRONG,yes,now,likely yes -- SBA(2) tables plausibly include the 7(a)/504 FOIA dat...,Billions in fraudulent PPP loans were concentrated among a handful of fintech-partner banks that approved loans at far higher fraud rates...,likely
Banking & Depository Institutions,Fannie Mae / Freddie Mac Seller-Servicer Number,STRONG,yes,now,no,"The GSEs' free Single-Family Loan-Level Dataset shows loan performance by channel and servicer, but without the seller/servicer number yo...",no
Banking & Depository Institutions,Federal Home Loan Bank (FHLB) Member ID,STRONG,yes,now,unclear -- FHFA(2) plausibly includes FHFA's named 'FHLB Membership...,"Silicon Valley Bank, Signature Bank, and First Republic all quietly loaded up on FHLB advances in the months before their 2023 collapses ...",unclear
Banking & Depository Institutions,MSRB Registration Number,STRONG,yes,now,no -- no municipal-securities-dealer source anywhere in AGENCY_CONT...,Bank municipal-bond dealers involved in pay-to-play or unsuitable muni-bond sales inflate the borrowing costs cities and school districts...,no
Banking & Depository Institutions,DTCC/DTC Participant Number,STRONG,no,nice-to-have-later,no -- no DTCC/settlement source present anywhere in AGENCY_CONTEXT;...,Settlement-failure and custody-fraud patterns (e.g. naked short-selling schemes) involve a specific custodian bank as the operational nod...,no
