source,schema_name,table_name,model,clock,clock_column,grain,dtype,has_view,n_rows,why
ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS,ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,economics__fed_fdic_failed_banks,happened,FAIL_DATE,day,DATE,true,3584,"Staging parses FAILDATE with two strict formats (YYYY-MM-DD then MM/DD/YYYY); it is the day the bank actually failed, the real-world event this table exists to record."
ECONOMICS.ECONOMICS__FED_FINCEN_BOI,ECONOMICS,ECONOMICS__FED_FINCEN_BOI,economics__fed_fincen_boi,none,,none,,false,1,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
ECONOMICS.ECONOMICS__FED_FOREIGNASSISTANCE,ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,economics__fed_foreignassistance,happened,FISCAL_YEAR,year,TEXT,true,95658,"Raw passthrough of FISCAL_YEAR and the only time-shaped column; it is the fiscal year the assistance transaction occurred in, so it places the row at year resolution — never date-parse it, a bare cast would read '2012' as epoch seconds."
ECONOMICS.ECONOMICS__FED_GRANTS_GOV,ECONOMICS,ECONOMICS__FED_GRANTS_GOV,economics__fed_grants_gov,reported,POSTED_DATE,day,DATE,true,100,"try_to_date(POSTED_DATE); the day the funding opportunity was published on Grants.gov, which is the event this row records."
ECONOMICS.ECONOMICS__FED_IRS_990,ECONOMICS,ECONOMICS__FED_IRS_990,economics__fed_irs_990,span_start,TAX_YEAR,month,NUMBER,true,200,"try_to_number(taxyr) is a plain year integer labelling the same covered period at coarser resolution; safe as a number, dangerous if ever cast to a date."
ECONOMICS.ECONOMICS__FED_IRS_990_EFILE_INDEX,ECONOMICS,ECONOMICS__FED_IRS_990_EFILE_INDEX,economics__fed_irs_990_efile_index,reported,SUB_DATE,day,DATE,true,5544626,"The submission date to the IRS, now parsed by three explicit strict formats after the documented 2026-08-18 fix; grain is only YEAR because the model's own comment records that 3,192,934 rows (57.6%) carry a bare 4-digit filing year, not a full date — the census min of 1970-01-01 and its 3.19M epoch"
ECONOMICS.ECONOMICS__FED_IRS_AUTO_REVOCATIONS,ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,economics__fed_irs_auto_revocations,reported,REVOCATION_POSTING_DATE,day,DATE,true,1207295,"try_to_date(REVOCATION_POSTING_DATE); when the IRS published the revocation to the public list, always later than the revocation itself — the gap is measurable here."
ECONOMICS.ECONOMICS__FED_IRS_BMF,ECONOMICS,ECONOMICS__FED_IRS_BMF,economics__fed_irs_bmf,decided,RULING_DATE,month,TEXT,true,1974830,"trim(ruling) aliased to ruling_date — the BMF RULING field, the YYYYMM in which the IRS granted the organization's exemption; it is the only real event clock here and places every nonprofit by when it was recognised. Stored as TEXT and never parsed, so month grain and no epoch damage yet."
ECONOMICS.ECONOMICS__FED_IRS_EO_PR,ECONOMICS,ECONOMICS__FED_IRS_EO_PR,economics__fed_irs_eo_pr,span_end,TAX_PERIOD,month,TEXT,true,2587,"Raw TEXT passthrough of the BMF YYYYMM period-ending code; it is the only candidate on this Puerto Rico exempt-org extract, so it is the primary by default even though it is a period bound, not an event."
ECONOMICS.ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES,ECONOMICS,ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES,economics__fed_irs_pub78_eligible_donees,none,,none,,false,1435544,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
ECONOMICS.ECONOMICS__FED_IRS_REVOCATION,ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,economics__fed_irs_revocation,reported,REVOCATION_POSTING_DATE,day,TEXT,true,1187367,trim() of an unparsed TEXT column; when the IRS published the revocation to the list.
ECONOMICS.ECONOMICS__FED_IRS_SOI_CHARITIES,ECONOMICS,ECONOMICS__FED_IRS_SOI_CHARITIES,economics__fed_irs_soi_charities,span_end,TAX_PERIOD,month,TEXT,true,2450,"Raw TEXT passthrough of the YYYYMM period-ending code and the only candidate on this 2,450-row SOI extract."
ECONOMICS.ECONOMICS__FED_PBGC_DATA,ECONOMICS,ECONOMICS__FED_PBGC_DATA,economics__fed_pbgc_data,happened,DATA_YEAR,year,TEXT,true,134534,"Raw passthrough of DATA_YEAR, the year each pension-insurance metric describes; it is the year the measured thing was true, and it is part of the model's dedup partition key so it is populated."
ECONOMICS.ECONOMICS__FED_SBA_LOANS,ECONOMICS,ECONOMICS__FED_SBA_LOANS,economics__fed_sba_loans,happened,FIRST_DISBURSEMENT_DATE,day,DATE,true,2174502,"try_to_date(FIRSTDISBURSEMENTDATE); the day the money actually moved — the truest real-world event here, but sparsely populated relative to approval_date."
ECONOMICS.ECONOMICS__FED_SBA_PPP,ECONOMICS,ECONOMICS__FED_SBA_PPP,economics__fed_sba_ppp,decided,DATE_APPROVED,day,DATE,true,968524,"try_to_date(DATEAPPROVED); SBA approval of the PPP loan, present on every row and used as the dedup ordering key in the model, and it matches the census window 2020-04-03 to 2024-09-30."
ECONOMICS.ECONOMICS__FED_SEC_EDGAR,ECONOMICS,ECONOMICS__FED_SEC_EDGAR,economics__fed_sec_edgar,span_end,REPORTDATE,day,TEXT,true,200,"Raw TEXT passthrough of the data.sec.gov 'reportDate', the period the filing reports on (period end), and the only usable clock in the candidate list; note the model also carries FILEDAT, the true filing date, which the name sweep missed."
ECONOMICS.ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,ECONOMICS,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,economics__fed_sec_edgar_company_tickers,none,,none,,false,10414,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
ECONOMICS.ECONOMICS__FED_TREASURY_AVG_INTEREST_RATES,ECONOMICS,ECONOMICS__FED_TREASURY_AVG_INTEREST_RATES,economics__fed_treasury_avg_interest_rates,happened,RECORD_DATE,day,DATE,true,4961,"The Treasury observation date, part of the model's surrogate key; the file is monthly (census window 2001-01-01 to 2026-05-31 over 4,961 rows), so day grain would be a false claim."
ECONOMICS.ECONOMICS__FED_TREASURY_DEBT_OUTSTANDING,ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_OUTSTANDING,economics__fed_treasury_debt_outstanding,happened,RECORD_DATE,day,DATE,true,237,"try_to_date(RECORD_DATE); 237 rows spanning 1790 to 2025 is one row per year, so this is an ANNUAL series and day grain would be a false claim — the census CORRUPT_RANGE flag is a false alarm, US debt outstanding genuinely starts in 1790 and the single epoch-1970 row is a real 1970 observation."
ECONOMICS.ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,economics__fed_treasury_debt_to_penny,happened,RECORD_DATE,day,DATE,true,8329,"The model description states each row is one daily debt snapshot, and the census window 1993-04-01 to 2026-06-15 over 8,329 rows matches business-daily coverage."
ECONOMICS.ECONOMICS__FED_TREASURY_DTS_DEPOSITS,ECONOMICS,ECONOMICS__FED_TREASURY_DTS_DEPOSITS,economics__fed_treasury_dts_deposits,happened,RECORD_DATE,day,DATE,true,478149,try_to_date(RECORD_DATE) on the Daily Treasury Statement deposits feed; 478k rows over 2005-10-03 to 2026-08-07 is a genuine daily series.
ECONOMICS.ECONOMICS__FED_TREASURY_MTS_RECEIPTS,ECONOMICS,ECONOMICS__FED_TREASURY_MTS_RECEIPTS,economics__fed_treasury_mts_receipts,happened,RECORD_DATE,day,DATE,true,7490,"try_to_date(RECORD_DATE) on the Monthly Treasury Statement receipts feed; the census window 2015-03-31 to 2026-06-30 sits on month-ends, so month is the true resolution."
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,economics__fed_usaspending_assistance_full,happened,ACTION_DATE,day,TEXT,true,19902879,"The day the assistance transaction was executed — the real-world money event and the natural clock for a 19.9M-row transaction table; note this model is a pure quoted passthrough with NO cast, so it is still TEXT, which is why the census never measured it."
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,economics__fed_usaspending_contracts,happened,ACTION_DATE,day,TEXT,true,6325622,"The day the contract transaction was executed, the real-world event for this 6.3M-row transaction table; the model is a bare column list with no casts, so it is still TEXT and the census could not measure it."
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,economics__fed_usaspending_contracts_full,happened,ACTION_DATE,day,DATE,true,20000000,"try_to_date(""action_date"") in the mart; the day the contract transaction was executed, the real clock for all 20M rows — and unaffected by the fiscal-year bug that poisoned this table's census reading."
ECONOMICS.ECONOMICS__FED_USASPENDING_TOPTIER_AGENCIES,ECONOMICS,ECONOMICS__FED_USASPENDING_TOPTIER_AGENCIES,economics__fed_usaspending_toptier_agencies,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR,ECONOMICS,ECONOMICS__FED_US_SEC_EDGAR,economics__fed_us_sec_edgar,reported,FILED_AT,day,DATE,true,48984,"Staging does try_to_date(filed_at), so it is a DATE (time dropped): the day the filer submitted to EDGAR, populated on every filing, matching the census window 1995-05-19 to 2026-07-01."
ECONOMICS.ECONOMICS__FED_US_USASPENDING_API,ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,economics__fed_us_usaspending_api,reported,LAST_MODIFIED_DATE,day,DATE,true,300,"USASpending's own record-maintenance stamp for when the award record was last changed in their system — publisher bookkeeping about the row, not about the world, so never a primary clock."
ECONOMICS.ECONOMICS__INTL_FAO_FAOSTAT,ECONOMICS,ECONOMICS__INTL_FAO_FAOSTAT,economics__intl_fao_faostat,reported,DATEUPDATE,day,TEXT,true,69,"Raw TEXT passthrough of FAO's own DATEUPDATE on a 69-row dataset catalogue (one row per FAOSTAT dataset); it is when FAO last refreshed that dataset file, so it dates the publication, not any real-world event, and the string format is unverified with the warehouse down."
ECONOMICS.ECONOMICS__INTL_FAO_FAOSTAT_FOOD_SECURITY,ECONOMICS,ECONOMICS__INTL_FAO_FAOSTAT_FOOD_SECURITY,economics__intl_fao_faostat_food_security,happened,YEAR,year,NUMBER,true,279470,"try_to_number(""YEAR"") gives the year the indicator value describes; caveat worth checking on the rebuild — FAOSTAT food-security rows that carry a range label like '2000-2002' will silently become NULL under try_to_number."
ECONOMICS.ECONOMICS__INTL_GFI_TRADE,ECONOMICS,ECONOMICS__INTL_GFI_TRADE,economics__intl_gfi_trade,none,,none,,false,0,no column in this table holds a readable time value
ECONOMICS.ECONOMICS__INTL_GLEIF,ECONOMICS,ECONOMICS__INTL_GLEIF,economics__intl_gleif,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
ECONOMICS.ECONOMICS__INTL_GLEIF_RELATIONSHIPS,ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,economics__intl_gleif_relationships,span_start,RELATIONSHIP_PERIOD_1_STARTDATE,day,TEXT,true,484142,"Opening bound of period slot 1 on a parent/child relationship row and the best available anchor for when a corporate ownership link began. TRAP: the slots are a flattened repeating group, so slot 1 is not the same KIND of period on every row — you must filter relationship_period_1_periodtype = 'RELA"
ECONOMICS.ECONOMICS__INTL_GLEIF_REPEX,ECONOMICS,ECONOMICS__INTL_GLEIF_REPEX,economics__intl_gleif_repex,none,,none,,false,6259489,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
ECONOMICS.ECONOMICS__INTL_IPC_FOOD_INSECURITY_GLOBAL,ECONOMICS,ECONOMICS__INTL_IPC_FOOD_INSECURITY_GLOBAL,economics__intl_ipc_food_insecurity_global,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
ECONOMICS.ECONOMICS__INTL_IT_ISTAT,ECONOMICS,ECONOMICS__INTL_IT_ISTAT,economics__intl_it_istat,happened,DATE,day,DATE,true,213284,"Staging builds it with a regex-guarded parse: 'YYYY' rows become Jan-1 of that year and 'YYYY-MM' rows become the 1st of that month, so it is the observation-period start. Month is the finest resolution present, but the staging comment records that 202,824 of 213,284 rows are ANNUAL and only 10,460 "
ECONOMICS.ECONOMICS__XC_OWID_GINI,ECONOMICS,ECONOMICS__XC_OWID_GINI,economics__xc_owid_gini,happened,YEAR,year,NUMBER,true,2389,"try_to_number(""YEAR"") and the only time column; the year the Gini coefficient was measured for that country."
ECONOMICS.ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,ECONOMICS,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,economics__xc_wikipedia_largest_us_companies,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
EDUCATION.EDUCATION__FED_CFTC_COT_FINANCIAL,EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,education__fed_cftc_cot_financial,happened,REPORT_DATE_AS_YYYY_MM_DD,day,DATE,true,34683,"try_to_date(REPORT_DATE_AS_YYYY_MM_DD) - the same COT as-of date in ISO form, a safer cast than the YYMMDD twin, and the day the open-interest positions existed."
EDUCATION.EDUCATION__FED_CFTC_COT_FUTURES,EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,education__fed_cftc_cot_futures,happened,AS_OF_DATE_IN_FORM_YYYY_MM_DD,day,DATE,true,287053,try_to_date on the ISO-formatted COT as-of date - when the reported futures positions were held; census range 1986-2026 matches the real COT history.
EDUCATION.EDUCATION__FED_CPSC_NEISS_CODES,EDUCATION,EDUCATION__FED_CPSC_NEISS_CODES,education__fed_cpsc_neiss_codes,none,,none,,false,1250,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
EDUCATION.EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION,EDUCATION,EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION,education__fed_ed_college_scorecard_institution,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
EDUCATION.EDUCATION__FED_ED_EDFACTS,EDUCATION,EDUCATION__FED_ED_EDFACTS,education__fed_ed_edfacts,none,,none,,false,33,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
EDUCATION.EDUCATION__FED_ED_NCES_CIP_CODES,EDUCATION,EDUCATION__FED_ED_NCES_CIP_CODES,education__fed_ed_nces_cip_codes,none,,none,,false,2318,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
EDUCATION.EDUCATION__FED_FRB_H15_SELECTED_RATES,EDUCATION,EDUCATION__FED_FRB_H15_SELECTED_RATES,education__fed_frb_h15_selected_rates,none,,none,,false,0,time-shaped column names exist but none of them hold a readable time value
EDUCATION.EDUCATION__FED_FRB_Z1_CSV,EDUCATION,EDUCATION__FED_FRB_Z1_CSV,education__fed_frb_z1_csv,none,,none,,false,0,no column in this table holds a readable time value
EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_DECLARED_STATS,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_DECLARED_STATS,education__fed_google_polads_advertiser_declared_stats,none,,none,,false,470,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_GEO_SPEND,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_GEO_SPEND,education__fed_google_polads_advertiser_geo_spend,none,,none,,false,614078,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_ID_MAPPING,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_ID_MAPPING,education__fed_google_polads_advertiser_id_mapping,none,,none,,false,8044,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_STATS,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_STATS,education__fed_google_polads_advertiser_stats,none,,none,,false,21211,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND,education__fed_google_polads_advertiser_weekly_spend,span_start,WEEK_START_DATE,day,DATE,true,298884,"try_to_date(WEEK_START_DATE) in the mart; it is the Monday that opens each weekly spend bucket, so it is a real date whose underlying fact covers a week."
EDUCATION.EDUCATION__FED_GOOGLE_POLADS_CREATIVE_ID_MAPPING,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_ID_MAPPING,education__fed_google_polads_creative_id_mapping,none,,none,,false,971029,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
EDUCATION.EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,education__fed_google_polads_creative_stats,span_start,DATE_RANGE_START,day,DATE,true,1562870,try_to_date(DATE_RANGE_START) — the reported first day of the window this ad's stats cover; the only properly typed DATE on the table.
EDUCATION.EDUCATION__FED_GOOGLE_POLADS_GEO_SPEND,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_GEO_SPEND,education__fed_google_polads_geo_spend,none,,none,,false,1289,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,education__fed_senate_lda_filings,reported,DT_POSTED,day,TEXT,true,174871,"When the Senate posted the filing to the public LDA database — the classic reported clock; note the mart applies no cast, so its stored type is whatever landed, and the census's 2020-2021 range cannot have come from it."
ENERGY.ENERGY__FED_EIA860_1_UTILITY,ENERGY,ENERGY__FED_EIA860_1_UTILITY,energy__fed_eia860_1_utility,none,,none,,false,6643,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
ENERGY.ENERGY__FED_EIA860_2_PLANT,ENERGY,ENERGY__FED_EIA860_2_PLANT,energy__fed_eia860_2_plant,none,,none,,false,16132,"never examined -- no column name in this table looks like a clock, so the 2026-08-20 time index never opened it"
ENERGY.ENERGY__FED_EIA860_3_1_GENERATOR,ENERGY,ENERGY__FED_EIA860_3_1_GENERATOR,energy__fed_eia860_3_1_generator,happened,OPERATING_YEAR,year,NUMBER,true,26855,try_to_number() year; schema.yml documents it as the year the generator began operation - the real in-service event and the only broadly-populated clock on the table.
