column_name,plain,confidence,varies,author,written_on
COUNTRYBA,"The country of the company's business address, as two letters like US.",checked,no,claude-code,2026-09-23
STPRBA,"The state or province of the company's business address, as two letters. Includes Canadian provinces like BC.",checked,no,claude-code,2026-09-23
CITYBA,The city of the company's business address. Not cleaned; some hold a country or stray commas.,checked,no,claude-code,2026-09-23
ZIPBA,"The postal code of the company's business address. Foreign codes appear, and 00000 means none.",checked,no,claude-code,2026-09-23
BAS1,The first street line of the company's business address.,checked,no,claude-code,2026-09-23
BAS2,"The second street line of the company's business address, like a suite. Often empty.",checked,no,claude-code,2026-09-23
BAPH,"The company's business phone number. Formats vary: dashes, dots, parentheses, or bare digits.",checked,no,claude-code,2026-09-23
COUNTRYMA,"The country of the company's mailing address, as two letters like US.",checked,no,claude-code,2026-09-23
STPRMA,"The state or province of the company's mailing address, as two letters.",checked,no,claude-code,2026-09-23
CITYMA,The city of the company's mailing address. Not cleaned.,checked,no,claude-code,2026-09-23
ZIPMA,"The postal code of the company's mailing address. Foreign codes appear, and 00000 means none.",checked,no,claude-code,2026-09-23
MAS1,The first street line of the company's mailing address.,checked,no,claude-code,2026-09-23
MAS2,"The second street line of the company's mailing address, like a suite. Often empty.",checked,no,claude-code,2026-09-23
COUNTRYINC,"The country where the company is legally registered, as two letters like US or KY for the Cayman Islands.",checked,no,claude-code,2026-09-23
STPRINC,"The state or province where the company is legally registered, as two letters. Often DE for Delaware.",checked,no,claude-code,2026-09-23
FORMER,"The company's former name, if it changed. Empty for about four in ten rows.",checked,no,claude-code,2026-09-23
CHANGED,"The date the company changed its name, written as text like 20190430. Empty when there was no change.",checked,no,claude-code,2026-09-23
AFS,"The company's SEC filer size: 1-LAF is a large accelerated filer, 2-ACC accelerated, 4-NON non-accelerated.",checked,no,claude-code,2026-09-23
WKSI,"1 if the company is a well-known seasoned issuer, meaning a big established company with easier SEC rules; 0 if not.",checked,no,claude-code,2026-09-23
FYE,"The month and day the company's fiscal year ends, written as MMDD like 1231 for December 31.",checked,no,claude-code,2026-09-23
FY,"The company's fiscal year the filing covers, like 2024.",checked,no,claude-code,2026-09-23
FP,"Which fiscal period the filing covers: FY for the full year, or Q1, Q2, Q3.",checked,no,claude-code,2026-09-23
FILED,"The date the filing was made, written as text like 20240214.",checked,no,claude-code,2026-09-23
ACCEPTED,"The date and time the SEC accepted the filing, stored as text like 2024-02-14 17:15:00.0.",checked,no,claude-code,2026-09-23
PREVRPT,"1 if this filing was later replaced by an amended one, 0 if not.",checked,no,claude-code,2026-09-23
DETAIL,"1 if the filing also tags the numbers inside its footnotes, 0 if not.",checked,no,claude-code,2026-09-23
INSTANCE,"The file name of the filing's machine-readable data file, like amd-20240330_htm.xml.",checked,no,claude-code,2026-09-23
NCIKS,"How many companies are named on the filing, counting the main one. Usually 1.",checked,no,claude-code,2026-09-23
ACIKS,"The SEC numbers of the other companies on the filing, separated by spaces. Empty for almost every row.",checked,no,claude-code,2026-09-23
DATASET_ID,"The portal's own ID for the dataset. Format depends on the portal: a short code, a long random string, or a web address.",checked,no,claude-code,2026-09-23
TELEPHONE_NUMBER,"The facility's phone number, written with the area code in brackets and a dash in some tables and as bare digits in others. Some rows hold a lone dash instead of a number.",checked,no,claude-code,2026-09-23
CASE_NUMBER,"The agency's ID number for one case, in a format that depends on the agency, like 05-2014-5064 or I-200-19058-315794. In the OSHA injury tables it is a small running number like 1, 2 or 3 that repeats across work sites, and one table leaves it empty.",checked,no,claude-code,2026-09-23
COUNTRIES,"The country or countries tied to the record, with several joined by semicolons. The two sanctions tables use lowercase two-letter codes like us, some rows say Not identified, and one small offshore-leaks table leaves it mostly blank.",checked,no,claude-code,2026-09-23
FISCAL_YEAR,"The government fiscal year the row covers, like 2023, sometimes written as FY2026 or 2024 YTD. One ICE table holds small numbers that are not years, a DHS table leaves it mostly blank, and one table leaves it empty.",checked,no,claude-code,2026-09-23
TERMINATION_DATE,"The date the thing ended, like a registration, recall or judge's service, and blank when it has not ended. Some rows hold far-future dates like 2101-01-04 or 2200-12-30.",checked,no,claude-code,2026-09-23
PLANT_CODE,"The Energy Department's ID number for the power plant. Use it to join the plant, generator, and owner tables.",checked,no,claude-code,2026-09-23
SECTOR,,sampled,yes,claude-code,2026-09-23
CITY_NAME,"The city name. Casing varies, and some rows hold fillers like Not in a City, UNKNOWN or N/A.",checked,no,claude-code,2026-09-23
SUBMISSIONYEARQUARTER,"Which quarterly EPA data release this row came from, like 2026Q2.",checked,no,claude-code,2026-09-23
PWSID,"The public water system's ID, usually two state letters then seven characters, like OK2006367, though a few use longer prefixes like UTAH18050.",checked,no,claude-code,2026-09-23
CMTE_ID,"The Federal Election Commission's ID for the political committee, a C and eight digits like C00493783.",checked,no,claude-code,2026-09-23
FULL_NAME,"The full name of the person, like Nancy Pelosi. In the court table it is the court's full name.",checked,no,claude-code,2026-09-23
CHAMBER,"Which chamber of Congress: House or Senate. Some tables write rep or sen, and one also has President.",checked,no,claude-code,2026-09-23
EMPLOYER_NAME,"The employer's name. In lobbying tables it is the client that hired the lobbyist; in donation tables it is the donor's employer, often Self-Employed, Retired or Not Employed; in the labor certification table it is the hiring company.",checked,no,claude-code,2026-09-23
RECORDTYPE,"A short code for the kind of record, one per table, like GIFT, FOOD, or EVNT.",checked,no,claude-code,2026-09-23
FORMTYPECD,"The form filed: LOBBYACT for a lobby activity report, CORLOBBYACT for a corrected one.",checked,no,claude-code,2026-09-23
REPORTTYPECD,"Which report it is: the annual one or a monthly one, like LOBBYACTANNUAL or LOBBYACTMAR.",checked,no,claude-code,2026-09-23
APPLICABLEYEAR,"The year the report covers, like 2010. Stored as text.",checked,no,claude-code,2026-09-23
FILERTYPECD,"The kind of filer. Always LOBB, a lobbyist.",checked,no,claude-code,2026-09-23
FILERNAME,"The filer's name, last name first for people, though some filers are firms like J.P. Morgan Securities. The same person shows up with and without a title like Mr., so clean it before matching.",checked,no,claude-code,2026-09-23
FILERSORT,"The filer's name in all capitals, last name first for people, used for sorting. Some filers are firms like J.P. MORGAN SECURITIES.",checked,no,claude-code,2026-09-23
DUEDT,The date the report was due.,checked,no,claude-code,2026-09-23
RECEIVEDDT,The date the state received the report.,checked,no,claude-code,2026-09-23
PERIODSTARTDT,The first day of the period the report covers.,checked,no,claude-code,2026-09-23
PERIODENDDT,The last day of the period the report covers.,checked,no,claude-code,2026-09-23
TAGS,"Keywords attached to the record, usually joined with commas. Some rows hold an empty list [].",checked,no,claude-code,2026-09-23
NOTE,"A free-text note about the record, blank for most rows. One housing table fills many rows with a bare tab character instead of text.",checked,no,claude-code,2026-09-23
TYPE,,sampled,yes,claude-code,2026-09-23
STREET,"The street address line, like 925 DAYNA ST or PO BOX 505. Some rows hold UNKNOWN instead.",checked,no,claude-code,2026-09-23
STATUS_CODE,,sampled,yes,claude-code,2026-09-23
FORM_TYPE,"Which form was filed, like 8-K for the SEC or LM-2 for union reports; the codes depend on the agency. One IRS table just says EFILE.",checked,no,claude-code,2026-09-23
ENTITY_NAME,"The name of the company, person or group the record is about. The two exclusion tables leave it mostly blank.",checked,no,claude-code,2026-09-23
OWNERSHIP_TYPE,"Who owns it: for-profit, non-profit, government, cooperative and so on, with wording that differs by table. Some rows say Unavailable.",checked,no,claude-code,2026-09-23
ACTIVITY_TYPE_CODE,"The EPA code for the kind of action: INS inspection, AIF informal action, AFR administrative formal action, JDC court case. One table also has OSR, INF and INV, which need a lookup.",checked,no,claude-code,2026-09-23
AGENCY,"The government agency tied to the record, written differently by table: EPA or State, a full department name, a bracketed list in the Federal Register, or number codes in the federal appeals table, where most rows hold -9.",checked,no,claude-code,2026-09-23
COUNTRY_CODE,"The country as a code, usually two letters like US, but some tables use three letters like AGO. The World Bank debt table also holds group codes like MIC and LMC that need a lookup.",checked,no,claude-code,2026-09-23
URL,A web link to the record's own page at the source.,checked,no,claude-code,2026-09-23
CMTE_DSGN,"One letter for the committee's role: P is a candidate's main campaign, A authorized, J joint fundraiser, U unauthorized, B lobbyist PAC, D leadership PAC.",checked,no,claude-code,2026-09-23
CMTE_TP,"One letter for the committee's type, like H House campaign, S Senate, P President, Q or N a PAC, O a super PAC. Needs the FEC lookup for the rest.",checked,no,claude-code,2026-09-23
OCCUPATION,"The person's job as they wrote it, like RETIRED or Attorney, not cleaned. The mine accident table uses NO VALUE FOUND as a filler, and one FEC table leaves it almost always blank.",checked,no,claude-code,2026-09-23
TRANSACTION_DATE,The date the money moved or the trade or shipment happened.,checked,no,claude-code,2026-09-23
LOCATION,,sampled,yes,claude-code,2026-09-23
CONTRIBUTOR_NAME,"The donor's name, usually last name first, not cleaned. Groups and fillers show up too, like UNAVAILABLE, NAME, or a summary line for contributions of $200 or less.",checked,no,claude-code,2026-09-23
AMOUNT,"The dollar amount. In the Senate stock table it is a text range like $1,001 - $15,000 or the word Unknown, not an exact number.",checked,no,claude-code,2026-09-23
PERSON_NAME,"The name of the person tied to the record. Some tables mix in company names or court case names, some leave it mostly blank, and four leave it empty.",checked,no,claude-code,2026-09-23
COUNTY_PARISH,"The county name, or parish in Louisiana. Casing varies.",checked,no,claude-code,2026-09-23
PUBLISHER,"Who published the item, like a government office or journal publisher. Some tables store it as a web address or code-style text, and the species publications table mostly says None.",checked,no,claude-code,2026-09-23
LANGUAGE,"The language, written differently by table: en, ENG, SP, a full name like French, or a bracketed list. Some rows say unspecified or hold an empty list [].",checked,no,claude-code,2026-09-23
REDACTED,"t if part of this line in the judge's financial disclosure was blacked out, f if not. A few rows in the investments table hold stray letters like A or C.",checked,no,claude-code,2026-09-23
FINANCIAL_DISCLOSURE_ID,The ID of the judge's yearly financial disclosure report this line belongs to. Use it to join the disclosure tables.,checked,no,claude-code,2026-09-23
OFFICE,,sampled,yes,claude-code,2026-09-23
PROPRIETARY_NONPROFIT,"Whether the facility is for-profit or non-profit: P for for-profit, N for non-profit. Some tables also have D.",checked,no,claude-code,2026-09-23
JURISDICTION,,sampled,yes,claude-code,2026-09-23
ENTITY_TYPE,,sampled,yes,claude-code,2026-09-23
CLASSIFICATION,,sampled,yes,claude-code,2026-09-23
TERM,,sampled,yes,claude-code,2026-09-23
TICKER,"The company's stock ticker symbol, like AAPL. ""--"", ""N/A"" or blank means none was given.",checked,no,claude-code,2026-09-23
RECORD_DATE,"The date the figure or record is as of, like the end of a month or day. Mostly Treasury tables plus one procurement table, and one table leaves it empty.",checked,no,claude-code,2026-09-23
VALUE,,sampled,yes,claude-code,2026-09-23
LEI,"The company's Legal Entity Identifier, a 20-character global ID. The FDIC table's values are only 16 characters, so they look cut short.",checked,no,claude-code,2026-09-23
ELECTION_CYCLE,"The election year, like 2021. The calendar table runs far into the future, like 2124, and one table leaves it empty.",checked,no,claude-code,2026-09-23
REGISTRANT_NAME,"The name of whoever registered, like a lobbying firm, fund, foreign agent, aircraft owner or offender, with people often last name first. The aircraft table also uses REGISTRATION PENDING as a filler.",checked,no,claude-code,2026-09-23
GENERATOR_ID,"The generator's short ID inside its power plant, like GT4 or 1. Only unique together with the plant code.",checked,no,claude-code,2026-09-23
OWNERSHIP,"What kind of owner the utility is, like Cooperative, Municipal, or Investor Owned. The generator table uses one-letter codes: S, J, or W.",checked,no,claude-code,2026-09-23
POSTAL_CODE,"The ZIP or postal code, stored as text, as 5 or 9 digits or a foreign code. Fillers like 00000, UNKNOWN, N/A and -- mean none.",checked,no,claude-code,2026-09-23
LAST_REPORTED_DATE,The date this record was last reported into the EPA's drinking-water system.,checked,no,claude-code,2026-09-23
DOCKET,,sampled,yes,claude-code,2026-09-23
FORM_ID_NUMBER,The IRS's ID for one political-group filing on Form 8871 or 8872. Use it to join the IRS 527 tables.,checked,no,claude-code,2026-09-23
FIRM_NAME,"The name of the firm, like a lobbying, audit, or brokerage firm. Some are people's names, last name first.",checked,no,claude-code,2026-09-23
ADDRESS_1,The first line of the street address. In the foreign-agent table it is mostly blank and sometimes holds just a city like Washington.,checked,no,claude-code,2026-09-23
ADDRESS_2,"The second line of the address, like a suite or floor, blank for many rows. The FDA recall tables often say N/A instead.",checked,no,claude-code,2026-09-23
EXCLUSION_TYPE,Why the person or company is barred. HHS tables use the law section as a code like 1128a1; the SAM tables use words like Voluntary Exclusion. It is almost always blank in the health-center people table.,checked,no,claude-code,2026-09-23
MONTH,"The month, in many formats: January, 01, 1998-11, 10-2011, a mid-month date like 2026-03-15, or Total. One table leaves it empty.",checked,no,claude-code,2026-09-23
ENROLLMENT_ID,"Medicare's ID for one enrollment record: the letter O, a date, then a number, like O20090204000452.",checked,no,claude-code,2026-09-23
MULTIPLE_NPI_FLAG,"Y if this enrollment covers more than one provider number, N if not.",checked,no,claude-code,2026-09-23
ASSOCIATE_ID,"Medicare's 10-digit ID for the enrolled organization, used to link its enrollments and owners. Stored as text; a few look short, like lost leading zeros.",checked,no,claude-code,2026-09-23
ESTABLISHMENT_NAME,"The name of the business or work site, as the company wrote it. Some are just codes or branch numbers.",checked,no,claude-code,2026-09-23
ESTABLISHMENT_TYPE,,sampled,yes,claude-code,2026-09-23
DATE_RECEIVED,"The date the agency received the complaint, report, or application.",checked,no,claude-code,2026-09-23
NARRATIVE,"A free-text account of what happened, as the reporter wrote it, often in capitals with abbreviations. Mostly blank in several tables, and the rail equipment table fills many rows with junk like NoneNoneNone.",checked,no,claude-code,2026-09-23
VINTAGE,"Which year's Census map the geography comes from, like 2020. Stored as text.",checked,no,claude-code,2026-09-23
NODE_ID,"The ID of this item as a point in a linked network. In the Offshore Leaks tables it links people, companies, and addresses through the relationships table; in the spending tree it is an agency code like 005.",checked,no,claude-code,2026-09-23
SOURCE_LEAK,"Which leak the record came from, like Panama Papers or Pandora Papers.",checked,no,claude-code,2026-09-23
START_DATE,"The date it began, like an award, trial, listing or court. Mostly blank in several tables, and 1969-12-31 shows up in the offshore-leaks table as a stand-in date.",checked,no,claude-code,2026-09-23
DATASET_NAME,"The name of the dataset. One table stores it web-encoded, like DataSet%201 for DataSet 1, and two tables leave it empty.",checked,no,claude-code,2026-09-23
PERSON_ID,"The source's ID for the person, used to link that person across tables from the same source.",checked,no,claude-code,2026-09-23
TRANSACTION_TYPE,,sampled,yes,claude-code,2026-09-23
PUBLICATION_DATE,The date the item was published. Three tables leave it empty.,checked,no,claude-code,2026-09-23
UNIT,"The unit the number is measured in, like %, GW, TWh or deaths per 100,000. One table writes percent as PC, and two tables leave it empty.",checked,no,claude-code,2026-09-23
NAICS_DESCRIPTION,"The industry in words, like Full-Service Restaurants, matching the NAICS code. One table leaves it empty.",checked,no,claude-code,2026-09-23
ACTION_DATE,"The date of the award action, like a new contract or a change to one. Two tables store it as text.",checked,no,claude-code,2026-09-23
AWARDING_AGENCY_NAME,"The federal agency that made the award, like Department of Defense.",checked,no,claude-code,2026-09-23
FUNDING_AGENCY_NAME,The federal agency whose money paid for the award. Can differ from the agency that made it.,checked,no,claude-code,2026-09-23
RECIPIENT_UEI,"The recipient's 12-character federal ID, the Unique Entity ID that replaced the DUNS number. Mostly blank in the federal assistance table and empty in one small API table.",checked,no,claude-code,2026-09-23
RECIPIENT_DUNS,"The recipient's old 9-digit DUNS business number. Mostly blank in the federal assistance table, empty in the three newer tables, and an obvious filler like 123456787 shows up.",checked,no,claude-code,2026-09-23
LAST_MODIFIED_DATE,When the source last changed this record. Some tables add the time.,checked,no,claude-code,2026-09-23
AWARD_TYPE,"What kind of award: a contract type like PURCHASE ORDER or DELIVERY ORDER, or a grant type. Some rows use short forms like PO or DO, and the NIH table uses a one-digit code.",checked,no,claude-code,2026-09-23
WORLD_REGION_ACCORDING_TO_OWID,"The continent the country belongs to, as Our World in Data groups them, like Europe or Africa.",checked,no,claude-code,2026-09-23
SECTOR_NAME,"What kind of company runs the power plant, like Electric Utility, or IPP for an independent power producer. CHP means it also makes heat.",checked,no,claude-code,2026-09-23
WEBSITE,"The organization's website address, with or without www or https. A few rows in the energy-efficiency table hold a sentence of text instead.",checked,no,claude-code,2026-09-23
FIPS_CODE,"The county's five-digit number code, like 06037, stored as text. One table mixes in state-letter codes like TX155, and one leaves it empty.",checked,no,claude-code,2026-09-23
EPA_REGION,"The EPA region number, 01 to 10, stored as two-digit text.",checked,no,claude-code,2026-09-23
COUNTRY_NAME,"The country's full name, spelled different ways, like USA, US or UNITED STATES. The World Bank debt table also holds groups like Middle income.",checked,no,claude-code,2026-09-23
STATE_EPA_FLAG,"Who did the inspection or action: S for the state, E for the EPA, L for a local agency.",checked,no,claude-code,2026-09-23
ID_NUMBER,"The EPA's 12-character ID for a hazardous-waste site, starting with the state letters, like OHD050396126.",checked,no,claude-code,2026-09-23
ACTIVITY_LOCATION,"The state whose program handles the hazardous-waste site, as two letters.",checked,no,claude-code,2026-09-23
