-- S06 non-net-metering distributed: whole table (507 rows)
RECORD_ID | DATA_YEAR | STATE | UTILITY_NUMBER | UTILITY_NAME | BA_CODE | NUMBER_OF_GENERATORS | TOTAL_CAPACITY_MW | CAPACITY_BACK_UP_ONLY_MW | CAPACITY_UTILITY_OWNED_MW | TECHNOLOGY_TYPE | RESIDENTIAL_CAPACITY_MW_TECH_01 | COMMERCIAL_CAPACITY_MW_TECH_01 | INDUSTRIAL_CAPACITY_MW_TECH_01 | TRANSPORTATION_CAPACITY_MW_TECH_01 | DIRECT_CONNECTED_CAPACITY_MW_TECH_01 | TOTAL_CAPACITY_MW_TECH_01 | RESIDENTIAL_CAPACITY_MW_TECH_02 | COMMERCIAL_CAPACITY_MW_TECH_02 | INDUSTRIAL_CAPACITY_MW_TECH_02 | TRANSPORTATION_CAPACITY_MW_TECH_02 | DIRECT_CONNECTED_CAPACITY_MW_TECH_02 | TOTAL_CAPACITY_MW_TECH_02 | RESIDENTIAL_CAPACITY_MW_TECH_03 | COMMERCIAL_CAPACITY_MW_TECH_03 | INDUSTRIAL_CAPACITY_MW_TECH_03 | TRANSPORTATION_CAPACITY_MW_TECH_03 | DIRECT_CONNECTED_CAPACITY_MW_TECH_03 | TOTAL_CAPACITY_MW_TECH_03 | RESIDENTIAL_CAPACITY_MW_TECH_04 | COMMERCIAL_CAPACITY_MW_TECH_04 | INDUSTRIAL_CAPACITY_MW_TECH_04 | TRANSPORTATION_CAPACITY_MW_TECH_04 | DIRECT_CONNECTED_CAPACITY_MW_TECH_04 | TOTAL_CAPACITY_MW_TECH_04 | RESIDENTIAL_CAPACITY_MW_TECH_05 | COMMERCIAL_CAPACITY_MW_TECH_05 | INDUSTRIAL_CAPACITY_MW_TECH_05 | TRANSPORTATION_CAPACITY_MW_TECH_05 | DIRECT_CONNECTED_CAPACITY_MW_TECH_05 | TOTAL_CAPACITY_MW_TECH_05 | RESIDENTIAL_CAPACITY_MW_TECH_06 | COMMERCIAL_CAPACITY_MW_TECH_06 | INDUSTRIAL_CAPACITY_MW_TECH_06 | TRANSPORTATION_CAPACITY_MW_TECH_06 | DIRECT_CONNECTED_CAPACITY_MW_TECH_06 | TOTAL_CAPACITY_MW_TECH_06 | RESIDENTIAL_CAPACITY_MW_TECH_07 | COMMERCIAL_CAPACITY_MW_TECH_07 | INDUSTRIAL_CAPACITY_MW_TECH_07 | TRANSPORTATION_CAPACITY_MW_TECH_07 | DIRECT_CONNECTED_CAPACITY_MW_TECH_07 | TOTAL_CAPACITY_MW_TECH_07 | RESIDENTIAL_CAPACITY_MW_TECH_08 | COMMERCIAL_CAPACITY_MW_TECH_08 | INDUSTRIAL_CAPACITY_MW_TECH_08 | TRANSPORTATION_CAPACITY_MW_TECH_08 | DIRECT_CONNECTED_CAPACITY_MW_TECH_08 | TOTAL_CAPACITY_MW_TECH_08 | RESIDENTIAL_CAPACITY_MW_TECH_09 | COMMERCIAL_CAPACITY_MW_TECH_09 | INDUSTRIAL_CAPACITY_MW_TECH_09 | TRANSPORTATION_CAPACITY_MW_TECH_09 | DIRECT_CONNECTED_CAPACITY_MW_TECH_09 | TOTAL_CAPACITY_MW_TECH_09 | RESIDENTIAL_CAPACITY_MW_TECH_10 | COMMERCIAL_CAPACITY_MW_TECH_10 | INDUSTRIAL_CAPACITY_MW_TECH_10 | TRANSPORTATION_CAPACITY_MW_TECH_10 | DIRECT_CONNECTED_CAPACITY_MW_TECH_10 | TOTAL_CAPACITY_MW_TECH_10 | RESIDENTIAL_CAPACITY_MW_ALL_TECH | COMMERCIAL_CAPACITY_MW_ALL_TECH | INDUSTRIAL_CAPACITY_MW_ALL_TECH | TRANSPORTATION_CAPACITY_MW_ALL_TECH | DIRECT_CONNECTED_CAPACITY_MW_ALL_TECH | TOTAL_CAPACITY_MW_ALL_TECH | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
e071373388e2322388e0d4549f70e0fd-1 | 2024 | GA | 3108 | City of Cartersville - (GA) | SOCO | 2 | 1.4 |  |  | DC |  |  | 1.4 |  |  | 1.4 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 1.4 | 0 | 0.0 | 1.4 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
81f83d03b7d04153aba8f799aa7d258d-1 | 2024 | NC | 24889 | Brunswick Electric Member Corp | CPLE | 21 | 0.437 |  | 0.023 | AC | 0.104 | 0.163 |  |  |  | 0.267 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  | 0.17 |  |  |  | 0.17 | 0.104 | 0.333 | 0.0 | 0 | 0.0 | 0.437 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
5b6f31af94f47aa27caaa2f7bf0a7a27-1 | 2024 | MI | 38084 | Great Lakes Energy Coop | MISO | 4 | 2.15 |  |  | AC |  | 2.15 |  |  |  | 2.15 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 2.15 | 0.0 | 0 | 0.0 | 2.15 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
99065b79a21ae16a7a5de30d1f38d0cf-1 | 2024 | OR | 19325 | Umatilla Electric Coop Assn | BPAT | 2 | 1.057 |  | 1.057 | AC |  |  | 0.999 |  | 0.058 | 1.057 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 0.999 | 0 | 0.058 | 1.057 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
b20c4c63d87bdcae239197541ab983fa-1 | 2024 | MS | 13735 | Northcentral Mississippi E P A | TVA | 8 | 0.088 | 0.0 | 0.0 | AC | 0.082 | 0.006 | 0.0 | 0 | 0.0 | 0.088 |  |  |  |  |  |  |  |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.082 | 0.006 | 0.0 | 0 | 0.0 | 0.088 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
cc6911643a2bb6d3b42923fcd5def019-1 | 2024 | WA | 3660 | PUD No 1 of Clark County - (WA) | BPAT | 382 | 121.9 | 121.9 | 1.6 |  |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  | 62.4 | 59.5 |  |  | 121.9 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 62.4 | 59.5 | 0 | 0.0 | 121.9 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
963fe1a710b94a987dd41717245ea9b7-1 | 2024 | IL | 9750 | Jo-Carroll Energy, Inc | MISO | 15 | 7.8 | 2.4 |  | AC |  |  | 5.4 |  |  | 5.4 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  | 2.4 |  |  | 2.4 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 7.8 | 0 | 0.0 | 7.8 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
fc5db1200948f0dcb14e0565379101e8-1 | 2024 | TN | 9612 | City of Jackson - (TN) | TVA | 13 | 1.314 | 0.0 | 0.0 | AC | 0.038 | 1.276 | 0.0 | 0 | 0.0 | 1.314 |  |  |  |  |  |  |  |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.038 | 1.276 | 0.0 | 0 | 0.0 | 1.314 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
20df96218adb5b9b8cf30274ecfcc4a0-1 | 2024 | KY | 22053 | Kentucky Power Co | PJM | 5 | 0.696 |  |  | AC | 0.09 | 0.455 | 0.151 | 0 | 0.0 | 0.696 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.09 | 0.455 | 0.151 | 0 | 0.0 | 0.696 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
2366b29787e652e40e5b706f908fb2ec-1 | 2024 | TN | 5961 | Town of Erwin - (TN) | TVA | 4 | 0.033 | 0.0 | 0.0 | AC | 0.033 | 0.0 | 0.0 | 0 | 0.0 | 0.033 |  |  |  |  |  |  |  |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.033 | 0.0 | 0.0 | 0 | 0.0 | 0.033 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
0275c60aa2a49a8e9d227fc8510015c1-1 | 2024 | SD | 12199 | Montana-Dakota Utilities Co | MISO | 2 | 0.015 |  |  | AC | 0.011 |  |  |  |  | 0.011 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.004 |  |  |  |  | 0.004 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.015 | 0.0 | 0.0 | 0 | 0.0 | 0.015 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
2a98c7848210592d5ba645bc3225672e-1 | 2024 | MN | 14246 | City of Owatonna - (MN) | MISO | 2 | 1.09 | 1.0 | 0.0 |  |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  | 0.09 |  |  | 0.09 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  | 1.0 |  |  | 1.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 1.09 | 0 | 0.0 | 1.09 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
ed14449d36a3971d8710b91b2f021ed5-1 | 2024 | AL | 750 | Arab Electric Coop Inc | TVA | 12 | 0.297 | 0.0 | 0.0 | AC | 0.077 | 0.22 | 0.0 | 0 | 0.0 | 0.297 |  |  |  |  |  |  |  |  |  |  |  |  | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0.0 | 0.077 | 0.22 | 0.0 | 0 | 0.0 | 0.297 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
8e861a02c07951be5177e6c72c45b522-1 | 2024 | CA | 7294 | City of Glendale - (CA) | LDWP | 6 | 1.502 |  |  | AC |  |  |  |  | 0.222 | 0.222 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  | 0.33 |  |  |  | 0.33 |  | 0.95 |  |  |  | 0.95 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.0 | 1.28 | 0.0 | 0 | 0.222 | 1.502 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
c056d998aede79efbf7894a96b83d100-1 | 2024 | IA | 15291 | Prairie Energy Coop | SWPP | 26 | 0.661 |  |  | AC | 0.142 |  | 0.519 |  |  | 0.661 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 |  |  |  |  |  | 0.0 | 0.142 | 0.0 | 0.519 | 0 | 0.0 | 0.661 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
7caa488b73b9d21b37c22375fa48c940-1 | 2024 | WI | 99999 | State Adjustment | MISO |  | 0.745 |  |  |  | 0.745 |  |  |  |  | 0.745 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0.745 |  |  |  |  | 0.745 | 2026-08-05 21:39:28.599333 | 2667b6ca-9c67-4477-bc96-23793248c717 | Non_Net_Metering_Distributed_2024.xlsx
