-- S07 sales to ultimate customers: whole table, the customer-count and price denominator for every join
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | PART | SERVICE_TYPE | DATA_TYPE | STATE | OWNERSHIP | BA_CODE | RESIDENTIAL_REVENUES_THOUSAND_DOLLARS | RESIDENTIAL_SALES_MWH | RESIDENTIAL_CUSTOMERS | COMMERCIAL_REVENUES_THOUSAND_DOLLARS | COMMERCIAL_SALES_MWH | COMMERCIAL_CUSTOMERS | INDUSTRIAL_REVENUES_THOUSAND_DOLLARS | INDUSTRIAL_SALES_MWH | INDUSTRIAL_CUSTOMERS | TRANSPORTATION_REVENUES_THOUSAND_DOLLARS | TRANSPORTATION_SALES_MWH | TRANSPORTATION_CUSTOMERS | TOTAL_REVENUES_THOUSAND_DOLLARS | TOTAL_SALES_MWH | TOTAL_CUSTOMERS | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
98aabc2ea4851b02ceeb12f531de8202-1 | 2024 | 276 | Alcorn County Elec Power Assn | A | Bundled | O | MS | Cooperative | TVA | 27784.0 | 214981 | 14965 | 21450.0 | 156737 | 4209 | 15258.0 | 259874 | 7 | 0.0 | 0 | 0 | 64492.0 | 631592 | 19181 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
14e7975973902c91c437d13e01ef634d-1 | 2024 | 56379 | MC Squared Energy Services, LLC | B | Energy | O | IL | Retail Power Marketer | PJM | 155344.0 | 2289157 | 244008 | 38858.0 | 520171 | 18755 | 1150.0 | 18475 | 16 | 0.0 | 0 | 0 | 195352.0 | 2827803 | 262779 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
524362cfb815b69a1685b2f02abf51c6-1 | 2024 | 49746 | The Energy Coop | B | Energy | O | PA | Cooperative | PJM | 2594.4 | 18866 | 2515 | 240.7 | 1794 | 144 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 2835.1 | 20660 | 2659 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
d57799444f56953494e5136cbc2de514-1 | 2024 | 59647 | Sunrun Inc. | A | Bundled | O | NH | Behind the Meter | ISNE | 8847.0 | 31864 | 3634 |  |  |  |  |  |  |  |  |  | 8847.0 | 31864 | 3634 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
77bf0474ed976c2e7f6ecdcb1fc00c77-1 | 2024 | 19160 | Tri-County Electric Coop, Inc (OK) | A | Bundled | O | OK | Cooperative | SWPP | 20359.0 | 128293 | 14212 | 36305.0 | 250011 | 11151 | 36136.0 | 399393 | 2629 |  |  |  | 92800.0 | 777697 | 27992 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
209f3c2b4d80bd897647231fc59e8705-1 | 2024 | 3892 | City of Coffeyville - (KS) | A | Bundled | O | KS | Municipal | SWPP | 5667.5 | 49147 | 4723 | 7049.7 | 60638 | 1006 | 41416.2 | 687658 | 11 | 0.0 | 0 | 0 | 54133.4 | 797443 | 5740 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
7fd7a7785092e02c5636706d673b05bc-1 | 2024 | 60696 | Vista Energy Marketing, L.P. | B | Energy | O | PA | Retail Power Marketer | PJM | 3239.0 | 20799 | 3059 | 93.6 | 916 | 25 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 3332.6 | 21715 | 3084 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
656f162c8827321bb7bd1f4bfe3d6b48-1 | 2024 | 5703 | Empire Natural Gas Corporation | B | Energy | O | NY | Retail Power Marketer | NYIS | 0.0 | 0 | 0 | 2402.4 | 36276 | 363 | 397.9 | 5820 | 30 | 0.0 | 0 | 0 | 2800.3 | 42096 | 393 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
79f6b9a26a08227c98647721c9d33e24-1 | 2024 | 1300 | City of Bartow - (FL) | A | Bundled | O | FL | Municipal | FPC | 17056.5 | 157492 | 11613 | 8518.0 | 89833 | 1530 | 6484.1 | 64218 | 287 |  |  |  | 32058.6 | 311543 | 13430 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
8d29a35e8c90ef6512522c6dd2449f22-1 | 2024 | 19578 | Upper Peninsula Power Company | A | Bundled | O | MI | Investor Owned | MISO | 67142.0 | 242922 | 47660 | 31624.0 | 134650 | 6139 | 25166.0 | 277964 | 46 | 0.0 | 0 | 0 | 123932.0 | 655536 | 53845 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
60dfb1d56b4decf5561dca88fa51e42f-1 | 2024 | 21002 | York Electric Coop Inc | A | Bundled | O | SC | Cooperative | DUK | 106977.0 | 845442 | 65244 | 30976.0 | 257703 | 5041 | 7443.0 | 74091 | 28 |  |  |  | 145396.0 | 1177236 | 70313 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
ce2401daf154533075ea31586bb312b9-1 | 2024 | 54913 | NSTAR Electric Company | A | Bundled | O | MA | Investor Owned | ISNE | 630364.0 | 2107270 | 383373 | 221516.0 | 820406 | 45206 | 15711.0 | 61989 | 540 | 0.0 | 0 | 0 | 867591.0 | 2989665 | 429119 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
da11e9dcb05902a9f1cafdf996821851-1 | 2024 | 8764 | Holston Electric Coop, Inc | A | Bundled | O | TN | Cooperative | TVA | 46877.0 | 359154 | 25773 | 20856.0 | 145281 | 6698 | 19513.0 | 269667 | 16 | 0.0 | 0 | 0 | 87246.0 | 774102 | 32487 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
df8031b469bcbe696f10101037ba7c75-1 | 2024 | 18642 | Tennessee Valley Authority | A | Bundled | O | MS | Federal | TVA | 0.0 | 0 | 0 | 8775.3 | 110687 | 2 | 192528.3 | 4390621 | 6 | 0.0 | 0 | 0 | 201303.6 | 4501308 | 8 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
13bfda29ba9007cd1c63dce5c9387edb-1 | 2024 | 18047 | Steele-Waseca Cooperative Electric | A | Bundled | O | MN | Cooperative | MISO | 18893.9 | 120886 | 10725 | 9237.9 | 68578 | 1274 | 15331.9 | 160761 | 47 |  |  |  | 43463.7 | 350225 | 12046 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
ab248da2f3d71e6680e7a580c19d1858-1 | 2024 | 12395 | Menard Electric Coop | A | Bundled | O | IL | Cooperative | MISO | 19338.2 | 107126 | 9048 | 4901.8 | 32060 | 606 | 7958.7 | 40486 | 1318 |  |  |  | 32198.7 | 179672 | 10972 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
cd88da5c2df060e47591a58cb988a0b0-1 | 2024 | 66026 | Palmetto Solar, LLC | A | Bundled | O | TX | Behind the Meter | ERCO | 2129.8 | 20363 | 162 |  |  |  |  |  |  |  |  |  | 2129.8 | 20363 | 162 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
77d7a280f91672563411aa52cae995e7-1 | 2024 | 27222 | City of Ripley - (TN) | A | Bundled | O | TN | Municipal | TVA | 8167.0 | 66145 | 5106 | 8516.0 | 64821 | 1555 | 1982.0 | 23360 | 2 | 0.0 | 0 | 0 | 18665.0 | 154326 | 6663 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
1ac512ca0cebaa5aec2010835d61f53a-1 | 2024 | 64977 | Revolution Energy LLC | D | Bundled | O | TX | Retail Power Marketer | ERCO | 7103.6 | 51618 | 3960 | 491.0 | 4090 | 64 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 7594.6 | 55708 | 4024 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
f8c4a2bab17d2449645ab1ee44116791-1 | 2024 | 63695 | RPA Energy, Inc. | B | Energy | O | DE | Retail Power Marketer | PJM | 178.5 | 842 | 129 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 178.5 | 842 | 129 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
8b03495b0d7f77468b97a7c2423e0b77-1 | 2024 | 16622 | San Miguel Power Assn, Inc | A | Bundled | O | CO | Cooperative | WACM | 19263.8 | 118032 | 12154 | 12957.0 | 96510 | 2616 | 213.0 | 1297 | 81 |  |  |  | 32433.8 | 215839 | 14851 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
cafa042332cc136d0086bccb08ebd6bc-1 | 2024 | 54862 | Champion Energy Services | B | Energy | O | RI | Retail Power Marketer | ISNE | 0.0 | 0 | 0 | 2173.6 | 27514 | 30 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 2173.6 | 27514 | 30 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
c8d626e373bbe8d464ebba115aff80d5-1 | 2024 | 64314 | BP Energy Retail LLC | B | Energy | O | OH | Retail Power Marketer | PJM | 0.0 | 0 | 0 | 29611.0 | 587401 | 61 | 214965.0 | 5290718 | 50 | 0.0 | 0 | 0 | 244576.0 | 5878119 | 111 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
a35b8d5336ddf7fc74eaa55086e1b743-1 | 2024 | 3855 | Columbia Power System - (TN) | A | Bundled | O | TN | Municipal | TVA | 48855.0 | 406984 | 31166 | 36281.0 | 316202 | 5409 | 10568.0 | 174592 | 2 | 0.0 | 0 | 0 | 95704.0 | 897778 | 36577 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
9192e3ca2f92a1944fc6cebd731cda88-1 | 2024 | 5148 | City of Dickson | A | Bundled | O | TN | Municipal | TVA | 53049.0 | 455401 | 30808 | 31635.0 | 252454 | 8154 | 11146.0 | 140180 | 20 | 0.0 | 0 | 0 | 95830.0 | 848035 | 38982 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
11d596376372178f290034b054fa0012-1 | 2024 | 5417 | Dunn County Electric Coop | A | Bundled | O | WI | Cooperative | MISO | 16534.0 | 106993 | 9482 | 5849.0 | 50910 | 1108 | 4402.0 | 52495 | 6 |  |  |  | 26785.0 | 210398 | 10596 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
0ebdda05bbebf46fe795239dfd480734-1 | 2024 | 60981 | TerraForm US Energy Services, LLC | A | Bundled | O | CA | Behind the Meter | CISO | 0.0 | 0 | 0 | 5607.0 | 31551 | 81 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 5607.0 | 31551 | 81 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
15b437c19a0c519fb812afdefe162492-1 | 2024 | 6043 | City of Evansville | A | Bundled | O | WI | Municipal | MISO | 4495.5 | 28402 | 3806 | 3813.0 | 27375 | 659 | 1059.2 | 9282 | 2 | 0.0 | 0 | 0 | 9367.7 | 65059 | 4467 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
ad81e2f4dea550135157cb4617295c86-1 | 2024 | 18206 | Strawberry Electric Serv Dist | A | Bundled | O | UT | Political Subdivision | PACE | 7573.3 | 49963 | 3593 | 1674.0 | 10455 | 452 | 382.2 | 2925 | 27 | 0.0 | 0 | 0 | 9629.5 | 63343 | 4072 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
e193f83fd5fb228443a03f61a028a03a-1 | 2024 | 4226 | Consolidated Edison Co-NY Inc | A | Bundled | O | NY | Investor Owned | NYIS | 4240108.0 | 11889829 | 2715069 | 2819770.0 | 10000499 | 454400 | 117953.0 | 381055 | 6961 | 109.0 | 414 | 1 | 7177940.0 | 22271797 | 3176431 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
21e488db3927d542938bf3973ef01c92-1 | 2024 | 13352 | City of Negaunee | A | Bundled | O | MI | Municipal | MISO | 2400.9 | 11056 | 1978 | 1608.7 | 9946 | 285 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 4009.6 | 21002 | 2263 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
2651e5a8702a3e4a3bd7f252bb3757f1-1 | 2024 | 65242 | Scale Sustainable I, LLC | A | Bundled | O | CO | Behind the Meter | PSCO |  |  |  | 332.0 | 3209 | 4 |  |  |  |  |  |  | 332.0 | 3209 | 4 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
8574264c1cb636de821def0e97b9f984-1 | 2024 | 15045 | Pike County Light & Power Co | C | Delivery | O | PA | Investor Owned | NYIS | 629.8 | 5368 | 701 | 714.6 | 6934 | 216 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 1344.4 | 12302 | 917 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
3b8aa1312cc08754c7764d4caad5946c-1 | 2024 | 19154 | Tri-State Electric Member Corp | A | Bundled | O | GA | Cooperative | TVA | 22572.0 | 160930 | 13123 | 12999.0 | 89173 | 3286 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 35571.0 | 250103 | 16409 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
1936934caca167a5ad9cb1a888f411e5-1 | 2024 | 11871 | City of Mayfield Plant Board | A | Bundled | O | KY | Municipal | TVA | 6079.0 | 45463 | 4348 | 8192.0 | 66428 | 866 | 1117.0 | 11126 | 2 | 0.0 | 0 | 0 | 15388.0 | 123017 | 5216 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
7bb0b2e1b29e4d21d21b069aed96693e-1 | 2024 | 99999 | Adjustment 2024 | A | Bundled | I | NC |  | PJM | 20524.0 | 131767 | 10626 | 8428.6 | 69120 | 1822 | 1500.8 | 17354 | 2 | 0.0 | 0 | 0 | 30453.4 | 218241 | 12450 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
7bb0b2e1b29e4d21d21b069aed96693e-2 | 2024 | 99999 | Adjustment 2024 | A | Bundled | I | NC |  | DUK | 62168.9 | 491688 | 47235 | 61991.0 | 609840 | 9371 | 18976.4 | 209434 | 167 | 0.0 | 0 | 0 | 143136.3 | 1310962 | 56773 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
7bb0b2e1b29e4d21d21b069aed96693e-3 | 2024 | 99999 | Adjustment 2024 | A | Bundled | I | NC |  | CPLE | 136234.1 | 923815 | 77652 | 89046.5 | 784575 | 12832 | 11334.8 | 104622 | 63 | 0.0 | 0 | 0 | 236615.4 | 1813012 | 90547 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
8e17a871eed64a6251a1575a370ef2b1-1 | 2024 | 14232 | Otter Tail Power Co | A | Bundled | O | SD | Investor Owned | MISO | 12136.7 | 111064 | 9048 | 28273.5 | 385612 | 2911 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 40410.2 | 496676 | 11959 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
779c24e4d56b5965312fe199bff43e91-1 | 2024 | 14328 | Pacific Gas & Electric Co. | A | Bundled | O | CA | Investor Owned | CISO | 4412805.0 | 11138420 | 1856780 | 3219777.0 | 8159051 | 213729 | 2597539.0 | 7835738 | 76343 | 0.0 | 0 | 0 | 10230121.0 | 27133209 | 2146852 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
a039f2d86124dd02aa40a65c75591700-1 | 2024 | 62790 | Summer Energy Midwest, LLC | B | Energy | O | IL | Retail Power Marketer | PJM | 0.0 | 0 | 0 | 9913.2 | 147768 | 576 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 9913.2 | 147768 | 576 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
bd9be88dca8d0e93e99db023424ae39b-1 | 2024 | 9023 | City of Humboldt | A | Bundled | O | TN | Municipal | TVA | 4914.0 | 43266 | 3529 | 6769.0 | 60710 | 1051 | 6215.0 | 105315 | 5 | 0.0 | 0 | 0 | 17898.0 | 209291 | 4585 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
25116c07abcc6337e7e821356c375186-1 | 2024 | 18193 | Direct Energy Business | B | Energy | O | VA | Retail Power Marketer | PJM | 0.0 | 0 | 0 | 7971.2 | 107437 | 121 | 54785.3 | 753290 | 58 | 0.0 | 0 | 0 | 62756.5 | 860727 | 179 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
305dd139b5fae019881e4d996cc5af92-1 | 2024 | 471 | Amana Society Service Co | A | Bundled | O | IA | Investor Owned | MISO | 1061.0 | 6833 | 709 | 1221.0 | 8358 | 179 | 5506.0 | 51780 | 1 | 0.0 | 0 | 0 | 7788.0 | 66971 | 889 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
56ba349242a5a05cd3b822e35d8c0959-1 | 2024 | 10857 | Lee County Electric Coop, Inc - (FL) | A | Bundled | O | FL | Cooperative | FPL | 441966.2 | 3264831 | 231142 | 148052.9 | 1293951 | 26489 |  |  |  |  |  |  | 590019.1 | 4558782 | 257631 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
1f3cbf88f6c245432aa6d838f8d17022-1 | 2024 | 19219 | Diverse Power Incorporated | A | Bundled | O | GA | Cooperative | SOCO | 79573.7 | 474979 | 31998 | 23731.1 | 145620 | 5294 | 9381.1 | 132718 | 29 | 0.0 | 0 | 0 | 112685.9 | 753317 | 37321 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
b5af59274fc4a429b12cbae97ca88c56-1 | 2024 | 11291 | Lumbee River Elec Member Corp | A | Bundled | O | NC | Cooperative | CPLE | 129687.0 | 1012516 | 64396 | 19579.8 | 199424 | 2801 | 12715.6 | 148381 | 17 |  |  |  | 161982.4 | 1360321 | 67214 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
cd338400dcc0aa90640b357dc08917ef-1 | 2024 | 66118 | Spartacus Energy Services LLC | B | Energy | O | PA | Retail Power Marketer | PJM | 113.0 | 607 | 192 | 3331.4 | 19415 | 791 | 0.0 | 0 | 0 | 0.0 | 0 | 0 | 3444.4 | 20022 | 983 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
f06b22e86bb490aceb18c2e93b13ab66-1 | 2024 | 5309 | City of Dothan - (AL) | A | Bundled | O | AL | Municipal | SOCO | 40445.0 | 377220 | 26752 | 43009.0 | 404400 | 5414 | 12518.0 | 166069 | 9 | 0.0 | 0 | 0 | 95972.0 | 947689 | 32175 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
d22b1dc8d7651fe0664cf0f6dafea33c-1 | 2024 | 20785 | City of Wilson - (NC) | A | Bundled | O | NC | Municipal | CPLE | 50589.3 | 416897 | 32078 | 37217.8 | 314449 | 4628 | 32470.0 | 390176 | 45 |  |  |  | 120277.1 | 1121522 | 36751 | 2026-08-05 21:39:39.774359 | d386b6ac-c08a-4733-98c6-5c0f65a51ce3 | Sales_Ult_Cust_2024.xlsx
(2815 rows; csv has all)
