-- S04 dynamic pricing: whole table (857 rows)
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | SHORT_FORM | STATE | BA_CODE | RESIDENTIAL_CUSTOMERS_ENROLLED | COMMERCIAL_CUSTOMERS_ENROLLED | INDUSTRIAL_CUSTOMERS_ENROLLED | TRANSPORTATION_CUSTOMERS_ENROLLED | TOTAL_CUSTOMERS_ENROLLED | RESIDENTIAL_TIME_OF_USE_PRICING | COMMERCIAL_TIME_OF_USE_PRICING | INDUSTRIAL_TIME_OF_USE_PRICING | TRANSPORTATION_TIME_OF_USE_PRICING | RESIDENTIAL_REAL_TIME_PRICING | COMMERCIAL_REAL_TIME_PRICING | INDUSTRIAL_REAL_TIME_PRICING | TRANSPORTATION_REAL_TIME_PRICING | RESIDENTIAL_VARIABLE_PEAK_PRICING | COMMERCIAL_VARIABLE_PEAK_PRICING | INDUSTRIAL_VARIABLE_PEAK_PRICING | TRANSPORTATION_VARIABLE_PEAK_PRICING | RESIDENTIAL_CRITICAL_PEAK_PRICING | COMMERCIAL_CRITICAL_PEAK_PRICING | INDUSTRIAL_CRITICAL_PEAK_PRICING | TRANSPORTATION_CRITICAL_PEAK_PRICING | RESIDENTIAL_CRITICAL_PEAK_REBATE | COMMERCIAL_CRITICAL_PEAK_REBATE | INDUSTRIAL_CRITICAL_PEAK_REBATE | TRANSPORTATION_CRITICAL_PEAK_REBATE | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
34b15256f8a0bc6efc9f34cc1d0d5534-1 | 2024 | 20434 | City of Westby |  | WI | MISO | 0 | 8 | 0 | 0 | 8 |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
df8d53be5b5b860fe600873e69dd22c9-1 | 2024 | 19876 | Virginia Electric & Power Co |  | NC | PJM | 529 | 1120 | 27 | 0 | 1676 | Y | Y | Y |  |  |  |  |  |  | Y | Y |  |  | Y | Y |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
ed67ff41ceb2cb11968c3eddc703a7b0-1 | 2024 | 13027 | Mountain Electric Coop, Inc |  | TN | TVA | 0 | 0 | 2 | 0 | 2 |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
9328dc03dc1936844adab8891654fe27-1 | 2024 | 16609 | San Diego Gas & Electric Co |  | CA | CISO | 8125 | 17752 | 64 | 0 | 25941 | Y | Y | Y |  |  |  |  |  | Y | Y |  |  | Y | Y | Y |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
d5191942a75f0fa1bbc3984411ddbb33-1 | 2024 | 17166 | Sierra Pacific Power Co |  | NV | NEVP | 3986 | 2582 | 102 | 0 | 6670 | Y | Y | Y | Y |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
41a9a6a8bfefc6c0c05c660ca47ccb85-1 | 2024 | 8571 | Town of High Point |  | NC | DUK | 0 | 185 | 17 | 0 | 202 |  | Y | Y |  |  |  |  |  |  |  |  |  |  | Y | Y |  |  | Y | Y |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
04060287eb2f690c0cd7a81d2fc780ec-1 | 2024 | 14175 | Tri-County Electric Coop, Inc (SC) |  | SC | SC |  |  | 266 |  | 266 |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
6366feee0d8bc630a9422c0136713bfb-1 | 2024 | 6957 | Garkane Energy Coop, Inc |  | UT | WACM | 475 | 22 |  |  | 497 | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
1c8492a90c3a9f31a08bd1af002e7c96-1 | 2024 | 14251 | Owen Electric Coop Inc |  | KY | PJM | 17 | 166 |  |  | 183 | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
ab15be42efa1f2c27f9e104a6f791fb9-1 | 2024 | 195 | Alabama Power Co |  | AL | SOCO | 4650 | 4479 | 1075 |  | 10204 | Y | Y | Y |  |  |  | Y |  |  |  |  |  | Y |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
7ce858cc901cb4367957d3d533225193-1 | 2024 | 2273 | Brodhead Water & Lighting Comm |  | WI | MISO | 1 | 49 | 1 | 0 | 51 | Y | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
d6daaf102e2449a7790ef90c76ca654c-1 | 2024 | 5578 | East Mississippi Elec Pwr Assn |  | MS | TVA | 3 | 91 | 0 | 0 | 94 | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
f9c6bbbf7764abab09822e764cf1bb59-1 | 2024 | 19979 | Town of Wakefield - (MA) | Y | MA | ISNE | 4 |  |  |  | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
3d7f04a301425e273b6c8935225de9ac-1 | 2024 | 17668 | City of Southport - (NC) | Y | NC | CPLE | 2962 | 570 | 0 | 0 | 3532 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
8055ad029fefd0303b400174db1c950f-1 | 2024 | 16181 | Rochester Public Utilities |  | MN | MISO | 220 | 76 | 0 | 0 | 296 | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
9929c2cc34c9c24576c463bc70cce726-1 | 2024 | 13412 | City of New Albany - (MS) |  | MS | TVA | 0 | 0 | 2 | 0 | 2 |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
b5ea3e49e68fa747dddb874050e1a64d-1 | 2024 | 22500 | Evergy Kansas Central, Inc |  | KS | SWPP | 1062 | 97 | 1 |  | 1160 | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Y | Y |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
fe0f12f7d0e393c4494f04dd08bffb3b-1 | 2024 | 20228 | Weakley County Mun Elec Sys |  | TN | TVA | 0 | 3 | 0 | 0 | 3 |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
84ad8a987c1344239bbdf5fe2a4a4075-1 | 2024 | 4622 | Cumberland Valley Electric, Inc. |  | KY | PJM | 8 |  |  |  | 8 | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
a4081be4b6033442c49d95e55f512b38-1 | 2024 | 6411 | Flint Electric Membership Corp |  | GA | SOCO | 206 | 267 |  |  | 473 | Y | Y |  |  |  | Y |  |  |  |  |  |  |  | Y |  |  |  | Y |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
0635aad9d7674fa3065bf66a79fd1c92-1 | 2024 | 11208 | Los Angeles Department of Water & Power |  | CA | LDWP | 14400 | 22283 | 1258 |  | 37941 | Y | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
c9e1b9ae3b3c987d11286f6e501343bd-1 | 2024 | 108 | Adams-Columbia Electric Coop |  | WI | MISO | 555 | 989 | 41 |  | 1585 | Y | Y | Y |  |  |  |  |  |  |  |  |  |  | Y | Y |  |  |  | Y |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
b09a38c10f6a3b356260fa74982917c8-1 | 2024 | 17267 | Sioux Valley SW Elec Coop |  | SD | SWPP | 608 | 6 |  |  | 614 | Y | Y |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
3228ca2a899e4def65fbdfcd09ed9d30-1 | 2024 | 5070 | Delaware Electric Cooperative |  | DE | PJM | 6 | 1148 |  |  | 1154 | Y |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
5779946c68f902b4434070f63a3a18ad-1 | 2024 | 6395 | Flathead Electric Coop Inc |  | MT | BPAT | 63021 |  | 97 |  | 63118 | Y |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
ae0b4a41f3428a43db44025b209d669b-1 | 2024 | 11732 | City of Marshall - (MO) | Y | MO | SWPP | 10 |  |  |  | 10 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
af941e775f8cd14373028d27bc2d4288-1 | 2024 | 11124 | City of Lodi - (CA) |  | CA | CISO |  |  | 23 |  | 23 |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
93c39553d7a6d73f74231d67c12c6f47-1 | 2024 | 8911 | Howard Electric Coop | Y | MO | AECI | 3557 |  |  |  | 3557 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
9169f5c5ca192206ef9231d7bf6a1851-1 | 2024 | 9275 | Indianola Municipal Utilities | Y | IA | MISO | 25 |  |  |  | 25 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
acaa09ef8754d8c9adb8cecc96f4aee8-1 | 2024 | 13739 | Northeast Power |  | NE | SWPP | 29 |  | 769 |  | 798 | Y |  | Y |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
3d9053a4198055931de37ed1333b2cae-1 | 2024 | 8574 | Jackson Electric Coop, Inc - (WI) | Y | WI | MISO | 7740 | 193 | 13 |  | 7946 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
8a5a428c6585597340638fce830f3d4e-1 | 2024 | 14275 | City of Oxford - (MS) |  | MS | TVA | 0 | 1 | 0 | 0 | 1 |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
c47868a0fcf5870593efbfebe1cd80fb-1 | 2024 | 50046 | Texas Retail Energy, LLC |  | TX | ERCO | 0 | 603 | 0 | 0 | 603 |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
e5aad9e2efde61cabe3c72791fd224b4-1 | 2024 | 20176 | City of Water Valley - (MS) |  | MS | TVA | 0 | 0 | 1 | 0 | 1 |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
83de86fcf5b86238858cf225cd48d942-1 | 2024 | 59931 | MidAmerican Energy Services, LLC |  | MD | PJM | 0 | 239 | 1 | 0 | 240 |  |  |  |  |  | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
a5066b401b904d25603c6b54e3c5264f-1 | 2024 | 17037 | City of Shelby - (NC) | Y | NC | DUK |  | 2 |  |  | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
ecc57e116f79cb4befacb51c8f811b08-1 | 2024 | 21526 | City of Laurens - (SC) | Y | SC | DUK |  | 18 |  |  | 18 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
d42957a6b77760a84742ece921dc024e-1 | 2024 | 4176 | Connecticut Light & Power Co |  | CT | ISNE | 584 | 2400 | 600 | 2 | 3586 | Y | Y | Y | Y |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
bfdf283b7fd20f5425e995f1762d8c13-1 | 2024 | 17896 | City of Shasta Lake - (CA) |  | CA | BANC |  |  | 1 |  | 1 |  |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
008aaff53c04fb66b5c0e7e8f3d8d7d8-1 | 2024 | 13640 | Northern Virginia Elec Coop |  | VA | PJM |  | 24 |  |  | 24 |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
45643ac2dd62ab2673d7b25743a6f9d5-1 | 2024 | 20140 | City of Washington - (GA) |  | GA | SOCO |  | 1 |  |  | 1 |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
efa613fb1ec0aaf32d82a2c8f861599d-1 | 2024 | 17718 | Southwestern Public Service Co |  | TX | SWPP | 47 | 224 |  |  | 271 | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
b842c54e2f34af273d801153e4bd2498-1 | 2024 | 4295 | Comanche County Elec Coop Assn |  | TX | ERCO |  | 18 |  |  | 18 |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
a271453603bb2ce13ca85b2c1c9155ad-1 | 2024 | 10799 | City of Lawrenceburg |  | TN | TVA | 0 | 1 | 8 | 0 | 9 |  | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
8b5056038a1fb5ab7de564da6d5d8aeb-1 | 2024 | 19667 | Utilities Dist-Western IN REMC |  | IN | MISO | 4 | 0 | 0 | 0 | 4 | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
f4e20789b694cc3228b816fc3f74e316-1 | 2024 | 64314 | BP Energy Retail LLC |  | NY | NYIS | 0 | 38 | 6 | 0 | 44 |  |  |  |  |  | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
396bec7946305ef07152fade3851691d-1 | 2024 | 59931 | MidAmerican Energy Services, LLC |  | NJ | PJM | 0 | 18 | 0 | 0 | 18 |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
fa4cfdbb818bd39c37e9af89604e0919-1 | 2024 | 17011 | Shawano Municipal Utilities |  | WI | MISO | 15 | 38 | 165 |  | 218 | Y | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
842b9d5eba7a0f7627939339299acb0c-1 | 2024 | 13718 | City of North Little Rock - (AR) |  | AR | MISO | 0 | 32 | 3 | 1 | 36 |  | Y | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
7a02d7a426b56722e7bec5a91c7d4009-1 | 2024 | 14534 | City of Pasadena - (CA) |  | CA | CISO | 49 | 133 |  |  | 182 | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:39:05.805460 | a95621dd-7366-44fa-a2cd-261125450bfd | Dynamic_Pricing_2024.xlsx
(857 rows; csv has all)
