table_a,table_b,key,tier,col_a,col_b,matched,distinct_a,distinct_b,match_rate,verdict,note,norm
FED_EPA_TRI_FACILITY,FED_USASPENDING_CONTRACTS_FULL,DUNS,MEASURED,PARENT_CO_DB_NUM,recipient_duns,2103,10733,357876,19.6,SOLID,polluter's parent company -> federal contractor,
FED_USCG_NRC_INCIDENT_REPORTS,FED_USCG_NRC_INCIDENTS,NRC_SEQ,MEASURED,SEQNOS,SEQNOS,116662,116662,1029020,100.0,level 2 only (overlap measured live; matched pairs not name-checked),report detail -> the incident it describes,
FED_FDIC_BANK_DATA,FED_FDIC_BANK_DATA,FDIC_CERT,MEASURED,NEWCERT,CERT,7942,7952,27836,99.9,SOLID (lineage),"successor bank pointer; the successor is a different bank by definition, states agree 90%",
FED_FDIC_BANK_DATA,FED_FDIC_BANK_DATA,FDIC_CERT,MEASURED,ULTCERT,CERT,5191,5199,27836,99.8,level 2 only (overlap measured live; matched pairs not name-checked),ultimate-parent bank pointer,
FED_FDIC_BANK_DATA,FED_FDIC_BANK_DATA,FDIC_CERT,MEASURED,PARCERT,CERT,49,49,27836,100.0,level 2 only (overlap measured live; matched pairs not name-checked),direct-parent bank pointer (tiny),
FED_FDIC_BANK_DATA,FED_FDIC_SOD_BRANCH_DEPOSITS,RSSD_HC,MEASURED,RSSDHCR,RSSDHCR,7243,8736,9728,82.9,level 2 only (overlap measured live; matched pairs not name-checked),"both sides are holding-company pointers; the holding-company master (Fed NIC file) is NOT held, so neither resolves to a name",
FED_FHFA_FHLB_MEMBERSHIP,FED_FDIC_BANK_DATA,FDIC_CERT,MEASURED,CERT,CERT,3983,3984,27836,100.0,SOLID,,
FED_FHFA_FHLB_MEMBERSHIP,FED_FDIC_BANK_DATA,RSSD,MEASURED,FED_ID,FED_RSSD,3976,3984,26577,99.8,SOLID,,
FED_FHFA_FHLB_MEMBERSHIP,FED_NCUA_CALL_REPORTS_FOICU,NCUA_CHARTER,MEASURED,NCUA_ID,CU_NUMBER,1618,1638,4336,98.8,SOLID,strip leading zeros on both sides,
FED_SBA_LOANS,FED_FDIC_BANK_DATA,FDIC_CERT,MEASURED,BANKFDICNUMBER,CERT,3938,3950,27836,99.7,SOLID,SBA lender -> bank,
FED_SBA_LOANS,FED_NCUA_CALL_REPORTS_FOICU,NCUA_CHARTER,MEASURED,BANKNCUANUMBER,CU_NUMBER,570,589,4336,96.8,SOLID,SBA lender -> credit union; strip leading zeros,
FED_CFPB_HMDA_ARID2017_LEI_XREF,INTL_GLEIF,LEI,MEASURED,LEI_2018,LEI,5397,5399,3382301,100.0,SOLID,the official old-HMDA-id -> LEI bridge; the safe route into pre-2018 HMDA,
FED_CFPB_HMDA_ARID2017_LEI_XREF,FED_FDIC_BANK_DATA,HMDA_ARID,SUSPECT,ARID_2017,CERT,2522,5322,27836,47.4,SUSPECT: about half the matched pairs are different banks,the old respondent id is only a bank certificate # for some regulators (agency codes 1-3); for others it is something else. Do NOT use until split by agency; go through the LEI crosswalk instead,aridcert
FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT,FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT,FHA_MORTGAGEE,MEASURED,SPONSOR_NUMBER,ORIGINATING_MORTGAGEE_NUMBER,120,147,961,81.6,level 2 only (overlap measured live; matched pairs not name-checked),sponsor lender -> originating lender (same file),
FED_SEC_MONEY_MARKET_FUND_INFORMATION,FED_SEC_INVESTMENT_COMPANY_SERIES_CLASS,SEC_SERIES_ID,MEASURED,SERIES_ID,SERIES_ID,314,320,19340,98.1,level 2 only (overlap measured live; matched pairs not name-checked),money-market fund -> its registered series,
FED_PCAOB_FORM_AP_FILINGS,FED_SEC_INSIDER_SUBMISSION,CIK,MEASURED,ISSUER_CIK,ISSUERCIK,9844,28775,10401,34.2,SOLID,audit engagement -> the audited company's insider filings; misses are corporate renames under the same CIK,
INTL_ISO_MIC_REGISTRY,INTL_GLEIF,LEI,MEASURED,LEI,LEI,1059,1061,3382301,99.8,SOLID,trading venue -> its legal entity,
FED_CONSOLIDATED_SCREENING_LIST,FED_OFAC_SDN,OFAC_ENT_NUM,MEASURED,ENTITY_NUMBER,ENT_NUM,18985,19637,19114,96.7,SOLID,same number system; the screening list is the SDN list plus other agencies' lists,
INTL_UK_SANCTIONS_LIST,FED_OFAC_SDN,IMO,MEASURED,IMO_NUMBER,IMO,291,663,2030,43.9,"SOLID (hull key, name drift)",sanctioned ships get renamed; the IMO hull number never changes,
INTL_GLEIF,INTL_GLEIF,LEI,MEASURED,Entity.SuccessorEntity.1.SuccessorLEI,LEI,27279,27279,3382301,100.0,level 2 only (overlap measured live; matched pairs not name-checked),entity lineage pointer (same file),
INTL_GLEIF_RELATIONSHIPS,INTL_GLEIF,LEI,MEASURED,RELATIONSHIP_STARTNODE_NODEID,LEI,299509,301482,3382301,99.3,level 2 only (overlap measured live; matched pairs not name-checked),"child company in the corporate parent tree (Level 2): ultimate parent 132.6K, direct parent 126.4K, fund-managed 149.4K, subfund 73.2K, branch 1.9K",
INTL_GLEIF_RELATIONSHIPS,INTL_GLEIF,LEI,MEASURED,RELATIONSHIP_ENDNODE_NODEID,LEI,77108,77251,3382301,99.8,level 2 only (overlap measured live; matched pairs not name-checked),parent company in the corporate parent tree (Level 2),
INTL_GLEIF,INT_UK_COMPANIES_HOUSE,COMPANY_NO,MEASURED,Entity.RegistrationAuthority.RegistrationAuthorityEntityID,CompanyNumber,94652,110426,5734779,85.7,SOLID,"UK-registered rows only (registration authority RA000585); pad the number to 8 digits. 132,901 Delaware file numbers sit in the same column with no Delaware registry to receive them",ukch
XC_EPA_CORPORATE_CROSSWALK,INTL_GLEIF,LEI,MEASURED,ULTIMATE_PARENT_LEI,LEI,1174,1174,3382301,100.0,level 2 only (overlap measured live; matched pairs not name-checked),0.7% of crosswalk rows carry one,
XC_EPA_CORPORATE_CROSSWALK,FED_SEC_INSIDER_SUBMISSION,CIK,MEASURED,PARENT_CIK,ISSUERCIK,662,704,10401,94.0,level 2 only (overlap measured live; matched pairs not name-checked),2.3% of crosswalk rows carry one,
XC_EPA_CORPORATE_CROSSWALK,FED_SAM_ENTITY_PUBLIC,UEI,MEASURED,PARENT_UEI,UEI_SAM,17373,31685,887310,54.8,SOLID (n=6 sampled),8.1% of crosswalk rows carry one,
FED_FMCSA_COMPANY_CENSUS,FED_FMCSA_COMPANY_CENSUS,USDOT,MEASURED,PRIOR_REVOKE_DOT_NUMBER,DOT_NUMBER,555,556,4493662,99.8,level 2 only (overlap measured live; matched pairs not name-checked),reincorporation pointer; only 557 carriers carry one,
FED_FMCSA_COMPANY_CENSUS,FED_USASPENDING_CONTRACTS_FULL,DUNS,MEASURED,DUN_BRADSTREET_NO,recipient_duns,13089,372260,357876,3.5,SOLID,"86% of carriers report DUNS 0 -- those are not junk rows, the 372K real values are fine; states agree 80% (HQ vs place of performance)",
FED_SAM_EXCLUSIONS_FULL_R2,FED_CMS_NPPES,NPI,MEASURED,NPI,NPI,4854,4867,9606683,99.7,SOLID,excluded people -> the provider registry,
FED_SAM_EXCLUSIONS_FULL_R2,FED_HHS_OIG_LEIE,NPI,MEASURED,NPI,NPI,4688,4867,8661,96.3,SOLID,the two federal exclusion lists agree on NPI,
FED_OSHA_ITA_300A_SUMMARY_2024,FED_DOL_FORM5500_FULL,EIN,MEASURED,EIN,SPONS_DFE_EIN,31883,114605,466446,27.8,level 2 only (overlap measured live; matched pairs not name-checked),"injury logs <-> benefit plans by employer tax id; use the FULL 5500 table, the 33K sample's EIN column is empty",
FED_OSHA_ITA_300A_SUMMARY_2024,FED_IRS_BMF,EIN,MEASURED,EIN,EIN,6414,114605,1974830,5.6,level 2 only (overlap measured live; matched pairs not name-checked),"few employers are nonprofits, so low overlap is expected",
FED_OSHA_ITA_300A_SUMMARY_2024,FED_OSHA_ITA_300A_SUMMARY_2023,OSHA_EST_ID,MEASURED,ESTABLISHMENT_ID,ESTABLISHMENT_ID,219860,398620,394231,55.2,level 2 only (overlap measured live; matched pairs not name-checked),the same workplace across two years of injury summaries,
FED_ICE_DETENTION_STINTS,FED_ICE_DETENTION_FACILITY_CODES,ICE_FACILITY,MEASURED,DETENTION_FACILITY_CODE,DETENTION_FACILITY_CODE,705,707,1490,99.7,SOLID,name mismatches are facility aliases; states agree 100%,
FED_COURTLISTENER_POSITIONS,FED_COURTLISTENER_JUDGES,CL_PERSON_ID,MEASURED,PREDECESSOR_ID,ID,139,139,16191,100.0,level 2 only (overlap measured live; matched pairs not name-checked),the judge this one replaced (tiny),
FED_COURTLISTENER_POSITIONS,FED_COURTLISTENER_JUDGES,CL_PERSON_ID,MEASURED,SUPERVISOR_ID,ID,130,130,16191,100.0,level 2 only (overlap measured live; matched pairs not name-checked),supervising judge (tiny),
FED_COURTLISTENER_COURTS,FED_COURTLISTENER_COURTS,CL_COURT_ID,MEASURED,PARENT_COURT_ID,ID,128,128,3361,100.0,level 2 only (overlap measured live; matched pairs not name-checked),parent court pointer,
FED_NTSB_AVIATION_AIRCRAFT,FED_FAA_AIRCRAFT_REGISTRY,N_NUMBER,MEASURED,REGIS_NO,N_NUMBER,13528,30249,315447,44.7,SOLID,"the registry is current owners only, so old crashes miss; serial numbers agree 90%, the rest are reissued tail numbers",nnum
FED_FRA_CASUALTIES,FED_FRA_EQUIPMENT_ACCIDENTS,RR_CODE,MEASURED,REPORTING_PARENT_RAILROAD_CODE,REPORTING_RAILROAD_CODE,770,1091,1030,70.6,SOLID,parent railroad -> reporting railroad,
FED_USASPENDING_SUBAWARDS_FULL,FED_USASPENDING_ASSISTANCE_FULL,FAIN,MEASURED,PRIME_AWARD_FAIN,award_id_fain,94073,168225,10319582,55.9,level 2 only (overlap measured live; matched pairs not name-checked),subaward -> the grant it came from,
FED_USASPENDING_SUBAWARDS_FULL,FED_SAM_ENTITY_PUBLIC,UEI,MEASURED,SUBAWARDEE_UEI,UEI_SAM,148253,220704,887310,67.2,SOLID,,
FED_USASPENDING_SUBAWARDS_FULL,FED_SAM_ENTITY_PUBLIC,UEI,MEASURED,SUBAWARDEE_PARENT_UEI,UEI_SAM,50415,74245,887310,67.9,level 2 only (overlap measured live; matched pairs not name-checked),subrecipient's parent company,
FED_USASPENDING_CONTRACTS_FULL_R2,FED_SAM_ENTITY_PUBLIC,UEI,MEASURED,RECIPIENT_PARENT_UEI,UEI_SAM,178303,563618,887310,31.6,SOLID,"contractor's parent company; older UEIs are missing from the current SAM file, hence the low rate",
FED_USASPENDING_ASSISTANCE_FULL,FED_SAM_ENTITY_PUBLIC,UEI,MEASURED,recipient_parent_uei,UEI_SAM,39436,53380,887310,73.9,SOLID,grant recipient's parent company,
FED_USASPENDING_ASSISTANCE_FULL,FED_SAM_ENTITY_PUBLIC,UEI,MEASURED,recipient_uei,UEI_SAM,123076,223721,887310,55.0,level 2 only (overlap measured live; matched pairs not name-checked),grant recipient,
FED_USASPENDING_CONTRACTS_FULL_R2,FED_SAM_ENTITY_PUBLIC,CAGE,MEASURED,CAGE_CODE,CAGE_CODE,85857,92530,794845,92.8,SOLID,"pass-1 edge, name-checked in pass 2; 1 in 60 is a CAGE reassigned to a new firm",
FED_NIH_REPORTER,FED_SAM_ENTITY_PUBLIC,UEI,MEASURED,ORG_UEI,UEI_SAM,9643,12050,887310,80.0,SOLID,misses are affiliates registered under a sibling legal name,
FED_SBIR_STTR_AWARDS,FED_SAM_ENTITY_PUBLIC,UEI,MEASURED,UEI,UEI_SAM,12144,17161,887310,70.8,SOLID,"names agree 98%; the SBIR 'state' column is NOT a state code (0% agreement) -- a column-meaning trap, not a key problem",
FED_SBIR_STTR_AWARDS,FED_USASPENDING_CONTRACTS_FULL_R2,PIID,MEASURED,CONTRACT,AWARD_ID_PIID,14530,156776,63135848,9.3,level 2 only (overlap measured live; matched pairs not name-checked),SBIR contract number -> the contract record,
FED_SBIR_STTR_AWARDS,FED_NIH_REPORTER,NIH_PROJECT,MEASURED,AGENCY_TRACKING_NUMBER,CORE_PROJECT_NUM,16831,171223,439228,9.8,level 2 only (overlap measured live; matched pairs not name-checked),SBIR tracking number -> NIH project,
FED_EIA860_2_PLANT,FED_EIA860_1_UTILITY,EIA_UTILITY_ID,MEASURED,TRANSMISSION_OR_DISTRIBUTION_SYSTEM_OWNER_ID,UTILITY_ID,553,1080,6643,51.2,SOLID,"owners are often not utilities, hence half resolve",
FED_EIA860_4_OWNER,FED_EIA860_1_UTILITY,EIA_UTILITY_ID,MEASURED,OWNERSHIP_ID,UTILITY_ID,305,1945,6643,15.7,SOLID,plant owners are mostly non-utilities; no owner master held,
FED_GOVINFO_BILLSTATUS,FED_VOTEVIEW_MEMBERS,BIOGUIDE,MEASURED,SPONSOR_BIOGUIDE,BIOGUIDE_ID,632,632,12584,100.0,SOLID,nickname vs legal first name explains the name misses,
FED_FEC_BULK_COMMITTEES,FED_FEC_BULK_CANDIDATES,FEC_CAND_ID,MEASURED,FEC_CAND_ID,CAND_ID,6908,6921,13240,99.8,SOLID (by construction),committee -> the candidate it supports; office state agrees 90%,
FED_NOAA_AIS,FED_USCG_VESSEL_DOCUMENTATION,IMO,MEASURED,IMO,IMO_NUMBER,2313,6934,6304,33.4,SOLID,"pass-1 edge, name-checked in pass 2; a third of AIS ships are US-documented vessels",
FED_NOAA_AIS,FED_USCG_VESSEL_DOCUMENTATION,CALLSIGN,MEASURED,CALLSIGN,CALL_SIGN,5759,17437,75450,33.0,SOLID,"pass-1 edge, name-checked in pass 2",
