K	ID	NM	ACT	CITY	ST	FIPS	DU	TOT	SHARE
county_top	BW5932656	WALGREEN CO.	CHAIN PHARMACY	SAN MARCOS	TX	48209	3125800.0	24436150.0	0.12791704094139217
county_top	BR4149301	GEORGIA CVS PHARMACY, L.L.C.	CHAIN PHARMACY	MCDONOUGH	GA	13151	2481550.0	42377697.4	0.05855792438595307
county_top	BM3900417	MADISON DRUG CO	RETAIL PHARMACY	MADISON	VA	51113	936700.0	938100.0	0.9985076217887219
county_top	BE4179291	VAIL PHARMACY	RETAIL PHARMACY	VAIL	CO	08037	2118270.0	9241333.0	0.2292169322326119
county_top	BT8420452	THRIFTY WHITE PHARMACY #752	RETAIL PHARMACY	MAHNOMEN	MN	27087	617770.0	738020.0	0.8370640362049809
county_top	BW7512595	WALGREEN CO.	CHAIN PHARMACY	GREENVILLE	NC	37147	3430630.0	41817218.0	0.08203869516140457
county_top	AK2738764	KRONNER PHARMACY INC	RETAIL PHARMACY	PRUDENVILLE	MI	26143	3695760.0	12919365.0	0.28606359523088015
county_top	AX3255672	XINIM-CORP	RETAIL PHARMACY	HOLLY HILL	FL	12127	4811930.0	181054475.6	0.026577249659549426
county_top	AC1219600	CORYDON PHARMACY INC	RETAIL PHARMACY	CORYDON	IA	19185	1196820.0	1196820.0	1.0
county_top	FV1645792	VILAS PHARMACY	RETAIL PHARMACY	EAGLE BUTTE	SD	46041	8000.0	8000.0	1.0
county_top	BH7430349	HEB PHARMACY #25,LP	CHAIN PHARMACY	FLORESVILLE	TX	48493	1681420.0	6585428.0	0.2553243312355704
county_top	BA5607316	ACME	CHAIN PHARMACY	PENNSVILLE	NJ	34033	3994580.0	16448840.0	0.24284873583790711
county_top	BP6647222	PARTNERS PHARMACY	RETAIL PHARMACY	SPRINGFIELD	NJ	34039	13494480.0	74310147.0	0.18159673402341675
county_top	BH6095308	HY-VEE PHARMACY (1634)	CHAIN PHARMACY	STORM LAKE	IA	19021	507400.0	1949600.0	0.2602585145670907
county_top	FH1296537	HYLAND'S PHARMACY, LLC	RETAIL PHARMACY	WHEELER	TX	48483	496600.0	1175880.0	0.4223220056468347
county_top	FP0588193	PAMIDA PHARMACY #652	CHAIN PHARMACY	SISSETON	SD	46109	455000.0	729960.0	0.6233218258534714
county_top	BN9032664	NEIN PHARMACY	RETAIL PHARMACY	BRIDGEPORT	NE	31123	509300.0	687600.0	0.7406922629435718
county_top	AF6754748	FRUTH PHARMACY INC	RETAIL PHARMACY	POINT PLEASANT	WV	54053	7317220.0	15502220.0	0.47201110550617914
county_top	AR8078316	ROGERS PHARMACY	RETAIL PHARMACY	MOUND CITY	MO	29087	433700.0	433700.0	1.0
county_top	AP1961502	PATTERSON HEALTH MART	RETAIL PHARMACY	CLAY CENTER	KS	20027	1625440.0	2693940.0	0.6033690431115764
county_top	AR9546459	NORTH CAROLINA CVS PHARMACY, L.L.C.	CHAIN PHARMACY	EDENTON	NC	37041	1476100.0	2594910.0	0.5688443915203225
county_top	AP2025321	PEARSON'S DISCOUNT DRUGS LLC	RETAIL PHARMACY	HOUSTON	MS	28017	1709680.0	6606780.0	0.2587765901089487
county_top	BW8992097	WALGREEN CO.	CHAIN PHARMACY	SUMMERVILLE	SC	45035	4243470.0	35351540.0	0.12003635485186784
county_top	FT1489699	TMB CORPORATION	RETAIL PHARMACY	JULESBURG	CO	08115	399200.0	639500.0	0.6242376856919468
county_top	BC5594014	GEORGIA CVS PHARMACY, L.L.C.	CHAIN PHARMACY	WOODSTOCK	GA	13057	2652230.0	42283093.0195	0.06272554372445865
county_top	BW5570684	WAL-MART PHARMACY 10-0446	CHAIN PHARMACY	MADISONVILLE	TX	48313	1649930.0	3324230.0	0.4963344894907994
county_top	AD8092695	DENNARD'S INC	RETAIL PHARMACY	SOPERTON	GA	13283	1591170.0	2074720.0	0.7669324053366238
county_top	BD5570280	DENNIS' EXPRESS PHARMACY	RETAIL PHARMACY	KINGFISHER	OK	40073	2191540.0	5066040.0	0.4325942945574847
county_top	FW0216576	WAL-MART PHARMACY 10-0039	CHAIN PHARMACY	FORT SCOTT	KS	20011	1643860.0	4992195.0	0.3292860154701489
county_top	BP1270026	PRESCRIPTION PHARMACY	RETAIL PHARMACY	WHITNEY	TX	48217	2487310.0	10739250.0	0.23160928370230696
county_top	BP6728781	PEJ INC	RETAIL PHARMACY	JACKSON	KY	21025	4317280.0	10782950.0	0.400380229899981
county_top	BT1790460	THE LANE DRUG COMPANY	CHAIN PHARMACY	DEFIANCE	OH	39039	1852130.0	7853324.0	0.23584026330761343
county_top	AW7015692	WEBERS PHARMACY INC	RETAIL PHARMACY	WOODSFIELD	OH	39111	845760.0	2511120.0	0.33680588741278794
county_top	FA0819207	ABBEVILLE DISCOUNT DRUGS	RETAIL PHARMACY	ABBEVILLE	GA	13315	690390.0	1864700.0	0.37024186196170966
county_top	AW6312160	WESTSIDE PHARMACY	RETAIL PHARMACY	HANAPEPE	HI	15007	2236800.0	18794930.0	0.11901081834303187
county_top	FP0814221	PAMIDA PHARMACY #687	CHAIN PHARMACY	HOLYOKE	CO	08095	283800.0	428200.0	0.662774404483886
county_top	BW8419081	WALGREEN CO.	CHAIN PHARMACY	FLORENCE	SC	45041	5644940.0	60444960.0	0.09338975491091399
county_top	BC9233975	BOONEVILLE DISCOUNT DRUGS	RETAIL PHARMACY	BOONEVILLE	KY	21189	2850040.0	3952220.0	0.7211238240786191
county_top	BS9069178	QVL PHARMACY 101	RETAIL PHARMACY	LONGVIEW	TX	48183	4436900.0	57118610.0	0.07767871101905316
county_top	BL8197926	LEWIS DRUG STORE	RETAIL PHARMACY	JACKSON	OH	39079	5072040.0	24830810.0	0.20426397689000078
county_top	AB3021057	EVANS DRUG COMPANY	RETAIL PHARMACY	FULTON	KY	21075	1751200.0	4796170.0	0.3651246723948484
county_top	BS9765958	SHOPKO PHARMACY #2073	CHAIN PHARMACY	UNION GAP	WA	53077	2597730.0	56694940.0	0.04581943291588279
county_top	BK6526620	KPH HEALTHCARE SERVICES, INC.	CHAIN PHARMACY	BRADFORD	VT	50017	1332300.0	3090860.0	0.43104508130423247
county_top	AW9132452	WALGREEN CO.	CHAIN PHARMACY	DAVENPORT	IA	19163	4252820.0	36360103.0	0.11696391509121963
county_top	AP2143319	PALACE DRUG STORE	RETAIL PHARMACY	COALGATE	OK	40029	900680.0	900860.0	0.9998001909286681
county_top	BR3547099	RITE AID OF WEST VIRGINIA, INC.	CHAIN PHARMACY	HARRISVILLE	WV	54085	1165930.0	2454570.0	0.4750037684808337
county_top	BR2913108	ROGERSVILLE DISCOUNT DRUGS	RETAIL PHARMACY	ROGERSVILLE	AL	01077	3102160.0	33826460.0	0.09170808887480393
county_top	AC1542756	CITY MARKET PHARMACY #12	CHAIN PHARMACY	RAWLINS	WY	56007	1149900.0	3075690.0	0.3738673273314281
county_top	AB8987844	BEULAH DRUG	RETAIL PHARMACY	BEULAH	ND	38057	967010.0	1363810.0	0.7090503809181631
county_top	BA6571562	ADCOCK'S MEDICINE CHEST	RETAIL PHARMACY	ATLANTA	TX	48067	4375730.0	11552650.0	0.37876417964709397
county_top	BW8502052	WALGREEN CO.	CHAIN PHARMACY	BARABOO	WI	55111	3485050.0	19466350.0	0.17902945339008083
county_top	AN0394712	HUDSON DRUG STORE INC	RETAIL PHARMACY	BOLIVAR	TN	47069	1031440.0	6569470.0	0.15700505520232225
county_top	BV1129546	VICKLUND PHARMACY	RETAIL PHARMACY	THERMOPOLIS	WY	56017	1436800.0	1753740.0	0.819277658033688
county_top	BW1074121	WAL-MART PHARMACY 10-0222	CHAIN PHARMACY	SPARTA	IL	17157	2330460.0	8675110.0	0.2686375158355341
county_top	BW8973225	WAL-MART PHARMACY 10-5458	CHAIN PHARMACY	DELTA	CO	08029	2781890.0	9814770.0	0.2834391432504277
county_top	BA9471335	ASCO HEALTHCARE OF NEW ENGLAND	RETAIL PHARMACY	COVENTRY	RI	44003	4804480.0	57186925.0	0.08401360975432759
county_top	BS4702470	SMITH'S FOOD & DRUG #72	CHAIN PHARMACY	PARK CITY	UT	49043	1288530.0	7082500.0	0.1819315213554536
county_top	AB5814416	BUFFALO PRESCRIPTION SHOP	RETAIL PHARMACY	BUFFALO	WY	56019	1239620.0	1244820.0	0.9958226892241449
county_top	BW3313878	WAL-MART PHARMACY 10-1889	CHAIN PHARMACY	ISLAND CITY	OR	41061	3316400.0	10243740.0	0.3237489432570526
county_top	AB9807009	BAYVIEW PLAZA PHARMACY INC	RETAIL PHARMACY	NORFOLK	VA	51710	3945020.0	33558100.0	0.11755790703287732
county_top	BW4630390	WAL-MART PHARMACY 10-2402	CHAIN PHARMACY	ELKO	NV	32007	2065070.0	12086020.0	0.1708643540222505
county_top	BP5723449	PHARMACY CORP OF AMERICA	RETAIL PHARMACY	BROOMFIELD	CO	08014	6049880.0	15158662.0	0.399103825918145
county_top	BI6023876	IHS PHARMACY	RETAIL PHARMACY	METTER	GA	13043	1399190.0	3135540.0	0.4462357361092507
county_top	FM0191192	M.D. PHARMACY, INC.	RETAIL PHARMACY	BAYTOWN	TX	48071	789970.0	2634800.0	0.2998216183391529
county_top	FS0016015	SCHUYLER PHARMACY,INC	RETAIL PHARMACY	SCHUYLER	NE	31037	236230.0	362190.0	0.6522267318258372
county_top	BB9905348	BEAR LAKE COMMUNITY HEALTH CENTER PHARMACY	RETAIL PHARMACY	GARDEN CITY	UT	49033	513240.0	518540.0	0.9897789948702125
county_top	BW5053006	WAL-MART PHARMACY 10-2477	CHAIN PHARMACY	ROSEBURG	OR	41019	4664740.0	46301090.0	0.10074795215404216
county_top	FH0654803	HIS CARE LLC DBA THE DRUG STORE	RETAIL PHARMACY	CLAXTON	GA	13109	1633490.0	5459750.0	0.29918769174412746
county_top	FN0486325	NORTHTOWN DRUG	RETAIL PHARMACY	SHELBY	MT	30101	399360.0	967690.0	0.41269414791927167
county_top	AG1299874	GIBSONS DRUG INC	RETAIL PHARMACY	WAKEENEY	KS	20195	449380.0	873880.0	0.5142353641232206
county_top	AS4882521	SHELLABARGER, MARTIN DVM	PRACTITIONER	MOFFAT	CO	08109	2300.0	4300.0	0.5348837209302325
county_top	FO0624761	OLIVEHURST DRUG STORE, INC	RETAIL PHARMACY	OLIVEHURST	CA	06115	5383360.0	29566330.0	0.18207738329376694
county_top	AH5749683	HOOK-SUPERX, L.L.C.	CHAIN PHARMACY	LA GRANGE	IN	18087	1198800.0	2938930.0	0.4079035567366354
county_top	AH3035234	HOOK-SUPERX, L.L.C.	CHAIN PHARMACY	CLINTON	IN	18165	3769800.0	5201900.0	0.7246967454199427
county_top	AA1803712	ASTRUP DRUG INC	RETAIL PHARMACY	WORTHINGTON	MN	27105	486510.0	2040750.0	0.23839764792355753
county_top	BR7165120	RRI PHARMACY LLC	RETAIL PHARMACY	ALICE	TX	48249	2919370.0	12133090.0	0.24061224304773146
county_top	AK5881847	KING WILLIAM PHARMACY	RETAIL PHARMACY	AYLETT	VA	51101	1209985.0	3156255.0	0.38336097685389803
county_top	BM4701416	METROPOLIS DRUGS II	RETAIL PHARMACY	METROPOLIS	IL	17127	2012290.0	6206200.0	0.3242386645612452
county_top	BK1400782	KROGER PHARMACY	CHAIN PHARMACY	MT GILEAD	OH	39117	2042100.0	5825360.0	0.35055344219069723
county_top	BW8168038	WALGREEN CO.	CHAIN PHARMACY	CONWAY	SC	45051	5107230.0	102162480.0	0.049991249233573815
county_top	FW2800135	WALGREEN OF PUERTO RICO, INC.	CHAIN PHARMACY	PONCE	PR	72103	62400.0	174100.0	0.35841470419299254
county_top	AH1254870	WESTERN DRUG INC	RETAIL PHARMACY	SPRINGERVILLE	AZ	04001	3119660.0	4621795.0	0.6749888300973972
county_top	AP9198892	PRESTON DRUG	RETAIL PHARMACY	PRESTON	ID	16041	1300920.0	2290002.0	0.5680868400988296
county_top	AK6853685	KAISER FOUNDATION HOSP	RETAIL PHARMACY	SAN RAFAEL	CA	06041	6797360.0	54100786.0	0.1256425368755271
county_top	BG2912271	GREEN'S FORTUNA PHARMACY	RETAIL PHARMACY	FORTUNA	CA	06023	5944340.0	70659960.0	0.08412600290178483
county_top	AH2679314	HOOK-SUPERX, L.L.C.	CHAIN PHARMACY	LOGANSPORT	IN	18017	2961290.0	8400330.0	0.35252067478301446
county_top	BW7509702	WALGREEN CO.	CHAIN PHARMACY	PADUCAH	KY	21145	5061400.0	48799934.0	0.10371735338822384
county_top	AP2367731	POCAHONTAS PHARMACY, INC	RETAIL PHARMACY	POCAHONTAS	IA	19151	554930.0	905130.0	0.6130942516544585
county_top	BP3377769	PRIEFERT PHARMACY	RETAIL PHARMACY	HEBRON	NE	31169	749010.0	854110.0	0.876947934106848
county_top	AD7182708	DOYLE HIGH'S THE DRUG STORE	RETAIL PHARMACY	HASKELL	TX	48207	1855910.0	1975010.0	0.939696507865783
county_top	BD5815773	RICHMOND HILL PHARMACY, INC.	RETAIL PHARMACY	RICHMOND HILL	GA	13029	2127250.0	9639250.733104	0.2206862399267614
county_top	BS5109360	SMITH-CALDWELL DRUG	RETAIL PHARMACY	BENTON	AR	05125	4383380.0	29152486.0	0.1503604186620654
county_top	BC6314253	CANTON NORTHSIDE	RETAIL PHARMACY	JASPER	GA	13227	2718160.0	10344480.0	0.26276429554699704
county_top	BW4375146	WALGREEN OF PUERTO RICO, INC.	CHAIN PHARMACY	UTUADO	PR	72141	346200.0	587960.0	0.5888155656847405
county_top	AC9259739	CLINIC PHARMACY	RETAIL PHARMACY	ROTAN	TX	48151	634520.0	634520.0	1.0
county_top	AF4197706	FCIA IRIZARRY	RETAIL PHARMACY	CABO ROJO	PR	72023	121760.0	504300.0	0.24144358516755898
county_top	AD3500558	RITE AID OF VIRGINIA, INC.	CHAIN PHARMACY	HOPEWELL	VA	51670	2626630.0	8128150.0	0.32315225481813203
county_top	BV3375828	VALENTINE PHARMACY	RETAIL PHARMACY	MANSFIELD	LA	22031	1376260.0	3719530.0	0.37000911405473275
county_top	AM3240037	BOBS' BUDGET PHARMACY INC	RETAIL PHARMACY	TUCUMCARI	NM	35037	1531640.0	2573040.0	0.5952647452041165
county_top	BW3557292	WALGREEN EASTERN CO., INC.	CHAIN PHARMACY	NORWICH	CT	09011	4667250.0	58983326.6	0.07912829385923445
county_top	AS6859295	STEPHEN RESES PHARMACY	RETAIL PHARMACY	POMONA	NJ	34001	4334260.0	73621097.0	0.0588725267160852
county_top	AA3196830	MARION PHARMACY INC	RETAIL PHARMACY	MARION	NC	37111	4909160.0	16603255.0	0.2956745529716914
county_top	AB3183667	BOYDS FAMILY PHARMACY	RETAIL PHARMACY	CASTLE DALE	UT	49015	4843750.0	4843750.0	1.0
county_top	AS5826396	JAC STORES	RETAIL PHARMACY	VIRDEN	IL	17117	1312650.0	8682500.0	0.15118341491505902
county_top	BH1895690	HEALTHCARE PHARMACY	RETAIL PHARMACY	PERRYVILLE	MO	29157	1329380.0	3414440.0	0.38934056536357353
county_top	BB5492309	BIG LAKE PHARMACY	RETAIL PHARMACY	BIG LAKE	TX	48383	144500.0	144500.0	1.0
county_top	BW8220650	WALGREEN CO.	CHAIN PHARMACY	SAN ANGELO	TX	48451	8263310.0	40190194.0	0.2056051284549659
county_top	BW5730002	WAL-MART PHARMACY 10-0364	CHAIN PHARMACY	CENTER	TX	48419	1870130.0	8114677.0	0.23046265427447082
county_top	BW6172364	WAL-MART PHARMACY 10-2705	CHAIN PHARMACY	FRANKLIN	VA	51620	1580800.0	4082470.0	0.38721656252219855
county_top	BW8625785	WAYNE PHARMACY	RETAIL PHARMACY	WAYNE	NJ	34031	2824610.0	64252125.0	0.04396134758188931
county_top	BB3495175	BOND DRUG COMPANY OF ILLINOIS, L.L.C.	CHAIN PHARMACY	MT VERNON	IL	17081	2716820.0	10610340.0	0.2560540001545662
