subject,tier,title,question,why_it_matters,tables,joins_on,visual,notes
HEALTH,crawl,Suicide rate by age group,Which age groups' suicide rates rose most?,A quiet trend line that has been climbing for years.,HEALTH__FED_CDC_SUICIDE_RATES,single table,timeline,
HEALTH,crawl,"Veteran suicide versus everyone else, by state",Where is the veteran suicide rate furthest above the general rate?,"Two lines per state, the gap is the story.",HEALTH__FED_VA_SUICIDE_STATE,single table,map,Comparison column already built in.
HEALTH,crawl,"Abortion counts by state, month by month",How did monthly abortion counts shift between states after 2022?,Flows between states show up as one state falling and a neighbor rising.,HEALTH__XC_GUTTMACHER_MONTHLY_ABORTION,single table,timeline,Low-high range columns. Show the band.
HEALTH,crawl,Doctors who quit Medicare,"Which specialties opt out of Medicare most, and is it growing?",A doctor shortage told through paperwork.,HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS,single table,ranking,Effective-date columns give the timeline.
HEALTH,crawl,"Banned from Medicare, by reason","What gets people banned from billing Medicare, and how many come back?",Reinstatement column shows who returned.,HEALTH__FED_HHS_OIG_LEIE,single table,timeline,
HEALTH,crawl,Doctor shortage areas map,Where are the worst primary-care shortage areas and how big are they?,The map of where you cannot get a doctor.,HEALTH__FED_HRSA_SHORTAGE_AREAS|HEALTH__FED_HRSA_HPSA_PRIMARY_CARE,"stack, same shape",map,Two tables overlap. Pick the full one.
HEALTH,crawl,Opioid prescribing rate by specialty and state,Which specialties and states prescribe opioids at the highest rate?,"One column in one table, huge spread.",HEALTH__FED_CMS_PART_D_PRESCRIBERS,single table,ranking,Opioid and antipsychotic rate columns already computed.
HEALTH,crawl,Brand versus generic drug prices,"How big is the brand-to-generic price gap for the same drug, and how did it move?",People pay it at the counter.,HEALTH__FED_CMS_NADAC,single table,timeline,Effective-date rows give a price history per drug.
HEALTH,crawl,Marketplace deductibles by metal tier,How much does a bronze deductible vary across plans and states?,"Same tier, wildly different cost.",HEALTH__FED_CMS_MARKETPLACE_PLAN_ATTRIBUTES_PUF,single table,other,
HEALTH,crawl,The Prop 65 list growing,How many chemicals were added to California's cancer list each year?,A list that only gets longer.,HEALTH__ST_OEHHA_PROPOSITION_65_LIST,single table,timeline,
HEALTH,crawl,Fast-track versus full device approvals,How many devices cleared by 510(k) each year versus full PMA approval?,Most devices skip the hard review.,HEALTH__FED_FDA_DEVICE_510K|HEALTH__FED_FDA_DEVICE_PMA,"stack, same shape",timeline,"Two tables, no join needed, same axis."
HEALTH,crawl,"Same diagnosis, different bill","For one diagnosis code, how much do hospitals' charges vary across the country?",One number a patient can understand.,HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,single table,other,DRG column. Pick a knee replacement or a heart attack.
HEALTH,crawl,COVID relief money to providers,Who got the most Provider Relief Fund money and where?,Pandemic money on a map.,HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND,single table,map,
HEALTH,crawl,Equipment suppliers: charged versus paid,Which medical-equipment suppliers bill Medicare far above what it pays?,The gap is the markup.,HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,single table,ranking,
HEALTH,crawl,Nursing home fines by year,"Which homes were fined most, and are fines rising or falling?",Fine amounts next to payment-denial periods.,HEALTH__FED_CMS_NURSING_HOME_PENALTIES,single table,timeline,
HEALTH,crawl,Doctor quality scores spread,"How are Medicare quality scores distributed, and who gets penalized?",A bell curve with a cliff.,HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,single table,other,
HEALTH,crawl,Indian Health Service facilities map,"Where are IHS, tribal and urban Indian health facilities, and what do they offer?",Coverage gaps are visible at a glance.,HEALTH__FED_IHS_FACILITIES|HEALTH__FED_IHS_SCB_FACILITY,"stack, same shape",map,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
HEALTH,crawl,Health insurance coverage by group over time,Which demographic groups gained or lost coverage fastest?,Confidence ranges make the honest version.,HEALTH__FED_CDC_HEALTH_INSURANCE,single table,timeline,
HEALTH,crawl,Anxiety and depression by state and group,"Which groups reported the most anxiety and depression, and when did it peak?",A pandemic mood chart.,HEALTH__FED_CDC_ANXIETY_DEPRESSION,single table,timeline,
HEALTH,crawl,Life expectancy by country,"Which countries' life expectancy fell, and when?",A line that goes down is rare and gets attention.,HEALTH__XC_OWID_LIFE_EXPECTANCY,single table,timeline,
HEALTH,crawl,Nursing home relief money by chain,"Which nursing home chains got the most COVID relief, and how were they rated?","Already-built table, one chart away.",HEALTH__NURSING_HOME_RELIEF_BY_CHAIN,single table,ranking,617 rows. Built table.
HEALTH,crawl,Addiction prescribers and who paid them,Which addiction-drug prescribers were paid by drug companies in 2022?,"Built table, one scatter.",HEALTH__ADDICTION_PRESCRIBERS_PAID,single table,other,Built table.
HEALTH,crawl,Health center staff on the ban list,How many community-health-center clinicians are on the exclusion or opt-out lists?,"Built table, already flagged.",HEALTH__FQHC_SITE_PEOPLE,single table,ranking,Built table.
HEALTH,crawl,Providers per zip code,Where are doctors dense and where are they absent?,Dots on a map of nine million providers.,HEALTH__FED_CMS_NPPES|DIM_ZIP_POINT,ZIP,map,ZIP is a code key; catalog says code keys never bridge. Practice-address zip to DIM_ZIP_POINT is a plain lookup.
HEALTH,walk,Paid doctors and what they prescribe,Do doctors paid by a drug maker prescribe that maker's drugs more?,The question everyone asks about pharma money.,HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PARTD_PRESCRIBERS,NPI,other,Catalog item 1 and 2. Drug-level Part D table is 25M rows.
HEALTH,walk,Opioid makers and opioid prescribers,Which opioid prescribers took opioid-maker money?,Catalog item 2 verbatim.,HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PART_D_PRESCRIBERS,NPI,other,
HEALTH,walk,Deficiencies by nursing home ownership,Do chain-owned homes get more inspection citations per home?,Catalog item 6.,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|HEALTH__FED_CMS_NURSING_HOME,CCN,ranking,
HEALTH,walk,Citations per resident-day,Which homes rack up the most citations per resident-day?,"Catalog item 7, which normalizes big homes against small.",HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY,CCN,ranking,MDS table is 31M rows.
HEALTH,walk,Fire-safety citations versus health citations,Do homes with many fire citations also have many health citations?,"Two inspection regimes, one facility.",HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES|HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,CCN,other,
HEALTH,walk,Hospital stars against hospital margin,Do richer hospitals get better star ratings?,Money and quality on one scatter.,HEALTH__FED_CMS_HOSPITAL_COMPARE|HEALTH__FED_CMS_HCRIS,CCN,other,
HEALTH,walk,Doctors affiliated with one-star hospitals,Which doctors are tied to the lowest-rated hospitals?,"Catalog item 9 family, CCN.",HEALTH__FED_CMS_FACILITY_AFFILIATION|HEALTH__FED_CMS_HOSPITAL_COMPARE,CCN,other,
HEALTH,walk,Where banned providers were practicing,"Where did excluded providers practice, by specialty and state?",The ban list gets addresses.,HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_NPPES,NPI,map,
HEALTH,walk,Contract-banned people still paid by pharma,Did drug companies keep paying doctors on the federal do-not-do-business list?,A built table meets a payments table.,HEALTH__SAM_EXCLUDED_PROVIDERS|HEALTH__FED_CMS_OPEN_PAYMENTS,NPI,ranking,
HEALTH,walk,Medicare billing against pharma payments,Do the highest Medicare billers also take the most pharma money?,Catalog item 1 family.,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER|HEALTH__FED_CMS_OPEN_PAYMENTS,NPI,other,
HEALTH,walk,Part B pay against specialty peers by state,Which doctors bill far above their specialty's state average?,Catalog item 3.,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER|HEALTH__FED_CMS_NPPES,NPI,ranking,
HEALTH,walk,"Eligible to refer, enrolled or not",How many order-and-referring doctors are not actually enrolled?,Catalog item 4.,HEALTH__FED_CMS_ORDER_AND_REFERRING|HEALTH__FED_CMS_PECOS_PROVIDER_ENROLLMENT,NPI,other,
HEALTH,walk,Home health agencies per county resident,Which counties have the most home health agencies per person?,Catalog item 5.,HEALTH__FED_CMS_HOME_HEALTH|DIM_COUNTY,FIPS,map,
HEALTH,walk,Overdose deaths where doctors are scarce,Do counties short on doctors have higher overdose death rates?,Catalog item 38.,HEALTH__FED_CDC_DRUG_POISONING_COUNTY|HEALTH__FED_HRSA_SHORTAGE_AREAS,FIPS,map,
HEALTH,walk,Shortage areas against provider count,"Are designated shortage areas really short, by provider count?",Catalog item 41.,HEALTH__FED_HRSA_SHORTAGE_AREAS|HEALTH__FED_CMS_NPPES,FIPS,map,
HEALTH,walk,"Pills shipped against deaths, by county",Did counties that got more pills see more overdose deaths?,Shipment and death on one county map.,HEALTH__FED_DEA_ARCOS|HEALTH__FED_CDC_DRUG_POISONING_COUNTY,FIPS,map,FIPS family has 15 tables; confirm ARCOS is one before building.
HEALTH,walk,"Pharma money by specialty, rolled up",Which specialties take the most pharma money per doctor?,Uses the pre-rolled PUBLIC table.,HEALTH_MEDICINE__OPEN_PAYMENTS_BY_SPECIALTY_STATE_AGG|HEALTH_MEDICINE__NPPES_BY_TAXONOMY_STATE_AGG,state + specialty code,ranking,Both are rollups keyed by state and specialty; not a catalog key.
HEALTH,walk,Pharma-paid doctors with malpractice records,Do states with more pharma money have more malpractice payments?,"NPDB is de-identified, so state level only.",HEALTH__FED_HRSA_NPDB|HEALTH_MEDICINE__OPEN_PAYMENTS_BY_SPECIALTY_STATE_AGG,state code,other,State is not a catalog key. Lookup only.
HEALTH,walk,Health-center clinics against shortage areas,Are federally funded clinics where the shortage areas are?,"Two maps, one overlay.",HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES|HEALTH__FED_HRSA_SHORTAGE_AREAS,FIPS,map,
HEALTH,walk,Facilities in many programs,Which hospitals converted to Rural Emergency Hospitals and what did they look like before?,Enrollment table has the conversion flag.,HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS|HEALTH__FED_CMS_POS_OTHER,CCN,timeline,
HEALTH,run,The opioid chain,"Can pills shipped, prescriptions written, pharma money, deaths, and treatment sites be laid on one county over twenty years?",The whole epidemic on one scrolling page.,HEALTH__FED_DEA_ARCOS|HEALTH__FED_CMS_PART_D_PRESCRIBERS|HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CDC_DRUG_POISONING_COUNTY|HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS|HEALTH__ADDICTION_PRESCRIBERS_PAID,"NPI, FIPS",other,Scrollytelling. Every join is a catalog key.
HEALTH,run,Nursing home chain scorecard,"For each chain: homes, stars, citations, fines, relief money, owners?",One page per chain a family could use.,HEALTH__FED_CMS_NURSING_HOME|HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|HEALTH__FED_CMS_NURSING_HOME_PENALTIES|HEALTH__NURSING_HOME_RELIEF_BY_CHAIN|HEALTH__FED_NURSINGHOME411,CCN,other,
HEALTH,run,"One doctor, every table","For one NPI: registry, pharma money, prescribing, billing, bans, hospital ties?",A lookup page that shows the warehouse's reach.,HEALTH__FED_CMS_NPPES|HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PART_D_PRESCRIBERS|HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER|HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_FACILITY_AFFILIATION|HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,NPI,other,"NPI is the steel key: 34 tables, 364 edges."
HEALTH,run,Device life story,"From clearance to registry to injury report to recall, for one product code?",Follow one device through four FDA systems.,HEALTH__FED_FDA_DEVICE_510K|HEALTH__FED_FDA_GUDID|HEALTH__FED_FDA_MAUDE|HEALTH__FED_FDA_DEVICE_ENFORCEMENT|HEALTH__FED_FDA_DEVICE_CLASSIFICATION,product code,flow,Product code is not a catalog key. Needs proving.
HEALTH,run,Private equity in home care,Do PE-owned home health agencies score worse on care outcomes?,Owner list meets outcome list.,HEALTH__FED_CMS_HOME_HEALTH_OWNERS|HEALTH__FED_CMS_HOME_HEALTH|HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS,CCN,other,
POLITICS,crawl,Congress drifting apart,How far apart have the two parties' ideology scores moved since 1789?,"The polarization chart, from the original source.",POLITICS__FED_VOTEVIEW_MEMBERS,single table,timeline,51K member-Congress rows.
POLITICS,crawl,"Three branches, one axis","How far apart do the House, Senate and Supreme Court sit each year?",One line per branch on one axis.,POLITICS__JCS_MEDIANS|POLITICS__XC_JCS_MEDIANS,"stack, same shape",timeline,XC version adds each circuit.
POLITICS,crawl,Who actually passes bills,Which members turn the most sponsored bills into law?,"Rank by enactment rate, not by noise.",POLITICS__MEMBER_BILL_RECORD,single table,ranking,Built table.
POLITICS,crawl,Missed votes and party loyalty,"Who misses the most votes, and who breaks with their party most?",Two numbers per member.,POLITICS__MEMBER_VOTING_RECORD,single table,other,Built table.
POLITICS,crawl,Cosponsor web,"Which members cosponsor together, across the aisle?",A network graph of Congress.,POLITICS__FED_GOVINFO_BILL_COSPONSORS,single table,other,1.27M rows. The BILLS-era table is a smaller sibling.
POLITICS,crawl,Senators' stock trades,"Which senators trade most, and what did they buy before big news?",Trades on a timeline next to headlines.,POLITICS__SENATE_TRADES|FINANCE__SENATE_TRADES,"stack, same shape",timeline,FINANCE__SENATE_TRADES merges both sources with Bioguide.
POLITICS,crawl,Margins of victory over time,Are federal elections getting closer or more lopsided?,"Every winner, every margin.",POLITICS__WHO_WON,single table,timeline,
POLITICS,crawl,Closest House races,Which House seats were decided by the fewest votes?,"Vote share by candidate, MIT-cleaned.",POLITICS__FED_MEDSL_HOUSE_RETURNS|POLITICS__FED_MEDSL_SENATE_RETURNS|POLITICS__FED_MEDSL_PRESIDENT_RETURNS,"stack, same shape",map,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
POLITICS,crawl,Where Texas lobbyists buy dinner,Which restaurants and which officials show up most on lobbyist meal reports?,A list of restaurants is a very human chart.,POLITICS__TX_LOBBY_FOOD_BEVERAGE,single table,ranking,
POLITICS,crawl,"Texas lobby gifts, travel, events","What do lobbyists give Texas officials, and who gets most?","Gifts, hotels, flights, receptions in one view.",POLITICS__TX_LOBBY_GIFTS|POLITICS__TX_LOBBY_TRANSPORTATION|POLITICS__TX_LOBBY_EVENTS|POLITICS__TX_LOBBY_ENTERTAINMENT|POLITICS__TX_LOBBY_AWARDS,"stack, same shape",ranking,Same filer ID across tables; not a catalog key.
POLITICS,crawl,Texas lobby spending by category over time,"How did total lobby spending split across meals, gifts, travel, media by year?",Cover sheets carry the totals.,POLITICS__TX_LOBBY_COVER,single table,timeline,
POLITICS,crawl,What Texas lobbyists work on,Which subjects draw the most lobbying activity in Texas?,"210K subject rows, one bar chart.",POLITICS__TX_LOBBY_SUBJECT_MATTER,single table,ranking,
POLITICS,crawl,California's biggest lobby spenders,Which employers pay the most for lobbying per session?,Quarter-by-quarter totals per employer.,POLITICS__CA_LOBBY_EMPLOYER|POLITICS__CA_LOBBY_FIRM,"stack, same shape",ranking,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
POLITICS,crawl,California lobbyists who also donate,Which lobbyists give the most campaign money?,Lobby and donate in one row.,POLITICS__CA_LOBBY_CONTRIBUTIONS,single table,ranking,
POLITICS,crawl,People on many dark-money boards,Which names sit on the most 527 organization filings?,Same names across dozens of groups.,POLITICS__IRS527_DIRECTORS_OFFICERS,single table,ranking,
POLITICS,crawl,Dark-money groups related to each other,Which 527 groups declare each other as related?,A network of shells.,POLITICS__IRS527_RELATED_ENTITIES|POLITICS__IRS527_8871_ORGS,"stack, same shape",other,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
POLITICS,crawl,Canada's 12.6 million donations,How did giving to each Canadian party move over time?,Bigger than most US state files.,POLITICS__INTL_ELECTIONS_CANADA_CONTRIBUTIONS,single table,timeline,
POLITICS,crawl,Freedom scores rising and falling,Which countries lost the most freedom points in the last decade?,A world map that changes color.,POLITICS__INTL_FREEDOMHOUSE,single table,map,
POLITICS,crawl,Military spending by country,"Who spends most, and who grew fastest?",Ranking that moves over time.,POLITICS__INTL_OWID_MILSPEND,single table,timeline,
POLITICS,crawl,Who votes with whom at the UN,"Which countries vote with the US most and least, and how has that shifted?",A country-pair heatmap.,POLITICS__INTL_VOETEN_UNGA_VOTES,single table,other,
POLITICS,crawl,Corruption perception by country,Which countries' corruption scores improved or fell most?,"Simple, global, recognizable.",POLITICS__XC_OWID_CPI,single table,map,
POLITICS,crawl,Radio licenses by service type,"Where are FCC licenses densest, and what services dominate?",1.7M licenses on a map.,POLITICS__FED_FCC_LICENSING|GOVERNMENT_POWER__FCC_LICENSES_BY_STATE_SERVICE_AGG,"stack, same shape",map,Rollup already exists in PUBLIC.
POLITICS,crawl,How counties run elections,Which jurisdictions rely most on mail ballots or fewest polling places?,"One row per county, dozens of questions.",POLITICS__FED_EAC_EAVS,single table,map,Column names are survey codes. Needs a decoder.
POLITICS,crawl,Judges' age at appointment by president,Are presidents appointing younger judges over time?,A generational strategy in one chart.,POLITICS__FED_FJC_JUDGES|POLITICS__FJC_APPOINTMENT,"stack, same shape",timeline,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
POLITICS,crawl,Confirmation vote margins shrinking,How did Senate confirmation margins for judges change by decade?,From unanimous to party-line.,POLITICS__FED_FJC_SERVICE,single table,timeline,
POLITICS,crawl,Circuit courts by ideology,"Which circuits lean furthest left or right, and did that change?","One dot per judge, one row per circuit.",POLITICS__JUDGE_IDEOLOGY_COA,single table,other,
POLITICS,crawl,Supreme Court justices by term,How did each justice's ideology score move term by term?,"The famous chart, from the source.",POLITICS__JUDGE_IDEOLOGY_SCOTUS,single table,timeline,
POLITICS,crawl,Cannabis legalization map by year,When did each state approve medical and recreational cannabis?,An animated map of policy spreading.,POLITICS__ST_CANNABIS_POLICY_BUNDLES,single table,map,Dozens of rule columns for follow-ups.
POLITICS,crawl,"NYC donors, 2001 versus 2025",How did the size and geography of NYC donations change across five cycles?,"Five cycles, same city.",POLITICS__ST_NYC_CFB_CAMPAIGN_2001_CONTRIBUTION|POLITICS__ST_NYC_CFB_CAMPAIGN_2009_CONTRIBUTION|POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION|POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS|POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,"stack, same shape",map,"Same shape, stack them."
POLITICS,crawl,Lobbyists who used to work in government,What share of federal lobbyists held a covered government job first?,"Revolving door, counted.",POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,single table,ranking,
POLITICS,crawl,Who pays to lobby Washington,"Which clients spend most on federal lobbying, and on what issues?","820K filings, one ranking.",EDUCATION__FED_SENATE_LDA_FILINGS,single table,ranking,Table is misfiled under EDUCATION.
POLITICS,crawl,Foreign agents by country,Which foreign governments hire the most registered agents in the US?,A map of influence buying.,FOREIGN_INFLUENCE__FED_FARA_BULK,single table,map,
POLITICS,crawl,Google political ads: who they target,"Which advertisers target which age and gender, and how much did they spend weekly?",Targeting made visible.,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS|EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND,"stack, same shape",timeline,Misfiled under EDUCATION.
POLITICS,crawl,Federal Register output per agency,"Which agencies publish the most rules, and how did executive orders spike by year?",Government activity as a line.,REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS,single table,timeline,
POLITICS,crawl,Jobs with an industry interest,Which federal roles have the most industries with a financial stake?,"Small table, sharp question.",GOVERNANCE__FED_REVOLVINGDOOR_PROJECT,single table,ranking,405 rows.
POLITICS,crawl,Roll calls that split parties,Which votes had the most members crossing party lines?,Vote-level drama.,POLITICS__VOTEVIEW_VOTES|POLITICS__FED_VOTEVIEW_ROLLCALL_META,"stack, same shape",ranking,Same roll-call ID; not a catalog key.
POLITICS,walk,Cosponsoring and ideology,Do moderates cosponsor more bills across the aisle?,Catalog item 46.,POLITICS__FED_GOVINFO_BILL_COSPONSORS|POLITICS__FED_VOTEVIEW_MEMBERS,BIOGUIDE / ICPSR,other,
POLITICS,walk,Committee seats and bills sponsored,Do members on more committees sponsor more bills?,Catalog item 47.,POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP|POLITICS__BILLS,BIOGUIDE,other,
POLITICS,walk,Senators trading in what they oversee,Do senators trade stocks in sectors their committees regulate?,The chart people will screenshot.,FINANCE__SENATE_TRADES|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,BIOGUIDE,other,Sector needs a ticker-to-industry lookup; see wanted list.
POLITICS,walk,Money raised versus margin won,Does raising more money buy a bigger win?,Catalog FEC family.,POLITICS__FEC_CANDIDATE_SUMMARY|POLITICS__WHO_WON|POLITICS__FEC_CANDIDATE,FEC_CAND_ID,other,
POLITICS,walk,Individual money per committee per candidate,Which candidates' committees run on small donors?,Catalog item 42.,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS|POLITICS__FEC_COMMITTEE|POLITICS__FEC_CAND_CMTE_LINK,FEC_CMTE_ID / CAND_ID,ranking,284M rows. Use the PUBLIC rollup first. Not a catalog key; lookup or unproven.
POLITICS,walk,PAC money versus individual money,Which committees lean on PACs rather than people?,Catalog item 43.,POLITICS__FED_FEC_PAC_SUMMARY|MONEY_IN_POLITICS__FEC_INDIV_BY_CMTE_CYCLE_AGG,FEC_CMTE_ID,other,
POLITICS,walk,Leadership PACs per politician,Which officeholders run the most leadership PACs and where does the money go?,Catalog item 44.,FINANCE__FED_FEC_LEADERSHIP_PAC|FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,FEC_CMTE_ID / CAND_ID,flow,Not a catalog key; lookup or unproven.
POLITICS,walk,Outside money for and against,Which candidates drew the most independent spending against them?,Support versus oppose in one bar.,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES|POLITICS__FEC_CANDIDATE,FEC_CAND_ID,ranking,
POLITICS,walk,PAC money and party loyalty,Do members who take more PAC money vote with their party more?,Built member tables share the member key.,POLITICS__MEMBER_PAC_MONEY|POLITICS__MEMBER_VOTING_RECORD|POLITICS__MEMBER_SPINE,BIOGUIDE,other,
POLITICS,walk,Judge ideology by appointing president,How far apart are each president's appointees on the ideology scale?,Presidents as color bands.,POLITICS__FJC_APPOINTMENT|POLITICS__JUDGE_IDEOLOGY_COA,CL_PERSON_ID / FJC id,other,FJC id to ideology table key not in catalog; check. Not a catalog key; lookup or unproven.
POLITICS,walk,"Lobbying firms and their clients, California","Which firms serve the most employers, and which employers hire the most firms?",A bipartite graph.,POLITICS__CA_LOBBY_EMPLOYER_FIRMS|POLITICS__CA_LOBBY_FIRM_EMPLOYER,filer ID,other,"Same source ID, not a catalog key."
POLITICS,walk,Dark-money donors to dark-money groups,"Who gives the most to 527 groups, and which groups?",Schedule A meets the org roster.,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS|POLITICS__IRS527_8871_ORGS,EIN,ranking,"EIN family, 34 tables; confirm both are in it."
POLITICS,walk,Where 527 money gets spent,Which vendors get paid most by 527 groups?,Schedule B is the spending side.,FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES|POLITICS__IRS527_8872_REPORTS,EIN,ranking,
