id,family,status,question,tables,join_grade,join_plan,bridge_needed,filter_columns,no_key_pairs,manual_note
11,HEALTH,part done,Do money-losing hospitals still have doctors taking big drug company payments?,HEALTH__FED_CMS_HCRIS | HEALTH__FED_CMS_FACILITY_AFFILIATION | HEALTH__FED_CMS_OPEN_PAYMENTS_2023,A measured,HEALTH__FED_CMS_OPEN_PAYMENTS_2023.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [measured 472757 shared] ; HEALTH__FED_CMS_HCRIS.PROVIDER_CCN = HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN [CCN] ; HEALTH__FED_CMS_HCRIS.PROVIDER_CCN = HEALTH__FED_CMS_OPEN_PAYMENTS_2023.CCN [CCN],,HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE | HEALTH__FED_CMS_HCRIS.SOURCE_FILE_YEAR | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS_2023.PROGRAM_YEAR,,
12,HEALTH,part done,Do hospitals with financial trouble also have padded ventilator equipment billing?,HEALTH__FED_CMS_LTCH | HEALTH__FED_CMS_POS_OTHER | HEALTH__FED_CMS_FACILITY_AFFILIATION | HEALTH__FED_CMS_OPEN_PAYMENTS,A measured,HEALTH__FED_CMS_OPEN_PAYMENTS.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [measured 500450 shared] ; HEALTH__FED_CMS_LTCH.CCN = HEALTH__FED_CMS_POS_OTHER.CCN [CCN] ; HEALTH__FED_CMS_LTCH.CCN = HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN [CCN] ; HEALTH__FED_CMS_LTCH.CCN = HEALTH__FED_CMS_OPEN_PAYMENTS.CCN [CCN] ; HEALTH__FED_CMS_POS_OTHER.CCN = HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN [CCN] ; HEALTH__FED_CMS_POS_OTHER.CCN = HEALTH__FED_CMS_OPEN_PAYMENTS.CCN [CCN],,HEALTH__FED_CMS_LTCH.CERTIFICATION_DATE | HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR | HEALTH__FED_CMS_POS_OTHER.CHOW_DT | HEALTH__FED_CMS_POS_OTHER.CRTFCTN_DT,,
13,HEALTH,same as another,Do owners re-register the business right after getting fire-safety fines?,HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,B hard ID,HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.CCN [CCN],,HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES.CORRECTION_DATE | HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES.SURVEY_DATE | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.INCORPORATION_DATE,,
14,HEALTH,nothing there,Are clinics claiming to be 'rural' actually sitting in cities?,HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS,single table,,,HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS.INCORPORATION_DATE,,
15,PROCUREMENT+RAW,found something,Are banned companies still getting paid on disaster relief contracts?,PROCUREMENT__FED_SAM_EXCLUSIONS | FED_USASPENDING_CONTRACTS_FULL_R2,B hard ID,PROCUREMENT__FED_SAM_EXCLUSIONS.UEI = FED_USASPENDING_CONTRACTS_FULL_R2.RECIPIENT_UEI [UEI/DUNS],,FED_USASPENDING_CONTRACTS_FULL_R2.ACTION_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.PERIOD_OF_PERFORMANCE_START_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.ACTIVATION_DATE | PROCUREMENT__FED_SAM_EXCLUSIONS.TERMINATION_DATE_RAW,,
16,HEALTH,nothing there,Are any of them on the federal fraud exclusion list?,HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM | HEALTH__FED_HHS_OIG_LEIE,B hard ID,HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM.NPI = HEALTH__FED_HHS_OIG_LEIE.NPI [NPI],,HEALTH__FED_HHS_OIG_LEIE.EXCLUSION_DATE | HEALTH__FED_HHS_OIG_LEIE.REINSTATEMENT_DATE,,
17,ENVIRONMENT+FINANCE,missing a piece,Same as #3 but through a different bank record,FINANCE__FED_FDIC_BANK_DATA | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,B hard ID,FINANCE__FED_FDIC_BANK_DATA.LEI = ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.MATCHED_LEI [LEI],,FINANCE__FED_FDIC_BANK_DATA.DATEUPDT | FINANCE__FED_FDIC_BANK_DATA.INSURED_DATE,,
18,HEALTH,part done,Do they order more of that device at the hospital they work for?,HEALTH__FED_CMS_OPEN_PAYMENTS | HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,B hard ID,HEALTH__FED_CMS_OPEN_PAYMENTS.CCN = HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE.RNDRNG_PRVDR_CCN [CCN],,HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,,
19,HEALTH,nothing there,Do the ones taking industry payments still get top bonuses?,HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | HEALTH__FED_CMS_PART_D_PRESCRIBERS,B hard ID,HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI = HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI [NPI],,,,
20,HEALTH,found a little,"Are the same people running both, and is that a conflict?",HEALTH__FED_CMS_FACILITY_AFFILIATION,single table,,,,,
21,ECONOMICS+HEALTH,part done,Do hospital employees get paid less than the local average wage?,HEALTH__FED_CMS_HCRIS | ECONOMICS__FED_BLS_QCEW,D name match,HEALTH__FED_CMS_HCRIS.STATE_CODE = ECONOMICS__FED_BLS_QCEW.STATE_FIPS [STATE],,ECONOMICS__FED_BLS_QCEW.YEAR | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE | HEALTH__FED_CMS_HCRIS.SOURCE_FILE_YEAR,,
22,CROSS 3+,found something,Do those same neighborhoods have more toxic factories today?,ENVIRONMENT__FED_EPA_TRI_FACILITY | ENVIRONMENT__FED_EPA_TRI_BASIC_2023 | HOUSING__FED_MAPPING_INEQUALITY | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,C geo +gap,ENVIRONMENT__FED_EPA_TRI_FACILITY.COUNTY_NAME = ENVIRONMENT__FED_EPA_TRI_BASIC_2023.C_7_COUNTY [COUNTY_NAME] ; ENVIRONMENT__FED_EPA_TRI_FACILITY.STATE_COUNTY_FIPS_CODE = HOUSING__FED_MAPPING_INEQUALITY.FIPS [COUNTY_FIPS] ; ENVIRONMENT__FED_EPA_TRI_FACILITY.STATE_COUNTY_FIPS_CODE = HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID [COUNTY_FIPS] ; ENVIRONMENT__FED_EPA_TRI_BASIC_2023.C_4_FACILITY_NAME = HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.NAME [ORG_NAME] ; HOUSING__FED_MAPPING_INEQUALITY.FIPS = HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID [COUNTY_FIPS],,ENVIRONMENT__FED_EPA_TRI_BASIC_2023.C_1_YEAR | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.TTM_DATE_RANGE,ENVIRONMENT__FED_EPA_TRI_BASIC_2023 x HOUSING__FED_MAPPING_INEQUALITY,
23,HEALTH,found something,How much money did banned suppliers still collect?,HEALTH__FED_HHS_OIG_LEIE | HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,B hard ID,HEALTH__FED_HHS_OIG_LEIE.NPI = HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL.SUPLR_NPI [NPI],,HEALTH__FED_HHS_OIG_LEIE.EXCLUSION_DATE | HEALTH__FED_HHS_OIG_LEIE.REINSTATEMENT_DATE,,
24,HEALTH,not started,"Nothing to compare yet, program just started",HEALTH__FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS,single table,,,,,
25,HEALTH,found a little,Are centers whose local site shut down still collecting Medicare money as if open?,HEALTH__FED_CMS_POS_OTHER | HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS | HEALTH__FED_HRSA_SHORTAGE_AREAS,B hard ID,HEALTH__FED_CMS_POS_OTHER.CCN = HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS.CCN [CCN] ; HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS.ENROLLMENT_STATE = HEALTH__FED_HRSA_SHORTAGE_AREAS.PRIMARY_STATE_ABBREVIATION [STATE],HEALTH__FED_CMS_POS_OTHER.CCN = HEALTH__FED_CMS_LTCH.CCN [CCN] then HEALTH__FED_CMS_LTCH.COUNTY_PARISH = HEALTH__FED_HRSA_SHORTAGE_AREAS.COMMON_COUNTY_NAME [COUNTY_NAME],HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS.INCORPORATION_DATE | HEALTH__FED_CMS_POS_OTHER.CHOW_DT | HEALTH__FED_CMS_POS_OTHER.CRTFCTN_DT | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_DESIGNATION_DATE | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_DESIGNATION_LAST_UPDATE_DATE,,
26,ENVIRONMENT+HOUSING,part done,Does housing sit empty after a big storm instead of getting rebuilt?,ENVIRONMENT__FED_NOAA_STORM_EVENTS | HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,C geo,ENVIRONMENT__FED_NOAA_STORM_EVENTS.CZ_FIPS = HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS.STATE_COUNTY_FIPS_CODE [COUNTY_FIPS],,ENVIRONMENT__FED_NOAA_STORM_EVENTS.BEGIN_DATE_TIME | ENVIRONMENT__FED_NOAA_STORM_EVENTS.YEAR | HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS.DATE_OF_OPERATION | HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS.DATE_TAX_CREDIT_EXPIRES,,
27,HEALTH,found something,Are any of them already banned for past fraud?,HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS | HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS | HEALTH__FED_HHS_OIG_LEIE | HEALTH__FED_CMS_FACILITY_AFFILIATION,A measured,HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [measured 49 shared] ; HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [measured 103 shared] ; HEALTH__FED_HHS_OIG_LEIE.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [measured 15 shared] ; HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS.NPI = HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS.NPI [NPI] ; HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS.NPI = HEALTH__FED_HHS_OIG_LEIE.NPI [NPI] ; HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS.NPI = HEALTH__FED_HHS_OIG_LEIE.NPI [NPI],,HEALTH__FED_HHS_OIG_LEIE.EXCLUSION_DATE | HEALTH__FED_HHS_OIG_LEIE.REINSTATEMENT_DATE,,
28,HEALTH,part done,Do homes exaggerate patient sickness to get paid more?,HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY | HEALTH__FED_NURSINGHOME411 | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,B hard ID,HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY.CCN = HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN [CCN] ; HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY.CCN = HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN [CCN] ; HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN [CCN],,HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY.REPORT_DATE | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CORRECTION_DATE | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.SURVEY_DATE | HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,,
29,ENVIRONMENT+HEALTH,part done,Do hospitals near the most toxic sites fail financially more often?,ENVIRONMENT__FED_EPA_TRI_FACILITY | HEALTH__FED_CMS_HCRIS | HEALTH__FED_CMS_POS_OTHER,B hard ID,ENVIRONMENT__FED_EPA_TRI_FACILITY.COUNTY_NAME = HEALTH__FED_CMS_HCRIS.COUNTY [COUNTY_NAME] ; ENVIRONMENT__FED_EPA_TRI_FACILITY.ZIP_CODE = HEALTH__FED_CMS_POS_OTHER.ZIP_CD [ZIP] ; HEALTH__FED_CMS_HCRIS.PROVIDER_CCN = HEALTH__FED_CMS_POS_OTHER.CCN [CCN],,HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE | HEALTH__FED_CMS_HCRIS.SOURCE_FILE_YEAR | HEALTH__FED_CMS_POS_OTHER.CHOW_DT | HEALTH__FED_CMS_POS_OTHER.CRTFCTN_DT,,
30,HEALTH,found something,"Do new owners appear right after a home gets penalized, like a shell game?",HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS | HEALTH__FED_CMS_NURSING_HOME_PENALTIES,B hard ID,HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.CCN = HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN [CCN],,HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PAYMENT_DENIAL_START_DATE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PENALTY_DATE | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.INCORPORATION_DATE,,
