id,where_it_stands,question,n_tables,all_live,tables_with_live_rows,live_rows_total
76,not started,Do they sell their company stock right before bad news like a fine hits?,3,Y,"LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS (2,672,841) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS (10,414) | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713)",2697968
77,not started,Do they own stock in companies whose cases they're deciding?,3,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_INVESTMENTS (1,901,599) | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_POSITIONS (51,290) | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL (10,857,396)",12810285
78,not started,Do they trade stock in industries their own committee oversees?,3,Y,"LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER (8,350) | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP (26,970) | LIBRARY_RAW.LANDING.FED_VOTEVIEW_ROLLCALLS (945,523)",980843
79,not started,Did they quietly switch auditors right before collapsing?,3,Y,"LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS (4,115) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS (2,822,977) | LIBRARY_MARTS.FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS (155,384)",2982476
80,not started,Do they still keep winning government contracts?,2,Y,"LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT (411,638) | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 (93,153,424)",93565062
81,not started,Did executives sell their own stock right before the collapse?,4,Y,"LIBRARY_MARTS.LABOR.LABOR__FED_PBGC_TRUSTEED_PLANS (5,176) | LIBRARY_RAW.LANDING.FED_DOL_FORM5500_FULL (4,299,671) | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1 (6,169) | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS (2,672,841)",6983857
82,not started,Do unions reporting missing money also have an active political fund?,2,Y,"LIBRARY_MARTS.LABOR.LABOR__FED_DOL_OLMS (617,710) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES (60,031)",677741
83,not started,Does lobbying spending spike right before a new safety rule is finalized?,2,Y,"LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS (1,964,969) | LIBRARY_MARTS.REGULATORY.REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS (485,585)",2450554
84,"lit — $586.0M against, $191.4M for, congress-matched",Who's spending money for or against them in elections?,4,Y,"LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES (276,183) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_CAND_CMTE_LINKAGE (30,536) | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_LEGISLATORS (12,767) | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP (26,970)",346456
85,not started,Does it flow from their corporate PAC into top leaders' campaign funds?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES (60,031) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_LEADERSHIP_PAC (8,619)",15453697
86,not started,Are big-spending political advertisers avoiding official campaign finance reporting?,3,Y,"LIBRARY_MARTS.EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND (298,884) | LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY (45,709) | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS (29,636)",374229
87,not started,Do they also personally donate to U.S. political campaigns?,2,Y,"LIBRARY_RAW.LANDING.FED_FARA_BULK (221,900) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS (283,771,819)",283993719
88,not started,Are the same people also treasurers of federal campaign committees?,2,Y,"LIBRARY_MARTS.POLITICS.POLITICS__IRS527_DIRECTORS_OFFICERS (189,593) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES (60,031)",249624
89,not started,Do the same people wine and dine state lawmakers and donate federally?,3,Y,"LIBRARY_MARTS.POLITICS.POLITICS__TX_LOBBY_COVER (283,803) | LIBRARY_MARTS.POLITICS.POLITICS__CA_LOBBY_COVER (568,988) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS (283,771,819)",284624610
90,not started,Do agency contracts shift toward an official's old industry after they arrive?,2,Y,"LIBRARY_MARTS.GOVERNANCE.GOVERNANCE__FED_REVOLVINGDOOR_PROJECT (405) | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 (93,153,424)",93153829
91,not started,"Do they buy a stock, then introduce a bill that helps it?",3,Y,"LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER (8,350) | LIBRARY_RAW.LANDING.FED_GOVINFO_BILLSTATUS (107,150) | LIBRARY_RAW.LANDING.FED_GOVINFO_BILL_COSPONSORS (1,268,519)",1384019
92,not started,Does office spending go to vendors who are also campaign donors?,2,Y,"LIBRARY_RAW.LANDING.FED_HOUSE_DISBURSEMENTS (4,914,476) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS (283,771,819)",288686295
93,not started,Do places with more rejected mail ballots overlap with high-incarceration areas?,3,Y,"LIBRARY_MARTS.POLITICS.POLITICS__FED_EAC_EAVS (6,460) | LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS (128,507) | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS (29,636)",164603
94,not started,Does a judge's political leaning or donations predict how they rule?,3,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS (8,486) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS (283,771,819) | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL (10,857,396)",294637701
95,not started,Do gifts or debts they report ever involve parties in their own courtroom?,3,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS (2,025) | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS (18,775) | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS (33,472)",54272
96,not started,Do they still get disaster payouts for flood damage?,2,Y,"LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK (25,125) | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920)",26276045
97,not started,Are they being rebuilt each time instead of relocated?,3,Y,"LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920) | LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS (35,601) | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS (13,550)",26300071
98,not started,Are any sitting downstream of a dam rated poor with no emergency plan?,2,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS (92,766) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME (14,700)",107466
99,not started,Do the ones with unsafe dams also have a pile of unpaid safety fines?,3,Y,"LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_MINES (91,906) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS (92,766) | LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_VIOLATIONS (3,087,265)",3271937
100,not started,Did they spring up right after the disaster was declared?,2,Y,"LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 (93,153,424) | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920)",119404344
101,not started,Are they still using outdated flood maps?,2,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS (1,780,730) | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK (25,125)",1805855
102,not started,Do they also have the worst drinking water problems?,4,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS (2,039) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS (117,672) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_FRACFOCUS_REGISTRY (7,200,550) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT (15,432,737)",22752998
103,not started,Do they still win federal contracts afterward?,3,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USCG_NRC_INCIDENTS (1,029,020) | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 (93,153,424) | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS (168,328)",94350772
104,not started,Do the same addresses show up behind multiple fatal crashes?,3,Y,"LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_EVENTS (30,968) | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT (31,503) | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY (315,447)",377918
105,not started,Do the same crossings get hit by trains again and again?,2,Y,"LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CROSSING_INCIDENTS (251,149) | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CASUALTIES (1,150,788)",1401937
106,not started,Are those same counties still struggling with opioids today?,3,Y,"LIBRARY_RAW.LANDING.FED_DEA_ARCOS_FULL (178,598,026) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY (53,387) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS (1,416,883)",180068296
107,not started,Did the biggest distributors in a state match who actually got sued?,2,Y,"LIBRARY_RAW.LANDING.FED_DEA_ARCOS_FULL (178,598,026) | LIBRARY_MARTS.LEGAL_ENFORCEMENT.LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS (882)",178598908
108,not started,Were they still being paid after their device got recalled?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_ENFORCEMENT (39,635) | LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_510K (175,686) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",15600368
109,not started,Do they have more reported deaths than devices reviewed the normal way?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_MAUDE (2,743,561) | LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_510K (175,686)",2919247
110,not started,Do the same doctors' prescribing costs jump right along with it?,3,Y,"LIBRARY_RAW.LANDING.FED_CMS_NADAC (1,497,925) | LIBRARY_MARTS.HEALTH.HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP (158,452) | LIBRARY_RAW.LANDING.FED_CMS_PARTD_PRESCRIBER_DRUG (25,869,521)",27525898
111,not started,Did their nearest full-service hospital shut down?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_IHS_FACILITIES (1,006) | LIBRARY_MARTS.HEALTH.HEALTH__FED_IHS_SCB_FACILITY (8,733) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER (44,429)",54168
112,not started,Do the ones with more retracted (fake or flawed) studies keep getting funded?,3,Y,"LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_NIH_REPORTER (2,122,611) | LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS (219,503) | LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_RETRACTION_WATCH (71,591)",2413705
113,not started,Are companies still paying doctors to promote them?,2,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_JPML_PENDING_MDLS (162) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",15385209
114,not started,Are they going uninspected for years at a time?,3,Y,"LIBRARY_MARTS.LABOR.LABOR__FED_OSHA_ITA_300A_SUMMARY_2024 (398,620) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_DOL_OSHA_INSPECTIONS (5,196,412) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW (3,619,437)",9214469
115,not started,Do accidents happen at their mines afterward?,2,Y,"LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_VIOLATIONS (3,087,265) | LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_ACCIDENTS (273,623)",3360888
116,not started,Do they pay the legal minimum wage and also rack up serious safety violations?,3,Y,"LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_DOL_OFLC (664,616) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_DOL_OSHA_INSPECTIONS (5,196,412) | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS (168,328)",6029356
117,not started,Did the same ones get hit with health and safety fines?,3,Y,"LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SBA_PPP (968,524) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS (14,425) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES (16,180)",999129
118,part done,Do the ones with the worst loan losses also have enforcement actions against them?,3,Y,"LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SBA_LOANS (2,174,502) | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS (10,838) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA (27,836)",2213176
119,not started,"How much do they get paid per day, per detained person?",3,Y,"LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_STINTS (2,571,975) | LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES (1,490) | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 (93,153,424)",95726889
120,not started,Do they also have high jail populations generally?,2,Y,"LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETAINERS (609,769) | LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS (128,507)",738276
121,not started,Are any of them U.S. doctors or political donors?,3,Y,"LIBRARY_MARTS.CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS (771,315) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS (283,771,819) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",299928181
122,not started,Are any of them under U.S. or international sanctions?,3,Y,"LIBRARY_MARTS.CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC (15,804,611) | LIBRARY_MARTS.JUSTICE.JUSTICE__INTL_OPENSANCTIONS_DEFAULT (1,281,846) | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN (19,114)",17105571
