table,happened_col,downstream_role,downstream_col,unit,n_rows,n_periods,median_lag,early_lag,late_lag,pct_reported_within_year,early_prompt_rate,late_prompt_rate,prompt_rate_shift,tail_buffer_years,completed_cases_only,pct_negative,pct_unreported,pct_slow,clocks_reversed,retroactive_archive,n_cohorts_comparable,strangeness,notes
JUSTICE.JUSTICE__FED_COURTLISTENER_POSITIONS,DATE_ELECTED,decided,DATE_NOMINATED,days,1728,38,,,,,,,0.0,2,False,0.0,1.0,0.0,False,False,0,0.6,100% never got a reported date at all
HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,PERIOD,reported,DATA_AS_OF,years,113142,6,,,,,,,0.0,2,False,0.0,1.0,0.0,False,False,0,0.6,100% never got a reported date at all
ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,PWS_DEACTIVATION_DATE,reported,SUBMISSIONYEARQUARTER,days,4164749,69,,,,,,,0.0,2,False,0.0,1.0,0.0,False,False,0,0.6,100% never got a reported date at all
ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ACTION_DATE,reported,INITIAL_REPORT_DATE,days,19902879,21,,,,,,,0.0,2,False,0.0,1.0,0.0,False,False,0,0.6,100% never got a reported date at all
JUSTICE.JUSTICE__FED_COURTLISTENER_DOCKETS,DATE_ARGUED,reported,DATE_FILED,days,236171,162,-322.0,,-371.0,,,,0.0,2,False,0.9985,0.9503,0.0003,True,False,12,0.57,clocks appear reversed: 'DATE_FILED' almost always precedes 'DATE_ARGUED'; 95% never got a reported date at all
HEALTH.HEALTH__FED_CDC_DATA_PORTAL,CREATED_AT,reported,PUBLICATION_DATE,days,1471,14,16.0,1517.0,0.0,0.7633,0.3242,0.8797,0.556,2,True,0.0,0.0,0.2067,False,False,10,0.556,"share reported within a year rose from 32% to 88% (cohorts up to 2024, waiting out a 2-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set"
ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_FACILITIES,FACILITY_DEACTIVATION_DATE,reported,FIRST_REPORTED_DATE,days,570319,126,2443.4,38340.0,-3851.84375,0.386,0.0,0.9647,0.965,10,False,0.422,0.7549,0.474,False,True,63,0.528,"42.2% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; 75% never got a reported date at all; share reported within a year rose from 0% to 96% (cohorts up to 2017, waiting out a 10-year tail); assembled retroactively: the earliest records were entered ~38340 days after the fact, recent ones ~3852 -- that is the archive being built, not reporting speeding up; 47% took more than a year to appear"
LABOR.LABOR__FED_PBGC_TRUSTEED_PLANS,DATE_OF_PLAN_TERMINATION,decided,DATE_OF_PBGC_TRUSTEESHIP,days,5176,55,365.5,899.0,124.0,0.4296,0.2645,0.7444,0.48,4,True,0.0043,0.0,0.5647,False,False,45,0.48,"share reported within a year rose from 26% to 74% (cohorts up to 2022, waiting out a 4-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; 56% took more than a year to appear"
ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_SE_VIOLATIONS,SINGLE_EVENT_VIOLATION_DATE,decided,RNC_DETECTION_DATE,days,305478,50,0.0,0.0,0.0,0.8168,0.9059,0.9281,0.022,2,False,0.0,0.7464,0.1686,False,False,38,0.448,75% never got a reported date at all
IMMIGRATION.IMMIGRATION__FED_ICE_DETAINERS,BIRTH_YEAR,reported,MSC_CHARGE_DATE,years,609729,95,27.999999999999996,,,0.0001,0.0,0.0,0.0,10,False,0.0,0.7218,0.9999,False,False,58,0.433,72% never got a reported date at all; 100% took more than a year to appear
ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,ACTION_DATE,reported,SOLICITATION_DATE,days,20000000,20,-93.0,-451.0,0.0,1.0,1.0,1.0,0.0,2,False,0.2558,0.7086,0.0,False,False,11,0.425,"25.6% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; 71% never got a reported date at all"
IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_STINTS,BIRTH_YEAR,reported,MSC_CHARGE_DATE,years,2571974,91,29.999999999999996,75.5,,0.0001,0.0,0.0,0.0,10,False,0.0,0.6875,0.9999,False,False,65,0.413,69% never got a reported date at all; 100% took more than a year to appear
JUSTICE.JUSTICE__INTL_UCDP_GED,YEAR,reported,SOURCE_DATE,years,385918,36,0.0,1.0,0.0,0.953,0.6041,0.9653,0.361,2,False,0.0,0.4528,0.0377,False,False,34,0.361,"share reported within a year rose from 60% to 97% (cohorts up to 2022, waiting out a 2-year tail)"
ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWS_DEACTIVATION_DATE,reported,FIRST_REPORTED_DATE,days,291116,83,-5084.0,31776.0,-10993.555555555555,,,,0.0,2,True,0.892,0.0,0.0258,True,False,49,0.35,clocks appear reversed: 'FIRST_REPORTED_DATE' almost always precedes 'PWS_DEACTIVATION_DATE'
ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS,ACTUAL_RTC_DATE,decided,DATE_VIOLATION_DETERMINED,days,697966,48,-69.0,-162.5,-49.0,,,,0.0,2,True,0.914,0.0001,0.0002,True,False,43,0.35,clocks appear reversed: 'DATE_VIOLATION_DETERMINED' almost always precedes 'ACTUAL_RTC_DATE'
JUSTICE.JUSTICE__FED_FJC_IDB_APPELLATE,HEARING_DATE,reported,DOCKET_DATE,days,146064,25,-372.4782608695652,-363.0,-374.50892857142856,,,,0.0,2,True,0.9937,0.0,0.0011,True,False,19,0.35,clocks appear reversed: 'DOCKET_DATE' almost always precedes 'HEARING_DATE'
ECONOMICS.ECONOMICS__FED_SBA_LOANS,FIRST_DISBURSEMENT_DATE,decided,APPROVAL_DATE,days,1869773,39,-38.0,-83.0,-26.0,,,,0.0,2,True,0.9271,0.0,0.0,True,False,37,0.35,clocks appear reversed: 'APPROVAL_DATE' almost always precedes 'FIRST_DISBURSEMENT_DATE'
JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,PRETRIAL_DATE,reported,FILE_DATE,days,813782,59,-151.80602040816325,23608.0,-129.90534979423867,,,,0.0,2,True,0.9814,0.0,0.0038,True,True,44,0.35,"clocks appear reversed: 'FILE_DATE' almost always precedes 'PRETRIAL_DATE'; assembled retroactively: the earliest records were entered ~23608 days after the fact, recent ones ~130 -- that is the archive being built, not reporting speeding up"
CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,INCORPORATION_DATE,decided,STRUCK_OFF_DATE,days,788448,123,1352.1604938271603,,-8460.0,0.0021,0.0293,0.0059,0.023,10,False,0.0003,0.5641,0.9978,False,False,68,0.338,56% never got a reported date at all; 100% took more than a year to appear
REFERENCE.REFERENCE__FED_ITIS_OTHER_SOURCES,ACQUISITION_DATE,reported,UPDATE_DATE,days,1071,31,285.0,3440.0,25.5,0.5903,0.6484,0.5675,0.081,2,True,0.0028,0.0,0.3716,False,True,4,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~3440 days after the fact, recent ones ~26 -- that is the archive being built, not reporting speeding up; 37% took more than a year to appear"
FINANCE.FINANCE__FED_NCUA_CALL_REPORTS_FOICU,YEAR_OPENED,decided,ISSUE_DATE,years,4306,110,0.0,36.0,0.0,0.9511,0.927,0.9461,0.019,2,True,0.0005,0.0,0.0513,False,True,32,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~36 years after the fact, recent ones ~0 -- that is the archive being built, not reporting speeding up"
HOUSING.HOUSING__FED_FHFA_NMDB,PERIOD_VALUE,reported,RELEASE_DATE,days,5328,28,5494.0,9877.0,745.0,0.0,0.0,0.0,0.0,10,True,0.0,0.0,0.991,False,True,18,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~9877 days after the fact, recent ones ~745 -- that is the archive being built, not reporting speeding up; 99% took more than a year to appear"
REFERENCE.REFERENCE__FED_ITIS_PUBLICATIONS,ACTUAL_PUB_DATE,reported,UPDATE_DATE,days,30772,265,9702.5,97043.0,347.0,0.0111,0.0,0.0462,0.046,10,True,0.0001,0.0,0.9734,False,True,150,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~97043 days after the fact, recent ones ~347 -- that is the archive being built, not reporting speeding up; 97% took more than a year to appear"
ECONOMICS.ECONOMICS__FED_DOL_FORM5500,PLAN_EFF_DATE,reported,DATE_RECEIVED,days,33066,104,4458.0,51273.0,803.5,0.0,0.0,0.0,0.0,10,True,0.0,0.0,0.9847,False,True,47,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~51273 days after the fact, recent ones ~804 -- that is the archive being built, not reporting speeding up; 98% took more than a year to appear"
HEALTH.HEALTH__FED_FDA_DEVICE_ENFORCEMENT,RECALL_INITIATION_DATE,reported,REPORT_DATE,days,39635,23,55.0,2180.5,48.0,0.9496,0.1875,0.9858,0.798,2,True,0.0002,0.0,0.0462,False,True,16,0.3,"share reported within a year rose from 19% to 99% (cohorts up to 2024, waiting out a 2-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~2180 days after the fact, recent ones ~48 -- that is the archive being built, not reporting speeding up"
JUSTICE.JUSTICE__INTL_EU_SANCTIONS,BIRT_DATE,reported,LEBA_PUBLICATION_DATE,days,3421,68,19233.0,31319.0,7117.5,0.0,0.0,0.0,0.0,10,True,0.0,0.0,1.0,False,True,29,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~31319 days after the fact, recent ones ~7118 -- that is the archive being built, not reporting speeding up; 100% took more than a year to appear"
POLITICS.POLITICS__IRS527_8872_REPORTS,ORG_FORMATION_DATE,reported,INSERT_DATETIME,days,55579,98,1600.5666666666666,46514.0,278.5,0.1035,0.0,0.209,0.209,10,True,0.0001,0.0,0.8601,False,True,61,0.3,"share reported within a year rose from 0% to 21% (cohorts up to 2016, waiting out a 10-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~46514 days after the fact, recent ones ~278 -- that is the archive being built, not reporting speeding up; 86% took more than a year to appear"
FINANCE.FINANCE__FED_SEC_EDGAR_INSIDERS,PERIOD_OF_REPORT,reported,FILING_DATE,days,69259,17,2.0,7345.0,2.0,,,,0.0,2,True,0.0,0.0,0.0053,False,True,1,0.3,"assembled retroactively: the earliest records were entered ~7345 days after the fact, recent ones ~2 -- that is the archive being built, not reporting speeding up"
REFERENCE.REFERENCE__FED_ITIS_COMMENTS,COMMENT_TIME_STAMP,reported,UPDATE_DATE,days,70524,31,0.0,3193.9999999999995,0.0,0.8582,0.422,0.9881,0.566,2,True,0.0,0.0,0.136,False,True,27,0.3,"share reported within a year rose from 42% to 99% (cohorts up to 2024, waiting out a 2-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~3194 days after the fact, recent ones ~0 -- that is the archive being built, not reporting speeding up"
POLITICS.POLITICS__IRS527_8871_ORGS,ESTABLISHED_DATE,reported,INSERT_DATETIME,days,70767,139,27.0,73802.0,1.0,0.6739,0.0,0.833,0.833,4,True,0.0003,0.0016,0.2871,False,True,51,0.3,"share reported within a year rose from 0% to 83% (cohorts up to 2022, waiting out a 4-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~73802 days after the fact, recent ones ~1 -- that is the archive being built, not reporting speeding up; 29% took more than a year to appear"
POLITICS.POLITICS__CA_LOBBY_CHG_LOG,EFFECT_DT,reported,LOG_DT,days,74491,36,10.25,37213.0,-6180.0,0.9841,0.9391,0.9968,0.058,2,True,0.0835,0.0003,0.0165,False,True,28,0.3,"8.3% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~37213 days after the fact, recent ones ~6180 -- that is the archive being built, not reporting speeding up"
ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS,YEAR_COMPLETED,reported,DATA_LAST_UPDATED,years,73709,254,59.0,326.0,1.0,0.0,0.0,0.0,0.0,10,True,0.0,0.0,0.9992,False,True,129,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~326 years after the fact, recent ones ~1 -- that is the archive being built, not reporting speeding up; 100% took more than a year to appear"
REFERENCE.REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS,ESTABLISHED_YEAR,reported,RECORD_CREATED_DATE,years,108761,325,30.0,317.0,1.0,0.0,0.0,0.0,0.0,10,True,0.0003,0.0,0.9942,False,True,177,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~317 years after the fact, recent ones ~1 -- that is the archive being built, not reporting speeding up; 99% took more than a year to appear"
HEALTH.HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES,SURVEY_DATE,reported,PROCESSING_DATE,days,200030,11,692.4576285463979,2823.3333333333335,381.99999999999994,0.0,0.0,0.0,0.0,3,True,0.0,0.0,0.8425,False,True,7,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~2823 days after the fact, recent ones ~382 -- that is the archive being built, not reporting speeding up; 84% took more than a year to appear"
TRANSPORT.TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY,YEAR_MFR,decided,CERT_ISSUE_DATE,years,245900,115,40.0,85.0,0.0,0.0646,0.0,0.3721,0.372,10,True,0.0159,0.0162,0.8546,False,True,89,0.3,"share reported within a year rose from 0% to 37% (cohorts up to 2016, waiting out a 10-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~85 years after the fact, recent ones ~0 -- that is the archive being built, not reporting speeding up; 85% took more than a year to appear"
HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,SURVEY_DATE,reported,PROCESSING_DATE,days,418479,10,703.9672421747891,2502.9999999999995,369.92257250945755,0.0,0.0,0.0,0.0,3,True,0.0,0.0,0.7943,False,True,7,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~2503 days after the fact, recent ones ~370 -- that is the archive being built, not reporting speeding up; 79% took more than a year to appear"
FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION,PERIOD_OF_REPORT,reported,FILING_DATE,days,1772065,34,2.0,11694.0,2.0,0.9931,0.0,0.996,0.996,2,True,0.0,0.0,0.006,False,True,18,0.3,"share reported within a year rose from 0% to 100% (cohorts up to 2023, waiting out a 2-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~11694 days after the fact, recent ones ~2 -- that is the archive being built, not reporting speeding up"
HEALTH.HEALTH__FED_HRSA_NPDB,GRAD_YEAR,reported,ORIG_YEAR,years,1640256,13,22.0,110.0,15.000000000000004,0.0045,0.0,0.0082,0.008,10,True,0.0001,0.0,0.9935,False,True,11,0.3,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~110 years after the fact, recent ones ~15 -- that is the archive being built, not reporting speeding up; 99% took more than a year to appear"
SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_NIH_REPORTER,FISCAL_YEAR,reported,DATE_ADDED,years,2122611,27,0.0,10.0,0.0,0.6028,0.0,0.9987,0.999,2,True,0.0242,0.0,0.3739,False,True,25,0.3,"2.4% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; share reported within a year rose from 0% to 100% (cohorts up to 2024, waiting out a 2-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~10 years after the fact, recent ones ~0 -- that is the archive being built, not reporting speeding up; 37% took more than a year to appear"
CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,FAIL_DATE,reported,DATE_RECEIVED,days,2117711,93,22.0,38622.0625,10.022123893805311,0.8514,0.0,0.923,0.923,2,True,0.0003,0.0,0.139,False,True,42,0.3,"share reported within a year rose from 0% to 92% (cohorts up to 2024, waiting out a 2-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~38622 days after the fact, recent ones ~10 -- that is the archive being built, not reporting speeding up"
ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS,VISIT_DATE,reported,FIRST_REPORTED_DATE,days,2495234,113,109.99999999999999,36166.0,105.94537703170793,0.5788,0.0,0.8691,0.869,3,True,0.0005,0.0,0.4002,False,True,55,0.3,"share reported within a year rose from 0% to 87% (cohorts up to 2023, waiting out a 3-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~36166 days after the fact, recent ones ~106 -- that is the archive being built, not reporting speeding up; 40% took more than a year to appear"
HEALTH.HEALTH__FED_FDA_MAUDE,DATE_OF_EVENT,reported,DATE_RECEIVED,days,2379083,61,25.0,43751.5,-1162.0,0.9207,0.0,0.9859,0.986,2,True,0.001,0.0,0.0794,False,True,29,0.3,"share reported within a year rose from 0% to 99% (cohorts up to 2024, waiting out a 2-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~43752 days after the fact, recent ones ~1162 -- that is the archive being built, not reporting speeding up"
JUSTICE.JUSTICE__FED_FJC_IDB_CRIMINAL,PROCEEDING_DATE,reported,FILE_DATE,days,6299908,78,0.0,26228.0,0.0,0.9993,1.0,0.9997,0.0,2,True,0.1483,0.0,0.0007,False,True,66,0.3,"14.8% reported BEFORE they happened -- impossible, so one clock is mislabelled or misparsed; CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; assembled retroactively: the earliest records were entered ~26228 days after the fact, recent ones ~0 -- that is the archive being built, not reporting speeding up"
CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_IE_CRO,INCORPORATION_DATE,reported,FINANCIAL_YEAR_END,days,805501,165,3492.942222222223,,314.0,0.0258,0.0,0.033,0.033,10,False,0.0001,0.3854,0.9542,False,False,75,0.231,95% took more than a year to appear
SCIENCE_RESEARCH.SCIENCE_RESEARCH__XC_RETRACTION_WATCH_DATABASE,ORIGINAL_PAPER_DATE,decided,RETRACTION_DATE,days,71388,79,600.5925925925926,1270.0,258.88888888888886,0.4151,0.1706,0.3244,0.154,5,True,0.0,0.0,0.6037,False,False,32,0.154,"share reported within a year rose from 17% to 32% (cohorts up to 2021, waiting out a 5-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; 60% took more than a year to appear"
SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_RETRACTION_WATCH,ORIGINAL_PAPER_DATE,decided,RETRACTION_DATE,days,71377,79,600.625,1270.0,258.88888888888886,0.4151,0.1706,0.3244,0.154,5,True,0.0,0.0,0.6037,False,False,32,0.154,"share reported within a year rose from 17% to 32% (cohorts up to 2021, waiting out a 5-year tail); CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; 60% took more than a year to appear"
JUSTICE.JUSTICE__FED_SCDB,DATE_ARGUMENT,decided,DATE_DECISION,days,74160,82,82.5,55.5,92.0,0.9892,0.9356,1.0,0.064,2,True,0.0,0.0,0.0108,False,False,79,0.064,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set"
ENVIRONMENT.ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS,INCIDENT_YEAR,reported,REPORT_RECEIVED_DATE,years,2039,17,0.0,0.0,0.0,0.9935,0.9806,1.0,0.019,2,True,0.0,0.0,0.0059,False,False,15,0.019,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set"
PROCUREMENT.PROCUREMENT__INTL_EC_SERCOP,CONTRACT_DATE_SIGNED,reported,RECORD_DATE,days,13543,4,175.49107142857144,222.0,175.49107142857144,,,,0.0,2,True,0.01,0.0,0.0366,False,False,1,0.013,
HEALTH.HEALTH__FED_FDA_DRUG_ENFORCEMENT,RECALL_INITIATION_DATE,reported,REPORT_DATE,days,17816,19,43.0,704.5,28.0,0.9864,0.9893,0.985,0.004,2,True,0.0,0.0,0.0144,False,False,13,0.004,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set"
POLITICS.POLITICS__FED_FJC_JUDGES,BIRTH_YEAR,decided,NOMINATION_DATE_1,years,4065,254,51.0,57.5,35.0,0.0,0.0,0.0,0.0,10,True,0.0,0.0027,1.0,False,False,11,0.002,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set; 100% took more than a year to appear"
ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_CS_VIOLATIONS,ACTUAL_DATE,reported,REPORT_RECEIVED_DATE,days,75535,47,0.0,0.0,0.0,0.9937,1.0,0.9986,0.001,2,True,0.0,0.0,0.0059,False,False,41,0.001,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set"
ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS,ACTUAL_DATE,reported,REPORT_RECEIVED_DATE,days,331294,53,0.0,0.0,0.0,0.9976,1.0,0.999,0.001,2,True,0.0,0.0,0.0023,False,False,41,0.001,"CAUTION: every row here already has its downstream date, so the table holds only finished cases -- the recent cohorts are a survivor set"
LABOR.LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,DATE_OF_INCIDENT,reported,YEAR_FILING_FOR,years,890934,3,0.0,1.0,-1.0,,,,0.0,2,True,0.0006,0.0,0.0,False,False,0,0.001,
