rank,weirdness,top_shape,table,column,clock,span,n_rows,notes
18,1.0,spike,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS,LAST_REPORTED_DATE,reported,1995-07-01 to 2026-06-01,578198,"spike: 1995-07-01 is 519x the median period; level_shift: step change at 2022-08-01; seasonal: peaks in month 7, 59.4x the quietest"
19,1.0,spike,ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_STACK_TESTS,ACTUAL_END_DATE,happened,1955-03-01 to 2026-07-01,620291,gaps: 226 of 864 periods empty; explosion: recent periods at 9.3x the historical norm; spike: 2024-06-01 is 45x the median period; level_shift: step change at 1980-01-01
20,1.0,explosion,CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,INCORPORATION_DATE,happened,1865-10-01 to 2029-04-01,788448,gaps: 781 of 1980 periods empty; explosion: recent periods at 49.8x the historical norm; spike: 2000-01-01 is 86x the median period; level_shift: step change at 1933-09-01
21,1.0,explosion,CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_IE_CRO,INCORPORATION_DATE,happened,1753-01-01 to 2026-08-01,805501,gaps: 1741 of 3288 periods empty; explosion: recent periods at 93.1x the historical norm; spike: 2026-06-01 is 78x the median period; level_shift: step change at 1923-09-01
22,1.0,spike,LABOR.LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,DATE_OF_INCIDENT,happened,2022-02-01 to 2024-12-01,890934,collapse: recent periods at 19% of the historical norm; spike: 2023-08-01 is 3052x the median period; level_shift: step change at 2022-08-01
23,1.0,sudden_start,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES,SAMPLING_START_DATE,span_start,1991-07-01 to 2026-01-01,927415,"sudden_start: opens at 3.7x its own median; spike: 1993-07-01 is 4236x the median period; seasonal: peaks in month 1, 3951.5x the quietest"
24,1.0,collapse,ECONOMICS.ECONOMICS__FED_SBA_PPP,DATE_APPROVED,decided,2020-04-01 to 2021-07-01,968524,pile_up: 57% of all rows in 2020-04-01; gaps: 11 of 24 periods empty; sudden_stop: nothing after 2021-07-01; collapse: recent periods at 0% of the historical norm; sudden_start: opens at 48.6x its own median; spike: 2020-04-01 is 49x the median period; level_shift: step change at 2021-05-01
25,1.0,collapse,FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS,TRANS_DATE,happened,2000-04-01 to 2047-06-01,1049116,"gaps: 324 of 576 periods empty; collapse: recent periods at 1% of the historical norm; spike: 2017-02-01 is 247x the median period; level_shift: step change at 2008-07-01; seasonal: peaks in month 2, 2.7x the quietest"
26,1.0,sudden_start,ECONOMICS.ECONOMICS__FED_IRS_REVOCATION,REVOCATION_DATE,decided,2010-05-01 to 2026-03-01,1187367,"sudden_start: opens at 3.7x its own median; spike: 2010-05-01 is 301x the median period; level_shift: step change at 2012-06-01; seasonal: peaks in month 5, 109.6x the quietest"
27,1.0,sudden_start,ECONOMICS.ECONOMICS__FED_IRS_AUTO_REVOCATIONS,REVOCATION_DATE,decided,2010-05-01 to 2026-05-01,1207295,"sudden_start: opens at 3.6x its own median; spike: 2010-05-01 is 300x the median period; level_shift: step change at 2012-06-01; seasonal: peaks in month 5, 105.9x the quietest"
28,1.0,spike,REFERENCE.REFERENCE__FED_USGS_GNIS_ALL_NAMES,PUBLICATION_DATE,reported,1700-12-01 to 2023-03-01,989023,"pile_up: 78% of all rows in 1981-12-01; gaps: 2690 of 3888 periods empty; sudden_stop: nothing after 2023-03-01; explosion: recent periods at 6.5x the historical norm; sudden_start: opens at 1.6x its own median; spike: 1981-12-01 is 153890x the median period; level_shift: step change at 1973-12-01; seasonal: peaks in month 12, 213.6x the quietest"
29,1.0,collapse,JUSTICE.JUSTICE__INTL_OPENSANCTIONS_DEFAULT,BIRTH_DATE,happened,1900-01-01 to 2068-07-01,459511,gaps: 647 of 2028 periods empty; collapse: recent periods at 1% of the historical norm; level_shift: step change at 2005-03-01
30,1.0,explosion,FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION,PERIOD_OF_REPORT,happened,1982-04-01 to 2025-03-01,1772065,gaps: 252 of 528 periods empty; explosion: recent periods at 1026.6x the historical norm; spike: 2021-02-01 is 838x the median period; level_shift: step change at 2005-12-01
31,1.0,explosion,ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS,ACTUAL_BEGIN_DATE,span_start,1917-09-01 to 2026-07-01,983896,gaps: 691 of 1320 periods empty; explosion: recent periods at 66.1x the historical norm; spike: 2023-06-01 is 16x the median period; level_shift: step change at 1993-09-01
32,1.0,collapse,JUSTICE.JUSTICE__FED_COURTLISTENER_INVESTMENTS,TRANSACTION_DATE,happened,1969-12-01 to 2022-12-01,686226,gaps: 414 of 648 periods empty; sudden_stop: nothing after 2022-12-01; collapse: recent periods at 2% of the historical norm; level_shift: step change at 2011-01-01
33,1.0,collapse,FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS,TRANSACTION_DATE,happened,1987-10-01 to 2047-05-01,2672825,"gaps: 450 of 732 periods empty; collapse: recent periods at 2% of the historical norm; spike: 2021-02-01 is 1128x the median period; level_shift: step change at 2008-10-01; seasonal: peaks in month 3, 2.8x the quietest"
34,1.0,spike,HEALTH.HEALTH__FED_FDA_MAUDE,DATE_OF_EVENT,happened,1900-01-01 to 2026-06-01,2379083,gaps: 1111 of 1524 periods empty; collapse: recent periods at 17% of the historical norm; spike: 2021-03-01 is 4548x the median period; level_shift: step change at 2006-01-01
35,1.0,spike,HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,APPLIED_DATE,reported,2000-01-01 to 2026-08-01,3079994,"sudden_start: opens at 1.9x its own median; spike: 2017-09-01 is 151x the median period; seasonal: peaks in month 9, 21.2x the quietest"
36,1.0,spike,CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_RELATIONSHIPS,START_DATE,span_start,1759-12-01 to 2103-06-01,703997,gaps: 3327 of 4140 periods empty; spike: 2005-06-01 is 71x the median period; level_shift: step change at 1964-12-01
37,1.0,explosion,CORPORATE_REGISTRY.CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,INCORPORATION_DATE,happened,1701-06-01 to 2026-06-01,5734749,gaps: 2025 of 3912 periods empty; explosion: recent periods at 480.2x the historical norm; spike: 2026-03-01 is 1284x the median period; level_shift: step change at 1888-11-01
38,1.0,spike,HEALTH.HEALTH__FED_FDA_FAERS_DEMO,EVENT_DT,happened,1908-07-01 to 2102-12-01,4580842,gaps: 1794 of 2340 periods empty; collapse: recent periods at 6% of the historical norm; spike: 2012-05-01 is 5899x the median period; level_shift: step change at 1976-05-01
39,1.0,explosion,JUSTICE.JUSTICE__FED_FJC_IDB_BANKRUPTCY,FILE_DATE,reported,1950-06-01 to 2026-03-01,6965441,gaps: 385 of 924 periods empty; explosion: recent periods at 1937.9x the historical norm; spike: 2023-08-01 is 1636x the median period; level_shift: step change at 2007-01-01
40,1.0,collapse,CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,DOB_YEAR,happened,1775 to 2086,6489396,gaps: 184 of 312 periods empty; collapse: recent periods at 1% of the historical norm; spike: 1980 is 21x the median period; level_shift: step change at 1916
41,1.0,explosion,JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DATE_FILED,decided,1700-05-01 to 2028-04-01,10069866,explosion: recent periods at 20.9x the historical norm; spike: 2021-03-01 is 24x the median period; level_shift: step change at 1782-01-01
42,1.0,collapse,POLITICS.POLITICS__INTL_ELECTIONS_CANADA_CONTRIBUTIONS,CONTRIBUTION_RECEIVED_DATE,happened,1900-01-01 to 2106-11-01,12600637,"gaps: 2100 of 2484 periods empty; collapse: recent periods at 0% of the historical norm; level_shift: step change at 2029-02-01; seasonal: peaks in month 12, 2.4x the quietest"
43,1.0,spike,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,COMPL_PER_BEGIN_DATE,span_start,1900-01-01 to 2026-06-01,14430187,"gaps: 900 of 1524 periods empty; spike: 2005-01-01 is 37x the median period; level_shift: step change at 1982-06-01; seasonal: peaks in month 1, 19.9x the quietest"
44,1.0,explosion,JUSTICE.JUSTICE__FED_COURTLISTENER_DOCKETS,DATE_FILED,reported,1871-10-01 to 2079-11-01,62556368,gaps: 1418 of 2508 periods empty; explosion: recent periods at 128.0x the historical norm; spike: 2005-10-01 is 194x the median period; level_shift: step change at 1947-06-01
45,1.0,explosion,FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,TRANSACTION_DATE,happened,2000-01-01 to 2036-03-01,84171526,"gaps: 348 of 444 periods empty; explosion: recent periods at 39.0x the historical norm; spike: 2024-10-01 is 66238x the median period; level_shift: step change at 2020-08-01; seasonal: peaks in month 10, 4.4x the quietest"
46,0.997,spike,REFERENCE.REFERENCE__FED_ITIS_TU_COMMENTS_LINKS,UPDATE_DATE,reported,1996-06-01 to 2026-07-01,192851,"gaps: 103 of 372 periods empty; spike: 2015-03-01 is 335x the median period; level_shift: step change at 2022-01-01; seasonal: peaks in month 12, 17.8x the quietest"
47,0.995,explosion,CONSUMER_PROTECTION.CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,DATE_RECEIVED,reported,2011-12-01 to 2026-07-01,17168287,explosion: recent periods at 23.7x the historical norm; spike: 2026-06-01 is 33x the median period; level_shift: step change at 2013-10-01
48,0.994,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC,COMPL_PER_BEGIN_DATE,span_start,1992-06-01 to 2026-05-01,387627,"gaps: 90 of 420 periods empty; spike: 2011-01-01 is 33x the median period; level_shift: step change at 2002-05-01; seasonal: peaks in month 1, 16.2x the quietest"
49,0.983,spike,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,FIRST_REPORTED_DATE,reported,1979-02-01 to 2026-06-01,434040,"collapse: recent periods at 51% of the historical norm; sudden_start: opens at 1.7x its own median; spike: 1981-01-01 is 284x the median period; level_shift: step change at 1985-10-01; seasonal: peaks in month 1, 12.3x the quietest"
50,0.982,spike,REFERENCE.REFERENCE__FED_ITIS_TAXONOMIC_UNITS,INITIAL_TIME_STAMP,reported,1996-06-01 to 2026-07-01,993346,"gaps: 86 of 372 periods empty; spike: 1996-06-01 is 168x the median period; level_shift: step change at 2000-12-01; seasonal: peaks in month 6, 12.0x the quietest"
51,0.98,sudden_start,ENVIRONMENT.ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,REPORTING_YEAR,happened,2008 to 2024,10411826,gaps: 4 of 17 periods empty; sudden_start: opens at 16.8x its own median; spike: 2020 is 20x the median period; level_shift: step change at 2021
52,0.972,level_shift,CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_IRS_EO_BMF,RULING_DATE,decided,1900-01-01 to 2026-06-01,1971976,explosion: recent periods at 8.4x the historical norm; spike: 1946-03-01 is 31x the median period; level_shift: step change at 1927-03-01
53,0.971,seasonal,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_FACILITIES,FIRST_REPORTED_DATE,reported,2005-10-01 to 2026-06-01,704646,"spike: 2009-05-01 is 31x the median period; level_shift: step change at 2010-01-01; seasonal: peaks in month 12, 34.4x the quietest"
54,0.969,level_shift,IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_STINTS,BIRTH_YEAR,happened,1930 to 2025,2571974,collapse: recent periods at 12% of the historical norm; spike: 1997 is 18x the median period; level_shift: step change at 1946
55,0.968,seasonal,ECONOMICS.ECONOMICS__FED_IRS_990_EFILE_INDEX,SUB_DATE,reported,2017-01-01 to 2026-01-01,5544625,"gaps: 59 of 120 periods empty; explosion: recent periods at 9.2x the historical norm; spike: 2025-01-01 is 19x the median period; level_shift: step change at 2022-01-01; seasonal: peaks in month 1, 19.8x the quietest"
56,0.952,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_TITLEV_CERTS,ACTUAL_END_DATE,reported,1916-02-01 to 2026-07-01,493105,"gaps: 985 of 1332 periods empty; level_shift: step change at 2001-04-01; seasonal: peaks in month 1, 7.3x the quietest"
57,0.941,spike,REFERENCE.REFERENCE__FED_ITIS_JURISDICTION,UPDATE_DATE,reported,1997-10-01 to 2026-07-01,161922,"gaps: 125 of 360 periods empty; spike: 2000-03-01 is 131x the median period; level_shift: step change at 2022-01-01; seasonal: peaks in month 3, 6.3x the quietest"
58,0.933,level_shift,PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS,ACTIVATION_DATE,span_start,1908-04-01 to 2099-12-01,156912,gaps: 1788 of 2304 periods empty; level_shift: step change at 1989-03-01
59,0.933,level_shift,SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS,PROPOSAL_AWARD_DATE,decided,1905-07-01 to 2026-12-01,112951,"gaps: 1139 of 1464 periods empty; level_shift: step change at 2002-04-01; seasonal: peaks in month 8, 2.9x the quietest"
60,0.924,level_shift,EDUCATION.EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,DATE_RANGE_START,span_start,2018-05-01 to 2026-08-01,1562870,"spike: 2024-04-01 is 14x the median period; level_shift: step change at 2019-05-01; seasonal: peaks in month 10, 5.3x the quietest"
61,0.922,level_shift,HEALTH.HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP,UPLOAD_DATE,reported,2006-07-01 to 2026-08-01,158452,"explosion: recent periods at 7.9x the historical norm; spike: 2025-11-01 is 25x the median period; level_shift: step change at 2009-11-01; seasonal: peaks in month 12, 2.3x the quietest"
62,0.907,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_INFORMAL_ACTIONS,ACHIEVED_DATE,decided,1900-01-01 to 2104-11-01,175499,gaps: 1818 of 2460 periods empty; level_shift: step change at 1980-08-01
63,0.904,spike,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_RECALLS,NOTIFICATION_DATE,happened,1980-12-01 to 2027-08-01,238960,"gaps: 371 of 576 periods empty; spike: 2021-03-01 is 37x the median period; level_shift: step change at 2020-05-01; seasonal: peaks in month 3, 3.6x the quietest"
64,0.903,spike,REFERENCE.REFERENCE__FED_ITIS_TAXON_AUTHORS_LKP,UPDATE_DATE,reported,1996-06-01 to 2026-07-01,214445,"gaps: 89 of 372 periods empty; spike: 1996-06-01 is 47x the median period; seasonal: peaks in month 3, 4.4x the quietest"
65,0.893,spike,HEALTH.HEALTH__FED_HRSA_SHORTAGE_AREAS,HPSA_DESIGNATION_DATE,decided,1970-01-01 to 2026-06-01,165531,"spike: 2019-08-01 is 34x the median period; level_shift: step change at 2017-06-01; seasonal: peaks in month 3, 2.8x the quietest"
66,0.891,spike,REFERENCE.REFERENCE__FED_ITIS_SYNONYM_LINKS,UPDATE_DATE,reported,1996-06-01 to 2026-07-01,315254,"gaps: 86 of 372 periods empty; spike: 1996-06-01 is 63x the median period; seasonal: peaks in month 6, 4.0x the quietest"
67,0.882,spike,REFERENCE.REFERENCE__FED_ITIS_VERNACULARS,UPDATE_DATE,reported,1997-08-01 to 2026-07-01,166778,"gaps: 113 of 360 periods empty; explosion: recent periods at 5.9x the historical norm; spike: 2003-05-01 is 60x the median period; level_shift: step change at 2002-12-01; seasonal: peaks in month 2, 3.7x the quietest"
68,0.874,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO,DATE_LAST_INSPECTION,happened,1908-07-01 to 2026-06-01,565447,gaps: 828 of 1428 periods empty; explosion: recent periods at 4.7x the historical norm; level_shift: step change at 1982-10-01
69,0.869,sudden_start,TRANSPORT.TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS,DATE,happened,1975-01-01 to 2026-05-01,224940,sudden_start: opens at 3.5x its own median; level_shift: step change at 1981-06-01
70,0.867,level_shift,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,FAIL_DATE,happened,1900-01-01 to 2026-07-01,2117711,gaps: 849 of 1524 periods empty; explosion: recent periods at 4.6x the historical norm; level_shift: step change at 1991-01-01
71,0.865,level_shift,FINANCE.FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS,ACTUAL_BEGIN_DATE,span_start,1958-05-01 to 2026-07-01,260480,gaps: 455 of 828 periods empty; level_shift: step change at 1999-05-01
72,0.861,sudden_start,TRANSPORT.TRANSPORT__FED_FRA_CROSSING_INCIDENTS,DATE,happened,1975-01-01 to 2026-05-01,251139,collapse: recent periods at 56% of the historical norm; sudden_start: opens at 3.5x its own median; level_shift: step change at 1982-03-01
73,0.858,level_shift,JUSTICE.JUSTICE__FED_COURTLISTENER_FJC_IDB_CL_LINKED,DATE_FILED,reported,1901-01-01 to 2022-03-01,10323280,gaps: 771 of 1464 periods empty; sudden_stop: nothing after 2022-03-01; level_shift: step change at 1971-09-01
74,0.854,level_shift,JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,FILE_DATE,reported,1901-01-01 to 2026-03-01,10857396,gaps: 778 of 1512 periods empty; level_shift: step change at 1972-08-01
75,0.853,level_shift,JUSTICE.JUSTICE__FED_FJC_IDB_APPELLATE,DOCKET_DATE,reported,1967-02-01 to 2026-03-01,988183,gaps: 368 of 720 periods empty; level_shift: step change at 2000-08-01
76,0.842,level_shift,JUSTICE.JUSTICE__FED_FJC_IDB_CRIMINAL,FILE_DATE,reported,1904-03-01 to 2026-04-01,6299908,gaps: 699 of 1476 periods empty; explosion: recent periods at 4.2x the historical norm; level_shift: step change at 1969-08-01
77,0.832,level_shift,EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND,WEEK_START_DATE,span_start,2018-05-01 to 2026-08-01,298884,"level_shift: step change at 2019-05-01; seasonal: peaks in month 10, 2.8x the quietest"
78,0.828,level_shift,HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,SURVEY_DATE,happened,2017-03-01 to 2026-05-01,418479,explosion: recent periods at 5.4x the historical norm; level_shift: step change at 2018-05-01
79,0.823,level_shift,ENVIRONMENT.ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS,DATA_FILE_DATE,reported,2019-07-01 to 2022-12-01,117672,gaps: 32 of 48 periods empty; sudden_stop: nothing after 2022-12-01; spike: 2022-05-01 is 14x the median period; level_shift: step change at 2021-07-01
80,0.821,gaps,REFERENCE.REFERENCE__FED_ITIS_GEOGRAPHIC_DIV,UPDATE_DATE,reported,1900-01-01 to 2026-07-01,480351,"gaps: 1252 of 1524 periods empty; spike: 1996-11-01 is 29x the median period; seasonal: peaks in month 11, 3.3x the quietest"
81,0.82,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS,VISIT_DATE,happened,1900-01-01 to 2026-06-01,2495234,gaps: 610 of 1524 periods empty; level_shift: step change at 1972-05-01
82,0.794,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_EVALUATIONS,EVALUATION_START_DATE,happened,1901-05-01 to 2026-07-01,1166393,gaps: 943 of 1512 periods empty; level_shift: step change at 1985-02-01
83,0.757,seasonal,FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS,FILING_DATE,reported,2013-05-01 to 2026-05-01,336124,"seasonal: peaks in month 2, 56.0x the quietest"
84,0.756,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS,DATE_VIOLATION_DETERMINED,decided,1901-02-01 to 2026-07-01,708077,gaps: 948 of 1512 periods empty; level_shift: step change at 1985-06-01
85,0.755,level_shift,HEALTH.HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES,SURVEY_DATE,happened,2016-07-01 to 2026-05-01,200030,level_shift: step change at 2018-03-01
86,0.74,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS,SETTLEMENT_ENTERED_DATE,decided,1970-09-01 to 2026-07-01,109481,level_shift: step change at 1983-05-01
87,0.734,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,ACHIEVED_DATE,decided,1969-01-01 to 2029-06-01,472507,level_shift: step change at 1985-08-01
88,0.731,sudden_stop,HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC,AS_OF_YEAR,happened,2015 to 2017,19136434,sudden_stop: nothing after 2017
89,0.722,level_shift,REFERENCE.REFERENCE__FED_ITIS_REFERENCE_LINKS,UPDATE_DATE,reported,1996-11-01 to 2026-07-01,1970107,gaps: 102 of 372 periods empty; spike: 2003-01-01 is 25x the median period; level_shift: step change at 2001-12-01
90,0.721,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_ENFORCEMENTS,ENFORCEMENT_ACTION_DATE,decided,1887-03-01 to 2026-07-01,383513,gaps: 1118 of 1680 periods empty; level_shift: step change at 1985-08-01
91,0.716,seasonal,SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_NIH_REPORTER,AWARD_NOTICE_DATE,decided,1999-10-01 to 2026-08-01,1858660,"seasonal: peaks in month 8, 26.6x the quietest"
92,0.71,level_shift,ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FORMAL_ACTIONS,SETTLEMENT_ENTERED_DATE,decided,1972-10-01 to 2026-07-01,105968,level_shift: step change at 1981-01-01
93,0.708,level_shift,TRANSPORT.TRANSPORT__FED_FAA_REGISTRY,YEAR_MFR,happened,1909 to 2026,246006,level_shift: step change at 1926
