schema	table	column	type	regex_tag	regex_verdict	real_tag	real_tier	real_verdict	sampled	filled	distinct	regex_shape_pct	real_shape_pct	value_looks_like	name_hint	names_holds	fips_level	examples
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	PRODUCT_CODE_2	TEXT						2000	2000	97							"[""0"", ""938"", ""1807""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	PRODUCT_CODE_3	TEXT						2000	2000	10							"[""0"", ""380"", ""676""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	ALCOHOL_INVOLVED	TEXT						2000	529	2							"[""0"", ""1""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	DRUG_INVOLVED	TEXT						2000	529	2							"[""0"", ""1""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	NARRATIVE	TEXT						2000	356	356							"[""FELL DOWN STAIRSDX: SPRAIN ANKLE"", ""36 YOWF FELL OUT OF BED. DX. DORSAL STRAIN"", ""10 YOF RUNNING THRU A DOOR AND JAMBBED HER FINGER INTOTHE DOOR-DX LT HAND INJURY""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	STRATUM	TEXT						2000	2000	5							"[""S"", ""C"", ""M""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	STATISTICAL_WEIGHT	FLOAT						2000	2000	318							"[""105.0408"", ""7.5201"", ""78.1602""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	_LOADED_AT	TIMESTAMP_NTZ						2000	2000	27							"[""2026-07-27 15:44:23.444518"", ""2026-07-27 15:44:07.062660"", ""2026-07-27 15:43:38.094411""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	_SOURCE_RUN_ID	TEXT						2000	2000	27							"[""dcded66b-a009-4456-848e-35a9c1b8bfbd"", ""f10ab853-9ef1-4a54-abd6-321047f780e0"", ""e965c2b8-a8c8-4d67-bcf1-9e1423ffe044""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	CMPLID	TEXT						2000	2000	2000							"[""1733033"", ""1733034"", ""1733035""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	ODINO	TEXT						2000	2000	1383							"[""11402502"", ""11402503"", ""11402504""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	MFR_NAME	TEXT	ORG_NAME	PASS	NAME	PROBABILISTIC	PASS	2000	2000	42					organizations		"[""Forest River, Inc."", ""General Motors, LLC"", ""Ford Motor Company""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	MAKE	TEXT						2000	2000	60							"[""FOREST RIVER"", ""CHEVROLET"", ""FORD""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	MODEL	TEXT						2000	2000	333							"[""COACHMEN"", ""EQUINOX"", ""EDGE""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	MODEL_YEAR	FLOAT						2000	2000	38							"[""2021.0"", ""2015.0"", ""2011.0""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	COMPONENT	TEXT						2000	2000	132							"[""STEERING"", ""VISIBILITY/WIPER"", ""SERVICE BRAKES""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	CRASH	TEXT						2000	2000	2							"[""N"", ""Y""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	FIRE	TEXT						2000	2000	2							"[""N"", ""Y""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	INJURED	NUMBER						2000	2000	4							"[""0"", ""2"", ""1""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	DEATHS	NUMBER						2000	2000	2							"[""0"", ""9""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	FAIL_DATE	DATE						2000	1937	358							"[""2020-12-22"", ""2021-02-25"", ""2020-08-14""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	DATE_RECEIVED	DATE						2000	2000	11							"[""2021-03-11"", ""1999-09-23"", ""2021-03-12""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	MILES	NUMBER						2000	1508	497							"[""1500"", ""81025"", ""104348""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	OCCURRENCES	NUMBER						2000	78	7							"[""2"", ""1"", ""0""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	CMPL_TYPE	TEXT						2000	2000	3							"[""IVOQ"", ""EVOQ"", ""LETR""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	CITY	TEXT						2000	2000	1049							"[""TUCSON"", ""CONYERS"", ""EL PASO""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	STATE	TEXT	STATE	PASS	STATE	GEO	PASS	2000	2000	53	100.0	100.0					"[""AZ"", ""GA"", ""TX""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	VIN	TEXT						2000	1909	1267							"[""4UZAAJFC0MC"", ""1GNALDEK6FZ"", ""2FMDK3JC1BB""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	PROD_TYPE	TEXT						2000	2000	4							"[""V"", ""C"", ""T""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	COMPLAINT_DESCRIPTION	TEXT						2000	2000	1377							"[""I PURCHASED THIS MOTORHOME ON 12/22/20 FROM HOLIDAY WORLD OF KATY TEXAS.  I FLEW FROM ARIZONA TO PICK IT UP AND DRIVE BACK TO ARIZONA.  WHEN I GOT HOME I TOOK IT TO FREEDOM RV AND FREIGHTLINER OF TUCS"", ""WHILE DRIVING IN THE RAIN MY WINDSHIELD WIPERS QUIT WORKING ON ME. THE FUSE IS FINE AND SO IS THE MOTOR. I HEAR THEM TRY TO MOVE BUT WILL NOT"", ""THE BRAKE PEDAL GOES TO THE FLOOR BOARD  BEFORE ANY BRAKING HAPPENS. THE BRAKING IS MINIMAL WHEN THIS HAPPENS. THIS HAS HAPPENED 4 TIMES AND IS STILL HAPPENING IN THE LAST YEAR STARTING IN 08/14/2020.""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	MEDICAL_ATTN	TEXT						2000	2000	2							"[""N"", ""Y""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	VEHICLE_TOWED	TEXT						2000	1981	2							"[""N"", ""Y""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	INVOLVED_CRASH	BOOLEAN						2000	2000	2							"[""False"", ""True""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	INVOLVED_FIRE	BOOLEAN						2000	2000	2							"[""False"", ""True""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	IS_FATAL	BOOLEAN						2000	2000	2							"[""False"", ""True""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	CAUSED_HARM	BOOLEAN						2000	2000	2							"[""False"", ""True""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	_LOADED_AT	TIMESTAMP_NTZ						2000	2000	1							"[""2026-07-24 00:42:26""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	_SOURCE_RUN_ID	TEXT						2000	2000	1							"[""b7dbf8f7-ca7a-4e29-8612-0c68dde2a941""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	NHTSA_ACTION_NUMBER	TEXT						2000	2000	1							"[""PE19004""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	MAKE	TEXT						2000	2000	1							"[""KIA""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	MODEL	TEXT						2000	2000	2							"[""SORENTO"", ""SOUL""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	MODEL_YEAR	FLOAT						2000	2000	5							"[""2012.0"", ""2013.0"", ""2014.0""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	COMPONENT	TEXT						2000	2000	49							"[""EXTERIOR LIGHTING:HEADLIGHTS:SWITCH"", ""EXTERIOR LIGHTING:TAIL LIGHTS"", ""EXTERIOR LIGHTING:TAIL LIGHTS:SWITCH""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	MFR_NAME	TEXT	ORG_NAME	PASS	NAME	PROBABILISTIC	PASS	2000	2000	1					organizations		"[""Kia America, Inc.""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	OPEN_DATE	DATE						2000	2000	1							"[""2019-03-29""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	CLOSE_DATE	DATE						2000	2000	1							"[""2021-12-22""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	RECALL_NUMBER	TEXT						2000	2000	8							"[""20V088000"", ""20V100000"", ""20V101000""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	SUBJECT	TEXT						2000	2000	1							"[""Non-crash Vehicle Fires""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	SUMMARY	TEXT						2000	2000	1							"[""During this Preliminary Evaluation (PE), the Office of Defects Investigation (ODI) assessed the scope, frequency and potential safety-related consequences of non-crash vehicle fires caused by both eng""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	RESULTED_IN_RECALL	BOOLEAN						2000	2000	1							"[""True""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	IS_CLOSED	BOOLEAN						2000	2000	1							"[""True""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	_LOADED_AT	TIMESTAMP_NTZ						2000	2000	1							"[""2026-09-19 08:00:47""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	_SOURCE_RUN_ID	TEXT						2000	2000	1							"[""e88b8c7c-9deb-405a-8b61-c41e91a11959""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	RECORD_ID	TEXT						2000	2000	2000							"[""253385"", ""253386"", ""253387""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	CAMPNO	TEXT						2000	2000	96							"[""23V578000"", ""23V174000"", ""23V180000""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	MAKE	TEXT						2000	2000	82							"[""TRAIL KING"", ""HONDA"", ""HYUNDAI""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	MODEL	TEXT						2000	2000	178							"[""TKPA"", ""TKFA"", ""AB""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	MODEL_YEAR	FLOAT						2000	2000	34							"[""2005.0"", ""2009.0"", ""1998.0""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	COMPONENT	TEXT						2000	2000	73							"[""SUSPENSION:MULTIPLE AXLE"", ""VISIBILITY:REARVIEW MIRRORS/DEVICES:EXTERIOR"", ""VISIBILITY/WIPER""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	MFG_NAME	TEXT	ORG_NAME	PASS	NAME	PROBABILISTIC	PASS	2000	2000	64					organizations		"[""Trail King Industries, Inc."", ""Honda (American Honda Motor Co.)"", ""Hyundai Motor America""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	MFG_RECALL_NUMBER	TEXT						2000	1724	70							"[""TK202301"", ""FE5"", ""243""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	BEGIN_MANUFACTURE_DATE	DATE						2000	9	3							"[""2018-08-01"", ""2019-01-19"", ""2022-08-15""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	END_MANUFACTURE_DATE	DATE						2000	10	4							"[""2022-04-20"", ""2022-03-16"", ""2022-08-18""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	RCL_TYPE_CD	TEXT						2000	2000	3							"[""V"", ""E"", ""T""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	POTENTIALLY_AFFECTED_UNITS	NUMBER						2000	2000	88							"[""5641"", ""339404"", ""167085""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	NOTIFICATION_DATE	DATE						2000	2000	76							"[""2023-09-06"", ""2024-01-17"", ""2023-05-15""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	INFLUENCED_BY	TEXT						2000	2000	3							"[""MFR"", ""ODI"", ""OVSC""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	DESC_DEFECT	TEXT						2000	2000	96							"[""Trail King Industries, Inc. (Trail King) is recalling certain 1992-2023 TKFA, TKPA, AB, and AB EXT trailers equipped with pin-on axles or pivot extensions.  The shims that transfer weight between the "", ""Honda (American Honda Motor Co) is recalling certain 2020-2021 Pilot and Ridgeline, and 2020-2022 Passport and Odyssey vehicles.  The heating pads behind both side-view mirrors may not be bonded prope"", ""Hyundai Motor America (Hyundai) is recalling certain 2021-2023 Palisade vehicles.  The windshield wiper motor may operate intermittently or fail to operate due to snow or ice buildup on the windshield""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	CONSEQUENCE_DEFECT	TEXT						2000	2000	88							"[""Detached shims can fall into the roadway and become a road hazard, increasing the risk of a crash. "", ""Detached mirror glass can reduce driver visibility, increasing the risk of a crash."", ""Windshield wiper failure can reduce visibility, increasing the risk of a crash.""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	CORRECTIVE_ACTION	TEXT						2000	2000	96							"[""Dealers will install new shims, tether, and hardware to tether the shims to the pin-on axle or pivot extension, free of charge.  Owner notification letters were mailed September 6, 2023.  Owners may c"", ""Dealers will replace both left and right side-view mirrors, free of charge.  Owner letters were mailed January 17, 2024.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's number f"", ""Dealers will replace the driver-side windshield wiper arm, free of charge. Owner notification letters were mailed May 15, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	RECALL_TRIGGER	TEXT						2000	2000	3							"[""manufacturer"", ""investigation"", ""ovsc""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	_LOADED_AT	TIMESTAMP_NTZ						2000	2000	1							"[""2026-07-24 00:44:13""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	_SOURCE_RUN_ID	TEXT						2000	2000	1							"[""3f13dc9e-25df-417e-867d-46e6dd8d2942""]"
CORE	DIM_COUNTY	COUNTY_FIPS	TEXT	COUNTY_FIPS	PASS	FIPS	GEO	PASS	2000	2000	2000	100.0	100.0				county	"[""01001"", ""01003"", ""01005""]"
CORE	DIM_COUNTY	STATE_FIPS	TEXT	COUNTY_FIPS	FAIL	FIPS	GEO	PASS	2000	2000	35	0.0	100.0				state	"[""01"", ""02"", ""04""]"
CORE	DIM_COUNTY	COUNTY_NAME	TEXT	ORG_NAME	FAIL	NAME	PROBABILISTIC	FAIL	2000	2000	1258					places		"[""Autauga"", ""Baldwin"", ""Barbour""]"
CORE	DIM_COUNTY	STATE_NAME	TEXT	ORG_NAME	FAIL	NAME	PROBABILISTIC	FAIL	2000	2000	35					places		"[""Alabama"", ""Alaska"", ""Arizona""]"
CORE	DIM_COUNTY	POPULATION_2020	NUMBER						2000	2000	1976							"[""58805"", ""231767"", ""25223""]"
CORE	DIM_COUNTY	POP_CENTER_LAT	FLOAT			LATLON	GEO	NO SHAPE TEST	2000	2000	2000							"[""32.500194"", ""30.537396"", ""31.843981""]"
CORE	DIM_COUNTY	POP_CENTER_LON	FLOAT			LATLON	GEO	NO SHAPE TEST	2000	2000	2000							"[""-86.487813"", ""-87.761478"", ""-85.301306""]"
CORE	DIM_COUNTY	VINTAGE	TEXT						2000	2000	2							"[""2020"", ""2022""]"
CORE	DIM_DATE	DATE_DAY	DATE						2000	2000	2000							"[""1950-01-01"", ""1950-01-02"", ""1950-01-03""]"
CORE	DIM_DATE	YEAR_NUMBER	NUMBER						2000	2000	6							"[""1950"", ""1951"", ""1952""]"
CORE	DIM_DATE	QUARTER_NUMBER	NUMBER						2000	2000	4							"[""1"", ""2"", ""3""]"
CORE	DIM_DATE	MONTH_NUMBER	NUMBER						2000	2000	12							"[""1"", ""2"", ""3""]"
CORE	DIM_DATE	MONTH_NAME	TEXT	ORG_NAME	FAIL	NAME	PROBABILISTIC	FAIL	2000	2000	12					single words or codes		"[""January"", ""February"", ""March""]"
CORE	DIM_DATE	DAY_OF_MONTH	NUMBER						2000	2000	31							"[""1"", ""2"", ""3""]"
CORE	DIM_DATE	DAY_OF_WEEK_ISO	NUMBER						2000	2000	7							"[""7"", ""1"", ""2""]"
CORE	DIM_DATE	DAY_NAME	TEXT	ORG_NAME	FAIL	NAME	PROBABILISTIC	FAIL	2000	2000	7					single words or codes		"[""Sunday"", ""Monday"", ""Tuesday""]"
CORE	DIM_DATE	WEEK_OF_YEAR_ISO	NUMBER						2000	2000	53							"[""52"", ""1"", ""2""]"
CORE	DIM_DATE	YEAR_MONTH	TEXT						2000	2000	66							"[""1950-01"", ""1950-02"", ""1950-03""]"
CORE	DIM_DATE	IS_WEEKEND	BOOLEAN						2000	2000	2							"[""True"", ""False""]"
CORE	DIM_DATE	US_FISCAL_YEAR	NUMBER						2000	2000	6							"[""1950"", ""1951"", ""1952""]"
CORE	DIM_STATE	STATE_FIPS	TEXT	COUNTY_FIPS	FAIL	FIPS	GEO	PASS	56	56	56	0.0	100.0				state	"[""01"", ""02"", ""04""]"
CORE	DIM_STATE	STATE_USPS	TEXT			STATE	GEO	PASS	56	56	56		100.0					"[""AL"", ""AK"", ""AZ""]"
CORE	DIM_STATE	STATE_NAME	TEXT	ORG_NAME	FAIL	NAME	PROBABILISTIC	FAIL	56	56	56					places		"[""Alabama"", ""Alaska"", ""Arizona""]"
CORE	DIM_STATE	STATE_TYPE	TEXT						56	56	3							"[""state"", ""district"", ""territory""]"
CORE	DIM_STATE	IS_TERRITORY	BOOLEAN						56	56	2							"[""False"", ""True""]"
CORE	DIM_TRACT	TRACT_GEOID	TEXT			FIPS	GEO	PASS	2000	2000	2000		100.0				tract	"[""47157020621"", ""47157020622"", ""47157020632""]"
CORE	DIM_TRACT	COUNTY_FIPS	TEXT	COUNTY_FIPS	PASS	FIPS	GEO	PASS	2000	2000	74	100.0	100.0				county	"[""47157"", ""47159"", ""47161""]"
