key	a	b	a_ids	shared	pct_of_a	works
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	9716	1	0.01	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q1.ADSH	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q2.ADSH	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q3.ADSH	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q4.ADSH	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q1.ADSH	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q2.ADSH	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q3.ADSH	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q4.ADSH	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_EDGAR_INSIDERS.ACCESSION_NUMBER	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	200	0	0.0	False
ACCESSION	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	200	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	344109	1	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q1.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q2.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q3.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q4.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q1.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q2.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q3.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q4.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_EDGAR_INSIDERS.ACCESSION_NUMBER	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_FILERS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	344109	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	ECONOMICS.ECONOMICS__FED_SEC_EDGAR.ACCESSIONNUMBER	263187	1	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q1.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q2.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q3.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q4.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q1.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q2.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q3.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q4.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_EDGAR_INSIDERS.ACCESSION_NUMBER	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_DERIV_TRANS.ACCESSION_NUMBER	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_REPORTINGOWNER.ACCESSION_NUMBER	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_HOLDINGS.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_INSIDER_SUBMISSION.ACCESSION_NUMBER	263187	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q1.ADSH	9716	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q2.ADSH	9716	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q3.ADSH	9716	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q4.ADSH	9716	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q1.ADSH	9716	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q2.ADSH	9716	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q3.ADSH	9716	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q4.ADSH	9716	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1.ADSH	9716	0	0.0	False
ACCESSION	FINANCE.FINANCE__FED_SEC_13F_SUBMISSION.ACCESSION_NUMBER	FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS.ADSH	9716	0	0.0	False
