-- S01 Leiden Russian ops: every row (150), to read and tally locally
INCIDENTYEAR | INCIDENTMONTH | INCIDENTDATERANGE | INCIDENTDATESTART | INCIDENTDATEEND | WHAT | C_WHERE | EVENTCATEGORY | EVENTCATEGORY2 | APPARENTGOAL1 | APPARENTGOAL2 | TARGETTYPE | TARGETTYPE2 | DISPOSABLEAGENTSINVOLVED | FOR_DISCUSSION | NOTE
2023 | January | No | DNA | DNA | Explosives cache found near NATO pipeline in Germany | Germany | Sabotage (preparation) | Does not apply | Degrade military infrastructure | Does not apply | Military / weapons production infrastructure | Does not apply |  | No | May 2024 reporting cites security sources saying the cache was likely prepared 12 to 18 months ago. Taking average of 15 months as starting point, i.e. January 2023.
2023 | January | Yes | 2023-01-01 00:00:00 | 2023-03-31 00:00:00 | Attempt to sabotage arms deliveries to Ukraine in Poland, plant cameras, recruit Ukrainian refugees | Poland | Sabotage (preparation) | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Transport infrastructure | Does not apply |  | No | See this source for timing the start of this operation to at least January 2023: https://www.pap.pl/aktualnosci/ekspert-ludzie-czasem-nawet-nie-wiedza-ze-dzialaja-na-zlecenie-rosjan
2023 | March | No | DNA | DNA | Arms factory fire / explosion in Karnobat, Bulgaria 2023 | Bulgaria | Sabotage | Does not apply | Disrupt (military) aid to Ukraine | Does not apply | Military / weapons production infrastructure | Does not apply |  | No | 
2023 | March | Yes | 2023-03-01 00:00:00 | 2023-12-31 00:00:00 | Voice of Europe, cash payments to anti-establishment politicians, Russian attempt to influence EU Parliament elections | Germany;Belgium;France;Czechia;Netherlands; | Influence operation | Does not apply | Compromise domestic / EU politics | Disrupt (military) aid to Ukraine | Politician(s) | Does not apply |  | No | See Wiki for details on period of operation: https://en.wikipedia.org/wiki/Voice_of_Europe#:~:text=The%20organization%20allegedly%20funneled%20up,candidates%20in%20European%20Parliament%20elections.
2023 | May | No | DNA | DNA | Descecration of Sinimäed and Narva-Jõesuu memorial sites Estonia | Estonia | Vandalism | Does not apply | Disrupt daily life | Does not apply | Memorial sites / Landmarks | Does not apply | Yes |  | 
2023 | June | Yes | 2023-06-01 00:00:00 | 2023-12-31 00:00:00 | Portal Kombat / Pravda network: websites disseminating pro-Russian content on war in Ukraine to Western audiences (ongoing) | France; Germany; Austria; Switzerland; Poland; Spain; United Kingdom; United States | Influence operation | Does not apply | Compromise domestic / EU politics | Does not apply | Internet / Social media / News | Does not apply |  | No | 
2023 | July | No | DNA | DNA | Sweden targeted by Russia-backed disinformation campaign to undermine its NATO membership, claims that Sweden supports burning Quran | Sweden | Influence operation | Does not apply | Compromise domestic / EU politics | Does not apply | Internet / Social media / News | Does not apply |  | No | 
2023 | August | Yes | 2023-08-01 00:00:00 | 2023-12-31 00:00:00 | GPS jamming & spoofing over Baltic Sea. As well as near Black Sea | Baltic Sea; Finland; Latvia; Lithuania; Poland; Romania; Bulgaria | Disruption | Does not apply | Disrupt (civil) aviation | Does not apply | Civil aviation | Does not apply |  | No | 
2023 | August | Yes | 2023-08-01 00:00:00 | 2023-09-30 00:00:00 | Sending illegal immigrants towards Latvia: through Belarus. Appears to have been a peak in these months that was likely orchestrated. | Latvia | Disruptive immigration | Does not apply | Disrupt daily life | Does not apply | Border | Does not apply |  | No | 
2023 | September | Yes | 2023-09-01 00:00:00 | 2023-12-31 00:00:00 | Pro-Russian campaign to influence 2024 EU parliamentary elections by Jean-Luc Schaffhauser | France | Influence operation | Does not apply | Compromise domestic / EU politics | Disrupt (military) aid to Ukraine | Politician(s) | Does not apply |  | No | 
2023 | October | No | DNA | DNA | Gas & telecom cables Finland - Estonia damaged / NewNew Polar Bear incident | Baltic Sea | Sabotage | Does not apply | Degrade energy supply / communications infrastructure | Does not apply | Energy / communications infrastructure | Does not apply |  | No | 
2023 | October | Yes | 2023-10-01 00:00:00 | 2023-12-31 00:00:00 | Russians amplify 'bed bug' panic on social media, Paris, France, fall 2023 | France | Influence operation | Does not apply | Disrupt daily life | Does not apply | Internet / Social media / News | Does not apply |  | No | 
2023 | October | No | DNA | DNA | Hundreds of bomb threats emailed to schools in the Latvia, Estonia, Lithuania. Messages in Russian. Lithuanian security service sees 'hostile states' behind it. | Estonia; Latvia; Lithuania | Terrorism | Does not apply | Disrupt daily life | Does not apply | Public space: Shopping centre / Memorial / Landmark / Company / School | Does not apply |  | Yes | Although Russia not directly named, link to hostile state made in public and fits pattern. Bomb threats seen as threat of violence against civilians, hence treated as terrorism.
2023 | November | No | DNA | DNA | Stars of David graffiti in Paris, suspected Russian influence op | France | Vandalism | Does not apply | Disrupt daily life | Does not apply | Public space: Shopping centre / Memorial / Landmark / Company / School | Does not apply |  | No | 
2023 | November | Yes | 2023-08-01 00:00:00 | 2023-12-31 00:00:00 | Russia sends large number immigrants towards Finish border | Finland | Disruptive immigration | Does not apply | Disrupt daily life | Does not apply | Border | Does not apply |  | No | Apparently the flow of migrants stopped after Finland closed its border with Russia at the end of 2023: https://www.reuters.com/world/europe/finnish-government-seeks-extend-ban-migrants-seeking-asylum
2023 | November | No | DNA | DNA | Sending illegal immigrants towards Estonia. No reporting to suggest this particular spike persisted for very long. | Estonia | Disruptive immigration | Does not apply | Disrupt daily life | Does not apply | Border | Does not apply |  | No | 
2023 | December | No | DNA | DNA | Vandalizing car of Estonian interior minister | Estonia | Vandalism | Does not apply | Intimidate politician / journalist | Does not apply | Politician(s) | Does not apply |  | No | 
2023 | December | No | DNA | DNA | Vandalizing car of Estonian journalist | Estonia | Vandalism | Does not apply | Intimidate politician / journalist | Does not apply | Journalist(s) | Does not apply |  | No | 
2024 | January | No | DNA | DNA | Sending illegal immigrants towards Finland. Coded as 1 month incident as unclear whether this persisted, see also link at end of entry. | Finland | Disruptive immigration | Does not apply | Disrupt daily life | Does not apply | Border | Does not apply |  | No | https://www.reuters.com/world/europe/finnish-government-seeks-extend-ban-migrants-seeking-asylum-russia-border-2025-03-27/
2024 | January | No | DNA | DNA | Arson attempt on paint factory / fuel depot Wroclaw, Poland | Poland | Arson | Does not apply | Inflict economic damage | Does not apply | Energy / communications infrastructure | Does not apply |  | No | Further details: https://notesfrompoland.com/2025/02/21/poland-jails-ukrainian-for-eight-years-for-preparing-sabotage-on-behalf-of-russia/
2024 | January | Yes | 2024-01-01 00:00:00 | 2024-06-30 00:00:00 | Pro-Russian campaign to influence 2024 EU parliamentary elections by Jean-Luc Schaffhauser | France | Influence operation | Does not apply | Compromise domestic / EU politics | Disrupt (military) aid to Ukraine | Politician(s) | Does not apply |  | No | 
(150 rows; csv has all)
