source_id,current_tier,detected_tier,detected_keys
fed_epa_icis_air_icis_air_fces_pces,STEEL,NONE,
fed_epa_icis_air_icis_air_formal_actions,STEEL,NONE,
fed_epa_icis_air_icis_air_informal_actions,STEEL,NONE,
fed_epa_icis_air_icis_air_pollutants,STEEL,NONE,
fed_epa_icis_air_icis_air_program_subparts,STEEL,NONE,
fed_epa_icis_air_icis_air_programs,STEEL,NONE,
fed_epa_icis_air_icis_air_stack_tests,STEEL,NONE,
fed_epa_icis_air_icis_air_titlev_certs,STEEL,NONE,
fed_epa_icis_air_icis_air_violation_history,STEEL,GEO,STATE
fed_epa_icis_fec_case_enforcement_conclusion_facilities,STEEL,NONE,
fed_epa_npdes_npdes_cs_violations,STEEL,NONE,
fed_epa_npdes_npdes_formal_enforcement_actions,STEEL,NONE,
fed_epa_npdes_npdes_naics,STEEL,NONE,
fed_epa_npdes_npdes_ps_violations,STEEL,NONE,
fed_epa_npdes_npdes_qncr_history,STEEL,NONE,
fed_epa_npdes_npdes_se_violations,STEEL,NONE,
fed_epa_npdes_npdes_sics,STEEL,NONE,
fed_epa_tri_basic_2023,STEEL,NONE,
fed_faa_data_portal,STEEL,NONE,
fed_fara,PROBABILISTIC,NONE,
fed_fda_faers_demo,GEO,NONE,
fed_fda_faers_indi,STEEL,NONE,
fed_fda_faers_outc,STEEL,NONE,
fed_fdic_failed_banks,GEO,NONE,
fed_fec_bulk,STEEL,NONE,
fed_fec_bulk_committees,STEEL,NONE,
fed_federal_register_documents,STEEL,NONE,
fed_ffiec_call_reports,STEEL,NONE,
fed_fhfa_hpi,PROBABILISTIC,NONE,
fed_fhfa_nmdb,PROBABILISTIC,NONE,
fed_fjc_judges,STRONG,NONE,
fed_fjc_service,STRONG,NONE,
fed_frb_h15_selected_rates,GEO,NONE,
fed_frb_z1_csv,GEO,NONE,
fed_ftc_datasets,PROBABILISTIC,NONE,
fed_google_polads_advertiser_declared_stats,STEEL,NONE,
fed_google_polads_advertiser_geo_spend,GEO,NONE,
fed_google_polads_advertiser_id_mapping,STEEL,NONE,
fed_google_polads_advertiser_stats,STEEL,NONE,
fed_google_polads_advertiser_weekly_spend,STEEL,NONE,
fed_google_polads_creative_id_mapping,STEEL,NONE,
fed_google_polads_creative_stats,STEEL,NONE,
fed_google_polads_geo_spend,GEO,NONE,
fed_govinfo_bill_cosponsors,STEEL,NONE,
fed_govinfo_billstatus,STEEL,NONE,
fed_grants_gov,STEEL,NONE,
fed_hud_data,PROBABILISTIC,NONE,
fed_ice_statistics,GEO,NONE,
fed_naag_multistate_settlements,STEEL,NONE,
fed_nara_aad,GEO,NONE,
fed_nara_wra_aad,GEO,NONE,
fed_nasa_open_data,PROBABILISTIC,NONE,
fed_noaa_weather_api,GEO,NONE,
fed_nursinghome411,STEEL,GEO,STATE
fed_oyez,STRONG,NONE,
fed_revolvingdoor_project,PROBABILISTIC,NONE,
fed_sba_loans,GEO,NONE,
fed_sba_ppp,STEEL,NONE,
fed_sec_money_market_fund_information,STEEL,NONE,
fed_senate_lda_filings,GEO,NONE,
fed_slavevoyages_intraamerican,STEEL,NONE,
fed_slavevoyages_transatlantic,STEEL,NONE,
fed_treasury_debt_outstanding,GEO,NONE,
fed_treasury_dts_deposits,GEO,NONE,
fed_treasury_mts_receipts,GEO,NONE,
fed_us_usaspending_api,PROBABILISTIC,NONE,
fed_usaspending_toptier_agencies,PROBABILISTIC,NONE,
fed_uscis_data,GEO,NONE,
fed_uscourts_stats,GEO,NONE,
fed_usgs_earthquakes,GEO,NONE,
fed_usgs_topoview,GEO,NONE,
fed_usgs_water,GEO,NONE,
fed_va_allcause_mortality,GEO,NONE,
fed_va_suicide_appendix,GEO,NONE,
fed_voteview_rollcall_meta,STRONG,NONE,
intl_adb_data,PROBABILISTIC,NONE,
intl_ar_datosgob,PROBABILISTIC,NONE,
intl_ec_sercop,PROBABILISTIC,NONE,
intl_eg_capmas,PROBABILISTIC,NONE,
intl_embl_ensembl,PROBABILISTIC,NONE,
intl_es_borme,GEO,NONE,
intl_eu_sanctions,GEO,NONE,
intl_eu_socta_europol,STEEL,NONE,
intl_eurlex_cellar,GEO,NONE,
intl_eurostat,GEO,NONE,
intl_fao_faostat,GEO,NONE,
intl_fao_faostat_food_security,GEO,NONE,
intl_fatf_ratings,GEO,NONE,
intl_fr_data_gouv,PROBABILISTIC,NONE,
intl_freedomhouse,GEO,NONE,
intl_gdelt,GEO,NONE,
intl_gem_hazard,GEO,NONE,
intl_gfi_trade,GEO,NONE,
intl_gleif_relationships,STEEL,NONE,
intl_global_witness_defenders,GEO,NONE,
intl_ie_cro,PROBABILISTIC,NONE,
intl_ipc_food_insecurity_global,GEO,NONE,
intl_it_istat,GEO,NONE,
intl_nti_cns_dprk_missile_tests,GEO,NONE,
intl_opensanctions,PROBABILISTIC,NONE,
intl_owid_milspend,GEO,NONE,
intl_ucdp_ged,GEO,NONE,
intl_voeten_unga_votes,GEO,NONE,
intl_wb_ids,GEO,NONE,
xc_biorxiv_medrxiv,STEEL,NONE,
xc_epa_corporate_crosswalk,STEEL,NONE,
xc_jcs_coa,PROBABILISTIC,NONE,
xc_jcs_medians,STEEL,NONE,
xc_jcs_scotus,STEEL,NONE,
xc_owid_ai_incidents_annual,GEO,NONE,
xc_owid_co2,GEO,NONE,
xc_owid_cpi,GEO,NONE,
xc_owid_fertility,GEO,NONE,
xc_owid_fossil_share,GEO,NONE,
xc_owid_gini,GEO,NONE,
xc_owid_homicide,GEO,NONE,
xc_owid_life_expectancy,GEO,NONE,
xc_owid_nuclear_warheads,GEO,NONE,
xc_owid_refugees,GEO,NONE,
xc_owid_temp_anomaly,GEO,NONE,
xc_owid_terrorism_deaths,GEO,NONE,
xc_ransomwarelive_victims,GEO,NONE,
xc_wikipedia_largest_us_companies,PROBABILISTIC,NONE,
