domain,dataset_name,url,access_shape,size_class,row_count_note,id_names
Environment & Natural Resources,No single federal bulk file of all API-numbered wells; state oil & gas commission well databases hold the full universe. USGS's Documented Unplugged Orphaned Oil and Gas Well Dataset is a partial federal aggregation (orphaned wells only); BOEM Well Data covers federal offshore wells.,https://www.usgs.gov/data/united-states-documented-unplugged-orphaned-oil-and-gas-well-dataset,bulk-file,large,"117,672 orphaned wells across 27 states — but this covers only the orphaned-well subset, not all API-numbered wells.",API Well Number (oil & gas wells)
Environment & Natural Resources,RCRAInfo — EPA's national hazardous waste handler database (Handler Reporting Universe),https://echo.epa.gov/tools/data-downloads/rcrainfo-download-summary,bulk-file,large,,RCRA Handler ID (EPA ID Number)
Environment & Natural Resources,USGS Geographic Names Information System (GNIS),https://www.usgs.gov/us-board-on-geographic-names/download-gnis-data,bulk-file,large,,GNIS ID (Geographic Names Information System)
Environment & Natural Resources,USGS/NRCS Watershed Boundary Dataset (WBD),https://www.usgs.gov/national-hydrography/watershed-boundary-dataset,bulk-file,medium,,Hydrologic Unit Code (HUC)
Environment & Natural Resources,Water Quality Portal (WQP) — combines WQX/STORET and NWIS,https://www.waterqualitydata.us/,bulk-file,large,,EPA WQX / STORET Monitoring Location ID (Water Quality Exchange)
Federal Benefits & Safety Net / Veterans,College Scorecard (U.S. Department of Education),https://collegescorecard.ed.gov/data/,bulk-file,medium,All Data Files zip is ~470 MB; institution-level files span 1996-97 through 2025-26 per the page.,ED Office of Postsecondary Education ID (OPE ID)
Federal Benefits & Safety Net / Veterans,FEMA OpenFEMA Individual Assistance datasets (aggregate/de-identified — no public per-applicant Registration ID),https://www.fema.gov/openfema-data-page/housing-assistance-data-owners-v2,api-open,large,,FEMA Individual Assistance Registration ID
Federal Benefits & Safety Net / Veterans,"IHS Facilities Directory (complete facility listing, Excel)",https://www.ihs.gov/locations/,bulk-file,small,"File is a 296 KB Excel listing — a few hundred facilities across 12 areas, not a large row count.",Indian Health Service (IHS) Facility / Area / Service Unit Code
Federal Procurement & Grants,Federal Audit Clearinghouse (FAC) Single Audit Report Database,https://fac.gov/,bulk-file,large,,Federal Audit Clearinghouse (FAC) Single Audit Report ID
Federal Procurement & Grants,SBIR.gov SBIR/STTR Awards Database,https://www.sbir.gov/awards,bulk-file,medium,"219,503 award records shown in the live search count at time of check.",SBIR/STTR Award Number
Federal Procurement & Grants,USASpending.gov Treasury Account Symbol (TAS) reference data (Treasury GTAS / CGAC agency codes),https://api.usaspending.gov/docs/endpoints,api-open,medium,,Treasury Account Symbol (TAS) / CGAC Agency Code
"Financial Crimes, Sanctions & AML",Companies House Persons with Significant Control (PSC) bulk data product,http://download.companieshouse.gov.uk/en_pscdata.html,bulk-file,large,"Approximately 1GB zipped / 6GB unzipped, about 10 million records; also split into ~65MB chunks of 500,000 records each for easier download.",UK Companies House Persons with Significant Control (PSC) register
"Financial Crimes, Sanctions & AML","ICIJ Offshore Leaks Database (Panama Papers, Paradise Papers, Pandora Papers, Bahamas Leaks, Offshore Leaks combined)",https://offshoreleaks.icij.org/pages/database,bulk-file,large,,ICIJ Offshore Leaks Database entity/officer node ID
"Financial Crimes, Sanctions & AML",UK Sanctions List (successor to the OFSI Consolidated List of Financial Sanctions Targets),https://www.gov.uk/government/publications/the-uk-sanctions-list,bulk-file,small,,UK OFSI Consolidated List of Financial Sanctions Targets reference number
"Financial Crimes, Sanctions & AML",United Nations Security Council Consolidated List (sanctions),https://main.un.org/securitycouncil/en/content/un-sc-consolidated-list,bulk-file,small,"2,919 total entities, 1,407 searchable (735 people, 402 addresses, 270 legal entities across 78 countries) per the OpenSanctions mirror of the UN source XML.",UN Security Council Consolidated Sanctions List reference number
Healthcare & Clinical,AccessGUDID -- FDA Global Unique Device Identification Database,https://accessgudid.nlm.nih.gov/download,bulk-file,large,"Full release: 5,182,695 device identifier records (516 MB); latest monthly release ~56,705 records",UDI / Device Identifier (DI) — GUDID
Healthcare & Clinical,HRSA Health Center Program Uniform Data System (UDS) Awardee/Look-Alike data and Service Delivery Site data,https://data.hrsa.gov/data/download,bulk-file,medium,,HRSA Health Center Program / UDS Site ID (FQHC)
Healthcare & Clinical,HRSA Health Professional Shortage Area (HPSA) and Medically Underserved Area/Population (MUA/P) designation data,https://data.hrsa.gov/data/download,bulk-file,medium,,HRSA HPSA/MUA Designation ID (Health Professional Shortage Area / Medically Underserved Area)
Healthcare & Clinical,IHS Standard Code Book (SCB) -- Facility Table,https://www.ihs.gov/scb/standard-code-book-tables/facility/,bulk-file,medium,"8,733 matches in the on-page table",IHS Facility Location Code (Indian Health Service)
Healthcare & Clinical,NPDB Public Use Data File,https://www.npdb.hrsa.gov/resources/publicDataStatement.jsp,bulk-file,medium,,NPDB Report Number (National Practitioner Data Bank)
Healthcare & Clinical,VAERS (Vaccine Adverse Event Reporting System) Data Sets,https://vaers.hhs.gov/data/datasets.html,bulk-file,large,,VAERS ID (Vaccine Adverse Event Reporting System report number)
"Housing, Real Estate & Mortgage Lending",ASC National AMC Registry,https://asc.gov/amc,bulk-file,small,,ASC National AMC (Appraisal Management Company) Registry ID
"Housing, Real Estate & Mortgage Lending",ASC National Appraiser Registry,https://www.asc.gov/appraiser,bulk-file,medium,,Appraisal Subcommittee National Registry ID
"Housing, Real Estate & Mortgage Lending",CFPB Consumer Complaint Database,https://www.consumerfinance.gov/data-research/consumer-complaints/,bulk-file,large,,CFPB Consumer Complaint Database Complaint ID
"Housing, Real Estate & Mortgage Lending",DOT National Address Database (NAD) Text File,https://catalog.data.gov/dataset/national-address-database-nad-text-file,bulk-file,large,,National Address Database Unique Address ID
"Housing, Real Estate & Mortgage Lending",FEMA NFIP Community Status Book Dataset,https://catalog.data.gov/dataset/national-flood-insurance-program-nfip-community-status-book-dataset,api-open,medium,,FEMA NFIP Community ID Number
"Housing, Real Estate & Mortgage Lending",FHFA Suspended Counterparty Program List,https://www.fhfa.gov/regulation/suspended-counterparty-program,bulk-file,small,241 total suspended counterparties (as displayed on page),FHFA Suspended Counterparty Program (SCP) List entry
"Housing, Real Estate & Mortgage Lending",Ginnie Mae MBS Loan Level Disclosure File (Issuer ID field),https://www.ginniemae.gov/s3/sites/default/files/pdfs/MBS_Loan_Disclosure_Layout_V2.0.pdf,bulk-file,small,,Ginnie Mae Issuer Number
"Housing, Real Estate & Mortgage Lending",Ginnie Mae MBS Loan Level Disclosure File (Pool ID field),https://www.ginniemae.gov/s3/sites/default/files/pdfs/MBS_Loan_Disclosure_Layout_V2.0.pdf,bulk-file,medium,,Ginnie Mae Pool Number
"Housing, Real Estate & Mortgage Lending","HMDA Historic Loan/Application Register (LAR) flat files, pre-2018 format",https://files.consumerfinance.gov/hmda-historic-data-dictionaries/lar_record_format.pdf,bulk-file,large,,HMDA Legacy Respondent ID + Agency Code (pre-2018)
"Housing, Real Estate & Mortgage Lending",HUD Defined CoC Names and Numbers list,https://www.hud.gov/sites/dfiles/CPD/documents/FY-2021_CoC-Names-Numbers_Final.pdf,bulk-file,small,,HUD Continuum of Care Number
"Housing, Real Estate & Mortgage Lending",HUD FHA Single Family Portfolio Snapshot (originating mortgagee/lender number field) plus HUD Lender List search,https://www.hud.gov/stat/sfh/fha-sf-portfolio-snapshot,bulk-file,medium,,FHA/HUD Lender (Mortgagee) ID
"Housing, Real Estate & Mortgage Lending",HUD Multifamily Assistance & Section 8 Contracts Database,https://www.hud.gov/hud-partners/multifamily-assist-section8-database,bulk-file,medium,,HUD Section 8 / Housing Assistance Payments (HAP) Contract Number
"Housing, Real Estate & Mortgage Lending",HUD Multifamily FHA Firm Commitments and Initial Endorsements Database,https://www.hud.gov/hud-partners/multifamily-data,bulk-file,medium,,FHA/HUD Multifamily Project Number
"Housing, Real Estate & Mortgage Lending",HUD Public Housing Authorities dataset (HUD Open Data / IMS-PIC),https://catalog.data.gov/dataset/public-housing-authorities,bulk-file,small,,HUD Public Housing Agency (PHA) Code
"Housing, Real Estate & Mortgage Lending",USDA Rural Development Multifamily Section 515 Rural Rental Housing and Section 514 Farm Labor Housing dataset,https://catalog.data.gov/dataset/usda-rural-development-multifamily-section-515-rural-rental-housing-and-section-514-farm-l,bulk-file,small,,USDA Rural Development Multifamily Housing Project Number (Section 515/514)
Immigration & Border,"ICE Detainers Data (Deportation Data Project FOIA release, CILP v. ICE) — detainer case number redacted",https://deportationdata.org/data/ice.html,bulk-file,large,"146,953 detainer requests in FY2024 in this dataset (vs. 149,764 in ICE's own FY2024 annual report).",ICE Detainer Number (Form I-247A/I-247D/I-247N series)
Immigration & Border,ICE Detention Facility Code (DETLOC) — via ICE detentions dataset (Deportation Data Project),https://deportationdata.org/data/ice.html,bulk-file,small,,ICE Detention Facility ID / Facility Code
Immigration & Border,"ICE Detention Stints/Stays Data (Deportation Data Project FOIA release, CILP v. ICE)",https://deportationdata.org/data/ice.html,bulk-file,large,"1,323,993 total detention ""stint"" (book-in) rows in the FOIA release covering September 2023 through end of July 2025.",ICE Alien Book-In Number (Detention Booking ID)
Insurance,"OSFI ""Who We Regulate"" -- federally regulated financial institutions list (institution numbers)",https://open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5,bulk-file,small,,Canada OSFI Financial Institution/Insurer Number
International & Cross-Border Identifiers,"Base Sirene des entreprises et de leurs établissements (SIREN, SIRET)",https://www.data.gouv.fr/fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,bulk-file,large,,SIREN / SIRET (France)
International & Cross-Border Identifiers,Companies House People with Significant Control (PSC) Register — Snapshot Data,https://download.companieshouse.gov.uk/en_pscdata.html,bulk-file,large,split across 32 files (19MB-69MB each) or one combined file; exact row count not shown on page,UK Persons with Significant Control (PSC) Register
International & Cross-Border Identifiers,FATCA Foreign Financial Institution (FFI) List (IRS),https://www.irs.gov/businesses/corporations/fatca-foreign-financial-institution-list-search-and-download-tool,bulk-file,large,,GIIN (FATCA Global Intermediary Identification Number)
International & Cross-Border Identifiers,GLEIF Level 2 Relationship Data (direct/ultimate parent LEI relationships) — Relationship Record API + Golden Copy file,https://api.gleif.org/api/v1/lei-records/{lei}/ultimate-parent-relationship ; bulk file at https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,api-open,large,,GLEIF Level 2 Relationship Data (direct/ultimate parent LEI)
International & Cross-Border Identifiers,ICIJ Offshore Leaks Database,https://offshoreleaks.icij.org/pages/database,bulk-file,large,,ICIJ Offshore Leaks Database
International & Cross-Border Identifiers,ISO 10383 Market Identifier Codes (MIC) Registry,https://www.iso20022.org/market-identifier-codes,bulk-file,small,,MIC (Market Identifier Code)
International & Cross-Border Identifiers,National Tax Agency Corporate Number Publication Site — bulk download,https://www.houjin-bangou.nta.go.jp/download/ (English portal: https://www.houjin-bangou.nta.go.jp/en/),bulk-file,large,,Japan Corporate Number (Hōjin Bangō)
International & Cross-Border Identifiers,"OpenSanctions ""default"" Dataset (consolidated sanctions, PEP, and crime-context entities)",https://www.opensanctions.org/datasets/default/,bulk-file,large,"4,095,494 total entities; 1,283,776 targets (1,174,470 people, 213,381 companies) at time of fetch",OpenSanctions consolidated entity ID (default dataset)
International & Cross-Border Identifiers,UK Sanctions List (FCDO),https://www.gov.uk/government/publications/the-uk-sanctions-list,bulk-file,medium,,UK Sanctions List
International & Cross-Border Identifiers,United Nations Security Council Consolidated List,"https://main.un.org/securitycouncil/content/un-sc-consolidated-list (data files served via scsanctions.un.org, e.g. consolidatedLegacyByNAME.html/.xml)",bulk-file,small,,UN Security Council Consolidated Sanctions List
"Labor, Workplace Safety & Benefits","NLRB Case Search / Advanced Data Search (agency casehandling system — C, R, and other case types)",https://www.nlrb.gov/search/case,bulk-file,large,,NLRB Case Number
"Labor, Workplace Safety & Benefits",PBGC Trusteed Pension Plan Search (single-employer plans PBGC has taken over),https://www.pbgc.gov/workers-retirees/trusteed-plans,bulk-file,medium,,PBGC Case Number (Trusteed Plans)
Law Enforcement & Corrections,"BJS Survey of Sexual Victimization (SSV) facility-level data (National Prison Rape Statistics Program) plus the PREA Resource Center's Directory of PREA Audits (facility/agency-searchable, bulk-downloadable)",https://www.prearesourcecenter.org/audit/directory,bulk-file,small,"3,797 results across 317 pages of searchable audit records (prisons, jails, lockups, community confinement, juvenile facilities), for audits initiated on or after June 30, 2022",BJS Survey of Sexual Victimization (SSV) / PREA Audit Facility ID
Law Enforcement & Corrections,"ICE detention facility code, the identifier used across ICE's individual-level detention datasets; compiled/republished by the Vera Institute of Justice (ICE Detention Trends) and the Deportation Data Project from FOIA releases",https://www.vera.org/ice-detention-trends,bulk-file,small,"1,490 facilities over a 17-year period (October 2008 through March 2026)",ICE Detention Facility Code
Law Enforcement & Corrections,State sex offender registries (fragmented per state/territory/tribe); federated national search via the Dru Sjodin National Sex Offender Public Website (NSOPW); exemplar bulk-download state: Florida FDLE Sexual Offender & Predator Registry,https://offender.fdle.state.fl.us/offender/sops/registryDownload.jsf,bulk-file,medium,,State/County Sex Offender Registry ID
Law Enforcement & Corrections,"USSC Individual Offender Datafiles (Commission Datafiles), FY2002-2025",https://www.ussc.gov/research/datafiles/commission-datafiles,bulk-file,large,,U.S. Sentencing Commission Individual/Case Datafile record
"Pharma, Biologics & Medical Devices","AccessGUDID (Global Unique Device Identification Database, GUDID)",https://accessgudid.nlm.nih.gov/,bulk-file,large,,Unique Device Identifier / Device Identifier
"Pharma, Biologics & Medical Devices",DailyMed Structured Product Labeling (SPL) bulk data,https://dailymed.nlm.nih.gov/dailymed/spl-resources.cfm,bulk-file,medium,,SPL Set ID (Structured Product Labeling)
"Pharma, Biologics & Medical Devices",FDA 510(k) Premarket Notification Database,https://open.fda.gov/apis/device/510k/,api-open,medium,,510(k) Premarket Notification Number
"Pharma, Biologics & Medical Devices",FDA Adverse Event Reporting System (FAERS),https://open.fda.gov/apis/drug/event/,api-open,large,,FAERS Individual Safety Report / Case ID
"Pharma, Biologics & Medical Devices","FDA Device Establishment Registration & Listing (openFDA registrationlisting dataset, carries FEI numbers)",https://open.fda.gov/apis/device/registrationlisting/,api-open,medium,,FDA Establishment Identifier
"Pharma, Biologics & Medical Devices",FDA Device Product Classification Database,https://open.fda.gov/apis/device/classification/,api-open,medium,,FDA Device Product Code (Classification Product Code)
"Pharma, Biologics & Medical Devices",FDA Global Substance Registration System (GSRS) / UNII,https://precision.fda.gov/uniisearch,api-open,large,,Unique Ingredient Identifier
"Pharma, Biologics & Medical Devices",FDA MAUDE (Manufacturer and User Facility Device Experience) database,https://open.fda.gov/apis/device/event/,api-open,large,,MAUDE Medical Device Report Number
"Pharma, Biologics & Medical Devices",FDA Premarket Approval (PMA) Database,https://open.fda.gov/apis/device/pma/,api-open,medium,,Premarket Approval Number
"Pharma, Biologics & Medical Devices",FDA Recall Enterprise System (RES) Enforcement Reports (device and drug),https://open.fda.gov/apis/device/enforcement/,api-open,medium,,FDA Enforcement Report Recall Number / Event ID
"Pharma, Biologics & Medical Devices",Health Canada Drug Product Database (DPD),https://health-products.canada.ca/dpd-bdpp/index-eng.jsp,bulk-file,medium,,Health Canada Drug Identification Number
"Pharma, Biologics & Medical Devices",Vaccine Adverse Event Reporting System (VAERS) data files,https://vaers.hhs.gov/data/datasets.html,bulk-file,large,,VAERS ID
"Politics, Elections & Lobbying","Elections Canada Political Financing Registry (registered parties, candidates, third parties, electoral district associations)",https://www.elections.ca/content.aspx?section=fin&document=index&lang=e,bulk-file,medium,,Elections Canada Political Financing registration ID
"Politics, Elections & Lobbying",FCC Online Public Inspection File — Political File (broadcast station political ad disclosures),https://publicfiles.fcc.gov/developer,api-open,large,,FCC Political File Record ID (Online Public Inspection File)
"Politics, Elections & Lobbying","IRS Tax Exempt Organization Search — Political Organization Filing and Disclosure (Section 527, Forms 8871/8872/990)",https://www.irs.gov/charities-non-profits/political-organizations/political-organization-filing-and-disclosure,bulk-file,medium,,IRS Form 8871/8872 Section 527 Political Organization Notification/Report ID
"Politics, Elections & Lobbying","Municipal campaign finance board filer data, e.g. NYC Campaign Finance Board (CFB) Data Library",https://www.nyccfb.info/follow-the-money/data-library/,bulk-file,medium,,"Municipal/city campaign finance board filer ID (e.g. NYC Campaign Finance Board Candidate ID, LA City Ethics Commission filer ID, Seattle Ethics and Elections Commission)"
"Politics, Elections & Lobbying",Open Civic Data Division Identifiers (OCD-ID) — opencivicdata/ocd-division-ids reference repository,https://github.com/opencivicdata/ocd-division-ids,bulk-file,large,,OCD-ID (Open Civic Data Division Identifier)
"Politics, Elections & Lobbying","State ethics-commission lobbyist registration systems, e.g. California CAL-ACCESS Lobbying raw data and Texas Ethics Commission Lobby Activities CSV Database",https://www.sos.ca.gov/campaign-lobbying/helpful-resources/raw-data-campaign-finance-and-lobbying-activity,bulk-file,medium,,"State ethics-commission lobbyist registration ID (e.g. CA Cal-Access Lobbying Entity ID, NY Commission on Ethics and Lobbying in Government Lobbyist ID, TX Ethics Commission Lobbyist Filer ID, FL chamber/executive lobbyist registrations)"
"Science, Research Grants & Research Integrity",Crossref Open Funder Registry (Funder IDs) + Funders API,https://www.crossref.org/services/funder-registry/,bulk-file,medium,"45,700 total funder records",DOI Grant/Funder IDs (Crossref Funder Registry / Grant Linking System)
"Science, Research Grants & Research Integrity",Crossref REST API (DOI metadata),https://www.crossref.org/documentation/retrieve-metadata/rest-api/,api-open,large,,DOI (Digital Object Identifier) for the underlying publication
"Science, Research Grants & Research Integrity",Grants.gov Database XML Extract,https://www.grants.gov/xml-extract,bulk-file,medium,,Grants.gov Funding Opportunity Number
"Science, Research Grants & Research Integrity",NIH RePORTER API (Project Search),https://api.reporter.nih.gov/,api-open,large,,NIH Grant/Project Number (incl. Core Project Number)
"Science, Research Grants & Research Integrity",NSF Award Search API,https://resources.research.gov/common/webapi/awardapisearch-v1.htm,api-open,medium,,NSF Award Number
"Science, Research Grants & Research Integrity",ORCID Public Data File (annual full-registry dump),https://info.orcid.org/documentation/integration-guide/working-with-bulk-data/,bulk-file,large,,ORCID iD
"Science, Research Grants & Research Integrity",OSF API v2 (Registrations endpoint),https://api.osf.io/v2/,api-open,medium,,OSF (Open Science Framework) Registration ID/DOI
"Science, Research Grants & Research Integrity",OSTI.GOV Records API,https://www.osti.gov/api/v1/docs,api-open,large,,DOE Office of Scientific and Technical Information (OSTI) ID
"Science, Research Grants & Research Integrity",OpenAlex snapshot + REST API,https://developers.openalex.org/,bulk-file,large,,OpenAlex IDs (Work / Author / Institution / Funder / Source)
